[0.00-29.98] 各位投資先進早安
[1447.38-1449.38] 那工程類的部分的毛利率
[1449.38-1451.38] 這幾年就開始有比較大幅度的增長
[1451.38-1454.38] 也是推升公司整個獲利的成長
[1454.38-1458.38] 所以MARGIN的部分從原來的5%多跳到20幾%
[1458.38-1461.38] 那基本上這個部分來講也是
[1461.38-1464.38] 跟先進報告這差異比較大
[1464.38-1467.38] 所以當初主管機關也很關注這件事情
[1467.38-1469.38] 到底是這邊是真的還是這邊是真的
[1469.38-1471.38] 其實兩邊都是真的
[1471.38-1474.38] 那這一塊主要原因是因為
[1474.38-1476.38] 你的工程的收入的報價的時候
[1476.38-1478.38] 跟工程執行的時候的物價
[1478.38-1480.38] 你是沒有辦法完全反映出去的
[1480.38-1484.38] 所以當時在2022年的時候
[1484.38-1487.38] 那時候的原物料價格還有包含運價
[1487.38-1489.38] 還有我們的價格包含業價
[1489.38-1490.38] 還有包含烏鑼戰爭
[1490.38-1494.38] 倒成這邊的整個原物料物料大漲
[1494.38-1495.38] 天然氣價格大漲
[1495.38-1497.38] 所以天然氣價格大漲的過程中
[1497.38-1499.38] 就衝擊到我們的毛利率
[1499.38-1502.38] 因為這個報價已經跟業主報過了
[1502.38-1504.38] 所以沒有辦法再反映舊成本
[1504.38-1507.38] 但是你一定會反映新成本
[1507.38-1510.38] 我覺得你的東西已經變貴了
[1510.38-1512.38] 你不可能再賣它更便宜
[1512.38-1515.38] 我茶葉蛋一顆蛋一顆都8塊錢
[1515.38-1517.38] 怎麼可能賣你6塊錢的茶葉蛋
[1517.38-1518.38] 這不可能
[1518.38-1520.38] 但是因為當初已經貼標價在10塊錢
[1520.38-1522.38] 我只能把它賣完
[1522.38-1523.38] 所以這個是承諾
[1523.38-1526.38] 那之後就反映價格了
[1526.38-1528.38] 反映價格指引你的工程毛利率
[1528.38-1531.38] 慢慢的陸陸續續回到我們對客戶的承諾
[1531.38-1533.38] 因為我們其實
[1533.38-1535.38] 因為我們是工程服務類
[1535.38-1537.38] 所以說這個毛利率
[1537.38-1539.38] 我個人覺得也不是長這樣
[1539.38-1541.38] 我覺得大家也不要有這種不當期待
[1541.38-1544.38] 這種東西基本上我們對主要客戶來講
[1544.38-1548.38] 不會有這種跟40% 50%的毛利率往上跑
[1548.38-1549.38] 這是不實際的
[1549.38-1553.38] 大家千萬不要這種幻想
[1553.38-1556.38] 基本上我們的毛利率對客戶來講
[1556.38-1558.38] 就是大概期望在20%
[1558.38-1561.38] 那20%至於說會有一些零頭跑出來
[1561.38-1562.38] 至於在什麼
[1562.38-1563.38] 就是我們自己內部的優化
[1563.38-1566.38] 比方說我們在哪些地方的節約
[1566.38-1567.38] 哪些效率的提升
[1567.38-1568.38] 哪些部分的
[1569.38-1570.38] 優化
[1570.38-1577.38] 那優化大概有幾個%的improve
[1577.38-1578.38] 所以GP的部分來講
[1578.38-1582.38] 大概就會維持在這樣的一個方向震盪
[1582.38-1585.38] 那當然就是我們工程的部分
[1585.38-1587.38] 那因為工程的部分的毛利率大幅提升
[1587.38-1589.38] 也推升了整個公司的EPS
[1589.38-1592.38] 那總原來的大概最早期
[1592.38-1593.38] 那時候還負的
[1593.38-1594.38] 所以這邊大概更早期
[1594.38-1595.38] 那兩三塊
[1595.38-1598.38] 那現在多到現在二十幾塊
[1598.38-1603.38] 那這是整個去年的狀況
[1603.38-1604.38] 那今年第一季的狀況來講
[1604.38-1606.38] 也如原先的預期
[1606.38-1609.38] 那所以第一季大概是EPS在六塊
[1609.38-1610.38] 那是非常
[1610.38-1612.38] 這是舊的股本
[1612.38-1613.38] 那如果改入新的股本
[1613.38-1614.38] 可能會掉一點
[1614.38-1616.38] 那第二季的部分來講
[1616.38-1619.38] 大概再往上往上走
[1619.38-1624.38] 所以這是目前我們第一季的一個狀態
