[0.00-9.72] 那欢迎各位投资先进参加凯基举办亚洲水泥的线上法人会议
[1998.44-1999.98] 跟去年同期相比
[2000.48-2002.54] 我想今年第一季
[2003.04-2005.36] 是相对比较良好的开局
[2005.60-2006.38] 就是
[2006.64-2007.40] 刚讲了
[2007.40-2009.70] 就是煤价看起来是有一个价差
[2010.22-2012.78] 那价格水泥价格也是一个价差
[2012.78-2015.08] 这两方面价格跟成本
[2015.60-2017.38] 都是正面的一个引数
[2017.90-2019.44] 那只有量是比去年少
[2019.68-2020.96] 那不过因为价格
[2021.48-2025.06] 跟煤炭成本其实影响盾毛利会是比较关键
[2025.32-2027.88] 所以这两个变数看起来都是正面的话
[2028.44-2029.98] 这个毛利会比较大改善
[2034.32-2036.64] 但是后面几季的话呢
[2036.88-2037.66] 其实就
[2038.16-2039.96] 要稍微观察一下
[2040.22-2040.98] 那不过
[2041.24-2042.78] 各位先看这个
[2043.04-2046.10] 简报上面这个价格走势图来讲的话
[2046.88-2049.94] 因为去年第二季其实是一个
[2051.22-2053.28] 忘记不忘的一个状况
[2054.30-2056.34] 也就是说去年第二季应该要
[2057.62-2058.40] 价格应该要反弹
[2058.70-2060.74] 但是其实并没有
[2061.26-2064.58] 比如说像江西在4到7月其实是往下走
[2064.84-2066.12] 去年虚线部分
[2066.64-2067.40] 是往下走
[2068.16-2070.72] 那湖北也是大概是比较打底
[2070.98-2071.50] 持平
[2072.26-2074.56] 那四川曾经在去年的
[2075.34-2078.40] 5月有往上但是6月后来又往下
[2079.18-2079.94] 所以
[2080.46-2081.48] 也就是说去年
[2082.00-2085.32] 2024年第2季其实价格走势是比较
[2086.08-2086.86] 不尽理想
[2087.62-2088.14] 那
[2088.96-2089.46] 今年
[2089.98-2092.54] 目前看起来是比去年通期高
[2093.30-2094.58] 那如果说
[2094.84-2095.60] 接下来
[2095.86-2096.88] 3月以后
[2097.40-2098.94] 价格是可以持稳
[2099.96-2103.28] 甚至在4到5月有一些上涨的话那我想
[2103.80-2105.60] 今年上半年的
[2106.10-2107.90] 表现应该就会是比较亮眼
[2108.92-2112.24] 至少是扭转连续下跌的一个局势
[2112.76-2113.28] 那
[2114.04-2115.32] 至于能不能维持到年底
[2115.84-2118.14] 这个目前来讲真的是比较
[2118.96-2119.72] 不太确定
[2119.98-2121.76] 原因就是因为我刚刚前面讲
[2122.54-2124.32] 就是价格现在能回升了
[2124.84-2126.88] 主要是供给面收缩带动
[2127.92-2129.20] 那这仰待于
[2129.96-2131.50] 各方的一个
[2133.28-2134.06] 受封停产的
[2134.32-2135.60] 执行的一个情况
[2136.10-2138.92] 那因为目前需求大方向看起来今年
[2139.18-2141.74] 可能还是在下滑只是下滑的比去年少
[2143.28-2145.32] 所以关键就在于说
[2147.12-2148.40] 供给方面的一个
[2148.70-2149.20] 秩序吧
[2149.46-2149.98] 那
[2150.74-2151.52] 需求面
[2152.28-2153.82] 可能要看是不是
[2154.08-2156.88] 有一些大的投资政策不过目前
[2157.66-2159.20] 就最近两会
[2159.44-2162.52] 释出的一个状况来讲其实跟去年的
[2163.04-2164.56] 基调大概是差不多
[2164.82-2165.60] 就是
[2166.10-2168.16] 看起来不是说一个
[2168.92-2171.48] 大损坏关系的一个大傻逼
[2172.00-2173.78] 而是比较是属于化债
[2174.04-2174.56] 为主
[2174.80-2177.12] 然后脱底经济这样的一个走势
[2177.36-2178.14] 所以
[2178.14-2179.94] 需求面看起来就没有太大的刺激
[2180.18-2180.96] 那就是
[2181.72-2185.06] 行情来看就是要看这个供给面的一个变化
[2187.62-2188.38] 所以
[2188.64-2191.20] 下半年就比较没办法给什么太大看法
[2191.46-2193.24] 因为还有变数存在
[2194.26-2195.04] 那产能
[2195.30-2197.34] 第三个问题问到产能置换
[2198.10-2201.18] 导致的减损下次会在什么时候认跌
[2201.70-2203.22] 这个就要看
[2203.74-2204.76] 我们的
[2205.28-2207.32] 搬迁的这个进度
[2207.32-2208.60] 因为现在
[2209.36-2211.68] 黄冈二线还在一个
[2211.92-2212.96] 前期的阶段
[2213.46-2213.98] 所以
[2214.74-2215.52] 湖北的
[2215.76-2217.82] 两条线还会在持续生产
[2218.08-2219.36] 直到黄冈二线
[2219.60-2220.12] 落成
[2220.38-2220.88] 完工
[2221.40-2223.96] 湖北的两条线才会关闭
[2226.52-2230.88] 剩下的部分的资产减值就会等到那个时间点才会去做认跌
[2231.38-2231.90] 所以
[2232.16-2235.74] 目前还没办法确定要看黄冈二线的一个进度
[2235.74-2239.32] 那我们预期的进度应该是大概在
[2239.84-2240.60] 可能在
[2240.86-2242.40] 2026或2027
[2242.66-2243.94] 应该可能会完工
[2244.70-2245.22] 所以
[2245.72-2248.28] 今年应该是不会可能是明后年
[2252.38-2255.46] 那下面一个问题问到2025的
[2255.70-2260.06] 顿毛利区间这个问题跟前面也是蛮类似的
[2260.82-2262.10] 至少上半年
[2262.36-2265.44] 第一季或上半年看起来应该会比去年好
[2265.74-2267.78] 那下半年就
[2268.30-2269.06] 比较不确定
[2269.32-2270.34] 有些是要看
[2271.12-2275.72] 状况因为去年第四季是比较高嘛去年是前三季都很低
[2276.50-2277.78] 第四季也比较高
[2278.28-2280.58] 那今年状况应该是前两季
[2280.84-2281.86] 会比去年好
[2282.12-2283.40] 那下半年就要看
[2283.66-2285.20] 就不太确定要看情况
[2290.58-2291.60] 那下面
[2292.36-2294.66] 的问题问到说近期的库融比
[2295.74-2297.78] 已经下降那错峰生产
[2298.30-2300.86] 是否还会这么严格的执行
[2301.62-2303.68] 这个问题就
[2303.94-2305.98] 非常好这个问题
[2306.74-2308.02] 我们其实也不太确定
[2309.56-2310.34] 因为
[2311.86-2314.42] 至少在今年第一季来讲的话
[2316.48-2318.78] 很多地方其实都提出比去年
[2319.54-2321.86] 还要多的一个错峰生产天数
[2322.36-2323.64] 比方说你看像
[2324.16-2324.66] 呃
[2325.74-2326.26] 一季
[2326.76-2329.58] 四川停60天就比去年多10天嘛
[2330.10-2333.94] 江西也是比去年多10天那不过也比去年多了25天
[2334.96-2335.98] 所以其实
[2337.52-2338.54] 现在大家是
[2339.30-2344.42] 各省其实是对于错峰要求是有比之前更多的
[2345.46-2346.74] 天数要求比去年更多
[2347.76-2348.52] 那但
[2348.78-2354.42] 也因为需求其实就没有这么多需求所以自然大家也会比较觉得说那
[2354.92-2355.70] 执行错峰停车
[2356.00-2356.50] 也是合理
[2357.02-2357.78] 不然的话
[2358.04-2359.06] 库存也会太高
[2360.34-2360.86] 那
[2361.12-2364.70] 所以如果说现在像湖北现在库存有开始有些去化
[2365.22-2367.52] 那可是错峰停载还在进行
[2367.78-2368.28] 所以
[2368.80-2372.12] 就会变说接下来湖北应该有机会看到价格的反弹
[2373.40-2374.42] 有机会看到价格反弹
[2374.68-2376.48] 那如果说需求
[2378.02-2380.06] 在第二季有往上的话
[2380.58-2383.64] 出现的话就是我刚讲的第二季之后的一个
[2384.16-2385.44] 需求假设有稍微
[2385.74-2387.02] 有一些回温的话
[2388.04-2390.60] 那当然可能第二季大家就不会需要停那么多天
[2391.62-2392.14] 所以
[2393.68-2394.96] 基本上错峰
[2396.24-2398.02] 他还是为了调节产
[2399.06-2400.08] 他是为了调节产
[2400.58-2401.62] 而生的
[2402.12-2402.90] 所以
[2403.40-2406.48] 不太可能说需求很好然后大家
[2407.24-2408.26] 还在错峰停车
[2408.78-2411.34] 这不太不太不太不太可能发生
[2412.10-2414.92] 就是需求不好所以大家愿意做错峰停车
[2415.74-2417.02] 那如果需求变好了
[2417.78-2419.58] 还要去做错峰停产就
[2419.84-2420.34] 不太可能
[2420.60-2421.12] 不太可能
[2421.62-2422.14] 对
[2423.68-2425.98] 那库容比下降是不是因为需求
[2426.74-2429.06] 改善也是部分原因啦
[2429.30-2430.08] 就是因为
[2430.34-2431.10] 停产的嘛
[2431.36-2432.12] 那
[2432.64-2433.14] 这些
[2433.66-2436.22] 市场上需求就会是有库存去消化
[2436.98-2439.04] 那但是如果接下来进入4月
[2439.54-2440.32] 需求
[2440.58-2442.10] 有比较明显的回升的话
[2442.62-2443.14] 那当然
[2443.90-2445.18] 作为错峰停产
[2445.74-2449.58] 调节机制他可能就在4到6月可能就不会停那么多天
[2454.18-2455.98] 那下面一个问题问到说
[2456.74-2459.82] 2025加惠电厂的货力变成这不刚刚有解释了就是
[2460.08-2462.12] 2025因为有大秀的关系
[2463.14-2463.92] 大秀的关系
[2464.68-2466.22] 所以一起会
[2467.24-2469.04] 停一个月那成本也会增加
[2469.80-2472.10] 那另外气价也在往上走
[2472.88-2473.38] 所以
[2473.90-2474.42] 今年
[2474.92-2475.70] 加惠电
[2476.00-2477.54] 可能会是比较偏向持平
[2477.78-2479.06] 或是比去年少一点
[2485.22-2487.26] 那下面一个问题
[2488.02-2490.08] 问到的是台湾的水
[2490.34-2491.86] 获利的贡献
[2492.64-2495.96] 是创新高也比2021年多
[2496.48-2498.78] 那如何看待今年的获利方向
[2499.80-2502.10] 那台湾的水的获利
[2502.36-2503.64] 请问看到其实
[2504.16-2505.70] 这几年的一个带动呢
[2506.00-2507.54] 主要是在
[2508.56-2509.58] 预办行业
[2509.84-2510.60] 预办混凝土行业
[2511.38-2511.88] 带动的
[2512.90-2514.18] 因为我们这里的
[2514.44-2517.52] 是用事业部来事业群来分的
[2518.02-2520.08] 所以台湾的水泥事业部是包含
[2520.34-2521.10] 台湾的水
[2521.36-2522.12] 的销售
[2522.64-2524.42] 还有预办混凝土的销售
[2524.68-2526.48] 还有一些其他的水的价值链
[2526.98-2527.76] 加起来的
[2528.26-2529.30] 那这当中
[2529.80-2532.10] 获利贡献比较大的在这里
[2532.36-2533.64] 就是预办的部分
[2533.90-2535.18] 因为预办部分
[2535.74-2538.30] 它有一个优势是
[2539.06-2540.34] 比较没有受到进口
[2541.12-2542.40] 水泥的一个冲击
[2542.90-2543.68] 这是一个
[2544.18-2545.46] 因为进口水泥的
[2545.72-2548.80] 部分其实它进来越来越多尤其是越南
[2549.30-2550.84] 它其实会对于
[2552.38-2554.68] 本土的水泥业者要去
[2555.46-2559.54] 做涨价反应成本这件事情是会有一个牵制效果
[2561.08-2563.14] 那当然这个变数也会观察今年
[2563.64-2565.70] 对越南的反倾销是不是有发生
[2566.00-2567.02] 有一个
[2567.28-2570.10] 发布可能会在这部分会好一点
[2570.60-2572.90] 但是预办的部分因为它是比较是
[2573.42-2574.96] 属于local的行业
[2575.22-2576.50] 所以这几年
[2577.00-2577.78] 它反而
[2578.02-2581.36] 会因为房地产的一个带动然后还有
[2582.12-2583.40] 工业
[2583.66-2584.18] 制造业
[2584.42-2584.94] 设厂
[2585.46-2587.50] 这些比如像台积电这些设厂
[2588.52-2589.30] 带动
[2589.80-2590.82] 带动这个
[2591.08-2592.62] 价格因为它有一些
[2593.38-2595.44] 厂房他可能要的是比较
[2596.00-2597.54] 高性能的混凝土
[2598.04-2601.12] 品质更高的混凝土所以它价格也会比较高
[2601.62-2603.68] 然后或是有一些建材
[2604.18-2604.96] 一些建筑
[2605.22-2607.78] 他可能也要求用更好的建材所以
[2608.28-2612.90] 这些也会导致混凝土行业这一块的一个价格其实也是有在反应
[2614.42-2616.98] 至于未来的方向的话
[2618.02-2619.30] 我想应该今年
[2619.80-2620.58] 就会比较
[2620.82-2622.88] 水泥部分可能会比较偏向池文
[2624.16-2624.92] 因为
[2624.92-2627.22] 进口的部分这一块还是一个变数
[2627.74-2629.78] 那但是预办的部分看起来
[2630.56-2634.14] 目前看起来都还在比较正面的改善当中
[2635.16-2636.96] 就是尽管需求可能不是
[2637.46-2638.48] 太大的一个
[2639.26-2643.60] 变化因为打房可能还是多或多或少还是会有一些影响
[2644.64-2645.92] 那但是
[2646.42-2648.98] 价值的提升可能在预办这一块
[2649.50-2651.54] 至少还在一个进行当中
[2651.80-2653.60] 所以今年我觉得应该
[2653.84-2654.88] 会是比较稳定
[2655.18-2655.68] 但是偏
[2655.94-2656.96] 偏正面看法
[2661.84-2663.12] 下面问到说
[2664.14-2666.70] 是否能够看到第二季台湾跟
[2667.46-2670.28] 中国这边的需求的一个展望
[2671.56-2674.64] 这部分其实刚前面也大概都有说明
[2675.14-2675.66] 就是
[2676.68-2678.22] 台湾部分其实因为
[2678.48-2680.00] 季节性不是那么明显
[2680.26-2681.28] 坦白讲
[2681.80-2683.84] 就是每一季其实因为一年四季台湾
[2683.84-2684.88] 就是每一季其实因为一年四季台湾
[2685.18-2685.94] 都可以
[2687.22-2687.74] 盖房子
[2688.24-2690.04] 所以台湾一年四季其实
[2690.30-2691.06] 淡旺季
[2691.84-2692.34] 不明显
[2693.62-2696.96] 所以第二季目前看起来我想跟应该第一季不会差别太大
[2697.20-2698.74] 就是整年来讲都是比较是
[2699.52-2700.80] 可能是比较中性
[2701.04-2702.84] 需求来讲是比较中性的看法
[2703.10-2703.60] 因为
[2703.86-2705.92] 房地产现在热度是在降温
[2706.94-2707.70] 至少从
[2708.72-2710.00] 交易量来看是降幅
[2711.28-2711.80] 那
[2712.32-2712.82] 自然
[2712.82-2715.90] 建商在
[2716.92-2718.96] 持续的推按这一块可能
[2719.48-2720.76] 也会是比较惯忘
[2721.52-2722.04] 那但
[2722.54-2724.86] 3月大家讲的329档期
[2725.10-2726.64] 是不是会卖的好
[2727.16-2730.22] 可能这部分也会是一个观察点吧
[2730.74-2733.04] 那但是至少就
[2734.06-2735.86] 政策面来讲的话
[2736.12-2737.14] 现在是比较
[2737.66-2738.16] 偏空
[2738.68-2739.70] 坦白讲是这样
[2740.72-2742.52] 那但是因为台湾的
[2742.82-2745.90] 房市的需求刚性需求其实还是在
[2746.66-2747.18] 因为
[2747.42-2748.96] 整个科技啊等等
[2749.22-2750.24] 然后还有一些
[2750.50-2754.34] 老屋加换新屋这些需求刚性需求都还结构性问题
[2754.60-2756.90] 还是结构性的需求都还是存在
[2757.66-2759.46] 所以现在的热度降温基本上
[2760.48-2762.02] 是政策面导致的
[2762.54-2763.82] 那但政策面
[2764.58-2767.40] 什么时候会反转目前坦白讲也没看到
[2767.66-2768.42] 所以
[2768.94-2770.46] 今年可能就会变成是
[2770.98-2772.52] 就是因为政策的
[2772.82-2776.14] 房地产政策面导致房地产的需求
[2776.66-2777.68] 跟热度是
[2777.94-2778.70] 被压抑住
[2780.24-2780.76] 所以
[2781.78-2784.34] 也不至于被关到哪里去因为
[2784.60-2786.64] 需求刚性需求其实还是在
[2787.66-2789.46] 这样一样的降温可能是因为
[2790.22-2791.26] 大家对于
[2791.76-2796.38] 房价的部分其实还没有存在一个共识买卖双方没有一个共识
[2796.88-2798.16] 那在这样的情况下
[2798.94-2802.26] 以建商角度来看他是不是要持续盖房推案
[2802.26-2804.56] 他其实可能也会稍微有一些观望
[2805.08-2806.36] 因为他如果现在推肯
[2807.12-2807.90] 就是
[2808.40-2809.94] 去化的状况可能不一定好
[2810.20-2811.48] 所以他可能会先看说
[2811.98-2815.58] 现在的原本已经盖的现在卖的状况是怎么样
[2815.82-2817.10] 可能也是在
[2817.62-2819.42] 边观察的一个情形
[2819.92-2820.70] 那可是因为
[2821.72-2823.26] 前几年有很大的开工潮
[2824.02-2826.06] 所以这几年都还在陆续
[2826.32-2828.12] 完工在叫屋所以
[2828.38-2830.42] 增分需求还会再延续至少一年
[2831.18-2831.70] 那
[2831.70-2832.98] 如果这个冷盘
[2833.50-2835.54] 房地产冷盘维持很久的话
[2835.80-2840.14] 那当然有可能在未来几年需求可能会开始有些缓步的下降也说不定
[2840.66-2843.48] 但在今年看起来应该会是比较稳定
[2843.98-2846.54] 那中国需求就刚才有说明
[2846.80-2847.32] 就是
[2849.62-2850.64] 第二季
[2850.90-2851.66] 看起来
[2853.98-2856.28] 是有稍微好一点但是其实
[2856.78-2859.10] 今年整年我觉得还是这个基调就是
[2859.86-2861.40] 比去年是降幅少
[2861.70-2863.50] 就可能大概是掉
[2863.74-2866.30] 5到8个分身这样我觉得是基本盘
[2866.82-2868.36] 那当然如果后面
[2869.12-2870.66] 有些政策变化的话再说
[2871.42-2874.24] 那目前看起来苹果基本盘
[2886.28-2890.12] 以上就先回答聊天室现在的问题
[2890.38-2890.88] 那
[2891.70-2892.72] 如果还有
[2893.74-2894.78] 其他提问的话请
[2895.02-2897.08] 请各位再提在聊天室里面
[2914.48-2916.02] 山水的状况
[2916.54-2919.60] 山水有没有山水的状况山水状况其实
[2920.12-2920.88] 去年
[2921.14-2921.66] 就是比较
[2921.96-2922.46] 正常
[2923.74-2924.52] 那坦白讲因为
[2924.78-2926.06] 4Q23会
[2926.56-2927.34] 比较大的亏损
[2927.58-2928.86] 也是因为他有一些
[2929.38-2929.90] 减值
[2930.92-2931.68] 那些减值
[2932.96-2935.26] 所以去年亏到这么多也是
[2936.30-2937.82] 不是完全是本业造成
[2939.62-2942.94] 那今年第四季可以是正贡献其实
[2943.72-2945.50] 主要是因为价格的回升
[2946.78-2947.30] 就是
[2947.82-2951.66] 其实北方的价格在去年第四季是表现是还不错的
[2951.96-2954.26] 那供给秩序也维持的比较好
[2954.78-2955.54] 所以就是价格
[2956.06-2956.56] 回升导致
[2957.84-2958.36] 那
[2958.62-2960.66] 因为他大概是在11月
[2960.92-2961.94] 中才停产
[2962.96-2965.52] 所以第四季来讲其实他至少还有
[2966.04-2968.08] 营运大概一个半月多
[2968.60-2970.64] 那这部分其实就可以
[2970.90-2971.92] cover他的一个
[2972.44-2973.20] 12月的回溯
[2981.70-2981.96] 这些技术cios
[2994.50-2995.78] 好那
[2996.30-2996.80] 不晓得
[2997.06-2997.82] 卫生
[2998.60-2999.96] 掀上的投资法人
[3001.16-3001.66] 你问
[3007.04-3010.54] 那我们
[3011.70-3013.46] 還有新增一個問題
[3016.38-3019.80] 下面有一個投資人問到說
[3019.80-3021.34] 我們有一些基金
[3021.34-3023.54] 他投資公司有投資一些基金
[3023.54-3028.72] 它的投資內容是中國相關的股票嗎
[3028.72-3032.32] 最後是它是我們是屬於策略性的投資
[3032.32-3034.48] 那它是我們的財務性投資
[3034.48-3036.76] 所以這部分它投資內容
[3036.76-3038.06] 我們就不方便多說明
[3038.06-3040.94] 所以我們是屬於我們的策略性投資
[3041.70-3053.14] 那不知道還有沒有投資先進
[3053.14-3054.50] 有問題要提出來的
[3071.70-3081.04] 那如果各位投資先進沒有其他問題的話
[3081.04-3084.88] 那我們今天的亞洲水泥線上法人說明會
[3084.88-3086.06] 就先進行到這裡
[3086.06-3088.00] 那我們再次謝謝Ninus
[3088.00-3089.96] 那也謝謝各位的參與
[3089.96-3091.52] 謝謝
[3091.52-3093.26] 拜拜
[3101.70-3101.72] 
