[0.00-8.68] 各位嘉宾各位媒体朋友
[1951.46-1953.26] 那可能是我們有所謂的商船的訂單交貨大概要多久
[1953.26-1955.26] 那可能是我們有所謂的商船的訂單交貨大概要多久
[1955.26-1956.26] 但是如果是軍艦
[1956.26-1961.26] 那可能至少有從簽約到交貨都要有大約
[1961.26-1964.26] 至少也要有三年多甚至也有到四年
[1964.26-1967.26] 那如果講到潛艦那當然就更久
[1967.26-1971.26] 所以基本上這一部分要跟各位投資先進說明
[1971.26-1977.26] 那個是跟我們所說的船型是有很大的不同
[1977.26-1981.26] 那另外國防預算增加對台船是否有利
[1981.26-1983.26] 我想對我們的國防預算增加對台船是否有利
[1983.26-1985.26] 那國防預算無非兩個
[1985.26-1987.26] 一個就是國建國造
[1987.26-1990.26] 另外一個是我們針對海巡
[1990.26-1997.26] 海巡的或許它自己也有所謂的巡防保衛國家的要求
[1997.26-2001.26] 因此其實我們可能投資朋友有稍微看到
[2001.26-2003.26] 我們剛剛李處長的簡報
[2003.26-2008.26] 那海巡署它事實上也有在未來照比較100 300
[2008.26-2011.26] 還有那個100 500
[2011.26-2012.26] 還有300
[2012.26-2013.06] 還有那個
[2013.26-2018.54] 2000還有8000噸級的巡防的
[2018.54-2019.50] 那這部分
[2019.50-2022.70] 陳儒剛剛有向各位先進們說明
[2022.70-2024.50] 就台船來說
[2024.50-2025.70] 我們就位折遊
[2025.70-2026.98] 因此太小的船
[2026.98-2029.22] 可能台船不會太過主動
[2029.22-2031.62] 但是對2000噸級左右的
[2031.62-2033.30] 這樣的一個巡護船
[2033.30-2034.94] 事實上是非常合適
[2034.94-2037.14] 台船去做積極爭取的
[2037.14-2043.62] 接下來我們回答
[2043.62-2044.98] 投資朋友說
[2044.98-2048.70] 我們目前的經營的瓶頸為何
[2048.70-2049.90] 如何去克服
[2049.90-2052.26] 基本上現在目前我們
[2052.26-2054.12] 可以看到的是
[2054.12-2056.12] 接單從最上游的接單
[2056.12-2058.04] 我們已經非常的透明
[2058.04-2060.14] 已經接到了2030
[2060.14-2062.74] 但是反觀在執行面上
[2062.74-2066.14] 我們會預期到說
[2066.14-2067.06] 以目前
[2067.06-2067.12] 我們會有一個
[2067.14-2068.70] 台灣少子化
[2068.70-2070.50] 因此在未來
[2070.50-2072.00] 人才的獲得
[2072.00-2073.54] 人力的獲得
[2073.54-2075.08] 這部分我們也
[2075.08-2077.20] 注意到了
[2077.20-2078.30] 這部分的警訊
[2078.30-2081.54] 因此針對人力跟人才的培育
[2081.54-2082.90] 還有人力的瓶頸
[2082.90-2085.10] 那我們分別會去
[2085.10-2087.22] 針對提早啟動的人力
[2087.22-2088.32] 傳承的計畫
[2088.32-2090.78] 那如果針對還是有部分
[2090.78-2092.76] 瓶頸產能不足
[2092.76-2095.14] 那我們就會跟另外的
[2095.14-2095.66] 尋求
[2095.66-2096.20] 這個
[2096.20-2097.06] 這個
[2097.14-2099.70] 來把這一塊產能不足
[2099.70-2100.86] 做一個克服
[2100.86-2102.70] 總之目前
[2102.70-2104.38] 訂單是絕對沒問題
[2104.38-2106.38] 那如果人力不足的部分
[2106.38-2108.46] 我們會隨著我們
[2108.46-2111.06] 目前已經拿到了中航的訂單
[2111.06-2112.66] 以及萬海的訂單
[2112.66-2113.90] 一一去評估
[2113.90-2115.46] 所有相關的產能
[2115.46-2116.82] 以及人力的需求
[2116.82-2118.86] 以及人才的培育的需求
[2118.86-2120.86] 來一一去做因應
[2125.66-2126.26] 好
[2126.26-2126.86] 嗯
[2126.86-2129.70] 中央來的請問QA主持人的職稱
[2129.70-2130.14] 好
[2130.14-2133.50] 那另外有媒體朋友問到
[2133.50-2135.26] QA主持人的職稱
[2135.26-2136.94] 那我自我講一下
[2136.94-2139.46] 我是台船總經理蔡坤忠
[2143.54-2143.94] 好
[2143.94-2147.02] 那接著另外一題
[2147.02-2149.78] 台船最大可造的貨櫃輪有多大
[2149.78-2151.50] 限制因素為何
[2151.50-2154.30] 那我答覆這一題稍微先講說
[2154.30-2155.86] 舊台船的屋
[2155.86-2156.30] 好
[2156.30-2159.94] 我們可以造的船至少都可以到兩萬TU級
[2159.94-2166.18] 但是台船建造過最大的貨櫃輪是一萬四千TU
[2166.18-2169.46] 它的是我們的陽明船東
[2169.46-2174.02] 但是建造的船東不是陽明是C-SPAN船東
[2174.02-2176.50] 這已經五艘都已經交完了
[2176.50-2178.74] 那目前對台船來說
[2178.74-2183.26] 我們已經承攬的八千七百TU不是一萬四
[2183.26-2185.58] 那這部分針對我們後續
[2185.58-2187.18] 應該要去提升的
[2187.18-2190.42] 倒不一定要限制造什麼一萬多TU
[2190.42-2192.14] 兩萬TU或者八千TU
[2192.14-2195.62] 而是我們要尋找貨櫃輪
[2195.62-2197.82] 基本上我們要從很多方面
[2197.82-2199.34] 包括從設計面
[2199.34-2204.34] 以及包括我們自己一定要達到有所謂的競爭力
[2204.34-2207.22] 那比如說我們船越大
[2207.22-2211.86] 我們的Block理論上就船段應該要做的比較大
[2211.86-2215.14] 這樣才有利於我們降低成本
[2215.14-2215.42] 轉換
[2215.58-2216.62] 縮短時間
[2216.62-2221.70] 那所以我們台船針對後續可能的這個造船
[2221.70-2226.34] 以及我們台船現有的兩部這個大吊車GOC
[2226.34-2231.58] 我們也規劃要啟動所謂的再換計劃來因應後續
[2231.58-2235.14] 如果台船有建造大型的船舶
[2235.14-2237.78] 那我們就可以把船段做大
[2237.78-2242.18] 然後讓我們船段做大以後來節省我們的工時
[2242.18-2245.26] 來提升我們自己的競爭力
[2245.58-2253.50] 那針對另外一個公司轉換債的這部分
[2253.50-2257.98] 麻煩請我們的柴快主管做回覆
[2257.98-2263.90] 柴快處這邊有媒體詢問說
[2263.90-2267.82] 有關公司有發行過可轉換公司債20億
[2267.82-2269.26] 目前到期的情形
[2269.26-2273.58] 在這邊回覆本公司在109年2月24發行5年期的公司債
[2273.58-2274.58] 在這邊回覆本公司債109年2月24發行5年期的公司債
[2274.58-2275.42] 在這邊回覆本公司債109年2月24發行5年期的公司債
[2275.42-2276.42] 在這邊回覆本公司債109年2月24發行5年期的公司債
[2276.42-2277.42] 在這邊回覆本公司債109年2月24發行5年期的公司債
[2277.42-2282.42] 那到今年114年的2月24日已經到期
[2282.42-2286.42] 那這個到期的時候是要按照債券的面額一次做償還
[2286.42-2289.42] 截至到這個2月24日到期前
[2289.42-2294.42] 已經有約2.32億的部分已經轉換成普通國
[2294.42-2298.42] 那目前需要償還的金額是17.68億
[2298.42-2301.42] 要在到期的時候一次做償還
[2301.42-2304.42] 那本公司已經公告在預計在114年
[2304.42-2309.42] 的3月6日會把這個到期償還的款項
[2309.42-2312.42] 支付給所有的債權人
[2312.42-2313.42] 以上回覆
[2313.42-2320.42] 好謝謝我們的財務財快的姑姑處長
[2320.42-2323.42] 那接下來我們回答有媒體記者
[2323.42-2329.42] 有媒體在問臺船當然在近幾年都是有這個訂單
[2329.42-2332.42] 比較不好傳價導致於我們的虧損
[2332.42-2333.42] 那什麼時候比較容易
[2333.42-2335.42] 有所謂的好的單子
[2335.42-2337.42] 我這一部分稍微簡單說明
[2337.42-2341.42] 基本上我們船從一簽約到真正的交船
[2341.42-2343.42] 最少都大概兩年
[2343.42-2347.42] 有的甚至如果照件剛剛有說到都要到四年
[2347.42-2351.42] 所以其實我們即使在今年跟明年部分
[2351.42-2353.42] 大部分是今年那部分是明年
[2353.42-2357.42] 還是在過去承攬比較不好傳價所承攬的
[2357.42-2360.42] 但那個比例就已經慢慢的降低
[2360.42-2362.42] 但現在今年
[2363.42-2367.42] 我們開始接的無論是叫中航或者是萬海
[2367.42-2370.42] 這個傳價的單已經慢慢的回升
[2370.42-2373.42] 那這部分會在今年開始開工
[2373.42-2375.42] 那萬海會在明年開始開工
[2375.42-2380.42] 大概這個資訊提供給我們的投資朋友們知道
[2380.42-2386.42] 接著有媒體問到手持訂單業務達到1300多億
[2386.42-2388.42] 然後有剩下多少金額等等
[2388.42-2392.42] 這部分麻煩請我們的周副總經理做說明
[2393.42-2395.42] 那針對媒體這個提問
[2395.42-2400.42] 目前我們的手持訂單的合約總額大概1300多億
[2400.42-2401.42] 剛剛的簡報有
[2401.42-2408.42] 那目前我們公司針對我們的餘額主要是按照完工比例法
[2408.42-2410.42] 所以只要他的進度有的話
[2410.42-2412.42] 我們都會逐月的去報營收
[2412.42-2417.42] 那目前的手持的餘額大概是800億左右
[2417.42-2422.42] 在高雄廠我們目前萬海的船會排到2030年
[2422.42-2426.42] 會排到2030年大概是年底
[2426.42-2430.42] 那如果說option的試燒有繼續執行的話會到31年
[2430.42-2436.42] 那基隆廠目前主要的業務是在執行我們的海巡署的1000噸級的巡防艦
[2436.42-2440.42] 那他的檔期目前是排到116年
[2440.42-2443.42] 就是2027年的10月
[2443.42-2446.42] 謝謝我們的周副總經理
[2446.42-2450.42] 那接下來有我們的投資人問到
[2450.42-2452.42] 海船目前員工大概有多少人在船上
[2452.42-2455.42] 那這部分稍微做一個說明
[2455.42-2459.42] 海船應該所有的工作團隊裡面大概分幾種
[2459.42-2461.42] 一個是叫我們的理工
[2461.42-2466.42] 那大概機高兩長的理工大約是2800人
[2466.42-2469.42] 但是我們也有所謂的承攬商
[2469.42-2473.42] 那承攬商大概現在有機高兩長大概1200人
[2473.42-2480.42] 那配合我們近期已經承攬的我們的中航岸以及我們的外海岸
[2480.42-2482.42] 我們商船的這個工程
[2482.42-2484.42] 這個訂單增加了
[2484.42-2486.42] 因此我們在我們的承攬商
[2486.42-2493.42] 以及我們考慮到新人的這個應該要適當的做所謂的態換跟訓練
[2493.42-2498.42] 因此我們的員工我們已經今年也做了招聘的動作
[2498.42-2502.42] 預計大概今年會招聘約300元
[2502.42-2504.42] 但是在外包承攬商的部分
[2504.42-2510.42] 我們會配合供需持續去增加我們的承攬商的人力
[2510.42-2513.42] 那另外有投資朋友們問到
[2513.42-2516.42] 海船環海是否也有人力短缺
[2516.42-2518.42] 這個議題比較不會有
[2518.42-2521.42] 那基本上海船環海在近年來
[2521.42-2525.42] 隨著他們的業務量金額增加
[2525.42-2529.42] 他們的人以及辦公處所也有做了擴充
[2529.42-2532.42] 但目前沒有人力短缺的問題
[2534.42-2539.42] 那接著有投資朋友們有問到
[2540.42-2543.42] 你傳出我們的IDS原型艦
[2543.42-2545.42] 博港測試有延宕
[2545.42-2549.42] 是否我們可以相關的節點進度
[2549.42-2550.42] 電力系統等等
[2550.42-2553.42] 那這部分我們只能說
[2553.42-2558.42] 我們的HAT以及SAT事實上我們已經有說過
[2558.42-2563.42] 都按到節點以及要達到期程測試安全
[2563.42-2567.42] 我們才會去做下一個節點的作業
[2567.42-2570.42] 但目前我們還是依我們的原定規定
[2570.42-2573.42] 我們已經有做完整的規劃的進度
[2573.42-2576.42] 預計4月做所謂的扶航試車
[2576.42-2581.42] 那交件一樣是維持我們原先的合約交期
[2581.42-2583.42] 是今年的11月
[2600.42-2602.42] 我們還要做到的
[2602.42-2603.42] 我們還要做到的
[2603.42-2604.42] 我們還要做到的
[2604.42-2605.42] 我們還要做到的
[2605.42-2606.42] 我們還要做到的
[2606.42-2607.42] 我們還要做到的
[2607.42-2609.42] 接下來有一個媒體記者很好
[2609.42-2614.42] 他問到說最近這個川普總統上任以後
[2614.42-2619.42] 請問對我們的造船整體的這個影響
[2619.42-2621.42] 這個看法為何
[2621.42-2623.42] 包括最近也聽到
[2623.42-2625.42] 大家應該有聽到他說
[2625.42-2628.42] 如果大陸的船舶只要來靠他們美國
[2628.42-2630.42] 他就把他們的入港費
[2630.42-2632.42] 他們就要把他給增加等等
[2632.42-2633.42] 那這一個部分
[2633.42-2637.42] 請問台船針對我們的川普總統上任以後
[2637.42-2639.42] 所聯繫的一些的措施
[2639.42-2642.42] 那我們對造船的影響為何的看法
[2642.42-2646.42] 那我請我們的周副總經理做說明
[2646.42-2649.42] 美里的提問很好
[2649.42-2651.42] 我想這個問題是蠻大的
[2651.42-2654.42] 牽扯到全球的經濟
[2654.42-2657.42] 跟一些關稅的一個角力
[2657.42-2659.42] 那這部分其實對台船來講
[2659.42-2660.42] 喔
[2660.42-2663.42] 目前以目前我們接到的商船來講
[2663.42-2664.42] 問題不大
[2664.42-2666.42] 因為最主要的原物料的部分
[2666.42-2669.42] 我們鋼板主要是來自中鋼
[2669.42-2671.42] 並不我們目前所有的商船
[2671.42-2672.42] 包括公務船
[2672.42-2675.42] 鋼板不會跟美國採購
[2675.42-2678.42] 不會跟中國大陸採購
[2678.42-2681.42] 同樣的針對也有媒體問到
[2681.42-2683.42] 那這些重要的零組件
[2683.42-2685.42] 跟重要機具有沒有來自大陸呢
[2685.42-2689.42] 那事實上的確有一部分的機具會來自大陸
[2689.42-2692.42] 但是大陸跟韓國日本同樣的
[2692.42-2695.42] 我們會針對它的主要的機具的零組件
[2695.42-2697.42] 去做一些評判
[2697.42-2700.42] 只要包括它的功能規格交貨
[2700.42-2701.42] 還有它的價格
[2701.42-2703.42] 那所以這部分對台船
[2703.42-2705.42] 成造商船以目前的
[2705.42-2707.42] 以拿到的訂單來看
[2707.42-2709.42] 它的影響是不大
[2709.42-2712.42] 那事實上我們會針對剛剛
[2712.42-2715.42] 我們李處長的簡報有提到
[2715.42-2718.42] 這幾年中國大陸跟日本韓國
[2718.42-2720.42] 憑著政府的很多的措施
[2720.42-2722.42] 不管是檯面上
[2722.42-2724.42] 或者是檯面下
[2724.42-2727.42] 讓他們幾乎壟斷了
[2727.42-2731.42] 全球商船將近90%以上的業務量
[2731.42-2733.42] 那我想這一點在川普上任之後
[2733.42-2735.42] 他也發現這個問題
[2735.42-2738.42] 他希望用不同的方法來減低
[2738.42-2740.42] 包括有一些船航行到美國
[2740.42-2743.42] 是不是要課徵比較特殊的稅
[2743.42-2744.42] 那如果是中國造的船
[2744.42-2746.42] 又要去課徵比較高的稅
[2746.42-2748.42] 那當然很多的傳統船
[2748.42-2750.42] 都認為這是不太可能的
[2750.42-2752.42] 那當然我想這部分
[2752.42-2754.42] 可能是對台船來講
[2754.42-2756.42] 目前不會有影響
[2756.42-2758.42] 但是對航商可能會有影響
[2758.42-2760.42] 那我們這邊會呼籲
[2760.42-2762.42] 因為美國目前
[2762.42-2764.42] 不管是商船的建造
[2764.42-2766.42] 或者是軍艦的建造
[2766.42-2769.42] 它的速度其實遠不及中國大陸
[2769.42-2772.42] 那事實上對我們做國際貿易
[2772.42-2776.42] 靠船的這樣的一個國家來說
[2776.42-2778.42] 事實上商船的這個政策
[2778.42-2779.42] 我覺得很重要
[2779.42-2780.42] 我想不管日本韓國
[2780.42-2784.42] 包括大概三四十年前的歐洲
[2784.42-2787.42] 有關這個不管希臘丹麥或者英國
[2787.42-2789.42] 商船的建造本來都有
[2789.42-2791.42] 後來都慢慢轉到亞洲
[2791.42-2794.42] 最主要是它已經失去競爭力
[2794.42-2796.42] 但是台灣的一個特色
[2796.42-2798.42] 跟它主要的性質
[2798.42-2801.42] 其實跟某些國家蠻像的
[2801.42-2803.42] 如果說我們把商船的基礎
[2803.42-2805.42] 跟國安去考慮
[2805.42-2806.42] 某一些的部分啦
[2806.42-2807.42] 我認為
[2808.42-2810.42] 或許我們的政府可以去考量
[2810.42-2813.42] 怎麼樣去在這個利益權衡
[2813.42-2814.42] 跟利害關係權衡之下
[2814.42-2816.42] 能夠取得一個平衡點
[2816.42-2820.42] 一方面來穩定國內的航運業
[2820.42-2821.42] 也包括造船業
[2821.42-2825.42] 讓我們的經濟能夠持續的成長
[2825.42-2827.42] 那這部分也牽扯到
[2827.42-2829.42] 我們剛剛有提到無人船的發展
[2829.42-2832.42] 目前兩岸的情勢
[2832.42-2835.42] 其實是有一點比較
[2835.42-2837.42] 算是比較高深
[2837.42-2840.42] 但是到還沒有到比較緊張的一個程度
[2840.42-2842.42] 所以針對未來可能發生的
[2842.42-2845.42] 任何的情況跟假想
[2845.42-2847.42] 台船也都有預作準備
[2847.42-2849.42] 所以無人船針對國防的運用
[2849.42-2851.42] 我想是很重要的
[2851.42-2852.42] 那如果這方面
[2852.42-2854.42] 我們針對美國最近
[2854.42-2856.42] 針對造船的一個保護
[2856.42-2857.42] 或者重啟
[2857.42-2860.42] 我覺得國內的這些媒體朋友
[2860.42-2861.42] 或者是一些投資人
[2861.42-2863.42] 也許從不同的角度
[2863.42-2865.42] 不要只看它是不是有獲利
[2865.42-2867.42] 而來看它是不是有獲利
[2867.42-2869.42] 讓它能夠長久保有這個
[2869.42-2871.42] 造船的一個能量
[2871.42-2873.42] 那事實上它可以穩定
[2873.42-2876.42] 我們國家的經濟貿易的成長
[2876.42-2878.42] 跟國防安全的一個確保
[2878.42-2880.42] 那我這邊做一個個人的一個
[2880.42-2882.42] 見解跟補充
[2882.42-2884.42] 好
[2884.42-2886.42] 那謝謝我們周副總經理的一個
[2886.42-2888.42] 看法跟補充
[2888.42-2892.42] 那接著有投資朋友們問到
[2892.42-2895.42] 台船環海今年的獲利預估
[2895.42-2897.42] 是不是跟去年
[2897.42-2899.42] 的獲利是一樣的水準
[2899.42-2901.42] 那這部分我們要說明的是
[2901.42-2904.42] 台船環海今年的營運
[2904.42-2906.42] 一樣是有樂觀的看待
[2906.42-2908.42] 因此一定會獲利
[2908.42-2910.42] 獲利了以後也會有50%的
[2910.42-2912.42] 這個獲利的金額
[2912.42-2915.42] 回饋給我們台船母公司
[2915.42-2917.42] 但是不是跟去年
[2917.42-2919.42] 一樣的獲利的一個值
[2919.42-2921.42] 抱歉喔這個就我們商業機密
[2921.42-2924.42] 就不合適對外說明
[2924.42-2926.42] 那另外接著有我們的
[2926.42-2928.42] 投資朋友們問到
[2928.42-2931.42] 台船以目前現有的訂單來看
[2931.42-2934.42] 哪一年才會有機會轉虧為盈
[2934.42-2937.42] 那這部分我們只能說
[2937.42-2939.42] 我們會努力的去
[2939.42-2941.42] 看明年就盡最大的努力
[2941.42-2944.42] 然後來朝著各種降低成本
[2944.42-2947.42] 再努力的去執行
[2947.42-2949.42] 趕快有機會
[2949.42-2951.42] 趕快來做所謂的轉虧為盈
[2951.42-2955.42] 以上這是我們簡料的答覆
[2956.42-2958.42] 謝謝
[2986.42-2988.42] 我們都已經有答覆
[2997.42-3000.42] 好那如果沒有我們最後一個問題
[3000.42-3002.42] 剛剛有一個媒體
[3002.42-3004.42] 跟我們投資朋友問到
[3004.42-3007.42] 台船公司承攬了多項的
[3007.42-3009.42] 中油公司的工程案
[3009.42-3012.42] 那請問預估獲利為何
[3012.42-3015.42] 那這部分我們稍微做簡單的說明
[3015.42-3018.42] 那台船承攬了中油兩個案子
[3018.42-3023.42] 一個是26座石油的儲油槽統包
[3023.42-3024.42] 那另外一個案子呢
[3024.42-3027.42] 叫做大林石化油品儲運中心的
[3027.42-3029.42] 槽車案的裝卸工廠
[3029.42-3031.42] 那兩個案子呢
[3031.42-3033.42] 大約的合約總值是
[3033.42-3036.42] 121億元含稅
[3036.42-3040.42] 那這兩個案子目前都仍依計畫
[3040.42-3042.42] 在進度施工中
[3042.42-3044.42] 那這兩個案子呢也都會
[3044.42-3049.42] 預計對台船公司有所謂的獲利
[3049.42-3050.42] 但是因為獲利的基因
[3050.42-3052.42] 屬於營業機密
[3052.42-3054.42] 所以不便對外透露
[3054.42-3056.42] 以上那我們非常感謝
[3056.42-3059.42] 所有的投資先進
[3059.42-3063.42] 以及媒體朋友的一個詢問
[3063.42-3065.42] 那如果沒有其他的問題
[3065.42-3067.42] 那我們的答覆就到這邊謝謝
[3071.42-3073.42] 未來賓所提出的寶貴意見
[3074.42-3076.42] 今天台船公司訪人說明會
[3076.42-3078.42] 就到此結束
[3078.42-3081.42] 非常感謝您的參與
[3081.42-3084.42] 最後敬祝各位萬事如意
[3084.42-3085.42] 投資順利
[3085.42-3086.42] 謝謝
