[0.00-1.00] 介紹一下
[1340.70-1341.70] 針對民生用品的部分
[1341.70-1343.70] 也持續不斷的在做開發
[1343.70-1344.70] 所以這個部分
[1344.70-1346.70] 我們的成長的動能包含
[1346.70-1347.70] 除了現有的部分
[1347.70-1350.70] 這幾個主要原來世界第一的行業
[1350.70-1352.70] 我的佔有率繼續擴大之外
[1352.70-1353.70] 那就是在於說
[1353.70-1356.70] 這些新的這三五年
[1356.70-1357.70] introduce進來
[1357.70-1358.70] 新的客戶這邊
[1358.70-1359.70] 我們會繼續的把
[1359.70-1360.70] 讓這些的部分
[1360.70-1362.70] 客戶的部分的訂單會
[1362.70-1363.70] 繼續的成長茁壯
[1363.70-1365.70] 而且是各個的生產據點
[1365.70-1366.70] 和我們營業中心
[1366.70-1368.70] 都在著力的部分
[1368.70-1370.70] 接著跟各位拜訪
[1370.70-1371.70] 鄭森的部分整體的
[1371.70-1373.70] 現有營業高漢全球佈局
[1373.70-1377.70] 剛剛我們的洪董事也跟各位提到
[1377.70-1380.70] 我們有四個生產中心
[1380.70-1382.70] 上方是我們臺灣的營運總部
[1382.70-1384.70] 現有的營運總部
[1384.70-1386.70] 營運總部的部分
[1386.70-1388.70] 在我們營運總部的部分
[1388.70-1390.70] 我們巡迴佈局生產的四個區點
[1390.70-1391.70] 包含臺灣的營運總部
[1391.70-1392.70] 我們福建廠
[1392.70-1394.70] 在川普的福建廠
[1394.70-1396.70] 這兩個規模是相對比較大的一個部分
[1396.70-1397.70] 剛好大中華區的部分
[1397.70-1399.70] 包含臺灣的部分
[1399.70-1401.70] 我們在19年併購的歐洲廠
[1401.70-1404.70] 我們就已經服務歐洲當地客人
[1404.70-1406.70] 越南廠19年進去以後
[1406.70-1408.70] 也是為了南向的部分
[1408.70-1411.70] 也是為了剛好全球化的客戶的一個流向佈局
[1411.70-1413.70] 我們的佈局向下去的部分
[1413.70-1414.70] 現有的部分
[1414.70-1415.70] 後續對我們公司
[1415.70-1416.70] 對客戶的服務面
[1416.70-1418.70] 和生產面的其實供應都很大的幫助
[1418.70-1420.70] 很簡單
[1420.70-1422.70] 我四個生產中心之外
[1422.70-1424.70] 我只能夠讓客戶能夠及時的
[1424.70-1426.70] 讓客戶找到我們
[1426.70-1427.70] 幫他在生產的時候
[1427.70-1428.70] 任何的問題
[1428.70-1430.70] 任何需求都能夠去符合到
[1430.70-1433.70] 我們在全球有六個營運中心
[1433.70-1436.70] 包含加拿大會美國也必須要設立
[1436.70-1439.70] 營運中心就是我們跟客戶整個對應
[1439.70-1442.70] 直接對應的業務的一個服務的據點的部分
[1442.70-1443.70] 當然臺灣
[1443.70-1444.70] 臺灣 河南 越南
[1444.70-1445.70] 這幾個
[1445.70-1446.70] 這幾個點
[1446.70-1449.70] 這個部分是我們本身在生產中心之外
[1449.70-1452.70] 也有業務的營運的部分的據點
[1452.70-1453.70] 對於客戶
[1453.70-1455.70] 另外在大中華區
[1455.70-1456.70] 這麼大的
[1456.70-1457.70] 中國的服務也這麼大的部分
[1457.70-1458.70] 我們在華北 華中 華南
[1458.70-1460.70] 都設有我們的營運中心
[1460.70-1462.70] 作為發貨和設計
[1462.70-1466.70] 跟客戶設計溝通的一個相對的一個
[1466.70-1469.70] 對應的一個窗口
[1469.70-1470.70] 能夠最快的速度
[1470.70-1471.70] 能夠讓客人
[1471.70-1473.70] 把客人的需求通通照顧得到
[1473.70-1474.70] 讓客戶能放心
[1475.70-1476.70] 這裡部分
[1476.70-1477.70] 會後如果有時間
[1477.70-1478.70] 跟各位可以再報告一下
[1478.70-1481.70] 如何去砸刀這個所有資訊化
[1481.70-1482.70] 第一時間的部分
[1482.70-1483.70] 把所有資訊來
[1483.70-1485.70] 能夠讓客人能夠放心
[1485.70-1488.70] 在這裡
[1488.70-1489.70] 今天另外一個重點
[1489.70-1491.70] 在這一次我們特別請我們的
[1491.70-1493.70] 永續主管永續長
[1493.70-1494.70] 我們李天駕 李協理
[1494.70-1495.70] 來這邊跟各位來做一個互動
[1495.70-1496.70] 就是說
[1496.70-1497.70] 我們在這幾年
[1497.70-1499.70] 剛剛前的我們成長動能之外
[1499.70-1501.70] 怎麼讓客人在未來的操作之間
[1501.70-1503.70] 正生能夠立於不敗之地
[1503.70-1504.70] 在20世紀快的部分
[1504.70-1509.70] 我們是真正的落實下去去處理的
[1509.70-1510.70] 去來經營的部分
[1510.70-1512.70] 我們在去年成立了
[1512.70-1513.70] 永續發展委員會
[1513.70-1515.70] 去年董事會
[1515.70-1516.70] 董事會這邊
[1516.70-1517.70] 董事會裡面
[1517.70-1518.70] 董事會這邊
[1518.70-1520.70] 在永續發展委員會那邊
[1520.70-1523.70] 我們對董事會這邊的一個指揮的需求
[1523.70-1524.70] 我們設立了永續長
[1524.70-1525.70] 也就是請我們的那個
[1525.70-1528.70] 在永續發展議事會最早
[1528.70-1530.70] 接觸我們的業務單位的主管
[1530.70-1531.70] 營運主管的部分
[1531.70-1532.70] 李天駕 協理的部分
[1532.70-1533.70] 來擔任的
[1533.70-1535.70] 擔任的永續長
[1535.70-1537.70] 來做這個部分的領導
[1537.70-1539.70] 我們所有的各個專案小組
[1539.70-1541.70] 來做這個永續發展
[1541.70-1542.70] 也就是這邊的一個執行
[1542.70-1544.70] 這包含整個集團的部分
[1544.70-1545.70] 剛剛前面也跟各位報告
[1545.70-1547.70] 我們在去年2024年
[1547.70-1549.70] 我們出版的第一版本的
[1549.70-1551.70] 那個正生的永續報告
[1551.70-1552.70] 一系列報告
[1552.70-1554.70] Chancellors' Perspectivity Report的部分
[1554.70-1555.70] 各位可以在
[1555.70-1557.70] 剛剛這裡在後面
[1557.70-1558.70] 我們這個檔案上面會有連結
[1558.70-1559.70] 在我們官網上面連結
[1559.70-1560.70] 可以直接下載
[1560.70-1561.70] 那預計今年度
[1561.70-1562.70] 今年在8月的部分
[1562.70-1563.70] 預計今年8月
[1563.70-1566.70] 我們的2024年版的永續報告
[1566.70-1568.70] 也會出版
[1568.70-1572.70] 讓投資人來瞭解我們整個業績部分
[1572.70-1575.70] 所有面向我們的執行
[1575.70-1576.70] 達成的一個結果
[1576.70-1578.70] 第一年執行達成的結果
[1578.70-1579.70] 那業績的部分
[1579.70-1581.70] 第一個在E的部分
[1581.70-1582.70] 我們做了哪些事情
[1582.70-1584.70] 第一個部分我們這裡有包含
[1584.70-1586.70] 我現在這個例子很多
[1586.70-1588.70] 跟各位做個約略報告
[1588.70-1589.70] 我們這兩年
[1589.70-1590.70] 跟客戶這邊
[1590.70-1592.70] 幫客戶這邊來開發
[1592.70-1594.70] 新的地碳的產品
[1594.70-1595.70] 這個地碳是幫客人
[1595.70-1597.70] 在他的生產端
[1597.70-1599.70] 生產端的部分
[1599.70-1601.70] 能夠讓他能夠達到
[1601.70-1605.70] 他的整體的生產的流程
[1605.70-1606.70] 能夠簡化
[1606.70-1608.70] 而且能夠消耗較低的使用較低的能量
[1608.70-1610.70] 所以我們叫做地碳的產品
[1610.70-1611.70] 那這裡像這兩個部分
[1611.70-1613.70] 我們原來的泰山標是
[1613.70-1614.70] 我們最熱賣
[1614.70-1617.70] 毛利算比較都蠻好的一個產品
[1617.70-1619.70] 這個部分我們會結合
[1619.70-1620.70] 我們自己的
[1620.70-1621.70] 剛剛前面講的
[1621.70-1622.70] 我們有自己的研發團隊
[1622.70-1624.70] 開發工藝的部分
[1624.70-1626.70] 我們開發出來的這個地碳
[1626.70-1627.70] 幫客人能夠做
[1627.70-1628.70] 他的生產流程
[1628.70-1630.70] 能夠簡化的一個地碳產品
[1630.70-1632.70] 不環保太散的氨量目標
[1632.70-1633.70] 那這個新產品的開發
[1633.70-1635.70] 像今年度的台北展的部分
[1635.70-1636.70] 我們Lighthead
[1636.70-1637.70] 這光輪標的部分
[1637.70-1639.70] 它也跟這個都有結合
[1639.70-1640.70] 這個都有跟結合
[1640.70-1641.70] 這可以看到
[1641.70-1642.70] 在E泰走這一塊前面的E的
[1642.70-1643.70] 那個E口的部分
[1643.70-1645.70] 就是我們的地碳的部分
[1645.70-1646.70] 那個產品別的部分
[1646.70-1647.70] 那這裡我就大概帶過
[1647.70-1648.70] 這一塊我們產品
[1648.70-1649.70] 那這裡未來這幾年
[1649.70-1650.70] 我們持續
[1650.70-1651.70] 會在這裡
[1651.70-1652.70] 在產品的部分
[1652.70-1653.70] 除了我們自己的
[1653.70-1654.70] 簡碳做法
[1654.70-1655.70] 要幫助客人去
[1655.70-1657.70] 他的生產流程
[1657.70-1658.70] 去能夠去簡碳
[1658.70-1659.70] 這個部分是我們繼續
[1659.70-1660.70] 在研發上面開發
[1660.70-1662.70] 很重要的一個目標
[1662.70-1665.70] 那在E的部分
[1665.70-1666.70] 簡碳的部分
[1666.70-1668.70] E跟簡碳最大的關係的部分
[1668.70-1669.70] 我們內部的做的部分
[1669.70-1670.70] 在我們有機化化組
[1670.70-1672.70] 也看到這些相關的變相
[1672.70-1674.70] 第一個像我們在能源
[1674.70-1675.70] 我們自發使用台灣廠這邊
[1675.70-1676.70] 會持續在提升
[1676.70-1678.70] 那今年度會做到第三期
[1678.70-1679.70] 第三期的部分
[1679.70-1680.70] 我們太陽能夠做的部分
[1680.70-1681.70] 第三期自發使用
[1681.70-1683.70] 和設備效能提升
[1683.70-1684.70] 我們希望我們在
[1684.70-1686.70] 在綠能的部分這一塊
[1686.70-1687.70] 在這幾年的部分
[1687.70-1689.70] 能夠就能夠達到10%以上
[1689.70-1690.70] 台灣廠的10%以上
[1690.70-1694.70] 能夠導入再生能源的一個部分
[1694.70-1695.70] 那另外設備效能部分
[1695.70-1698.70] 根據我們的碳盤查的報告裡邊
[1698.70-1701.70] 我們針對我們的排碳熱點的部分
[1701.70-1702.70] 開始做相關的改善
[1702.70-1703.70] 那剛剛這裡有講
[1703.70-1705.70] 我們在去年拿到第一版本的
[1705.70-1708.70] 溫室溫室系列盤查的
[1708.70-1709.70] 這個證書之外
[1709.70-1710.70] 我們的海溫系列盤查的
[1710.70-1711.70] 台灣廠今年度
[1711.70-1712.70] 我們開始已經在著手
[1712.70-1714.70] 那個各個集團的一個盤查的部分
[1714.70-1715.70] 開始著手
[1715.70-1717.70] 預計明年會有第一版的集團的
[1717.70-1719.70] 那個碳盤查報告會出來
[1719.70-1720.70] 那另外在內部我們
[1720.70-1721.70] 持續在注意我們的部分
[1721.70-1723.70] 化鉛品怎麼去減量
[1723.70-1726.70] 減少它的那個容積的排放
[1726.70-1727.70] 廢棄物的部分管理
[1727.70-1729.70] 包含開發環保材
[1729.70-1730.70] 環保材部分是包含我們自己
[1730.70-1732.70] 能夠減少我們垃圾量之外
[1732.70-1733.70] 這跟範疇特別有關
[1733.70-1734.70] 也幫客人這邊
[1734.70-1737.70] 客人在使用我們產品完成了之後
[1737.70-1738.70] 不管包裝材
[1738.70-1740.70] 或是它的包材的部分
[1740.70-1741.70] 它會較容易接受
[1741.70-1743.70] 因為早期大家都是用膠帶的部分
[1743.70-1745.70] 這是其中幾個案例的部分
[1745.70-1747.70] 那我們的製程部分
[1747.70-1749.70] 在開始已經把我們的
[1749.70-1751.70] 原來最大的塑膠廢料的部分
[1751.70-1753.70] 產生的部分都已經完全排除掉
[1753.70-1755.70] 現在我們置板部分是完全
[1755.70-1757.70] 就是直接數位置板
[1757.70-1759.70] 沒有再用塑膠軟片的部分
[1759.70-1762.70] 那翻軸一很大的一個部分
[1762.70-1765.70] 就是我們那個業務的公務車
[1765.70-1766.70] 一般公務車的部分
[1766.70-1767.70] 已經我們已經完成
[1767.70-1769.70] 已經換成了電動車的部分
[1769.70-1770.70] 那另外呢
[1770.70-1772.70] 也在員工的部分我們推行
[1772.70-1774.70] 配合巨大的那個U-Bike的
[1774.70-1777.70] 那個騎乘探訓的部分
[1777.70-1779.70] 我們也參與它的那個計畫
[1779.70-1781.70] 來進行減碳存整的這一塊
[1781.70-1784.70] 那社會責任的部分
[1784.70-1785.70] 剛好各位看到
[1785.70-1787.70] 在跟各位大概我們報告一下
[1787.70-1790.70] 像這裡第一個人才吸引流入的部分
[1790.70-1792.70] 除了我們的部分
[1792.70-1794.70] 以後會公佈我們整體的
[1794.70-1795.70] 員工的薪資水準的部分
[1795.70-1796.70] 福利部分
[1796.70-1799.70] 依法去照顧好員工的狀況之下
[1799.70-1800.70] 那內部的活動
[1800.70-1801.70] 像這裡剛有的
[1801.70-1802.70] 我們每一年
[1802.70-1804.70] 我們下個禮拜有員工的那個
[1804.70-1805.70] 那個旅遊的部分
[1805.70-1807.70] 那如果有辦員工的健康角度
[1807.70-1808.70] 相關的活動
[1808.70-1810.70] 那也我們在去年開始
[1810.70-1812.70] 內部的設計的那個
[1812.70-1814.70] 員工的領先吧的部分
[1814.70-1816.70] 然後在我們內部辦活動
[1816.70-1817.70] 像這裡左邊
[1817.70-1819.70] 左下方這是一個
[1819.70-1820.70] 又是若是團體
[1820.70-1821.70] 那個GOOR團體的部分
[1821.70-1823.70] 我們在去年的Family Day的時候
[1823.70-1824.70] 有公司這邊
[1824.70-1825.70] 我們董事長
[1825.70-1826.70] 洪董事長這邊
[1826.70-1828.70] 親自幫個小情心給我們邀請
[1828.70-1829.70] 我們派車
[1829.70-1830.70] 鄭生花錢
[1830.70-1831.70] 派遊覽車
[1831.70-1833.70] 請這些小朋友帶鄭生來參加
[1833.70-1835.70] 我們的那個鄭生的Family Day
[1835.70-1836.70] 家庭日的部分
[1836.70-1839.70] 那這裡各位剛剛手上拿到的
[1839.70-1840.70] 我們今天準備的禮品
[1840.70-1842.70] 都是公益團體的禮品
[1842.70-1843.70] 我們現在在挑
[1843.70-1844.70] 我們送給員工的
[1844.70-1846.70] 或是對外送的禮品的話
[1846.70-1847.70] 我們像不是家福
[1847.70-1848.70] 或者是說
[1848.70-1851.70] 或者是相關的若是團體的部分
[1851.70-1853.70] 那個有認證做團體的部分
[1853.70-1854.70] 我們都會挑這個禮品
[1854.70-1857.70] 來實際來贊助他們的活動
[1857.70-1858.70] 謝謝
[1858.70-1859.70] 另外像這個部分
[1859.70-1861.70] 我們像每年會有兩次
[1861.70-1862.70] 鄭生自己來主辦的
[1862.70-1863.70] 捐血日的活動
[1863.70-1864.70] 我們總經理
[1864.70-1866.70] 去年我們都有捐出入管
[1866.70-1868.70] 而且小小的一個故事
[1868.70-1870.70] 當時其實捐血中心很怕
[1870.70-1871.70] 派遊捐血不划算
[1871.70-1872.70] 我們的量不足
[1872.70-1874.70] 當天我們是全旅員工
[1874.70-1875.70] 去推這個事情的時候
[1875.70-1877.70] 再加上在工業區
[1877.70-1878.70] 然後工業區這邊去
[1878.70-1879.70] 網民宣傳
[1879.70-1881.70] 所以當時我們捐血的量
[1881.70-1883.70] 比他要的目標
[1883.70-1884.70] 還多了40%出來
[1884.70-1885.70] 40%出來
[1885.70-1887.70] 所以像捐血中心
[1887.70-1889.70] 捐血中心是非常樂意的
[1889.70-1890.70] 來配合我們這個活動
[1890.70-1892.70] 一開始他們真的很擔心
[1892.70-1894.70] 我們員工才200多人
[1894.70-1895.70] 台灣產
[1895.70-1897.70] 怎麼能到他的量
[1897.70-1899.70] 另外就是在於說
[1899.70-1901.70] 我們怎麼樣永續經營的部分
[1901.70-1903.70] 員工是公司最重要的
[1903.70-1906.70] 一個人力資產的資產
[1906.70-1911.70] 這個部分我們藉由這些
[1911.70-1914.70] 我們去年有拿到的
[1914.70-1916.70] 勞動力發展署的部分
[1916.70-1918.70] 做一些CDQS系統的認證的部分
[1918.70-1921.70] 我們建立內部的長勢制度
[1921.70-1922.70] 我們持續培育的
[1922.70-1924.70] 永續發展的人才
[1924.70-1925.70] 和管理能力
[1925.70-1927.70] 智慧生產的部分
[1927.70-1929.70] 我們希望邁進是建構
[1929.70-1930.70] 邁向智慧
[1930.70-1931.70] 智商永續發展的一個
[1931.70-1932.70] 主要企業的目標
[1932.70-1936.70] 再來公司治理這一塊
[1936.70-1939.70] 跟各位先進來報告的部分
[1939.70-1940.70] 剛剛講的
[1940.70-1941.70] 在網站你們可以連結上去
[1941.70-1943.70] 這裡是我們永續發展委員會的
[1943.70-1945.70] 部分一個設置
[1945.70-1946.70] 在董事會底下
[1946.70-1947.70] 也有我們三位獨董
[1947.70-1950.70] 以及我們的總經理的董事
[1950.70-1952.70] 來成立永續發展委員會的部分
[1952.70-1953.70] 我們下下執行長
[1953.70-1955.70] 就是我們的在座永續長的部分
[1955.70-1957.70] 林天堯 李玄禮來領導
[1957.70-1960.70] 一共五個專案小組
[1960.70-1962.70] 來實際真正的
[1962.70-1964.70] 實際來推行我們的ESG的部分
[1964.70-1967.70] 所有的面向的KPI達成
[1967.70-1969.70] 在對外也讓投資人
[1969.70-1971.70] 在我們ESG的部分的相關的資料
[1971.70-1973.70] 永續專區讓投資人
[1973.70-1974.70] 永遠都看得到
[1974.70-1976.70] 這個部分的話就是另外
[1976.70-1977.70] 在我們的供應商的部分
[1977.70-1978.70] 也開始要求客戶關係
[1978.70-1980.70] 以及風雪剛剛前面講的
[1980.70-1982.70] 這些相對的空閒管理的部分
[1982.70-1985.70] 我們這叫Risk Management的部分
[1985.70-1987.70] 這塊也是我們在持續進行
[1987.70-1988.70] 在進行的
[1988.70-1989.70] 這還沒完成
[1989.70-1991.70] 會繼續去持續這樣去進行
[1991.70-1992.70] 會持續進行
[1992.70-1993.70] 讓我們所有的投資大眾
[1993.70-1996.70] 以及讓我們經營的經營層
[1996.70-1997.70] 以及我們所有同仁
[1997.70-1998.70] 能夠放心
[1998.70-2000.70] 在正真正的是要做到
[2000.70-2002.70] 那個永續經營這一塊
[2002.70-2003.70] 好
[2003.70-2004.70] 來到今天
[2004.70-2005.70] 我解報最後的部分
[2005.70-2006.70] 未來掌握的部分
[2006.70-2008.70] 我們後續的這個部分
[2008.70-2011.70] 在大環境這麼艱困之下
[2011.70-2013.70] 我們還是會持續投資
[2013.70-2014.70] 簡單之下
[2014.70-2016.70] 不管美國總統是誰
[2016.70-2017.70] 是川普是誰
[2017.70-2018.70] 他這種狀況很難講
[2018.70-2020.70] 但是我們的客人
[2020.70-2021.70] 最大的部分
[2021.70-2023.70] 其實政治局
[2023.70-2024.70] 剛剛有投資界在問說
[2024.70-2025.70] 美國這次狀況
[2025.70-2027.70] 他們對我們有什麼影響
[2027.70-2028.70] 可以跟各位講
[2028.70-2029.70] 我不能講
[2029.70-2030.70] 我們不敢講沒有影響
[2030.70-2031.70] 但相對你現在看起來
[2031.70-2032.70] 這影響也沒那麼重
[2032.70-2033.70] 是為什麼
[2033.70-2034.70] 其實我們這個部分
[2034.70-2035.70] 最大的
[2035.70-2037.70] 整個全球的趨勢
[2037.70-2038.70] 還是在這塊
[2038.70-2040.70] 還是最重要的一個走向
[2040.70-2041.70] 所以這個部分
[2041.70-2043.70] 尤其特別我們很大一部分的客戶群
[2043.70-2044.70] 都是在歐盟
[2044.70-2045.70] 特別自行車分
[2045.70-2048.70] 都在歐洲客戶為主來講的話
[2048.70-2049.70] 所以這塊的部分在於
[2049.70-2050.70] 我們後續在
[2050.70-2051.70] 不管各個廠別
[2051.70-2054.70] 都會持續做投資的
[2054.70-2056.70] 持續投資簡單設備
[2056.70-2058.70] 和開發相關的產品
[2058.70-2061.70] 能夠符合市場未來一個趨勢
[2061.70-2062.70] 另外除了這個之外
[2062.70-2065.70] Artificial Intelligence的部分
[2065.70-2067.70] 自成自衛化的部分
[2067.70-2070.70] 其實我很早就開始在著墨這一塊
[2070.70-2072.70] 這裡今天跟各位大概
[2072.70-2073.70] 也可以大概提一下
[2073.70-2075.70] 我們的分色系統
[2075.70-2077.70] 在今年度也開始導入新的
[2077.70-2079.70] 我們的印錢的系統已經導入
[2079.70-2080.70] 剛剛講數位置版
[2080.70-2081.70] 它的部分這一塊
[2081.70-2083.70] 我們在產業界來講
[2083.70-2084.70] 是很早就開始導入這一塊
[2084.70-2086.70] 而且是各個廠都導入
[2086.70-2087.70] 這個數位置版的部分
[2087.70-2088.70] 就是剛剛講
[2088.70-2090.70] 除了讓我的生產的效率
[2090.70-2091.70] 生產品的提升之外
[2091.70-2092.70] 最重要的一部分
[2092.70-2093.70] 就是能夠減費
[2093.70-2095.70] 而且能夠減少碳排發的部分
[2095.70-2097.70] 整個效率上面會更好
[2097.70-2098.70] 另外就是在於說
[2098.70-2099.70] 我的現有的電
[2099.70-2101.70] 現場我們開始在
[2101.70-2103.70] LEO幾個專案小組
[2103.70-2104.70] 在導入的部分
[2104.70-2106.70] 電子的一個整個排程的部分
[2106.70-2107.70] 我們的MIS的部分
[2107.70-2108.70] ERP這個系統
[2108.70-2110.70] 是我們自己開發出來的
[2110.70-2111.70] 所以這個部分
[2111.70-2112.70] 是我們自己會用
[2112.70-2113.70] 自己的專用的系統
[2113.70-2115.70] 來做這個部分的一個處理
[2115.70-2117.70] 還有另外像我們
[2117.70-2118.70] 才行系統的部分
[2118.70-2119.70] 那都在業界算是
[2119.70-2120.70] 很早導入的部分
[2120.70-2121.70] 很早導入
[2121.70-2123.70] 那這些
[2123.70-2125.70] 這是其中幾個案例的部分
[2125.70-2126.70] 當然會後
[2126.70-2127.70] 我們還有時間的話
[2127.70-2128.70] 跟各位投資先進
[2128.70-2129.70] 我們應該帶來
[2129.70-2131.70] 會分享這相關的一個經驗
[2131.70-2132.70] 也歡迎各位先進
[2132.70-2133.70] 來有空到我們公司
[2133.70-2135.70] 來做參觀我們這個部分
[2135.70-2136.70] 我們未來的一個
[2136.70-2137.70] 發展的一個取向
[2137.70-2139.70] 在資產的管理上面
[2139.70-2140.70] 以上是今天
[2140.70-2141.70] 我跟各位在業投資先進
[2141.70-2143.70] 做的一個正式的一個發展
[2143.70-2145.70] 和經營狀況的一個報告
[2145.70-2146.70] 請各位指教
[2146.70-2147.70] 謝謝
