[0.00-4.52] 各位线上参与我们法说会的投资先进媒体朋友们
[1666.72-1669.72] 那我们知道传统的CIS封装的话
[1669.72-1671.72] 可能量率都不会太好
[1671.72-1673.72] 就是用Y棒的部分
[1673.72-1678.72] 可能就是差不多低于90%的CIS的量率
[1678.72-1684.72] 那我们用我们的TSV的Connection做的CIS的话
[1684.72-1687.72] 我们的量率都可以超过96%
[1687.72-1689.72] 甚至我们已经达到
[1689.72-1695.72] 跟我们的普通的IC封装的Level了
[1695.72-1697.72] 所以这个部分的话
[1697.72-1699.72] 我们都已经量成了
[1699.72-1701.72] 那第二点
[1701.72-1703.72] 我们的先进封装
[1703.72-1706.72] 包括2.5D 3D的IC封装产品
[1706.72-1707.72] 持续一级化进行
[1707.72-1709.72] 就在Final POP
[1709.72-1711.72] POP Button的部分的话
[1711.72-1713.72] 将会蓄势待发
[1713.72-1714.72] 那这个部分的话
[1714.72-1716.72] 假如没有关税的话
[1716.72-1718.72] 我今天就会跟大家一个
[1718.72-1719.72] 报告一个好消息
[1719.72-1722.72] 事实上我们的Panel Level的Final
[1722.72-1724.72] 当然我们在
[1724.72-1726.72] 我们也讲过就是我们2016
[1726.72-1729.72] 我们就已经开始量产了
[1729.72-1731.72] 事实上那个又是一个Single die
[1731.72-1733.72] 比较简单的
[1733.72-1737.72] 那个并不是我们设我们的Panel Level的
[1737.72-1738.72] 终极目标
[1738.72-1740.72] 我们Panel Level的终极目标
[1740.72-1743.72] 就是做所谓的益值整合
[1743.72-1746.72] 我们希望是做更先进的益值整合
[1746.72-1748.72] 那这个部分的话
[1748.72-1752.72] 因为我们有跟美国几个客户一起合作
[1752.72-1755.72] 就从所谓Test Vehicle开始
[1755.72-1757.72] 在验证我们整个的
[1757.72-1760.72] 模拟客户的产品
[1760.72-1763.72] 我们来做
[1763.72-1765.72] 在做试做
[1765.72-1766.72] 就是说这个量
[1766.72-1768.72] 这个我们的year的话
[1768.72-1772.72] 差不多都已经完全超乎我们的预期
[1772.72-1775.72] 已经达到某个水准
[1775.72-1777.72] 那客户会认可
[1777.72-1778.72] 那我们现在唯一的就是
[1778.72-1781.72] 可能还有一些所谓的Particle的部分
[1781.72-1783.72] 因为它实在是太大的
[1783.72-1785.72] 整个一个Package来讲
[1785.72-1788.72] 差不多三个Ratical Size
[1788.72-1791.72] 实际上是还是蛮大的
[1791.72-1794.72] 那它的一个Panel的球的话
[1794.72-1797.72] 光那个球的话
[1797.72-1800.72] 都已经快要八千万颗的球
[1800.72-1804.72] 分布在将近一百颗的Package上
[1804.72-1806.72] 所以每一颗的Package
[1806.72-1808.72] 差不多有八十万颗的球
[1808.72-1810.72] 实际上这是一个非常非常复杂
[1810.72-1813.72] 只要两颗球有Short的话
[1813.72-1816.72] 就影响到将近十个Percent的Year
[1816.72-1817.72] 所以这个部分的话
[1817.72-1819.72] 我们事实上已经Breakthrough
[1819.72-1821.72] 已经Breakthrough了
[1821.72-1822.72] 这个部分的话
[1822.72-1824.72] 我觉得非常的正面
[1824.72-1825.72] 那我们有更多
[1825.72-1826.72] 但是呢
[1826.72-1828.72] 对历程来讲的话
[1828.72-1830.72] 我们的Panel Level的Fanout的话
[1830.72-1832.72] 我们不会
[1832.72-1834.72] 就直接撒到市场上去
[1834.72-1836.72] 因为它用的资源非常的多
[1836.72-1838.72] 那我们投资也非常的大
[1838.72-1842.72] 那全世界事实上可以做Panel Level
[1842.72-1844.72] Fanout的公司的话
[1844.72-1846.72] 我现在可以讲就是
[1846.72-1848.72] 事实上只有历程是Ready的
[1848.72-1849.72] Year来讲
[1849.72-1851.72] 整个Process
[1851.72-1853.72] 事实上只有我们历程是Ready的
[1853.72-1854.72] 大家都还
[1854.72-1856.72] 那我们就算我们的
[1856.72-1858.72] 国内的护国神山也好
[1858.72-1859.72] 或是我们高雄的
[1859.72-1863.72] 他们都还只是在计划阶段
[1863.72-1865.72] 那高雄的他们有讲说
[1865.72-1867.72] 他们要买设备
[1867.72-1869.72] 从买设备到设备进来
[1869.72-1871.72] 差不多都要两年的时间
[1871.72-1874.72] 再Find to完的话
[1874.72-1877.72] 可能都要三年以后的事情了
[1877.72-1880.72] 所以这个部分的话
[1880.72-1881.72] 我觉得我可以在这边
[1881.72-1883.72] 特别的跟大家提出来
[1883.72-1886.72] 就是我们的Fanout
[1886.72-1887.72] Panel Level的Fanout的话
[1887.72-1889.72] 事实上有一个长足的进步
[1889.72-1891.72] 那再下来的话就是
[1891.72-1894.72] 所谓白名单
[1894.72-1896.72] 当然白名单就是美国定的
[1896.72-1898.72] 就是所谓BIS
[1898.72-1899.72] 那这个部分的话
[1899.72-1900.72] 当然给我们带来非常多的
[1900.72-1902.72] 生意的机会
[1902.72-1903.72] 那对历程来讲
[1903.72-1905.72] 我们还是一样的
[1905.72-1908.72] 一样从头到尾都是一样
[1908.72-1911.72] 就是说我们并不是来者不拒
[1911.72-1912.72] 我们还是有挑选
[1912.72-1914.72] 我们认为哪一些
[1914.72-1915.72] 对我们的
[1915.72-1917.72] 尤其跟我们的产品是
[1917.72-1920.72] 整个方向跟我们的Product Roadmap
[1920.72-1921.72] 是Match的
[1921.72-1923.72] 是跟我们的未来适合的
[1923.72-1925.72] 所以这部分的话
[1925.72-1927.72] 我们有挑选了十几家
[1927.72-1929.72] 所以我们这个部分的业务的话
[1929.72-1932.72] 也会在未来的一季两季
[1932.72-1935.72] 就会带来一些营收跟贡献
[1935.72-1937.72] 所以大概这样
[1937.72-1939.72] 我们再下一页
[1939.72-1943.72] 那我们再谈谈我们的Telapro跟Telapower
[1943.72-1945.72] 那之前也就说Telapro
[1945.72-1947.72] 在日本也是上市公司
[1947.72-1949.72] 是我们的子公司
[1949.72-1951.72] 我们力称占他们60%
[1951.72-1953.72] 那Telapower是under
[1953.72-1955.72] 在Telapro之下
[1955.72-1957.72] 但是市里上我们力称占的Telapower
[1957.72-1959.72] 49%
[1959.72-1961.72] 所以直接间接加起来的话
[1961.72-1965.72] Telapower我们占它80%
[1965.72-1968.72] 这是我们非常重要的一个子公司
[1968.72-1970.72] 时常包括日本台湾都是
[1970.72-1973.72] 我们非常重要的一个子公司
[1973.72-1975.72] 那我们第二季起的话
[1975.72-1978.72] 我们会有很多的伺服器的订单
[1978.72-1980.72] 还有所谓的Machine Learning
[1980.72-1984.72] 以及车用的需求强劲
[1984.72-1986.72] 所以这个部分的话
[1986.72-1989.72] 我想在我们的公告上面
[1989.72-1991.72] 我们有时候带我们的子公司
[1991.72-1993.72] 就是它投资一个数字
[1993.72-1995.72] 好像是6亿
[1995.72-1996.72] 5亿的时候
[1996.72-1998.72] 我们都带我们的子公司做发布
[1998.72-2000.72] 就是他们有一个
[2000.72-2002.72] 所以这个部分
[2002.72-2005.72] 我们有几次的已经带他们发布
[2005.72-2007.72] 我们的需求非常强劲
[2007.72-2008.72] 尤其我们有几个
[2008.72-2010.72] 一个几个车
[2010.72-2011.72] 6亿的客户
[2011.72-2013.72] 跟我们已经walk out很久
[2013.72-2015.72] 实际上这个也一直贡献我们的
[2015.72-2017.72] 很多的营收
[2017.72-2020.72] 所以这方面我们非常的骄傲
[2020.72-2022.72] 就是我们在我们的伺服器上面
[2022.72-2024.72] 我们的performance
[2024.72-2025.72] 比我们compatible
[2025.72-2026.72] much better
[2026.72-2029.72] 那我们在Machine Learning上面的技术
[2029.72-2032.72] 我们的setup整个时间
[2032.72-2033.72] Late time
[2033.72-2035.72] 或是我们的对ProCard之类的
[2035.72-2038.72] 我们都非常的outstanding
[2038.72-2039.72] 所以我们的客户
[2039.72-2042.72] 给我们蛮多的支持
[2042.72-2044.72] 所以这个部分跟大家报告一下
[2044.72-2047.72] 那消费性记忆体跟逻辑晶片的话
[2047.72-2050.72] 第二季是比较维持稳定的
[2050.72-2052.72] 因为有想说这个部分的话是比较
[2052.72-2055.72] 确实是比较多的考验
[2055.72-2056.72] 然后消费
[2056.72-2059.72] 因为从COVID结束以后
[2059.72-2063.72] 尤其日本我们有些客户
[2063.72-2067.72] 他们的需求确实有一些调整
[2067.72-2069.72] 那车用产品的话
[2069.72-2072.72] 日本还是有一些客户在调整库存的
[2072.72-2074.72] 尤其对刚刚有讲到所谓的
[2074.72-2075.72] Audio
[2075.72-2077.72] 或是Power
[2077.72-2080.72] 或是所谓的MCU之类的
[2080.72-2082.72] 那在台湾这部分
[2082.72-2083.72] 我们的所谓的TerraPower
[2083.72-2085.72] 则是较大幅度的成长
[2085.72-2087.72] 这个部分跟大家报告
[2087.72-2088.72] 那再下来的话
[2088.72-2091.72] 我们讨论到Great Tech
[2091.72-2095.72] Great Tech事实上它没有所谓的
[2095.72-2098.72] Great Tech也有所谓AI的
[2099.72-2102.72] 有些AI相关的一些产品
[2102.72-2105.72] 那需求的话是已经放量了
[2105.72-2109.72] 那Free Chip产能是满载的
[2109.72-2114.72] 那甚至Great Tech那边最近还在紧急的扩充Free Chip产能
[2114.72-2116.72] 因为我们有一家客户的话
[2116.72-2121.72] 它要求的基本上是Double的Capacity
[2121.72-2122.72] 所以这个部分的话
[2122.72-2125.72] 新产品开发动能是非常的强劲
[2125.72-2129.72] 那欧美客户强化多元化的供应链持续的展开
[2129.72-2131.72] 那这个部分我们也看到了
[2131.72-2134.72] 我们的这些产品的转单的效果
[2134.72-2137.72] 还有我再下来就是
[2137.72-2140.72] 美国的半导体关税政策的不确定性
[2140.72-2142.72] 客户已提前启动备货机制
[2142.72-2144.72] 刚刚有提到
[2144.72-2148.72] 提高成品库存以弹性应应后续变化
[2148.72-2150.72] 所以二Q的话
[2150.72-2153.72] 我们会有非常多的挤单比率
[2153.72-2157.72] 我们从4月份我们也看得到了
[2157.72-2158.72] 就是说我们
[2158.72-2160.72] 我们看到了就是说
[2160.72-2163.72] 我们的收货
[2163.72-2170.72] 收货就从客户到我们超风的Wafer
[2170.72-2174.72] 已经是创我们COVID以后的新高
[2174.72-2176.72] 这点是非常非常的正面
[2176.72-2179.72] 但是6月以后的备货
[2179.72-2182.72] 它就可能会比较取上比较保守
[2182.72-2187.72] 这点是因为他们很多多的拉到2月份的Q来备料
[2188.72-2191.72] 那整个PTI group来讲的话
[2191.72-2194.72] 我们挥别的EQ的应用估计
[2194.72-2197.72] 迎来二Q的业绩的细成长
[2197.72-2199.72] 我刚刚有讲就是
[2199.72-2204.72] 我们仍然维持我们认为的Q2大于Q1
[2204.72-2206.72] 那Q3会大于Q2
[2206.72-2208.72] 这个基调是不变的
[2208.72-2210.72] 那Q4的话就是还早
[2210.72-2213.72] 这个我们也很难在这边跟大家报告
[2213.72-2217.72] 那我们还是持续的深耕相关清净风行技术
[2217.72-2218.72] 特别是在这个时候
[2218.72-2223.72] 特别是AI相关楼级应用产品的开发性应用
[2223.72-2227.72] 那第三个我们重新定位PTI group企业验进
[2227.72-2233.72] 我们希望成为系统应用模组及IC先进封装技术
[2233.72-2236.72] 解决方案的最佳供应商
[2236.72-2238.72] 就是我们是一个solution provider
[2238.72-2242.72] 我们希望是这个样子
[2242.72-2244.72] 那以上报告谢谢各位
[2248.72-2251.72] 好谢谢各位投资人
[2251.72-2254.72] 那目前由我来进行最后一个部分ESG的一个部分
[2254.72-2256.72] 在这个期间里头
[2256.72-2259.72] PTI我们分四个小节来跟大家报告
[2259.72-2261.72] 在ESG方面的一个成就
[2261.72-2264.72] 我想ESG部分来讲PTI参加了
[2264.72-2268.72] 国际性非盈利组织CTP的碳接浊专案的一个计划
[2268.72-2269.72] 这样的一个评比
[2269.72-2273.72] 那我们获得的B等级的这样的一个等级
[2273.72-2275.72] 那这个等级代表的部分来讲的话
[2275.72-2277.72] 算是对于不管是气候的变迁或者是气候的变迁的变化
[2277.72-2280.72] 或者水资源的一个管理上
[2280.72-2283.72] 算是一个有良好管理的一个等级的部分
[2283.72-2286.72] 那这个部分等级跟国内的T公司来讲
[2286.72-2288.72] 算是属于同一个等级的部分
[2288.72-2290.72] 不遑多让
[2290.72-2292.72] 那第二个部分在Sustained Energy Ticket
[2292.72-2295.72] 这边的一个ESG的一个风险评比里头
[2295.72-2298.72] 我们也算是低风险的一个等级
[2298.72-2301.72] 所以对于带半导体的这个风险等级
[2301.72-2303.72] 控管的部分持续在进行当中
[2303.72-2305.72] 那在过去的部分
[2305.72-2306.72] 我们也采取了159
[2306.72-2307.72] 159
[2307.72-2309.72] 159个节能的一个措施
[2309.72-2311.72] 在碳接入部分
[2311.72-2313.72] 促进减能减碳这边
[2313.72-2316.72] 那我们过去的部分节省了大概有1400万度的电
[2316.72-2318.72] 节电的比例达到2%
[2318.72-2321.72] 那这边所节省下来的一个碳排量部分
[2321.72-2324.72] 大约是7006公顿
[2324.72-2326.72] 7006公顿这样的一个部分
[2326.72-2329.72] 这个部分大概等同于大安森林公园
[2329.72-2332.72] 18座大安森林公园一年的一个台盘量的一个部分
[2332.72-2335.72] 所以这个是一个比较具体的成绩
[2335.72-2337.72] 那在再生能源的一个使用
[2337.72-2340.72] 我们采用了绿能的一个发电的部分来讲
[2340.72-2344.72] 去年一整年也大概使用了大概2400万度电的部分
[2344.72-2347.72] 达成了再生能源使用3%的目标
[2347.72-2349.72] 那在水的循环利用里头
[2349.72-2351.72] 在切割制成里头
[2351.72-2354.72] 我们的水的循环利用也来到了86%的部分
[2354.72-2360.72] 也比同级的相关的同学来讲显得不遑多让的部分
[2360.72-2362.72] 那第三个子体的部分来讲
[2362.72-2365.72] 我们同时也携手我们的上下游的供应商
[2365.72-2367.72] 对供应商这边来讲的话
[2367.72-2372.72] 我们也签订了这个所谓的供应商的一个行为准则的部分
[2372.72-2374.72] 希望跟我们供应商不管是在
[2374.72-2379.72] 不管是在所谓的道德伦理以及人权方面
[2379.72-2381.72] 以及友善的工作环境里头
[2381.72-2384.72] 希望给自己的员工以及供应商的员工里头
[2384.72-2387.72] 都有一个比较良好的一个工作环境
[2387.72-2392.72] 最后一个部分我们也同时也透过我们立成文教的基金会里头
[2392.72-2396.72] 协助新竹县以及苗栗县的偏乡的一个小学
[2396.72-2401.72] 比如说荡南国小或者清水国小里头的学生里头
[2401.72-2406.72] 来共同利用一些我们所捐赠的一些教育的资源
[2406.72-2409.72] 同时也透过员工参与志工的方式
[2409.72-2414.72] 来跟这些小朋友在过去这段时间共同的一个学习
[2414.72-2416.72] 提升他们的部分
[2416.72-2419.72] 我想这个是PTI在ESG方面里头
[2419.72-2422.72] 希望透过内部以及外部的一个影响力
[2422.72-2424.72] 来为我们的员工为我们的供应商以及相关的学生
[2424.72-2425.72] 来为我们的员工为我们的供应商以及相关的学生
[2425.72-2427.72] 以及相关的利害关系人
[2427.72-2431.72] 创造一个共同更好的一个未来的经营环境
[2431.72-2434.72] 以上是我们ESG方面的努力
[2434.72-2436.72] 谢谢
[2436.72-2439.72] 接下来是Q&A时间
[2439.72-2444.72] 线上投资人请将您的问题输入在下方的对话方块
[2444.72-2447.72] 我将从目前萤幕上显示的法人提问
[2447.72-2450.72] 请经营团队为您做详细的解答
[2455.72-2462.72] 请问2025年未来各季的营运展望如何
[2462.72-2467.72] 请问2025年未来各季的营运展望如何
[2467.72-2469.72] 这个由我来回答
[2469.72-2472.72] 我想因为这牵扯到我们整个集团
[2472.72-2477.72] 最近我们也看到KCMC的法税会
[2477.72-2480.72] 他没有谈到现在谈下半年还太早
[2480.72-2483.72] 但是刚刚我有跟大家还是揭露了就是我们
[2483.72-2484.72] 但是刚刚我有跟大家还是揭露了就是我们
[2484.72-2486.72] 就是我们还是预测
[2486.72-2491.72] 我们在历程来讲的话应该是Q2大于Q1
[2491.72-2493.72] Q3还是大于Q2
[2493.72-2498.72] 我们大概的展望大概是这样子
[2498.72-2501.72] 事实上第二半段来讲的话
[2501.72-2503.72] 因为有很多的变动的因素
[2503.72-2506.72] 包括我们的关税
[2506.72-2509.72] 还有我们整个通膨
[2509.72-2512.72] 还有我们的就是所谓一些贸易的冲突
[2512.72-2514.72] 事实上这些东西的话
[2514.72-2518.72] 都会影响到整个的终端的市况
[2518.72-2521.72] 所以事实上第二半段是比较难预测
[2521.72-2525.72] 但是我们现在看到我们的Q3还是大于Q2
[2525.72-2527.72] 这就是一个
[2527.72-2529.72] 那我想还是大概分
[2529.72-2532.72] 刚刚事实上有讲了很多了
[2532.72-2535.72] 就是说我们还是大概做一个summary
[2535.72-2537.72] 第一个我们的DRAM部分的话
[2537.72-2539.72] 因为我们的DRAM
[2539.72-2541.72] 我想投资界朋友大家很清楚
[2541.72-2542.72] 我们的DRAM除了国内的客户之外
[2542.72-2544.72] 我们的DRAM除了国内的客户之外
[2544.72-2547.72] 我们在美国有一个M公司
[2547.72-2552.72] 它是我们很重要的一个storage partner
[2552.72-2555.72] 那他们因为他们把所有产能
[2555.72-2558.72] 大部分的产能都移去做HBM
[2558.72-2561.72] 因为他们的法手会他们有提到
[2561.72-2565.72] 他们的所谓的HBM的今年的需求
[2565.72-2568.72] 今年所有的产出已经被定完
[2568.72-2569.72] 已经被定了
[2569.72-2571.72] 那这样子的话就相对他们就会
[2571.72-2574.72] 所谓的需求的外溢
[2574.72-2579.72] 所谓有Mobile的DRAM
[2579.72-2581.72] Graphic他们就会外溢
[2581.72-2585.72] 那外溢的话基本上历程
[2585.72-2588.72] 因为跟他们有一个长期的合作关系
[2588.72-2593.72] 所以这个就会对我们产生非常非常正面的一个受益
[2593.72-2597.72] 我想不管怎么样就是我们的第二季
[2597.72-2600.72] 我们这方面的需求是非常强的
[2600.72-2603.72] 那我们对长期来讲的话
[2603.72-2608.72] 它对我们的营收跟获利还是会有一个很稳定的贡献
[2608.72-2610.72] 那第二个我们谈NAND
[2610.72-2612.72] NAND Flash上面的话
[2612.72-2615.72] 就是含所谓的NAND Flash Component
[2615.72-2617.72] 跟我们的SSD
[2617.72-2619.72] 那第二季的话
[2619.72-2623.72] 那因为之前Q1的时候事实上他们是减产的
[2623.72-2625.72] 那第二季的话
[2625.72-2628.72] 我们可以看到他们已经有很
[2628.72-2630.72] 就是非常正面的一个成长
[2630.72-2632.72] 所以NAND上面的话
[2632.72-2637.72] 它确实会比EQ也来的还蛮明显的成长
[2637.72-2639.72] 那逻辑方面的话
[2639.72-2643.72] PTI本身逻辑季营收跟4Q是持平的第一季
[2643.72-2645.72] 那这是YY持续的成长
[2645.72-2647.72] 那GreatTap部分的话
[2647.72-2649.72] 刚刚我有大概有提到
[2649.72-2651.72] 因为它没有所谓AI产品
[2651.72-2653.72] 还有所谓的关税的效应
[2653.72-2655.72] 所以整个提前
[2655.72-2660.72] 就是说FreeShip产能也是从所谓的ROC的发酵
[2660.72-2662.72] 就是说Our China的发酵
[2662.72-2665.72] 所以我们有很大的部分的话
[2665.72-2668.72] 是从别的地方移到超风来
[2668.72-2670.72] 所以这个部分的话
[2670.72-2672.72] 我在超风的逻辑上面就增加了
[2672.72-2674.72] 那TPJ跟TPW的话
[2674.72-2676.72] 刚刚也提到很多
[2676.72-2679.72] 就是说因为我们的整个策略非常的好
[2679.72-2681.72] 我们的测试平台策略
[2681.72-2683.72] 我们的客户的策略
[2683.72-2686.72] 还有我们本身能力的一直在精进
[2686.72-2689.72] 所以我们在这方面的话
[2689.72-2691.72] 需求的话也非常的
[2691.72-2693.72] 就非常正面
[2693.72-2694.72] 包括Machine Learning
[2694.72-2695.72] AIDAS
[2695.72-2697.72] 还有HPC
[2697.72-2700.72] 那况我们的TPW的
[2700.72-2703.72] 就是我们TerraPower部分
[2703.72-2706.72] 它的第三厂会在五月份开始量产
[2706.72-2709.72] 所以这个部分的话也非常的正面
[2709.72-2712.72] 所以整个展望是非常好
[2712.72-2714.72] 那产品应用上来讲的话
[2714.72-2719.72] AI相关产品的出货是持续的稳定增加
[2719.72-2721.72] 当然移收数字的话
[2721.72-2723.72] 趋势更明显
[2723.72-2724.72] 但尤其在
[2724.72-2726.72] 但3Q因为外在环境变速的话
[2726.72-2730.72] 就会是比较不确定一点
[2730.72-2734.72] 但是还是算正面的
[2734.72-2738.72] 那我们会持续去关注未来的一些变化
[2738.72-2741.72] 我们会在接下来的法授
[2741.72-2743.72] 跟大家揭露我们的
[2743.72-2745.72] 看看我们的那个
[2745.72-2746.72] 就是我们的
[2746.72-2747.72] 再跟大家报告
[2747.72-2749.72] 谢谢
[2749.72-2750.72] 谢谢
[2751.72-2752.72] 谢谢
[2752.72-2753.72] 谢谢
[2753.72-2754.72] 谢谢
[2754.72-2772.72] 谢谢
