[0.00-1.50] 現集媒體先進
[1817.78-1819.78] 如果各位有問題的話可以舉手
[1819.78-1820.78] 我們會請工作人員將麥克風合成
[1820.78-1821.78] 我們會請工作人員將麥克風合成
[1822.78-1849.78] 那就來
[1882.78-1896.78] 請問有人要提問的嗎
[1896.78-1914.54] 主持人您好,剛剛有提到我們今年會專注在Data Center相關的產品線
[1914.54-1922.20] 我們一直都是為一些北美企業品牌大廠來做OTM的服務
[1922.20-1926.68] 我不知道我們這次在Data Center或是AI Data Center
[1926.68-1933.38] 這樣的高速Switch的產品是針對什麼樣子型態的客戶來服務他們呢?
[1933.38-1934.38] 謝謝
[1939.38-1940.38] 謝謝你問
[1940.38-1954.38] AI Data Center這個趨勢是某種程度會改變市場的一些局面
[1954.38-1955.38] 也就是說
[1955.38-1956.38] 過去可能分得比較清楚
[1956.38-1959.08] Data Center歸Data Center
[1959.08-1961.08] 企業型的歸企業型的
[1961.08-1965.08] 但是現在看起來是企業型為主軸的客人
[1965.08-1970.08] 他也會開始有AI Data Center的產品線
[1970.08-1974.08] 所以我們在思考AI Data Center的時候
[1974.08-1980.08] 我們是把傳統的Data Center
[1980.08-1983.08] Data Center裡面的客人是一個群組
[1983.08-1986.08] AI Data Center這邊一定是會有的
[1986.38-1987.08] 另外呢
[1987.08-1990.08] 有所謂企業型用的AI Data Center
[1990.08-1992.08] 我們是這麼分著的
[1992.08-1993.08] 所以對我們來講
[1993.08-1997.08] 除了我們過去所熟知的企業型這裡的客戶
[1997.08-2001.08] 我們要開始擴大AI Data Center的合作之外
[2001.08-2008.08] 那我們當然也希望能夠再往這個比較傳統的Data Center這裡的客戶邁進
[2008.08-2012.08] 因為我想當需求越來越大的時候
[2012.08-2014.08] 多一點的提供廠商
[2014.08-2016.08] 應該也是市場上的客戶來做這個工作的方式
[2016.38-2018.08] 所以我們就想要做一個結論
[2018.08-2019.08] 好 謝謝
[2019.08-2024.08] 剛剛後面有一位有舉手
[2024.08-2025.08] 還有這一位
[2026.08-2028.08] 董事長你好
[2028.08-2030.08] 我想請問一下就是
[2030.08-2032.08] 據我了解明泰在生產基地部分
[2032.08-2034.08] 越南佔了50%
[2034.08-2037.08] 近期美國高關稅的政策引打在越南身上
[2037.08-2041.08] 不知道明泰這邊有任何的產能調配或是應對的措施
[2041.08-2044.08] 另外第二個問題是想請教在日本客戶的部分
[2044.08-2046.08] 那交換企業體格是418萬元
[2046.38-2048.38] 或是有8.6廳
[2048.38-2050.38] 以上是我兩個問題 謝謝
[2050.38-2053.38] 好 我來回答工廠的問題
[2053.38-2058.38] 那那個客戶的問題請傑明林來回答
[2058.38-2065.38] 那這個講到這個地緣政治然後貿易戰這件事情
[2065.38-2070.38] 我想真的是過去這幾年讓大家都非常的忙碌
[2070.38-2074.38] 從2018年以來就是如此
[2074.38-2076.38] 那
[2076.38-2085.38] 對 所以首先我們在大陸這邊的工廠已經做了一定的整併
[2085.38-2087.38] 我想這是一個
[2087.38-2091.38] 那目前的確是很集中在越南
[2091.38-2094.38] 那短期間之內呢
[2094.38-2097.38] 我想會集中在越南也是因為
[2097.38-2100.38] 之所以越南現在好像凝結得有一點
[2100.38-2104.38] 也有一點風險是因為貿易利差的關係
[2104.38-2106.38] 那我想
[2106.38-2111.38] 這件事情我們也沒有辦法永遠只看貿易利差這個因素
[2111.38-2116.38] 因為其實它也正是因為2018年的那個政策之後
[2116.38-2119.38] 它才呈現這麼大的一個貿易利差
[2119.38-2123.38] 那麼如果我們現在再因為這個問題再轉到下一個地方去
[2123.38-2127.38] 那就是下一個國家又會有一個貿易利差
[2127.38-2129.38] 所以對我們來講呢
[2129.38-2132.38] 我們在思考這件問題是這樣子的
[2132.38-2135.38] 就是說首先我沒有辦法一直追逐著
[2135.38-2141.38] 追逐著今天哪裡不課稅我就往哪裡去
[2141.38-2142.38] 沒有辦法
[2142.38-2144.38] 所以我們在思考這件事情的時候
[2144.38-2148.38] 一方面一定是看這個地方是不是長期有競爭力
[2148.38-2152.38] 即使這個關稅的問題不再存在
[2152.38-2155.38] 它也有一定的競爭力
[2155.38-2161.38] 所以當時去越南就是跟這個中國大陸的工廠來比
[2161.38-2163.38] 即使沒有這個貿易的這個問題
[2163.38-2165.38] 在當時在成本上
[2165.38-2168.38] 越南也是比較好的
[2168.38-2172.38] 也就是這個貿易的這個關稅的因素即使拿掉了
[2172.38-2174.38] 它還是我們一個長期有競爭力的地方
[2174.38-2176.38] 這是第一個思考點
[2176.38-2179.38] 第二個呢我們在思考這件事情呢
[2179.38-2182.38] 不會只是考慮只有產地這件事情
[2182.38-2186.38] 因為產地這件事情我們就繼續搬就好
[2186.38-2190.38] 但是繼續搬呢下一個國家又會有這個利差的問題
[2190.38-2192.38] 所以我們現在在思考的呢
[2192.38-2195.38] 其實從兩年前就開始了
[2195.38-2198.38] 明太跟仲啟呢
[2198.38-2200.38] 內部都有一個內規
[2200.38-2202.38] 我們除了產地之外
[2202.38-2204.38] 我們的所有的這個
[2204.38-2209.38] 這個研發部總經理邱梅勝這邊知道
[2209.38-2211.38] 我們對於我們的硬體呢
[2211.38-2214.38] 有一個內規85%
[2214.38-2216.38] 我們的這個零件呢
[2216.38-2221.38] 我們都要有至少兩個以上的替代的方案
[2221.38-2223.38] 而且其中有一個
[2223.38-2225.38] 必須是非典型的方案
[2225.38-2227.38] 非中國的一個零件
[2227.38-2229.38] 因為你不知道除了產地之外
[2229.38-2232.38] 接下來會不會扣款到內藏區
[2232.38-2235.38] 因為產地大家都很好轉移
[2235.38-2240.38] 所以這是我們自己在為與籌謀的一件事情
[2240.38-2245.38] 然後再來呢就是善用EMS
[2245.38-2251.38] 因為我想這個關稅的這個議題呢
[2251.38-2253.38] 每天我們都在關注新聞
[2253.38-2255.38] 它可以來得很快
[2255.38-2257.38] 也可以去得很快
[2257.38-2260.38] 所以我們不太可能一天到晚一直自己建廠
[2260.38-2263.38] 所以我們其實現在也善用EMS
[2263.38-2266.38] 那麼當然我們還有我們的附加價值
[2266.38-2268.38] 在設計等等的這個部分
[2268.38-2270.38] 所以呢我們
[2270.38-2272.38] 這個其實某種程度是
[2272.38-2275.38] 我們的另外一個替代方案
[2275.38-2277.38] 也就是說越南如果有風險的話
[2277.38-2279.38] 目前我們有兩個替代方案
[2279.38-2280.38] 一個是在印度
[2280.38-2282.38] 剛剛已經跟各位報告了
[2282.38-2285.38] 我們在印度也已經啟動了我們的生產
[2285.38-2289.38] 那其實呢我們在美國也已經準備好
[2289.38-2294.38] 一個以EMS為base的一個申請方案
[2294.38-2298.38] 這些都是我們的這個backup plan
[2298.38-2300.38] 那另外呢我們在思考的幾件事情
[2300.38-2303.38] 也是我們自己在準備的
[2303.38-2306.38] 也就是過去我們都會思考
[2306.38-2308.38] 我們的零件廠商呢
[2308.38-2311.38] 必須是靠近我們工廠的
[2311.38-2313.38] 可是現在在這樣子的情況之下
[2313.38-2314.38] 我們已經
[2314.38-2316.38] 已經突破這樣的思維
[2316.38-2318.38] 已經不再去思考說
[2318.38-2320.38] 我的供應鏈是不是
[2320.38-2322.38] 是在我的工廠旁邊
[2322.38-2324.38] 它是不是一個衛星
[2324.38-2326.38] 衛星的這個環繞著的概念
[2326.38-2327.38] 已經不是這樣的想法
[2327.38-2330.38] 目前的想法是全球供應鏈
[2330.38-2332.38] 也就是當你的工廠
[2332.38-2334.38] 這邊也有那邊也有的時候
[2334.38-2336.38] 你要去思考的是
[2336.38-2338.38] 你的板子
[2338.38-2341.38] 在哪裡拿是最好的
[2341.38-2343.38] 從運輸的角度來講
[2343.38-2345.38] 從它的成本的角度來講
[2345.38-2348.38] 那大概類似這是舉一個例子
[2348.38-2351.38] 所以我們在現在在思考的是一個
[2351.38-2354.38] 全球的供應鏈怎麼佈局的這個問題
[2354.38-2358.38] 以及呢過去呢工廠的經營的時候
[2358.38-2362.38] 大家在思考的都是工廠的經營效率
[2362.38-2363.38] 比方說它良率高不高
[2363.38-2365.38] 它成本低不低
[2365.38-2367.38] 但是現在開始對工廠
[2367.38-2369.38] 有多了一個KPI的解釋
[2369.38-2372.38] 也就是你轉廠快不快
[2372.38-2375.38] 也就是你整個的設計的package
[2375.38-2378.38] 你的這些包含生產的工具等等
[2378.38-2382.38] 是不是能讓你在做移轉的時候
[2382.38-2384.38] 能夠很快速
[2384.38-2386.38] 所以我想這都是我們因應
[2386.38-2389.38] 這個不定的這樣子的局勢以下
[2389.38-2393.38] 我們對自己的要求以及配套措施
[2393.38-2395.38] 以上 謝謝各位
[2395.38-2397.38] 那那個資本的請
[2397.38-2400.38] 好我們剛才提到47870.6000
[2400.38-2402.38] 現在目前主要的
[2402.38-2404.38] 目標客戶跟市場都是在北美
[2404.38-2406.38] 那日本客人這邊
[2406.38-2409.38] 我們新展貨的這個新的客戶
[2409.38-2412.38] 目前他是屬於企業等級的客戶
[2412.38-2414.38] 那他們提出來的產品需求
[2414.38-2416.38] 目前都在1百幾以下
[2416.38-2419.38] 那我們希望後續我們再跟大家再談到
[2419.38-2421.38] Energize Core的轉型的
[2421.38-2422.38] 為了利需求
[2422.38-2426.38] 我們開始看到超過1百幾到4百幾
[2426.38-2429.38] 目前正在下降的當中
[2432.38-2434.38] 我們現在是在
[2434.38-2436.38] 在後面的一個
[2436.38-2439.38] 喂 金營
[2439.38-2440.38] 你們好
[2440.38-2441.38] 我有兩個問題想請教
[2441.38-2443.38] 一是毛利率的部分
[2443.38-2447.38] 就是在這個產能的轉移上面的話
[2447.38-2448.38] 你們怎麼看
[2448.38-2450.38] 大概今年的
[2450.38-2451.38] Gross Quadrant
[2451.38-2453.38] 然後第二個問題是
[2453.38-2455.38] 亞洲這邊我們剛看那個
[2455.38-2457.38] slide上面是大概佔三成左右
[2457.38-2459.38] 那撇除日本的話
[2459.38-2462.38] 中國我們這邊目前還有大概多少的營收在這裡
[2462.38-2463.38] 然後印度那一塊的話
[2463.38-2466.38] 今年是看好FWA這邊的營收嗎
[2466.38-2467.38] 謝謝
[2471.38-2473.38] 那個毛利的部分
[2473.38-2475.38] 我想
[2476.38-2478.38] 他的有幾個因素
[2478.38-2481.38] 一個當然就是工廠
[2481.38-2484.38] 以及材料這裡的影響因素
[2484.38-2487.38] 那再來就是Model Mix
[2487.38-2492.38] 那如果光從這個營運的成績
[2492.38-2494.38] 層面來看的話
[2494.38-2496.38] 目前做的工廠整併
[2496.38-2500.38] 肯定會對我們Gross Quadrant這邊
[2500.38-2502.38] 有一個很好的效益
[2502.38-2504.38] 但是同時呢
[2504.38-2506.38] 因為我們也在開拓一些
[2506.38-2508.38] 新興的市場
[2508.38-2509.38] 那對我們來講是
[2509.38-2511.38] 增加的這些市場
[2511.38-2512.38] 那這個部分
[2512.38-2514.38] 可能就會引有一些
[2514.38-2517.38] 這個毛利組合的問題
[2517.38-2519.38] 所以當然我們
[2519.38-2521.38] 希望是能夠再考慮這個平衡以外
[2521.38-2522.38] 在
[2522.38-2525.38] 絕對的這個獲利
[2525.38-2528.38] 絕對值上面去的提升
[2528.38-2529.38] 這是我們的目標
[2529.38-2533.38] 那剛剛另外的問題是這個
[2540.38-2542.38] 那我們目前印度的市場出貨
[2542.38-2545.38] 已經Secure的兩個產品是
[2545.38-2546.38] 一個是MDU
[2546.38-2547.38] 一個是IPU
[2547.38-2548.38] 那FWA呢
[2548.38-2551.38] 現在目前正在做測試開發
[2551.38-2553.38] 那未來我們
[2553.38-2555.38] 目前還抓不準
[2555.38-2557.38] 但是預計我們期望
[2557.38-2558.38] 這邊再進步
[2558.38-2560.38] 開始可以Secure的進展
[2569.38-2571.38] 蔡阿威是不是有個答案
[2571.38-2572.38] 好
[2572.38-2574.38] 補助一下
[2574.38-2575.38] 剛剛提到那個
[2575.38-2578.38] 因為你的問題是在WK
[2578.38-2580.38] 那個剛剛建立的回答是很準確
[2580.38-2582.38] 那其他的暫時線我們在今晚
[2582.38-2584.38] 就會開始量產
[2584.38-2585.38] 有
[2589.38-2591.38] 你的問題都回答了嗎
[2591.38-2593.38] 還有一個中國營收嗎
[2593.38-2594.38] 好
[2594.38-2596.38] 那中國營收現在目前其實
[2596.38-2599.38] 我們暫時是很低的
[2599.38-2602.38] 那確現數字我現在
[2602.38-2604.38] 在哪半年
[2604.38-2605.38] 沒有
[2605.38-2607.38] 但是我知道它暫時已經是低於10%以下
[2607.38-2609.38] 但是我們可以再給你衝一些數目
[2609.38-2610.38] 謝謝說
[2626.38-2627.38] 好
[2627.38-2628.38] 各位大家好
[2628.38-2630.38] 這邊兩個問題想請教一下
[2630.38-2631.38] 第一個就是我們剛剛有提到就是
[2631.38-2636.38] 仲崎這邊有把這個生產金轉交給明泰
[2636.38-2638.38] 那我想問一下我們原本仲崎這裡的
[2638.38-2641.38] 產能是接下來有什麼規劃
[2641.38-2644.38] 因為我記得美蘇的話我們去年整併的
[2644.38-2646.38] 其實應該比較多是大陸這裡的產能
[2646.38-2648.38] 那仲崎是不是原本在越南
[2648.38-2650.38] 好像也有一些產能
[2650.38-2652.38] 這部分打算之後要怎麼應用
[2655.38-2658.38] 那個目前先是集中
[2658.38-2661.38] 就是把這個工廠集中
[2661.38-2664.38] 那至於仲崎是在海防
[2664.38-2665.38] 海防合格廠
[2665.38-2667.38] 那這邊我們就可以比較
[2667.38-2670.38] 自由的運用
[2670.38-2672.38] 那這邊暫時
[2672.38-2674.38] 因為計畫有很多個方面
[2674.38-2677.38] 暫時就先不在這邊透露
[2677.38-2683.38] 但是我想這個一個集團裡面
[2683.38-2685.38] 不要有太多工廠整併起來
[2685.38-2686.38] 一定是好的
[2686.38-2691.38] 所以目前是先把人員都移到明泰這邊
[2691.38-2694.38] 等於是仲崎不再自己生產
[2694.38-2696.38] 而是請明泰代購
[2696.38-2698.38] 是這樣的概念
[2698.38-2700.38] 那麼它自己原來的工廠
[2700.38-2702.38] 目前有好幾個方面的規劃
[2702.38-2703.38] 謝謝
[2703.38-2704.38] 好 謝謝
[2704.38-2707.38] 然後第二個想請教一下就是
[2707.38-2710.38] 因為其實我們應該還有兩個
[2710.38-2712.38] 之前比較可能在營收比較低
[2712.38-2713.38] 但持續的在發展
[2713.38-2716.38] 就是5G專網跟低軌道衛星的部分
[2716.38-2718.38] 能不能大概提一下我們這兩塊
[2718.38-2720.38] 在幾年的展望
[2720.38-2723.38] 5G專網
[2723.38-2725.38] 5G專網的這一塊
[2726.38-2728.38] 雖然很慢
[2728.38-2733.38] 但是我們已經一直看到專案越來越多
[2733.38-2738.38] 因為我們這個可以從我們集團裡面
[2738.38-2740.38] 也有這個SI公司可以看到
[2740.38-2744.38] 在我們的這些生意裡面
[2744.38-2748.38] 跟5G相關的實際應用的case
[2748.38-2750.38] 已經越來越多了
[2750.38-2755.38] 比方說去年我們也接了一個高爾夫球廠上運用5G
[2756.38-2759.38] 所以這樣的運用已經越來越多
[2759.38-2763.38] 所以我們還是對於5G專網的很期待
[2763.38-2767.38] 那這個部分明太也是持續的投資
[2767.38-2769.38] 那我相信這個部分
[2769.38-2775.38] 應該是會越來越有這個
[2775.38-2778.38] 明確的需求
[2778.38-2782.38] 那低軌衛星的這一塊
[2782.38-2784.38] 這一塊我們的出貨
[2784.38-2785.38] 之前
[2785.38-2786.38] 目前
[2786.38-2788.38] 還是小量
[2788.38-2790.38] 現在看起來
[2790.38-2792.38] 我們在美國的這個
[2792.38-2795.38] 之前的這個低軌衛星的客人
[2795.38-2798.38] 低軌衛星現在很多公司都有在
[2798.38-2799.38] 都有在觸及
[2799.38-2801.38] 但是也發現
[2801.38-2803.38] 大者恆大
[2803.38-2806.38] 有大者恆大這樣子的一個趨勢
[2806.38-2809.38] 所以目前這一塊
[2809.38-2811.38] 明太也好
[2811.38-2812.38] 仲啟也好
[2812.38-2813.38] 還是有持續的投入
[2813.38-2815.38] 那我們在兩年前
[2815.38-2819.38] 投資的一家雷昂科技
[2819.38-2823.38] 它也是持續在這個低軌衛星的供應鏈裡面
[2823.38-2827.38] 所以這個部分目前都還是我們的一個
[2827.38-2833.38] 一個在扶植的一個未來潛力的一個生意的部分
[2833.38-2834.38] 謝謝
[2842.38-2843.38] Rennington
[2843.38-2844.38] 好 請問一下
[2844.38-2846.38] 剛剛有講到說
[2846.38-2848.38] 利益政治的影響
[2848.38-2849.38] 我想問一下
[2849.38-2854.38] 客戶們有沒有要求說你們做一些內容的一些計畫
[2854.38-2857.38] 然後未來如果說因為搬移的話
[2857.38-2858.38] 會有成本
[2858.38-2860.38] 或在當地生產的一些成本
[2860.38-2862.38] 是不是可以跟客戶來分擔
[2862.38-2863.38] 這是第一個問題
[2863.38-2864.38] 第二個問題想問一下
[2864.38-2870.38] 剛才我們要進軍AI資料中心
[2870.38-2874.38] 我想說我是要指控這些CSE的客戶來
[2874.38-2878.38] 還是說跟其他的同伴一起進行
[2878.38-2881.38] 什麼時候會看到這樣的成本發酵
[2881.38-2882.38] 謝謝
[2888.38-2890.38] 我來回答第一個問題
[2890.38-2893.38] 那第二個問題一樣請簡明來回答
[2893.38-2896.38] 那麼工廠的部分
[2896.38-2898.38] 第一個問題
[2898.38-2902.38] 我們也可以請這個仲琦Lady這邊談一下
[2902.38-2903.38] 因為她這邊有個實力
[2904.38-2908.38] 就是客戶有要求要在雷達生產
[2908.38-2909.38] 這部分你談一下
[2931.38-2932.38] 現在
[2932.38-2940.38] 因為因應美國政府一些關稅的政策
[2940.38-2942.38] 這個導致其實
[2942.38-2944.38] 然後太平政策
[2944.38-2945.38] 還有聯合國移民事務政策
[2945.38-2947.38] 那我們也一定其實
[2947.38-2950.38] 我們也要提前因應
[2950.38-2955.38] 然後現在美國客人其實也都去提出來
[2955.38-2957.38] 我們一個最主要客人已經有
[2957.38-2959.38] 因為今天她是
[2959.38-2962.38] 我們也請到我們移民的她的一個
[2962.38-2964.38] 相關的計畫
[2964.38-2968.38] 在美國我們也有一個
[2968.38-2969.38] 我們有一個
[2969.38-2971.38] 取緣的一個
[2971.38-2972.38] 這個partner
[2972.38-2974.38] 一個工廠的一個partner
[2974.38-2975.38] 一起在
[2975.38-2979.38] 針對D.A.D.A的一個計畫
[2979.38-2981.38] 開始推動
[2981.38-2984.38] 這邊我補充一下
[2984.38-2986.38] 那個
[2986.38-2988.38] 我的麥克風
[2988.38-2989.38] 是那個聲音
[2989.38-2990.38] 好
[2990.38-2991.38] 你聽得見嗎?
[2991.38-2992.38] 好
[2999.38-3000.38] 大家記得
[3000.38-3002.38] 之前應該是一年多前
[3002.38-3005.38] 拜登曾經有寄出一個
[3005.38-3006.38] 一個
[3006.38-3008.38] 上幾百億的這個
[3008.38-3010.38] 這個補助案
[3010.38-3012.38] 那麼
[3012.38-3015.38] FollowMate的補助案的一個要求
[3015.38-3016.38] 所以
[3016.38-3018.38] 它其實有連的一個關係
[3018.38-3021.38] 如果是光纖的產品的話
[3021.38-3023.38] 它必須是
[3023.38-3025.38] B.A.B.A
[3025.38-3027.38] Buy American Build America
[3027.38-3029.38] 有這樣子的一個要求
[3029.38-3030.38] 那麼當時呢
[3030.38-3032.38] 我們就應應了這個要求
[3032.38-3034.38] 跟北美客戶配合
[3034.38-3037.38] 所以在北美已經準備好的一個
[3037.38-3038.38] EMS的生產
[3038.38-3040.38] 所以呢
[3040.38-3042.38] 那你也一定知道
[3042.38-3045.38] 在北美的生產成本呢
[3045.38-3048.38] 是遠遠大於越南的生產成本
[3048.38-3049.38] 所以這個部分我們也跟客戶有做了充分的構思
[3049.38-3052.38] 因此
[3052.38-3054.38] 在這樣情況之下
[3054.38-3057.38] 這個成本是可以完全轉移的
[3057.38-3059.38] 我想這個部分
[3059.38-3062.38] 目前客人都可以理解
[3062.38-3064.38] 那
[3064.38-3065.38] 基本上呢
[3065.38-3067.38] 應應這些
[3067.38-3069.38] 關稅相關的這個工廠的
[3069.38-3070.38] 遺轉
[3070.38-3072.38] 是
[3072.38-3074.38] 基本上我們認為大部分都可以轉移的
[3074.38-3075.38] 好
[3075.38-3076.38] 大家可以回答
[3078.38-3079.38] 好
[3079.38-3080.38] 那麼
[3080.38-3081.38] 資料中心相關的
[3081.38-3083.38] AI Data Center的部分
[3083.38-3085.38] 我們現在目前比較有掌握的
[3085.38-3089.38] 在第一階段我們會是從歐比亞的客戶這邊去做切入
[3089.38-3091.38] 那我們
[3091.38-3095.38] 目前也的確是要需求就是指控的這個可能性
[3095.38-3096.38] 但是呢
[3096.38-3097.38] 我們現在目前呢
[3097.38-3101.38] 指控的這個預期的時間點會發生比較後天的
[3101.38-3104.38] 我們預期可能會在兩年後或三年後
[3104.38-3105.38] 會比較有機會
[3105.38-3108.38] 那我們現在目前採取的策略是去選擇
[3108.38-3110.38] 這些大型電腦產品
[3110.38-3113.38] 他們會考慮的軟體的手錄件能夠廠商
[3113.38-3116.38] 我們藉著跟這些軟體廠商的一些合作
[3116.38-3119.38] 我們希望藉著這種方式去做切入
[3119.38-3120.38] 但是呢
[3120.38-3123.38] 這整個關係的建立跟客戶這邊的
[3123.38-3125.38] 等等一些溝通
[3125.38-3127.38] 現在目前都還在
[3127.38-3129.38] 在籌備的一個階段
[3138.38-3147.38] 我們雖然好像比較避免接通嘟我
[3147.38-3148.38] 但是的話
[3148.38-3154.80] 如果這些個人 rec避免對他的好好的
[3154.80-3158.88] 他 Khali soni等等
[3158.88-3163.38] subtitle
[3164.98-3165.70] 你
[3168.38-3173.74] 好的,那我們今天的法人說明會就在這邊告一段落
[3173.74-3177.02] 非常感謝各位投資先進的提問
[3177.02-3181.90] 也感謝明泰與仲錫的經營團隊今天的簡報以及Q&A的說明
[3181.90-3184.50] 今天法人說明會在此結束
[3184.50-3187.10] 非常感謝各位投資先進的參與
[3187.10-3190.30] 祝福各位投資順利,國家平安,謝謝
[3190.30-3191.30] 謝謝各位
