[0.00-4.40] 好,各位博士先進午安,感謝各位今天領域大政見的訪問
[1446.40-1448.40] 來講會快很多
[1448.40-1450.40] 那在費用上也比較省
[1450.40-1452.40] 因為我們幫他Cover
[1452.40-1454.40] Vendor Board的這個認證費
[1454.40-1456.40] 那這一個部分我們是用其他的方式去跟客人做
[1456.40-1458.40] Either是Charge
[1458.40-1460.40] 或者是Ammortize
[1460.40-1462.40] 都會去跟客人協調
[1462.40-1464.40] 那所以這個是讓他們比較快
[1464.40-1466.40] 那這是第一個示意圖
[1466.40-1468.40] 那剛才講的我們Vendor Board Module
[1468.40-1470.40] 就是放一個Key Sync
[1470.40-1472.40] 在那一塊
[1472.40-1474.40] 那客人只要做Scaler的Monitor Board
[1474.40-1476.40] 我們這邊直接接進去就可以了
[1476.40-1478.40] 那Depensa客人要把
[1478.40-1480.40] 這個Module放在最下最旁邊
[1480.40-1482.40] 或者是
[1482.40-1484.40] 哪一個部分的IoPort
[1484.40-1486.40] 他放在哪個位置
[1486.40-1488.40] 這個我們會盡量去配合客人
[1488.40-1490.40] 去把位置上
[1490.40-1492.40] 簡單的做調整
[1492.40-1494.40] 當然Vendor Board也是比較討厭在這裡
[1494.40-1496.40] 我只要
[1496.40-1498.40] 上面的電路有變
[1498.40-1500.40] 我整片的這個Module都得去重新認證過
[1500.40-1502.40] 所以我們會盡量的說服
[1502.40-1504.40] 我們其實都在說服客人
[1504.40-1506.40] 就是在上面板子的Vendor Board的IoPort不變
[1506.40-1508.40] 我只是幫他放左邊右邊
[1508.40-1510.40] 配合他Scaler的板子去做
[1510.40-1512.40] 那這樣子的話
[1512.40-1514.40] 才能夠達到原始做這個板子的
[1514.40-1516.40] 這個目的
[1516.40-1518.40] 就是讓他能夠快速的
[1518.40-1520.40] 有產品在市面上銷售
[1522.40-1524.40] 那這是大致的規格
[1524.40-1526.40] 其實跟Vendor Board是一樣的
[1526.40-1528.40] 當然主要的就是Downstream
[1528.40-1530.40] 然後再來是
[1530.40-1532.40] 也不能說比較特殊
[1532.40-1534.40] 因為現在我們前面在講的Cable
[1534.40-1536.40] 是140W
[1536.40-1538.40] 那很多人就會問
[1538.40-1540.40] 為什麼這邊我們只做140W
[1540.40-1542.40] 他的重點就是
[1542.40-1544.40] 這140W不是我控制的
[1544.40-1546.40] 是板子上的一個Power Deliver的IC在做控制
[1546.40-1548.40] 目前Power Deliver的IC
[1548.40-1550.40] 以兩大廠Sacrace跟TI
[1550.40-1552.40] 甚至Realtek
[1552.40-1554.40] 他們在做的Onboard的部分
[1554.40-1556.40] 目前都只做140W
[1556.40-1558.40] 240W應該是要到
[1558.40-1560.40] 明年的上半年
[1560.40-1562.40] 才會弄出來
[1562.40-1564.40] 那當然今年有
[1564.40-1568.40] 前大客戶有先測試在用
[1568.40-1570.40] 但是目前看起來
[1570.40-1572.40] 你真的要補給的話到明年
[1572.40-1574.40] 那這是為什麼到現在
[1574.40-1576.40] 有一些客人還是
[1576.40-1578.40] 繼續沿用140W的原因
[1578.40-1580.40] 那第二個也是因為價格的考量
[1580.40-1582.40] 因為140W的Power Deliver比較便宜
[1582.40-1584.40] 所以他們在搭售出去的時候
[1584.40-1586.40] 他就是搭140W
[1586.40-1588.40] 目前這是看起來
[1588.40-1590.40] 市場的趨勢
[1590.40-1592.40] 當然240W一定會有人做
[1592.40-1594.40] 因為那整個的價格是往上提升的
[1594.40-1596.40] 所以現在我們在觀察
[1596.40-1598.40] Fendable 4的部分
[1598.40-1600.40] 之後240W是做
[1600.40-1602.40] 還是說直接要做240W的時候
[1602.40-1604.40] 就直接做Fendable 5的這個Module
[1604.40-1606.40] 這個真的Dependent on
[1606.40-1608.40] 面板那邊的價格
[1608.40-1610.40] 因為它Resolution又提高了
[1610.40-1612.40] 跟DP2.1一樣
[1612.40-1614.40] 目前我們看到的做得出來的
[1614.40-1616.40] 這個Monitor的價格
[1616.40-1618.40] 都不貴
[1620.40-1622.40] 好那這個是另外一個新的
[1622.40-1624.40] 就是我們新的Stingloss的產品
[1624.40-1626.40] 就是我們現在在用的
[1626.40-1628.40] 就是我們剛剛講的
[1628.40-1630.40] 大的DP頭
[1630.40-1632.40] 它目前可以Mit的話就是DP的規格
[1632.40-1634.40] 那DP2.1的規格
[1634.40-1636.40] 又有分成三種
[1636.40-1638.40] 所以三種就是我們這邊寫到的
[1638.40-1640.40] 一個叫DP54
[1640.40-1642.40] 一個叫DP80
[1642.40-1644.40] 一個叫DP80 Low-Rose
[1644.40-1646.40] 那當然DP54是最基本的規格
[1646.40-1648.40] 目前看起來最多客人會推這一個Monitor
[1648.40-1650.40] 因為相對來講Monitor的這個Resolution
[1650.40-1652.40] 跟這個Panel是比較
[1652.40-1654.40] 比較有效的
[1654.40-1656.40] 能夠接受的
[1656.40-1658.40] 那再來DP80
[1658.40-1660.40] 那DP80的話就是一般講的
[1660.40-1662.40] 這個80K 60Hz
[1662.40-1664.40] 或是10K 30Hz
[1664.40-1666.40] 那這個部分來說就是
[1666.40-1668.40] 米數的話長的一般都是
[1668.40-1670.40] 確定是要Active
[1670.40-1672.40] 如果要Test的話
[1672.40-1674.40] 那個線我們實驗過非常的粗
[1674.40-1676.40] 那另外一個就是說
[1676.40-1678.40] 我們用扁線做了Solution給客戶
[1678.40-1680.40] 那這個東西就是
[1680.40-1682.40] 我在做扁線的時候
[1682.40-1684.40] 我們可以讓客戶就是我的生產會比較簡單
[1684.40-1686.40] 也在跟客人談
[1686.40-1688.40] 要說服客人扁線也不會太差
[1688.40-1690.40] 就是在Conformance上面
[1690.40-1692.40] 那目前客戶測過是OK
[1692.40-1694.40] 那要說服他就是
[1694.40-1696.40] 使用習慣
[1696.40-1698.40] 因為一般的習慣是用圓的線
[1698.40-1700.40] 那用扁的線其實市場上一直都有
[1700.40-1702.40] 包含網路線HDMI都有
[1702.40-1704.40] 但問題就是說要克服一下客人
[1704.40-1706.40] 針對這種扁線
[1706.40-1708.40] 他們的這個接受度
[1708.40-1710.40] 那當然另外有一個客戶最近提出一個Challenge
[1710.40-1712.40] 就是他有一定的量
[1712.40-1714.40] 但是如果我做的話
[1714.40-1716.40] 他是Single Source
[1716.40-1718.40] 所以這個我們也在想辦法說服客人
[1718.40-1720.40] 因為客人那邊測試都覺得沒有問題
[1720.40-1722.40] 價格也OK
[1722.40-1724.40] 這目前也是在努力當中
[1724.40-1726.40] 那為什麼有DP80 Low-Loss
[1726.40-1730.40] 那這個部分主要是要符合MVE那邊的
[1730.40-1736.40] 它開出來要求給Visa的規範
[1736.40-1738.40] 不能講規範
[1738.40-1740.40] 它要的Spec
[1740.40-1742.40] 那這個部分來講Low-Loss的部分
[1742.40-1744.40] 它的長度會從原本可以做到1米
[1744.40-1746.40] 變成只有0.65
[1746.40-1750.40] 那它要求的規格又是更高的
[1750.40-1752.40] 那這個部分其實
[1752.40-1754.40] 我們不確定後面的走向會如何
[1754.40-1756.40] 但是可以知道的就是說
[1756.40-1758.40] 需求是有
[1758.40-1760.40] 但是不一定
[1760.40-1762.40] 會在短期之內做出來
[1762.40-1764.40] 是因為規格
[1764.40-1766.40] 其實客人一直在調整
[1766.40-1768.40] 那當然Visa的協會那邊
[1768.40-1770.40] 就是DP協會那邊
[1770.40-1772.40] 其實也在
[1772.40-1774.40] 針對這個規格
[1774.40-1776.40] 他們要怎麼去放
[1776.40-1778.40] 這個規範上
[1778.40-1780.40] 譬如說Data-Loss的部分
[1780.40-1782.40] 但是看起來如果要做到Low-Loss的話
[1782.40-1784.40] 要用Active
[1784.40-1786.40] 因為Active它的
[1786.40-1788.40] Legrand放進去之後是可以做到3米
[1788.40-1790.40] 但是你如果用Passive的話
[1790.40-1792.40] 就是PayPal上寫的
[1792.40-1794.40] 最少就是0.65太短
[1794.40-1796.40] 那個可能是機台對機台可以用
[1796.40-1798.40] 但是你要到In-User的手上
[1798.40-1800.40] 應該是沒有辦法
[1800.40-1802.40] 好,光產品的部分
[1802.40-1804.40] 目前
[1804.40-1806.40] 就如同前面說的
[1806.40-1808.40] 我們一直到800G
[1808.40-1810.40] 目前都在跟客人的
[1810.40-1812.40] 對應上面
[1812.40-1814.40] 都在測試當中
[1814.40-1816.40] 那到800G
[1816.40-1818.40] 其實之前我開了兩個Playform
[1818.40-1820.40] QSMP, DDT跟OSMP
[1820.40-1822.40] 可是目前看起來
[1822.40-1824.40] 會被客人
[1824.40-1826.40] 比較多客人接受的
[1826.40-1828.40] 應該就是會轉到OSMP去
[1828.40-1830.40] QSMP的部分其實用量
[1830.40-1832.40] 不大
[1832.40-1836.40] 那另外因為AOC的部分
[1836.40-1838.40] 目前我們看的到的狀況就是
[1838.40-1840.40] 那個ProCAM
[1840.40-1842.40] 或者是那個
[1842.40-1844.40] Mavio那邊的一些Componer
[1844.40-1846.40] 它來的時間都比較慢
[1846.40-1848.40] 所以為了不讓客人
[1848.40-1850.40] Idle太久
[1850.40-1852.40] 跟它的測試,軟的部分
[1852.40-1854.40] 我們會用這個DECK
[1854.40-1856.40] 去fulfill客人的需求
[1856.40-1858.40] 那其實DECK的部分我們也是會用
[1858.40-1860.40] 點線去做
[1860.40-1862.40] 那這樣子的話某些程度上
[1862.40-1864.40] 會增加我的
[1864.40-1866.40] 這個產出的效能
[1866.40-1868.40] 效率會比較高
[1868.40-1870.40] 那當然一些Post
[1870.40-1872.40] 我可以Free Day給客人
[1872.40-1874.40] 但是最重要其實還是在於那個
[1874.40-1876.40] 對於高頻Performance的表現
[1876.40-1878.40] 我們目前試起來就是說
[1878.40-1880.40] 點線的這個效果還是不錯
[1880.40-1882.40] 但是一樣
[1882.40-1884.40] 長度上面來講目前我們最長
[1884.40-1886.40] 應該是做到2.5米
[1886.40-1888.40] 那當然這個兌現的部分
[1888.40-1890.40] 我們也會嘗試的做
[1890.40-1892.40] 希望它可以用這個一般傳統的
[1892.40-1894.40] 這種TuneX的線去做處理
[1896.40-1898.40] 那1.6T的部分應該是在
[1898.40-1900.40] 四月份我們會有
[1900.40-1902.40] 樣品給一些
[1902.40-1904.40] 客人去這個
[1904.40-1906.40] SERVER上去做驗證
[1906.40-1908.40] 那目前說實在
[1908.40-1910.40] 1.6T要去測試的話
[1910.40-1912.40] 有一定的難度
[1912.40-1914.40] 因為目前看客人那邊很多它的設備
[1914.40-1916.40] 也都還沒有完全好
[1916.40-1918.40] 所以我只能用
[1918.40-1920.40] 我們只能用這個儀器的部分先fulfill客人
[1920.40-1922.40] 在這個Performance上面的這個想法
[1922.40-1924.40] 那之後
[1924.40-1926.40] 這個等機帶好了
[1926.40-1928.40] 我們再上機排去做RAID的這個測試
[1930.40-1932.40] 那這個Tag是比較
[1932.40-1934.40] Summarize
[1934.40-1936.40] 那其實就是剛才前面都講
[1936.40-1938.40] 後面就是說像1.6T跑到224G
[1938.40-1940.40] 會這樣子寫
[1940.40-1942.40] 主要是另外一個後面要提的就是
[1942.40-1944.40] 我們不管
[1944.40-1946.40] 外部線還有另外一個內部線的部分
[1946.40-1948.40] 也會用類似的材質跟這個
[1948.40-1950.40] 設計的方式去滿足這個
[1950.40-1952.40] 客人內部點對點的
[1952.40-1954.40] 這個link
[1954.40-1956.40] 好
[1956.40-1958.40] 這個的話就是
[1958.40-1960.40] 針對這個
[1960.40-1962.40] 內部線的部分我們會做的一些
[1962.40-1964.40] 調配
[1964.40-1966.40] 剛才講的左手邊有兩個
[1966.40-1968.40] 一個叫TuneX一個叫SlimLuster
[1968.40-1970.40] 一個是點線一個是傳統的對線
[1970.40-1972.40] 那其實我們在因應客人的各種需求
[1972.40-1974.40] 去都譬如說做在MCIO的
[1974.40-1976.40] Interface
[1976.40-1978.40] GENZ SlimSource
[1978.40-1980.40] 或者是我們自己的那個SlimLuster Connector
[1980.40-1982.40] 就是後面會再提到的Optical Engine
[1982.40-1984.40] 那個最近有一個
[1984.40-1986.40] 一兩個客人
[1986.40-1988.40] 在push我們做樣品去做
[1988.40-1990.40] 這個機台的搭配
[1990.40-1992.40] 這後面會大概再說一下
[1992.40-1994.40] 那這個部分來說就是從前面說的
[1994.40-1996.40] 我們在Support PCIe的部分
[1996.40-1998.40] 目前
[1998.40-2000.40] 極限應該是到PCIe 6
[2000.40-2002.40] 到6的部分來說
[2002.40-2004.40] 目前規格上
[2004.40-2006.40] 幾乎就是可以達到
[2006.40-2008.40] 那個PCIe協會的要求
[2008.40-2010.40] 所以現在也是極限
[2010.40-2012.40] 積極的在跟客人對測當中
[2014.40-2016.40] 好這邊就有提到
[2016.40-2018.40] 我在PCIe
[2018.40-2020.40] 5跟6的時候我可以做到的長度
[2020.40-2022.40] 那目前看起來5的部分
[2022.40-2024.40] 我可以做到0.9米
[2024.40-2026.40] 6的話是大概0.8左右
[2026.40-2028.40] 那當然之前有
[2028.40-2030.40] 在跟一些
[2030.40-2032.40] 客人對測PCIe 7
[2032.40-2034.40] 其實客人也沒計談
[2034.40-2036.40] 那我只能用現有的這一個
[2036.40-2038.40] Performance去推估
[2038.40-2040.40] 那其實你PCIe 7真的要達到的話
[2040.40-2042.40] 長度馬上縮短成一半
[2042.40-2044.40] 就只有40公分
[2044.40-2046.40] 那目前看起來就是之前大家一直在討論
[2046.40-2048.40] PCIe 7是不是要走Optical
[2048.40-2050.40] 的這個設計
[2050.40-2052.40] 那其實目前看起來
[2052.40-2054.40] 還沒有一個很大的結論
[2054.40-2056.40] 那當然
[2056.40-2058.40] 這個就是說我們
[2058.40-2060.40] 假設在做這種扁平線的這個設計
[2060.40-2062.40] 來說幾個客人在
[2062.40-2064.40] 應用上面
[2064.40-2066.40] 這個是以前Intel大概在
[2066.40-2068.40] 3到4年前提出的
[2068.40-2070.40] 他要在
[2070.40-2072.40] 板對板的連接就是
[2072.40-2074.40] Nodebook裡面CPU到海岸線的
[2074.40-2076.40] 這個做法其實他講很久
[2076.40-2078.40] 那最近才有客人買單這種做法
[2078.40-2080.40] 包含Connector的設計
[2080.40-2082.40] 跟Cable的這個設計
[2082.40-2084.40] 才發現說會多樣化
[2084.40-2086.40] 因為Intel的Initial設計
[2086.40-2088.40] 太貴那我現在也在
[2088.40-2090.40] 嘗試的去做一些Fyteam跟改版
[2090.40-2092.40] 讓這一個
[2092.40-2094.40] 設計上
[2094.40-2096.40] 還有能夠應用到客人
[2096.40-2098.40] 那邊它在規格上包含了
[2098.40-2100.40] Performance跟機構上
[2100.40-2102.40] 就是空間上的這個需求
[2102.40-2104.40] 那目前來說我們這對
[2104.40-2106.40] 自己的Cable是還蠻有信心的
[2106.40-2108.40] 但是Connector我們現在得
[2108.40-2110.40] 重新再開或者是找現成的
[2110.40-2112.40] 去這個
[2112.40-2114.40] Mit客人的要求
[2114.40-2116.40] 因為它現在板端就是用
[2116.40-2118.40] 自己的Connector那Loss比較大
[2118.40-2120.40] 我用Cable去Cover回來
[2120.40-2122.40] 那目前這個特製化的設計
[2122.40-2124.40] 我們也正在進行當中
[2124.40-2126.40] 這是ForNodebook
[2126.40-2128.40] 那這個
[2128.40-2130.40] 這個大概就是之前有提到過
[2130.40-2132.40] ForServer的部分其實重點還是一樣
[2132.40-2134.40] 我們的點評線
[2134.40-2136.40] 盡量能夠去ForFuel客人
[2136.40-2138.40] 在這個Server的設計上
[2138.40-2140.40] 在風流的部分還是有比較
[2140.40-2142.40] 好的這個選擇
[2144.40-2146.40] 因為像左下角那邊就有提到厚度
[2146.40-2148.40] 前面那一個
[2148.40-2150.40] 銀色的線
[2150.40-2152.40] 有四條線疊在一起
[2152.40-2154.40] 那厚度大概就是6.5mm
[2154.40-2156.40] 那傳統的TwinX
[2156.40-2158.40] TwinSpare的線其實
[2158.40-2160.40] 它一根線大概就8.7mm
[2160.40-2162.40] 所以它如果四根線
[2162.40-2164.40] 都要用傳統的線去做
[2164.40-2166.40] 它的整個高度是非常高的
[2166.40-2168.40] 包含空間還有風流
[2168.40-2170.40] 散熱都會有所影響
[2174.40-2176.40] 這Emerging Cooling這應該之前
[2176.40-2178.40] 有大概提過啦
[2178.40-2180.40] 這個就是有冷的測試
[2180.40-2182.40] 目前一直在進行當中
[2182.40-2184.40] 因為包含材質又要拿PFAS
[2184.40-2186.40] 還在繼續調整
[2186.40-2188.40] 但是目前測的狀況包含跟
[2188.40-2190.40] 三家客戶在對車
[2190.40-2192.40] 用不同的油去泡
[2192.40-2194.40] 結果都
[2194.40-2196.40] 算是OK
[2196.40-2198.40] 那只是這個的
[2198.40-2200.40] 問題
[2200.40-2202.40] 會在於客人真的要用嗎
[2202.40-2204.40] 目前看起來油冷的部分
[2204.40-2206.40] 看過幾個展覽跟研討會
[2206.40-2208.40] 大家都認為是個趨勢
[2208.40-2210.40] 但是沒有什麼人在用
[2210.40-2212.40] 重點就是
[2212.40-2214.40] 壞了怎麼辦
[2214.40-2216.40] 怎麼維修
[2216.40-2218.40] 那你後面的維護上
[2218.40-2220.40] 有一定程度的問題
[2220.40-2222.40] 然後你又要一台機器
[2222.40-2224.40] 像戰車一樣的
[2224.40-2226.40] 都是油在裡面
[2226.40-2228.40] 所以
[2228.40-2230.40] 有人量產
[2230.40-2232.40] 但是聽說都是
[2232.40-2234.40] 企業形象去量產
[2234.40-2236.40] 告訴大家
[2236.40-2238.40] 我有用油冷
[2238.40-2240.40] 我有比較好的這個
[2240.40-2242.40] 所謂的綠色指標
[2242.40-2244.40] 不浪費能源
[2244.40-2246.40] 但是也就是一小部分在做
[2246.40-2248.40] 所以我們也在看
[2248.40-2250.40] 這個
[2250.40-2252.40] 要陪公子
[2252.40-2254.40] 念書多久才要成績
[2254.40-2256.40] 因為這個可能
[2256.40-2258.40] 各位在外面聽是不是
[2258.40-2260.40] 有更好的消息
[2260.40-2262.40] 可以討論一下
[2262.40-2264.40] 因為我們自己也很猶豫
[2264.40-2266.40] 這個東西繼續做嗎
[2266.40-2268.40] 因為有這麼多油品要做
[2268.40-2270.40] 那我要做到什麼時候
[2270.40-2272.40] 因為每個客人選的油品都不太一樣
[2272.40-2274.40] 另外就是所謂的CPC
[2274.40-2276.40] 因為之前有討論
[2276.40-2278.40] CPO
[2278.40-2280.40] 最後一個是O是article
[2280.40-2282.40] 為什麼會又回到C是copper
[2282.40-2284.40] 主要原因就是
[2284.40-2286.40] 成本加上客人的接受度
[2286.40-2288.40] 還有它的應用場景
[2288.40-2290.40] 這個是跟國內
[2290.40-2292.40] 加switch廠商在做的
[2292.40-2294.40] 就是說我們會有一些設計
[2294.40-2296.40] 是否CPC
[2296.40-2298.40] interconnect
[2298.40-2300.40] 然後它有transparent的type
[2300.40-2302.40] 跟steel loss的type
[2302.40-2304.40] 就是說跟之前我們內部線一樣
[2304.40-2306.40] 就我們講它會做一些轉換
[2306.40-2308.40] 轉換就是一樣的材料
[2308.40-2310.40] 我可以做到什麼樣的應用
[2310.40-2312.40] 那當然就是說
[2312.40-2314.40] 在這個部分材質上
[2314.40-2316.40] 我們還是focus在這兩個
[2316.40-2318.40] 因為是比較好去control
[2318.40-2320.40] 那另外就是說現在做到的進度呢
[2320.40-2322.40] 就是我們現在是在做
[2322.40-2324.40] 一個比較EVV的設計
[2324.40-2326.40] 那測試的狀況
[2326.40-2328.40] 後面會大概講一下
[2328.40-2330.40] 目前也是跟客人的這個
[2330.40-2332.40] 前端的設計team在討論
[2332.40-2334.40] 就是要哪些要修改
[2334.40-2336.40] 那就是下一個步驟
[2336.40-2338.40] 就是說它interface
[2338.40-2340.40] 到底要做多大
[2340.40-2342.40] 因為現在每一家客人的要求都不一樣
[2342.40-2344.40] 會類似像這樣子
[2344.40-2346.40] 做成一個方形
[2346.40-2348.40] 初步的想法是
[2348.40-2350.40] 反端不要connect
[2350.40-2352.40] 就是金手指
[2352.40-2354.40] 配得出來
[2354.40-2356.40] 然後我的線做好之後直接附著上去
[2356.40-2358.40] 這是一個solution
[2358.40-2360.40] 但是這裡要克服客人能不能夠接受
[2360.40-2362.40] 因為組裝上有一些要去克服的
[2362.40-2364.40] 但是這個可以省下
[2364.40-2366.40] 就是說Connect在板端的前
[2366.40-2368.40] 也省下了那一小段的loss
[2368.40-2370.40] 那其實到了高頻之後
[2370.40-2372.40] 很多的設計都得這樣子去
[2372.40-2374.40] 節省
[2374.40-2376.40] 節點
[2376.40-2378.40] 為什麼要節省節點
[2378.40-2380.40] 就是你多一個節點就多一個loss
[2380.40-2382.40] 那它這個部分就是希望
[2382.40-2384.40] 圍在IC周邊
[2384.40-2386.40] 直接拉到
[2386.40-2388.40] 一種拉到板邊
[2388.40-2390.40] 一種拉到背板
[2390.40-2392.40] 一種就是chip to chip
[2392.40-2394.40] 都是一樣的概念
[2394.40-2396.40] 現在大家都在找比較經濟的solution
[2396.40-2398.40] 是不是可以這樣做
[2398.40-2400.40] 目前我們驗證出來可行
[2400.40-2402.40] 但是可行的狀況一樣
[2402.40-2404.40] 客人就不接受
[2404.40-2406.40] 因為它如果買單的這個做法
[2406.40-2408.40] 一樣有可能它是single source
[2408.40-2410.40] 因為這種設計都是
[2410.40-2412.40] 先patent進去
[2412.40-2414.40] 像Semtech也是一樣
[2414.40-2416.40] 它的Connect如果你要跟它買就是付高額的權利金
[2416.40-2418.40] 那當然是誰買單
[2418.40-2420.40] 總都要買
[2420.40-2422.40] 但是問題就是說一樣的狀況
[2422.40-2424.40] 你採用Semtech的時候
[2424.40-2426.40] 它一樣是single source
[2426.40-2428.40] 所以現在我們觀察到市場的狀況就是說
[2428.40-2430.40] 如果要做這樣子的設計
[2430.40-2432.40] 一定得initial就要進去
[2432.40-2434.40] 然後讓客人去select
[2434.40-2436.40] 哪一個是對它最有利的
[2436.40-2438.40] 包含performance
[2438.40-2440.40] 交期還有價格
[2440.40-2442.40] 目前看起來
[2442.40-2444.40] performance跟標的
[2444.40-2446.40] 競爭的設計來說
[2446.40-2448.40] performance接近了
[2448.40-2450.40] 那麼價格的部分
[2450.40-2452.40] initial給客戶
[2452.40-2454.40] 客人是接受
[2454.40-2456.40] 剩下就是後端一些business
[2456.40-2458.40] 但是還有一段路要走
[2458.40-2460.40] 是因為每一個IC出來
[2460.40-2462.40] 它需要的這個
[2462.40-2464.40] 我們講的17.61x17.05
[2464.40-2466.40] 這樣子的尺寸
[2466.40-2468.40] 還有channel數夠不夠用
[2468.40-2470.40] 然後它拉多長
[2470.40-2472.40] 因為你這一旦做下去之後
[2472.40-2474.40] 我只能告訴客人
[2474.40-2476.40] 假設上面寫的30gb的部分
[2476.40-2478.40] 我拉的長度
[2478.40-2480.40] 應該就是固定
[2480.40-2482.40] 因為我要跑244g的話
[2482.40-2484.40] 我的長度大概就是固定那個長度
[2484.40-2486.40] 那客人在使用上
[2486.40-2488.40] 他就要背上這個
[2488.40-2490.40] 去做一些調整
[2490.40-2492.40] 所以
[2492.40-2494.40] 這個設計不是不能做
[2494.40-2496.40] 就是要時間
[2496.40-2498.40] 再來就是說有沒有什麼更好的想法
[2498.40-2500.40] 目前看起來
[2500.40-2502.40] 各家的做法都是接近
[2502.40-2504.40] 也在討論要不要把它做成一個標準
[2504.40-2506.40] 在那個
[2506.40-2508.40] 那個什麼
[2508.40-2510.40] 應該是
[2510.40-2512.40] Supercomputing
[2512.40-2514.40] Open computing那個協會裡面
[2514.40-2516.40] 有在討論
[2516.40-2518.40] 但是應該是沒那麼快會有標準
[2518.40-2520.40] 好
[2520.40-2522.40] 那這個是測出來的狀況
[2522.40-2524.40] 其實就是以這個
[2524.40-2526.40] 學理來說
[2526.40-2528.40] 這個東西來說
[2528.40-2530.40] 它變成
[2530.40-2532.40] 我們給客人的這個換算裡面
[2532.40-2534.40] 我會告訴他長度要多少
[2534.40-2536.40] 因為每個客人要的這個長度都不一樣
[2536.40-2538.40] 加上他要的bandwidth不同
[2538.40-2540.40] 要背上這個去調整
[2540.40-2542.40] 所以變數上來講還蠻多的
[2542.40-2544.40] 但是至少Initial客人看起來是覺得
[2544.40-2546.40] 沒有問題
[2546.40-2548.40] 可以繼續往下走
[2548.40-2550.40] 那這個當然我們也是之前
[2550.40-2552.40] 分析給客人看的
[2552.40-2554.40] 就是說傳統的TwinX跟Synaser之間
[2554.40-2556.40] 有什麼優勝劣敗
[2556.40-2558.40] 那看起來其實是
[2558.40-2560.40] 客人的優缺點
[2560.40-2562.40] 沒有誰取代誰的問題
[2562.40-2564.40] 只是成本上還有客人的接受度
[2564.40-2566.40] 好那這個就是
[2566.40-2568.40] 我們到時候做的一些加工
[2568.40-2570.40] 那這是做給客戶去
[2570.40-2572.40] 模擬的
[2572.40-2574.40] 就是他在板端上面要怎麼去做
[2574.40-2576.40] 其實各位看到就是
[2576.40-2578.40] 這是Phototype
[2578.40-2580.40] 那你用TwinX的時候我要怎麼去做
[2580.40-2582.40] 因為它是對線
[2582.40-2584.40] 我要怎麼去協助它固定在板子上
[2584.40-2586.40] 那這個是
[2586.40-2588.40] 實際有在做的Phototype
[2588.40-2590.40] 那這個部分就是說
[2590.40-2592.40] 整個測出來
[2592.40-2594.40] 狀況可以
[2594.40-2596.40] 那接下來就是應用上
[2596.40-2598.40] 我要Basic上這個再去跟客人
[2598.40-2600.40] 做調整
[2600.40-2602.40] 因為現在兩個客人有興趣做
[2602.40-2604.40] 但是就是要的這個
[2604.40-2606.40] 規格不太一樣
[2606.40-2608.40] 但是困難點就在於
[2608.40-2610.40] 這一個連接到板子上的
[2610.40-2612.40] 這個
[2612.40-2614.40] 連接方式
[2614.40-2616.40] 客人是不是接受
[2616.40-2618.40] 我就是用這個
[2618.40-2620.40] 在開Socket的做法
[2620.40-2622.40] 我們也做了一個設計
[2622.40-2624.40] 但是一樣開Socket的時候
[2624.40-2626.40] 你不同Pin數
[2626.40-2628.40] 我就要開不同的Socket
[2628.40-2630.40] 跟那個CPU GPU不太相同
[2630.40-2632.40] 就是CPU GPU可能它Pin數
[2632.40-2634.40] 這個Pin多少
[2634.40-2636.40] 就可以一系列的往下做
[2636.40-2638.40] 這個是要 meet客人在尺寸上的需求
[2638.40-2640.40] 有的客人需要小一點
[2640.40-2642.40] 有的客人要大一點
[2642.40-2644.40] 然後Pin數要多一點
[2644.40-2646.92] 也可以叫它
[2646.92-2648.18] 叫Plug
[2648.18-2649.60] 那个设计不太一样
[2649.60-2650.34] 它是一样叫Plug
[2650.34-2652.32] 那个模具也都是重来
[2652.32-2653.10] 所以
[2653.10-2657.28] 成本上会占比较多
[2657.28-2658.16] 在这些地方
[2658.16-2659.34] 但是也是要看
[2659.34-2660.38] 有没有办法
[2660.38-2661.46] 几个客人统一
[2661.46-2662.92] 用一种模式去做
[2662.92-2664.16] 这也是在努力的
[2664.16-2666.10] 那是铜线的部分
[2666.10-2667.42] 那当然OBO
[2667.42-2668.80] Onboard Particle
[2668.80-2670.24] 这个其实我们也
[2670.24-2671.44] 等过了一段时间
[2671.44-2673.50] 那最近已经有客人
[2673.50-2675.48] 愿意去做一些尝试
[2675.48-2676.20] 就是说
[2676.20-2677.82] 左手边那边
[2677.82-2679.64] 应该之前有听过的
[2679.64-2681.04] 投资朋友应该都知道
[2681.04-2683.14] 这一边是直接拉到海岸线
[2683.14-2686.32] 右手边这边的线
[2686.32-2688.12] 就跟刚才CPC一样
[2688.12-2690.14] 是拉到Chip Set旁边
[2690.14-2692.96] 那做法上会非常接近
[2692.96-2694.86] 会两个去做一个相互的
[2694.86-2697.00] 这个Cover
[2697.00-2698.20] CPC的部分
[2698.20-2699.90] 前面讲到的CPC
[2699.90-2701.54] 它就只做这一段
[2701.54-2703.06] 就终点
[2703.06-2703.48] 所以它
[2703.48-2704.60] 它长度不长
[2704.60-2706.68] 那如果我做到这边之后
[2706.68-2708.24] 我这边放光引擎
[2708.24-2709.54] 我直接帮你转成光讯
[2709.54-2711.18] 它往海岸线拉
[2711.18-2713.10] 那海岸线外面这边
[2713.10-2714.16] 我就用标准的
[2714.16-2715.36] 比如说NTP的头
