[0.00-29.98] 谢谢大家
[1627.82-1629.82] 他想請問接下來幾季
[1629.82-1633.82] 跟剛剛問題類似,就是NVIDIA的HGX平台
[1633.82-1637.82] 會從Hover轉到Blackwell,就是B200
[1637.82-1640.82] 那再加上先前ZT的售出
[1640.82-1646.82] 不知道這部分對英爾達在美國CSP的AI Server的市佔率是不是有影響?
[1648.82-1651.82] 目前看起來是沒有太大的影響
[1651.82-1654.82] 因為我們其實以前來講,在美國來講
[1654.82-1657.82] 我們北美CSP來講是跟ZT合作嘛
[1657.82-1660.82] 英爾達在那個
[1660.82-1663.82] Evern到目前為止,我們大家都出板子
[1663.82-1666.82] 然後ZT出整個系統Information嘛
[1666.82-1669.82] 目前這一部分還是Ongoing在做就對了
[1669.82-1672.82] 那其實多一個Opportunity啦
[1672.82-1674.82] 目前來講,多一個Opportunity來講
[1674.82-1677.82] 我們可以直接跟美國CSP去合作嘛
[1677.82-1679.82] 因為ZT那已經不存在了
[1682.82-1685.82] 那我記得上一季有提到就是
[1685.82-1688.82] 這是我個人追問,就是ZT售出的部分
[1688.82-1693.82] 在General Server其實並沒有立即性的影響
[1693.82-1698.82] 那不知道說現在過了一段時間之後的現在
[1698.82-1700.82] 在General Server這邊的生意
[1700.82-1703.82] 有沒有因為ZT這個公司
[1703.82-1706.82] 出售了之後被開始影響
[1706.82-1708.82] 變比較明顯了
[1708.82-1710.82] 目前其實是沒有
[1710.82-1712.82] 目前來講,其實Ovo來講
[1712.82-1717.82] 因為ZT並沒有,他的客戶並沒有完全把他產品
[1717.82-1720.82] 應該講說搬到別的地方去
[1720.82-1723.82] 所以ZT還是持續在Operation
[1723.82-1725.82] 那我們還是持續供貨給他
[1725.82-1727.82] 所以這部分沒有影響
[1727.82-1730.82] 那也許將來採取的模式就是說
[1730.82-1733.82] 我們可能直接出給ZT,也有可能直接出給CSP
[1733.82-1735.82] 或其他的SI這樣子
[1735.82-1738.82] 因為畢竟產品已經開發在那一邊了嘛
[1740.82-1741.82] 好,很了解
[1741.82-1744.82] 那下一題是KGI的Angela想問的是
[1744.82-1747.82] 第二季的,今年第二季
[1747.82-1751.82] 伺服器的整機出貨的比重是不是會提高
[1751.82-1755.82] 那對於整個毛利率的趨勢會不會有壓力
[1755.82-1761.82] 那整年度的毛利率的趨勢方向又會是怎麼樣
[1765.82-1767.82] 比重是不是
[1767.82-1771.82] 對,伺服器整個RAC機櫃出貨的比重是不是會提高
[1771.82-1775.82] 比重來講,其實應該是有多
[1775.82-1777.82] Ovo來講還是會增加一點
[1777.82-1780.82] 那對毛利率的影響
[1780.82-1783.82] 其實毛利率影響其實Depends
[1783.82-1786.82] 毛利率影響來講,其實理論上來講
[1786.82-1791.82] 你整個出RAC來講,你的毛利率會往下降才對
[1791.82-1794.82] 但是其實有時候按照你認定的
[1794.82-1796.82] 那個會計準則不一樣
[1796.82-1800.82] 我們其實有一部分的RAC的出貨是
[1800.82-1803.82] 認列進額並沒有認列整個revenue
[1803.82-1806.82] 所以那一部分反而會讓毛利率提升
[1813.82-1817.82] 那整體來看,整體的毛利率來看
[1817.82-1821.82] 會不會因為這個整櫃比重增加
[1821.82-1824.82] 會被稀釋掉
[1824.82-1827.82] 我目前看起來是不會的
[1827.82-1831.82] 因為基本上來講,如果客戶是用consign的話
[1831.82-1833.82] 我們講說你有些東西consign來講
[1833.82-1835.82] 其實不太會影響到毛利率
[1835.82-1838.82] 因為貴重的東西已經不算在產品單價裡面
[1838.82-1840.82] 那有些客戶是Buy and Sale
[1840.82-1843.82] 但是Buy and Sale來講,如果他Buy and Sale比例變高的時候
[1843.82-1846.82] 我們認列revenue會把那部分扣除掉
[1846.82-1849.82] 所以那部分反而會讓毛利率增加
[1849.82-1852.82] 所以Ovo整體看起來來講
[1852.82-1854.82] 基本上我們預估當然是不會的
[1854.82-1856.82] 不太會改變
[1856.82-1858.82] 不會因為這個而改變
[1858.82-1860.82] OK,了解
[1860.82-1864.82] 那線上的法人問題也都問完了
[1864.82-1866.82] 那我這邊再問一下
[1866.82-1870.82] 剛剛報表裡面有提到
[1870.82-1873.82] 有看到似乎第一季的存貨
[1873.82-1879.82] 比去年第四季應該是有增加了一定的幅度
[1879.82-1882.82] 那可以請問一下是什麼原因呢
[1882.82-1885.82] 接下來第二季的話
[1885.82-1889.82] 我們存貨的部分,庫存的部分的趨勢是怎麼樣
[1889.82-1892.82] 會繼續再往上增嗎
[1895.82-1900.82] 庫存的部分我們是請業務單位主管
[1900.82-1903.82] 分別說明一下這個需求的
[1903.82-1907.82] 先從,因為不管筆電或者是伺服器
[1907.82-1909.82] 兩邊都是增加的
[1909.82-1912.82] 那筆電的需求應該是增加了一點點
[1912.82-1914.82] 還是來自未來的需求
[1914.82-1916.82] 來,這邊
[1916.82-1920.82] 蚌米這邊有
[1920.82-1922.82] 我這裡,蚌米
[1922.82-1924.82] 來回答一下你的問題
[1924.82-1927.82] 基本上就是以筆電來講
[1927.82-1930.82] 相對來講筆電今年的部分
[1930.82-1933.82] 因為相對的一些AI PC
[1933.82-1935.82] 還有一些我們的Gaming的PC
[1935.82-1938.82] 相對單價都比較高的出貨
[1938.82-1941.82] 那這部分多少都會影響到我們的
[1941.82-1945.82] 庫存的那個備料的那個部分
[1945.82-1949.82] 我這邊可能再補充一點
[1949.82-1951.82] 就是說其實庫存增加還有另外一個因素
[1951.82-1953.82] 就是我現在的戰艦拉長
[1953.82-1955.82] 就是我的location變多了
[1955.82-1956.82] 我比如說泰國廠
[1956.82-1959.82] 我的墨西哥廠來講去生產
[1959.82-1960.82] 那其實歐貨來講
[1960.82-1961.82] 初期來講那材料來講
[1961.82-1963.82] 還是要從亞洲這邊killing過去
[1963.82-1965.82] 所以這會造成你在海上飄的那些
[1965.82-1967.82] 都屬於英業大的庫存
[1967.82-1969.82] 這部分短暫時間會變長
[1969.82-1970.82] 那後面來講如果慢慢來講
[1970.82-1972.82] 那個量比較穩定的時候
[1972.82-1975.82] 場上dropship到每個regional size的時候
[1975.82-1978.82] 這庫存來講就會比較回歸正常
[1982.82-1986.82] 好的那下一個問題是來自CLSD的Johnny
[1986.82-1988.82] 那他想要問的是
[1988.82-1990.82] 可能跟這個庫存有關就是
[1990.82-1994.82] 有沒有看到有一些AI GPU的廠商
[1994.82-1996.82] 會想要塞貨
[1996.82-1998.82] 就是可能塞庫存在
[1998.82-2000.82] 在ODM在涅達這邊
[2000.82-2002.82] 的這個狀況
[2002.82-2005.82] 我們是沒有碰到
[2005.82-2006.82] 我們現在是目前沒有
[2006.82-2008.82] 我們Azure來講沒有碰到
[2008.82-2009.82] 塞貨的狀況下
[2009.82-2010.82] 因為我們在這部分
[2010.82-2011.82] Printing也蠻小心的
[2011.82-2012.82] 我們的客戶也蠻小心的
[2012.82-2014.82] 所以以目前為止
[2014.82-2017.82] 這個音樂達上面是沒有
[2022.82-2026.82] 那接下來我這邊想請問就是PC的部分
[2026.82-2030.82] 不知道公司對AI PC這個部分怎麼看
[2030.82-2033.82] 就是現在今年
[2033.82-2035.82] 因為去年算是剛開始
[2035.82-2037.82] 那今年已經邁入第二年
[2037.82-2040.82] 應該會有更多的機型問世
[2040.82-2043.82] 對AI PC會不會是
[2043.82-2044.82] 推的這個換機槽呢
[2044.82-2047.82] 或者是它整個滲透率
[2047.82-2049.82] 客戶市場的接受度
[2049.82-2051.82] 不知道公司你怎麼看
[2053.82-2056.82] 對其實AI PC其實是一個trend
[2056.82-2058.82] 慢慢的部分應該就是說
[2058.82-2060.82] 會越來越多的
[2060.82-2062.82] AI PC在市場上
[2062.82-2065.82] 那我們從客戶這邊的機型也可以看到
[2065.82-2068.82] 就是從傳統的百分比
[2068.82-2073.82] 慢慢慢慢都是往AI PC這邊來轉換
[2073.82-2075.82] 那去年常看開始
[2075.82-2077.82] 那我們今年看就是說
[2077.82-2081.82] 越來越多的AI PC會
[2081.82-2083.82] 步到這個市場上
[2083.82-2084.82] 我想這個是趨勢
[2084.82-2086.82] 會越來越多
[2089.82-2090.82] 那
[2090.82-2091.82] 換機槽這個部分
[2091.82-2093.82] 不知道公司怎麼看呢
[2096.82-2097.82] 換機槽的話
[2097.82-2102.82] 我認為換機槽應該可能要推到明年
[2102.82-2104.82] 明年才會開始
[2104.82-2105.82] 明年的話
[2105.82-2106.82] 因為所謂的換機槽
[2106.82-2108.82] 基本上是要等到那個時候
[2108.82-2109.82] Win 10
[2109.82-2111.82] 你的Port要有Liver上來
[2111.82-2112.82] 基本上還是
[2112.82-2114.82] 除非你會選新的量化
[2114.82-2115.82] 客戶這邊
[2115.82-2116.82] 他基本上
[2116.82-2119.82] 除非你是完全沒買過的
[2120.82-2122.82] 他有
[2124.82-2126.82] 等一下被Mute
[2131.82-2135.82] 剛剛有一個人可能忘了關他的Mute
[2135.82-2137.82] 所以
[2137.82-2139.82] 可以繼續還是說已經回答完了
[2139.82-2141.82] 不好意思
[2141.82-2143.82] 再講一遍
[2143.82-2144.82] 已經回答完了
[2144.82-2146.82] OK
[2146.82-2148.82] 好的
[2150.82-2153.82] 那你再講一遍
[2153.82-2156.82] 還是不用再不用講了
[2156.82-2157.82] 應該不用
[2157.82-2160.82] 應該剛剛幾乎已經講完了
[2160.82-2162.82] 然後才被影響
[2162.82-2167.82] 那下一個問題是來自UBS的Timson Lee
[2167.82-2169.82] 他想要問的是
[2169.82-2171.82] 現在HGX的產品
[2171.82-2174.82] 是不是有Supply constraint的問題
[2174.82-2179.82] 我沒有CPU賣了
[2179.82-2181.82] CPU賣了
[2181.82-2183.82] GPUGPU賣了
[2183.82-2184.82] 目前是
[2184.82-2185.82] 對呀
[2185.82-2187.82] 目前很缺
[2187.82-2190.82] 那我再追問一下
[2190.82-2192.82] 那公司是怎麼看
[2192.82-2194.82] 第二季是不是有比較緩解呢
[2194.82-2196.82] 或者是說
[2196.82-2201.82] GPU那一邊的願意Olocate
[2201.82-2204.82] 比較多給這個HGX的產品
[2204.82-2206.82] 還是說如果第二季也還沒有
[2206.82-2208.82] 是不是第三季會有
[2208.82-2212.82] 就是公司有沒有看到這個方向
[2212.82-2215.82] 其實一直以來HGX都很好賣
[2215.82-2217.82] 現在要講說它沒有Supply constraint
[2217.82-2220.82] 也很難去描述
[2220.82-2225.82] 只是說目前看起來都還蠻旺的
[2225.82-2228.82] 這是指包括H跟B都一樣
[2228.82-2230.82] Hopper跟Blackwell都一樣
[2230.82-2234.82] 對
[2234.82-2235.82] 我基本上來講應該是
[2235.82-2238.82] 我們的客戶會幫忙去Niigo這個location
[2238.82-2257.82] 我們也不會再改成
[2257.82-2258.82] 希望我們就是那一幫人
[2258.82-2260.82] 就是那一個優先
[2260.82-2262.82] 已經可能先做這個
[2262.82-2263.82] 所以 오늘就跟各位那位
[2263.82-2266.82] 神繁聰的觀眾塊 desafi
[2266.82-2267.82] 和就這麼 1942ists
[2267.82-2268.82] 那麼kie
[2268.82-2273.82] 應該是沒有辦法
[2273.82-2277.82] 應該是level11啦
[2277.82-2281.82] 應該是LongToon應該是
[2281.82-2285.82] 現在也跟Bee也在
[2285.82-2289.82] 在BOOST當中,但是短期來講應該是11
[2289.82-2293.82] 11
[2293.82-2298.82] 好,那下一個問題是來自第一金頭庫的
[2298.82-2302.82] 威豪,他想要確認剛剛管理層有提到ZT出售給AMD
[2302.82-2306.82] 之後,配額模式目前也沒有改變
[2306.82-2310.82] 那所以未來AMD也會接受ZT繼續生產
[2310.82-2314.82] NV伺服器相關的產品嗎
[2314.82-2318.82] 還是說管理層提到的不變的合作方式是包括
[2318.82-2320.82] NV的產品
[2320.82-2323.82] 應該不變是不含NV的產品
[2323.82-2327.82] 我們想說應該從AMD買下ZT那一刻開始的話
[2327.82-2329.82] 他就屬於AMD嘛
[2329.82-2334.82] 所以那時候開始NV的產品就沒有在ZT的工廠裡面做了
[2334.82-2337.82] 那現在來講有沒有可能會這樣做
[2337.82-2341.82] 有可能當AMD把ZT的智障賣出去的時候
[2341.82-2347.82] 那時候的ZT來講就可以再跟NV去engage
[2347.82-2348.82] 我們認為是這樣子
[2348.82-2351.82] 但目前這個階段來講是沒有NV的產品
[2353.82-2355.82] 好的了解
[2355.82-2358.82] 那現在線上反而都沒有什麼問題的話
[2358.82-2360.82] 那我這邊最後再問兩個問題
[2360.82-2364.82] 第一個是想問一下英華達的何董事長
[2364.82-2367.82] 就是關於這個智慧裝置的生意
[2367.82-2370.82] 接下來的展望大概是怎麼看
[2370.82-2376.82] 尤其關稅的部分可能對於這個智慧裝置
[2376.82-2379.82] 可能影響的會更大
[2379.82-2382.82] 大家好
[2383.82-2387.82] 這一次那個關稅其實
[2387.82-2394.82] 其實那個關稅有含三個
[2394.82-2397.82] 那個對等關稅
[2397.82-2400.82] 對等關稅跟懲罰性關稅
[2400.82-2403.82] 那其實還有一個基礎就是一般關稅
[2403.82-2407.82] 一般關稅是從2017年18年開始
[2407.82-2410.82] 所以呢對我們那個智慧型裝置來講
[2410.82-2412.82] 其實從18年
[2412.82-2414.82] 川普第一代1.0的時候
[2414.82-2417.82] 我們就是就面臨了這個問題
[2417.82-2420.82] 所以我們到馬來西亞跟
[2420.82-2423.82] 那個馬來西亞跟越南先後來
[2423.82-2425.82] 所以這一次在整個關稅裡面
[2425.82-2428.82] 其實我們該避開的都已經避開了
[2428.82-2429.82] 避開了就避開了
[2429.82-2432.82] 所以主要的我們越南廠跟馬來西亞廠
[2432.82-2435.82] 已經能夠承接這個
[2435.82-2437.82] 因為對中國關稅的影響
[2437.82-2440.82] 那事實上越南跟馬來西亞的那個關稅
[2440.82-2444.82] 現在目前是屬於那個
[2444.82-2446.82] 那個過敏期嘛
[2446.82-2449.82] 所以我們在這三個月裡面努力出貨
[2449.82-2451.82] 那個滿足顧客的需要
[2451.82-2455.82] 所以這一點對我們的那個衝擊來講的話
[2455.82-2458.82] 其實我們最難過的時間也過去了
[2458.82-2460.82] 這是這一點
[2460.82-2465.82] 那這幾年因為整個AI的時代的來臨
[2465.82-2467.82] 對我們智慧型裝置來講
[2467.82-2468.82] 尤其是AI沒落地
[2468.82-2469.82] 對我們有信心的來臨來講
[2470.82-2472.82] 智慧型裝置的話
[2472.82-2476.82] 它可以說整個產業裡面乏善可曾
[2476.82-2480.82] 但是目前看起來很多的
[2480.82-2482.82] 不見得落地
[2482.82-2484.82] 舉個例子包括機器人
[2484.82-2487.82] 機器人或者是那個電動車
[2487.82-2488.82] 這個的商機啊
[2488.82-2491.82] 我們目前也積極的努力去承接
[2491.82-2493.82] 所以我未來相信
[2493.82-2498.82] 經由如果說整個關稅站告一段落了以後
[2498.82-2500.82] 那麼整個AI的落地
[2500.82-2502.82] 我們相信英華達應該有一個不錯的
[2502.82-2504.82] 未來有不錯的成績
[2504.82-2505.82] 謝謝
[2507.82-2509.82] 謝謝何董長的回答
[2509.82-2510.82] 那我這邊最後一個問題就是
[2510.82-2514.82] 我們也知道英業達在車用產品的部分
[2514.82-2516.82] 也投入了一段時間
[2516.82-2520.82] 那不知道現在這個車用產品這個Business
[2520.82-2523.82] 目前的狀況進展是怎麼樣的
[2523.82-2526.82] 目前其實車用產品的進展來講
[2526.82-2528.82] 今年跟去年比起來來講
[2528.82-2530.82] 其實還是成長而且大幅成長了
[2530.82-2533.82] 以營收來講至少三倍以上的成長
[2533.82-2537.82] 那這主要主要是因為車用產品的Ramp up的速度來講
[2537.82-2539.82] 一般都要需要久一點時間
[2539.82-2542.82] 所以之前在去年或前年之前已經Cooking
[2542.82-2544.82] Cooking的一些產品來講
[2544.82-2547.82] 目前在今年來講會大量放量
[2547.82-2549.82] 當然應該可能下半年會比上半年多
[2549.82-2552.82] 不過整體來講是今年會比去年好很多
[2552.82-2555.82] 那明年我們預估明年來講還是往上
[2555.82-2558.82] 因為畢竟來講整個產品放量的結果來講是
[2558.82-2560.82] 看起來會是不錯的
[2560.82-2561.82] 只是說車用產品來講
[2561.82-2564.82] 歐貨來講營收來講是持續在成長
[2564.82-2567.82] 那至於那個Profit部分來講我們還要繼續努力
[2567.82-2570.82] 因為畢竟來講它要達到一定的Scale之後
[2570.82-2574.82] 那就可能會轉正的速度都會比較快一點
[2576.82-2579.82] 好的謝謝總經理的回答
[2579.82-2583.82] 那目前看起來時間也差不多了
[2583.82-2586.82] 那大家有沒有再進一步的問題
[2586.82-2588.82] 那今天的會議非常成功
[2588.82-2589.82] 那我們就謝謝
[2590.82-2592.82] 管理層今天的時間
[2592.82-2595.82] 以及各位投資先進朋友的參加
[2595.82-2597.82] 那我們期待下一次的見面
[2597.82-2599.82] 謝謝大家
[2599.82-2601.82] 謝謝
[2601.82-2603.82] 感謝
[2620.82-2650.82] 
[2650.82-2680.82] 
[2680.82-2682.88] 
