[0.00-3.72] 欢迎大家参加亚洲光学股份有限公司
[2182.00-2183.40] 这个营收组
[2183.40-2185.04] 再跟各位简单的报告一下
[2185.04-2187.04] 那么在光学研建方面
[2187.04-2188.82] 也占了差不多49个百分比
[2188.82-2190.98] 第四季也是差不多的一个水平
[2190.98-2192.26] 再来就是这个
[2192.26-2197.80] 数码相机的部分占了差不多13.1.6左右
[2197.80-2199.92] 所以说基本上我就取整数
[2199.92-2201.96] 差不多占了13个百分比左右
[2201.96-2204.42] 那么再来就是这个瞄准器的部分
[2204.42-2206.46] 基本上也是占了5个百分比
[2206.46-2209.18] 那在CIS占了差不多19个百分比
[2209.18-2213.40] 那再来其他的光学零组件的部分
[2213.40-2215.02] 占了差不多12个百分比
[2215.04-2216.84] 以及其他的
[2216.84-2218.66] 比如说是雷射测距的部分
[2218.66-2220.36] 占了差不多2个百分比
[2220.36-2222.40] 那大概的状况是这样子的
[2222.40-2224.30] 全年跟第四季差异不大
[2224.30-2225.28] OK 谢谢
[2225.28-2226.62] OK 好
[2226.62-2227.72] 接下来
[2227.72-2231.40] 请问今年有什么爆发性成长的产品吗
[2231.40-2232.86] 刚才有报告过
[2232.86-2236.26] 大概比较爆发性的就是数位相机
[2236.26-2239.44] 从去年136万增加到
[2239.44-2242.14] 目前今年可以做到200万台以上
[2242.14-2243.56] 另外一个是
[2243.56-2245.02] 无人机跟这个
[2245.04-2246.84] 运动相机用的镜头
[2246.84-2248.06] 应该可以成长
[2248.06-2249.96] 最早两倍的成长
[2249.96-2253.94] 那这两个是最大的成长的动能
[2253.94-2254.28] 好不好
[2254.28-2256.84] 再来
[2257.44-2260.22] 请问机械人
[2260.22-2261.26] 这个是发展空间
[2261.26-2261.92] 有空间
[2261.92-2264.02] 对 目前都在试做中
[2264.02-2266.46] 第一个还有GESTO
[2266.46-2269.44] 能分析机械人的事业吗
[2269.44-2270.90] 这个就是刚刚报告
[2270.90-2274.20] 目前包括日本 美国 欧洲
[2274.20-2275.00] 都有在试做
[2275.04-2277.08] 但是都还没有大量的生产
[2277.08-2278.28] 好
[2278.28-2279.90] 我们先整理一下问题
[2279.90-2281.44] 请大家先不要离开
[2305.04-2309.04] 请跟所有 Ministries 增加冘上措
[2309.04-2310.00] 看看anın
[2310.00-2310.70] 来了
[2310.70-2311.74] 真的
[2311.74-2312.74] 我我
[2312.74-2312.82] 我们已经是
[2312.82-2313.82] 你可以
[2313.82-2314.76] 离开
[2314.76-2314.94] 我
[2314.94-2315.28] 我
[2315.28-2315.74] lama
[2315.74-2316.10] 那个
[2316.10-2316.70] 你
[2316.70-2316.84] 我
[2316.84-2317.50] 你
[2317.50-2317.80] 你在
[2317.80-2318.38] 顶
[2318.38-2319.42] 我们
[2319.42-2320.58] 其实
[2320.58-2321.04] 我们
[2321.04-2321.52] 朝
[2321.52-2321.76] 发
[2321.76-2322.38] strengthening
[2322.38-2323.22] 新的
[2323.22-2323.42] 请
[2323.42-2325.30] 变成
[2325.30-2326.42] 羽的
[2326.42-2327.16] 任务
[2327.16-2327.34] 铭
[2327.34-2328.24] яться
[2328.24-2328.60] 能
[2328.60-2328.92] 在
[2328.92-2329.76] 現场
[2329.76-2330.08] 变成
[2330.08-2331.14] 成动
[2331.14-2331.44] 农
[2331.44-2332.08] 生
[2332.08-2332.18] settling
[2332.18-2332.68] 之
[2332.68-2332.90] L
[2332.90-2333.08] a
[2333.20-2333.56] ac
[2333.56-2334.16] 动
[2334.16-2334.72] 立
[2334.72-2334.98] testing
[2334.98-2335.98] 響鐘
[2364.98-2365.98] 響鐘
[2394.98-2395.98] 響鐘
[2413.98-2416.98] 好,接下來張漢吉小姐問的
[2416.98-2421.98] 請問如果看在2025年營運各產品線的展望
[2421.98-2423.98] 那麼剛才講的就是說比較有
[2423.98-2424.98] 比較有
[2424.98-2426.98] 重大的就是數位相機
[2426.98-2429.98] 運動相機跟那個無人機的鏡頭
[2429.98-2431.98] 瞄準器
[2431.98-2433.98] 還有零晶方面
[2433.98-2435.98] 大概就是這個幾個展望比較成長的
[2435.98-2437.98] 所以應該會
[2437.98-2441.98] 應該2025年應該對2024年講的
[2441.98-2443.98] 也會積極的成長
[2443.98-2444.98] 今年營收
[2444.98-2445.98] 再來
[2445.98-2447.98] 今年營收以毛利的意義
[2447.98-2451.98] 這已經剛才大概已經說明過了
[2451.98-2452.98] 毛利的
[2452.98-2453.98] 再來
[2453.98-2456.98] 以零晶的毛利優於工資的平均嗎
[2456.98-2458.98] 因為零晶的這個本身
[2458.98-2460.98] 它的材料比較便宜
[2460.98-2462.98] 所以它的附加價值是比較高的
[2462.98-2466.98] 這個是能夠這樣跟各位說明
[2466.98-2468.98] 零晶的材料是便宜的
[2468.98-2471.98] 但是它加工的附加價值比較高
[2471.98-2472.98] 再來
[2472.98-2473.98] 王先生
[2473.98-2474.98] 王穎先生
[2474.98-2475.98] 兆豐投資
[2475.98-2480.98] 是否可以分享2025年整年度數位相機體生產進度
[2480.98-2482.98] 年對年成長率毛利率會如何增長呢
[2482.98-2484.98] 毛利率會如何變化
[2484.98-2487.98] 數位相機與車載進度分別在工資比例
[2487.98-2490.98] 2025年剛才我們吳董事報告過
[2490.98-2491.98] 2024年
[2491.98-2493.98] 2025年成長比較大
[2493.98-2497.98] 我認為這個車載進度應該是為此一樣
[2497.98-2498.98] 那成長比較大
[2498.98-2500.98] 數位相機剛才講
[2500.98-2501.98] 剛報告過
[2501.98-2506.98] 由136萬成長到200萬
[2506.98-2508.98] 這個200萬台
[2508.98-2509.98] 這是
[2509.98-2512.98] 這個車載是應該是為此去年的數量
[2512.98-2514.98] 2025年成長最主要是數位相機
[2514.98-2516.98] 你講的這兩項裡面
[2516.98-2518.98] 數位相機是成長比較大的
[2518.98-2520.98] 接下來
[2520.98-2522.98] 王先生
[2522.98-2525.98] 請問是否看好今年的成長
[2525.98-2526.98] 當然是看好
[2526.98-2528.98] 目前以目前接收
[2528.98-2531.98] 接到的這個目的單或是說
[2531.98-2532.98] Forecast
[2532.98-2534.98] 來外面最有保護
[2534.98-2536.98] 剛剛講數位相機
[2536.98-2537.98] 那幾個
[2537.98-2538.98] 還有車載
[2538.98-2540.98] 那個
[2540.98-2541.98] 無人機
[2541.98-2542.98] 電動車載
[2542.98-2545.98] 跟運動相機的這個鏡頭也是很大的這個成長
[2545.98-2546.98] 再來
[2546.98-2548.98] Metalance的出貨狀況
[2548.98-2550.98] Metalance現在目前在送樣子中
[2550.98-2552.98] 剛剛完成了樣品
[2552.98-2555.98] 所以一兩個月會送樣子中
[2555.98-2558.98] 來給客戶來認證
[2558.98-2559.98] 再來
[2559.98-2563.98] 目前看到A公司折疊手機Metalance開了嗎
[2563.98-2566.98] 這個目前還沒有用到
[2566.98-2568.98] 當然目前有沒有用到Metalance
[2568.98-2569.98] 有機會啦
[2569.98-2571.98] 但是目前還沒有看到
[2571.98-2573.98] 那這次的公司的產品
[2573.98-2575.98] 人口將公司的產品毛利是排序
[2575.98-2576.98] 哪些產品
[2576.98-2578.98] 這個大概平基本五種
[2578.98-2579.98] 五種是哪個
[2579.98-2582.98] 我們沒有公布個別產品的這個毛利
[2582.98-2585.98] 然後我相信每一家公司都絕對不會公布的
[2585.98-2590.98] 但是平均的毛利率差不多是落在這個19%左右
[2590.98-2591.98] OK好
[2591.98-2592.98] 結束後
[2592.98-2593.98] 然後你可以看重播
[2593.98-2599.98] 法說會的錄音檔會在會議結束兩個小時後放在公司網站上
[2599.98-2600.98] 投資人可以至公司網站.com.au
[2600.98-2602.98] 公司網站點選網路重播服務
[2602.98-2603.98] 謝謝
[2603.98-2604.98] OK
[2604.98-2606.98] 威廉王先生
[2606.98-2609.98] 請問公司在人體今天有接到客戶電話
[2609.98-2610.98] 或者在送客戶
[2610.98-2613.98] 當然有在送客戶送的認證之中
[2613.98-2617.98] 趙鋒王銀應該是先生吧
[2617.98-2621.98] 是否可以分享各產品別大概的毛利率
[2621.98-2622.98] 剛才講過
[2622.98-2623.98] 分享各產品毛利率的排序
[2623.98-2624.98] 這講過了
[2624.98-2627.98] 大概平均的百分之十九
[2627.98-2629.98] 張漢琦小姐
[2629.98-2630.98] 請問
[2630.98-2633.98] 2024年的產品比重
[2633.98-2635.98] 今年車用機能會再提升嗎
[2635.98-2637.98] 今年車用機能應該跟去年一樣
[2637.98-2639.98] 沒有什麼很大的提升
[2639.98-2641.98] 接下來是
[2641.98-2647.98] DELUXE的請問機械人視覺鏡頭規格
[2647.98-2651.98] 為何主要是Platform沒有用Galaxy設計考量嗎
[2651.98-2655.98] 因為這個大部分就是很近距離的
[2655.98-2657.98] 可以用Platform
[2657.98-2659.98] 因為它也不是說要
[2659.98-2662.98] 像車載鏡頭裡面有高溫低溫的問題
[2662.98-2666.98] 所以基本上都是用Platform來做的
[2666.98-2668.98] 接下來
[2668.98-2669.98] Gas Talk
[2669.98-2671.98] 今年展望樂觀有什麼潛在力度
[2671.98-2673.98] 剛才講包括過了
[2673.98-2674.98] 樂觀
[2674.98-2676.98] 可以說目前狀況是樂觀
[2676.98-2677.98] 請問
[2677.98-2678.98] 接下來
[2678.98-2680.98] 陳朝漢先生
[2680.98-2682.98] 請問Meta Lens的進展如何
[2682.98-2684.98] 以及我們在這一塊的技術優勢
[2684.98-2686.98] 鴨舌鳳姐跟以前包括過
[2686.98-2687.98] 跟那個
[2687.98-2688.98] 麻雀
[2688.98-2690.98] 麻州大學
[2690.98-2694.98] 他們SpinOut一個叫做Milas的公司合作
[2694.98-2696.98] 用的是NIL
[2696.98-2698.98] NIL的方式就是
[2698.98-2699.98] 奈米印刷的方式
[2699.98-2702.98] 這種是針對大量生產
[2702.98-2704.98] 價格要便宜的方式
[2704.98-2706.98] 可以就是剛才講
[2706.98-2707.98] Waveguide
[2707.98-2709.98] 或是說Fast Detection
[2709.98-2712.98] 這都是一個很好的
[2712.98-2715.98] 技術跟以及成本的優勢
[2715.98-2716.98] 接下來王先生
[2716.98-2718.98] 今年會有什麼重點呢
[2718.98-2719.98] 會有什麼重大突破嗎
[2719.98-2720.98] 剛才講
[2720.98-2722.98] 突破了幾個重點
[2722.98-2723.98] 說明過了
[2723.98-2724.98] 我就不再重複
[2724.98-2725.98] 再來
[2725.98-2728.98] 今年的產品比賽有什麼變化嗎
[2728.98-2730.98] 說明過了
[2730.98-2731.98] 產品
[2731.98-2733.98] 您說戰品有這個一樣
[2733.98-2735.98] 再來
[2735.98-2738.98] Meta Lens產品進度以及後續的轉化
[2738.98-2739.98] 目前Meta Lens
[2739.98-2742.98] Fast Detection已經可以進到
[2742.98-2746.98] 這個樣品的完成的階段
[2746.98-2747.98] 這一兩個月
[2747.98-2749.98] 我們就要再次
[2749.98-2751.98] 再次的確認樣品的性能
[2751.98-2753.98] 接下來
[2753.98-2754.98] Elisa
[2754.98-2756.98] Elisa就是陳小姐
[2756.98-2757.98] 今年已經說
[2757.98-2758.98] 可望時間長
[2758.98-2759.98] 足距成長
[2759.98-2760.98] 每一年都是一樣
[2760.98-2762.98] 第三季會最好
[2762.98-2764.98] 然後第四季會稍微下來一點
[2764.98-2766.98] 第一季因為有台灣過年
[2766.98-2769.98] 我們中午過年的關係
[2769.98-2771.98] 所以說大概每一年的這個變化
[2771.98-2772.98] 每一季的變化
[2772.98-2773.98] 就是主流
[2773.98-2776.98] 大概不會有什麼大的變化
[2776.98-2777.98] 現在
[2777.98-2778.98] 陳
[2778.98-2779.98] Elisa
[2779.98-2780.98] 陳小姐
[2780.98-2781.98] 請問有沒有
[2781.98-2784.98] 出貨工業機械人案子
[2784.98-2786.98] 出貨工業機械人案子
[2786.98-2787.98] 是我AV
[2787.98-2788.98] AV
[2788.98-2790.98] 左車案子
[2790.98-2791.98] AGV
[2791.98-2792.98] 我就不是
[2792.98-2793.98] AGV
[2793.98-2796.98] 是左車案子
[2796.98-2799.98] 亞東姐是有做那個
[2799.98-2802.98] 自動
[2802.98-2803.98] 就是說
[2803.98-2805.98] 像那個我們自動送
[2805.98-2807.98] 送餐的那個下面那個部分的
[2807.98-2808.98] 那個機械人
[2808.98-2810.98] 這個已經在台灣也好
[2810.98-2811.98] 日本的都有在
[2811.98-2812.98] 市場都有在用
[2812.98-2814.98] 但是量還是不是很大
[2814.98-2816.98] 再來接下來王先生
[2816.98-2818.98] 請問蘋果的鏡頭合作
[2818.98-2819.98] 是用什麼產品
[2819.98-2820.98] 信息供應機
[2820.98-2822.98] 這一點我就保密一下
[2822.98-2824.98] 這個就不在這邊說明
[2824.98-2826.98] 許申州先生
[2826.98-2828.98] 紅證投資
[2828.98-2830.98] 請問跟LG合作
[2830.98-2832.98] 我們是他唯一的供應商嗎
[2832.98-2834.98] 在某一界方面
[2834.98-2836.98] 我們是跟大家一起合作
[2836.98-2837.98] 是唯一的供應商的
[2837.98-2839.98] 在某一些項目的方面
[2839.98-2841.98] 因為LG的產品是很多的
[2841.98-2842.98] LG IT
[2842.98-2844.98] 亞東姐跟他合作並不是LG
[2844.98-2845.98] 因為LG也是很大
[2845.98-2847.98] 他有LG公司
[2847.98-2848.98] 有LG IT
[2848.98-2849.98] 我們跟他合作
[2849.98-2851.98] 我們過去公佈了
[2851.98-2853.98] 在光學方面的基本上
[2853.98-2855.98] 都是唯一的供應商
[2855.98-2857.98] 再來鄭先生
[2857.98-2858.98] 鄭小姐
[2858.98-2859.98] 鄭小姐
[2859.98-2861.98] 蔡康投資
[2861.98-2863.98] 請問會出特斯拉的MOTO Q
[2863.98-2865.98] 基本上
[2865.98-2867.98] 我所了解
[2867.98-2868.98] 特斯拉的
[2868.98-2871.98] 不管是MOTO Y
[2871.98-2873.98] MOTO 3
[2873.98-2874.98] MOTO S
[2874.98-2875.98] MOTO X
[2875.98-2877.98] 再來MOTO Q是便宜的
[2877.98-2878.98] 基本上它用的
[2878.98-2880.98] FSD它都是用一樣的鏡頭
[2880.98-2882.98] 因為它70度是一樣的
[2882.98-2884.98] 它為了要共用
[2884.98-2885.98] 共用旗艦
[2885.98-2887.98] 不會讓它用軟體
[2887.98-2888.98] 所以基本上
[2888.98-2890.98] 不管你是MOTO幾
[2890.98-2891.98] 基本上都
[2891.98-2892.98] 只要有FSD
[2892.98-2895.98] 自動除非說它把FSD拿掉
[2895.98-2898.98] 我想特斯拉不會把FSD拿掉
[2898.98-2899.98] FSD基本上
[2899.98-2901.98] 不管你什麼機種
[2901.98-2903.98] 目前都是一樣的
[2903.98-2905.98] 陳小姐
[2905.98-2906.98] 嚴大
[2906.98-2908.98] 是我AR VR安全科科務
[2908.98-2910.98] AR 38過
[2910.98-2911.98] 一年半以前
[2911.98-2912.98] 快兩年了吧
[2912.98-2915.98] 所以一直在做AR的這個鏡頭
[2915.98-2917.98] 大概30年前就開始
[2917.98-2920.98] 做這種AR的這個Wave Live
[2920.98-2922.98] 那這個Wave Live
[2922.98-2923.98] 就是小量
[2923.98-2924.98] 但是我們有同學用
[2924.98-2925.98] 現在不是想提案
[2925.98-2926.98] 用Meta Lens
[2926.98-2928.98] 用這種性能又好
[2928.98-2930.98] 效率又高
[2930.98-2932.98] 又便宜的方式
[2932.98-2935.98] 做AR的Wave Live
[2935.98-2936.98] 再來
[2936.98-2942.98] 劉先生吧
[2942.98-2944.98] 2020年
[2944.98-2947.98] 利息收入達4億以上
[2947.98-2948.98] 大幅增加
[2948.98-2950.98] 請問2020會維持嗎
[2950.98-2951.98] 基本上
[2951.98-2953.98] 今年的利息收入
[2953.98-2954.98] 超過4億
[2954.98-2955.98] 最主要是這個會的
[2955.98-2957.98] 不斷的升級的一個原因
[2957.98-2959.98] 那我們都知道這個會的
[2959.98-2961.98] 基本上現在還在觀望
[2961.98-2963.98] 也就是說是不是會降息
[2963.98-2964.98] 會降多少
[2964.98-2965.98] 還不知道
[2965.98-2966.98] 那麼基本上
[2966.98-2969.98] 應該頂多4億左右的一個水平
[2969.98-2971.98] 好
[2971.98-2972.98] 接下來的問題是
[2972.98-2973.98] 王先生
[2973.98-2976.98] 請問今年車用訂單排到何時
[2976.98-2978.98] 剛才講一般客戶
[2978.98-2981.98] 下訂單是下到第二天
[2981.98-2983.98] 那第三季第四季
[2983.98-2985.98] 都是屬於一種
[2985.98-2987.98] 就是這個
[2987.98-2988.98] 預估而已
[2988.98-2989.98] 但是
[2989.98-2991.98] 6月之前都是確定的
[2991.98-2992.98] 機械人進走進到排到何時
[2992.98-2993.98] 這才在中央
[2993.98-2995.98] 大力光是會是我們
[2995.98-2997.98] 這個我不知道他們有沒有做
[2997.98-2998.98] 我不知道
[2998.98-3001.98] 但是大力光應該也會來做吧
[3001.98-3002.98] 再來
[3002.98-3004.98] 沈小姐
[3004.98-3005.98] 請問2020
[3005.98-3006.98] 2025年的
[3006.98-3007.98] 車救金額
[3007.98-3008.98] 金額
[3008.98-3010.98] 2020的車救呢
[3010.98-3012.98] 差不多是在7.2億左右
[3012.98-3014.98] 那麼2025年基本上會
[3014.98-3016.98] 稍微這個提升一點
[3016.98-3018.98] 如同剛剛跟各位所報告的
[3018.98-3020.98] 今年的KF-X有這個20億左右
[3020.98-3022.98] 以及所以就是要看這個
[3022.98-3025.98] 購買這個設備的一個時程進度
[3025.98-3027.98] 謝謝
[3027.98-3030.98] 接下來這位陳
[3030.98-3032.98] 這位先生嘛
[3032.98-3034.98] 請問
[3034.98-3037.98] 手機用臨近都是用GAS嗎
[3037.98-3039.98] 未來會有P嗎
[3039.98-3042.98] 只要用在手機的臨近的話
[3042.98-3043.98] 很困難
[3043.98-3046.98] 因為它所要求的表面的變靜度呢
[3046.98-3048.98] 就是算
[3048.98-3050.98] Lambda
[3050.98-3052.98] 比那個Mu還要嚴格的
[3052.98-3054.98] Lambda的這個計算的
[3054.98-3055.98] 所以
[3055.98-3057.98] 基本上用在手機的鏡頭
[3057.98-3058.98] 說
[3058.98-3060.98] 你不太有機會用到P啦
[3060.98-3061.98] P的話
[3061.98-3063.98] 因為它
[3063.98-3065.98] 成型之出來以後
[3065.98-3066.98] 它受溫度呢
[3066.98-3067.98] 才會變化的
[3067.98-3068.98] 所以它變靜度就跑掉了
[3068.98-3070.98] 跑到不是Lambda
[3070.98-3072.98] 就變成幾明幾明的變化
[3072.98-3075.98] 那個手機的臨近是用不了的
[3075.98-3076.98] 好不好
[3076.98-3078.98] 這一點是進步的嘗試
[3078.98-3081.98] 然後今年的費用率大概落在什麼範圍
[3081.98-3083.98] 這吳董事回答一下吧
[3083.98-3086.98] 2024年的費用率差不多是在11%
[3086.98-3087.98] 那麼2025年呢
[3087.98-3089.98] 基本上看營收成長的一個狀況
[3089.98-3092.98] 所以我想基本上也是會落在這個
[3092.98-3095.98] 10.5%到11%左右
[3095.98-3096.98] 好
[3096.98-3097.98] 接下來
[3097.98-3100.98] 台中影音證券吳先生
[3100.98-3107.98] 方便詢問無輪機終端客戶區域的比重嗎
[3107.98-3110.98] 以及加貨出貨地區在哪個場區
[3110.98-3111.98] 目前
[3111.98-3114.98] 亞洲風險的無輪機
[3114.98-3116.98] 生產的鏡頭
[3116.98-3118.98] 大家知道是免費生產鏡頭
[3118.98-3119.98] 主力
[3119.98-3121.98] 然後主力是在中國那邊
[3121.98-3122.98] 中國那邊來做主力
[3122.98-3124.98] 自動主力機來主力的
[3124.98-3126.98] 這個是比重
[3126.98-3127.98] 去年呢
[3127.98-3129.98] 比重無輪機大概是佔9%
[3129.98-3131.98] 今年應該會成長一倍吧
[3131.98-3134.98] 大概可以到15% 16%左右
[3134.98-3136.98] 接下來
[3136.98-3137.98] 陳明漢先生
[3137.98-3140.98] 請問自駕車的鏡頭規格
[3140.98-3145.98] 是否相對一般的EV更為高階EV
[3145.98-3149.98] 自駕車的鏡頭規格是否相對EV
[3149.98-3153.98] 這個講起來一般自駕車的要求
[3153.98-3156.98] 它的規格會嚴格一點
[3156.98-3158.98] 而且它畫素會高
[3158.98-3160.98] 那你看一般的EV
[3160.98-3162.98] 就是各家使用不一樣
[3162.98-3164.98] 我所了解在大陸有一家叫
[3164.98-3168.98] 量大的那個
[3168.98-3169.98] 比亞機吧
[3169.98-3171.98] 它所用的鏡頭就很便宜
[3171.98-3173.98] 甚至於它的玻璃
[3173.98-3175.98] 並不是完全用玻璃的
[3175.98-3178.98] 所以說這是各家所要求的規格不一樣
[3178.98-3181.98] 目前亞洲風險基本做的都是全玻的
[3181.98-3183.98] 而且有加上灰球面的
[3183.98-3185.98] 就是耐高溫
[3185.98-3187.98] 跟耐低溫的
[3187.98-3189.98] 就是各家要求不一樣
[3189.98-3192.98] 所以是有所不同
[3192.98-3194.98] 目前亞洲風險是做比較高階的
[3194.98-3195.98] 再來
[3195.98-3198.98] 統一投信廖先生
[3198.98-3201.98] 請問目前人體機器人中央的鏡頭玻璃
[3201.98-3205.98] 還是目前是塑膠的
[3205.98-3208.98] 因為那個塑膠的
[3208.98-3209.98] 有一些客人
[3209.98-3211.98] 但是有一些它是這樣
[3211.98-3213.98] 有一些它要提高適量
[3213.98-3215.98] 甚至有一些用很少一片
[3215.98-3217.98] 最多是用一片的玻璃而已
[3217.98-3218.98] 微球片的
[3218.98-3221.98] 基本上都是塑膠來製成的
[3221.98-3224.98] 再來郭立委先生
[3224.98-3225.98] 想聽一步了解
[3225.98-3227.98] 2026年明年
[3227.98-3229.98] 推用鏡頭往820用途
[3229.98-3231.98] 可能性很大
[3231.98-3233.98] 目前在製作基本上都是
[3233.98-3235.98] 不是800就是1200萬收費的
[3235.98-3237.98] 主要哪一個區域
[3237.98-3238.98] 主要歐洲的
[3238.98-3239.98] 歐洲的還比較快
[3239.98-3241.98] 還有一個就是日本的區域
[3241.98-3243.98] GMP會比一般的鏡頭更好
[3243.98-3244.98] 那當然
[3244.98-3246.98] GMP因為它是微球面的
[3246.98-3250.98] 所以性能除了玻璃的
[3250.98-3253.98] 不怕高溫之外
[3253.98-3255.98] GMP因為它是微球面
[3255.98-3258.98] 所以性能會比一般的球面鏡要更好
[3258.98-3260.98] 相機但是比較貴一點
[3260.98-3264.98] 相機和CIS業務在2026年怎麼看
[3264.98-3267.98] 相機2026年我認為還是在成長
[3267.98-3269.98] 因為看這目前的技術
[3269.98-3270.98] 客人的需求
[3270.98-3272.98] 相機絕對是成長
[3272.98-3273.98] CIS呢
[3273.98-3275.98] 在過去大家知道
[3275.98-3278.98] 在疫情期間成長很快
[3278.98-3280.98] 客人來要求我們買設備
[3280.98-3283.98] 他出點買設備去完成CIS
[3283.98-3286.98] 疫情過後有點下緩
[3286.98-3290.98] 那目前2024也開始在恢復
[3290.98-3294.98] 2025年應該跟20多月
[3294.98-3295.98] 有一些成長
[3295.98-3298.98] 但是這種業務基本上都是蠻穩定的
[3298.98-3300.98] CIS都蠻穩定的
[3300.98-3303.98] 再來2024年光血營收站
[3303.98-3305.98] 光血營收站
[3305.98-3307.98] 光血營收站講的是包括整體
[3307.98-3311.98] 包括它49%是應該是把手機
[3311.98-3312.98] 不是手機啦
[3312.98-3315.98] 把那個運動相機也好啦
[3315.98-3317.98] 把那個無人機
[3317.98-3318.98] 這些鏡頭都包括在裡面
[3318.98-3320.98] 所以說它占49%
[3320.98-3322.98] 其中手機鏡頭車用的比例
[3322.98-3324.98] 車用的比例剛剛講過
[3324.98-3327.98] 大概車用大概10%
[3327.98-3329.98] 去年大概10%
[3329.98-3331.98] 車載鏡頭占10%
[3331.98-3332.98] 手車那個車載鏡頭占10%
[3332.98-3334.98] 手機是0進
[3334.98-3336.98] 0進占了不高
[3336.98-3338.98] 0進大概占我們的
[3338.98-3340.98] 去年大概占
[3340.98-3342.98] 8.6
[3342.98-3344.98] 在整體2.6%還不少
[3344.98-3346.98] 所以今年有在成長
[3346.98-3354.98] 再來是無人機和運動相機的鏡頭ZMP
[3354.98-3356.98] 有比整體的ZMP
[3356.98-3358.98] 有比整體ZMP
[3358.98-3360.98] ZPM
[3360.98-3361.98] Gloss ZPM
[3361.98-3365.98] Gloss ZPM是ZPM
[3365.98-3370.98] 無人機和運動相機鏡頭ZPM
[3370.98-3373.98] 有比整體ZMP高
[3373.98-3374.98] ZPM不知道什麼意思
[3374.98-3376.98] 是講剛剛是model嗎
[3376.98-3378.98] 他是講那個毛利
[3378.98-3379.98] 或毛利啦
[3379.98-3381.98] Gloss Models Margin啦
[3381.98-3383.98] 應該是
[3383.98-3386.98] 那有比整體
[3386.98-3389.98] 無人機跟運動相機用的
[3389.98-3390.98] 基本上都差不多啦
[3390.98-3392.98] 沒有什麼特殊
[3392.98-3395.98] 因為這種也不是什麼特別新的東西
[3395.98-3397.98] 所以基本上
[3397.98-3399.98] 和Models Margin都差不多
[3399.98-3401.98] 再來王先生
[3401.98-3403.98] 請問今年有新的產品嗎
[3403.98-3405.98] 除了無人機鏡頭
[3405.98-3407.98] 新的產品還沒公佈耶
[3407.98-3409.98] 我也沒有辦法現在跟你說明
[3409.98-3411.98] 我抱歉
[3411.98-3413.98] 只能說今年有生產東西
[3413.98-3415.98] 剛才都已經說明過了
[3415.98-3417.98] 再來元太Lisa陳小姐
[3417.98-3419.98] 請問2026年展望自我可以看到
[3419.98-3421.98] 可以看得到數位相機
[3421.98-3423.98] 就跑不掉的
[3423.98-3425.98] CIS基本上都是穩定成長的
[3425.98-3428.98] 那再來就是運動相機
[3428.98-3429.98] 應該也是成長的
[3429.98-3431.98] 無人機我就不知道
[3431.98-3433.98] 再來周先生
[3433.98-3435.98] 周乃安先生
[3435.98-3437.98] 請問2025年的費用展望
[3437.98-3440.98] 2025年的費用率的部分
[3440.98-3442.98] 差不多是在10.5%
[3442.98-3444.98] 到11%左右
[3444.98-3447.98] 對
[3447.98-3449.98] 請再來
[3449.98-3451.98] 王先生
[3451.98-3454.98] 請問今年有回去哪裡開展嗎
[3454.98-3456.98] 感覺亞光沒有什麼參展
[3456.98-3458.98] 亞洲光學也像CIS
[3458.98-3460.98] 亞洲光學沒有直接參展
[3460.98-3462.98] 但是亞洲光學的客戶呢
[3462.98-3464.98] 在CIS都有參展
[3464.98-3465.98] 簡單講
[3465.98-3467.98] 像數位相機
[3467.98-3469.98] 他們都有參展出來
[3469.98-3470.98] 包括好幾家的數位相機
[3470.98-3472.98] 並不是只有一家科大以外
[3472.98-3474.98] 都有參展出來
[3474.98-3475.98] 接下來
[3475.98-3478.98] 王先生
[3478.98-3482.98] 請問MetaLens目前用於手機應用的進度如何
[3482.98-3484.98] 剛剛講在試作樣品製作
[3484.98-3486.98] 何時量產貢獻移動
[3486.98-3488.98] 這個就是要客人確認
[3488.98-3492.98] 或是客人可能會規格稍微修改
[3492.98-3494.98] 那又再重新試作
[3494.98-3495.98] 所以有一點時間
[3495.98-3497.98] 但是我們是看好這個
[3497.98-3499.98] 因為有很大的優勢
[3499.98-3502.98] 量產成本比現在用的要便宜很多
[3502.98-3504.98] 而且性能又好
[3504.98-3506.98] 是我有長期2026年
[3506.98-3507.98] 用的一體運作比重
[3507.98-3509.98] 目前沒有好不好
[3509.98-3510.98] 就是可以
[3510.98-3513.98] 可以認為是很有優勢的一個產品
[3513.98-3514.98] 目前沒有辦法說
[3514.98-3516.98] 給你說比重多少
[3516.98-3517.98] 再來
[3517.98-3518.98] Henry Yang
[3518.98-3520.98] 整合GM
[3520.98-3521.98] Galaxy Moding
[3521.98-3522.98] Polygon球面
[3522.98-3526.98] 發展飛球面晶片的產品
[3526.98-3528.98] 是我已有客戶
[3528.98-3530.98] 目前研發進度
[3530.98-3532.98] 整合Galaxy Moding
[3532.98-3533.98] Galaxy Moding亞洲光學
[3533.98-3535.98] 大概已經做了20年了吧
[3535.98-3536.98] 客戶的用在
[3536.98-3538.98] 單眼相機裡面
[3538.98-3540.98] 這個無輪機裡面
[3540.98-3542.98] 運動相機裡面
[3542.98-3543.98] 都有用到
[3543.98-3545.98] 這個是所以說
