[0.00-5.28] 各位投資先進
[1662.16-1667.78] 所謂的如果透過這樣方式取得資金我們償還的話有可以產生
[1667.78-1670.86] 財務上面的效益的話我們還是會考量
[1670.86-1673.16] 否則的話短期內我們可能
[1673.16-1673.94] 基本上
[1673.94-1676.50] 不太會再去考量
[1676.54-1678.34] 這個或者不會執行
[1678.34-1681.40] 提前清場的一個狀況
[1681.40-1686.26] 目前是這樣的情形跟各位報告
[1686.26-1687.30] 好謝謝
[1687.30-1690.88] 那接下來有一個提問是想問
[1690.88-1693.94] 營業利益有稍微的下降
[1693.94-1695.22] 那為什麼
[1695.22-1702.40] 平穩額度的提列反而提高
[1702.40-1704.96] 這部分就是
[1704.96-1706.24] 這部分就是聽得到
[1706.24-1709.32] 平穩的提列的方式
[1709.32-1714.94] 平穩額度他其實依照合約的規範他其實要以年度
[1714.94-1717.24] 來做提列的依據的
[1717.24-1720.06] 可是因為我們是每季
[1720.06-1721.08] 財報
[1721.08-1723.90] 會做一次的合約跟
[1723.90-1725.96] 每季都會有財報
[1725.96-1729.54] 因此我們實際上每個月都會估計其實每個月的
[1729.54-1733.12] 我們在內部的這個字節報表上我們內部都會有
[1733.12-1734.92] 估列平穩的費用
[1734.92-1735.68] 或者是
[1735.68-1736.20] 這個部分
[1736.24-1740.34] 當然這部分就會變成是他會很大部分會仰賴
[1740.34-1741.88] 估計的一個狀況
[1741.88-1743.40] 所以這估計數
[1743.40-1745.96] 跟實際的數字
[1745.96-1747.24] 會
[1747.24-1748.78] 放在一起去做評估
[1748.78-1753.14] 可是因為有一大部分會依照當年度對未來的一些
[1753.14-1756.72] 預算這些的估計所以他們會計會
[1756.72-1758.52] 透過這樣的方式去
[1758.52-1761.84] 算出在那個季度應該提列多少的部分
[1761.84-1766.22] 所以有時候季度的比較會有一些落差原因之下
[1766.24-1769.32] 所以這可能要跟投資
[1769.32-1771.10] 前進所說的說明
[1771.10-1772.12] 那當然
[1772.12-1776.22] 因為他其實是比較準確的比較應該到年度的做比較
[1776.22-1779.30] 那季度就會有些調整落差
[1779.30-1781.60] 不好意思跟各位投資前進報告
[1785.70-1786.20] 好
[1786.20-1793.38] 那副總這邊還有一個問題是2025年的增班主要會其中在哪些時段
[1793.38-1796.20] 在2027年的新車上限計算時段會有什麼情況呢?
[1796.24-1797.00] 在2027年的新車上限計算時段會有什麼情況呢?
[1797.00-1802.38] 增班的空間是否已經建區飽和?
[1802.38-1805.20] 好這個部分我想
[1805.20-1805.96] 其實
[1805.96-1808.02] 我們公司
[1808.02-1810.06] 每年都有在評估
[1810.06-1817.24] 固定的一個增班的狀況因為最近這幾年其實看起來運量都還是持續有
[1817.24-1820.82] 穩定的上升所以我們還是會持續的評估
[1820.82-1822.10] 在固定的
[1822.10-1823.88] 時間來增班
[1823.88-1826.20] 那像今年的7月1號就是會
[1826.20-1828.24] 像剛剛詹先生所講的
[1828.24-1830.30] 會增加25個班
[1830.30-1832.34] 那這25個班這裡面
[1832.34-1835.16] 南下有18班北上有8班
[1835.16-1839.26] 那主要會集中在禮拜五跟禮拜天
[1839.26-1842.58] 而且那其中就是大部分因為我們發現
[1842.58-1845.40] 台中以北還有一些
[1845.40-1847.96] 短期的一些旅客在
[1847.96-1849.50] 周日啊
[1849.50-1856.16] 還有一些北上這樣子他們有這樣的需求因為我們會針對一些間鋒時段的一個間鋒地區
[1856.20-1858.76] 去做這樣的需求的一些增班
[1858.76-1862.08] 所以固定的增班還是會有的
[1862.08-1865.68] 那只是說增班的規劃的話基本上
[1865.68-1866.96] 以目前的
[1866.96-1869.76] 34組車主的運量
[1869.76-1872.58] 我們還是得要預計
[1872.58-1874.38] 我們車主數
[1874.38-1875.66] 還有就是
[1875.66-1878.48] 一些這些列車維修的排成
[1878.48-1881.80] 那當然我們現在維修排成那各方面我們會持續
[1881.80-1883.60] 有持續在優化他
[1883.60-1885.64] 讓他進場的時間不要那麼長
[1886.20-1888.50] 車主的使用效率可以更往上提升
[1888.50-1890.30] 來排出更多的班表
[1890.30-1895.42] 排出更多的班啦所以還是有往上排的空間
[1895.42-1896.44] 那只是說
[1896.44-1898.48] 固定的常態性的增班
[1898.48-1899.52] 也要看
[1899.52-1901.30] 比較長期性是不是有
[1901.30-1904.12] 某些時段或某些區段有間鋒
[1904.12-1905.66] 有這樣的需求
[1905.66-1911.54] 那其他的部分就會針對一些旺季像是暑假或是特定的一些活動
[1911.54-1912.32] 期間
[1912.32-1915.12] 或者是特定的那個
[1915.12-1916.16] 像那個什麼
[1916.16-1917.96] 年假
[1917.96-1920.00] 的話我們大家就是會
[1920.00-1922.56] 做一些短期性特定時間的一些
[1922.56-1923.32] 升班
[1923.32-1925.38] 或是駕開自由座
[1925.38-1931.52] 那大型活動就一定會有臨時性的一些班表來去播動那這是目前臨時性的安排
[1931.52-1933.56] 大家的方向就會是這樣
[1933.56-1934.60] 向您報告
[1937.40-1938.94] 謝謝副總
[1938.94-1942.02] 那這邊有一個新的提問是
[1942.02-1945.08] 請問12台新列車何時加入
[1945.08-1946.12] 那加入後
[1946.16-1953.32] 的攤銷費用預計以為多少
[1953.32-1955.88] 那個依照目前
[1955.88-1960.50] 的規劃
[1960.50-1963.56] 應該是在2026年
[1963.56-1964.84] 下半年
[1964.84-1967.40] 第4季的時候
[1967.40-1969.20] 會
[1969.20-1972.52] 開始會陸陸續續
[1972.52-1974.32] 送到台灣來那
[1974.32-1976.12] 但是因為送進來之後
[1976.12-1977.40] 我們還得要
[1977.40-1978.42] 花半年的
[1978.42-1981.50] 時間去做測試啊這些
[1981.50-1983.54] 這些作業
[1983.54-1984.06] 所以
[1984.06-1989.18] 真正要上線應該是在2027年
[1989.18-1992.00] 中間以後的時段
[1992.00-1992.50] 那當然
[1992.50-1995.84] 車子的部分一定是真正上線時候才會開始
[1995.84-1996.60] 做
[1996.60-1997.36] 折舊
[1997.36-1999.42] 那照著就會依照
[1999.42-2003.76] 車子的內用年限還有上線時段去做折舊的一個攤停
[2003.76-2005.30] 以上說明
[2006.12-2007.40] 現在就要開始了
[2007.40-2008.42] 那現在就要開始了
[2008.42-2009.70] 我們現在就要開始了
[2009.70-2010.22] 好
[2010.22-2010.72] 好
[2010.72-2011.24] 好
[2011.24-2011.76] 好
[2011.76-2015.60] 目前文字提問的部分是先到這邊
[2015.60-2018.92] 那看看大家還有什麼問題要提出來的
[2018.92-2028.64] 歡迎也可以直接使用麥克風
[2036.12-2048.66] 請問就是新列車他的一台的成本還有他的攤提的年限大概會是多少
[2060.18-2063.52] 這個部分我們當時公告的那個
[2063.52-2065.56] 呃
[2066.12-2067.92] 車主列車是
[2069.20-2073.80] 而且我讓同事查一下當時公告的那個那個金額
[2074.06-2075.34] 因為當時公告是日幣
[2075.60-2078.40] 因為我們這是日幣合約我記得是1000
[2078.92-2082.00] 1000多億日幣的一個
[2084.80-2086.08] 當時我記得約略
[2086.34-2088.64] 折合成台幣我記得當時約略是200
[2088.90-2090.44] 280億左右啦
[2090.70-2093.00] 如果這樣除下來的話一列大概就是
[2096.12-2098.68] 200
[2099.96-2100.48] 至於說
[2100.72-2103.80] 年期的話基本上我們車子的基本上
[2104.06-2106.36] 設計各方面使用在目前我們車子
[2106.62-2109.68] 設計使用那年限基本上我們是用35年做
[2110.20-2110.96] 折攤
[2114.04-2115.32] 好了解謝謝
[2116.86-2118.90] 我們剛剛數字算一下大概就是
[2119.16-2121.20] 大概就是20來億啦
[2121.72-2123.26] 23億左右這樣
[2123.52-2124.28] 這是我們直接
[2124.54-2125.82] 用那個出產出來的
[2126.12-2127.14] 這個公告
[2127.40-2130.48] 這個公告應該是在前年
[2130.72-2131.50] 公告
[2131.76-2132.78] 我們有公告那個
[2134.32-2137.12] 因為我們的合約簽約是我們公告那個合約數
[2137.90-2139.44] 方便
[2139.68-2142.00] 投資先進方便的話可以看一下我們那個公告數
[2142.50-2143.02] 資料
[2143.28-2143.78] 謝謝
[2144.80-2146.08] 好沒問題謝謝
[2149.42-2153.26] 好那文字提問的部分目前是到這邊
[2153.52-2156.08] 那線上的投資先進有沒有學校
[2156.32-2156.88] 需要
[2157.14-2158.68] 使用麥克風提問的
[2159.70-2161.24] 現在可以打開麥克風
[2186.88-2187.40] 好
[2187.92-2194.32] 那我看目前線上的投資先進沒有再進一步的提問了
[2194.82-2197.90] 那副總這邊有沒有需要補充說明的地方呢
[2199.44-2200.20] 沒有謝謝
[2202.76-2205.06] 那如果大家都沒有問題的話
[2205.32-2208.40] 今天非常感謝所有投資先進的參與
[2208.90-2213.00] 那今天高鐵的線上法人說明會就到這邊結束
[2213.52-2216.08] 再次感謝公司的經營團隊也謝謝大家
[2216.32-2216.82] 謝謝
[2218.42-2220.72] 謝謝大家謝謝各位投資先進謝謝
[2221.50-2224.06] 好祝大家投資順利拜拜
[2225.60-2226.10] 拜拜
[2227.12-2227.64] 拜拜
