[0.00-7.08] 各位投资先进参加2025年第一次技嘉科技份有限公司线上法人说明会
[1744.42-1746.42] 在基底在
[1746.42-1748.42] 培养创新型人才方面
[1748.42-1750.42] 我们连续举办了22年
[1750.42-1752.42] 我们连续举办了22年
[1752.42-1754.42] 那在减少废弃物
[1754.42-1756.42] 打0.18%
[1756.42-1758.42] 营收的强度也提高到4.8倍
[1758.42-1760.42] 营收的强度也提高到4.8倍
[1760.42-1762.42] 同时技嘉也持续号召伙伴
[1762.42-1764.42] 同时技嘉也持续号召伙伴
[1764.42-1766.42] 共同减量共享爱地球
[1766.42-1768.42] 我们3月22号
[1768.42-1770.42] 也在桃园市的大圆珠比子海滩
[1770.42-1772.42] 也在桃园市的大圆珠比子海滩
[1772.42-1774.42] 跟
[1774.42-1776.42] 我们的合作厂商38家
[1776.42-1778.42] 201位伙伴
[1778.42-1780.42] 合力共同清除了1809斤的废弃物
[1780.42-1782.42] 合力共同清除了1809斤的废弃物
[1784.42-1786.42] 在2024年
[1786.42-1788.42] 欧盟7月正式公布CSPDD
[1788.42-1790.42] 欧盟7月正式公布CSPDD
[1790.42-1794.46] 这六个容额
[1810.46-1814.46] 了 declaration
[1814.46-1816.46] 预 clear
[1816.46-1817.46] 我
[1817.46-1819.46] 我
[1819.46-1819.94] 我
[1819.94-1820.00] 团
[1820.00-1820.40] 团
[1820.40-1822.40] 營運相關的活動
[1822.40-1829.40] 以上是關於2024年的一些營運的狀況跟各位所謂的報告
[1829.40-1832.40] 那接下來我們還有時間做一些Q&A的部分
[1832.40-1833.40] 謝謝
