[0.00-7.94] 好 各位投資先進朋友們 大家午安
[7.94-13.30] 歡迎參加文業科技受邀造風證券所舉辦的
[1811.70-1813.70] 生成式AI近期的發展與Deep-seek的崛起
[1813.70-1815.70] 對公司的影響
[1815.70-1817.70] 另外就是公司對於將AI Model導入內部之意願
[1817.70-1819.70] 另外就是公司對於將AI Model導入內部之意願
[1819.70-1821.70] 這個我們現在這兩年最積極
[1821.70-1823.70] 這個我們現在這兩年最積極
[1823.70-1825.70] 最熱門的東西就是
[1825.70-1827.70] 這個生成式AI
[1827.70-1829.70] 我們現在的生產方式是
[1829.70-1831.70] 我們看到生成式AI技術的應用到
[1831.70-1833.70] 各種終端電子產品
[1833.70-1835.70] 各種終端電子產品
[1835.70-1837.70] 這個趨勢一定是越來越普及
[1837.70-1839.70] 這個趨勢一定是越來越普及
[1839.70-1841.70] 力量一定是越來越強大
[1841.70-1843.70] 這個會促使
[1843.70-1845.70] 產品週期
[1845.70-1847.70] 產品生命週期縮短
[1847.70-1849.70] 會促使換機
[1849.70-1851.70] 也會促使電子產品半導體含量的增加
[1851.70-1853.70] 也會促使電子產品半導體含量的增加
[1853.70-1855.70] 所以整體而言
[1855.70-1857.70] 這是一個很正面的影響
[1857.70-1859.70] 第二個
[1859.70-1861.70] 我們長期都在進行數位優化
[1861.70-1863.70] 我們長期都在進行數位優化
[1863.70-1865.70] 那我們已經開始導入一部分的AI應用
[1865.70-1867.70] 那我們已經開始導入一部分的AI應用
[1867.70-1869.70] 來優化內部的作業
[1869.70-1871.70] 來優化內部的作業
[1871.70-1873.70] 另外這個也是應用領域的問題
[1873.70-1875.70] 另外這個也是應用領域的問題
[1875.70-1877.70] 有沒有觀察到在公控領域
[1877.70-1879.70] 因為機器人供應鏈之部件
[1879.70-1881.70] 通路商有新的代理與服務機會
[1881.70-1883.70] 通路商有新的代理與服務機會
[1883.70-1885.70] 機器人一定是
[1885.70-1887.70] 未來最重要
[1887.70-1889.70] 發展最大的機器人
[1889.70-1891.70] 發展最大的機器人
[1891.70-1893.70] 最快的應用領域
[1893.70-1895.70] 公司對相關的產品
[1895.70-1897.70] 從控制器感測器
[1897.70-1899.70] 都有全面的覆蓋
[1899.70-1901.70] 都有全面的覆蓋
[1901.70-1903.70] 我們現在也跟客戶在密切的合作
[1903.70-1905.70] 會積極
[1905.70-1907.70] 全面的參與
[1907.70-1909.70] 整個機器人產業的發展
[1909.70-1911.70] 整個機器人產業的發展
[1911.70-1913.70] 接下來投資人問到
[1913.70-1915.70] 近期市場傳聞代理商
[1915.70-1917.70] 將於下個月調漲記憶體價格
[1917.70-1919.70] 將於下個月調漲記憶體價格
[1919.70-1921.70] 是否有觀察到記憶體需求回溫
[1921.70-1923.70] 是否有觀察到記憶體需求回溫
[1923.70-1925.70] 記憶體的價格變化很快
[1925.70-1927.70] 所以價格變動
[1927.70-1929.70] 所以價格變動
[1929.70-1931.70] 其實是十分難預測的
[1931.70-1933.70] 因為記憶體在我們集團的營收比重很低
[1933.70-1935.70] 因為記憶體在我們集團的營收比重很低
[1935.70-1937.70] 所以對我們的影響並不大
[1937.70-1939.70] 所以對我們的影響並不大
[1939.70-1941.70] 接下來是關於future的
[1941.70-1943.70] 接下來是關於future的
[1943.70-1945.70] 投資人問到future整合的情形
[1945.70-1947.70] 投資人問到future整合的情形
[1947.70-1949.70] 賓購後的整合進展十分順利
[1949.70-1951.70] 賓購後的整合進展十分順利
[1951.70-1953.70] 雙方團隊合作的非常愉快
[1953.70-1955.70] 雙方團隊合作的非常愉快
[1955.70-1957.70] 配合也非常緊密
[1957.70-1959.70] 目前正在一起建立中長期的發展計畫
[1959.70-1961.70] 目前正在一起建立中長期的發展計畫
[1961.70-1963.70] 我們已經持續在
[1963.70-1965.70] cross selling 交叉銷售
[1965.70-1967.70] 找到機會也開始在實現
[1967.70-1969.70] 找到機會也開始在實現
[1969.70-1971.70] 透過雙方產品與服務的互補優勢
[1971.70-1973.70] 透過雙方產品與服務的互補優勢
[1973.70-1975.70] 我們正在積極整合資源
[1975.70-1977.70] 讓現有客戶能夠獲得
[1977.70-1979.70] 更完整的解決方案
[1979.70-1981.70] 更完整的解決方案
[1981.70-1983.70] 我們也制定了一套
[1983.70-1985.70] 後勤部門的中長期整合計畫
[1985.70-1987.70] 逐步提升內部營運效率
[1987.70-1989.70] 逐步提升內部營運效率
[1989.70-1991.70] 並優化流程
[1991.70-1993.70] 長期透過系統整合
[1993.70-1995.70] 標準化作業
[1995.70-1997.70] 以及資源共享的方式
[1997.70-1999.70] 以穩健的推進方式
[1999.70-2001.70] 逐步實現效率提升
[2001.70-2003.70] 與流程優化
[2003.70-2005.70] 總的來說
[2005.70-2007.70] 整合進度非常好
[2007.70-2009.70] 我們現在已經是一個團隊了
[2009.70-2011.70] 我們現在已經是一個團隊了
[2011.70-2013.70] 以後就不要再問我整合的速度好不好
[2013.70-2015.70] 以後就不要再問我整合的速度好不好
[2015.70-2017.70] 我們已經是一家公司了
[2017.70-2019.70] 而且非常的順利
[2019.70-2021.70] 會持續致力於提升
[2021.70-2023.70] 長期的股東權益報酬率
[2023.70-2025.70] 接下來也是關於Future
[2025.70-2027.70] 有投資人問到Future今年營收與毛利率的展望
[2027.70-2029.70] 有投資人問到Future今年營收與毛利率的展望
[2029.70-2031.70] 有投資人問到Future今年營收與毛利率的展望
[2031.70-2033.70] 好 謝謝
[2033.70-2035.70] 今年的營收跟毛利率的展望
[2035.70-2037.70] 因為我們正在進行一段時間
[2037.70-2039.70] 所以我們兩個給的這個財政指導
[2039.70-2041.70] 可能還是從一個季度一個季度
[2041.70-2043.70] 季度一季度在給
[2043.70-2045.70] 所以我們第一季的財政方
[2045.70-2047.70] 其實大概都有提到Future的部分
[2047.70-2049.70] 其實大概都有提到Future的部分
[2049.70-2051.70] 全年的部分如果我們是從一個方向上來講
[2051.70-2053.70] 前面提到第一季營收回穩之後
[2053.70-2055.70] 開始實現季增季對季的成長
[2055.70-2057.70] 開始實現季增季對季的成長
[2057.70-2059.70] 我們預期整個歐美市場庫存調整
[2059.70-2061.70] 應該在未來一到兩個季度
[2061.70-2063.70] 應該可以逐步進入尾聲
[2063.70-2065.70] 剛剛董事長也有提到
[2065.70-2067.70] 在目前看起來下半年的需求
[2067.70-2069.70] 也是有機會逐步回穩
[2069.70-2071.70] 會比上半年要好
[2071.70-2073.70] 那Future的毛利率
[2073.70-2075.70] 其實一直都蠻穩定的
[2075.70-2077.70] 從去年第四季到預估第一季
[2077.70-2079.70] 然後目前看起來
[2079.70-2081.70] 因為整個環境都是相對的平穩
[2081.70-2083.70] 也沒有一些所謂的庫存的問題
[2083.70-2085.70] 需要去處理
[2085.70-2087.70] 所以我們目前看起來
[2087.70-2089.70] 毛利率在Future上
[2089.70-2091.70] 都是維持相當的平穩
[2091.70-2093.70] 那之前有提到Future的部分
[2093.70-2095.70] 它的這邊過去的情況
[2095.70-2097.70] 其實是
[2097.70-2099.70] 它的整個Operating Lab是比較高的
[2099.70-2101.70] 意思就是說它的費用其實是高的
[2101.70-2103.70] 但是過去一年
[2103.70-2105.70] 因為這個庫存調整的關係
[2105.70-2107.70] 所以收入其實是下滑的比較多
[2107.70-2109.70] 那所以如果需求
[2109.70-2111.70] 贏跟贏的時候負數的話
[2111.70-2113.70] 它如果從整個動力來說
[2113.70-2115.70] 這個營業利率的成長
[2115.70-2117.70] 應該會比毛利率的成長
[2117.70-2119.70] 更值得要期待
[2119.70-2121.70] 接下來投資人問到
[2121.70-2123.70] 目前美國降息預期
[2123.70-2125.70] 相較之前和緩
[2125.70-2127.70] 如何規劃2025年的財務目標
[2127.70-2129.70] 質化與量化的部分
[2129.70-2131.70] 像是關於貸款與
[2131.70-2133.70] 償債規劃財務成本等等
[2135.70-2137.70] 關於可能整個
[2137.70-2139.70] 這個我們貸款償債計畫
[2139.70-2141.70] 然後財務成本怎麼看
[2141.70-2143.70] 我大概整體來提一下
[2143.70-2145.70] 那其實我們有提過
[2145.70-2147.70] 我們的目標一直都是要
[2147.70-2149.70] 持續去降低負債
[2149.70-2151.70] 那但是就是說
[2151.70-2153.70] 如果市場的需求復甦的時候
[2153.70-2155.70] 根據我們的業態其實在市場復甦的時候
[2155.70-2157.70] 也會有營運資金的需求
[2157.70-2159.70] 所以我們其實會在這個
[2159.70-2161.70] 我們會視市場的情況去做一個
[2161.70-2163.70] 動態的調整
[2163.70-2165.70] 不會是一成不變一定要怎麼樣去做
[2165.70-2167.70] 那目前看到的情況是什麼
[2167.70-2169.70] 目前看到第一季
[2169.70-2171.70] 看起來的情況是我們其實看到一個趨勢是
[2171.70-2173.70] 一些高毛利的
[2173.70-2175.70] 產品其實在實現
[2175.70-2177.70] 開始在成長
[2177.70-2179.70] 也就是季對季的成長
[2179.70-2181.70] 那也就是為什麼我們在第一季
[2181.70-2183.70] 預估了比較高的營運資金需求
[2183.70-2185.70] 預估了比較高的財務成本
[2185.70-2187.70] 那如果從財政數字
[2187.70-2189.70] 大概對檢一下
[2189.70-2191.70] 我們預估的第一季財務成本大概在11億
[2191.70-2193.70] 到12億之間
[2193.70-2195.70] 那今年全年財務成本是怎麼樣
[2195.70-2197.70] 其實會跟我剛剛講的一樣
[2197.70-2199.70] 會是一個動態調整的情況
[2199.70-2201.70] 那要看景氣啊
[2201.70-2203.70] 負輸的情況營收跟營運資金需求的情況
[2203.70-2205.70] 如果業務成長的話營運資金的需求會增加
[2205.70-2207.70] 那有可能財務成本會增加
[2207.70-2209.70] 但對利潤來說其實
[2209.70-2211.70] 反而其實也是一個好事
[2211.70-2213.70] 接下來投資人提問
[2213.70-2215.70] 2025年的營業費用率規劃
[2215.70-2217.70] 以及稅率的規劃
[2219.70-2221.70] 費用率的部分
[2221.70-2223.70] 如果看文業過去的一個
[2223.70-2225.70] 比較長期的紀錄來看
[2225.70-2227.70] 會看到費用增幅
[2227.70-2229.70] 一般都是小於營收的增幅
[2229.70-2231.70] 也就是隨著營收成長的時候
[2231.70-2233.70] 我們的費用率會逐步的下降
[2233.70-2235.70] 那我們
[2235.70-2237.70] 剛剛今年方向上來說
[2237.70-2239.70] 第一季剛剛給的改等費用率比較高
[2239.70-2241.70] 主要是因為今年QOQ
[2241.70-2243.70] 所以營收下滑的情況
[2243.70-2245.70] 但會看到其實這個營業費用率
[2245.70-2247.70] 提升的話
[2247.70-2249.70] 整個營業利率還是往上提升
[2249.70-2251.70] 那我覺得我們還是不變
[2251.70-2253.70] 就是說中長期來看
[2253.70-2255.70] 我們會持續去提升這個運營的效率
[2255.70-2257.70] 尤其是隨著這個
[2257.70-2259.70] 雙方整合的持續的進行
[2259.70-2261.70] 那也隨著這個市場復甦後
[2261.70-2263.70] 運營剛剛的實現
[2263.70-2265.70] 我們的目標仍然是控制費用率
[2265.70-2267.70] 隨著營收的這個成長
[2267.70-2269.70] 慢慢的這個下降
[2269.70-2271.70] 那稅率的話
[2271.70-2273.70] 過去其實都是在穩定的情況
[2273.70-2275.70] 所以可以用歷史情況
[2275.70-2277.70] 去做一個預計
[2277.70-2279.70] 接下來有投資人
[2279.70-2281.70] 問到請問未來配息
[2281.70-2283.70] 規劃過去配發率
[2283.70-2285.70] 都在4到5成
[2285.70-2287.70] 合併future後未來EPS
[2287.70-2289.70] 上升配發率能夠維持嗎
[2289.70-2291.70] 現金足夠嗎
[2291.70-2293.70] 對我們過去的這個配息
[2293.70-2295.70] 一直大約在5成左右
[2295.70-2297.70] 那剛剛其實在我們的簡報
[2297.70-2299.70] 可以看到我們目前
[2299.70-2301.70] 從財務比喻看起來非常健康
[2301.70-2303.70] 我們的財務其實相當充裕
[2303.70-2305.70] 但具體的這個
[2305.70-2307.70] 股利發放政策我們還是要按照
[2307.70-2309.70] 那個實際的每年的這個
[2309.70-2311.70] 運營的這個情況
[2311.70-2313.70] 當時財務的情況我們最終還是要
[2313.70-2315.70] 提交這個董事會跟股東會
[2315.70-2317.70] 來通過這個股利的規劃
[2325.70-2327.70] 接下來有投資人
[2327.70-2329.70] 問到是關於車用市場的
[2329.70-2331.70] 就是公司請問公司
[2331.70-2333.70] 在中國車用市場成長
[2333.70-2335.70] 主要是受惠整體
[2335.70-2337.70] 市場成長還是公司的市
[2337.70-2339.70] 佔率增加若是市佔率
[2339.70-2341.70] 增加主要的驅動
[2341.70-2343.70] 因素有哪些
[2343.70-2345.70] 基本上兩個
[2345.70-2347.70] 都有啦兩個都有
[2347.70-2349.70] 那最主最大頭
[2349.70-2351.70] 還是來自於中國汽車
[2351.70-2353.70] 市場本身還在成長
[2353.70-2355.70] 尤其他們轉換電動車
[2355.70-2357.70] 的比例跟電動車出口的
[2357.70-2359.70] 比例的話在增加那除了
[2359.70-2361.70] 中國的車用市場
[2361.70-2363.70] 以外其他的
[2363.70-2365.70] 包括韓國歐洲
[2365.70-2367.70] 美國這個市場都是
[2367.70-2369.70] 在庫存調整狀態
[2369.70-2371.70] OK
[2371.70-2373.70] 這邊還有一題是問說
[2373.70-2375.70] 聽起來今年展望
[2375.70-2377.70] 算是正面營運資金的
[2377.70-2379.70] 需求因此會提升公司
[2379.70-2381.70] 今年有投資的規劃嗎
[2381.70-2383.70] 嗯
[2383.70-2385.70] 那如我剛說
[2385.70-2387.70] 其實你看到目前我們的財務指標
[2387.70-2389.70] 其實非常健康所以在這樣的
[2389.70-2391.70] 一個
[2391.70-2393.70] 這個公司的這個結構之下
[2393.70-2395.70] 其實沒有一個投資的急迫性
[2395.70-2397.70] 所以目前我們是沒有規劃
[2397.70-2399.70] 這方面的東西
[2399.70-2405.70] 好的
[2405.70-2407.70] 那現在
[2407.70-2409.70] 所有的問題我們大致上
[2409.70-2411.70] 也都回答完畢
[2411.70-2413.70] 謝謝財務長以及董事長的回覆
[2413.70-2415.70] 那文業科技
[2415.70-2417.70] 2024年第四季的一個
[2417.70-2419.70] 投資法人說明會
[2419.70-2421.70] 在這邊要告一個
[2421.70-2423.70] 段落會後如果你
[2423.70-2425.70] 還有其他的問題
[2425.70-2427.70] 請各位投資人
[2427.70-2429.70] E-mail到投資人的關係信箱
[2429.70-2431.70] 我們會整理
[2431.70-2433.70] 然後回覆您的詢問
[2433.70-2435.70] 非常感謝今天
[2435.70-2437.70] 大家的一個參與
[2437.70-2439.70] 也謝謝大家敬祝各位身體健康
[2439.70-2441.70] 投資順心
[2441.70-2443.70] 謝謝
[2443.70-2445.70] 請大家說謝謝
[2445.70-2447.70] 謝謝
