[0.00-2.88] 各位先生的各位先生大家午安
[1643.62-1646.64] 想请教公司主要的代工客户为何
[1646.64-1648.86] 代工的品项有哪一些
[1648.86-1652.34] 那这题文请总经理来问我们说明
[1652.34-1656.96] 因为代工有机密的要求
[1656.96-1658.26] 所以我们不评论
[1658.26-1660.78] 这些代工的个别的客户
[1660.78-1662.84] 但是在这一块
[1662.84-1665.74] 我们还是基于我们在网络摄影机
[1665.74-1669.98] 以及NVR或是在软体这边开发的能力
[1669.98-1673.24] 我们具有从ODM OEM
[1673.24-1676.36] 甚至JDM这样的一个合作的能力
[1676.36-1678.96] 好 谢谢总经理的分享
[1678.96-1680.90] 那现在主编问到说
[1680.90-1683.98] 想请问公司毛利率影响的因子为何
[1683.98-1686.66] 代工业务及品牌业务
[1686.66-1688.24] 获利的差异
[1688.26-1689.26] 为何
[1689.26-1692.26] 下一题我们请总经理进行说明
[1692.26-1694.26] 影响毛利的因子很多
[1694.26-1697.26] 包含汇率销售产品的组合
[1697.26-1700.26] 材料选用还有制造的成本
[1700.26-1702.26] 还有我们当然营运的管理能力
[1702.26-1705.26] 以公司销售组合来看
[1705.26-1708.26] 品牌产品毛利当然是较代工为高
[1708.26-1712.26] 公司正向看待毛利率的发展
[1712.26-1714.26] 谢谢总经理的分享
[1714.26-1716.26] 下一题有朋友问到说
[1716.26-1718.26] 想请教分色选项的方式是什么呢
[1718.26-1720.26] 请问
[1720.26-1722.26] 您的经常的资本支出为何
[1722.26-1724.26] 后续是否会影响公司的现金股
[1724.26-1726.26] 股息的配发的能力
[1726.26-1730.26] 那近期是否有投资的计划
[1730.26-1735.26] 这题我们有请总经理来为我们说明
[1735.26-1739.26] 今天通讯有幸结合集团的资源来拓展产能
[1739.26-1741.26] 因此在资本支出部分
[1741.26-1744.26] 我们可以做最妥善的应用
[1744.26-1747.26] 针对股利公司会从财务表现成长目标
[1747.26-1749.26] 还有整体市场的趋势
[1749.26-1751.26] 等情况来做通盘的评估
[1751.26-1755.26] 我们会在兼顾公司成长和获益下
[1755.26-1758.26] 将于稳定回馈给股东
[1758.26-1760.26] 谢谢总经理的说明
[1760.26-1764.26] 那目前我们已陆续收到各位的提问
[1764.26-1767.26] 将会于整理后同一座回复
[1767.26-1768.26] 谢谢
[1768.26-1771.26] 谢谢线上各位先进的等待
[1771.26-1772.26] 那因时间有限呢
[1772.26-1775.26] 我们现在将进行最后一轮的回复
[1775.26-1777.26] 那首先呢有朋友问到
[1777.26-1782.26] 想请问Vortex产品线的营运状况及占比展望
[1782.26-1785.26] 这题我们请总经理来为我们分享
[1785.26-1792.26] 我们的Vortex在成立推出之后
[1792.26-1796.26] 除了美国纽澳日本的成功案例之外
[1796.26-1800.26] 那么今年也开始进军英国跟欧洲市场
[1800.26-1805.26] 另外我们将推出结合视觉语言模型VLM的功能
[1805.26-1806.26] 来优化搜寻方式的产品线
[1807.26-1809.26] 以增加使用者的体验
[1809.26-1813.26] 同时Vortex也将持续提供混合云架构的技术方案
[1813.26-1817.26] 来协助客户降低上云的成本
[1817.26-1819.26] 谢谢总经理的分享
[1819.26-1821.26] 那下一题有朋友问到说
[1821.26-1825.26] 能谈谈目前市场竞争对手哪一些
[1825.26-1828.26] 那我们的竞争互成何是什么
[1828.26-1832.26] 这题我们请总经理来为我们分享
[1832.26-1836.26] 在目前技术创新之下
[1836.26-1838.26] 其实要谈竞争
[1838.26-1844.26] 我们与其去看竞争者推出的产品和服务
[1844.26-1846.26] 我们希望能够增加我们的生态系
[1846.26-1849.26] 来增加我们的策略合作伙伴
[1849.26-1851.26] 所以会以合作为主
[1851.26-1853.26] 不过以目前的产业来看
[1853.26-1859.26] 还是以技术趋势在AI还有云服务上面
[1859.26-1864.26] 那以云来说我们目前也开始整合在影像监控以下
[1864.26-1867.26] 影像监控以外的应用
[1867.26-1870.26] 包括门禁管理
[1870.26-1875.26] 还有一些智能建筑这样的一个应用
[1875.26-1879.26] 那至于我们的竞争的互成和
[1879.26-1881.26] 我想天下武功为快不过
[1881.26-1884.26] 我们还是以我们的研发竞争力
[1884.26-1890.26] 尤其在公司内部的研发创新为主
[1890.26-1892.26] 谢谢总经理的详细说明
[1892.26-1893.26] 那接下来这题我们就来谈谈
[1894.26-1896.26] 有朋友问到说
[1896.26-1900.26] 如果接下来产能假设能充分利用的话
[1900.26-1903.26] 可以实现怎么样的收入规模
[1903.26-1907.26] 这题我们同样也请总经理来为我们分享
[1907.26-1913.26] 我们在定我们今年的成长计划之际
[1913.26-1916.26] 我们也盘点了我们的研发支出
[1916.26-1918.26] 还有我们营运上面的投资
[1918.26-1922.26] 刚刚提到我们会结合集团的资源来拓展产能
[1922.26-1923.26] 因此
[1923.26-1928.26] 我们目前的规划是可以满足我们今年成长的需求
[1928.26-1933.26] 以泰国产线预估占今年产值而生来看
[1933.26-1936.26] 其实我们在台湾的产能加上
[1936.26-1940.26] 过去越南海外的产能再加上泰国的产能
[1940.26-1945.26] 这部分是可以满足品牌跟代工客户的需要
[1945.26-1947.26] 谢谢总经理的说明
[1947.26-1950.26] 那接下来这一题有朋友问到说
[1950.26-1952.26] 在美国干净网络计划
[1953.26-1956.26] 以及台湾的资安需求之下
[1956.26-1959.26] 是否能因此接到更多的订单
[1959.26-1962.26] 那各区的销售展望目前为何
[1962.26-1965.26] 这题同样也请总经理来为我们分享
[1965.26-1968.26] 在资安的考量之下
[1968.26-1972.26] 我们确实收到了更多客户的需求
[1972.26-1979.26] 那这一块不光是我们目前正在导入资安系统的认证
[1979.26-1981.26] 同时我们也不断做渗透性对我们的产品跟货币的认证
[1981.26-1982.26] 同时我们也不断做渗透性对我们的产品跟货币的认证
[1982.26-1985.26] 对我们的产品跟服务做渗透性的测试
[1985.26-1988.26] 希望结合我们的技术力
[1988.26-1994.26] 来强化我们产品跟服务的资安抗害或是抗负的能力
[1994.26-1997.26] 谢谢总经理的说明
[1997.26-1999.26] 那接下来有朋友问到说
[1999.26-2001.26] 在川普上任之后
[2001.26-2003.26] 对今年的市场拓展
[2003.26-2007.26] 整体的营运成长的预估是否有所提升
[2007.26-2012.26] 那每家市场目前在市占的比率大概是多少
[2012.26-2015.26] 是否有希望再提升这块份额
[2015.26-2018.26] 这题我们请总经理来为我们分享
[2018.26-2021.26] 在2017年NBA之后
[2021.26-2027.26] 我们就收到这样的一个政策上的帮助
[2027.26-2031.26] 在市场的拓展上也有相当的成果
[2031.26-2034.26] 对我们目前的成长的预估
[2034.26-2036.26] 当然我们也是乐观深圳
[2036.26-2040.26] 那每家市场目前刚有报告过市占率大概是六成
[2040.26-2041.26] 那每家市场目前刚有报告过市占率大概是六成
[2042.26-2044.26] 目前美国是最大
[2044.26-2046.26] 我们关注的最大的市场
[2046.26-2049.26] 我们当然会希望增加投资
[2049.26-2054.26] 来提升我们在美国这边业绩的表现
[2054.26-2056.26] 谢谢总经理的详细说明
[2056.26-2059.26] 那最后一题有朋友问到说
[2059.26-2062.26] 公司在今年有募资计划
[2062.26-2065.26] 集募资的计划为何
[2065.26-2067.26] 那这题请总经理来为我们说明
[2067.26-2070.26] 我们以前看到最大的投资额是
[2070.26-2071.26] 最大的投资额是
[2071.26-2075.80] 它的投资应该还是在AI的开发
[2075.80-2079.62] 还有在海外产能的布局
[2079.62-2081.58] 那刚刚提到
[2081.58-2082.74] 在海外的部分
[2082.74-2084.58] 我们会结合集团的资源
[2084.58-2088.32] 尤其目前在泰国的部分
[2088.32-2090.22] 已经是一个成熟的产地
[2090.22-2093.44] 所以我们在这部分的资金需求
[2093.44-2094.40] 不会太大
[2094.40-2097.52] 今年应该不会有特别的募资计划
[2098.66-2100.16] 谢谢董经理的分享
[2100.16-2103.20] 那今天举行的经费通讯
[2103.20-2105.32] 反说明会到此告一段落
[2105.32-2107.12] 如果各位现场先进
[2107.12-2108.46] 还有任何其他问题
[2108.46-2110.90] 欢迎透过经费通讯的投资人信箱
[2110.90-2111.68] 与我们联系
[2111.68-2113.42] 我们将会尽快回复
[2113.42-2115.66] 那重播以及简报内容
[2115.66-2116.96] 将在会议结束后
[2116.96-2118.54] 更新到经费通讯官网的
[2118.54-2119.68] 投资人服务专区
[2119.68-2121.88] 再次感谢各位今天的参与
