[0.00-12.98] 我们这位同志先听大家好
[1603.62-1609.62] 中海就是小而美的一个料理。
[1609.62-1611.62] 那这几年我们来到,
[1611.62-1613.62] 我们成长动能来自于文化,
[1613.62-1617.62] 那我们就超过可以收受200种非其物的文化层,
[1617.62-1618.62] 列出来,
[1618.62-1621.62] 大概就是这一座。
[1621.62-1625.62] 那中海现在的整个许可量是,
[1625.62-1627.62] 一年的文化属于许可量,
[1627.62-1631.62] 是45,360公顿。
[1631.62-1633.62] 那我们同时具备有热能,
[1633.62-1636.62] 还有炸弹运动,
[1636.62-1637.62] 跟有害护罢,
[1637.62-1640.62] 都是直接建置在自己场内的。
[1641.62-1644.62] 那最后一项是这个Sense,
[1644.62-1648.62] 它是一个控物防制系统。
[1648.62-1651.62] 我们拥有148张,
[1651.62-1652.62] 振造,
[1652.62-1653.62] 价值处理厂,
[1653.62-1654.62] 以及资源回收,
[1654.62-1656.62] 以及这些技术,
[1656.62-1660.62] 我们希望能够供客户全方位的一个非其物处理器。
[1660.62-1665.62] 同时我们也秉持着循环经济的概念,
[1665.62-1667.62] 我们也有做很多的,
[1667.62-1668.62] 像速转式,
[1668.62-1671.62] 像这些用非其物参入的,
[1671.62-1672.62] 做水泥的产品,
[1672.62-1673.62] 或者是购物,
[1673.62-1676.62] 或者是高纯度的同本。
[1676.62-1680.62] 都是希望未来我们的公司,
[1680.62-1682.62] 他们的那些品牌大厂,
[1682.62-1684.62] 在看到三轴山,
[1684.62-1685.62] 好非其物的供应,
[1685.62-1687.62] 非其物的处理上面,
[1687.62-1688.62] 在简单上面,
[1688.62-1691.62] 中台都担有一定的角色在。
[1691.62-1696.62] 在今年年初的时候,
[1696.62-1699.62] 环境部已经供到要做这个,
[1699.62-1700.62] 它要求很多,
[1700.62-1703.62] 很多固定不染排放的产源,
[1703.62-1705.62] 供购了要装置,
[1705.62-1708.62] 去监测自动,
[1708.62-1709.62] 对不起,
[1709.62-1712.62] 公屋的连续自动监测设施,
[1712.62-1714.62] 减震Sense。
[1714.62-1718.62] 这个早在我们三年前,
[1718.62-1719.62] 中台一厂盖的时候,
[1719.62-1722.62] 我们就已经分组装置了。
[1722.62-1724.62] 今年年初,
[1724.62-1727.62] 环境部才要求要开始建制,
[1727.62-1729.62] 这些对比较小的一些,
[1729.62-1731.62] 尤其是环保数据,
[1731.62-1733.62] 会有很大冲击,
[1733.62-1735.62] 也不管是这个设备的建制,
[1735.62-1736.62] 所需要的能力,
[1736.62-1739.62] 或者是它需要的一些资本支出,
[1739.62-1741.62] 以及日常的维运,
[1741.62-1743.62] 其实都会大大的限制,
[1743.62-1745.62] 小型的环保数据,
[1745.62-1747.62] 一种排放量,
[1747.62-1748.62] 这一个的要求,
[1748.62-1749.62] 在过渡期间,
[1749.62-1751.62] 它会慢慢显示,
[1751.62-1753.62] 会慢慢有冲击到一些,
[1753.62-1756.62] 被进入市场的一些。
[1756.62-1758.62] 我们也提早在云端,
[1758.62-1760.62] 跟大禹永区这边做合作,
[1760.62-1762.62] 很多家废弃物,
[1762.62-1765.62] 从清运开始到进场,
[1765.62-1766.62] 到最后处理完,
[1766.62-1768.62] 整整的监控,
[1768.62-1769.62] 然后放在云端,
[1769.62-1771.62] 让客户放心。
[1771.62-1774.62] 我们2018年的时候,
[1774.62-1775.62] 就已经在桃园设厂,
[1775.62-1777.62] 目前三个厂的土地,
[1777.62-1779.62] 有达13000多平,
[1779.62-1780.62] 我们跟,
[1780.62-1782.62] 不管在整个回收的体系,
[1782.62-1783.62] 或者是清除的体系,
[1783.62-1785.62] 关系都非常的好,
[1785.62-1786.62] 也不断的培育,
[1786.62-1787.62] 更多的绿领文材,
[1787.62-1790.62] 在我们这个环保,
[1790.62-1793.62] 这个行业的深耕发展。
[1793.62-1795.62] 最后,
[1795.62-1797.62] 为各位带来五个第一,
[1797.62-1801.62] 让各位记得我们中台市场的地位。
[1801.62-1803.62] 我们是第一个呢,
[1803.62-1804.62] 应该是我们近年来,
[1804.62-1806.62] 全台最大单一的,
[1806.62-1811.62] 四叶废弃物轮胶发电设施,
[1811.62-1813.62] 那也是目前国内唯一,
[1813.62-1816.62] 处理购废弃物的处理区的,
[1816.62-1818.62] 这个公司,
[1818.62-1820.62] 另外我们在传统回收的,
[1820.62-1821.62] 根本市占率呢,
[1821.62-1823.62] 应该是接近90个,
[1823.62-1825.62] 那也算是全台第一,
[1825.62-1827.62] 那另外我们的,
[1827.62-1829.62] 三厂的印刷电路板,
[1829.62-1831.62] 目前也是全循环回收业者,
[1831.62-1833.62] 最具规模的,
[1833.62-1835.62] 因为我们在口头后面,
[1835.62-1836.62] 非常的了解,
[1836.62-1838.62] 所以我们也有独家,
[1838.62-1839.62] 含苟,
[1839.62-1840.62] 图老老,
[1840.62-1841.62] 整治环境工程的专业团队,
[1841.62-1842.62] 那这五个利益类,
[1842.62-1845.62] 希望让投资先进能够了,
[1845.62-1847.62] 认识一下我们,
[1847.62-1848.62] 等下回去的时候,
[1848.62-1850.62] 可以讲一下,
[1850.62-1851.62] 以上,
[1851.62-1854.62] 谢谢各位,
[1854.62-1856.62] 那我们谢谢,
[1856.62-1857.62] 东海市财务长,
[1857.62-1859.62] 也说,
