[0.72-3.08] 各位線上參與的投資先進
[1610.76-1612.76] 那整個目標在2030年能夠成為IC載板的目標
[1612.76-1614.76] 以上是我針對營運面的部分做一個報告
[1614.76-1616.76] 好謝謝李定傳董事及營運長的報告
[1616.76-1620.76] 好謝謝李定傳董事及營運長的報告
[1620.76-1622.76] 那接下來我們將進行Q&A
[1622.76-1624.76] 那接下來我們將進行Q&A
[1624.76-1626.76] 首先我們會針對在會前所收到投資的問題來進行回答
[1626.76-1628.76] 首先我們會針對在會前所收到投資的問題來進行回答
[1628.76-1630.76] 那至於在線上的投資人
[1630.76-1632.76] 那至於在線上的投資人
[1632.76-1634.76] 我在提醒您
[1634.76-1636.76] 如果您有任何想請教公司的問題
[1636.76-1638.76] 如果您有任何想請教公司的問題
[1638.76-1640.76] 我們將在前波的問題回答完之後
[1640.76-1642.76] 我們將在前波的問題回答完之後
[1642.76-1644.76] 我會馬上主持下一步的Q&A
[1644.76-1646.76] 我會馬上主持下一步的Q&A
[1646.76-1648.76] 那我們現在進行會前投資人所做的提問
[1648.76-1650.76] 那我們現在進行會前投資人所做的提問
[1650.76-1652.76] 我這邊的第一題是
[1652.76-1654.76] 想請問公司對2025年的營運展望
[1654.76-1656.76] 想請問公司對2025年的營運展望
[1656.76-1658.76] 及各產品應用的成長是如何排序
[1658.76-1660.76] 及各產品應用的成長是如何排序
[1660.76-1662.76] 及各產品應用的成長是如何排序
[1662.76-1664.76] 如果以紀錄來看
[1664.76-1666.76] 這會是一個逐劑走高的因素
[1666.76-1668.76] 這會是一個逐劑走高的因素
[1668.76-1670.76] 這個題目我來答覆
[1670.76-1672.76] 我想2025年我們整個營收
[1672.76-1674.76] 我想2025年我們整個營收
[1674.76-1676.76] 會較2020年成長
[1676.76-1678.76] 我想四個產品的應用也都會有成長
[1678.76-1680.76] 我想四個產品的應用也都會有成長
[1680.76-1682.76] 尤其在IC載板部分將維持最高的成長力
[1682.76-1684.76] 尤其在IC載板部分將維持最高的成長力
[1684.76-1686.76] 其次就包括伺服器車載、通信、電腦消費、行動通信
[1686.76-1688.76] 其次就包括伺服器車載、通信、電腦消費、行動通信
[1688.76-1690.76] 在手機的部分
[1690.76-1692.76] 消費性電子有較大幅度的成長
[1692.76-1694.76] 特別是在AI帶動
[1694.76-1696.76] 中端產品AI方面應用
[1696.76-1698.76] 需求有增加的期值
[1698.76-1700.76] 需求有增加的期值
[1700.76-1702.76] 自能眼鏡還有日系的遊戲機就有成長
[1702.76-1704.76] 自能眼鏡還有日系的遊戲機就有成長
[1704.76-1706.76] 電腦及周邊的預期AI PC、Tablet
[1706.76-1708.76] 電腦及周邊的預期AI PC、Tablet
[1708.76-1710.76] 帶動中端電子產品需求也會成長
[1710.76-1712.76] 在硬板的部分
[1712.76-1714.76] 2025年成長的動能
[1714.76-1716.76] 主要來自於AI SERVO跟AI PC
[1716.76-1718.76] 主要來自於AI SERVO跟AI PC
[1718.76-1720.76] 光膜塊營收持續成長
[1720.76-1722.76] 以及CSP的自研晶片的機種
[1722.76-1724.76] AI加速卡
[1724.76-1726.76] 進入小量生產階段
[1726.76-1728.76] 進入小量生產階段
[1728.76-1730.76] 後續目標
[1730.76-1732.76] 增加指客戶其他AI SERVO的
[1732.76-1734.76] 增加指客戶其他AI SERVO的
[1734.76-1736.76] 自研晶片機種量產訂單
[1736.76-1738.76] 在車載客戶的ADS主板量產
[1738.76-1740.76] 在車載客戶的ADS主板量產
[1740.76-1742.76] 在車載客戶的ADS主板量產
[1742.76-1744.76] 目前車載HDI跟RPCB機種
[1744.76-1746.76] 目前車載HDI跟RPCB機種
[1746.76-1748.76] 已經入系轉量產
[1748.76-1750.76] 一起2026年跟2028年
[1750.76-1752.76] 會擴大更多的車款
[1752.76-1754.76] 會擴大更多的車款
[1754.76-1756.76] 在軟板應用上的智能演習
[1756.76-1758.76] 在軟板應用上的智能演習
[1758.76-1760.76] 將會有倍數成長
[1760.76-1762.76] GAM的部分也會有倍數成長
[1762.76-1764.76] 新能源跟儲能方面也會有倍數成長
[1764.76-1766.76] 我想今年整體而言
[1766.76-1768.76] 我想今年整體而言
[1768.76-1770.76] 雖然人為淡季
[1770.76-1772.76] 但是下半年也會足跡
[1772.76-1774.76] 左高的氣勢是不變的
[1774.76-1776.76] 我想過往我們大概都是
[1776.76-1778.76] 氣勢都是不變的
[1778.76-1780.76] 謝謝各位
[1780.76-1782.76] 謝謝董事長的說明
[1782.76-1784.76] 第二個投資人提問是
[1784.76-1786.76] 若2025年營收持續成長
[1786.76-1788.76] 若2025年營收持續成長
[1788.76-1790.76] 毛利率會應該是如何預期呢
[1790.76-1792.76] 毛利率會應該是如何預期呢
[1792.76-1794.76] 今年客戶價格壓力是否大於去年
[1794.76-1796.76] 今年客戶價格壓力是否大於去年
[1796.76-1798.76] 今年客戶價格壓力是否大於去年
[1798.76-1800.76] 這個部分由我來回答
[1800.76-1802.76] 這個部分由我來回答
[1802.76-1804.76] 我想我們的目標是
[1804.76-1806.76] 保持2024年的一個水準
[1806.76-1808.76] 保持2024年的一個水準
[1808.76-1810.76] 毛利率
[1810.76-1812.76] 整體的我想價格的壓力是大於2024年
[1812.76-1814.76] 整體的我想價格的壓力是大於2024年
[1814.76-1816.76] 主要因為2025年我想原物料
[1816.76-1818.76] 主要因為2025年我想原物料
[1818.76-1820.76] 上漲的壓力
[1820.76-1822.76] 結合我們持續的投資
[1822.76-1824.76] 我想在折舊面跟研發也會增加
[1824.76-1826.76] 我想在折舊面跟研發也會增加
[1826.76-1828.76] 因為整個包含我們幾個新的園區
[1828.76-1830.76] 包含剛談的大陸的產能增加的投資
[1830.76-1832.76] 包含剛談的大陸的產能增加的投資
[1832.76-1834.76] 還有高雄AI的園區
[1834.76-1836.76] 跟泰國的園區
[1836.76-1838.76] 這幾個部分都會持續的加入
[1838.76-1840.76] 這幾個部分都會持續的加入
[1840.76-1842.76] 所以剛整體上來講
[1842.76-1844.76] 例如剛講的軟板這些園區
[1844.76-1846.76] 還有原物料的漲價
[1846.76-1848.76] 還有新資的部分
[1848.76-1850.76] 不過整體上來講
[1850.76-1852.76] 我想各個產品線
[1852.76-1854.76] 剛董事長也談到
[1854.76-1856.76] 我們整個產品線都會比去年營業好
[1856.76-1858.76] 各個產品線也
[1858.76-1860.76] 也運用在數位轉型相關的部分
[1860.76-1862.76] 也運用在數位轉型相關的部分
[1862.76-1864.76] 我們都持續在有一些突破
[1864.76-1866.76] 所以目標還是能夠
[1866.76-1868.76] 維持2024年的水準
[1868.76-1870.76] 維持2024年的水準
[1870.76-1872.76] 大概以上我做一個簡要說明
[1872.76-1874.76] 大概以上我做一個簡要說明
[1874.76-1876.76] 謝謝營運長的說明
[1876.76-1878.76] 第三個投資人提問是
[1878.76-1880.76] 第三個投資人提問是
[1880.76-1882.76] 真鼎將於泰國開出磁輻器
[1882.76-1884.76] 車載光通訊產能
[1884.76-1886.76] 車載光通訊產能
[1886.76-1888.76] 高雄也公告將建置ABF
[1888.76-1890.76] 高雄也公告將建置ABF
[1890.76-1892.76] 於硬板產能
[1892.76-1894.76] 請問未來公司將如何配置
[1894.76-1896.76] 不同園區的客戶與產品
[1896.76-1898.76] 同時從目前與客戶的接觸來看
[1898.76-1900.76] 同時從目前與客戶的接觸來看
[1900.76-1902.76] 對這些新產能初步的需求
[1902.76-1904.76] 及成長潛力如何
[1904.76-1906.76] 及成長潛力如何
[1906.76-1908.76] 我想幾個園區的分工合作
[1908.76-1910.76] 我想幾個園區的分工合作
[1910.76-1912.76] 發揮最大的區域效益
[1912.76-1914.76] 發揮最大的區域效益
[1914.76-1916.76] 我想這是我們的目的
[1916.76-1918.76] 我想這是我們的目的
[1918.76-1920.76] 我想最近針對這些的規劃
[1920.76-1922.76] 我想最近針對這些的規劃
[1922.76-1924.76] 客戶也非常支持
[1924.76-1926.76] 我們這樣的分配
[1926.76-1928.76] 我想中國的廠區
[1928.76-1930.76] China for China
[1930.76-1932.76] 量大駕成熟的產品
[1932.76-1934.76] 跟一些車載的產品
[1934.76-1936.52] 是最大的市場跟製造地
[1936.52-1937.80] 那對臺灣來講
[1937.80-1940.40] 我們聚焦在一些超高階的產品
[1940.40-1944.96] 硬仿的部分是大概聚焦在一些36層到80層
[1944.96-1949.48] 那客戶的合作高階的技術創新的孵化地
[1949.48-1954.36] 那不只不會Focus在整個大量的產量的部分
[1954.36-1958.38] 那Focus在新技術的研發跟成熟
[1958.38-1962.00] 跟整個開發的部分
[1962.00-1966.78] 那成熟在移轉到大陸跟泰國這個整個的園區
[1966.78-1969.44] 那對泰國園區來講
[1969.44-1970.94] OOC需求的大量
[1970.94-1975.94] 是我們OOC大量需求的整個大量的生產廠區
[1975.94-1979.22] 那聚焦在成熟製程成熟產品
[1979.22-1982.56] 那基本上在這樣的策略之下
[1982.56-1985.64] 目前我們跟相關的客戶的合作
[1985.64-1988.14] 陸續以這樣的策略進行
[1988.14-1990.84] 以上說明
[1992.00-1994.00] 好謝謝餘營長說明
[1994.00-1996.00] 下一個投資人提問是
[1996.00-2001.84] 請問公司在AI Server產品的佈局及規劃
[2001.84-2006.08] 真頂是否已參與GB300或是Rubin
[2006.08-2008.32] 四世代產品的開發呢
[2008.32-2011.88] 這個也由我來說明
[2011.88-2016.08] 我想AI服務器方面我們在過去這幾年
[2016.08-2019.18] 動用了不少的resource在做這一塊
[2019.18-2021.98] 那也陸續有一些成績閃現
[2021.98-2026.58] 那AI服務器的佈局主要有兩大雲端客戶
[2026.58-2028.98] 從Server延伸到ASIC
[2028.98-2032.74] FPGA的自研晶片產品的部分
[2032.74-2035.54] 那Switch跟Optical Module的部分
[2035.54-2038.62] 則是下一階段的一個重點
[2038.62-2040.92] 那串聯整個AI的架構
[2040.92-2045.02] 提供整個資料中心所需的完整的PCB的方案
[2045.02-2046.56] 那這個也是為什麼
[2046.56-2049.88] 剛談到我們成立高雄的AI中心
[2049.88-2051.98] 去整合所有的這些的方案
[2051.98-2055.56] 給客戶一個One-Star Shopping的部分
[2055.56-2059.14] 那此外也同步延伸晶片的客戶需求
[2059.14-2062.48] 如OAM跟UBB的需求
[2062.48-2066.82] 那同樣透過提供PCB完整的方案開發中
[2066.82-2069.38] 我想這個部分增給的重要客戶
[2069.38-2072.98] 陸續的進展也有一個問題
[2072.98-2074.50] 謝謝
[2076.56-2079.12] 好謝謝雲長說明
[2079.12-2081.68] 下一個問題是面對
[2081.98-2085.06] ASIC的需求成長
[2085.06-2087.62] 公司參與程度如何
[2087.62-2090.18] 了解了哪些的機會
[2090.18-2093.76] 另外請問目前美系CSP客戶
[2093.76-2096.82] AI ASIC相關產品
[2096.82-2100.16] 比如說UBB的發展為何
[2100.16-2106.30] 另外ASIC板子與NVIDIA板子的差異大概是怎麼樣
[2106.30-2107.84] 我想我
[2107.84-2109.62] 還是由我來做一個
[2109.62-2111.16] 簡要的報告
[2111.16-2111.68] 載板
[2111.68-2116.80] 我想載板方面ASIC市場的開發一直是我們的開發工作點
[2116.80-2118.84] 所以我們也掌握了國內外
[2118.84-2120.12] ASIC大客戶
[2120.12-2123.46] 那過去幾年也有一些顯著的成長
[2123.46-2127.04] 那隨著陸陸續續產品通過認證
[2127.04-2130.88] 那量產後整個貢獻也會越來越多
[2130.88-2134.20] 那我想高雄的載板也補上了原先
[2134.20-2137.02] 客人對Out of China的一個
[2137.02-2138.30] 需求的不足
[2138.30-2139.84] 那在硬板面的部分
[2139.84-2141.38] 卸有兩大雲端的
[2141.68-2142.70] 產品業者
[2142.70-2145.26] 除了AI平台的PCB業務以外
[2145.26-2146.80] 相關的ASIC
[2146.80-2149.36] 的案件我想曾領也有參與
[2149.36-2150.90] 那指標的客戶
[2150.90-2152.94] 開發也有所掌握
[2152.94-2155.50] 那現在兩大雲端的
[2155.50-2159.86] 客戶已經加速發展整個AI ASIC相關的產品
[2159.86-2161.90] 那我們配合客戶策略
[2161.90-2163.96] 提供PCB的完整方案
[2163.96-2165.48] 那並加速
[2165.48-2167.28] 全球生產的佈局
[2167.28-2168.30] 尤其
[2168.30-2171.38] 剛談到研發以高雄硬板為主
[2171.68-2173.48] 然後整個大量量產
[2173.48-2175.78] 以大陸跟那個泰國為主
[2175.78-2178.34] 那結合我們在智慧工廠
[2178.34-2179.88] 過去的智慧工廠
[2179.88-2183.20] 我想尤其在這些大板材的部分
[2183.20-2186.52] 他要求的是Diffidentity的降低
[2186.52-2188.06] 所以我們過去在
[2188.06-2190.12] 整個智能工廠廠房的規劃
[2190.12-2192.42] 這也能夠符合客人的需求
[2192.42-2193.18] 所以
[2193.18-2196.00] 我想不同的客戶所需的板子設計
[2196.00-2199.84] 會隨著AI晶片跟服務器功能有所差異
[2199.84-2201.64] 那我們也提供客人
[2201.68-2204.24] 各方面的一個需求
[2204.24-2207.06] 那現在無論客戶設計取向於
[2207.06-2209.10] 例如說可能是High-Light Comp
[2209.10-2211.40] 或Light High-Light Comp加HDI
[2211.40-2213.96] 我想因為我們過去在HDI
[2213.96-2216.02] 高階HDI方面的實力
[2216.02-2219.34] 可以提供客人最佳的一個方案
[2219.34-2220.12] 謝謝
[2223.70-2226.26] 謝謝 謝謝營運長的說明
[2226.26-2227.28] 再來是
[2227.28-2231.38] 請問2025年ABF與BT載板
[2231.68-2234.50] 的市場展望如何
[2234.50-2235.26] 另外
[2235.26-2237.06] 整體今年載板業務
[2237.06-2240.38] 人會有高於產業平均的成長嗎
[2240.38-2241.66] 那最後
[2241.66-2243.72] 近期ABF與BT
[2243.72-2245.76] 分別取得哪些新客戶
[2245.76-2250.88] 主要客戶的拉貨展望如何
[2250.88-2253.18] 這個有我來說明
[2253.18-2257.02] 我想2024年整體產業雖然我們剛剛
[2257.02-2260.60] 我們是有70%以上的成長
[2260.60-2261.64] 那整體的產業
[2261.64-2263.68] 不管ABF與BT
[2263.68-2265.74] 其實它的市場是不好的
[2265.74-2267.78] 那2025年我想
[2267.78-2270.08] 會稍微有一些成長
[2270.08-2273.16] 整體因為AI運用的帶動下
[2273.16-2275.72] ABF的成長會高於BT
[2275.72-2279.04] 那整個我們公司在載板業務
[2279.04-2281.36] 因為我們過去的耕耘
[2281.36-2282.38] 我們在BT
[2282.38-2284.68] 跟ABF智能化的工廠
[2284.68-2285.70] 我們高品質
[2285.70-2287.76] 所有客人只要來到我們工廠
[2287.76-2288.78] 對我們都是
[2288.78-2291.60] 非常認同我們過去在這方面的
[2291.64-2293.18] 耕耘的耕耘
[2293.18-2297.28] 所以我們在高品質高良率高效率的加持下
[2297.28-2300.08] 2025年我們載板成長率
[2300.08-2302.90] 能然高於業界的水準
[2302.90-2307.00] 那整個載板我想主要的半導體客戶是
[2307.00-2310.32] 分布在美國歐洲跟亞洲地區
[2310.32-2313.14] 那也因應這樣的需求我們除了
[2313.14-2315.44] 原先的秦華島的BT
[2315.44-2318.00] 跟深圳的ABF工廠我們也在
[2318.00-2321.08] 剛剛講高雄成立的Future BGA工廠
[2321.64-2325.48] 那整個目前大客戶的開發一直是我們的重點
[2325.48-2327.28] 那這個也陸續
[2327.28-2328.80] 有一些展貨
[2328.80-2331.88] 各位後續也可以在我們2025年的
[2331.88-2336.74] 整個載板的那個營運的成長的部分也會看到這方面的成績
[2336.74-2339.56] 所以我想今年的成長預期來自
[2339.56-2344.16] 這些新客戶跟新產品的貢獻也會非常的大
[2344.16-2346.72] 以上說明
[2346.72-2349.54] 好謝謝營運長的說明
[2349.54-2351.60] 在下一個問題想請教的是
[2351.64-2354.46] 川普2.0
[2354.46-2357.52] 對於關稅及科技管制
[2357.52-2360.86] 新措施對於增頂的可能影響為何
[2360.86-2365.20] 客戶是否有要求供應商吸收關稅成本
[2365.20-2365.98] 另外
[2365.98-2369.04] 在美國關稅政策下
[2369.04-2372.12] 增頂除了投資泰國與高雄外
[2372.12-2376.22] 是否還會考慮投資其他的區域呢
[2376.22-2379.54] 這部分我想我來答覆說明
[2379.54-2381.60] 我想公司持續
[2381.64-2383.68] 關注國際貿易政策的變化
[2383.68-2385.74] 我想這是在
[2385.74-2387.28] 管理上必須要做到的事情
[2387.28-2391.88] 而且我們也透過全球化的佈局跟客戶的共同優化
[2391.88-2397.26] 供應的韌性我想我們規劃多元生產基地跟技術
[2397.26-2401.36] 是所謂備援方案來確保服務客戶不受單一地區的一個
[2401.36-2403.92] 政策的影響我想我們都隨時在
[2403.92-2406.22] 做這個措施
[2406.22-2410.56] 那關於第二點就是關於就是針對關稅的變動部分
[2410.56-2411.60] 我想這些到目前為止
[2411.64-2415.74] 其實也不豎迷你但是我們跟客戶都一直保持一個
[2415.74-2417.52] 透明的一個溝通
[2417.52-2420.34] 並以長期合作為基礎協商合理
[2420.34-2421.88] 成本分攤的機制
[2421.88-2427.52] 同時透過自成創新跟自動化提升的效力來維持我們的競爭力
[2427.52-2430.84] 那公司呢長期投入高階技術的研發
[2430.84-2434.16] 並以國際設備材料商建立多元
[2434.16-2439.28] 供應商體系我想能為有效因應技術管制的挑戰確保客戶
[2439.28-2441.60] 產品藍圖不受影響
[2441.64-2444.72] 那川普O.0政策將加劑
[2444.72-2449.84] 區域化的供應鏈跟成本轉嫁的壓力但是公司可藉由提前分散產能
[2449.84-2453.68] 剛剛特別談到強化技術的話以前以及彈性
[2453.68-2455.72] 客戶的協商將風險
[2455.72-2456.74] 轉化為
[2456.74-2463.40] 鞏固市場在有力的機會我想關鍵在於我們能快速執行既定的一個全球化的補給
[2463.40-2468.00] 並維持在高階的這個PCB領域的不可替代性
[2468.00-2471.60] 那中短期來說的話我想我們還是專注
[2471.64-2476.50] 在海外部分打造泰國延期為區域的一個製造中心
[2476.50-2483.68] 暫時沒有考慮到別的區域再進行投資謝謝
[2483.68-2486.24] 好謝謝董事長的說明
[2486.24-2490.84] 那以上的是我們於會前所收到所有投資人的提問
[2490.84-2495.20] 那接下來我們將開放線上各位投資先進進行提問
[2495.20-2497.24] 再提醒線上投資人
[2497.24-2498.26] 歡迎大家
[2498.26-2501.60] 您如果有任何問題的話您可以在聊天之後
[2501.64-2505.22] 聊天室中來輸入您的問題我們現在開始
[2505.22-2508.04] 來回答這個線上的問題
[2508.04-2511.36] 第一個問題是有關產品的問題
[2511.36-2512.64] 請問
[2512.64-2514.18] 摺疊機的軟板
[2514.18-2515.20] HDI
[2515.20-2517.26] 與一般手機
[2517.26-2518.54] 有何不同
[2518.54-2520.84] 那生產技術的門檻
[2520.84-2524.16] 或者是關鍵是在什麼地方
[2524.16-2531.34] 這個部分由我來做說明我想摺疊機因為它需要摺疊嘛
[2531.64-2535.48] 所以它在軟板的特殊材料的技術
[2535.48-2539.84] 是跟一般非摺疊機是不太一樣的那過去
[2539.84-2545.72] 我們真鼎在LDEP就整個那個摺疊機方面我想是一個領先的廠商
[2545.72-2548.28] 所以現在不管是哪
[2548.28-2553.40] 現在市場的一些主流的一些摺疊機我想我們都是
[2553.40-2555.70] 主要的供應方
[2555.70-2558.52] 那整個硬板的部分因為
[2558.52-2561.34] 摺疊嘛那它需要比較薄
[2561.64-2563.94] 它的整個設計上在那個
[2563.94-2570.60] 整個輕薄短小的部分確實也有一些部分那所以這也連結到高階的HDI的
[2570.60-2575.72] 相關的技術那過去因為我們在類材板相關的技術
[2575.72-2582.12] 還有一些整個那個SIP的相關的技術也因應我們這些技術運用在這些
[2582.12-2585.96] 摺疊相關的產品上面有一些領先的優勢
[2585.96-2587.24] 大概
[2587.24-2588.78] 以上是我的說明
[2591.64-2592.66] 好
[2592.92-2593.94] 謝謝營運長說明
[2594.72-2599.58] 下一個線上投資人提問的問題是想請問公司經營層
[2599.84-2602.40] 泰國巴征府一起折舊
[2602.64-2605.72] 是否於5月試產開始認聯
[2606.74-2612.88] 這部分我想我要答覆我想我們公司一直堅守的所謂的一個
[2613.14-2616.48] 這個會計原則只要一開始生產我們就提折舊
[2616.72-2618.26] 這是到目前為止我想
[2618.52-2621.60] 包括過去這幾年我們在載板這一塊我們也都說
[2621.90-2622.66] 是這樣子所以
[2622.92-2626.00] 為什麼我們的折舊會用去年達到177個億
[2626.24-2631.36] 大家都可以看到看到就是我們已經遵守這個規範
[2632.64-2635.20] 都是前後一致在處理這個事情
[2637.26-2638.80] 好謝謝董事長說明
[2640.08-2641.86] 下一個投資人的提問是
[2642.64-2643.40] 高雄
[2643.92-2647.24] AI園區所投入的這個設備
[2647.76-2650.32] 預計何時開始投入生產呢
[2652.16-2657.28] 這個部分我來做說明那高雄整個
[2657.52-2663.16] AI園區有三個產品線那軟板的部分我們已經進入了整個
[2663.42-2665.20] 試產的一個階段
[2665.46-2671.60] 那再來就是載板的部分設備陸續在Q3
[2671.86-2676.98] 整個裝機那我們預期到Q4到年底會有一些試產
[2677.24-2681.34] 硬板的部分也大概跟載板的時間大概差一個月
[2681.64-2687.78] 時間左右那現在幾個產品線就陸續如火如荼在進行那所以整個大的
[2688.04-2691.36] 經營成效會在2026年到2027年
[2693.16-2693.68] 以上
[2695.72-2697.52] 好謝謝殷院長回答
[2698.28-2699.56] 下一個投資人提問是
[2701.10-2702.38] 請教經營團隊
[2702.88-2707.76] 方才有提到2025年的研發費用會持續提升
[2708.00-2709.28] 那2025年
[2709.54-2711.60] 整體的營業費用預期
[2711.90-2713.94] 大約會提升多少幅度呢
[2716.00-2717.78] 我想營業費用這一塊
[2718.30-2721.12] 這個我們應該跟我們的營收的比例
[2721.36-2723.92] 差不多相接近比例差不多相接近
[2724.18-2728.28] 也就是說我的營收成長多少大概相對的比例大概都差不多
[2735.70-2737.24] 好謝謝董事長回答
[2737.50-2739.54] 下一個投資人提問是
[2739.80-2740.32] 請問
[2740.56-2741.60] 4Q24
[2741.90-2743.94] 的折舊大約是多少
[2744.20-2746.24] 那Gross Profit Margin
[2746.50-2749.58] 的環比下滑的主要原因是什麼
[2751.36-2753.68] 這部分就是折舊費用
[2753.92-2754.44] 4Q
[2755.72-2757.76] 4Q折舊費用的下滑
[2759.04-2763.66] 還有那個有關Gross Profit Margin環比下滑的原因是什麼
[2765.96-2771.60] 4Q這部分的折舊的下滑是因為我們那個設備啊
[2771.90-2774.72] 這個時程的話有所不一樣
[2775.22-2777.28] 所以在4Q的時候新設備
[2777.52-2780.86] 這邊提的折舊跟已經提完設備的折舊的話
[2781.12-2785.20] 都沒有差異所以4Q的話就沒有這個差異
[2785.46-2788.02] 那Gross Profit的部分的話
[2791.10-2793.14] Gross Profit的話因為我們
[2793.66-2796.48] 基本上來講的話那就是去年第四季的話
[2796.72-2797.76] 整個營收的話是
[2798.00-2799.28] 非常非常的高
[2799.54-2801.60] 所以整個營收的部分的話
[2801.90-2803.18] 是有一個經濟對盤的效益
[2803.44-2807.28] 那今年的第四季的話稍稍有點比較
[2807.52-2811.12] 稍微緩下來一點點所以這個部分有受到一些的影響
[2811.36-2813.92] 那至於其他的部分的話其實是比較
[2814.18-2815.20] 變異不大
[2817.76-2820.32] 差不多一趟
[2820.58-2822.12] 零年級
[2824.68-2826.22] 好謝謝蔡部長的說明
[2826.48-2828.78] 那我們進行下一個線上投資人提問
[2829.80-2831.34] 想詢問有關一些
[2831.90-2833.44] 目前在手機市場的問題
[2833.94-2835.48] 因為根據通路
[2836.00-2837.28] 查訪的結果
[2837.52-2841.62] 貌似有一家美系手機大廠預計
[2841.88-2842.40] 在
[2842.90-2844.18] 3Q26
[2844.70-2845.98] 進入折疊機市場
[2846.48-2848.02] 目前從組裝廠
[2848.54-2850.58] 三星面板以及
[2850.84-2853.66] 相關熟成廠商那邊得知
[2853.92-2855.96] 進度正如火如荼進行
[2856.48-2859.04] 而且大概率在3Q26
[2859.54-2861.08] 發表新折疊機
[2861.08-2863.12] 想請問公司這部分的
[2863.64-2864.40] 軟硬板
[2864.66-2865.68] 有什麼準備
[2866.20-2869.52] 那目前送讓給客戶測試的狀況如何
[2869.78-2871.58] 有預計要擴展嗎
[2872.60-2878.74] 我想因為不方便評估單一客戶的一個狀況
[2879.00-2881.04] 不過就剛報告的就說
[2881.30-2886.42] 我們在折疊方面不管軟板啊相關的技術方面都是
[2886.68-2889.50] 客戶的首選那相關的一些
[2889.76-2891.04] 技術研發相關的
[2891.34-2893.64] 一些打樣啊我們一定會
[2893.90-2896.46] 會參與相關的這些的活動
[2898.76-2900.30] 好謝謝營運長的說明
[2901.32-2903.12] 下一個現場投資人提問是
[2903.36-2905.68] 想請教公司經營團隊
[2905.92-2909.76] 過去公司營收表現成長率皆優於平均
[2910.02-2911.56] 那2025年
[2911.82-2913.36] 全年營收成長
[2913.60-2915.66] 有機會超過雙位數嗎
[2917.70-2918.98] 這部分我的答覆
[2919.24-2921.04] 我想目前我們
[2921.34-2922.62] 應該會比
[2923.12-2926.96] 所謂的一個PRISMA公告的增長率會高但是
[2927.22-2931.58] 能不能超過雙位數這時候我們還沒有辦法把握的但是一定是在這個數字之上
[2932.08-2935.16] 因為這個整個變化還是相當大的
[2936.44-2941.30] 我可以簡單報告一下就是各位可以看到12月份我們去年
[2941.56-2945.66] 12月跟今年12月我們YY其實大概19到20%
[2945.92-2948.98] 我們都照著整個一些Tempo在進行
[2949.24-2950.78] 跟市場的環境有關係
[2951.34-2952.10] 那我看
[2955.44-2957.22] 我們目標是這樣子沒錯
[2960.80-2963.62] 謝謝董事長及營運長的回答
[2964.14-2966.18] 那下一個投資人提問是
[2966.70-2969.00] 請問美系大客戶晶片
[2969.52-2971.82] 若轉採用TPU
[2972.32-2974.12] 對於增頂的業務機會
[2974.64-2975.14] 如何
[2975.40-2978.22] 對於公司的業務有何大概的影響
[2981.08-2982.88] 這個我來
[2983.38-2985.94] 就是簡單做一個回答我想
[2986.46-2992.34] 美系的大客戶如果在AI手機芯片採用整個TPU的部分
[2992.60-2998.74] 我想對業務方面新型的PCB的需求因為會帶來一些不同的PCB的設計
[2999.26-3001.56] 例如說高頻高速訊號
[3001.82-3005.66] 然後更高的一些功耗的管理那促使客人對
[3005.92-3008.72] HDI SLP或ABF有更高
[3008.98-3010.52] 規格的一個需求
[3010.52-3012.56] 那這個是技術層次會
[3012.82-3016.92] 會提升喔那也會加速AI相關的一些運用
[3017.18-3018.96] H端的AI相關運用
[3019.22-3023.32] 那如果運用在AI手機方面也會帶動AI芯片
[3023.58-3027.16] 及相關產品的一些同步的發展那這個也會
[3027.42-3031.26] 帶動增頂在這方面擴展AI相關的一個佈局
[3032.02-3032.80] 那所以
[3033.04-3036.38] 整體的部分對PCB我是覺得這是看好了
[3036.88-3038.16] 那整體上來講
[3038.68-3040.48] 轉向所有的新的商機
[3040.78-3041.80] 我想我們也積極
[3042.06-3045.12] 對應AI相關晶片封裝的一個趨勢
[3045.38-3048.72] 那提升我們在高階PCB產線啊
[3048.96-3051.02] 例如說現在的BT的線
[3051.28-3055.88] 或是ABF的線或是SLP來掌握這個這一波的
[3056.14-3057.42] 整個變革的機會
[3058.44-3058.96] 謝謝
[3062.02-3063.56] 好謝謝營運長說明
[3064.32-3065.86] 下一個投資人提問是
[3066.12-3069.44] 公司是否有出貨給網通switch
[3070.52-3071.04] 或有
[3071.28-3072.32] 可否說明
[3073.08-3077.94] 目前產品的規格以及未來發展的方向以及出貨的進度
[3079.22-3082.04] 這個也有我來說明
[3082.30-3087.42] 我想我們已經具備整個switch網通的一個能力
[3087.68-3088.70] 所以為什麼
[3088.96-3094.32] 除了現有的工廠我們在高雄的AI中心要建置從36層板
[3094.58-3099.20] 到最高階甚至於到80層板的一個技術能力去成為
[3099.44-3100.22] 我們未來
[3100.52-3104.36] 成為高階switch客戶的一個合作的一個重點
[3104.88-3107.44] 那現在我們跟雲端的前期engaged
[3107.94-3109.22] 那除了
[3109.48-3111.78] 在高雄以外我想泰國啊
[3112.04-3114.34] 還有現有的那個工廠
[3114.60-3118.44] 能夠有一些更高的合作那這一塊的部分因為
[3118.70-3121.26] 他的技術就剛談到的從high-resurrect
