[0.00-3.54] 大家午安,我是APP科技財務長林玉欣。
[1720.46-1723.52] 下一个提问的问题
[1723.52-1726.34] 多层堆叠的BHM Stake
[1726.34-1728.64] 现在可以叠到几层?
[1728.64-1731.72] 主要是跟哪几家晶圆厂合作?
[1731.72-1735.82] 现有DWM制程能够符合客户需求吗?
[1735.82-1736.84] 这个问题我来回答
[1736.84-1738.88] 我是陈文良
[1738.88-1742.22] BHM Stake目前四层和八层都在开发中
[1742.22-1744.00] 但是都还没有量产
[1744.00-1746.30] 目前DWM本身的堆叠
[1746.30-1748.62] 主要在立体店
[1748.62-1750.14] DWM和罗技的堆叠
[1750.14-1752.20] 在罗技晶圆厂
[1752.20-1756.30] 现有DWM是可以满足目前的概念验证和初期产品需求的问题
[1756.34-1758.64] 当然DWM的容量越大越好
[1758.64-1763.76] 所以未来我们会采用市场上更先进的DWM晶圆
[1763.76-1765.82] 下一个提问的问题
[1765.82-1768.38] BHM在新一代矿机的应用
[1768.38-1771.70] 2024年下半年又明显营收构限
[1771.70-1774.26] 怎么看2025年的出货
[1774.26-1778.36] 能够持续多久?
[1778.36-1782.70] 2025年我们在矿机部分还是会持续的出货
[1782.70-1786.30] 但是加密货币矿机应用的
[1786.34-1788.90] 这个市场变化比较快
[1788.90-1790.18] 波动也比较大
[1790.18-1791.72] 这个市场
[1791.72-1793.00] 还是会持续的
[1793.00-1794.54] 只要我们持续的投入
[1794.54-1796.58] 也会有进一步的成长
[1796.58-1799.14] 谢谢
[1799.14-1801.18] 下一个提问的问题
[1801.18-1805.02] 艾普在AI HPC布局多个产品线
[1805.02-1809.38] 这些产品线是否会受到美国禁令的影响?
[1809.38-1810.92] 好的
[1810.92-1816.30] 目前美国出口法规没有明确地针对我们的产品类型做限制
[1816.30-1820.14] 所以对我们的直接影响是比较小的
[1820.14-1823.98] 但是在出口法规频繁变化的情况下
[1823.98-1826.28] 不只对供应链造成了压力
[1826.28-1831.14] 也对亚洲及欧美客户的开发计划增添很大的不确定性
[1831.14-1831.92] 于是
[1831.92-1834.22] 间接的对我们产生了影响
[1834.22-1839.34] 我们会持续关注后续美国规定的调整
[1839.34-1840.36] 请问
[1840.36-1844.20] 目前BHM POC的数量及进度
[1844.20-1846.26] Denon Inc主要的应用领域是
[1846.30-1849.62] 预计量产时程?
[1849.62-1852.18] 目前的POC不止一个
[1852.18-1855.00] 但是我们也没有余力界太多
[1855.00-1856.80] 通过这些POC项目
[1856.80-1859.86] 我们已经跟客户开始做产品的design
[1859.86-1861.14] 如果顺利
[1861.14-1863.70] 今年可以完成第1个
[1863.70-1866.26] 产品设计
[1866.26-1867.80] 下一个提问的问题
[1867.80-1871.38] 请教公司Interposer目前的开案数量
[1871.38-1873.70] 有多少已经量产?
[1873.70-1876.26] Basic Model是采WiFi sales吗?
[1876.30-1879.88] 会考虑采用IP授权金模式吗?
[1879.88-1884.24] 是否有与其他晶圆厂合作的机会?
[1884.24-1886.54] 好的,这一题由我来回答
[1886.54-1888.84] Interposer有十多个专案
[1888.84-1890.90] 已经在进行当中
[1890.90-1893.20] 有几个已经进入量产
[1893.20-1897.80] 今年陆续会有其他的专案也加入量产当中
[1897.80-1899.34] Interposer的商业模式
[1899.34-1901.14] 现在目前有WiFi sales
[1901.14-1902.42] 以及IP licensing
[1902.42-1903.70] 两种都有
[1903.70-1906.26] 目前贡献营收的主要是WiFi sales
[1906.30-1911.68] 但是IP licensing的revenue也会逐渐的增加
[1911.68-1915.52] 在Interposer的制程以及相关的IP开发
[1915.52-1918.84] 我们是需要许多的资源投入
[1918.84-1923.20] 我们在PSMC的Interposer刚刚才进入量产
[1923.20-1927.04] 目前我们还是先专注于把现有的客户服务好
[1927.04-1931.64] 未来不排除与其他的Faith合作
[1931.64-1933.18] 下一个问题
[1933.18-1935.74] 请问细电容Interposer
[1935.74-1938.30] Embedded in Subtrade
[1938.30-1940.10] Landsite这些项目
[1940.10-1943.94] 经明年预计的营收贡献percentage
[1943.94-1945.72] 主要应用
[1945.72-1948.54] 我想这一题是不是
[1948.54-1953.14] 请我们业务薛副总来回答
[1953.14-1955.46] 对刚刚提到
[1955.46-1956.98] Interposer
[1956.98-1960.58] 已经进入量产阶段
[1960.58-1963.64] 在今年会有显著的营收贡献
[1963.64-1965.70] 那Embedded in Subtrade
[1965.74-1969.32] 则是今年年底就会开始量产
[1969.32-1971.88] 对今年的营收贡献
[1971.88-1973.16] 会比较有限
[1973.16-1974.70] 但是未来会
[1974.70-1975.72] 很看好
[1975.72-1978.02] 那整体来说去年
[1978.02-1980.08] 细电容营收占比
[1980.08-1981.10] 约莫
[1981.10-1983.40] 是5%上下
[1983.40-1987.50] 今年我们预期会来到二位数的占比
[1987.50-1990.58] 这些应用都是AI HPC
[1990.58-1994.16] 云端运算等领域的应用
[1994.16-1995.44] Landsite的部分
[1995.44-1998.52] 相对机会比较小
[1998.52-2001.08] 应用主要还是在Mobile
[2001.08-2002.60] 会有一些营收
[2002.60-2007.72] 但是不会占很大的比例
[2007.72-2009.78] 下一个提问
[2009.78-2014.64] PSMG多次提到与艾普合作的AI 3D Staking
[2014.64-2016.18] 为其发展重点
[2016.18-2019.00] 可以说明一下主要合作项目
[2019.00-2021.30] 目前的进度
[2021.30-2023.08] 好这个我来回答
[2023.08-2025.40] 我们目前DRAM本身的堆叠
[2025.44-2026.98] 主要在PSMC
[2026.98-2030.04] PSMC是我们3D堆叠生态的
[2030.04-2031.84] 重要合作伙伴
[2031.84-2035.68] 这个堆叠的生态不仅适用于
[2035.68-2037.22] PSMC本身的DRAM
[2037.22-2040.04] 也适用于更先进的DRAM的堆叠
[2040.04-2041.56] 目前都还在开发阶段
[2041.56-2045.66] 但是已经有客户采用
[2045.66-2047.20] 下一个问题
[2047.20-2049.24] 可否说明一下艾普
[2049.24-2051.56] 相对于华邦Cube
[2051.56-2054.12] CUBE的差异
[2054.12-2055.40] 这题我来回答
[2055.40-2057.70] 我们的确有观察到
[2057.70-2061.54] 业界对于高频宽记忆体重要性的认知
[2061.54-2063.08] 是有逐渐提升的
[2063.08-2065.64] 同业都有规划对应产品
[2065.64-2068.72] 但是各家都是针对各自的客户群
[2068.72-2070.24] 用做各自的定位
[2070.24-2073.84] 艾普的VHM和VHM stack
[2073.84-2076.40] 能够涵盖从云端
[2076.40-2079.46] 到边缘装置到穿戴装置
[2079.46-2083.04] 特别是VHM在云端的应用方案
[2083.04-2084.32] 可以做到
[2084.32-2085.36] HBM
[2085.40-2087.96] 10倍以上的频宽
[2087.96-2089.50] 市场上其他的方案
[2089.50-2093.34] 跟我们还是有一些距离的
[2093.34-2095.12] 下一个问题
[2095.12-2096.40] 总经理提到
[2096.40-2101.02] Connectivity连接装置应用有较大的市场竞争压力
[2101.02-2102.80] 营收比重下滑
[2102.80-2107.42] 那么IoT后续的成长动能会是在哪一块应用
[2107.42-2112.02] 可以补足在Connectivity上的衰退吗
[2112.02-2114.58] 这一题由我来回答
[2114.58-2116.12] 那如前所述
[2116.12-2120.22] Connectivity的市场竞争相当的激烈
[2120.22-2124.82] 那尽管艾普的市占率跟出货量其实
[2124.82-2126.62] 还是不为稳定
[2126.62-2129.94] 但营收占比的确略为下降
[2129.94-2132.24] 然而在穿戴装置
[2132.24-2133.26] Wearable
[2133.26-2136.34] 例如高阶智慧手表
[2136.34-2139.92] 以及显示Display相关的应用
[2139.92-2141.20] 我们的产品
[2141.20-2144.28] 都能够解决客户的痛点
[2144.28-2145.30] 因此
[2145.30-2149.66] 在这两个领域上面有着显著的成长空间
[2149.66-2153.24] 我们认为艾普的IoT整体业绩
[2153.24-2157.84] 仍将逐年稳步成长
[2157.84-2159.90] 下一个问题
[2159.90-2163.48] 请问艾普营收来自中国的比重
[2163.48-2168.34] 中国大陆国产化对于艾普营运上的影响
[2168.34-2173.46] 目前我们的营收有超过50%是来自于中国的营收
[2173.46-2173.98] 那
[2174.28-2178.12] 我们主要的产品是客制化的
[2178.12-2180.94] 不像标准型的产品那么容易被取代
[2180.94-2184.52] 虽然有一些旧的规格同业有一些 solution
[2184.52-2186.82] 但我们持续有新的规格推出
[2186.82-2189.64] 例如说刚才有提到的APS RAM
[2189.64-2191.94] 那客户也认同我们的规格优势
[2191.94-2192.72] 所以
[2192.72-2193.48] 我
[2193.48-2198.86] 认为国产化这个题目对我们的影响并不大
[2198.86-2200.90] 下一个问题
[2200.90-2203.72] 研发人力及费用持续增加
[2203.72-2206.28] 预期OPEX会在
[2206.28-2208.08] 这个问题我来回答
[2208.08-2211.92] 公司的OPEX目前在25%上下
[2211.92-2214.48] 我们会透过营收的成长
[2214.48-2216.26] 在短期内维持
[2216.26-2222.40] 那中长期来看我们希望能够逐步降低这个比例
[2222.40-2224.46] 下一个问题
[2224.46-2226.76] RFID不是新的题材
[2226.76-2230.34] 请问艾普为何会在这时投入这个领域
[2230.34-2233.68] 可以再进一步说明这个市场的潜力
[2233.72-2238.58] 预期可以带来多大的营收贡献以及贡献的实践
[2238.58-2240.88] 这个问题我来回答
[2240.88-2244.22] RFID这个市场确实已经很成熟
[2244.22-2245.50] 但是最近几年
[2245.50-2247.54] 因为快递零售
[2247.54-2249.34] 这些新的应用的导入
[2249.34-2250.62] 而供不应求
[2250.62-2252.40] 目前Target C的市场
[2252.40-2254.20] 大概是四五亿美金
[2254.20-2256.50] 每年有两位数字的成长
[2256.50-2257.78] 对艾普来说
[2257.78-2259.32] 这是一个可观的市场
[2259.32-2261.88] 我们预计今年开始会有营收
[2261.88-2263.42] 长期来说我们的目标在
[2263.42-2264.96] 是在这个市场有一个
[2264.96-2270.08] 有一个可观的份额
[2270.08-2271.62] 下一个问题
[2271.62-2275.70] 公司网页的机器人应用介绍了高速记忆体
[2275.70-2278.02] 突破机器人原有的瓶颈
[2278.02-2281.86] 其高速传输低功耗的特性
[2281.86-2285.18] 延长了机器人的待机时间及效能
[2285.18-2288.76] 使机器人可以更快速的处理复杂指令
[2288.76-2292.34] 请问对于艾普的技术导入机器人应用并接单
[2292.34-2293.38] 可期待能够使用的机器人应用的技术是什么?
[2293.38-2296.96] 是在不久的将来实现吗?
[2296.96-2300.54] 我们看到AI应用在很多方面
[2300.54-2304.14] 机器人是AI应用的一部分
[2304.14-2307.72] 我们的产品的低功耗高性能
[2307.72-2310.78] 是各种AI应用都能够受益的
[2310.78-2317.70] 所以我们会让市场让我们的客户们去发挥我们产品的优势
[2317.70-2319.24] 下一个问题
[2319.24-2322.06] 艾普C-CAP产品算是
[2322.06-2323.34] Colossal中央产品的一种产品吗?
[2323.38-2325.42] Colossal是中介层用的IP
[2325.42-2330.54] 但新闻利基电是拿Colossal的外溢单
[2330.54-2333.88] 可以请教一下这个疑虑吗?
[2333.88-2336.94] 我们目前做的C-CAP
[2336.94-2342.32] S-CAP的interposer的确是Colossal的外溢单
[2342.32-2344.62] 这个市场是很大的
[2344.62-2349.50] Colossal的中介层用的是另外一个技术
[2349.50-2351.02] 我们也有方案
[2351.02-2352.30] 但是目前还没有量产
[2353.38-2355.68] 下一个问题
[2355.68-2359.78] 之前提到会有GDR资金的运用规划
[2359.78-2362.60] 请问这个部分的进度
[2362.60-2363.88] 这个我来回答
[2363.88-2369.26] GDR资金的运用规划当中的设备部分进展确实比预期要慢
[2369.26-2371.56] 3DIC的市场变化非常快
[2371.56-2374.62] 我们对生态的布局也不断的调整
[2374.62-2381.28] 我们还在积极评估一些可能的投资的必要性和可行性
[2381.28-2383.34] 下一个问题
[2383.34-2387.70] 目前与来接的合作有具体的进展吗?
[2387.70-2391.28] 来接的团队正在跟APP的团队一起定义一些产品
[2391.28-2392.82] 共同开发一些新的市场
[2392.82-2398.44] 但是目前还没有可以公布的具体细节
[2398.44-2399.98] 下一个问题
[2399.98-2405.36] WaveOn Wafer的应用除了矿机以及High-end的运算电脑
[2405.36-2409.20] 还有看到其他机会吗?
[2409.20-2410.74] 这个我还是回来回答
[2410.74-2414.06] WaveOn Wafer的低功耗和高频宽
[2414.06-2415.86] 除了挖矿和AI之外
[2415.86-2417.40] 还有ARVR
[2417.40-2418.16] Wearable
[2418.16-2420.22] Networking等方面的应用
[2420.22-2421.24] 总体来说
[2421.24-2422.52] 标准DRAM
[2422.52-2425.08] 无法满足很多新的应用的要求
[2425.08-2429.68] 都是DHM的潜在机会
[2429.68-2431.48] 下一个问题
[2431.48-2437.88] 请问找寻第二家记忆体代工厂的机会与进度
[2437.88-2439.42] 这个还是我来回答
[2439.42-2440.44] 有关Diagra Foundry
[2440.44-2442.74] 这不只是我们的供应链的问题
[2442.74-2445.04] 更是我们客户的供应链的问题
[2445.04-2449.40] 目前我们的客户都有在积极的跟其他DRAM厂商
[2449.40-2452.72] 讨论多方合作的可能性
[2452.72-2456.56] 但是目前的技术开发验证和初期的量产
[2456.56-2457.84] 主要是在
[2457.84-2459.90] 低级电的DRAM平台上做
[2459.90-2462.96] 这个安排在目前这个阶段是最有效率的
[2462.96-2467.06] 未来这个平台会延伸到其他DRAM供应商的DRAM
[2470.44-2473.76] 下一个问题
[2473.76-2479.66] 请问艾普产品有应用在穿戴装置VR及AR
[2479.66-2482.98] 未来会应用在AI眼镜吗
[2482.98-2488.88] 这个问题刚才好像跟我回答的问题有点重复
[2488.88-2489.90] 我们就不重复了
[2489.90-2490.66] 谢谢
[2490.66-2496.04] 下一个问题
[2496.04-2498.60] 想询问堆叠DRAMBHM的设计方式
[2498.60-2499.36] 想询问堆叠DRAMBHM的设计方式
[2499.36-2499.88] 想询问堆叠DRAMBHM的设计方式
[2499.88-2500.40] 想询问堆叠DRAMBHM的设计方式
[2500.40-2510.90] 相较其他同业研发堆叠DRAM厂商的优势
[2510.90-2515.24] 这问题好像刚才刘副总也有回答过
[2515.24-2519.60] 在这一块主要是已经在多年的耕耘
[2519.60-2521.64] 所以我们技术相对比较成熟
[2521.64-2529.84] 我们的客户也认为相对来讲风险是较低的
[2529.84-2532.66] 所以我们技术相对来讲风险是较低的
[2532.66-2533.16] 所以我们技术相对来讲风险是较低的
[2533.16-2535.72] 觉得这些变化是不是就世iques世界正征
[2535.72-2536.50] 是不是贵的
[2536.50-2538.28] 是不是就是 Разor是我
[2538.28-2539.96] 我认为奉扬Ya 제대로讲
[2539.96-2540.92] 我不太认为他根本不 св hatte
[2540.92-2542.44] interrupt
[2542.44-2545.54] 而且他的文靠 В
[2545.54-2548.02] setting
[2548.02-2548.52] 我搞不清
[2548.52-2549.30] dawn
[2549.30-2550.58] by old
[2550.58-2551.60] and future
[2551.60-2555.18] 依� Malaysia
[2555.18-2557.58] ib
[2558.60-2558.84] u
[2558.84-2559.84] i
[2559.84-2561.00] 有這樣子的規劃
[2561.00-2563.34] 下一個問題
[2563.34-2569.44] 問今年Interposer的Wafer Sales
[2569.44-2571.56] 較去年會成長多少
[2571.56-2574.74] 這一題我來回答
[2574.74-2577.34] 我們剛才有在簡報中
[2577.34-2579.10] 有跟各位先進報告過
[2579.10-2581.68] Interposer我們在去年的第四季
[2581.68-2583.02] 漸漸進入量產
[2583.02-2585.50] 那在今主要的量產
[2585.50-2588.06] 的量會在今年
[2588.06-2591.52] 我們預估在這部分的成長率
[2591.52-2592.86] 是以倍數的增加
[2592.86-2594.24] 謝謝
[2594.24-2605.00] 以上是目前的提問
[2605.00-2609.02] 那今天法說會就到目前
[2609.02-2610.46] 謝謝大家的參與
[2610.46-2612.92] 如果有問題再請大家
[2612.92-2615.16] 跟IR團隊做後續的聯絡
[2615.16-2615.68] 謝謝
