[0.00-2.00] 各位同志先敬大家午安
[1631.20-1632.74] 更具備
[1632.74-1635.04] 成功的可能性
[1635.04-1638.38] 那這也是為什麼在
[1638.38-1640.16] 上個月的董事會
[1640.16-1642.22] 大峰已經確定
[1642.22-1644.00] 在這次的股東會
[1644.00-1646.56] 提案股東會說子公司
[1646.56-1649.12] 大大寬頻分財上市
[1649.12-1651.94] 那這個分財上市的事故呢
[1651.94-1655.26] 一定也會加惠到大峰原來的股東
[1655.26-1656.30] 這法令的規定
[1656.34-1658.90] 那大大寬頻一旦
[1658.90-1661.98] 有足夠的資金有足夠的業務能力
[1661.98-1664.02] 有足夠的流量的時候
[1664.02-1666.84] 那他會是一個
[1666.84-1669.66] 具備十足前掌力的一個新企業
[1669.66-1672.98] 就不再是受限於有限電視
[1672.98-1675.28] 的一個經營上的一個
[1675.28-1677.34] 科救跟他的框架
[1677.34-1680.14] 因為他不受有廣法的牽制
[1680.14-1681.18] 以上報告
[1686.34-1688.38] 今天這邊有沒有其他提問
[1708.36-1709.90] 好啊如果都沒有其他提問的話
[1709.90-1711.94] 謝謝各位今天下午賞光
[1711.94-1714.50] 那我們有很短的時間介紹一下大峰的
[1714.50-1716.30] 去年還不錯的一個發展
[1716.34-1717.62] 那希望呢
[1717.62-1720.44] 在今年我們可以拿出更好的成績出來
[1720.44-1722.48] 讓大家耳目一新
[1722.48-1723.00] 謝謝
