[0.00-10.82] 各位投资现金大家午安
[1717.14-1718.14] 虽然现在还在cooking
[1718.14-1720.14] 但是它增长是非常快的吧
[1720.14-1722.14] 这个未来我们做一个
[1722.14-1724.14] 是我们未来成长的一个空间
[1724.14-1726.14] 那呼斯达呢主要就是什么
[1726.14-1727.14] 机构
[1727.14-1729.14] 精密机构建
[1729.14-1730.14] 精密的
[1730.14-1731.14] 太粗的不做了
[1731.14-1733.14] 粗的像机箱机构就是
[1733.14-1734.14] 习永来做的嘛
[1734.14-1736.14] 他做的就是所谓的精密部件
[1736.14-1737.14] 所以样相什么
[1737.14-1738.14] 他就做命建
[1738.14-1741.14] 然后呢就做所谓的QD
[1741.14-1742.14] 做转轴
[1742.14-1744.14] 然后呢做滑轨
[1744.14-1745.14] 这种精密的部件嘛
[1745.14-1748.14] 慢慢当然他延伸到其他的这些
[1748.14-1750.14] 相关的领域去嘛
[1750.14-1751.14] 好不好
[1751.14-1753.14] 那比如说有一些只要用到转轴的啦
[1753.14-1756.14] 像人型机器人的什么都在开发嘛
[1756.14-1757.14] 所以说
[1757.14-1760.14] 他的三只脚就是这三只脚
[1760.14-1763.14] 也就是那相对应的induction就是什么
[1763.14-1767.14] 转轴就是走手机的叫consumer的嘛
[1767.14-1771.14] 那你说像QD这些就是走server这一块嘛
[1771.14-1772.14] 滑轨QD就是server嘛
[1772.14-1774.14] 当然他会慢慢再延伸
[1774.14-1776.14] 也就是让他在这个consumer跟这个
[1776.14-1778.14] commercial之间取得一个平衡啊
[1778.14-1780.14] 大概就是这样子的
[1780.14-1782.14] 这基本上这两家公司呢
[1782.14-1784.14] 都找到了一个所谓的
[1784.14-1787.14] 成长的动能动能跟支撑的
[1787.14-1789.14] 支撑这家公司的一个负成合啦
[1789.14-1791.14] 所以我觉得都还不错啦
[1791.14-1792.14] 对
[1797.14-1798.14] 法人先进有问这个
[1798.14-1801.14] 现场问的我们第四季
[1801.14-1805.14] 去年第四季的这个upgrading的ratio有差不多是9%嘛
[1805.14-1807.14] 那全年是8.4
[1807.14-1811.14] 那其实我们去年第四季增加都是这个
[1811.14-1812.14] 管销演
[1812.14-1813.14] 一般都是在研发费用
[1813.14-1816.14] 因为研发费用包含我们NRE的开设啊
[1816.14-1818.14] 我们employee的增加
[1818.14-1820.14] 我们员工的增加recruit
[1820.14-1824.14] 所以会造成我们的这个营业费用稍微高一点
[1824.14-1826.14] 但是你说他法人先进问说
[1826.14-1828.14] 那这样2025的趋势
[1828.14-1830.14] 我觉得是应该介于我们这个
[1830.14-1831.14] 一样不会超过9%
[1831.14-1833.14] 大概就是8%到9%之间
[1833.14-1837.14] 就是大概是我们的这个营业费用率
[1837.14-1841.14] 那也还有问到什么我们越南扩产
[1841.14-1843.14] 主要是因为市场成长
[1843.14-1844.14] 或者是我们市场提升
[1844.14-1846.14] 这两个答案都是对的啊
[1846.14-1849.14] 就是大概是你如果没有看到有产品
[1849.14-1850.14] 我们董事长啊
[1850.14-1851.14] 我们不会去扩这个
[1851.14-1853.14] 我们的越南工厂
[1853.14-1857.14] 那这个其他有问到今年毛利率的趋势啊
[1857.14-1858.14] 在Casa问到了这个
[1858.14-1860.14] 呃我们只能说我们
[1860.14-1865.14] 呃Q1的毛利率应该会比去年的第四季好
[1865.14-1868.14] 那后面的Q2 Q3 Q4
[1868.14-1869.14] 我们希望是
[1869.14-1872.14] 看能不能透过我们产品的优化
[1872.14-1873.14] 让他足迹的成长
[1873.14-1874.14] 大概是这样而已
[1874.14-1875.14] 好谢谢
[1876.14-1877.14] 好的
[1877.14-1881.14] 一定要给我们
[1892.14-1897.14] stim
[1897.14-1899.14] 他有问题吗
[1906.14-1912.16] 如果没问题我们就下台一级工
[1912.16-1912.92] 谢谢大家了
[1912.92-1917.22] 好的那今天非常感谢公司经营团队的分享
[1917.22-1919.88] 那我们今天启宏法术会就在这边告一段落
[1919.88-1921.52] 感谢各位投资先进的参与
[1921.52-1922.48] 谢谢大家
[1922.48-1923.24] 好谢谢大家
[1923.24-1924.34] 谢谢感谢
[1924.34-1926.20] 谢谢各位经理指导
