[0.00-22.56] 各位先進
[1832.78-1836.38] 然後能夠提高附加價值的產品
[1836.38-1841.24] 所以這接下來應該這個產品的潛力是蠻可期待的
[1841.24-1842.52] 以上的說明
[1849.22-1855.88] 我這邊跟各位投資先進再補充一下
[1855.88-1859.98] 其實中福在過去以往的這些耐候
[1859.98-1864.32] 強固型的顯示器主要是以
[1864.32-1865.86] 主要是以面板加值為主
[1865.86-1869.44] 那接下來其實中福已經有一系列的
[1869.44-1873.80] 產品開發是著重在智能智慧型的顯示器
[1873.80-1876.62] 的人機介面的產品
[1876.62-1879.18] 那這部分我想在下一次的
[1879.22-1880.76] 那個
[1880.76-1885.88] 那個法碩會的時候我們會比較清楚的跟各位說明
[1885.88-1889.46] 在整個集團的加值協助下
[1889.46-1892.54] 中福如何能夠從一個
[1892.54-1896.12] 耐候強固型的一個
[1896.12-1899.44] 顯示器廠商變成一個智能
[1899.44-1902.78] 的人機介面顯示器的廠商
[1902.78-1905.08] 我們希望下一次的說明
[1905.08-1909.18] 法碩會能夠跟各位再說明這一部分產品內容
[1909.22-1917.42] 好那還有先進這邊想要做提問的嗎
[1917.42-1919.20] OK好這邊康和投物這邊
[1919.20-1921.26] 想要做提問他說
[1921.26-1925.60] 請問是否有micro LED相關的產品應用另外
[1925.60-1928.68] 會開發小尺寸顯示器嗎
[1928.68-1933.80] 例如應用於穿戴式產品
[1933.80-1938.92] 我來說明那個micro LED基本上現在目前來講都以小尺寸為主
[1939.22-1940.76] 那
[1940.76-1944.86] 目前中福到沒有產品應用是用在
[1944.86-1947.66] micro LED而且在近期的
[1947.66-1949.72] 產品規劃上是還沒有到
[1949.72-1952.78] 不過倒是我們現在目前已經
[1952.78-1955.86] 因為我們產品方向已經開始朝向
[1955.86-1959.70] 人機介面以及大型的顯示看板這一部分
[1959.70-1963.54] 所以我們已經有開發用mini LED來做local dimming
[1963.54-1966.86] 就是區域控光的方式來做顯示
[1966.86-1969.18] 那區域控光的顯示
[1969.22-1973.58] 是能夠在戶外高亮的環境下又能夠做到低耗能
[1973.58-1976.90] 這部分產品在32寸以上
[1976.90-1978.44] 應該是非常普
[1978.44-1982.54] 未來會非常普遍的運用在中福的一個戶外顯示器上
[1982.54-1987.40] 那mini LED的運用應該會是中福的一個主要方向
[1987.40-1990.98] 那micro LED目前在近期是還沒有產品計劃
[1999.22-2005.36] 所以我們現在就先來看看
[2005.36-2007.66] 好那還有同事先進想要做提問的嗎
[2029.22-2035.36] 好的那如果各位同事先進已經沒有問題要做提問
[2035.36-2037.92] 那我們今天非常感謝各位波控的參與
[2037.92-2042.28] 中福科技股非有限公司線上反而說明會我們今天到此結束
[2042.28-2044.84] 這邊還有一位提問
[2044.84-2048.94] 下半年面板價格如何下來中福對成本有幫助嗎
[2048.94-2056.36] 面板
[2056.36-2059.18] 價格如果下來對中成本有幫助嗎
[2059.22-2062.54] 其實在我們
[2062.54-2068.18] 第二季因為有受匯率影響以及關稅影響我們已經自己
[2068.18-2073.82] 很致力於在成本上面的去做比較大幅度的
[2073.82-2074.84] 準備
[2074.84-2078.16] 那如果下半年面板再掉下來
[2078.16-2079.44] 我相信
[2079.44-2084.06] 這對我們當然成本更有幫助那就我這邊在銷售的部分
[2084.06-2088.66] 我們會增加我們在毛利率的部分會再提升
[2089.22-2105.34] 好那在最後確認一次還有同事先進這邊想要做提問的嗎
[2105.34-2110.22] 好那在最後確認一次還有同事先進這邊想要做提問的嗎
[2119.22-2132.78] 好那在最後確認一次還有同事先進這邊想要做提問的嗎
[2132.78-2135.86] 好那各位投資先進如果已經沒有問題要提問
[2135.86-2137.66] 那我們今天非常感謝
[2137.66-2138.94] 各位播控的參與
[2138.94-2143.28] 那中福科技股非有限公司線上反而說明會我們到此圓滿結束
[2143.28-2145.08] 謝謝各位投資先進的參與
[2145.08-2147.64] 謝謝
[2147.64-2148.66] 謝謝謝謝
[2148.66-2149.18] 謝謝
[2149.22-2149.98] 謝謝大家
[2149.98-2150.76] 謝謝大家
