[0.00-13.48] 好那欢迎各位投资先进参加台湾聚合化学品股份有限公司
[1767.54-1771.10] 整个我们EVA跟去年同期比起来是
[1771.10-1776.90] 虽然结果是有稍微比去年的亏损大一点
[1776.90-1780.02] 但是只要的亏损还是在于
[1781.34-1783.46] 碳税也是开始增收了
[1783.46-1786.94] 那因为这个多的这种亏损大不了多少
[1786.94-1789.62] 可是碳税的部分就吃掉一部分
[1789.62-1792.62] 所以大概如果以整个结果来来看
[1792.62-1795.50] 包含美金汇率的影响等等的话
[1795.50-1799.30] 事实上EVA的亏损弧度是跟去年是差不多的
[1799.30-1802.14] 好
[1802.14-1803.78] 那我们再看一下PE
[1803.78-1808.34] 那PE我们也是主要是看今年第一季跟去年的比较
[1808.34-1811.18] 那紫色以西
[1811.34-1812.54] 其他两个是产品
[1812.54-1814.90] 那台聚卖的是比较高端的
[1814.90-1817.90] 这个是算是Young HD Young
[1817.90-1820.54] 这个高价格比较高的
[1820.54-1824.78] 那事实上台聚卖的里面又算是比较精品
[1824.78-1828.58] 事实上会比这个国际行情这个设出的Young
[1828.58-1830.90] 比这个Young Grade会来的高一点
[1830.90-1835.70] 所以我们的spread事实上是比这个会稍微大一点
[1835.70-1837.54] 但是趋势我们可以来看
[1837.54-1841.14] 就是说低季跟去年低季比起来
[1841.34-1845.02] 这个spread是有增加的
[1845.02-1845.90] 是有增加
[1845.90-1850.50] 虽然售价是跌了21块左右
[1850.50-1853.74] 但是PE的跌幅大概是21块
[1853.74-1857.38] 但是美金的汇率的影响
[1857.38-1858.94] 反而换算成台币的时候
[1858.94-1861.50] 21块美金的这种差额
[1861.50-1863.20] 在换算成台币的时候
[1863.20-1866.22] 我们一公斤大概反而是赚了一块钱
[1866.22-1868.94] 所以今年事实上我们PE的表现
[1868.94-1871.10] 相对去年是来的好
[1871.10-1871.32] 所以我们的PE的表现
[1871.34-1873.54] 刚刚讲到EVA的部分
[1873.54-1875.54] 比去年同期
[1875.54-1877.94] 整个包括销售量
[1877.94-1878.82] 包括价格
[1878.82-1879.92] 包括汇率的影响
[1879.92-1882.80] 比去年的亏损稍微多一点
[1882.80-1887.82] 可是这个就由我们PE这边的获利cover起来
[1887.82-1890.66] 所以事实上如果PE加EVA之后
[1890.66-1892.40] 我们两个加起来
[1892.40-1896.42] 事实上是比去年少亏一点
[1896.42-1897.78] 少亏了一些
[1897.78-1900.68] 基本上这样的趋势PE
[1900.68-1901.10] 我们讲PE的部分
[1901.10-1902.18] 讲PE的部分就好
[1902.18-1904.10] 那到第一季的时候
[1904.10-1905.48] 我们今天小亏了
[1905.48-1907.58] 大概只有600万左右
[1907.58-1910.40] 那去年同期大概亏了1900多万
[1910.40-1912.86] 这个幅度就已经缩小
[1912.86-1915.26] 那如果你看这个乙烯的趋势
[1915.26-1917.30] 后面是有跌的那么大
[1917.30-1919.76] 那PE的跌幅是小于
[1919.76-1921.32] 小于这个乙烯的跌幅
[1921.32-1923.78] 所以到第四月的时候
[1923.78-1924.62] 那现在就五月
[1924.62-1926.06] 四月结束了
[1926.06-1928.08] 四月的赚的钱
[1928.08-1930.10] 就比我们第一季亏的钱来的多
[1930.10-1931.10] 所以事实上我们如果
[1931.10-1933.40] 讲PE这部分的话
[1933.40-1934.86] 到四月份的时候
[1934.86-1937.38] 我们已经在PE的场
[1937.38-1939.94] 这个是已经有小赚一点
[1939.94-1943.58] 那后面当然惠利是比较不利的
[1943.58-1944.46] 比较不利
[1944.46-1952.48] 因为台币这个升值的太多了
[1952.48-1954.10] 那我们看一下销售量
[1954.10-1956.72] 销售量在今天第一季的时候
[1956.72-1958.38] 54万
[1958.38-1960.44] 那个54000多吨
[1960.44-1961.88] 54000多吨
[1961.88-1964.06] 那比去年同期是好一些
[1964.06-1967.58] 但是这个如果跟往年比起来的话
[1967.58-1970.34] 2023 2024还不是我们最好的时候
[1970.34-1972.02] 往前在2021的时候
[1972.02-1975.14] 我们如果两个场EVAP都好的时候
[1975.14-1976.52] 可以达到27万多
[1976.52-1978.88] 还有一些代工的量
[1978.88-1981.26] 那今天是比去年好一点
[1981.26-1984.64] 但事实上这个都不是
[1984.64-1988.24] 在这几年内不算是很好的量
[1988.24-1988.94] 好
[1988.94-1990.30] 那我们看一下跟去年同期
[1990.30-1991.18] 我们刚才讲了
[1991.18-1995.10] 就是差异大概增加了2200吨
[1995.10-1998.40] 2200吨里面EVA大概增加了500多吨
[1998.40-2001.92] 其他的就是PE增加的量
[2001.92-2005.00] 那我们看一下一到三月的回顾
[2005.00-2006.88] 那EVA的部分
[2006.88-2008.88] 那刚刚亚军已经说明了
[2008.88-2010.92] 我们台区亚军一样
[2010.92-2012.38] 那第一季的时候
[2012.38-2013.80] 除了必要的维修之外
[2013.80-2016.36] 几乎都是满载满产
[2016.36-2019.34] 那也是顺利的把它销售出去
[2019.34-2020.30] 就在EVA的方面
[2020.30-2025.30] 那另外在光湖的方面
[2025.30-2029.30] 那美国印度对大陆光湖面板
[2029.30-2030.30] 组建反倾销
[2030.30-2033.30] 那大陆胶膜厂它有加速海外的布局
[2033.30-2036.30] 所以我们也一样
[2036.30-2038.30] 我们在东南亚
[2038.30-2042.30] 甚至在印度的销售量也有增加
[2042.30-2044.30] 那这个很明显
[2044.30-2050.30] 那我们光湖的销售量跟去年同期比起来是很大
[2050.30-2052.30] 其实增加很多
[2052.30-2054.30] 那我们直接跳到第四点
[2054.30-2056.30] 那如果光湖看到
[2056.30-2058.30] 我们这光湖量已经占快一半了
[2058.30-2060.30] 那去年同期的时候
[2060.30-2062.30] 会大概有三十几百分之一而已
[2062.30-2066.30] 那另外在美国关税的影响
[2066.30-2068.30] 那高端品牌鞋厂
[2068.30-2070.30] 还有特殊电缆需求受到冲击
[2070.30-2073.30] 这个就是我们在前几次法售会
[2073.30-2075.30] 我们台聚甚至亚聚
[2075.30-2078.30] 聚焦在这一块比较一些特殊的
[2078.30-2080.30] 那特殊的这些都是比较赚钱的
[2080.30-2082.30] 虽然这个量会比较少
[2082.30-2084.30] 但是呢
[2084.30-2088.30] 这些比较高质化的这些产品
[2088.30-2092.30] 对美国关税这些影响
[2092.30-2094.30] 是有受到一些影响
[2094.30-2096.30] 那所幸
[2096.30-2098.30] 那最近的中美谈判
[2098.30-2100.30] 有比较缓和
[2100.30-2102.30] 比较往正面的一种方向发展
[2102.30-2104.30] 所以
[2104.30-2106.30] 当我们这些客户
[2106.30-2108.30] 这些高质化的这些客户
[2108.30-2110.30] 他把它库存的销售出去的时候
[2110.30-2112.30] 那应该在6月之后
[2112.30-2114.30] 慢慢就会恢复到正常
[2114.30-2116.30] 那在PE方面的回顾
[2116.30-2122.30] 那如果对美国关税这种影响的情况来讲
[2122.30-2126.30] 台聚的PE是以内销为主
[2126.30-2128.30] 那外销的部分
[2128.30-2130.30] 我们直接销到美国的比例也不高
[2130.30-2134.30] 所以受到关税的影响是比较小
[2134.30-2138.30] 那另外在PE的这部分
[2138.30-2140.30] 那前面也交代了就是以西的电销
[2140.30-2142.30] 所以我们在Q1
[2142.30-2144.30] 比去年第四季
[2144.30-2146.30] 或者比去年同期
[2146.30-2148.30] 都是比较好的一个发展
[2148.30-2150.30] 那另外就是受到中美贸易的关系
[2150.30-2152.30] 那我们反而是在外销方面
[2152.30-2154.30] 这些有些客户
[2154.30-2156.30] 他会转向来跟我们购买
[2156.30-2158.30] 所以呢
[2158.30-2160.30] 在这个PE的方面
[2160.30-2162.30] 所以我们在第一季
[2162.30-2164.30] 内销的时期
[2164.30-2166.30] 我们是有一个很大的
[2166.30-2168.30] 一个很大的
[2168.30-2170.30] 所以我们在第一季
[2170.30-2172.30] 内销的市场有维护的萎缩
[2172.30-2174.30] 那因为我们
[2174.30-2176.30] 外销这边
[2176.30-2178.30] 有一些商机
[2178.30-2180.30] 积极争取外销的订单
[2180.30-2182.30] 所以反而我们整个PE的
[2182.30-2184.30] 这个销售量
[2184.30-2186.30] 在第一季的时候
[2186.30-2190.30] 就去年同期是增加了10.1%左右
[2190.30-2192.30] 另外的PE
[2192.30-2194.30] LDP量少
[2194.30-2196.30] 主要是亚聚帮台聚代工了
[2196.30-2198.30] 主要是服务
[2198.30-2200.30] 那台聚的一些老客户
[2200.30-2202.30] 他们认定台聚的产品
[2202.30-2204.30] 认定台聚的品牌
[2204.30-2206.30] 这个是少量的
[2206.30-2208.30] 亚聚代工服务客户
[2208.30-2210.30] 我们看一下这个需求
[2210.30-2212.30] 在EVA的需求里面
[2212.30-2214.30] 光伏的还是占大众
[2214.30-2216.30] 占一半以上
[2216.30-2218.30] 那这个
[2218.30-2220.30] 今年
[2220.30-2222.30] 我们看今年的一估吧
[2222.30-2224.30] 保守
[2224.30-2226.30] 一估的非常保守
[2226.30-2228.30] 新的装机量530到580
[2228.30-2230.30] 那去年就已经到530了
[2230.30-2232.30] 所以这个今年
[2232.30-2234.30] 这个
[2234.30-2236.30] 这个
[2236.30-2238.30] 这个比较专业的这些
[2238.30-2240.30] 调研单位
[2240.30-2242.30] 他们一估比较保守
[2242.30-2244.30] 那应该最后结果
[2244.30-2246.30] 也会跟去年一样
[2246.30-2248.30] 会跟预估的会增加
[2248.30-2250.30] 这是我个人看法
[2250.30-2252.30] 比方说去年
[2252.30-2254.30] 去年我们的一估
[2254.30-2256.30] 大概390到430
[2256.30-2258.30] 结果到了530
[2258.30-2260.30] 这就是这样
[2260.30-2262.30] 那一估今年应该也是这样
[2262.30-2264.30] 因为在初期的时候
[2264.30-2266.30] 整个经济环境不好
[2266.30-2268.30] 需求不会太好
[2268.30-2270.30] 大家也不敢太乐观的一估
[2270.30-2272.30] 所以一估大概就是530
[2272.30-2274.30] 保守一估
[2274.30-2276.30] 乐观一估大概580
[2276.30-2278.30] 最终结果应该有可能会比这个
[2278.30-2280.30] 会来的多一点
[2280.30-2282.30] 那我们看一下大陆的需求
[2282.30-2284.30] 大陆的需求
[2284.30-2286.30] 大概是530以上
[2286.30-2288.30] 那因为看红色的部分
[2288.30-2290.30] 是今天第一季的
[2290.30-2292.30] 产量进口量等等
[2292.30-2294.30] 这些变化
[2294.30-2296.30] 我们先看需求量
[2296.30-2298.30] 今年的需求量比去年同期是少了
[2298.30-2300.30] 那主要是整个经济环境不好
[2300.30-2302.30] 然后
[2302.30-2304.30] 什么中美贸易什么等等
[2304.30-2306.30] 那这些大陆
[2306.30-2308.30] 有一些厂商他也外移
[2308.30-2310.30] 外移到东南亚
[2310.30-2312.30] 所以他整个需求是有下降
[2312.30-2314.30] 但是他的自给率随着他产能
[2314.30-2316.30] 是增加的
[2316.30-2318.30] 从这个去年同期
[2318.30-2320.30] 63万2千吨
[2320.30-2322.30] 到今年同期他已经到产量到671
[2322.30-2324.30] 67万1千吨
[2324.30-2326.30] 那这个自给率
[2326.30-2328.30] 他今天已经达到83
[2328.30-2330.30] 那后面还会有
[2330.30-2332.30] 新增的产能
[2332.30-2334.30] 新增的产能
[2334.30-2336.30] 这个EVA
[2336.30-2338.30] 中国EVA的应用
[2338.30-2340.30] 这个在我们上一季的保守会
[2340.30-2342.30] 大概不到两个月之前
[2342.30-2344.30] 那他也一样我们只是
[2344.30-2346.30] 再把它放进来
[2346.30-2348.30] 让第一季的保守会
[2348.30-2350.30] 没有参加的朋友
[2350.30-2352.30] 可以再参考一下
[2352.30-2354.30] 我们看一下
[2354.30-2356.30] 台聚EVA的应用
[2356.30-2358.30] 我们直接看右边
[2358.30-2360.30] 你看PVE的占比
[2360.30-2362.30] 今年第一季到达19
[2362.30-2364.30] 去年同期33%
[2364.30-2366.30] 大概占了1 3分之一
[2366.30-2368.30] 那也就是说台聚的主要应用
[2368.30-2370.30] 三个应用里面
[2370.30-2372.30] 我们会根据当时的售价
[2372.30-2374.30] 我们的价格比较好
[2374.30-2376.30] 那台聚的销售能力
[2376.30-2378.30] 台聚的生产能力
[2378.30-2380.30] 有办法这样
[2380.30-2382.30] 应用这个市场的变化
[2382.30-2384.30] 我们随时是一个机动
[2384.30-2386.30] 所以我们今天在第一季的时候
[2386.30-2388.30] 这个PVE的价格比较好
[2388.30-2390.30] 所以我们的占比
[2390.30-2392.30] 就提高到49%
[2392.30-2394.30] 大概将近了一半
[2394.30-2396.30] 那这个是
[2396.30-2398.30] 再update一下EVA的新增产能
[2398.30-2400.30] 那到
[2400.30-2402.30] 看看红色的部分
[2402.30-2404.30] 投产已经有310万吨
[2404.30-2406.30] 310万吨
[2406.30-2408.30] 那310万吨已经接近
[2408.30-2410.30] 大概大陆
[2410.30-2412.30] 全美的需求了
[2412.30-2414.30] 所以将来的支持率会越来越高
[2414.30-2416.30] 那后面还有红井三起
[2416.30-2418.30] 那刚刚亚军也提到
[2418.30-2420.30] 他们在第二季
[2420.30-2422.30] 大概有可能就是这个月
[2422.30-2424.30] 可能最近
[2424.30-2426.30] 不是这个礼拜就下礼拜
[2426.30-2428.30] 他们有20万吨的新增产能
[2428.30-2430.30] 就会出来
[2430.30-2432.30] 那另外在韩国也有一个
[2432.30-2434.30] 预计在6月左右
[2434.30-2436.30] 也会产出
[2436.30-2438.30] 那我们看一下第二季的
[2438.30-2440.30] 营运状况
[2440.30-2442.30] 营运展望
[2442.30-2444.30] 那第一个原油方面
[2444.30-2446.30] 那亚军那边也有说明
[2446.30-2448.30] 那基本上今年的油价
[2448.30-2450.30] 去年的时候
[2450.30-2452.30] 预估就是说大概70到80之间震荡
[2452.30-2454.30] 那今年有可能就是
[2454.30-2456.30] 在60到70
[2456.30-2458.30] 大概是
[2458.30-2460.30] 那相对于去年来讲
[2460.30-2462.30] 就是会比较低的
[2462.30-2464.30] 比较低的
[2464.30-2466.30] 那这个对于后面
[2466.30-2468.30] 我们看一下乙烯
[2468.30-2470.30] 那乙烯的话
[2470.30-2472.30] 目前大概780 790
[2472.30-2474.30] 那相对于去年同期
[2474.30-2476.30] 去年同期的话就低了很多
[2476.30-2478.30] 这个对我们有很大的操作空间
[2478.30-2480.30] 也就是说成本降低
[2480.30-2482.30] 那加上台聚集团
[2482.30-2484.30] 有一个洲际二旗
[2484.30-2486.30] 马头要接近完工了
[2486.30-2488.30] 所以大概从6月开始
[2488.30-2490.30] 我们那个出草
[2490.30-2492.30] 原来我们在
[2492.30-2494.30] 这个出草只有1万吨
[2494.30-2496.30] 然后可以变成4万吨的这种操作空间的时候
[2496.30-2498.30] 那又有这种低价乙烯
[2498.30-2500.30] 在适当时机
[2500.30-2502.30] 我们可以买进来
[2502.30-2504.30] 那大批买进来的时候
[2504.30-2506.30] 那在我们刚才讲到的
[2506.30-2508.30] PE我们这个厂
[2508.30-2510.30] 都是在小赚小亏的
[2510.30-2512.30] 这样一个别点的时候
[2512.30-2514.30] 如果有这样一个比较灵活的
[2514.30-2516.30] 这种乙烯出草可以调度的话
[2516.30-2518.30] 对我们下半年的
[2518.30-2520.30] 这种营运是相当有帮助的
[2520.30-2522.30] 另外这个VAF的部分
[2522.30-2524.30] 刚刚雅具有说明的
[2524.30-2526.30] 那第二季
[2526.30-2528.30] 我们产品的展望
[2528.30-2530.30] 那
[2530.30-2532.30] 大概
[2532.30-2534.30] 这边雅具第一点
[2534.30-2536.30] 他们有说过了
[2536.30-2538.30] 那基本上光武强中潮
[2538.30-2540.30] 大概进入尾声了
[2540.30-2542.30] EVA的供应量
[2542.30-2544.30] 后面又会增加
[2544.30-2546.30] 所以我们就是要应验
[2546.30-2548.30] 可能有一些销售地区
[2548.30-2550.30] 必须要调整
[2550.30-2552.30] 第一季的时候在东南亚
[2552.30-2554.30] 印度这边
[2554.30-2556.30] 有很好的布局跟进展
[2556.30-2558.30] 那这些都是要提早去规划
[2558.30-2560.30] 那另外当然
[2560.30-2562.30] 应用这些新生产
[2562.30-2564.30] 台区一直在做的就是
[2564.30-2566.30] 高质化产品的销售量的增加
[2566.30-2568.30] 还有品质的提升
[2568.30-2570.30] 那第二点
[2570.30-2572.30] 中美贸易
[2572.30-2574.30] 中途虽然降温
[2574.30-2576.30] 但是刚刚前面提到
[2576.30-2578.30] 初期的话忽然间
[2578.30-2580.30] 中美贸易的影响
[2580.30-2582.30] 所以它暂时
[2582.30-2584.30] 没跟我们下单
[2584.30-2586.30] 要去化它的库存
[2586.30-2588.30] 那后面随着整个
[2588.30-2590.30] 贸易战会比较
[2590.30-2592.30] 往正面的方向发展
[2592.30-2594.30] 只要他们消化完
[2594.30-2596.30] 那后面对我们就
[2596.30-2598.30] 会有比较大的帮助
[2598.30-2600.30] 那另外在这种
[2600.30-2602.30] 中美贸易的这种
[2602.30-2604.30] 贸易战的影响之下
[2604.30-2606.30] 有另外一点我们受益的
[2606.30-2608.30] 也就是说有一些我们正在开发的
[2608.30-2610.30] 这些特殊级的EVA
[2610.30-2612.30] 它有些客户本来是
[2612.30-2614.30] 仰赖美国进口
[2614.30-2616.30] 那前期他们的一对
[2616.30-2618.30] 这些关税冲突的关系
[2618.30-2620.30] 美国他们进不去的
[2620.30-2622.30] 关税太高或者是美国要过来
[2622.30-2624.30] 他们也不容易买
[2624.30-2626.30] 所以转过来跟我们
[2626.30-2628.30] 购买这些比较高质化的
[2628.30-2630.30] 这些EVA
[2630.30-2632.30] 那以往我们要去
[2632.30-2634.30] 去进入这样的市场是比较辛苦
[2634.30-2636.30] 因为他们用惯了都不用你改
[2636.30-2638.30] 但是现在一对这样的关系
[2638.30-2640.30] 其实说现在
[2640.30-2642.30] 贸易战稍缓了
[2642.30-2644.30] 那美国到中国的关税有降低
[2644.30-2646.30] 可是他们也怕了
[2646.30-2648.30] 所以也要有第二个源
[2648.30-2650.30] 那这些是对我们是
[2650.30-2652.30] 对我们在发展这些高质化EVA
[2652.30-2654.30] 是比较有利的部分
[2654.30-2656.30] 那另外在P1的部分
[2656.30-2658.30] 那目前
[2658.30-2660.30] 我们
[2660.30-2662.30] 在某个月
[2662.30-2664.30] 某时候甚至都可以
[2664.30-2666.30] 有获利的
[2666.30-2668.30] 更何况如果是要高以开通成本
[2668.30-2670.30] 高以开工的成本的部分
[2670.30-2672.30] 那就更有机会
[2672.30-2674.30] 所以的往后
[2674.30-2676.30] 我们在P1这个部分
[2676.30-2678.30] 就是只要能够提高
[2678.30-2680.30] 开工率的话
[2680.30-2682.30] 提高这个驾动力的话
[2682.30-2684.30] 我们这个二厂
[2684.30-2686.30] P1的部分是有机会
[2686.30-2688.30] 有机会今年也是可以获利
[2688.30-2690.30] 那就是力拼
[2690.30-2692.30] 我们在
[2692.30-2694.30] P1这个厂有机会
[2694.30-2696.30] 今天可以打破前几年
[2696.30-2698.30] 像我们小额亏损
[2698.30-2700.30] 有机会赚钱
[2700.30-2702.30] 那EVA看起来今年的状况
[2702.30-2704.30] 只能说是
[2704.30-2706.30] 尽量缩小这个亏损
[2706.30-2708.30] 因为事实上还很竞争
[2708.30-2710.30] 在我们高质化的EVA
[2710.30-2712.30] 还没有这个量
[2712.30-2714.30] 这个到比较大的时候
[2714.30-2716.30] 那这几年
[2716.30-2718.30] 应该也都是
[2718.30-2720.30] 算是比较辛苦了
[2720.30-2722.30] 那再以西的话
[2722.30-2724.30] 我们有洲际码头这个新的出场
[2724.30-2726.30] 可以调度
[2726.30-2728.30] 对于后面我们成本
[2728.30-2730.30] 算是一个相当大的一个帮助
[2730.30-2732.30] 那以上是我的部分的说明
[2732.30-2734.30] 那以上是我的部分的说明
[2744.30-2746.30] 各位先进下午好
[2746.30-2748.30] 接着来报告台聚公司
[2748.30-2750.30] 接着来报告台聚公司
[2750.30-2752.30] 2025年第一季的
[2752.30-2754.30] 合并财务报表资讯
[2754.30-2756.30] 那我们首先看到合并的
[2756.30-2758.30] 在合并的销货收入
[2758.30-2760.30] 2025年第一季是
[2760.30-2762.30] 121.5亿
[2762.30-2764.30] 那较去年同期是增加了
[2764.30-2766.30] 1.25亿
[2766.30-2768.30] 那销货收入较去年同期增加
[2768.30-2770.30] 主要是因为合并公司
[2770.30-2772.30] 台聚以及台达化公司的
[2772.30-2774.30] 销量较去年同期增加
[2774.30-2776.30] 所以合并的营收增加
[2776.30-2778.30] 那另外合并子公司
[2778.30-2780.30] 华夏公司因为它的销量
[2780.30-2782.30] 较去年同期减少
[2782.30-2784.30] 所以总计合并的销货收入
[2784.30-2786.30] 在去年同期仅增加1.25亿
[2786.30-2788.30] 销货成本117亿
[2788.30-2790.30] 那增加了有2亿
[2790.30-2792.30] 那主要是因为产品组合的关系
[2792.30-2794.30] 所以销货成本较去年同期增加
[2794.30-2796.30] 销货毛利4.4亿
[2796.30-2798.30] 较去年同期减少9000万
[2798.30-2800.30] 那这里面
[2800.30-2802.30] 销货毛利较去年同期减少
[2802.30-2804.30] 那这主要也是因为合并子公司
[2804.30-2806.30] 华夏公司的销量减少
[2806.30-2808.30] 所以销货毛利减少
[2808.30-2810.30] 那台达化以及台聚公司的
[2810.30-2812.30] 销货毛利相比于去年同期
[2812.30-2814.30] 是3.5亿
[2814.30-2816.30] 那是达成了增加的
[2816.30-2818.30] 所以总计销货毛利较去年同期减少
[2818.30-2820.30] 合并的毛利率4%
[2820.30-2822.30] 减少1个百分比
[2822.30-2824.30] 销管费用9.1亿
[2824.30-2826.30] 较去年同期增加
[2826.30-2828.30] 主要是因为合并公司的销量增加
[2828.30-2830.30] 运费增加
[2830.30-2832.30] 所以销管费用增加
[2832.30-2834.30] 研发费用1.28亿
[2834.30-2836.30] 那合并的税前
[2836.30-2838.30] 合并的营业亏损6亿
[2838.30-2840.30] 营业净利率负的5%
[2840.30-2842.30] 较去年同期亏损增加有2个百分比
[2842.30-2844.30] 那业外的支出有
[2844.30-2846.30] 4千万
[2846.30-2848.30] 业外支出10亿4千万里面
[2848.30-2850.30] 主要是因为合并公司
[2850.30-2852.30] 合并子公司、旭腾公司
[2852.30-2854.30] 依照权益法认列股内50%的投资损失
[2854.30-2856.30] 那总计有认列股内
[2856.30-2858.30] 10.76亿的投资损失
[2858.30-2860.30] 那这10.76亿的投资损失里面
[2860.30-2862.30] 归属于台聚奥吸收认列的有3.6亿
[2862.30-2864.30] 归属于台聚奥吸收认列的有3.6亿
[2864.30-2866.30] 那属于合并子公司亚聚奥吸收股内投资损失有2.5亿
[2866.30-2868.30] 那属于合并子公司亚聚奥吸收股内投资损失有2.5亿
[2868.30-2870.30] 那其他是属于旭腾的外部股东
[2870.30-2872.30] 那其他是属于旭腾的外部股东
[2872.30-2874.30] 要吸收认列股内投资损失有4.6亿
[2874.30-2876.30] 要吸收认列股内投资损失有4.6亿
[2876.30-2878.30] 所以本年度第一季
[2878.30-2880.30] 合并公司依照权益法认列股内50%的投资损失
[2880.30-2882.30] 合并公司依照权益法认列股内50%的投资损失
[2882.30-2884.30] 总计有10.76亿
[2884.30-2886.30] 那另外因为第一季台币贬值
[2886.30-2888.30] 那另外因为第一季台币贬值
[2888.30-2890.30] 认列的兑换利益也有7000万
[2890.30-2892.30] 所以总计业外亏损为10亿
[2892.30-2894.30] 合并的税前亏损16亿
[2894.30-2896.30] 扣除所税利益之后
[2896.30-2898.30] 税后亏损有15亿
[2898.30-2900.30] 这15亿里面归属于台聚损失有6.3亿
[2900.30-2902.30] 那6.3亿
[2902.30-2904.30] 较去年同期台聚亏损3.94亿
[2904.30-2906.30] 那亏损增加了有2.4亿
[2906.30-2908.30] 那亏损增加主要是因为
[2908.30-2910.30] 台聚公司在本年度第一季
[2910.30-2912.30] 认列股内的投资损失
[2912.30-2914.30] 以及认列合并子公司的亏损
[2914.30-2916.30] 较去年同期增加
[2916.30-2918.30] 所以净利较去年同期减少
[2918.30-2920.30] 每股亏损0.59元
[2920.30-2922.30] 那接下来看一下
[2922.30-2924.30] 合并的财务比率分析
[2924.30-2926.30] 那接下来看一下
[2926.30-2928.30] 合并的财务比率分析
[2928.30-2930.30] 2025年第一季的合并营业利率
[2930.30-2932.30] 负的5%
[2932.30-2934.30] 那存益率负的13%
[2934.30-2936.30] 那都是亏损主要是因为
[2936.30-2938.30] 合并公司产品的利差减少
[2938.30-2940.30] 那另外业外也认列股内
[2940.30-2942.30] 公司的投资损失
[2942.30-2944.30] 所以产生了亏损
[2944.30-2946.30] 那资产比率41%
[2946.30-2948.30] 那较去年底略为提高
[2948.30-2950.30] 那主要是因为今年第一季
[2950.30-2952.30] 仍然持续亏损
[2952.30-2954.30] 所以台区的净值减少
[2954.30-2956.30] 负债比率较去年底略为提高
[2956.30-2958.30] 那流动比率及速动比率
[2958.30-2960.30] 流动比率190%
[2960.30-2962.30] 速动比率136%
[2962.30-2964.30] 那相较于以往年度是略为减少
[2964.30-2966.30] 那相较于以往年度是略为减少
[2966.30-2968.30] 那主要是因为合并公司用以
[2968.30-2970.30] 投资固定资产的资本支出增加
[2970.30-2972.30] 所以流动比率及速动比率
[2972.30-2974.30] 较以往年度略为减少
[2974.30-2976.30] 平均收现天数45天
[2976.30-2978.30] 平均消货天数54天
[2978.30-2980.30] 那与以往年度是大致维持
[2980.30-2982.30] 那以上是台区公司
[2982.30-2984.30] 那以上是台区公司
[2984.30-2986.30] 第一季合并财务报告的说明
[2986.30-2988.30] 那接着我们进行Q&A的时间
[2988.30-2990.30] 接着我们进行Q&A的时间
[2990.30-2992.30] 好的感谢亚剧以及台剧经营团队
[2992.30-2994.30] 好的感谢亚剧以及台剧经营团队
[2994.30-2996.30] 带来的简报分享
[2996.30-2998.30] 带来的简报分享
[2998.30-3000.30] 那么现在进行Q&A意见交流
[3000.30-3002.30] 那么现在进行Q&A意见交流
[3002.30-3004.30] 团队就报名阶段
[3004.30-3006.30] 团队就报名阶段
[3006.30-3008.30] 事先收集到的问题
[3008.30-3010.30] 先统一回复说明
[3010.30-3012.30] 我是台剧亚剧总经理吴培基
[3012.30-3014.30] 我是台剧亚剧总经理吴培基
[3014.30-3016.30] 我们现在来到问答的环节
[3016.30-3018.30] 我们现在来到问答的环节
[3018.30-3020.30] 请各位法人还有媒体的先进提问
[3020.30-3022.30] 请各位法人还有媒体的先进提问
[3022.30-3024.30] 请各位法人还有媒体的先进提问
[3024.30-3026.30] 请各位法人还有媒体的先进提问
[3026.30-3028.30] 各位先进大家好
[3028.30-3030.30] 那有一些投资先进跟媒体朋友
[3030.30-3032.30] 那有一些投资先进跟媒体朋友
[3032.30-3034.30] 都有一些提问
[3034.30-3036.30] 有一些是问到整个产业的
[3036.30-3038.30] 事况 营业的策略
[3038.30-3040.30] 还有中国新产能扩张的趋势
[3040.30-3042.30] 中国市场的看法
[3042.30-3044.30] 还有第二季下半年
[3044.30-3046.30] 还有全年的展望
[3046.30-3048.30] 我想在刚才的法税会的简报中
[3048.30-3050.30] 都已经有回复了
[3050.30-3052.30] 那另外有投资先进问到说
[3052.30-3054.30] 汇率还有关税对公司的影响
[3054.30-3056.30] 汇率还有关税对公司的影响
[3056.30-3058.30] 我这边回答一下汇率的影响
[3058.30-3060.30] 原则上公司在汇率的操作上
[3060.30-3062.30] 原则上公司在汇率的操作上
[3062.30-3064.30] 高比率的原汇避险
[3064.30-3066.30] 所以当市场的
[3066.30-3068.30] 出现比较大幅度的汇率的
[3068.30-3070.30] 变动的话 那个风险是
[3070.30-3072.30] 控制在一个比较低的范围
[3072.30-3074.30] 控制在一个比较低的范围
[3074.30-3076.30] 那如果市场的汇率所预估是明显有利的
[3076.30-3078.30] 那如果市场的汇率所预估是明显有利的
[3078.30-3080.30] 与公司的话 就会适度的调降一些
[3080.30-3082.30] 那个避险的比例 所以整体来说
[3082.30-3084.30] 汇率的波动影响是在
[3084.30-3086.30] 营运可控制的范围
[3086.30-3088.30] 那另外关于关税部分是不是请
[3088.30-3090.30] 那另外关于关税部分是不是请
[3092.30-3094.30] 有关关税的部分对
[3094.30-3096.30] 有关关税的部分对
[3096.30-3098.30] 台聚公司还有亚聚公司的影响
[3098.30-3100.30] 那因为包含台聚公司
[3100.30-3102.30] 还有亚聚公司
