[0.00-1.90] 法人及媒体朋友午安
[1624.22-1625.76] 我们就是以
[1625.76-1626.78] 独耕为老
[1626.78-1627.56] 对
[1627.56-1629.34] 与幼养建商的利率条件
[1629.34-1630.12] 独耕为老
[1630.12-1632.68] 为主要的政策目标
[1632.68-1633.44] 以上报告
[1634.26-1635.28] 谢谢
[1638.62-1640.26] haya
[1640.26-1640.94] comedy
[1640.94-1641.56] underlying
[1641.56-1642.22] ran
[1642.22-1642.34] Ok
[1642.34-1643.82] 面对
[1643.82-1662.94] 在银行的
[1662.94-1663.44] 我
[1663.44-1663.96] OK
[1663.96-1664.22] B
[1664.22-1664.82] 选择
[1664.82-1666.28] 那再来
[1666.28-1668.10] 有关他
[1668.10-1670.26] 松绑这些措施
[1670.26-1672.38] 对我们拓展高资产业务
[1672.38-1673.70] 我觉得最有利的就是
[1673.70-1675.78] 有关境外
[1675.78-1678.02] 境外的客户的回流
[1678.02-1679.86] 还有我们把握
[1679.86-1683.08] 台商资金回流的这些机会
[1683.08-1684.64] 尤其像过去
[1684.64-1686.22] 我们一些高资产客户
[1686.22-1688.58] 可能有一些六成的资产
[1688.58-1689.66] 会摆在境外
[1689.66-1691.20] 境内只有四成
[1691.20-1693.42] 那随着这几年
[1693.42-1696.32] 关税跟贸易战
[1696.32-1697.14] 我在想
[1697.14-1699.46] 台商是陆续回流
[1699.46-1701.02] 还有中小企业
[1701.02-1702.58] 对资产传承
[1702.58-1705.04] 这也是我们最大最好的机会
[1705.04-1708.24] 那有关这个亚洲资产中心的成立
[1708.24-1709.46] 对我们合库
[1709.46-1710.96] 是有莫大的帮助
[1710.96-1711.44] 以上
[1711.44-1715.08] 谢谢
[1715.08-1717.52] 那财管部这边
[1717.52-1718.48] 报告一下
[1718.48-1720.92] 就是113年我们整个
[1720.92-1722.94] 财管的一个首次目标
[1722.94-1725.12] 我们的成长大概是40%
[1725.12-1727.82] 那因为近期仍然会受到
[1727.82-1731.50] 川普2.0的一些相关因素
[1731.50-1734.00] 资源政治的一些因素的一个影响
[1734.00-1736.70] 金融市场当然会有波动
[1736.70-1738.26] 但是在境外债券
[1738.26-1740.04] 仍然具有稳定配息
[1740.04-1741.72] 那价格相对是低档
[1741.72-1743.38] 因此在境外债券的部分
[1743.38-1745.44] 我们也会来做积极推广
[1745.44-1748.00] 另外在保险理财的部分
[1748.00-1751.24] 我们会居家在存储型保证部分
[1751.24-1752.70] 那另外因为分红保证的部分
[1752.70-1754.50] 保证仍然具有家庭保障
[1754.50-1756.20] 跟财务资本特色
[1756.20-1757.30] 所以呢
[1757.30-1760.14] 会吸引三民制族群来做购买
[1760.14-1763.38] 那也在联准会在去年宣布
[1763.38-1766.10] 其中消息循环的一个内容下
[1766.10-1767.18] 那保险公司
[1767.18-1770.68] 他也有陆续调升利便型保证的宣告利率
[1770.68-1771.84] 那因此
[1771.84-1773.88] 我们也会聚焦这些相关内容
[1773.88-1776.28] 那也推出了一些激励措施
[1776.28-1779.28] 那引导官场来做推广
[1779.28-1780.28] 谢谢
[1782.70-1786.60] 线上媒体提问
[1786.60-1789.54] 以下有六个问题想要请问
[1789.54-1790.12] 一
[1790.12-1794.66] 去年获利成长对于今年获利的展望为何
[1794.66-1797.34] 预估全年目标成长多少
[1797.34-1798.54] 二
[1798.54-1801.64] 去年Swap获利情形如何
[1801.64-1804.06] 延伸减幅度如何
[1804.06-1807.68] 今年全年的目标跟展望为何
[1807.68-1808.64] 三
[1808.64-1812.04] 目前柬埔寨分行获利的情形如何
[1812.04-1812.68] 今年全年获利的目标跟展望为何
[1812.70-1818.70] 今年整体海外获利展望或还有占比有望达到多少
[1818.70-1819.62] 第四
[1819.62-1822.12] 和库银行去年财款表现亮眼
[1822.12-1823.88] 今年目标成长多少
[1823.88-1825.98] 策略为何
[1825.98-1831.38] 进驻高雄资产管理专区的计划进度如何
[1831.38-1832.02] 五
[1832.02-1834.10] 目前房贷余额多少
[1834.10-1837.66] 房贷率区间为何
[1837.66-1840.36] 银行法第72-2条比例
[1840.36-1842.46] 不动产放款集中度有多少
[1842.46-1842.66] 第四
[1842.66-1847.58] 目前房贷还有排波情形吗
[1847.58-1849.42] 对于今年的房贷业务
[1849.42-1851.54] 土金融展望为何
[1851.54-1852.38] 六
[1852.38-1854.74] 川普关税政策变化不断
[1854.74-1857.38] 对于金融市场今年展望如何
[1857.38-1861.98] 银行是否有看见商机
[1861.98-1865.14] 谢谢这么踊跃问好多问题
[1865.14-1866.14] 第一个问题好
[1866.14-1870.26] 我们请会计署的位处长来答复
[1870.26-1871.58] 第二个问题我们请财务部的陈协力来答复
[1871.58-1872.42] 第二个问题我们请财务部的陈协力来答复
[1872.42-1878.06] 第三个问题我请外部的林协力来答复
[1878.06-1879.86] 第四个问题刚刚已经答复了
[1879.86-1882.06] 就不用再重复
[1882.06-1885.38] 六个我请各进步的陈协力来答复
[1885.38-1888.54] 第六个问题我请我们头部的徐总市长答复
[1888.54-1894.70] 以上
[1894.70-1896.94] 会计部这边答复有关
[1896.94-1900.14] 去年的获利成长以及今年获利的展望
[1900.14-1901.34] 环顾银行在113年度的税后的费用增加
[1901.34-1905.18] 113年度的税后净利是189.53亿元
[1905.18-1908.70] 较112年度增加了26.5亿元
[1908.70-1911.06] 正成长16.25%
[1911.06-1912.86] 主要成长的原因是
[1912.86-1916.70] 业务动能的增温使得手续费净收益增加
[1916.70-1918.18] 带动获利成长
[1918.18-1923.62] 以及金融商品含最坏净收益较112年度大幅增加
[1923.62-1929.50] 114年截至2月底的累计税后净利为30.53亿元
[1929.50-1930.02] 与113年同时的增加是为了增加费用增加的增加
[1930.02-1930.42] 与113年同时的增加是为了增加费用增加的增加
[1930.42-1960.40] 113年同时的增加是为了增加费用增加
[1960.42-1990.40] 与113年同时的增加是为了增加费用增加
[1990.42-2020.40] 与113年同时的增加是为了增加费用增加
[2020.42-2050.40] 与114年同时的增加是为了增加费用增加
[2050.42-2080.40] 与114年同时的增加是为了增加费用增加
[2080.42-2110.40] 与114年同时的增加是为了增加费用增加
[2110.42-2140.40] 与114年同时的增加是为了增加费用增加
[2140.42-2170.40] 与114年同时的增加是为了增加费用增加
[2170.42-2200.40] 与114年同时的增加是为了增加费用增加
[2200.42-2230.40] 与114年同时的增加是为了增加费用增加
[2230.42-2260.40] 与114年同时的增加是为了增加费用增加
[2260.42-2271.14] 与114年同时的增加是为了增加费用增加
[2280.34-2290.40] 与114年同时的增加是为了增加费用增加
[2290.42-2293.60] 金融同志也不怕会寻求一些多元的配置
[2293.60-2296.30] 所以这部分或许可以强化一些
[2296.30-2298.58] 比较高资产的一些服务
[2298.58-2299.50] 以上
[2299.50-2303.48] 线上媒体提问
[2303.48-2308.50] 一 存放利差及净利差减少原因
[2308.50-2313.38] 二 目前土建农余额和管控情形
[2313.38-2314.90] 及今年的展望如何
[2314.90-2320.06] 三 面对川普2.0包括海外等营运方面
[2320.06-2323.00] 如何因应及掌握相关商机
[2323.00-2325.66] 好 谢谢提问
[2325.66-2327.18] 第一个问题
[2327.18-2329.88] 我请我们会计部的卫协理来答复
[2329.88-2331.12] 第二个问题
[2331.12-2333.56] 还是请我们发行部的料协理来答复
[2333.56-2334.62] 第三个问题
[2334.62-2336.70] 我请国外部的利协理来答复
[2336.70-2337.28] 谢谢
[2337.28-2340.64] 谢谢媒体朋友的提问
[2340.64-2344.82] 有关首先做新台币的部分来进行说明
[2344.82-2347.82] 主要是受到去年3月台币升级
[2347.82-2350.04] 换款利率落后反应影响
[2350.06-2352.58] 至全年的整体台币利差
[2352.58-2355.40] 较去年为途下降3.2个BP
[2355.40-2356.88] 在外币的部分
[2356.88-2359.36] 主要是外币存款量的增幅
[2359.36-2361.72] 大于外币换款量的增幅
[2361.72-2365.40] 加上美国联准会在升级21码后
[2365.40-2368.78] 延至去年9月才启动降级循环
[2368.78-2371.54] 截至目前累计降级4码
[2371.54-2374.62] 降级的次数已不度会如预期
[2374.62-2377.50] 美金利率仍维持有较高的收益
[2377.50-2379.94] 致使外币定期存款增幅
[2379.94-2380.50] 较多
[2380.50-2382.56] 定期成本仍处于高档
[2382.56-2385.22] 因此外币存款放款利差
[2385.22-2386.28] 存放款利差
[2386.28-2388.74] 相较于台币下降幅度较多
[2388.74-2390.06] 整体而言
[2390.06-2392.34] 受到外币存放款结构影响
[2392.34-2395.26] 存款利率上升的幅度
[2395.26-2397.70] 大于放款利率上升的幅度
[2397.70-2400.32] 至全行利差较去年同期
[2400.32-2402.30] 下降了13.7个BP
[2402.30-2404.56] 为江湖引进区收敛
[2404.56-2407.96] 114年度前两个月的存放款利差
[2407.96-2409.34] 已有微幅上升
[2409.34-2409.92] 3.7个BP
[2409.94-2413.82] 113年截至第四季的利息
[2413.82-2416.54] 净收益率为0.673%
[2416.54-2419.08] 较去年下降8.5个BP
[2419.08-2422.42] 主要系合库银行外币存放比较低
[2422.42-2424.54] 较高成本之外币存款
[2424.54-2426.18] 除了利用在放款
[2426.18-2428.88] 以及金融商品等资习批判外
[2428.88-2432.46] 亦利用于SWAP等金融商品操作项目
[2432.46-2435.08] 其中113年度的SWAP收益
[2435.08-2436.92] 约112亿元
[2436.92-2439.92] 较112年增加约14亿元
[2439.94-2441.58] 以上说明
[2441.58-2444.90] 接报告
[2444.90-2449.68] 我们目前的土建龙运营是1601亿元
[2449.68-2453.36] 那目前的那个我们的管控前期的话
[2453.36-2454.98] 还是以优先以
[2454.98-2457.58] 非属银行法72条制二的
[2457.58-2459.68] 优良进商及利息条件良好的
[2459.68-2462.70] 度更为老按键为主要成做目标
[2462.70-2464.84] 那目前是还是以持
[2464.84-2468.20] 时尚品种神圣的态度来按
[2468.20-2469.18] 以上
[2469.94-2472.98] 接下来是有关不说明
[2472.98-2475.56] 就说川普200海外的营运部分
[2475.56-2477.38] 跟怎么掌握相关商机
[2477.38-2479.00] 包含相关的商机
[2479.00-2480.26] 那按我们的图谱总上
[2480.26-2481.70] 有大概有做一个说明
[2481.70-2483.30] 那这个部分我在想
[2483.30-2485.00] 就是说川普政策
[2485.00-2486.04] 其实事实上
[2486.04-2487.42] 我们也从来没有看过
[2487.42-2488.18] 波动大的
[2488.18-2490.84] 波动度这么大的一个政策的一个转变
[2490.84-2492.34] 那美国的经济预测
[2492.34-2494.86] 我相信比以往这一二十年来
[2494.86-2498.08] 就是比以往充满更多的一个不确定性
[2498.08-2499.40] 那只是说
[2499.40-2501.44] 他的影响是全球性的
[2501.44-2503.68] 那我在这边解决我们美国分行
[2503.68-2504.96] 他在营运部分
[2504.96-2508.54] 他的影响性在这边做个说明
[2508.54-2510.16] 那因为美国他的投资市场
[2510.16-2511.80] 他是一个公开透明
[2511.80-2514.86] 而且他的量子的部位相当的大
[2514.86-2518.36] 那我们先是鼓励我们的美国地区的分行
[2518.36-2520.80] 要深入在地化的一个发展
[2520.80-2523.42] 那还有就是
[2523.42-2526.02] 当地的分行只要涉及标的的话
[2526.02-2528.22] 那注意产业个别的风险
[2528.22-2529.16] 那应该也是可以
[2529.40-2531.90] 那因为之前大型企业
[2531.90-2533.72] 他历经前几年的一个扩张
[2533.72-2535.68] 所以他的累积的实力
[2535.68-2537.78] 那在财务部分的稳健性
[2537.78-2540.74] 应该也是可以信赖的
[2540.74-2542.54] 所以在这个部分就是慎选标的
[2542.54-2543.98] 然后注意产业风险
[2543.98-2544.68] 以上说明
[2544.68-2548.84] 线上同志的提问
[2548.84-2552.90] 恒库集团今年度人才招募计划如何
[2552.90-2556.78] 信息能源的平均薪资落点如何
[2559.40-2562.66] 然后这个提问我请我们人事处的剪处长来答复
[2562.66-2564.66] 谢谢提问
[2564.66-2568.70] 那接下来我们人事处就今年本公司的人才招募计划
[2568.70-2571.62] 与提醒性能源平均薪资落点的做情要报告
[2571.62-2575.40] 为因应公司的人力需求以及优发展需要
[2575.40-2578.68] 公司以及银行子公司持续各发的招募人才
[2578.68-2582.04] 那其中银行子公司已经其实已经在今年年初
[2582.04-2585.24] 有开设对外招募理财人员保有人员
[2585.24-2589.24] 客户人员资讯跟治安等相关的专业人员级100名
[2589.40-2595.32] 那另外本公司目前也正跟银行子公司来办议
[2595.32-2597.44] 今年第二次的联合侦查
[2597.44-2601.04] 那本公司预计招募联合人员两名
[2601.04-2605.38] 那银行子公司的部分细微配合各学校的毕业期
[2605.38-2608.20] 那去招募精英储备干部
[2608.20-2611.80] 像EMA储备精英以及一般金融人员
[2611.80-2616.44] 征授信贷会或者是理财或者是资讯等等相关人员
[2616.44-2618.28] 总共420名
[2618.28-2619.38] 那为了提醒人员的财务
[2619.40-2622.46] 因为应应数位化金融的多元发展
[2622.46-2625.60] 以及实际强化资金财务管理的优重
[2625.60-2629.50] 那因为金融业的所需人才需要具备快速
[2629.50-2631.96] 媒体与学习的整体性跨领域能力
[2631.96-2634.30] 所以投入银行这次的招募
[2634.30-2637.88] 其中有关精英储备干部
[2637.88-2640.18] GEMA或者是精英储备精英
[2640.18-2643.56] CA一般金融人员或者是地产人员等等
[2643.56-2645.36] 都出现张宏科系
[2645.36-2648.02] 以便广纳相关多元的人才
[2648.02-2649.38] 那至于有关金融业的财务
[2649.40-2655.04] 那这次的招募为例
[2655.04-2657.52] 那主要是依据工作资历
[2657.52-2659.74] 以及类别费不同的薪资待遇
[2659.74-2663.18] 那其中精英储备干部有这一元费
[2663.18-2666.78] 那这个类别是我们今年首次开办
[2666.78-2669.34] 那它的金融条件相当优势
[2669.34-2671.14] 那如果以月薪而言
[2671.14-2672.46] 如果加函补偿费
[2672.46-2674.46] 那月薪高达了62,400
[2674.46-2676.50] 而且如果表现优异的话
[2676.50-2677.86] 那预计在6年内
[2677.86-2679.38] 就可以晋升到国内
[2679.40-2682.48] 所以是相当具优势的这个类别
[2682.48-2686.94] 那另外GA它的每月薪资
[2686.94-2689.10] 大概也达到53,200元
[2689.10-2691.78] 那一般金融人员大概相近4万元
[2691.78-2693.22] 就是39,800元
[2693.22-2694.50] 那其他的金融行业
[2694.50-2696.78] 比如说征收线或者外汇
[2696.78-2699.40] 或者是理财人员和资讯人等等
[2699.40-2701.58] 它的月薪大概就介于
[2701.58-2704.56] 44,600到60,800元左右
[2704.56-2706.62] 那本次第二次专务
[2706.62-2708.76] 它的报名期限是即日起到
[2709.40-2711.20] 5月31日下午点
[2711.20-2713.20] 也就是下午半一到五点之后
[2713.20-2715.40] 那翻译这些有事人之后
[2715.40-2716.20] 容易报名的
[2716.20-2717.20] 谢谢
[2717.20-2719.20] 谢谢
[2719.20-2721.20] 谢谢
[2721.20-2723.20] 谢谢
[2723.20-2725.20] 谢谢
[2725.20-2727.20] 谢谢
[2727.20-2729.20] 谢谢
[2729.20-2730.20] 谢谢
[2730.20-2732.20] 介绍同事的提问
[2732.20-2735.00] 和贵银行发行绿色债券
[2735.00-2738.20] 与办理绿色融资的成效如何?
[2738.20-2739.24] 114年
[2739.24-2742.04] 是否有规划发行绿色债券?
[2742.04-2744.04] 是否有规划发行绿色债券?
[2744.04-2745.24] 好 谢谢提问
[2745.24-2747.12] 这一题我们请我们的发行部人
[2747.12-2748.24] 要协力来答复
[2748.24-2749.24] 好
[2749.24-2750.24] 好
[2750.24-2751.24] 发行部报告
[2751.24-2754.24] 发行绿色债券的情况
[2754.24-2756.24] 截至114年1月底
[2756.24-2760.24] 本行以发行绿色债券一档新台币10亿元
[2760.24-2764.24] 那加其社会责任债券两档20亿元
[2764.24-2768.24] 及可持续发展债券三档即60亿元
[2768.24-2769.04] 那加其社会责任债券两档即60亿元
[2769.24-2771.24] 以上累计发行金到90亿元
[2771.24-2773.24] 领先各公股银行
[2773.24-2775.24] 绿色债券的资金
[2775.24-2781.24] 是以再生能源、能源科技发展及被期物回收处理或再利用之受性为主
[2781.24-2783.24] 那社会责任债券资金
[2783.24-2791.24] 是以协助无自用住宅之首购主、购置住宅贷款及特定族群的创业贷款为主
[2791.24-2798.24] 那可持续发展债券资金用于是绿色投资及社会消益的投资项目
[2798.24-2802.24] 那办理绿色投资的情况的话
[2802.24-2811.24] 我们本行到114年1月底有投资绿电及再生能源产业约745.16亿元
[2811.24-2814.24] 那在绿色融资的部分呢
[2814.24-2819.24] 我们和库银行定有六大核心战略产业贷款专案
[2819.24-2822.24] 再生能源发电设备贷款作业要点
[2822.24-2826.24] 太阳光电发电设备贷款运行注意事项
[2826.24-2827.24] 生殖能源
[2827.24-2831.24] 发电设备贷款运行注意事项等
[2831.24-2840.24] 提供绿能产业建构式机器设备资本性支出及运轴转金等资金需求自动支付
[2840.24-2842.24] 到113年底止
[2842.24-2848.24] 本行六大核心战略产业的受信余额已经是8471.47亿元
[2848.24-2854.24] 那其中绿电及再生能源产业为3358.51亿元
[2854.24-2856.24] 那114年将会是市场的
[2856.24-2863.24] 未纳及利率情况来刺激发行一档永续发展的专项资金债券
[2863.24-2864.24] 以上报告
[2864.24-2879.24] 现场媒体提问
[2879.24-2884.24] 请问今年投信子公司营运发展目标如何
[2884.24-2885.24] 请问今年投信子公司营运发展目标如何
[2886.24-2889.24] 请问今年投信子公司营运发展目标如何
[2889.24-2894.24] 投信也有急势可以复 critique
[2894.24-2897.24] 在X Top级发展下 Анnta口罩
[2897.24-2900.24] 至于程度上,W carp chattense
[2900.24-2903.24] 罗伦军社� burned
[2903.24-2905.92] ации 你以鼠
[2905.92-2909.24] Bolph
[2909.24-2911.24] 直播
[2911.24-2912.24] Raw 3
[2912.24-2914.24] T borrowed
[2914.24-2915.24] roger
[2915.24-2916.24] 叫
[2916.24-2918.52] 核心趋势的补充手续基金
[2918.52-2921.32] 这一方面我们希望给它比较多的目标
[2921.32-2923.92] 那今年还是朝文件发展
[2923.92-2926.14] 继续慢慢的成长
[2926.14-2926.96] 慢慢的壮大
[2926.96-2927.56] 以上
[2927.56-2931.92] 线上媒体提问
[2931.92-2933.76] 请问
[2933.76-2934.16] 一
[2934.16-2937.18] 今年房贷将低度成长
[2937.18-2939.36] 会成长百分比之多少
[2939.36-2941.16] 请给一个数字
[2941.16-2941.80] 二
[2941.80-2944.70] 另外何故今年总放款
[2944.70-2946.82] 估计成长多少%
[2946.82-2947.96] 三
[2947.96-2951.40] 换汇交易会较去年减少多少%
[2951.40-2954.60] 这个题目蛮难的
[2954.60-2955.80] 给一个数字
[2955.80-2961.24] 我们请各厅的诊协理来答复
[2961.24-2962.82] 第二个还是请
[2962.82-2965.42] 我们的法庭的辽协理来答复
[2965.42-2966.84] 第三个问题
[2966.84-2968.30] 去年减少多少
[2968.30-2970.66] 这部分还是要拜托财务委的协理
[2970.66-2971.26] 以上
[2971.26-2974.32] 谢谢媒体提问
[2974.32-2974.68] 二
[2974.68-2976.86] 那低度成长的话
[2976.86-2980.98] 我们大概成长比率大概是估在3%到5%
[2980.98-2981.78] 中间
[2981.78-2987.18] 以上
[2987.18-2990.06] 有关于今年的总放款的成长
[2990.06-2993.68] 因为受到经济不稳定的影响
[2993.68-2996.24] 川普的2.0的效用
[2996.24-3000.94] 所以我目前还是以5%为目标
[3000.94-3003.80] 以上
[3003.80-3004.30] 三
[3004.30-3006.80] 有关于换汇交易的部分
[3006.80-3009.16] 目前是比较难预估
[3009.16-3010.60] 不过如果要估的话
[3010.60-3014.28] 可能大概会减少2到3成左右
[3014.28-3015.88] 但是减少的部分
[3015.88-3020.56] 应该就是会透过外汇的放款的成长的吸收来弥补
[3020.56-3021.80] 这样子以上
[3021.80-3025.62] 好
[3025.62-3028.80] 那今天的提问也到此告一段落
[3028.80-3030.80] 那感谢各位热情的参与
[3030.80-3032.18] 目前的问题已回不完结了
[3032.18-3033.30] 那我们就先回到这边了
[3033.30-3033.64] 好
[3033.64-3034.66] 谢谢大家
[3034.66-3036.96] 今天的会议到此结束
[3036.96-3037.26] 好
[3037.26-3040.56] 各位相关资料将于会议结束后
[3040.56-3044.90] 一小时内上传到本公司网站的同志专区服务页面
[3044.90-3046.20] 供各位参考
[3046.20-3047.72] 如果有相关问题
[3047.72-3050.76] 请洽本公司同志关系连系窗口
[3050.76-3051.10] 谢谢
