[0.00-3.84] 各位投資以及媒體先進大家好
[1982.72-1985.72] 這些都是我們既有規劃的一部分
[1985.72-1986.72] 以上
[1987.72-1992.72] 剛剛有提到有關於中東AI佈局的問題
[1992.72-1995.72] 由我來回答好了
[1995.72-1998.72] 這一題我們可以從兩個面向來看
[1998.72-2001.72] 首先我們在沙烏地阿拉伯已經佈局了多年
[2001.72-2004.72] 大家都知道在EV方面
[2004.72-2007.72] 我們先前有跟PIF合資
[2007.72-2010.72] 成立了一個電動車的join venture
[2010.72-2011.72] 叫做SEAL
[2011.72-2014.72] 那之後我們的FIT
[2014.72-2020.72] 也與當地知名的企業合作開發了EV的充電裝置
[2020.72-2022.72] 在ICT方面
[2022.72-2027.72] 我們也已經有合作案在當地進行
[2027.72-2031.72] 同時我們在AI伺服器的產業鏈中
[2031.72-2035.72] 已經有與上游的晶片業者
[2035.72-2037.72] 還有下游的重要客戶
[2037.72-2040.72] 建立了穩固的合作關係
[2040.72-2045.72] 加上我們鴻海本身垂直整合的技術能力
[2045.72-2048.72] 以及全球市城的佔有率
[2048.72-2051.72] 從上游到下游的參與者
[2051.72-2054.72] 都已經有密切的合作
[2054.72-2057.72] 我們相信在這些重大的專案上
[2057.72-2061.72] 鴻海都會參與其中
[2063.72-2067.72] 好,下一題我們請凱基證券的Angela提問
[2067.72-2069.72] Angela請
[2071.72-2073.72] 你聽得到我的聲音嗎
[2073.72-2075.72] 可以,請說
[2075.72-2078.72] 謝謝,劉董你好,詹姆斯你好
[2078.72-2081.72] 我這邊的問題大概就是比較針對
[2081.72-2084.72] 整個需求面跟供給面分別問一下
[2084.72-2086.72] 首先在需求面
[2086.72-2088.72] 剛剛應該也有提到就是說
[2088.72-2090.72] 因為關稅的原因
[2090.72-2094.72] 其實客戶目前在提前拉貨這邊
[2094.72-2097.72] 或多或少都有一些做一些動作
[2097.72-2099.72] 那想請教董事長是說
[2099.72-2102.72] 在哪一些產品線上面
[2102.72-2104.72] 我們目前上半年會
[2104.72-2108.72] 已經有看到比較明顯的提前拉貨的現象
[2108.72-2110.72] 那這些產品
[2110.72-2112.72] 這些產品我們會擔心
[2112.72-2114.72] 下半年它的動能
[2114.72-2117.72] 會低於上半年這種狀況嗎
[2117.72-2119.72] 那是不是可以麻煩董事長
[2119.72-2123.72] 或者詹姆斯這邊先幫我們做一下說明
[2123.72-2125.72] 那第二個
[2125.72-2130.72] 要全部問完還是分別問
[2130.72-2132.72] 我先回答好了Angela
[2132.72-2133.72] 好,謝謝
[2133.72-2135.72] 那我覺得從我們第一季
[2135.72-2138.72] 是大產品的表現來看
[2138.72-2140.72] 其中兩個產品類別
[2140.72-2142.72] 就是電腦終端
[2142.72-2145.72] 以及消費智能的產品的營收
[2145.72-2147.72] 跟去年來同期來比
[2147.72-2149.72] 都有發現它都是同
[2149.72-2153.72] 這個強勁或是顯著的成長
[2153.72-2155.72] 這個的確是在過去五年
[2155.72-2160.72] 除了疫情導致生產出貨時程調整之外的
[2160.72-2163.72] 非常少見兩個產品類別
[2163.72-2165.72] 可以同時成長的情況
[2165.72-2167.72] 那我認為這個現象
[2167.72-2168.72] 應該就是受到了
[2168.72-2170.72] 關稅提前拉貨的影響
[2170.72-2172.72] 這兩個類別
[2172.72-2176.72] 那從我們4月營收的表現來看
[2176.72-2182.72] 消費智能產品拉貨動能還在持續
[2182.72-2185.72] 但在第二季應該還是會
[2185.72-2188.72] 逐漸的進入到傳統的淡季
[2188.72-2192.72] 另外電腦終端產品在第二季表現
[2192.72-2195.72] 也會相對的持平
[2195.72-2199.72] 由於關稅政策還不是那麼明朗
[2199.72-2201.72] 而且市場景氣
[2201.72-2204.72] 仍然有非常高的不確定性
[2204.72-2207.72] 我們會密切注意關注這些
[2207.72-2209.72] 終端需求的一些變化
[2209.72-2212.72] 目前因為環境變化很大
[2212.72-2213.72] 而且很快
[2213.72-2215.72] 所以對於下半年
[2215.72-2218.72] 我們會抱持著比較審慎的看法
[2218.72-2220.72] 審慎的看法
[2220.72-2223.72] 今年營運環境相對挑戰很大
[2223.72-2227.72] 但是我們相信在集團全球佈局的優勢下
[2227.72-2230.72] 我們反而可以充分發揮
[2230.72-2234.72] 我們在供應鏈韌性上的優勢
[2234.72-2235.72] 所以下半年
[2235.72-2238.72] 我認為我們仍然有很多的機會
[2238.72-2241.72] 可以爭取到更多的訂單
[2241.72-2243.72] 以上
[2243.72-2244.72] 下一題
[2244.72-2246.72] 謝謝董事長
[2246.72-2249.72] 另外就是針對在供給面
[2249.72-2251.72] 就是說其實我剛剛聽起來的意思
[2251.72-2254.72] 在消費性相關的產品可能比較有
[2254.72-2259.72] 可能提前拉貨或者是變數比較多的狀況
[2259.72-2261.72] 至於在AI這一塊
[2261.72-2264.72] 我們的理解像您剛剛也有提到
[2264.72-2267.72] 可能第二季就會開始進入更大的量產
[2267.72-2269.72] 後續也會更為的promising
[2269.72-2271.72] 就是想知道一下
[2271.72-2274.72] 這個AI就我們供應鏈的理解
[2274.72-2277.72] 有些零組件設置上有的晶片端
[2277.72-2280.72] 事實上其實在過去兩季都有看到
[2280.72-2282.72] 已經量放的比較大了
[2282.72-2287.72] 請教一下就是說現在在我們最終端的組裝
[2287.72-2290.72] 到最後給客戶這樣子的一個過程當中
[2290.72-2295.72] 有什麼事還有一些bottleneck需要解決的
[2295.72-2299.72] 還是說其實現在往後看應該就是
[2299.72-2303.72] 差不多就已經到了一個非常順暢的程度可以期待
[2303.72-2306.72] 就是想請教一下現在還有沒有什麼東西
[2306.72-2312.72] 會在這中間有一些需要再去進步的解決
[2312.72-2318.72] 這個會不會影響到我們全年原本的想法數字
[2318.72-2319.72] 謝謝
[2319.72-2323.72] Angela我們的business model
[2323.72-2328.72] 讓我們不能夠針對單一客戶的產品做評論
[2328.72-2332.72] 那我可以整體來回答
[2332.72-2339.72] 你的大致上的回應你的關切了
[2339.72-2346.72] 那我們看目前整個AI伺服器機櫃的量產
[2346.72-2349.72] 機櫃不是server是機櫃
[2349.72-2355.72] 正在快速的爬坡量率也持續的再提高
[2355.72-2358.72] 所以整體表現我認為會越來越好
[2359.72-2365.72] 4月份可以從整個雲端網絡產品的營收來看
[2365.72-2370.72] 我們在月對月以及年對年都呈現強勁的成長
[2370.72-2376.72] 從這裡我們可以看出來AI伺服器機櫃的成長的貢獻
[2376.72-2380.72] 隨著我們量產逐步成熟
[2380.72-2385.72] 我相信未來幾季我們在AI伺服器機櫃的出貨量將會持續增長
[2385.72-2388.72] 一季會比一季好
[2388.72-2393.72] 由於這是系統級的AI伺服器機櫃
[2393.72-2396.72] 在生產的過程中
[2396.72-2402.72] 它有大量軟硬體整合測試的需求
[2402.72-2407.72] 我們的工程團隊也持續不斷的在跟客戶
[2407.72-2411.72] 來優化整個生產流程
[2411.72-2417.72] 同時要導入各式各樣的自動化技術來提升生產效率
[2417.72-2422.72] 到目前為止我們看到這些工程的技術能力
[2422.72-2425.72] 都能夠及時的來協助我們的客戶
[2425.72-2430.72] 來處理軟硬體端的問題和需求
[2430.72-2434.72] 這也得到我們客戶很大的肯定
[2441.72-2443.72] Kerry請
[2447.72-2449.72] 財務長以及James
[2449.72-2455.72] 首先第一個問題是想請教一下關於GB200的部分
[2455.72-2460.72] 剛剛有提到現在目前多數的生產瓶頸已經解決
[2460.72-2465.72] 我不知道從董事長這邊看到的客戶的訂單狀況
[2465.72-2470.72] 是否有因為低季度的前期量產的量稍微低一點
[2470.72-2476.72] 而影響到全年的訂單上面的預估
[2477.72-2479.72] 就回答這個問題
[2479.72-2483.72] 我們看到的是訂單是滿手的訂單
[2483.72-2490.72] 現在就是在生產上是不是能夠讓我們在測試上面
[2490.72-2493.72] 能夠趕得上我們客戶的需求
[2493.72-2497.72] 所以從客戶的需求面來看
[2497.72-2501.72] 這個現在不是平景
[2503.72-2512.72] 這個就是在大家可以想像一個機櫃上面有多少個GPU
[2512.72-2517.72] 有多少個連接
[2517.72-2520.72] 這些連接每一個都要測試
[2520.72-2525.72] 這些計算的單元每一個都要測試
[2525.72-2527.72] 這要測試很久
[2527.72-2536.72] 這個是一個我想在AI Server未來的發展上
[2536.72-2539.72] 都會是一個挑戰
[2539.72-2544.72] 但是我相信只要投入大家足夠的資源
[2544.72-2554.72] 這些挑戰也會變得越來越能夠被客服
[2556.72-2562.72] 所以需求是滿手的需求
[2564.72-2567.72] 不過董事長還想再跟您Follow up一下
[2567.72-2571.72] 就是關於生產平靜的問題
[2571.72-2576.72] 因為GV200顯然對大家來說都是一個新的產品
[2576.72-2577.72] 複雜度非常高
[2577.72-2580.72] 不過因為它的下一個Generation GV300
[2580.72-2587.72] 在設計上面是希望能夠改善在200遇到的生產上面的問題
[2587.72-2590.72] 所以在這樣的情況之下
[2590.72-2593.72] Supply Chain預期是生產要能夠更順暢
[2593.72-2596.72] 同時Performance也會比GV200要來得好
[2596.72-2599.72] 因此一直有一些聲音是說
[2599.72-2607.72] 我們的中端客戶可能有把GV200轉換到GV300的需求產生
[2607.72-2612.72] 以至於全年的出貨量可能會比原本預期要來得低
[2612.72-2615.72] 我不知道這個是不是董事長看到的觀察
[2615.72-2618.72] 還是說其實沒有這樣子的情況
[2620.72-2624.72] 我想那個男人很快就會來了
[2624.72-2630.72] 同樣的我們也不評論我們單一客戶還有他的單一產品
[2630.72-2634.72] 我建議趁他來的時候去問他這個問題
[2634.72-2638.72] 但是In general我可以回答的是
[2638.72-2643.72] GV200的積累的經驗
[2643.72-2649.72] 包括整機的設計、散熱系統、自動化生產還有測試的技術
[2649.72-2652.72] 可以大大的縮短
[2652.72-2656.72] 我們在未來不光是GV300
[2656.72-2670.72] 未來AI伺服器機櫃的生產的這種學習的曲線
[2670.72-2674.72] 所以在這方面我是覺得是會越來越好
[2674.72-2684.72] 下一題我們請三立財經的裕翔提問
[2684.72-2692.72] 年初我們不是才說有這個鴻海第三支腳
[2692.72-2696.72] 馬上就有好消息就是拿下三立的電動車訂單
[2696.72-2701.72] 能不能請董事長跟我們進一步分享集團跟日本車廠的合作規劃
[2701.72-2706.72] 還有有沒有更多在洽談的傳統車廠
[2706.72-2709.72] Especially在傳統車廠的部分
[2709.72-2715.72] 就像我們跟三林公司的MOU
[2715.72-2720.72] 我們已經work可能將近有一年的時間
[2720.72-2723.72] 所以我們一直在跟大家預告這個好消息
[2723.72-2727.72] 但是也花了很長的一段時間
[2727.72-2732.72] 其他的車廠我們當然有接觸
[2732.72-2734.72] 當然也有一些進展
[2734.72-2740.72] 但是不在最後我們確認的情況下
[2740.72-2743.72] 我們不會對外公布的
[2743.72-2746.72] 但是我要回應你就是說當然有
[2746.72-2750.72] 當然有跟其他的車廠在談類似的合作
[2750.72-2756.72] 所以在這方面請大家拭目以待
[2756.72-2758.72] 那我請大家拭目以待好不好
[2758.72-2760.72] 好
[2760.72-2762.72] 下一題我們請
[2762.72-2764.72] Yes的佩穎提問
[2764.72-2766.72] 佩穎請
[2769.72-2771.72] 佩穎有聽到嗎
[2773.72-2775.72] 有請說
[2775.72-2777.72] 董事長跟James您好
[2777.72-2779.72] Computex即將在下週舉行
[2779.72-2783.72] 董事長的Keynote廠次目前因為已經額滿沒有辦法報名了
[2783.72-2787.72] 能否請董事長先劇透一下您屆時要對外分享的內容
[2787.72-2790.72] 以及透露一下會不會有神秘嘉賓的現身呢
[2790.72-2791.72] 謝謝
[2791.72-2793.72] 謝謝佩穎
[2793.72-2795.72] 今年我們在Computex的Keynote
[2795.72-2799.72] 我們會以AI Factory作為主題
[2799.72-2806.72] 結合我們集團三大平台還有機器人的相關的應用
[2806.72-2808.72] 分享鴻海
[2808.72-2810.72] 從提供
[2810.72-2817.72] 變成一個自從製造服務轉型成為平台解決方案公司的
[2817.72-2819.72] 這樣的一個願景
[2819.72-2822.72] 那至於會不會有
[2822.72-2826.72] 那個神秘嘉賓出現
[2826.72-2828.72] 一定會有神秘嘉賓
[2828.72-2829.72] 那當然會有
[2829.72-2832.72] 不過我要先賣個關子
[2832.72-2834.72] 請大家拭目以待
[2835.72-2839.72] 好下一題我們請JB Morgan的分析師Albert提問
[2839.72-2840.72] 不要客氣
[2843.72-2846.72] 劉董財務長好我是JB Morgan Albert
[2846.72-2847.72] 我兩個問題
[2847.72-2848.72] 第一個問題是
[2848.72-2852.72] 我記得19年的時候第一次跟劉董見面的時候就有提到這個
[2852.72-2854.72] 劉董你就跟我提點過這個
[2854.72-2857.72] Regional製造中心的這個趨勢
[2857.72-2861.72] 過去這幾年這個趨勢也不只是鴻海
[2861.72-2863.72] 而是整個產業趨勢
[2863.72-2866.72] 剛剛財務長有提到說我們今年開拍水增加
[2866.72-2871.72] 那上一場同業的這個把所有提到的開拍水增加
[2871.72-2872.72] 我想知道說
[2872.72-2876.72] 在整個產業的開拍水增加的情況下
[2876.72-2882.72] 那投資人會擔心說這部分是不是會造成ROIC的下降
[2882.72-2886.72] 那還是說現在的這個整個增進環境不同
[2886.72-2889.72] 現在的這個所謂Regional Hub是由客戶去驅動
[2889.72-2892.72] 所以他們也更願意去付更多的錢
[2892.72-2895.72] 在不同的這個生產地
[2895.72-2898.72] 那這個是我第一個問題
[2898.72-2901.72] 我先回答第一個問題
[2901.72-2910.72] 我們的Business Model都是以這個EMS就是製造代工電子代工為主
[2910.72-2916.72] 那我們對我們客戶大概都是反映我們在製造上的成本
[2916.72-2918.72] 加上一個Markup
[2918.72-2921.72] 所以這是客戶
[2921.72-2929.72] 我們的客戶他要能夠去這個去試去Adjust
[2929.72-2937.72] 那客戶會不會能不能夠或是願不願意承擔更多的MBA呢
[2937.72-2938.72] 那也跟大家說明一下
[2938.72-2947.72] 我們大致上我們的這個整個成本這個結構是
[2947.72-2956.72] 在這個原材料方面大概占了九成
[2956.72-2967.72] 那工錢大概只占了裡面的這個5%、6%吧
[2967.72-2975.72] 所以這個5%、6%的增加對整個成本的影響是有限的
[2975.72-2978.72] 那個百分比是有限的
[2978.72-2982.72] 所以我覺得這個最主要是
[2982.72-2988.72] 第一個我們客戶要做最後的決定
[2988.72-2990.72] 第二個我覺得這是一個趨勢
[2990.72-2999.72] 那客戶也可能不得不要來適應這個趨勢
[2999.72-3001.72] 那最近你剛剛提到的
[3001.72-3005.72] 就是美國的這個因素
[3005.72-3013.72] 也加速了客戶做這樣子的一個調整的一個改變
[3013.72-3017.72] 好這是第一個問題我的回答
[3017.72-3019.72] 謝謝
[3019.72-3022.72] 我第二個問題還是關於這個中東的部分
[3022.72-3026.72] 就早上這個NVITA的新聞稿上面
[3026.72-3027.72] 我稍微算了一下就是說
[3027.72-3032.72] 這中東客戶大概可以一年大概七、八百台
[3032.72-3034.72] 甚至一千台的NVITA的Rack
[3034.72-3040.72] 那我知道說我們可能不能對單一客戶產品做comment
[3040.72-3041.72] 那我想知道的是說
[3041.72-3044.72] 在這樣子的經濟規模下
[3044.72-3045.72] 一年差不多一千台
[3045.72-3047.72] 那這樣的情況下
[3047.72-3053.72] 客戶是有機會從原本跟這個像Supermicro deal
[3053.72-3057.72] 買標準品轉移到跟像鴻海廣達
[3057.72-3062.72] 做ODM Direct的這種標準這種客製品的製造嗎
[3062.72-3068.72] 那鴻海在今年整個AI server的產能比較受限的情況下
[3068.72-3071.72] 會積極的去爭取這部分的
[3071.72-3074.72] 類似這種客戶規模的這種訂單嗎
[3074.72-3076.72] 那另外一個file up是說
[3076.72-3081.72] 剛剛董事長有提點我們說這個GB的系統生產
[3081.72-3083.72] 接下來會逐劑增加
[3083.72-3086.72] 我也想知道說這部分的逐劑增加
[3086.72-3089.72] 是主要是透過兩綠的提升呢
[3089.72-3092.72] 還是說我們也有辦法去增加產能
[3092.72-3096.72] 增加這個可能測試的設備增加能力
[3096.72-3098.72] 那以上謝謝
[3098.72-3102.72] 好 那在產能的部分
[3102.72-3107.72] 我們的部件是相當龐大的
[3107.72-3109.72] 相當龐大的
[3109.72-3112.72] 那這個我們也預期
[3112.72-3114.72] 有一個預期
[3114.72-3120.72] 因為我們跟我們的這個客戶合作的非常的緊密
[3120.72-3127.72] 所以這些預期都是跟客戶一起商量的一個結果
[3127.72-3129.72] 所以我們有這些產能
[3129.72-3133.72] 那現在就是隨著這個客戶的需求
[3133.72-3138.72] 還有我們這個不斷提升的製造的效率
[3138.72-3141.72] 它就會出貨量就越來越大
[3141.72-3143.72] 那我們在這方面
[3143.72-3148.72] 這個是我們在講說記憶對記憶會不斷提升的
[3148.72-3150.72] 最主要的這個原因
[3150.72-3153.72] 那至於在中東這裡呢
[3153.72-3158.72] 其實這個機會
[3158.72-3162.72] 大家都在之前都有聽說
[3162.72-3169.72] 但是這麼龐大的這樣子的一個需求
[3169.72-3178.72] 我覺得它會在這個品牌跟這個直接購買之間
[3178.72-3180.72] 它會做一個平衡
[3180.72-3182.72] 它會做一個平衡
[3182.72-3184.72] 那這個平衡呢
[3184.72-3187.72] 這個就是接下來我們要
[3187.72-3194.72] 跟我們的客戶來共同討論規劃的
[3194.72-3196.72] 好 以上
[3196.72-3197.72] 好
[3197.72-3201.72] 下一題我們請副幫的Arthur提問
[3201.72-3203.72] Arthur請
[3207.72-3209.72] Arthur有聽到嗎
[3212.72-3213.72] 聽到我聲音嗎
[3213.72-3214.72] 可以聽得到嗎
[3214.72-3215.72] 可以
[3215.72-3216.72] 不好意思
[3216.72-3218.72] 我想就幾個問題
[3218.72-3221.72] 可是回到還是這個生產的問題
[3221.72-3225.72] 就是說我大概就看了公視一下
[3225.72-3228.72] 大概大部分都是這個美國客人比較多
[3228.72-3230.72] 不管是大家知道
[3230.72-3231.72] 美國客人
[3231.72-3235.72] 就是你的比重大部分是來自美國客人
[3235.72-3239.72] 但是你的生產基地幾乎是在這個中國這邊
[3239.72-3242.72] 我想請問董事長就是說
[3242.72-3244.72] 我想請問董事長就是說
[3244.72-3246.72] 我有看到我有做一個分析
[3246.72-3248.72] 我不知道董事長的看法就是說
[3248.72-3252.72] 尤其是最大的客人這個智慧型手機
[3252.72-3258.72] 那美國的這個營收比重占這個產品線大概是30%
[3258.72-3262.72] 那第二大應該是中國這邊China之久
[3262.72-3264.72] 那接下來應該是歐洲這邊
[3264.72-3267.72] 那非常有趣就是說我大概算了一下
[3267.72-3270.72] 這個產品線就是智慧型手機
[3270.72-3274.72] 大概銷售到東南亞這個日本跟印度
[3274.72-3276.72] 大概加起來21%
[3276.72-3280.72] 也就是說如果說要避開關稅的話
[3280.72-3283.72] 是不是董事長或是公司這邊
[3283.72-3286.72] 銷售美國的都要往印度這邊生產
[3286.72-3289.72] 那如果以印度這個市場來講
[3289.72-3291.72] 這個產能應該目前為止
[3291.72-3297.72] 應該沒有辦法去所就是forfeal這些美國市場的需求
[3297.72-3300.72] 那我不知道說董事長或者是客人這邊
[3300.72-3301.72] 有沒有什麼規劃
[3301.72-3305.72] 因為這90天的豁免權到了90天之後
[3305.72-3307.72] 又開始又再發生
[3307.72-3310.72] 那也就是如果董事長講這個有很多的uncertainty
[3310.72-3313.72] 那我不知道公司對這個全球佈局或是客人這邊
[3313.72-3314.72] 是什麼看法
[3314.72-3317.72] 我就同意這個第一個問題
[3317.72-3321.72] 那我不知道這是我的想請教董事長
[3321.72-3324.72] 好我先回答你第一個問題好了
[3324.72-3329.72] 那這個還是針對單一客戶的一個問題
[3329.72-3333.72] 我沒有辦法就是這個針對這個問題
[3333.72-3336.72] 單一客戶的問題來回應
[3336.72-3340.72] 但是我可以回應整體的這個狀況
[3340.72-3342.72] 整體的狀況呢
[3342.72-3345.72] 有這個我們的客人們
[3345.72-3350.72] 他們都在想辦法要降低關稅的影響
[3350.72-3354.72] 那他們就會有很多不同的做法
[3354.72-3358.72] 做法一個是這個生產的地區
[3358.72-3360.72] 能夠做適當的移轉
[3360.72-3365.72] 轉到這個低的這個關稅的地區
[3365.72-3366.72] 這是一種做法
[3366.72-3368.72] 那另外一種做法呢
[3368.72-3374.72] 就是在這個產品的這個內容上面
[3374.72-3379.72] 怎麼樣做一些新的新的安排
[3379.72-3380.72] 新的安排
[3380.72-3385.72] 譬如說他有這個local content的這樣子的
[3385.72-3388.72] 一個可能的安排
[3388.72-3394.72] 他把某些東西在不同的國家做
[3394.72-3401.72] 那透過這樣子的安排來降低整體的關稅
[3401.72-3404.72] 那這些都在發生中
[3404.72-3413.72] 我想這個接下來你可以朝這個方向來去求證
[3413.72-3416.72] 您關心的這個客人
[3416.72-3419.72] 他到底採用什麼樣的方法
[3419.72-3421.72] 瞭解
[3421.72-3422.72] 好 那謝謝董事長
[3422.72-3423.72] 那這個第二個問題
[3423.72-3425.72] 我是剛剛有聽到說
[3425.72-3429.72] 有這個就是ASIC這個server
[3429.72-3431.72] 那可不可以請教一下
[3431.72-3434.72] 就是公司在上面是做level 10還是level 10
[3434.72-3439.72] 那這個客人是不是也是北美這些大型的CSP
[3439.72-3442.72] 那另外就是說也是ASIC伺服器
[3442.72-3445.72] 我看到就是說公司有投資在這個Houston
[3445.72-3448.72] 那我可不可以請董事長
[3448.72-3451.72] 或者這個東西是不是應該是
[3451.72-3454.72] 也是做ASIC server比較前段的組裝
[3454.72-3457.72] 那因為這是我自己想法
[3457.72-3460.72] 我不知道董事長或許你對產業比較熟
[3460.72-3465.72] 就是說因為美國現在需要的是把這些製造拿回去美國
[3465.72-3470.72] 那TSMC也在美國可能未來會生產比較高階的晶片
[3470.72-3473.72] 那是不是說整個比較重要的一個客人
[3473.72-3476.72] 把所有的高階晶片往亞利桑那這邊生產
[3476.72-3481.72] 然後直接在美國做比較前端的打板設
[3481.72-3483.72] 打板就是before L6
[3483.72-3486.72] 那這可能會在兩三年之內就發生
[3486.72-3488.72] 所以就想請教董事長
[3488.72-3490.72] 這是我第二個問題
[3490.72-3494.72] 好有關於在美國做什麼
[3494.72-3497.72] 你的邏輯是正確的
[3497.72-3501.72] 就是在那邊的這個IC
[3501.72-3503.72] 當然在那邊做成module
[3503.72-3507.72] 在那邊做成這個PCBA
[3507.72-3509.72] 然後在那邊組裝成server
[3509.72-3515.72] 然後就變成level變成G-Grid變成level 11
[3515.72-3518.72] 所以這個邏輯是對
[3518.72-3522.72] 那至於這個順序還有時間
[3522.72-3531.72] 就是看整個廠商供應鏈ready的程度
[3531.72-3536.72] 所以那個方向大概是沒錯的
[3536.72-3541.72] 那有關於你剛剛提到ASIC確實是
[3541.72-3544.72] 我們指的是CSP的客戶
[3544.72-3549.72] 你也知道CSP客戶他都有開發自己的ASIC
[3549.72-3556.72] 那大概所指的就是他們的這個
[3556.72-3562.72] 這個CSP客戶的ASIC會做到level 10
[3562.72-3567.72] 好那現在是3點59分
[3567.72-3568.72] 我們開放最後一個問題
[3568.72-3571.72] 我們請這個Marguerite的Kelin來提問
[3571.72-3572.72] Kelin來提問
[3572.72-3573.72] Kelin請
[3578.72-3580.72] Kelin有聽到嗎
[3580.72-3583.72] 喂請問聽得到我的聲音嗎
[3583.72-3585.72] 可以請說
[3585.72-3588.72] 你好董事長財務長James你們好
[3588.72-3592.72] 我想問一下關於我們下調2025年的營收展望
[3592.72-3595.72] 但是如果看產品別的話
[3595.72-3598.72] 我們的箭頭方向其實沒有什麼調整
[3598.72-3602.72] 那我想要問一下請問我們這一次的調整
[3602.72-3604.72] 是因為匯率的關係
[3604.72-3607.72] 全面調整所有產品線的展望
[3607.72-3611.72] 還是說我們有看到哪些產品線可能
[3611.72-3613.72] downside會比較大
[3613.72-3616.72] 好你的猜想是對的
[3616.72-3618.72] 是因為匯率
[3618.72-3623.72] 那匯率這個台幣對美金的匯率
[3623.72-3627.72] 我們也不知道它到底會低到什麼程度
[3627.72-3631.72] 所以在這邊我們一直在強調的
[3631.72-3637.72] 我們是比較審慎的來看匯率的可能的變化
[3637.72-3639.72] 那也因為這個樣子
[3639.72-3642.72] 因為它可能的變化
[3642.72-3645.72] 所以我們對於營收
[3645.72-3649.72] 台幣的營收的展望是下調的
[3649.72-3653.72] 那美金營收展望可能
[3653.72-3656.72] 我們沒有看到有這個
[3656.72-3658.72] 其他的變化
[3662.72-3664.72] 那現在時間是4點01分
[3664.72-3668.72] 那你就這個接法是會到就到這個地方為止
[3668.72-3671.72] 那謝謝各位的一個參與
[3671.72-3673.72] 那如果各位投資人媒體
[3673.72-3675.72] 有想要進一步詢問的地方
[3675.72-3678.72] 那也歡迎跟我們的IR跟PR團隊來聯繫
[3678.72-3680.72] 謝謝大家再見
[3680.72-3681.72] 謝謝
