[0.00-10.50] 各位投資先進,歡迎大家參加有空的群組舉辦的建立的線上發表說明會
[1561.64-1562.64] 成本特別高
[1562.64-1563.64] 其實有蠻大的
[1563.64-1564.64] 就是
[1564.64-1566.64] 固定成本
[1566.64-1567.64] 它能夠
[1567.64-1568.64] 被產生
[1568.64-1569.64] 就是說
[1569.64-1570.64] 一個場區的
[1570.64-1571.64] 成本
[1571.64-1572.64] 就是
[1572.64-1573.64] 你比如說
[1573.64-1574.64] 像這個
[1574.64-1575.64] 像一個間接的
[1575.64-1576.64] 說
[1576.64-1577.64] 外圍休聯
[1577.64-1578.64] 這種
[1578.64-1579.64] 或甚至是
[1579.64-1580.64] 就是
[1580.64-1581.64] 其實我們應該
[1581.64-1582.64] 多個三倍
[1582.64-1583.64] 可能
[1583.64-1584.64] 像這一類的物業
[1584.64-1585.64] 費用
[1585.64-1586.64] 在波蘭廠
[1586.64-1587.64] 其實蠻不經濟
[1587.64-1588.64] 因為它整個
[1588.64-1589.64] 要減少
[1589.64-1590.64] 要減少
[1590.64-1591.64] 我們會
[1591.64-1592.64] 再做
[1592.64-1593.64] 它實際上
[1593.64-1594.64] 我們也去分析過
[1594.64-1595.64] 這些廠
[1595.64-1596.64] 因為你知道我們
[1596.64-1597.64] 波蘭現在做的
[1597.64-1598.64] 什麼樣的
[1598.64-1599.64] 就是
[1599.64-1600.64] 我們在波蘭
[1600.64-1601.64] 我們有一個
[1601.64-1602.64] 它在真正的
[1602.64-1603.64] 變動中的
[1603.64-1604.64] 漲停差異
[1604.64-1605.64] 就是說
[1605.64-1606.64] 譬如說料
[1606.64-1607.64] 料的料
[1607.64-1608.64] 它這個
[1608.64-1609.64] 這個
[1609.64-1610.64] 工是歸先
[1610.64-1611.64] 就是因為整個
[1611.64-1612.64] 在整體的
[1612.64-1613.64] 這個
[1613.64-1614.64] 超商物業
[1614.64-1615.64] 過高
[1615.64-1616.64] 所以
[1616.64-1617.64] 其實在變動中的
[1617.64-1618.64] 停差異
[1618.64-1619.64] 它真的都是在
[1619.64-1620.64] 碰壞
[1620.64-1621.64] 碰壞
[1621.64-1622.64] 這樣
[1622.64-1623.64] 就是說
[1623.64-1624.64] 分散的太少
[1624.64-1625.64] 所以就是再次
[1625.64-1626.64] 分落
[1626.64-1627.64] 造成這個回升
[1627.64-1628.64] 所以我們能經過
[1628.64-1629.64] 一樣的一個
[1629.64-1630.64] 這個
[1630.64-1632.64] 應該是要可能增加
[1632.64-1633.64] 一些人
[1633.64-1634.64] 會把時間滿載
[1634.64-1636.64] 限額的規模
[1636.64-1637.64] 直接滿載
[1637.64-1638.64] 所以
[1638.64-1639.64] 所以
[1639.64-1641.64] 即使到可能到3億
[1641.64-1642.64] 也不會過分
[1642.64-1643.64] 這樣
[1643.64-1644.64] 比例有到3點
[1644.64-1646.64] 我覺得
[1646.64-1647.64] 我覺得
[1647.64-1649.64] 可是
[1649.64-1650.64] 那你為什麼不先把
[1650.64-1651.64] 這些人的產品
[1651.64-1653.64] 變成再考慮增加市值
[1653.64-1654.64] 我們現在的產品
[1654.64-1655.64] 很把不完的
[1655.64-1656.64] 因為我們的
[1656.64-1658.64] 其實我們的量
[1658.64-1660.64] 都是基於客戶的
[1660.64-1661.64] 車市的變化
[1661.64-1662.64] 然後
[1662.64-1663.64] 然後
[1663.64-1664.64] 他們去旅行
[1664.64-1665.64] 做的變化
[1665.64-1666.64] 所以
[1666.64-1667.64] 我們當然
[1667.64-1668.64] 一方面是我們會
[1668.64-1669.64] 扶著客戶
[1669.64-1670.64] 盡量的去
[1670.64-1671.64] 做其實
[1671.64-1672.64] 尤其是在
[1672.64-1673.64] 技能對
[1673.64-1674.64] 也多拿一些
[1674.64-1675.64] 我們就是
[1675.64-1676.64] 不經意的
[1676.64-1677.64] 實在的
[1677.64-1678.64] 那
[1678.64-1679.64] 但是另外一方面
[1679.64-1680.64] 還是說
[1680.64-1681.64] 其實
[1681.64-1682.64] 實際上的
[1682.64-1683.64] 車市
[1683.64-1684.64] 或者說
[1684.64-1685.64] 車廠對我們客戶的定產
[1685.64-1686.64] 素材有多麼大
[1686.64-1687.64] 變
[1687.64-1688.64] 這東西
[1688.64-1689.64] 其實都會變壯
[1689.64-1690.64] 所以其實要
[1690.64-1691.64] 我們
[1691.64-1692.64] 我可以盡量
[1692.64-1693.64] 我盡量在
[1693.64-1694.64] 能夠在
[1694.64-1695.64] 這是會過的
[1695.64-1696.64] 那你們現在計畫
[1696.64-1697.64] 就
[1697.64-1698.64] 再加三條
[1698.64-1699.64] 這樣子的
[1699.64-1700.64] 綠座
[1700.64-1701.64] 要到多少的
[1701.64-1702.64] 肥料
[1702.64-1703.64] 你覺得
[1703.64-1704.64] 會
[1704.64-1705.64] 因為你原本
[1705.64-1706.52] 原本
[1706.52-1707.64] 五條是三條
[1707.64-1708.64] 那你現在
[1708.64-1709.64] 再加上
[1709.64-1710.64] 對
[1710.64-1711.64] 對
[1711.64-1712.64] 一個要到多少
[1712.64-1713.64] 這其實
[1713.64-1714.64] 我覺得
[1714.64-1715.64] 滿難講
[1715.64-1716.64] 就是說
[1716.64-1717.64] 會長
[1717.64-1718.64] 應該
[1718.64-1719.64] 錢
[1719.64-1723.64] 其實這三條問題應該是差不多了
[1723.64-1728.64] 因為當時其實狀況跟現在其實是一場一場的
[1728.64-1733.64] 就是說各種人像的歐洲人變成這條線
[1733.64-1736.64] 然後各種人像都在
[1736.64-1740.64] 所以以這個模式來說是會很難的
[1740.64-1742.64] 我可以滿滿的說要做的
[1742.64-1743.64] 而且這裡是在
[1743.64-1745.64] 只是說我們可以滿確定說
[1745.64-1749.64] 跟加量的方向上
[1749.64-1751.64] 跟這個結合會社
[1751.64-1753.64] 然後到一個程度的發揮
[1753.64-1755.64] 所以我們看的確定說到底是
[1755.64-1757.64] 它有實力還是沒有
[1757.64-1759.64] 它可以獲利
[1759.64-1761.64] 但是我想方向上是
[1761.64-1763.64] 說我們都合理的角度
[1763.64-1765.64] 比如說以我們大陸的
[1765.64-1767.64] 那個至少一個領域
[1767.64-1769.64] 它能夠賞比我們
[1769.64-1771.64] 台灣這邊能夠賞六輪的
[1771.64-1772.64] 六七百萬
[1772.64-1773.64] 那不然可能連
[1773.64-1774.64] 或者是
[1774.64-1775.64] 這個
[1775.64-1777.64] 這種規模想要多
[1777.64-1779.64] 所以我想方向上就是
[1779.64-1780.64] 請問一下
[1780.64-1781.64] 你剛提到是
[1781.64-1783.64] 原有的客戶移到波蘭去
[1783.64-1786.64] 就是說在波蘭港來講是新的
[1786.64-1791.64] 你原本它這個生產是從大陸生產
[1791.64-1793.64] 那移到波蘭去生產的話
[1793.64-1796.64] 客戶有要求一定要再出力生產
[1796.64-1799.64] 你這樣說是我們原來要增加
[1799.64-1800.64] 要增加是不是
[1800.64-1801.64] 要
[1801.64-1802.64] 然後
[1802.64-1804.64] 就你剛提到是原有
[1804.64-1806.64] 就本來我們基本上在出的客戶
[1806.64-1809.64] 那它可能是移到波蘭去生產
[1809.64-1810.64] 對
[1810.64-1811.64] 也不完全聽我說
[1811.64-1814.64] 應該說因為我們本來是從大陸
[1814.64-1817.64] 目前我們在深圳的部分
[1817.64-1819.64] 主要是在歐洲
[1819.64-1821.64] 就是說它呢它是很有所謂的量度
[1821.64-1823.64] 因為我們在波蘭
[1823.64-1825.64] 所以我們是每次
[1825.64-1827.64] 幾乎是在歐洲
[1827.64-1829.64] 是在那邊生產
[1829.64-1832.64] 所以是從別的生產那邊
[1832.64-1833.64] 出來的力量
[1833.64-1835.64] 因為如果單純是
[1835.64-1838.64] 所以就是
[1838.64-1839.64] 所以我們是要
[1839.64-1841.64] 其實我們在波蘭
[1841.64-1843.64] 同時你如果是同樣的產品
[1843.64-1846.64] 那不能走久了
[1846.64-1847.64] 因為基本上
[1847.64-1849.64] 我們這邊設產線都是基於
[1849.64-1851.64] 多元主義有出色
[1851.64-1852.64] 所以雖然沒有這個
[1852.64-1854.64] 綠色的一個數據
[1854.64-1857.64] 但是盡量客戶也會盡量的去
[1857.64-1858.64] 滿足我們
[1858.64-1861.64] 金色的產線的這個面在合成上
[1861.64-1863.64] 所以基本上會是說
[1863.64-1866.64] 我一個時候
[1866.64-1867.64] 或者說
[1867.64-1869.64] 私裏面的
[1869.64-1871.64] ровes
[1871.64-1872.74] 都是沒有這樣的
[1872.74-1873.74] 跟洁�usto
[1873.74-1874.64] 或者說
[1874.64-1875.72] 可能有這樣的
[1875.72-1876.64] 這個要訪問他
[1876.64-1877.64] 可能這 Kahope
[1877.64-1878.64] 希望他能够
[1878.64-1879.64] 提醒到
[1879.64-1882.64] ème
[1883.64-1884.64] 我想我50年後
[1884.64-1886.52] 管理這個
[1886.52-1891.56] Uhr
[1891.56-1892.64] 我們的
[1892.64-1895.64] 因为这几年的预费的进度很高
[1895.64-1899.80] 我们跟客户在台湾那边的主管
[1899.80-1900.64] 到来的
[1900.64-1903.64] 在泰国还是包含预费的
[1903.64-1907.64] 当初我们的预费的这个Banker
[1907.64-1910.64] 因为2000钱预费很高的
[1910.64-1912.64] 所以客户这边
[1912.64-1915.64] 其实这领域发展很好
[1915.64-1917.64] 就是说我们的Banker成长
[1917.64-1920.64] 但是他到比如说6月后的预算
[1920.64-1922.64] 他就开始在外放
[1922.64-1925.64] 包括一些新的订单
[1925.64-1928.64] 然后同时跟你拿预费
[1928.64-1931.64] 对他整包也不一样的钱
[1931.64-1932.64] 所以在喜悦的时候
[1932.64-1934.64] 就有点很强大
[1934.64-1937.64] 他会仍然在消息
[1937.64-1939.64] 所以不敢买预费
[1939.64-1941.64] 不好意思我另外一个
[1941.64-1942.64] 你的意思是说
[1942.64-1944.64] 以前我们出货是还预费
[1944.64-1948.64] 意思就是从台湾对入
[1948.64-1949.64] 对
[1949.64-1950.64] 好
[1950.64-1980.64] 
[1980.64-1984.64] 所以大家可以给这个预费
[1984.64-1986.64] 有点过高或不顾及的状况
[1986.64-1988.64] 所以当初我们在两年
[1988.64-1991.64] 就把这个预费上拉了
[1991.64-1993.64] 因为后来预费有点下降
[1993.64-1995.64] 所以后面拿这个东西来
[1997.64-1999.64] 希望给一些预费
[1999.64-2002.64] 保持上一些新的订单
[2002.64-2004.64] 所以大家就这样
[2004.64-2009.64] 所以你说这个基本是预计的方法
[2010.64-2012.64] 期间做 affecting
[2012.64-2014.14] deutschen
[2014.14-2014.76] ban
[2014.76-2015.64] 好
[2015.64-2017.64] 那那么现在我们一定要
[2017.64-2018.64] 做的 У
[2018.64-2019.76] 要就是说
[2019.76-2020.88] 我们的预费
[2020.88-2021.26] 好
[2021.26-2021.64] Ashley
[2021.64-2022.64] Yep
[2022.64-2023.64] 这里有一个地方
[2023.64-2024.64] 她哪一个营业
[2024.64-2025.64] 区 让她放心
[2025.64-2026.64] nak
[2026.64-2027.02] 吗
[2027.02-2028.64] 没问题
[2028.64-2029.64] 您下一条
[2029.64-2030.64] 这里有一个
[2030.64-2035.84] 这一套
[2035.84-2037.64] 我的预算会有TR
[2037.64-2038.64] 这容易
[2038.64-2039.54] 如果发现我会让她
[2039.54-2039.64] 失购 organisations
[2069.64-2072.40] 或者平台或者盡量都都是
[2072.88-2074.28] 那都還可以
[2075.08-2078.08] 所以其實這幾年一直都有
[2078.20-2081.08] 就是說跟我們去做一個暫時的
[2082.20-2083.54] 那當然是有時候
[2084.50-2085.20] 難度
[2085.54-2087.50] 超過一切的難度
[2087.60-2089.44] 所以你趨勢來看東西就是在
[2090.84-2092.28] 緩慢的往上的量
[2092.88-2094.64] 其實從在我們以前開始的意思
[2094.64-2095.30] 和不同的
[2095.30-2098.50] 所以確實因為這個
[2098.50-2099.70] 這個收盤
[2101.66-2102.36] 那只是說
[2103.16-2104.74] 因為我們客戶其他都變大了
[2104.74-2105.34] 做完
[2105.40-2106.76] 沒沒有太多操作
[2107.04-2108.66] 所以其實風險是不高
[2108.66-2109.80] 只是說這是增加了
[2111.24-2112.50] 那在這個
[2113.74-2115.50] 還可以比較不好的情況下
[2115.60-2117.06] 所以我們一部分是接受
[2117.06-2118.46] 多這個變速增加
[2118.46-2119.86] 然後實際用這樣的一個
[2120.14-2120.70] 那每個
[2121.60-2122.50] 更多去增
[2122.90-2123.90] 更多的量
[2125.30-2126.60] 臼是底下5的
[2126.70-2126.88] 樓跟你
[2127.04-2127.40] Luis
[2153.24-2154.66] 老師可以 sogar axial
[2154.66-2155.24] provides
[2155.30-2163.80] 市長請教一下,波蘭廠的新產品也是跟安全性有關係嗎?還是有開放其他的產品線?
[2163.80-2167.80] 對,平常也是安能帶,只是做不同的動作
[2178.80-2184.80] 關稅或者是需求,在這方面現在安能區大概是多少?
[2185.30-2192.30] 關稅的部分其實最近比較多在台北
[2192.30-2199.30] 因為我們情況下是我們出國的產品,在上市
[2199.30-2208.30] 那以目前的情況來看,因為我們在北美其實就是分台灣跟大陸
[2208.30-2211.30] 基本上台灣很分,台灣可能直接不到日本
[2211.30-2215.30] 它這個部分的稅率目前是台北的,目前
[2215.30-2218.30] 所以目前還沒有收到的稅
[2218.30-2221.30] 那我先講一個前面的前提了解
[2221.30-2226.30] 就是說我們目前跟大陸通道北美基本上新關都可不清
[2226.30-2232.30] 但只是說如果這個稅率增加了,那客戶肯定還是會做很多的
[2232.30-2235.30] 我們是一些競爭力的會計
[2235.30-2242.30] 我實際上見這個非常難說,新關地方是可以的
[2242.30-2244.30] 那先講一下我們台灣的部分
[2244.30-2247.30] 我們接觸到美美,到目前這個部分是
[2247.30-2253.30] 對我們這個部分是後面的
[2253.30-2259.30] 那再來,就是你要知道默契
[2259.30-2264.30] 因為我們的安全帶的通常是很硬
[2264.30-2268.30] 所以它是要先被服裝強迫入口,才會到手下
[2268.30-2273.30] 那以往北美的這些安全帶這些通過
[2273.30-2279.30] 那我們實務上是全部先輸到客戶在墨西哥的車場
[2279.30-2282.30] 那客戶會把部分的強敵
[2282.30-2284.30] 我覺得應該是最大的問題
[2284.30-2287.30] 是在墨西哥的裝潢成後的模組
[2287.30-2290.30] 在乾淨的車場,或者北美的車場
[2290.30-2293.30] 所以先講說第一個對入口的這一段
[2293.30-2297.30] 臨界去墨西哥的部分,對付目前
[2297.30-2299.30] 目前是沒有改變
[2299.30-2302.30] 那就是說大陸有看到消息說
[2302.30-2304.30] 美國在墨西哥的市場
[2304.30-2307.30] 就是說西方東西都一樣對人
[2307.30-2310.30] 所以它要增加關稅
[2310.30-2312.30] 以面前為一個等候
[2312.30-2314.30] 因為目前在,雖然我們好像很多人
[2314.30-2317.30] 是目前這個美墨市面關稅的市場
[2317.30-2320.30] 都在做大變化目前
[2320.30-2321.30] 那在這樣的情況下
[2321.30-2323.30] 因為我們真的沒有很強
[2323.30-2329.30] 那像我們是把東西運到墨西哥最低的水平
[2329.30-2331.30] 那墨西哥在近年是
[2331.30-2334.30] 美國會給墨西哥一個大利
[2334.30-2336.30] 所以給他會
[2336.30-2338.30] 中國增加關稅
[2338.30-2340.30] 只是說目前還沒發生
[2340.30-2342.30] 那所以我們的情況是
[2342.30-2345.30] 面前的情況我們出的地方
[2345.30-2347.30] 都是墨西哥之間的關稅
[2347.30-2350.30] 那墨西哥地點是也是到
[2350.30-2352.30] 墨西哥的正常關稅
[2352.30-2355.30] 只是說如果後面不管是墨西哥把這個洞堵起來了
[2355.30-2357.30] 還是說有些變化
[2357.30-2360.30] 是誰整頓,不管是我們把這個洞堵起來了
[2360.30-2362.30] 還是我們把這個洞堵起來了
[2362.30-2364.30] 還是我們把這個洞堵起來了
[2364.30-2366.30] 就是說這個東西就交代
[2366.30-2369.30] 那看起來一二月呼應的狀況
[2369.30-2371.30] 有沒有可能明顯
[2371.30-2373.30] 說一二月
[2373.30-2376.30] 就是墨西哥那邊霹靂拉
[2376.30-2378.30] 其實沒有啦
[2378.30-2382.30] 因為其實我覺得短時間內
[2382.30-2384.30] 就是說大家的工廠
[2384.30-2386.30] 不要短時間去做一些調整
[2386.30-2388.30] 或是說先拉大量的工
[2388.30-2390.30] 所以我覺得大家
[2390.30-2392.30] 就是先變情況
[2392.30-2394.30] 就是先這樣去做
[2394.30-2396.30] 那實際在觀察會不會有什麼狀況
[2396.30-2398.30] 那然後沒有什麼可能的變化
[2398.30-2401.30] 就是跟之前的狀況有什麼關係
[2401.30-2403.30] 還是以生產的需求而定
[2408.30-2410.30] 請問一下這個
[2410.30-2413.30] 上個CCH的一個入選CCH的規定
[2413.30-2416.30] 是,它這邊因為入選它的
[2416.30-2418.30] 業餘基本上是有在
[2418.30-2420.30] 那個剛剛講的部分
[2420.30-2422.30] 在加入這個
[2422.30-2423.30] GPA這個
[2423.30-2425.30] 在這個地方
[2425.30-2426.30] 那一點也
[2426.30-2427.30] 是缺乏的
[2427.30-2429.30] 那它本身是有個
[2429.30-2432.30] 所以目標當然是
[2432.30-2433.30] 就是狀況
[2433.30-2435.30] 那然後我們這個
[2435.30-2437.30] 這個定位就是在這個
[2437.30-2438.30] 這個成分的
[2438.30-2440.30] 因素還有
[2440.30-2441.30] 權利的部分來幫
[2441.30-2443.30] 所以他們的
[2443.30-2447.30] 包括這個
[2447.30-2449.30] 其他對應商人的
[2449.30-2451.30] 這個結構方向
[2451.30-2453.30] 還有類似這個Ai的這個
[2453.30-2455.30] 這個相關的一些
[2455.30-2458.30] 對目的來說是推廣
[2458.30-2460.30] 請問一下這個Ai
[2460.30-2461.30] Cherry相關的
[2461.30-2465.30] 其實就是也是
[2465.30-2467.30] 類似類似的相關的戰略
[2467.30-2469.30] 其實就是
[2475.30-2477.30] 美國和歐洲
[2477.30-2479.30] 確定是機師比較明顯的
[2479.30-2480.54] 不准调整
[2480.54-2481.30] 有
[2481.30-2482.70] 还好
[2482.70-2484.00] 基本上
[2484.00-2487.50] 12月来说
[2487.50-2489.86] 在欧美的都已经
[2489.86-2491.82] 因为我们欧美的
[2491.82-2493.50] 有很多票
[2493.50-2494.66] 票的产业工作
[2494.66-2498.04] 其他没有
[2498.04-2503.02] 今年
[2503.02-2504.46] 客户给了
[2504.46-2508.00] 看起来很难去
[2508.00-2509.10] 或是
[2509.10-2510.60] 或是说
[2510.60-2512.42] 有安全带
[2512.42-2513.84] 那边的省长
[2513.84-2515.42] 有排序或者是
[2515.42-2516.76] 大概是这些
[2516.76-2519.68] 就是我们主要的三个区域来看
[2519.68-2520.80] 欧美
[2520.80-2522.84] 那
[2522.84-2526.30] 其实差异都没有到非常的大
[2526.30-2528.38] 但只是说这几个还是有一些
[2528.38-2530.18] 我们自己感觉的一些变化
[2530.18-2531.28] 那美国
[2531.28-2533.78] 说这有两三年
[2533.78-2537.84] 那大陆这边
[2538.00-2540.30] 其实是
[2540.30-2542.86] 大陆跟欧洲
[2542.86-2544.66] 其实
[2544.66-2546.20] 大陆方面
[2546.20-2546.96] 明显
[2546.96-2547.60] 就是说
[2547.60-2550.80] 大陆场在
[2550.80-2552.34] 大概就是
[2552.34-2554.12] 一半是能力市场
[2554.12-2556.18] 在大陆
[2556.18-2559.76] 或是欧美
[2559.76-2563.34] 那去年的话基本上
[2563.34-2564.62] 已经到现在
[2564.62-2567.18] 我们也还是有在网上看的
[2567.18-2567.96] 但是听到我们说的都是这样的
[2568.00-2569.02] 所以我觉得
[2569.02-2570.04] 我们的这两个
[2570.04-2571.08] 就是在
[2571.08-2572.10] 去年
[2572.10-2573.64] 大陆这边的
[2573.64-2574.66] 还是
[2574.66-2578.76] 另外是在
[2578.76-2579.78] 在这个
[2579.78-2581.06] 关这边的
[2581.06-2583.62] 就是在
[2583.62-2584.90] 在美国
[2584.90-2585.66] 这边
[2585.66-2586.44] 大陆在
[2586.44-2588.48] 就在美国
[2588.48-2590.52] 所以这个我觉得
[2590.52-2592.32] 我们这两个
[2592.32-2593.34] 是
[2593.34-2595.14] 大陆
[2595.14-2596.92] 对
[2596.92-2597.96] 所以刚才讲那个
[2597.96-2599.50] 南投场安全起来
[2599.50-2600.52] 跟北美
[2600.52-2601.54] 成长比较快是
[2601.54-2602.32] 这件事
[2602.32-2603.08] 算是
[2603.08-2603.84] 就是说
[2603.84-2605.90] 我们南投场这边增加了
[2605.90-2607.18] 这个安全起来
[2607.18-2609.74] 会不会再
[2609.74-2613.06] 那是今年还是会成长掉的
[2613.06-2613.84] 今年喔
[2613.84-2616.14] 应该不会在前面成长得很大
[2616.14-2617.92] 但基本上还是
[2617.92-2620.24] 所以这个re-bay
[2620.24-2621.00] 在这件事
[2621.00-2622.02] re-bay其实都是
[2622.02-2623.82] 国际
[2623.82-2626.64] 其实我跟客户的这些
[2626.64-2627.66] 商业的
[2627.66-2629.20] 其实中间不是
[2629.20-2629.96] 各在方的
[2629.96-2630.74] 比如说
[2630.74-2631.76] 我们觉得
[2631.76-2632.52] 吃亏了
[2632.52-2633.54] 跟客户
[2633.54-2635.08] 他们觉得他们吃亏了多
[2635.08-2637.64] 但基本上大家都是
[2637.64-2640.20] 就是说把一些好坏的留在一起
[2640.20-2641.48] 就
[2641.48-2643.02] 比如说刚刚提到的
[2643.02-2645.84] 你要我真的在上市
[2645.84-2646.86] 那
[2646.86-2648.40] 你说因为他们事实上有时候
[2648.40-2649.68] 那你基本上是也
[2649.68-2651.46] 所以
[2651.46-2652.50] 不想要到一些
[2652.50-2654.02] re-bay
[2654.02-2655.56] 要到美国上去
[2655.56-2656.58] 可以到
[2656.58-2657.62] 我一些
[2657.66-2659.46] 对
[2659.46-2660.74] 那我们这样
[2660.74-2661.76] 就是
[2661.76-2664.58] 上市好像是
[2664.58-2665.34] 第二集
[2665.34-2666.62] 所以好像也有
[2666.62-2667.64] 不太一定
[2667.64-2670.46] 是最大个
[2670.46-2671.48] 是
[2671.48-2675.58] 其实我们这个也就会算
[2675.58-2680.18] 其实以我们这几年的趋势
[2680.18-2681.72] 那个增加
[2681.72-2683.26] 就是
[2683.26-2684.28] 就是
[2684.28-2687.62] 那其实这也是说客户他的这个轮
[2687.66-2690.74] 可以进来一个需求
[2690.74-2691.24] 那
[2691.24-2692.52] 包括就是那些政策
[2692.52-2693.30] 就是希望是
[2693.30-2694.32] 集中货物上
[2694.32-2695.08] 比如说
[2695.08-2696.62] 比如像是一辆自驾
[2696.62-2697.64] 比如说他希望
[2697.64-2699.18] 真的有些核心的这个
[2699.18-2700.46] 就是他
[2700.46-2703.02] 就是铁草工厂的货量
[2703.02-2705.06] 那量成了说当然他就
[2705.06-2709.42] 那我们这边就变成说
[2709.42-2711.22] 这样的一个局面来说
[2711.22-2712.50] 会是刚刚讲的
[2712.50-2715.06] 那定位并不下来
[2715.06-2715.82] 就不样子
[2715.82-2717.62] 所以这个就不像这样
[2717.66-2721.24] 那这样这三个客户里面
[2721.24-2723.04] 他的利润率是
[2723.04-2724.32] 还是高吗
[2724.32-2727.14] 其实整理来说我会差不多
[2727.14-2728.66] 但是看左边每个
[2728.66-2729.70] 都都有
[2729.70-2731.48] 高的
[2731.48-2733.54] 就这种想要成绩是
[2733.54-2736.10] 因为他的利润是越来越高
[2736.10-2737.38] 你说
[2737.38-2738.66] 你最大的客户
[2738.66-2740.70] 其实也没有
[2740.70-2742.50] 这几年做的很辛苦
[2742.50-2745.56] 对但是他的采报的利润的确是每年都越来越高
[2745.56-2746.84] 不管那个
[2746.84-2747.62] 景气有多厉害
[2747.66-2748.94] 或者是出这个事情
[2748.94-2756.10] 所以现在不好做了
[2756.10-2759.44] 他的欧洲你有
[2759.44-2760.98] 我们开始
[2760.98-2763.78] 就是说其实最早就是
[2763.78-2766.10] 最大的客户要求
[2766.10-2768.40] 开始应该说周划到现在
[2768.40-2770.18] 欧洲全
[2770.18-2773.00] 所以波兰厂的安全带就是他
[2773.00-2773.78] 对
[2773.78-2774.80] 目前
[2774.80-2776.58] 那他会新增吗
[2776.58-2777.62] 他会新增吗
[2777.66-2778.68] 就是说
[2778.68-2780.48] 新增的是另外一个
[2780.48-2780.98] 对
[2780.98-2782.78] 那应该是说因为
[2782.78-2784.58] 我们现在要跟他说新的
[2784.58-2785.34] 但是
[2785.34-2787.14] 量会增加权利
[2787.14-2787.90] 因为
[2787.90-2789.18] 我们目前
[2789.18-2790.72] 今年来看的价格
[2790.72-2792.00] 不是满载的
[2792.00-2793.02] 刚刚也提到说
[2793.02-2795.06] 因为其实
[2795.06-2796.10] 因为现在新的
[2796.10-2797.88] 就是说他们都会有好几个
[2797.88-2799.94] 就会在
[2799.94-2802.24] 那我们是希望去争取新的
[2802.24-2803.52] 要好下来
[2803.52-2805.30] 但是
[2805.30-2806.84] 这其实都有存在的
[2806.84-2807.36] 比如说
[2807.66-2815.46] 
[2816.68-2817.38] 曾经想 명
[2817.38-2818.36] 那我们现在
[2818.36-2823.02] 给
[2823.02-2827.88] 后 但是
[2827.88-2831.72] 前面讲ük
[2831.72-2833.00] 那个
[2833.00-2835.34] 我
[2835.34-2836.94] 我还 deadline
[2836.94-2837.10] 我
[2837.10-2837.52] 等会
[2837.52-2842.78] 現在的石油會在多一世紀的時候就有價價
[2842.78-2848.78] 現在是會實地還是會在重力生產
[2848.78-2851.52] 基本上長期應該都會有限
[2851.52-2854.16] 就是說波蘭跟臺灣不一樣
[2854.16-2856.52] 波蘭廠要增加線
[2856.52-2858.52] 因為長期本來都後排不上
[2858.52-2860.52] 是要加一個價限
[2860.52-2863.52] 臺灣這邊是因為長期貿易
[2863.52-2865.52] 所以我們要增加一個基準
[2865.52-2867.52] 所以即便應該是
[2867.52-2870.52] 我們目前會先用估計的方式
[2870.52-2872.52] 但是估計還是有很多
[2872.52-2875.52] 需要讓舊的估計的長度達到
[2875.52-2877.52] 就是有限的
[2877.52-2879.52] 所以會有限化
[2879.52-2881.52] 只是說對於整理
[2881.52-2883.52] 就差異都不太大
[2883.52-2885.52] 因為這都不是一個
[2885.52-2887.52] 那麼大的估計模式的演習
[2887.52-2889.52] 所以就像我們本來的
[2889.52-2891.52] 就是說估計的設計裡面
[2891.52-2895.52] 這個是能夠一點點的去改變
[2895.52-2897.52] 那目前這個
[2897.52-2899.52] 其實來看
[2899.52-2901.52] 它會強力推開到
[2901.52-2903.52] 所以是我們這個方式
[2903.52-2905.52] 可以看它的方式
[2908.52-2909.52] 陳副長請教一下
[2909.52-2910.52] 因為我們在這個
[2910.52-2912.52] 南投廠跟波蘭廠都會擴限
[2912.52-2914.52] 那如果不考慮這個官設的議期的話
[2914.52-2916.52] 我們對於今年的營收的目標
[2916.52-2918.52] 大概是一個怎麼樣的成長的制度
[2920.52-2921.52] 我問給我們
[2921.52-2923.52] 請你請問給我們一些OK的
[2923.52-2924.52] OK的就是
[2924.52-2925.52] 就是變數
[2925.52-2926.52] 變數是不要的
[2926.52-2928.52] 那我們按照客戶的原則
[2928.52-2929.52] OK的讓我們過去
[2929.52-2930.52] 就是我們
[2930.52-2931.52] 一個應該是
[2931.52-2933.52] 我應該是跟波蘭
[2933.52-2935.52] 這樣子的一個項目
[2935.52-2938.52] 因為我們的設計
[2938.52-2940.52] 我們是各餐廳各餐廳
[2940.52-2942.52] 所以所有的產品
[2942.52-2944.52] 都是給我給你一個新的產品
[2944.52-2946.52] 那比如說像
[2946.52-2947.52] 剛才我們換的
[2947.52-2949.52] 小鮮覺得合理
[2949.52-2951.52] 找數量再往上爬
[2951.52-2952.52] 包括小鮮的生意
[2952.52-2954.52] 你看比如說直接大量
[2954.52-2956.52] 小量的
[2956.52-2957.52] OK的
[2957.52-2958.52] 那麼小量的
[2958.52-2959.52] 一場OK的再想
[2959.52-2961.52] 所以其實我們
[2961.52-2963.52] 汽車這一塊的一個廠商
[2963.52-2964.52] 增加性能也都是
[2964.52-2965.52] 想給多個生意的
[2965.52-2967.52] 所以可以偶爾從個出品
[2967.52-2968.52] 還有
[2968.52-2969.52] 大量的
[2969.52-2970.52] 上一個這個
[2970.52-2981.52] 那因為毛利率部分的話
