[0.00-16.64] 各位貴賓午安
[1629.58-1632.32] 那只是说后来要怎么样子
[1632.32-1635.16] 让员工能够
[1635.16-1636.60] 因为捐血的事实上
[1636.60-1638.34] 我们那个血袋是越来越少
[1638.34-1640.58] 因为一个是人年减少的
[1640.58-1643.64] 好像到65岁就不能捐的样子
[1643.64-1645.34] 忘记了反正他有一个年龄
[1645.34-1647.30] 你到那个年纪就不能再捐了
[1647.30-1649.94] 我们这边就努力的
[1649.94-1652.36] 现在奖品要越来越多
[1652.36-1654.00] 送的东西要越来越多
[1654.00-1655.22] 他才会来捐
[1655.22-1656.68] 后来我们又改一个
[1656.68-1659.02] 反正你去捐总是有记录
[1659.02-1661.16] 所以只要你捐累计做10次
[1661.16-1662.62] 不管你在哪里捐
[1662.62-1665.76] 公司也是会奖品给你
[1665.76-1666.98] 所以不在公司捐没关系
[1666.98-1669.82] 你在外面捐也是会给你
[1669.82-1670.52] 所以大概
[1670.52-1672.04] 大概是这样子
[1672.04-1672.84] OK谢谢
[1676.64-1680.64] 好的非常感谢文生达化学的经营团队的简报
[1680.64-1683.52] 那现在属于各位投资先进的Q&A时间
[1683.52-1685.62] 如果各位投资先进有任何问题的话
[1685.62-1687.22] 欢迎您举手发问
[1687.22-1689.50] 我将把麦克风订交给你
[1697.00-1698.78] 谢谢董事长跟财务长
[1700.52-1703.90] 生达真的是一个饮水资源的公司
[1703.90-1705.54] 刚才讲那个五条内裤
[1705.54-1708.58] 真的让人家感受很深
[1708.58-1710.48] 然后刚才财务长提到说
[1710.48-1713.90] 大概每年大概就是5%到10%的成长
[1713.90-1716.76] 可是今年就是比较有一个严肃的议题
[1716.76-1719.66] 就是川普的这个关税的问题
[1719.66-1723.40] 那我想请董事长就一个全球这个面
[1723.40-1725.16] 然后再来谈我们生达
[1725.16-1726.56] 就是说到底
[1726.56-1729.56] 因为很多的外媒都有提到说川普的关税
[1729.56-1729.64] 其实他会导致的关税会是什么呢?
[1729.64-1729.72] 其实他会导致的关税会是什么呢?
[1729.72-1730.36] 其实他会导致的关税会是什么呢?
[1730.36-1735.60] 导致全球药品的供应链发生问题
[1735.60-1738.04] 甚至于发生缺药的问题
[1738.04-1739.68] 那请你comment一下
[1739.68-1741.08] 那第二个就是说
[1741.08-1744.40] 生达是不是会遇到这样子的问题
[1744.40-1747.46] 那我们怎么去预防这样子的问题
[1747.46-1753.04] 第三个就是有关于我们生达在美国是不是有出口
[1753.04-1755.12] 那如何去应对这样的问题
[1755.12-1756.38] 谢谢
[1756.38-1758.32] 好谢谢
[1758.32-1759.28] 我们这么看
[1759.28-1760.00] 就是说
[1760.00-1760.36] 那个
[1760.36-1761.92] 全球是这么多
[1761.92-1763.96] 但是美国它是最大的
[1763.96-1768.68] 那现在是美国要求世界上所有其他国家都要怎么样子
[1768.68-1770.36] 那用药品来看的话
[1770.36-1772.76] 药品我们有分大分子跟小分子
[1772.76-1776.62] 大分子就是现在陆陆续续有在上市的那些生物用药
[1776.62-1777.60] 那些癌症的
[1777.60-1781.98] 那些就是那个未来的趋势在这边
[1781.98-1784.12] 那另外就小分子就是我们平常在吃的
[1784.12-1785.04] 港妹用药
[1785.04-1785.98] 三高的
[1785.98-1787.06] 那些就是固定的
[1787.06-1788.98] 那是比较属于小分子
[1788.98-1790.20] 然后又分原厂用药
[1790.20-1791.36] 原厂用药跟学名药
[1791.36-1793.24] 原厂就是专利期内的
[1793.24-1795.64] 那另外就是专利期已经过了
[1795.64-1797.44] 就是原来就是学名药
[1797.44-1799.48] 那所以你用美国来看的话
[1799.48-1800.40] 他要的是什么
[1800.40-1803.52] 就说他要是你来我这边制造
[1803.52-1804.24] 另外一个
[1804.24-1806.28] 我不要你那么多钱
[1806.28-1808.04] 赚我这么多钱
[1808.04-1810.00] 所以我要你压低
[1810.00-1812.32] 那如果我没有办法给你压低的话
[1812.32-1814.00] 我就跟你课税
[1814.00-1817.04] 比如说你我希望你卖给我一百块
[1817.04-1818.92] 然后我希望你能够卖五十块
[1818.92-1819.84] 你不卖给我五十块
[1819.84-1821.12] 我就跟你课五十块
[1821.12-1825.16] 所以我用这个钱去补我的欠债
[1825.16-1829.90] 那美国那边他有很多的原厂
[1829.90-1832.00] 要他是在欧洲做的
[1832.00-1832.40] 为什么
[1832.40-1835.64] 因为他那边爱尔兰他的关税
[1835.64-1839.44] 他的企业税很低
[1839.44-1841.04] 所以很多都是在那边
[1841.04-1844.20] 包括Apple什么也都是在那里
[1844.20-1849.48] 所以当川普他要的东西出来了以后
[1849.48-1852.60] 那要看看这就有点像那个大风吹
[1852.60-1856.48] 就说原厂要他如果没有办法进到美国
[1856.48-1857.94] 或者说他的关税很高
[1857.94-1859.08] 然后他怎么样
[1859.08-1862.04] 所以他就会陆陆续续就会在那个美国那边设厂
[1862.04-1865.40] 所以这边有看到Russia要花什么一百五十亿
[1865.40-1867.24] 或者是忘记金额是多少
[1867.24-1869.36] 然后都有陆陆续续那个药厂说好
[1869.36-1870.80] 他要在那边设厂
[1870.80-1873.44] 但是他时间不会很快
[1873.44-1874.86] 所以他时间会比较慢
[1874.86-1877.12] 但是他的产能还是在那边的
[1877.12-1878.12] 所以也就是说他如果说有一些短的时间之后
[1878.12-1878.14] 所以他时间会比较慢但是他的产能还是在那边的所以也就是说他如果说有一些短的时间之后
[1878.14-1879.98] 他如果说有一些短的时间之后
[1879.98-1881.30] 没有跑到美国去的话
[1881.30-1883.14] 他应该是不会说短的
[1883.14-1886.02] 就是不会造成我们这边的缺货
[1886.02-1887.74] 所以原厂要来讲
[1887.74-1890.94] 因为他是美国那边影响会大的
[1890.94-1892.66] 对于原厂要来说
[1892.66-1894.86] 他就是美国那边会有受影响
[1894.86-1896.44] 那另外就是说玄密药厂来讲
[1896.44-1899.32] 在美国那边他在玄密药厂大概占90%
[1899.32-1901.20] 也就是说他的量是那么多
[1901.20-1903.48] 那最多的就是在印度
[1903.48-1905.86] 那另外一个是中国大陆是原料药
[1905.86-1907.72] 那这些这两个一个是二十几%
[1907.72-1908.12] 一个是
[1908.12-1909.40] 现在一百多趴
[1909.40-1911.14] 当然还是会往下降
[1911.14-1913.02] 不管怎么样总是会很高
[1913.02-1914.94] 那这些也会变成说
[1914.94-1917.52] 当他没有那个利润的时候
[1917.52-1918.86] 他就要涨价
[1918.86-1922.22] 所以到后来他的量还是会在
[1922.22-1923.46] 因为
[1923.46-1925.66] 最后你只能
[1925.66-1926.58] 多付钱
[1926.58-1930.22] 因为你要吃药总之会有那么多人吃药
[1930.22-1931.60] 所以以玄密药厂来讲
[1931.60-1932.82] 他的量就是那么多
[1932.82-1934.62] 你只是买高或是买低
[1934.62-1937.22] 但这些如果买高的话是跑到美国那边
[1937.22-1938.00] 其实他还是会
[1938.00-1940.00] 到其他世界其他地方
[1940.00-1942.82] 所以对于整个来看的话
[1942.82-1945.30] 我是觉得说用用药品这一块
[1945.30-1946.68] 因为他是easential的
[1946.68-1948.32] 那那个有时候
[1948.32-1951.02] 比如说你车子你就五年买一台
[1951.02-1953.56] 六年那个再去换就多研就好
[1953.56-1954.48] 但是要你不能说
[1954.48-1956.42] 我就今年不吃我明年再吃
[1956.42-1957.44] 所以他就是时间到
[1957.44-1959.32] 你就是要去尤其是慢性病
[1959.32-1960.92] 所以他的量不会减少
[1960.92-1963.50] 那只是说当你量不减少
[1963.50-1964.54] 反而增加
[1964.54-1966.32] 然后你那个成本增加的时候
[1966.32-1967.38] 其实那个钱就是看从到哪里去吃
[1967.38-1971.88] 不过他还是量还是不会被减少
[1971.88-1973.94] 所以我正在看的话就是
[1973.94-1975.72] 当你量不减少的时候
[1975.72-1978.34] ok然后影响最大是在美国受
[1978.34-1980.62] 其实其他地方是不会有太大的
[1980.62-1981.50] 那个影响
[1981.50-1982.54] 那生来这边
[1982.54-1984.06] 其实我们卖到美国去了
[1984.06-1984.94] 只有两个品项
[1984.94-1986.52] 那个那个金额也不高
[1986.52-1987.32] 再加上说
[1987.32-1989.32] 其实那个要去换玄密药
[1989.32-1990.62] 也是不是那么简单
[1990.62-1991.38] 不是那么快
[1991.38-1994.06] 然后他那边因为卖过去的
[1994.06-1994.82] 价格低了
[1994.82-1996.36] 他的市售价比较高
[1996.36-1997.38] 因为赚都是在
[1997.38-1998.70] 那个销售那一块
[1998.70-2000.46] 所以我们这边假设说好
[2000.46-2001.50] 之后是30%
[2001.50-2003.56] 其实他那边大概涨个5%6%
[2003.56-2004.52] 就可以cover过来
[2004.52-2005.40] 所以我们这边
[2005.40-2006.66] 那个其实在在谈
[2006.66-2007.94] 因为还有90天嘛
[2007.94-2008.88] 所以就
[2008.88-2011.76] 其实他今年量大概90天之内就输出去了
[2011.76-2013.66] 所以所以今年是不会有什么影响
[2013.66-2014.76] 那你说明年怎么样
[2014.76-2017.62] 就看看最终那个承来落定的时候
[2017.62-2018.50] 到底是几趴
[2018.50-2020.18] 我们大概就会知道说影响是多大
[2020.18-2021.44] 不过就是有的话
[2021.44-2023.58] 我们大概也不会有太大的影响
[2023.58-2024.38] 是这样谢谢
[2027.38-2030.26] 那你说的话呃的原物料
[2030.26-2034.10] 就说你上游原因的物料呃是不会有短缺的问题
[2034.10-2038.26] 嗯不会我们就只有少少的是美国的原料
[2038.26-2041.82] 那但是那些也有其他的可以去换
[2041.82-2043.90] 呀所以也也还好
[2043.90-2046.06] 所以如果说这样子看起来
[2046.06-2047.18] 生打的话
[2047.18-2050.38] 今天还是可以维持像过去几年的成长
[2050.38-2054.38] 就是说今年可以维持5%到10%的成长
[2054.38-2056.50] 可以维持成长
[2056.50-2056.74] 对了
[2056.74-2059.98] 就是说维持5%或5%已经很少了
[2059.98-2060.94] 好吧
[2060.94-2062.68] 那个因为我们不能讲数字
[2062.68-2063.88] 所以我只能成长
[2063.88-2066.18] 所以就是就是不会比去年差嘛
[2066.18-2067.38] 就这样子讲
[2067.38-2069.16] 对好会成长不会比去年差
[2069.16-2071.78] 对对会成长不会比去年差
[2071.78-2074.02] 我再补充一下好了
[2074.02-2077.68] 就其实我想你要问的问题
[2077.68-2080.06] 因为我们刚才总经理
[2080.06-2084.20] 就是我们董事长跟董事长所强调是生打的部分
[2084.20-2085.86] 但因为我们才到
[2085.86-2086.66] 你们看到数字
[2086.66-2088.66] 大概就是所谓的合并财报的数字
[2088.66-2088.94] 对
[2088.94-2091.14] 那所以其实我们是三大主体
[2091.14-2095.34] 好比如说我们现在年有大概67亿左右
[2095.34-2097.02] 好那我们生打的营收
[2097.02-2098.02] 大概是占一半
[2098.02-2099.18] 占32亿
[2099.18-2101.14] 然后其次就是生长
[2101.14-2102.54] 大概就占20亿
[2102.54-2104.94] 好另外一部分就是生态的部分
[2104.94-2107.82] 那整体的关税有关于生打的部分
[2107.82-2109.42] 总经理刚才有提到
[2109.42-2113.50] 那然后我们在抢其他关税
[2113.50-2115.46] 我们其他两家公司可能会遇到问题
[2115.46-2115.78] 好
[2115.78-2117.78] 第一个就是生产的部分
[2117.78-2119.02] 他是做保健食品
[2119.02-2119.34] 对
[2119.34-2122.10] 然后他会所面临到的挑战
[2122.10-2123.06] 就是说
[2123.06-2127.22] 我说因关税他可能会遇到的挑战
[2127.22-2130.26] 就是说他是保养品
[2130.26-2131.86] 那保养品进口的部分
[2131.86-2133.70] 目前才30%的部分
[2133.70-2136.02] 然后后续会不会受到这个影响
[2136.02-2138.50] 那你可以从一些报章杂志
[2138.50-2139.78] 也可以看到说
[2139.78-2144.78] 是这整个影响要看政府跟美国他们的策略
[2144.78-2146.78] 来看对生长以后
[2146.78-2149.78] 所谓保健食品的进口销售价格
[2149.78-2151.94] 会对市场上有所影响
[2151.94-2155.98] 那第二个有关于CMO的这些策略影响的部分
[2155.98-2159.26] 那另外一家我们就生态云妙妙的部分
[2159.26-2163.18] 他大概几乎直接跟间接的外销比例
[2163.18-2164.70] 大概占了90%
[2164.70-2167.34] 那其中大概对美国的销售
[2167.34-2169.26] 大概是16%上下
[2169.26-2171.66] 16%上下
[2171.66-2173.10] 那有询问过生态
[2173.10-2174.62] 因为目前就是因为
[2174.62-2178.42] 整个美国关税的政策都未定
[2178.42-2181.74] 所以也很难评估到底会对什么样的影响
[2181.74-2184.54] 所以我们总经理
[2184.54-2187.90] 这我们董事长跟总经理都有持续请同人
[2187.90-2191.38] 在关注这件事情的一个前后的一个变化的部分
[2191.38-2196.38] 那也责成各事业处的主管都要去注意这个影响
[2196.38-2198.34] 那目前说具体意义是怎样
[2198.34-2201.02] 应该是目前没有人知道
[2201.02-2202.62] 以上
[2202.62-2204.62] 所以刚刚有提到说
[2204.62-2207.62] 可是我问的是整个生
[2207.62-2210.06] 生达集团
[2210.06-2212.58] 就是他也包括了生态跟生产
[2212.58-2214.54] 是是是这三家公司
[2214.54-2218.02] 这时候遇到的关税的问题是实际上是不太一样
[2218.02-2221.98] 会不会说这三家公司今年相较去年
[2221.98-2223.58] 其实不会衰退
[2223.58-2225.26] 我们的目标是比较衰退
[2225.26-2228.26] 但是你说到底美国的这关系
[2228.26-2229.58] 还有包括我们台湾的说
[2229.58-2232.30] 说保证品这个关税的影响到底会怎样
[2232.30-2234.46] 到目前什么时候决定
[2234.62-2235.82] 影响的比例是怎样
[2235.82-2238.50] 应该目前没有人可以确定这件事情
[2238.50-2241.82] 我们现在有没有办法去跟你一个肯定的答复
[2241.82-2244.22] 当然我们内部的目标都是希望
[2244.22-2245.74] 从董事长所讲的
[2245.74-2247.74] 我们就会希望稳定成长
[2247.74-2249.02] 对努力
[2249.02-2250.46] 这是努力目标
[2250.46-2253.82] 因为其实就长期的投资人来讲
[2253.82-2257.54] 其实在现在这样子的一个氛围之下
[2257.54-2262.62] 其实我们都是要积极找那种很稳健的公司
[2262.62-2263.98] 以
[2264.62-2267.50] 就是说那个学名药就是生产这边
[2267.50-2270.50] 我们看得到的是不会有影响
[2270.50-2273.86] 但是比较大的就是生态
[2273.86-2275.06] 再来就是生产
[2275.06-2277.78] 因为生产他们面临到说都有在谈的
[2277.78-2282.22] 资本跟美国它的保健食品进来的关系是30%
[2282.22-2284.42] 如果30%一下子降到0%的话
[2284.42-2286.26] 那一定会有冲击
[2286.26-2289.54] 但是说冲击多少不大
[2289.54-2292.14] 现在其实很难知道
[2292.14-2293.98] 可不可以问一下像生产的话
[2293.98-2297.66] 刚才财务长有讲说他营收大概20亿
[2297.66-2303.38] 那大概占生达的获利大概是多少的比重
[2303.38-2305.18] 获利还是营收
[2305.18-2307.62] 他是说营收20亿
[2307.62-2312.46] 然后获利的话大概是占生达整体的多少
[2312.46-2315.10] 生达的获利的多少
[2315.10-2315.58] 对啊
[2315.58-2316.90] 因为是业外嘛
[2316.90-2317.86] 对不对
[2317.86-2319.86] 因为我们现在是合并在一起
[2319.86-2321.42] 然后去做那个
[2321.42-2323.18] 我看一下业外的部分
[2323.18-2323.42] 好
[2323.42-2325.94] 等我会回答你
[2325.94-2328.02] 他拿算盘算一算
[2334.90-2336.02] 我很想知道
[2336.02-2338.78] 刚刚有提到过去5年
[2338.78-2341.86] 公司的获利就是一直在创新
[2341.86-2344.38] 到底是什么样子的一个
[2345.82-2346.46] COVID
[2347.30-2348.74] 是因为COVID的关系
[2348.74-2351.34] 因为人家说危机他有两个字
[2351.50-2352.14] 一个是危险
[2352.14-2353.22] 另外是机会
[2353.42-2355.90] 所以他是危机
[2355.90-2356.90] 我们也可以缺货
[2356.90-2358.54] 我们也可以那个
[2358.54-2361.42] 就那个都就是没有原料可以卖
[2361.42-2363.42] 但是我们在那
[2363.42-2366.18] 尤其在第一年的时间花了很多资料
[2366.18-2367.58] 花了很多
[2367.58-2371.82] 那个精力在确定好我们的那个原料
[2371.82-2372.82] 可以进来
[2372.82-2375.54] 所以当变确获的时候
[2375.54-2377.90] 我们有有货可以供
[2377.90-2379.18] 自己买
[2379.18-2380.94] 别人的货还是
[2380.94-2383.38] 也就是所以可以看得到说我们是从
[2383.42-2384.54] 这个COVID
[2384.54-2387.10] 那个从两块两个钱多一点
[2387.10-2389.22] 然后再三块再四块这样子
[2389.22-2393.18] 所以那那这样子算不算最甜蜜的
[2393.18-2394.54] 已经过去了
[2394.54-2397.50] 算不算最甜蜜的已经过去了
[2397.50-2398.38] 最甜蜜的
[2398.38-2400.38] 以前大概一块多
[2400.38-2401.26] 两块多
[2401.26-2402.46] 然后现在就十块多
[2402.46-2405.66] 所以现在给文文大概四块多
[2405.66-2409.02] 就努力
[2409.02-2413.30] 谢谢
[2413.42-2417.74] 还有其他投资先前有提问
[2417.74-2419.82] 喂
[2419.82-2421.06] 董事长好
[2421.06-2423.06] 那我想请教两个问题
[2423.06-2425.94] 那第一个是我们的股利配罚率啊
[2425.94-2428.54] 当然总额单股是有提高了
[2428.54-2430.14] 可是以配罚率来说
[2430.14-2432.26] 从前几年的七成再降到六成
[2432.26-2433.54] 现在到五成多
[2433.54-2435.02] 那这个原因是什么
[2435.02-2437.86] 这样子那未来的配息政策是不是大概会是这样
[2437.86-2442.74] 那第二个是公司有公告参与那个EVA公司的私募整治案嘛
[2442.74-2442.94] 那
[2443.42-2444.70] 公司本来就有投资EVA
[2444.70-2446.90] 那又增加了他的持股
[2446.90-2450.30] 那对于深大而言是有什么策略合作的目的
[2450.30-2453.94] 那因为知道EVA在美国有CDMO的部分
[2453.94-2455.70] 那他自己也有开发一些药
[2455.70-2461.46] 那对于那个深大来说是不是在跟EVA有什么策略合作的地方
[2461.46-2463.90] 谢谢
[2463.90-2465.18] 那有关于股利配罚率
[2465.18-2466.46] 我大概是这边先讲
[2466.46-2469.98] 如果有要补充再请董事长做补充
[2469.98-2471.42] 那因为前几年的部分
[2471.42-2473.34] 我们在内部有一个
[2473.42-2475.98] 有一个负面的一个资金的需求
[2475.98-2478.66] 所以这几年我们的股利配罚率
[2478.66-2481.62] 是相对大概五成到六成的中间
[2481.62-2485.18] 那至于未来的部分会看我们未来的
[2485.18-2489.50] 每年的投资计划来判断说我们股利配罚率会是多少
[2489.50-2489.70] 好
[2489.70-2491.02] 大家请他先回答这样
[2494.22-2495.74] 那再就是那个EVA
[2495.74-2497.74] 因为深大是做学名药
[2497.74-2500.10] 但是EVA他就是不做学名药
[2500.10-2501.66] 那当然他也不是做新药
[2501.66-2503.38] 但是我们看得到就是说他所做的
[2503.38-2505.26] 不是我们这边能够做的
[2505.26-2507.42] 而且他做的还是相当不错
[2507.42-2509.26] 因为除了他现在在大陆
[2509.26-2513.86] 大陆他是那个去挑战原厂的专利
[2513.86-2517.30] 后来原厂无常让他能够提前三年上市
[2517.30-2519.66] 所以他可以在那边就单独去
[2519.66-2521.94] 那个销卖这个那个
[2521.94-2524.18] 那个intrasco这个这个产品
[2524.18-2526.58] 那我们这边也有
[2526.58-2531.18] 藉由跟他的合作知道说他还有一些品项啊
[2531.18-2533.34] 好再再继续开发
[2533.38-2534.66] 再继续合作
[2534.66-2536.22] 他说我们觉得说
[2536.22-2537.54] 以我们学名药厂
[2537.54-2539.82] 我们要做到像他那样一块的话
[2539.82-2541.38] 我们也是需要时间
[2541.38-2544.62] 所以我们就用类似这种策略联盟的方式
[2544.62-2546.18] 用这种partner的方式
[2546.18-2548.06] 所以除了原先投资的一亿以外
[2548.06-2549.70] 我们后来又再投资一亿
[2549.70-2551.06] 他希望说之后
[2551.06-2552.34] 那个他的一些品项
[2552.34-2555.14] 因为这是他他他比较属于前面
[2555.14-2556.54] 比较属于那个研发了
[2556.54-2558.46] 他也那个生产在美
[2558.46-2561.10] 生产是在美国的那个纽泽西那边
[2561.10-2563.34] 他他的场地也不是很大啊
[2563.38-2565.94] 因为他要做的也不需要说很大的量
[2565.94-2567.50] 学名药厂才需要很大的量
[2567.50-2569.34] 所以他这边就足够了
[2569.34-2571.50] 这样说他的强项也是在研发那里
[2571.50-2574.82] 生产partner也不一定是要在他那边做生产
[2574.82-2576.78] 所以他的策略是在说大陆做大陆的
[2576.78-2577.78] 美国做美国的
[2577.78-2580.46] 所以这边的关税对他没有什么影响
[2580.46-2582.82] 因为他不是说要从大陆到美国
[2582.82-2584.34] 或是从美国到大陆那边去
[2584.34-2586.54] 他就是各自在那边
[2586.54-2588.10] 所以最主要是在于说
[2588.10-2591.22] 我觉得那个两家公司是可以有互补的
[2591.22-2592.82] 就是他可以
[2592.82-2594.62] 补到生达我们这一块
[2594.62-2595.94] 只有做学名药这一块
[2595.94-2597.58] 那我们这边本来就是说要
[2597.58-2598.94] Better than generics嘛
[2598.94-2600.34] 啊一个是自己可以做
[2600.34-2602.46] 另外一个是借由别人
[2602.46-2604.74] 他那个做的好的地方
[2604.74-2607.06] 我们可以那个占用他做的好地方
[2607.06-2609.50] 能够那个互相两边都可以共好
[2609.50-2610.30] 这样子
[2610.30-2611.70] 谢谢
[2611.70-2614.90] 但持有BNO长度是
[2614.90-2616.18] 5%多
[2616.18-2617.38] 对5%
[2617.38-2619.38] 5点多趴
[2622.82-2626.38] 你说拖累我们的货量
[2626.38-2628.06] 应该还好
[2628.06-2631.58] 我们不用合并进来嘛
[2631.58-2632.10] 对不对
[2632.10-2635.10] 我们不用没有合并进来
[2635.10-2637.66] 要20%以上才能够才合并
[2637.66-2640.10] 因为我们对他持股一定面对20%以上
[2640.10-2642.90] 所以我们应该会用私下去做一个平复
[2642.90-2645.22] 所以他说他股价的变化
[2645.22-2647.42] 那这个目前我判断
[2647.42-2651.34] 对他说他看私下的股价变化
[2651.34-2652.34] 不论你是反应在这
[2652.82-2654.22] 也不会影响到所在
[2654.22-2657.62] 所以他会在市场不代表说一个
[2657.62-2658.50] 增加变化
[2658.50-2660.06] 但不会直接反应到现在
[2660.06-2661.14] 不会我们决定
[2661.14-2661.58] 对吧
[2661.58-2662.78] 我已经很恐怖
[2666.74-2668.38] 还有投资先进有要提问的吗
[2673.38-2674.06] 没有的话
[2674.06-2676.54] 我们深达花雪今天的法轮说明会呢
[2676.54-2677.70] 就到此结束
[2677.70-2679.66] 非常感谢我们深达的心意团队
[2679.66-2681.38] 以及各位投资先进的参加
[2681.38-2682.30] 在此请求各位
[2682.30-2682.78] 身体见谅
[2682.82-2684.22] 万事如意投资顺利
[2684.22-2685.50] 谢谢
