[0.00-5.76] 各位白人朋友午安
[1492.16-1495.48] 看起來要推出新產品我們把新把舊產品
[1495.48-1497.54] 透過一些促銷等等
[1497.54-1499.84] 把它清個大概手上的庫存
[1499.84-1504.70] 都像系統產品大概就安全庫存在一兩個月以內
[1504.70-1508.28] 慢慢在均度的時候呢可以嫌棄一些新產品
[1509.10-1513.46] 然後呢我們就
[1513.46-1517.04] 存貨周轉大概七十一天七十四天
[1517.04-1518.58] 我大概有報告過啦
[1518.58-1519.34] 這個
[1519.34-1520.36] 有稍微多一點
[1520.36-1522.42] 不過主要是要備一月
[1522.42-1523.44] 奧月
[1523.44-1524.46] 這一月
[1524.46-1525.74] 那以資金
[1525.74-1527.02] 付款天數來講
[1527.02-1529.32] 五十六然後收件天數四十天
[1529.32-1530.86] 大概星期三左右
[1530.86-1532.90] 大概差不多五十八天左右
[1532.90-1538.02] 以上就是我們今天的一些財務報告還有整個營業的報告
[1538.02-1539.06] 那
[1539.10-1541.66] 去年整體的表現並不如預期
[1541.66-1543.20] 我想大概
[1543.20-1544.48] 我剛剛講的
[1544.48-1546.26] 一個是沒有新產品
[1546.26-1547.30] 那一個是
[1547.30-1549.08] 美國還有BRC
[1549.08-1551.64] 整體的經濟表現並不如預期
[1551.64-1554.46] 所以說早前整個的需求有點低落
[1554.46-1557.78] 我們在兩個大市場並沒有表現得很好
[1557.78-1559.06] 那今天我們會
[1559.06-1560.60] 想辦法進行改進
[1560.60-1561.88] 那就謝謝大家
