[0.00-3.22] 友达光电2025年第一季法人说明会
[1742.10-1746.10] 那当然主要是因为他们的产品的制造跟组装
[1746.10-1748.10] 会在大陆
[1748.10-1751.10] 那所以我们也积极的在跟工业伙伴合作
[1751.10-1754.10] 那配合客户的生产策略的整合调整
[1754.10-1758.10] 来帮他们找更低税率
[1758.10-1761.10] 更低成本的生产跟销货的一个解决方案
[1761.10-1764.10] 那这个也是由他在做Vertical Solution的
[1764.10-1766.10] 服务的一个很重要的环境
[1766.10-1770.10] 那另外呢在四月初的部分
[1770.10-1773.10] 友达的子公司达琴宣布跟
[1773.10-1777.10] Inc. 元泰科技签署投资条件书
[1777.10-1782.10] 那双方计划以资本额新台币3.9亿元
[1782.10-1784.10] 来成立合资公司
[1784.10-1786.10] 那友达琴持股51%
[1786.10-1789.10] 元泰持股49%
[1789.10-1792.10] 然后在友达现行的农科厂区
[1792.10-1796.10] 共同打造大型电子纸的模组生产线
[1796.10-1799.10] 那这个JB的设立其实主要看在
[1799.10-1803.10] 双方结合技术还有市场跟生态圈的部
[1803.10-1806.10] 那元泰对于电子纸关键材料
[1806.10-1809.10] 跟最新技术的掌握跟发展
[1809.10-1813.10] 那友达呢在面板的设计以及大尺寸
[1813.10-1815.10] 模组的这个制造的能力
[1815.10-1818.10] 再加上达琴在工商领域生根智慧
[1818.10-1822.10] 零售的客户资源以及全球的这样的市场布局
[1822.10-1826.10] 我们彼此都看好可以透过这样的JB呢
[1826.10-1828.10] 加速在大尺寸台车电子模组的
[1829.10-1833.10] 这样的开发以及市场的拓展
[1833.10-1837.10] 那我们的目标呢其实是利用这样的一个
[1837.10-1842.10] 新的大型台车电子纸的这样的生态领域的布局
[1842.10-1846.10] 那取得这个ESG趋势下的新的成长动能
[1846.10-1849.10] 所以呢在对于达琴来说
[1849.10-1851.10] 我们可以除了提供电子模组
[1851.10-1854.10] 还可以针对特定的场域
[1854.10-1857.10] 提供完整的软硬体程和解决方案
[1857.10-1862.10] 那这个JB公司呢预计在相关的程序完成之后
[1862.10-1865.10] 会在今年的第四季投产
[1865.10-1869.10] 那在未来几年我想对于场域的CEO单位的营收
[1869.10-1872.10] 我们的目标保持这个双位数的年增率
[1872.10-1874.10] 也会有一定的帮助
[1874.10-1876.10] 好那最后呢
[1876.10-1881.10] 我针对这个三个支柱的第二季的营运展望做个总结
[1881.10-1885.10] 那比特币因为基期较高还有关税等很多的影响
[1885.10-1887.10] 营收应该不太大
[1887.10-1891.10] 预期会相较于比第一季略微下滑一点
[1891.10-1895.10] 那PoPA Solution也因为第一季较高的基期
[1895.10-1898.10] 跟受到客户一些专案事情的影响
[1898.10-1904.10] 因此营收预估会比第一季减少都Dingle Diction
[1904.10-1908.10] 那Virtual Solution在整体需求持续回升
[1908.10-1911.10] 以及持续性专案的放量带动下
[1911.10-1916.10] 营收相较于第一季会有HIGH DINGLE DICT的成长
[1916.10-1918.10] 以上是我的说明谢谢
[1918.10-1921.10] 好谢谢Paul还有谢谢Frax分享
[1921.10-1926.10] 接下来就法人已经提问的问题的部分进行回答
[1926.10-1929.10] 第一题是跟财务相关的问题
[1929.10-1932.10] 在目前的经济情势之下
[1932.10-1939.10] 能否请公司对2025年折旧及资本支出提供一个新的update
[1939.10-1944.10] 未来在资本支出及折旧的走势能否也提供一个质疑
[1944.10-1945.10] 这一部分我们请David回答
[1946.10-1947.10] 好谢谢
[1947.10-1951.10] 目前针对KPAC跟折旧的部分
[1951.10-1955.10] 公司为止跟上一个季度的估计数是一样的
[1955.10-1963.10] 预计2025年全面的KPAC还是在预估不超过300亿台币的水准之下
[1963.10-1968.10] 折旧的话为止在预估300亿台币的部分
[1968.10-1975.10] KPAC的部分因为因应目前美国关税造成的市场跟总金的不确定性
[1975.10-1979.10] 我们对KPAC虽然现在是预估不超过300亿台币
[1979.10-1983.10] 我们会持续的关注市场跟总金的变化
[1983.10-1986.10] 会深深的做一个动态的调整
[1986.10-1988.10] 第二个部分的话
[1988.10-1991.10] 因应有达现在整体的一个策略的转型
[1991.10-1998.10] 未来还是会持续把资源投放到Mobility跟Vertical的Solution方面
[1998.10-2002.10] 也就是说会从以前的重资本的投资
[2002.10-2003.10] 会往转换轻资产的Business model
[2003.10-2004.10] 会往转换轻资产的Business model
[2005.10-2007.10] 所以从中长期来看的话
[2007.10-2012.10] 公司的未来的KPAC跟折旧的走向应该会逐年往下
[2012.10-2014.10] OK谢谢
[2014.10-2015.10] 谢谢
[2015.10-2018.10] 接下来是Display市场相关的问题
[2018.10-2023.10] 第一季全球TV及IG产品中端销售的状况
[2023.10-2026.10] 以及整体通路库存状况
[2026.10-2029.10] 能够请公司给一个说明
[2029.10-2033.10] 另外在Display这边看到客户端及产业端
[2033.10-2034.10] 对于关税的因应
[2034.10-2036.10] 影响
[2036.10-2038.10] 关税的影响与应应的方式
[2038.10-2040.10] 这部分我们是不是请健美回答
[2040.10-2044.10] 各位投资人大家午安
[2044.10-2052.10] 刚我想Paul还有Frame都有提到一些Display市场的一个状况
[2052.10-2058.10] 那我这边详细的在解说一些市场状况
[2058.10-2063.10] 第一季原本就是传统的TV及IG的战绩
[2063.10-2068.10] 但是受惠于关税提前拉货
[2068.10-2073.10] 还有大陆市场以旧换新延续到2025年
[2073.10-2078.10] 所以说在第一季看起来年成长都有不错的表现
[2078.10-2085.10] 那在TV的全球市场成长大概YY2-3%
[2085.10-2092.10] 那主要是在于大陆市场它的销售其实并没有往下掉太多
[2092.10-2095.10] 还是只有稍稍掉了2%
[2095.10-2104.10] 但是整体的出货面积却是因为大尺寸大幅增加而成长了很多%
[2104.10-2112.10] 那这主要的成长是来自于说85寸以上的年成长有到35%
[2112.10-2116.10] 那占了整个出货的占比有13%
[2116.10-2121.10] 所以整个平均尺寸较去年同期成长的2.2寸
[2121.10-2122.10] 来到现在的2.2%
[2122.10-2124.10] 到65.6寸
[2124.10-2128.10] 所以这都是增加我们的出货面积的成长
[2128.10-2134.10] 那在美国市场也是相对表现的相对的平稳
[2134.10-2137.10] 年成长率也有1.4%
[2137.10-2141.10] 那除了就是一些退税季节的需求
[2141.10-2148.10] 还有一些大家可能提前消费
[2148.10-2151.10] 所以说这个目前看起来美国市场的消费
[2151.10-2154.10] 还是维持的还算平稳
[2154.10-2157.10] 那平均尺寸也增加了0.8寸
[2157.10-2163.10] 所以整个电视的消费尺寸都是明显的放大
[2163.10-2165.10] 那展望第二季呢
[2165.10-2171.10] 在延续大陆这个已就换新的刺激方案
[2171.10-2176.10] 应该在五一的假期还有六一八的促销
[2176.10-2181.10] 应该会有很好的一个刺激消费的一个政策
[2181.10-2182.10] 还有结果
[2182.10-2187.10] 所以我们对于第二季在电视这边还是相对的惯
[2187.10-2194.10] 但是还是需要看一下这个接下来关税有没有再做一些调整
[2194.10-2201.10] 那在IT方面电视器方面也是第一季也有不错的
[2201.10-2204.10] 全球有2%的正成长
[2204.10-2208.10] 这个是延续五个季度以来的正成长
[2208.10-2211.10] 那这也是在预期
[2211.10-2214.10] 美国的关税调整
[2214.10-2219.10] 有一些预期的这个提前消费还有提前拉货
[2219.10-2223.10] 那在大陆市场是已就换新
[2223.10-2227.10] 这一次呢也把这个IT产品纳进来
[2227.10-2232.10] 所以说整体在桌上群的显示器上面呢
[2232.10-2235.10] 尤其在线上的销售
[2235.10-2238.10] 年成长27%的成长
[2238.10-2241.10] 那在大陆这个电竞的销售
[2241.10-2244.10] 第一季有40%的成长
[2244.10-2247.10] 那这都不错的一个状况
[2247.10-2253.10] 那笔电方面呢第一季全球也是有6%的一个正成长
[2253.10-2260.10] 那主要还是有一些厂商提前把货
[2260.10-2263.10] 提前拉货送到美国市场
[2263.10-2268.10] 那在这一块所以说第一季有相对不错的一个需求成长
[2268.10-2270.10] 那展望第二季
[2270.10-2274.10] 我们相信有新的CPU和GPU的上市
[2274.10-2277.10] 那再加上Computex也将到来
[2277.10-2281.10] 所以有一些新品呢都陆续在推出
[2281.10-2284.10] 那因应整个AIRPC的一个大趋势
[2284.10-2293.10] 我想产品还是会持续朝向这个低能耗的需求来推进
[2293.10-2295.10] 那整体通路过程
[2295.10-2299.10] 在第一季的时候呢是相对健康的
[2300.10-2304.10] 去年的第四季旺季的销售是不错的
[2304.10-2306.10] 所以说第一季的库存是健康
[2306.10-2309.10] 那第二季目前看起来因为
[2309.10-2312.10] 有一些提前备货
[2312.10-2317.10] 还有一些5E 618的提前备货
[2317.10-2324.10] 所以让现在的通路库存水准是稍稍的上升
[2324.10-2329.10] 不过这个上升是因为准备促销备货
[2329.10-2333.10] 所以说这个我们认为这个库存水会是相对健康
[2333.10-2339.10] 那刚Jerry 提到一个问题就是
[2339.10-2346.10] 在关税这边对客户端跟产业的一个影响
[2346.10-2350.10] 那目前我们观察到TV市场的话
[2350.10-2355.10] 因为TV在过往就已经有关税的一个状况
[2355.10-2359.10] 所以出货到北美的大部分是在
[2359.10-2362.10] 墨西哥做生产
[2362.10-2369.10] 那目前墨西哥在MCA的一个关税协议下面
[2369.10-2371.10] 它目前还是领关税
[2371.10-2374.10] 所以目前在TV这一块的布局
[2374.10-2379.10] 我觉得相对关税的影响相对不大
[2379.10-2385.10] 那主要是目前的IT的生产大部分
[2385.10-2389.10] 尤其像笔电还是在大陆这边生产
[2389.10-2398.10] 它有大约大概两成左右开始移往东南亚基地做生产
[2398.10-2406.10] 那这一部分在90天的这个过免期间内也是领关税
[2406.10-2411.10] 所以说这一块在这个过免期间目前的影响还是相对有限
[2411.10-2418.10] 那唯一就是说有一些客户的机种不见得都是在东南亚已经有量产
[2418.10-2426.10] 所以很多的品牌很多客户都是积极在做一些模具的这个开发还有移转
[2426.10-2437.10] 那我想这个到了五六月应该都会有不错的一个生产基地的一个移转
[2437.10-2445.10] 所以说这一块转期内相对的是还有一个应验的一个状况
[2445.10-2448.10] 那目前就是要在等待
[2448.10-2453.10] 五月份之后会不会有新的一个关税增设的一个调整
[2453.10-2462.10] 那之前也有讯息是说这个五月份会有半老体专门的一个税整
[2462.10-2466.10] 那这里面也有谈到说可能会把命板拉进去
[2466.10-2475.10] 那这个我会一些来观察这个新的一个关税是不是有进一步的要做一些因应
[2478.10-2480.10] 好谢谢James
[2480.10-2482.10] 接下来我们进入提问时间
[2482.10-2485.10] 为了让更多的投资人有机会提问
[2485.10-2488.10] 麻烦各位将问题说到两个之内
[2488.10-2491.10] 并将所有问题一次提问完毕
[2491.10-2492.10] Ladies and gentlemen
[2492.10-2494.10] We will now begin the Q&A session
[2494.10-2497.10] To ensure equal opportunity for each participant
[2497.10-2501.10] Please remember to limit the number of questions to two per call
[2501.10-2503.10] And please state them all in one go
[2503.10-2505.10] Thank you
[2505.10-2506.10] 谢谢
[2506.10-2507.10] 提问时间现在开始了
[2508.10-2510.10] 如果您需要提问
[2510.10-2514.10] 请在电话机上按米字键以及数字1
[2514.10-2517.10] 当我们读出您的名字后请开始发问
[2517.10-2519.10] 如果您需要取消发问
[2519.10-2521.10] 请按米字键数字2
[2521.10-2522.10] 谢谢
[2522.10-2525.10] We will now begin the question and answer session
[2525.10-2527.10] If you would like to ask the question
[2527.10-2531.10] Please press star key number 1 on your telephone keypad
[2531.10-2533.10] When your name is announced
[2533.10-2535.10] You may begin to ask your question
[2535.10-2537.10] If you wish to withdraw your question
[2537.10-2538.10] Please press star key number 1 on your telephone keypad
[2538.10-2540.10] Please press star key number 2 to cancel
[2540.10-2541.10] Thank you
[2541.10-2542.10] 谢谢
[2542.10-2544.10] Now we will have our first question
[2544.10-2546.10] Randy Abrams UBS
[2546.10-2547.10] Go ahead please
[2547.10-2548.10] OK
[2548.10-2549.10] Yes thank you
[2549.10-2550.10] Two questions
[2550.10-2551.10] First question
[2551.10-2556.10] Wanted to follow up on the behavior you are seeing from customers
[2556.10-2559.10] On inventory build in Poland
[2559.10-2564.10] More specifically after the delay of the reciprocal tariffs
[2564.10-2566.10] And also after the delay of the reciprocal tariffs
[2566.10-2568.10] On April 2nd
[2568.10-2573.10] If you are seeing any net pull ins continue for second quarter
[2573.10-2575.10] Versa conservative tone from customers
[2575.10-2578.10] And then if you could give a signal how that may impact your outlook into second half
[2578.10-2580.10] So that's the first question
[2580.10-2582.10] Second question on the auto market
[2582.10-2586.10] If you could give your latest thoughts on the auto market
[2586.10-2589.10] And in looking forward to the future
[2589.10-2594.10] I would like to ask you to give your latest thoughts on the auto market
[2594.10-2600.10] And in looking forward with some of the opportunities and design wins you mentioned
[2600.10-2606.10] After you showed micro LED smart cockpit at the CS touch Taiwan
[2606.10-2610.10] How do you see auto and contribution from these new design wins
[2610.10-2611.10] Thank you
[2619.10-2620.10] OK
[2620.10-2623.10] Randy thank you for your question
[2623.10-2625.10] And for to answer your question
[2625.10-2631.10] The pull in demand from Q4 24
[2631.10-2633.10] We have seen some
[2633.10-2636.10] And then the also continue to Q1
[2636.10-2643.10] In order to reduce to ease out the impact from the carry
[2643.10-2649.10] So that's why display have a better than expectations revenue in Q1
[2649.10-2650.10] And
[2650.10-2658.10] We also seen that customers adjust their inventory level in the production site
[2658.10-2662.10] Because of this tariff impact
[2662.10-2664.10] But the problem is that
[2664.10-2672.10] Because of the risk proposed tariff has been changed
[2672.10-2675.10] The policy has been changed all the time
[2675.10-2680.10] So you know from the announcement on the 2nd of April
[2680.10-2683.10] Until now is many changes
[2683.10-2689.10] So we will very cautiously watch the changes impact in our customer site
[2689.10-2695.10] And dynamic adjust our materials preparation and the production plan
[2695.10-2698.10] So recently we also seen that
[2698.10-2702.10] Not much but the industry
[2702.10-2705.10] We have a large orders for customer
[2705.10-2708.10] So that we try to fulfill that demand
[2708.10-2709.10] The
[2709.10-2712.10] The problem that
[2712.10-2715.10] The
[2715.10-2716.10] The daily life
[2716.10-2718.10] Necessities in the US
[2718.10-2722.10] Maybe have risk crowding out the effect
[2722.10-2727.10] To further soften in demand of the consumer market
[2727.10-2731.10] So we also watching this change
[2731.10-2733.10] So
[2733.10-2737.10] At the beginning of the year we expect
[2737.10-2738.10] This year's
[2738.10-2740.10] Display supply and demand
[2740.10-2743.10] Maybe a balance or bottom up quarterly
[2743.10-2746.10] But recently we are not sure
[2746.10-2748.10] Because of this very uncertain
[2748.10-2750.10] Tariff impact
[2750.10-2752.10] And then the
[2752.10-2756.10] Probably even change the seasonality
[2756.10-2757.10] In this year
[2757.10-2759.10] So
[2759.10-2765.10] I think it will be very hard to forecast second half now
[2765.10-2768.10] But we will closely watch
[2768.10-2772.10] The changes from US government
[2772.10-2774.10] And then we very dynamic
[2774.10-2777.10] And then we take necessary action
[2777.10-2780.10] To cover this all the changes
[2780.10-2783.10] And also work very closely with our customer
[2783.10-2784.10] To you know
[2784.10-2787.10] Work together to cover this risk
[2787.10-2788.10] For cost
[2788.10-2789.10] Tariff
[2789.10-2791.10] Okay thank you
[2792.10-2795.10] Hi Randy did this prank
[2795.10-2798.10] Let me answer your second question
[2798.10-2799.10] So
[2799.10-2802.10] About the automotive market
[2802.10-2804.10] Our view
[2804.10-2807.10] For 2025 and 2026
[2807.10-2810.10] We continually see the
[2810.10-2813.10] Expansion of the smart target demand
[2813.10-2815.10] And we believe this will be
[2815.10-2817.10] One of the important area
[2817.10-2818.10] That OEM
[2818.10-2820.10] Are putting more resources
[2820.10-2822.10] Into the differentiation
[2822.10-2824.10] And also consumer
[2824.10-2827.10] Are also looking for more in entertainment
[2827.10-2829.10] And the service offering
[2829.10-2830.10] In the carpet
[2830.10-2831.10] So we
[2831.10-2833.10] We also observe
[2833.10-2835.10] Screen size within the vehicle
[2835.10-2838.10] Continue to getting bigger and bigger
[2838.10-2839.10] And also
[2839.10-2842.10] The display application in the carpet
[2842.10-2844.10] Moving from cluster
[2844.10-2845.10] CID
[2845.10-2847.10] And now we see more RQ
[2847.10-2849.10] In the potential information display
[2849.10-2850.10] So called PID
[2850.10-2853.10] Or even the RTE
[2853.10-2855.10] Versus entertainment justice
[2855.10-2856.10] Yeah so which means
[2856.10-2857.10] Also the
[2857.10-2858.10] Not only the size getting bigger
[2858.10-2859.10] But also the
[2859.10-2861.10] Number of the display
[2861.10-2863.10] Also getting increased
[2863.10-2865.10] So after we acquired
[2865.10-2867.10] PHTC last year
[2867.10-2870.10] Our overall automotive revenue
[2870.10-2872.10] Has exceeded
[2872.10-2875.10] 70 billion and eight dollars
[2875.10-2878.10] So when we see the trend
[2878.10-2879.10] Of this
[2879.10-2880.10] And then
[2880.10-2882.10] Even size bigger
[2882.10-2885.10] And also the higher adoption rate
[2885.10-2887.10] Of our value added means
[2887.10-2888.10] Such as the
[2888.10-2890.10] Distribution and also the
[2890.10-2892.10] Including the future
[2892.10-2895.10] So we still retain our
[2895.10-2896.10] Double digit
[2896.10-2898.10] Revenue target
[2898.10-2899.10] For our
[2899.10-2902.10] OB solution
[2902.10-2903.10] And then
[2903.10-2905.10] For the future
[2905.10-2906.10] Occurrence
[2906.10-2907.10] You mentioned about
[2907.10-2910.10] Touch Taiwan
[2910.10-2912.10] We do observe
[2912.10-2914.10] Very good feedback
[2914.10-2917.10] And also from the
[2917.10-2918.10] Not only from the
[2918.10-2920.10] Original key customer
[2920.10-2922.10] We also got very positive feedback
[2922.10-2924.10] From the new region
[2924.10-2927.10] Including like Japan India
[2927.10-2930.10] And also the new OEM
[2930.10-2932.10] With the new project
[2932.10-2934.10] So AUO has been deeply involved
[2934.10-2936.10] In this automotive market
[2936.10-2938.10] For several years
[2938.10-2939.10] And we actually rank
[2939.10-2941.10] As the top three automotive display
[2941.10-2943.10] Panel providers
[2943.10-2946.10] And also leading position in CIT
[2946.10-2948.10] So our key technology
[2948.10-2950.10] From original mini OED
[2950.10-2951.10] Now add on micro OED
[2951.10-2953.10] Automotive applications
[2953.10-2955.10] We continually to demonstrate
[2955.10-2957.10] The new needs of unity
[2957.10-2958.10] And also
[2958.10-2959.10] The new market
[2959.10-2962.10] From the angle of the solution
[2962.10-2964.10] So
[2964.10-2966.10] Acquisition of the BHCC
[2966.10-2967.10] Will help us to
[2967.10-2971.10] Actually help us to capture the market
[2971.10-2973.10] In business
[2973.10-2974.10] In different region
[2974.10-2975.10] And also different country
[2975.10-2977.10] And also help us to provide
[2977.10-2979.10] More flexibility
[2979.10-2980.10] In production side
[2980.10-2981.10] For our customers
[2981.10-2982.10] So with this
[2982.10-2984.10] The value proposition
[2984.10-2987.10] And we see together
[2987.10-2989.10] With our micro OED
[2989.10-2990.10] The new technology
[2990.10-2991.10] So we believe
[2991.10-2992.10] We will provide
[2992.10-2993.10] The technology leading
[2993.10-2994.10] Marketing leading
[2994.10-2996.10] And also the
[2996.10-2999.10] Cost and efficiency benefit
[2999.10-3002.10] To our OEM customers
[3002.10-3004.10] So this is the
[3004.10-3006.10] We see our strength
[3006.10-3007.10] At the current
[3007.10-3009.10] Our obligatory
[3009.10-3010.10] Change
[3010.10-3011.10] Thank you
[3011.10-3012.10] Thank you
[3015.10-3016.10] Thank you
[3017.10-3018.10] 下一位提問的是
[3018.10-3019.10] Morgan Stanley
[3019.10-3020.10] Derek Young
[3020.10-3021.10] 請提問
[3026.10-3027.10] 各位先生你們好
[3027.10-3028.10] 請問一下
[3028.10-3029.10] 聽得到我的聲音嗎
[3029.10-3030.10] OK
[3030.10-3031.10] 可以
[3031.10-3032.10] 可以
[3032.10-3033.10] 你好
[3033.10-3034.10] 你好
[3034.10-3035.10] 我這邊有兩個問題
[3035.10-3036.10] 一個是關於這個
[3036.10-3039.10] Micro LED這邊的一些發展
[3039.10-3041.10] 就是說這個技術當然
[3041.10-3042.10] 過去大家都認為
[3042.10-3044.10] 它是一個非常非常好的技術
[3044.10-3047.10] 那只是說過去可能成本相對比較高
[3047.10-3048.10] 所以它在應用上
[3048.10-3050.10] 可能並不是那麼廣泛
[3050.10-3051.10] 那我們看到這一次Touch Taiwan
[3051.10-3052.10] 其實不是只有我們
[3052.10-3054.10] 還有其他的
[3054.10-3055.10] 我們台灣的同業
[3055.10-3058.10] 其實都展了很多Micro LED的產品
[3058.10-3060.10] 那我比較好奇就是說
[3060.10-3062.10] 不曉得是不是現在這個
[3062.10-3064.10] 成本端有什麼比較大的突破
[3064.10-3065.10] 所以
[3065.10-3068.10] 大家現在覺得這個產品可能
[3068.10-3070.10] 在未來幾年會有比較
[3070.10-3071.10] 比較明顯的
[3071.10-3073.10] 或者比較廣泛的採用
[3073.10-3074.10] 那如果就成本端來看的話
[3074.10-3076.10] 不曉得能不能跟我們分享一下
[3076.10-3079.10] 比如說現在Micro LED的這個產品
[3079.10-3081.10] 跟現在市面上
[3081.10-3083.10] 可能相對比較貴的這個Display
[3083.10-3084.10] 比如說OLED來比的話
[3084.10-3087.10] 大概這個成本差距是在怎麼樣的水準
[3087.10-3088.10] 那另外就是說
[3088.10-3090.10] 以Micro LED這邊的
[3090.10-3092.10] 營收的貢獻來看的話
[3092.10-3094.10] 不曉得說比如說未來五年
[3094.10-3096.10] 有沒有一個目標是說
[3096.10-3099.10] 它大概可以占到我們多少比重的這個
[3099.10-3100.10] 不管是Display
[3100.10-3101.10] 或是說全部整個
[3101.10-3104.10] 合併營收裡面的一個比重
[3104.10-3105.10] 這是我的一個問題
[3105.10-3106.10] 那第二個問題就是說
[3106.10-3108.10] 剛剛有提到就是說
[3108.10-3109.10] 這個關稅的東西
[3109.10-3111.10] 當然這個還有很多不確定性
[3111.10-3113.10] 那只是說
[3113.10-3115.10] 我們剛剛有提到就是說
[3115.10-3117.10] 未來可能大家覺得五月會有一個
[3117.10-3120.10] 跟半導體相關的一個關稅的東西
[3120.10-3122.10] 這個關稅的一個事情細則嘛
[3122.10-3124.10] 那可能面板也有在
[3124.10-3126.10] 也有在這個討論的範圍之內
[3126.10-3128.10] 那我們看我們台灣的這個
[3128.10-3130.10] 半導體這邊最大一家公司
[3130.10-3132.10] 其實已經到美國去設廠
[3132.10-3133.10] 那我不曉得說
[3133.10-3135.10] 這當然是比較極端一點的情況
[3135.10-3136.10] 可是說
[3136.10-3138.10] 就是說不曉得有沒有可能
[3138.10-3140.10] 或是我們有沒有評估過
[3140.10-3144.10] 到美國去設一個面板前段產能的一個可能性
[3144.10-3147.10] 因為以現在這個行業的狀況來看的話
[3147.10-3149.10] 如果美國真的要求
[3149.10-3150.10] 面板廠去設廠的話
[3150.10-3153.10] 感覺大陸廠商應該不可能會去
[3153.10-3154.10] 那現在除了大陸廠商
[3154.10-3155.10] 其實就剩下我們
[3155.10-3156.10] 台灣這兩家
[3156.10-3158.10] 所以不曉得說這個
[3158.10-3161.10] 有沒有在我們評估的一個選項裡面
[3167.10-3168.10] 那謝謝
[3168.10-3170.10] 有關於這個MichaelAD的提問
[3170.10-3172.10] 那首先我這邊來回答
[3172.10-3174.10] 就是MichaelAD我想
[3174.10-3176.10] 過去這一段時間
[3176.10-3177.10] 包含TouchTouch台灣
[3177.10-3179.10] 海基系列是我們的
[3179.10-3181.10] 一個專業產品的一個專業產品
[3181.10-3182.10] 就是展現了由它從
[3182.10-3185.10] MichaelAD的先期技術發展
[3185.10-3190.10] 進入到量產以及市場開拓的一個重要的部分
[3190.10-3193.10] 那我們目前的整個規劃來講
[3193.10-3197.10] 除了原本的G1的產線
[3197.10-3205.10] 作為手錶以及電視的這些大型化的生產的初期準備專
[3205.10-3209.10] 我們在現在開始量產中的這個4.5億元的產品
[3209.10-3212.10] 就是在準備我們接下來
[3212.10-3216.10] 把MichaelAD走向更大規模生產
[3216.10-3219.10] 那其中這裡頭有兩個很重要的突破
[3219.10-3222.10] 一個就是我們這一次展示的42吋
[3222.10-3225.10] 這個大的單一模組
[3225.10-3231.10] 那其實這個部分會在客戶使用MichaelAD
[3231.10-3232.10] 拼接的成本上面
[3232.10-3234.10] 供需上面大幅降低
[3234.10-3237.10] 那同時間對於我們的製造性
[3237.10-3239.10] 製造成本就會有很好的增長
[3239.10-3242.10] 那再配合這個MichaelAD本身
[3242.10-3247.10] 就有每兩年這個降本的這樣的一個材料優勢
[3247.10-3249.10] 所以我們整體來看
[3249.10-3252.10] 接下來從量產先進根本優勢上都會往前推行
[3252.10-3255.10] 那在新的重點是
[3255.10-3259.10] 我們也把這樣的MichaelAD走向新的應用來推展
[3259.10-3263.10] 所以目前看到的就是除了大型電視跟傳帶之外
[3263.10-3267.10] 再來的就是透明的應用在工廠領域
[3267.10-3268.10] 以及
[3269.10-3273.10] 車用的部分的一個使用
[3273.10-3277.10] 那這一次我們也要跟大家報告
[3277.10-3281.10] 我們這個跟Sony Home打的這一台MediaBar
[3281.10-3284.10] 它這個在明年就會
[3284.10-3286.10] 下半年就會上市
[3286.10-3288.10] 所以這個MichaelAD的整個行收
[3288.10-3291.10] 也會從今年到明年呈現出去的
[3293.10-3295.10] 好,Derek
[3295.10-3297.10] 我來回答你這個有關
[3297.10-3299.10] 所謂面板到美國設廠的問題
[3299.10-3301.10] 這個可能性
[3301.10-3307.10] 基本上目前我們在看這些怎麼樣找到最適合的
[3307.10-3310.10] 這個全球的佈局
[3310.10-3313.10] 目前沒有考慮前段長
[3313.10-3316.10] 因為實際上
[3316.10-3319.10] 在美國生產Panel
[3319.10-3323.10] 那這個後段的成品的組裝
[3323.10-3324.10] 現在其實不在
[3324.10-3325.10] 大部分都不在美國
[3325.10-3327.10] 所以那個意義不大
[3327.10-3329.10] 你到了美國去設完了以後
[3329.10-3331.10] 如果大規模的設前段長
[3331.10-3333.10] 然後還得運出美國去做
[3333.10-3338.10] 做Final Assembly的客戶那邊去做最後組裝
[3338.10-3340.10] 這個其實意義不大
[3340.10-3342.10] 所以除非是整個生產
[3342.10-3346.10] 這供應鏈有一個大的改變
[3346.10-3348.10] 那我們有這個需求的時候
[3348.10-3350.10] 我們會認真來考慮
[3350.10-3354.10] 是不是有這個必要性去美國設前段長
[3354.10-3358.10] 但是後段模組或者是成品的組裝
[3358.10-3363.10] 那這個部分是在我們現在考慮的項目之一
[3363.10-3365.10] 謝謝
[3367.10-3369.10] 好 謝謝
[3371.10-3373.10] 下一位提問的是City Group
[3373.10-3375.10] Karen Huang請提問
[3378.10-3379.10] 各位觀眾朋友您好
[3379.10-3381.10] 感謝接受我的提問
[3381.10-3383.10] 我這邊也是一共兩個問題
[3383.10-3385.10] 第一個問題的話呢
[3385.10-3387.10] 是關於前面有提到說
[3387.10-3390.10] 那個二級度螺旁面板這邊的展望
[3390.10-3393.10] 會是QAQ對位下降
[3393.10-3395.10] 然後我有聽到說
[3395.10-3397.10] 有一些大陸的廠商
[3397.10-3399.10] 他們那個電視面板的產能
[3399.10-3401.10] 可能會在大陸
[3401.10-3405.10] 以休假期間會有這個出產
[3405.10-3406.10] 然後我就想請教一下
[3406.10-3409.10] 就是我們這邊的這個電視產能
[3409.10-3413.10] 是也會有相應的一些休假上面的安排
[3413.10-3414.10] 這是第一個問題
[3414.10-3416.10] 然後第二個問題的話呢
[3416.10-3417.10] 是在於呢
[3417.10-3419.10] 我們要跟管理層主張一下
[3419.10-3421.10] 能不能幫我們稍微量化一下
[3421.10-3423.10] 這個關稅的擾動
[3423.10-3427.10] 可能對我們去取財務方面的一些影響
[3427.10-3429.10] 那一個方面就是想問一下
[3429.10-3432.10] 就比如說有一些這個集單的進來
[3432.10-3435.10] 可能會不會對我們的這個產能的調配上
[3435.10-3438.10] 產生一些這個額外的費用
[3438.10-3439.10] 這是第一
[3439.10-3440.10] 第二的話呢
[3440.10-3442.10] 就是說如果之後這個關稅的
[3442.10-3444.10] 就是天的後年之後
[3444.10-3445.10] 如果還是有關稅
[3445.10-3446.10] 我們就知道
[3446.10-3448.10] 客戶會不會說
[3448.10-3450.10] 就會有一個像消費
[3450.10-3452.10] 他可能自己會承擔一部分
[3452.10-3454.10] 當然也可能會向消費者去轉價
[3454.10-3456.10] 那之後的話
[3456.10-3458.10] 會不會可能要求我們
[3458.10-3460.10] 就是有一定的這個降價
