[0.00-5.40] 主持人我們就先介紹今天的與會嘉賓
[1490.70-1492.70] 他
[1492.70-1494.70] 除了可能會轉
[1494.70-1496.70] 向加拿大或者
[1496.70-1498.70] 中東去增購魚丸
[1498.70-1500.70] 不過我們認為
[1500.70-1502.70] 魚丸的價格會因為這樣
[1502.70-1504.70] 會上漲
[1504.70-1506.70] 同時因為魚丸如果供應不準
[1506.70-1508.70] 魚丸裂解廠的開工力
[1508.70-1510.70] 就會下降
[1510.70-1514.70] 會推升中國大陸石化產品的生產成本
[1514.70-1516.70] 同時
[1516.70-1518.70] 下游野生物
[1518.70-1520.70] 也會因為乙烯的供應量不足
[1520.70-1522.70] 會降產
[1522.70-1524.70] 我們認為會支撐未來
[1524.70-1526.70] 乙烯野生物的石化產品價格
[1528.70-1530.70] 所以第三季跟第四季
[1530.70-1532.70] 剛剛有一些
[1532.70-1534.70] 不確定的因素
[1534.70-1536.70] 還有一些有利的因素
[1536.70-1538.70] 我們看起來第三季
[1538.70-1540.70] 其實應該是
[1540.70-1542.70] 7月9號之後
[1542.70-1544.70] 美國的
[1544.70-1546.70] 決定
[1546.70-1548.70] 對等關稅
[1548.70-1550.70] 以及新台幣的走勢
[1550.70-1552.70] 影響比較大
[1556.70-1558.70] 另外VIS
[1558.70-1560.70] 認證
[1560.70-1562.70] 現在VIS已經在
[1562.70-1564.70] 20號已經公佈要延到
[1564.70-1566.70] 12月24
[1566.70-1568.70] 才實施
[1568.70-1570.70] 所以
[1570.70-1572.70] ADD這個部分
[1572.70-1574.70] 我們是判
[1574.70-1576.70] 有可能這個月底
[1576.70-1578.70] 看會不會公佈
[1578.70-1580.70] 所以這些
[1580.70-1582.70] 都還沒有確定
[1582.70-1584.70] 只有VIS已經確定延到
[1584.70-1586.70] 12月24才實施
[1588.70-1590.70] 另外PP的部分是
[1590.70-1592.70] 延到10月24
[1592.70-1594.70] PP
[1594.70-1596.70] 印度AOVIS
[1596.70-1598.70] 延到10月24
[1600.70-1602.70] 我這邊補充一下
[1602.70-1604.70] 剛剛志榮提到ADD就是
[1604.70-1606.70] 反傾銷稅的部分
[1606.70-1608.70] 跟VIS是兩件事
[1608.70-1610.70] VIS確定延到年底
[1610.70-1612.70] 反傾銷稅的部分
[1612.70-1614.70] 印度政府還沒有公佈
[1624.70-1626.70] 那請問各位投資人還有什麼要提問的嗎?
[1628.70-1630.70] 今天我們的現金
[1630.70-1632.70] 鼓勵在第二季
[1632.70-1634.70] 大概有
[1634.70-1636.70] 1.6億
[1636.70-1638.70] 第二季大概有1.6億
[1638.70-1640.70] 那在第三季
[1640.70-1642.70] 應該有
[1642.70-1644.70] 1.6億
[1644.70-1646.70] 那在第三季
[1646.70-1648.70] 應該有
[1648.70-1650.70] 1.6億
[1650.70-1652.70] 那在第三季
[1652.70-1654.70] 那在第三季
[1654.70-1656.70] 應該有8.1億
[1656.70-1658.70] 所以整個加起來快10億
[1658.70-1660.70] 全年大概有10億的現金鼓勵
[1668.70-1670.70] 最後那個是VUS
[1670.70-1672.70] 應該說各部
[1672.70-1674.70] 或是各產品吧
[1676.70-1678.70] 那個貴利的來講的話
[1678.70-1680.70] 因為我們如果收美金
[1680.70-1682.70] 那我有報告
[1682.70-1684.70] 你只要收美金
[1684.70-1686.70] 你的影響就跟剛剛講的是一樣的
[1690.70-1692.70] Q3整體的開工率
[1692.70-1694.70] 我們預計大概
[1694.70-1696.70] 跟Q2差不多
[1698.70-1700.70] 大概是持平的
[1700.70-1702.70] 大概在85%左右
[1704.70-1706.70] 那VIS一言再言
[1706.70-1708.70] 我想跟
[1710.70-1712.70] 印度在跟美國
[1712.70-1714.70] 談對等關稅
[1714.70-1716.70] 應該也有關係
[1718.70-1720.70] 以及跟中國大陸
[1720.70-1722.70] 有一些政治的因素考量
[1722.70-1724.70] 還有當地的
[1724.70-1726.70] 下游加工業者
[1726.70-1728.70] 會有一些抗議的聲音
[1730.70-1732.70] 因為實施VIS
[1732.70-1734.70] 中國大陸現在都沒辦法進
[1734.70-1736.70] 因為中國大陸進去的單價都比較便宜
[1738.70-1740.70] 對下游加工廠是有利的
[1740.70-1742.70] 那你實施VIS
[1742.70-1744.70] 中國大陸沒辦法進去
[1744.70-1746.70] 因為中國大陸到現在為止
[1746.70-1748.70] 印度都不去它的
[1748.70-1750.70] 縣長集合
[1750.70-1752.70] 所以到現在為止中國的廠家
[1752.70-1754.70] 沒有一家通過
[1754.70-1756.70] 因為中國大陸沒辦法到
[1756.70-1758.70] 印度
[1758.70-1760.70] 整個印度的
[1760.70-1762.70] 需求可能沒有辦法
[1762.70-1764.70] 滿足
[1764.70-1766.70] 所以印度政府到現在
[1766.70-1768.70] 遲遲沒有辦法決定的
[1768.70-1770.70] 主要應該是在這個
[1776.70-1778.70] 美國第二季的營運狀況
[1778.70-1780.70] 目前看起來
[1780.70-1782.70] 是有逐漸
[1782.70-1784.70] 在好轉
[1784.70-1786.70] 開工率都有比較好
[1786.70-1788.70] 不過因為現在的價格
[1788.70-1790.70] 是比較
[1790.70-1792.70] 還是沒有很好
[1792.70-1794.70] 所以整個營運應該跟
[1794.70-1796.70] 第一季差不多
[1820.70-1822.70] 今年獲利相對比較好的產品
[1822.70-1824.70] 現在看起來
[1824.70-1826.70] 我們
[1826.70-1828.70] 我們現在是減
[1828.70-1830.70] 在上半年是減
[1830.70-1832.70] 還有EVA,MMA
[1832.70-1834.70] 還有這幾個產品
[1834.70-1836.70] 比較好,還有剛剛講的
[1836.70-1838.70] AN
[1838.70-1840.70] 不過因為隨著這個
[1840.70-1842.70] 新產能的出來
[1842.70-1844.70] 這個下半年比較看到
[1844.70-1846.70] 應該是
[1846.70-1848.70] 因為我們PE有跟台塑石化
[1848.70-1850.70] 在營業上我們有做利潤共享的機制
[1852.70-1854.70] 我們對我們的開工率
[1854.70-1856.70] 的提高有很有幫助
[1856.70-1858.70] 所以說
[1858.70-1860.70] PE以及現在PP
[1860.70-1862.70] 從事業開始我們都獲利
[1862.70-1864.70] 你剛剛看到PP
[1864.70-1866.70] 在第一季是虧損
[1866.70-1868.70] 從第二季開始PP每個月
[1868.70-1870.70] 都是獲利的
[1870.70-1872.70] 最主要因為我們進口比較
[1872.70-1874.70] 低價的頂級
[1874.70-1876.70] 所以我們PP在
[1876.70-1878.70] 事業第二季就開始獲利了
[1878.70-1880.70] 另外
[1880.70-1882.70] 來講AE因為同業的
[1882.70-1884.70] 一些稅收
[1884.70-1886.70] 所以AE在下半年
[1886.70-1888.70] 也是比較看好的
[1890.70-1892.70] 針對剛剛我們提到PP
[1892.70-1894.70] 的部分補充一點
[1894.70-1896.70] 因為我們在南部周記碼頭那邊有新蓋
[1896.70-1898.70] 除潮,也有包含隱形跟丙形
[1898.70-1900.70] 除潮,所以其實在市場上
[1900.70-1902.70] 以丙形原料價格比較低的時候
[1902.70-1904.70] 我們可以在市場上
[1904.70-1906.70] 購入放在除潮裡面
[1906.70-1908.70] 這個對於生產的
[1908.70-1910.70] 成本的改善是有比較明顯的
[1910.70-1912.70] 幫助
[1912.70-1914.70] 最後一個這個貴利對成本
[1914.70-1916.70] 是影響當然是正面的
[1916.70-1918.70] 不過這個採購成本
[1918.70-1920.70] 剛剛我有報告我們的
[1920.70-1922.70] 營業額裡面有六成
[1922.70-1924.70] 是收美金的
[1924.70-1926.70] 所以這個採購的部分
[1926.70-1928.70] 只是微幅
[1928.70-1930.70] 微幅的彌補一點點
[1930.70-1932.70] 所以這個還是不抵
[1932.70-1934.70] 銷售的負面影響
[1946.70-1948.70] 針對剛剛我們這種提的
[1948.70-1950.70] 我稍微再補充一下
[1950.70-1952.70] 因為我們剛剛就是外銷比較多
[1952.70-1954.70] 我們本來都是採取自然避險的方式
[1954.70-1956.70] 就是我們外銷進來的美金
[1956.70-1958.70] 我們會去支付外購的這些
[1958.70-1960.70] 原料款或是一些款項
[1960.70-1962.70] 剩下多的部分
[1962.70-1964.70] 會盡量在
[1964.70-1966.70] 匯率的價格比較好的時候
[1966.70-1968.70] 在市場上做出售的動作
[1968.70-1970.70] 不過因為
[1970.70-1972.70] 最近的匯率的走勢
[1972.70-1974.70] 真的變化很快
[1974.70-1976.70] 而且央行對於匯率
[1976.70-1978.70] 其實也有比較加強在管控
[1978.70-1980.70] 所以你也不能說
[1980.70-1982.70] 你手邊滿手的美元你想要賣
[1982.70-1984.70] 就可以把它全部都賣掉
[1984.70-1986.70] 因為央行這邊管控的關係
[1986.70-1988.70] 所以這個處理
[1988.70-1990.70] 美元上面其實不像之前
[1990.70-1992.70] 那麼的簡單方便
[1992.70-1994.70] 以上
[1994.70-1996.70] 我先回答後面那個
[1996.70-1998.70] 副方的這個
[1998.70-2000.70] 剛剛講的毛利是減0.14
[2000.70-2002.70] 另外我們現在來看
[2002.70-2004.70] 那個個產能未來幾年的新產能
[2004.70-2006.70] 我放一下那個
[2006.70-2008.70] 資料給各位參考
[2018.70-2020.70] 謝謝大家
[2048.70-2050.70] 我們先從PC開始講
[2050.70-2052.70] 我們先從PC開始
[2052.70-2054.70] 我給他們看一下
[2054.70-2056.70] 我要分享一下
[2056.70-2058.70] 我走去分享
[2064.70-2066.70] 沒有開
[2066.70-2068.70] 等一下
[2070.70-2072.70] 把他放那邊去
[2072.70-2074.70] 等一下
[2078.70-2080.70] 請問大家
[2080.70-2082.70] 有看到畫面上的資料嗎
[2084.70-2086.70] 有
[2086.70-2088.70] 我現在從PVC開始講
[2088.70-2090.70] 我一個一個給你們
[2090.70-2092.70] 報告來
[2092.70-2094.70] 這個PVC
[2094.70-2096.70] 你看一下
[2096.70-2098.70] 這個2025年
[2098.70-2100.70] 整個預測
[2100.70-2102.70] 整個這個預測大概
[2102.70-2104.70] 比那個
[2104.70-2106.70] 2024年
[2106.70-2108.70] 2024年大概多了
[2108.70-2110.70] 300多萬噸你看這個全球的產能
[2110.70-2112.70] 其中最主要增加
[2112.70-2114.70] 都是在亞洲
[2114.70-2116.70] 亞洲就是中國大陸
[2118.70-2120.70] 這個是PVC的部分
[2120.70-2122.70] 往下
[2124.70-2126.70] 這部CM跳過
[2126.70-2128.70] 來看預測
[2128.70-2130.70] 預測這個全球
[2130.70-2132.70] 大概多了400
[2132.70-2134.70] 大概300多萬噸
[2134.70-2136.70] 這個主要也是在中國大陸
[2136.70-2138.70] 那個新增的產能
[2138.70-2140.70] 也是在亞洲
[2140.70-2142.70] 都是在中國大陸
[2142.70-2144.70] 往下
[2146.70-2148.70] 這個是HDP
[2148.70-2150.70] HDP可以看到這個
[2150.70-2152.70] 也是多了快300萬噸左右
[2152.70-2154.70] 這個你看那個亞洲的部分
[2154.70-2156.70] 亞洲的部分
[2156.70-2158.70] 大概多了
[2158.70-2160.70] 快接近300萬噸
[2160.70-2162.70] 也都是在中國大陸
[2164.70-2166.70] 這個LOD跟EVA
[2166.70-2168.70] 同樣的狀況
[2168.70-2170.70] 你看那個亞洲的量
[2170.70-2172.70] 也多了快
[2172.70-2174.70] 200多萬噸
[2174.70-2176.70] 多了200多萬噸
[2176.70-2178.70] 也是在亞洲
[2178.70-2180.70] 這個擴建主要多了也是在中國大陸
[2182.70-2184.70] LDP的狀況
[2184.70-2186.70] 也一樣這個也是多了
[2186.70-2188.70] 200多萬噸
[2188.70-2190.70] 這個也是主要
[2190.70-2192.70] 都是來自中國大陸
[2194.70-2196.70] 這個是AA的部分
[2196.70-2198.70] 就秉持算我們做AE的原料
[2198.70-2200.70] 這個的話
[2200.70-2202.70] 大概擴建的就比較不明顯
[2202.70-2204.70] 大概幾十萬噸
[2204.70-2206.70] 這個是還好
[2210.70-2212.70] 這個是SAP
[2212.70-2214.70] SAP的產能
[2214.70-2216.70] 這個也多了幾十萬噸
[2216.70-2218.70] 這個
[2218.70-2220.70] 這個也還好
[2220.70-2222.70] 增加的都是在
[2222.70-2224.70] 往下
[2224.70-2226.70] 也都是在亞洲
[2226.70-2228.70] 這個可以看到中國大陸
[2228.70-2230.70] 多了最多
[2230.70-2232.70] 大概有30萬噸左右
[2236.70-2238.70] 這個碳鉛
[2238.70-2240.70] 這個也是亞洲
[2240.70-2242.70] 多了比較多
[2242.70-2244.70] 快三萬噸左右
[2244.70-2246.70] 可以看到
[2246.70-2248.70] 中國大陸也是集中在
[2248.70-2250.70] 中國大陸多了比較多
[2252.70-2254.70] 這個是正邊純
[2254.70-2256.70] 這個全球大概
[2256.70-2258.70] 多了幾十萬噸
[2258.70-2260.70] 那也是主要
[2260.70-2262.70] 也是在看一下中國大陸
[2262.70-2264.70] 你看一下這個中國大陸
[2264.70-2266.70] 多一點點
[2266.70-2268.70] 這個多了不多
[2268.70-2270.70] 這個還好
[2270.70-2272.70] 這個產品增加的就不多
[2274.70-2276.70] 這個AN的話
[2276.70-2278.70] 就多了
[2278.70-2280.70] 這個亞洲這邊有多了
[2280.70-2282.70] 大概有150萬噸
[2282.70-2284.70] 將近
[2284.70-2286.70] 你看一下下面那個下葉
[2286.70-2288.70] 這個最主要也是在中國大陸
[2290.70-2292.70] 150萬噸
[2292.70-2294.70] 大部分都來自中國大陸
[2294.70-2296.70] 來請看
[2296.70-2298.70] 這個MMA
[2298.70-2300.70] 這個增加的量
[2300.70-2302.70] 也是有大概有
[2302.70-2304.70] 快70萬噸左右
[2304.70-2306.70] 這個也都是來自於中國大陸
[2306.70-2308.70] 往下
[2310.70-2312.70] 這個MTV
[2312.70-2314.70] 這個的話也是多了
[2314.70-2316.70] 快200多萬噸
[2316.70-2318.70] 這個看一下亞洲
[2318.70-2320.70] 也都是在亞洲
[2320.70-2322.70] 這個是來自中國大陸
[2324.70-2326.70] PP這個
[2326.70-2328.70] 新產能
[2328.70-2330.70] 多了快500多萬噸
[2330.70-2332.70] 整個全球
[2332.70-2334.70] 最主要也是來自於亞洲
[2334.70-2336.70] 你看中國大陸
[2336.70-2338.70] 就多了快400多萬噸
[2342.70-2344.70] 以上這個新產能的
[2344.70-2346.70] 這個
[2346.70-2348.70] 跟各位報告一下
[2348.70-2350.70] 好
[2350.70-2352.70] 那我們謝謝副總
[2352.70-2354.70] 也請各位投資先進
[2354.70-2356.70] 可以再繼續提問
[2356.70-2358.70] 謝謝
[2378.70-2380.70] 謝謝
[2380.70-2382.70] 謝謝
[2410.70-2412.70] 因為我們
[2412.70-2414.70] 台秀石化
[2414.70-2416.70] 它的
[2416.70-2418.70] 產品我們也要用
[2418.70-2420.70] 潮車運到我們
[2420.70-2422.70] 營園去
[2422.70-2424.70] 那個會再增加21塊美金的運費
[2424.70-2426.70] 所以基本上
[2426.70-2428.70] 我們是盡量
[2428.70-2430.70] 如果有比較低價的
[2430.70-2432.70] 丙烯我們當然
[2432.70-2434.70] 當然會
[2434.70-2436.70] 因為我們丙烯最主要是跟
[2436.70-2438.70] 中油
[2438.70-2440.70] PP的丙烯最主要跟中油
[2440.70-2442.70] 如果不夠才跟
[2442.70-2444.70] 台秀石化
[2444.70-2446.70] 在賣療廠區的丙烯
[2446.70-2448.70] 那些廠的丙烯當然就跟台秀石化
[2448.70-2450.70] 剛剛講的
[2450.70-2452.70] 丙烯除草
[2452.70-2454.70] 是我們營園的PP廠在
[2454.70-2456.70] 使用
[2456.70-2458.70] 當然它有一部分
[2458.70-2460.70] 如果不足它會跟台秀石化
[2460.70-2462.70] 當然我們剛剛有講
[2462.70-2464.70] 如果現貨的
[2464.70-2466.70] 丙烯比較便宜
[2466.70-2468.70] 像現在現貨丙烯我們買到
[2468.70-2470.70] 730幾的這個很便宜
[2470.70-2472.70] 那當然我們就會
[2472.70-2474.70] 在現貨市場去買
[2474.70-2476.70] 當然就會跟台秀石化
[2476.70-2478.70] 買的量就會減少
[2482.70-2484.70] 我們那個PP
[2484.70-2486.70] 營園PP廠的丙烯
[2486.70-2488.70] 是跟中油簽合約
[2488.70-2490.70] 沒有跟台秀石化簽合約
[2496.70-2498.70] 請問各位投資人還有什麼其他的問題嗎?
[2526.70-2528.70] 我們那個美國公司的營業
[2528.70-2530.70] 第一個我剛剛也會講的是
[2530.70-2532.70] 我們台灣的營業
[2532.70-2534.70] 我剛剛也有講過
[2534.70-2536.70] 我們台灣的營業
[2536.70-2538.70] 這個營業是
[2538.70-2540.70] 我們台灣的營業
[2540.70-2542.70] 在台灣的營業
[2542.70-2544.70] 是跟中國的營業
[2544.70-2546.70] 有相當大的分別
[2546.70-2548.70] 在台灣我們叫
[2548.70-2550.70] 中國營業
[2550.70-2552.70] 是跟中國的營業
[2552.70-2554.70] 有很大的分別
[2554.70-2561.70] 第一個,我剛剛有講,因為我們的開工率,我們認為會慢慢的提高。
[2561.70-2570.70] 第二個價格,我們覺得在川普的關稅如果抵定之後,
[2570.70-2574.70] 這個價格我們是認為第三季期應該是會看漲的。
[2574.70-2588.70] 另外就是說,原料以外的價格在川普的政策下,原料成本應該會下降,這對我們是會有利的。
[2591.70-2594.70] 最後一個是說有產品會完全停產。
[2594.70-2608.70] 目前規劃我們現在有停產的產品,除了 ECH 之外,在碳纖的部分有幾類,我們也是有規劃部分去停產。
[2608.70-2613.70] 就這兩個產品,其他的目前大概都正常在生產。
[2624.70-2633.70] 那請問線上還有法人要提問嗎?
[2633.70-2645.70] 如果沒有其他提問的話,那我們今天的法人線上會議就到此結束。
[2645.70-2648.70] 感謝台灣算交工業股份有限公司接受我們的邀請,
[2648.70-2653.70] 也再次謝謝線上投資法人朋友的提問,
[2653.70-2655.70] 那我們下回再見。
