[0.00-3.04] 营业费用的部分是9.46亿
[1629.66-1631.66] 不過那個部分現在目前service為主
[1631.66-1634.66] 那我們比較期待的是在歐洲在emobility
[1634.66-1637.66] 也在腳踏車的長期能夠有一些發酵
[1637.66-1641.66] 尤其一些當地的客人需要當地的一些製造產能
[1641.66-1644.66] 這個部分我想應該會在25年的
[1644.66-1646.66] 就是今年下半年度26年
[1646.66-1648.66] 因為我們之前有設了一個電腦周邊
[1648.66-1649.66] 市場在那邊
[1649.66-1651.66] 那也有這些組裝產
[1651.66-1655.66] 那我們希望把這個在地服務客的比例能夠再拉高
[1655.66-1659.66] 大概原則上大概各地區的這個產品
[1659.66-1660.66] 這樣子
[1669.66-1672.66] 這個還有一個問題就是有人提到就是說
[1672.66-1675.66] 這個出美國的關稅的問題
[1675.66-1676.66] 那基本上
[1676.66-1678.66] 我們當然有一些
[1678.66-1679.66] 我們做empo-dog
[1679.66-1681.66] 像我們做腳踏車
[1681.66-1682.66] 有自己的品牌
[1682.66-1683.66] 那那個部分就是
[1683.66-1686.66] 當然腳踏車部分我認為影響比較小
[1686.66-1689.66] 是因為大部分腳踏車市場歐洲是最大的市場
[1689.66-1691.66] 其實支出美國部分並不多
[1691.66-1694.66] 所以我們從我們的財務上來看的話
[1694.66-1698.66] 不論從IT我們整個集團IT加上整個綠能
[1698.66-1699.66] 腳踏車角度來看
[1699.66-1701.66] 我們支出美國受影響
[1701.66-1703.66] 算出來那都很個位數
[1703.66-1706.66] 因為即使EMS就是這種代工產業
[1706.66-1708.66] 我們的貨大概都是到客戶的部分
[1708.66-1710.66] 客人那邊一起組裝之後才運過去
[1710.66-1713.66] 所以支出美國component不是沒有
[1713.66-1714.66] 這種比例
[1714.66-1717.66] 所以我們目前看來的話
[1717.66-1719.66] 相對我們的客人受到影響比較大
[1719.66-1721.66] 這當然這是間接影響
[1721.66-1722.66] 如果是因為關稅問題
[1722.66-1724.66] 客人這個出貨比例意願降低
[1724.66-1726.66] 當然會受到影響
[1726.66-1729.66] 我們這個單一的產品
[1729.66-1732.66] 就是我們在這些IT或者是綠能
[1732.66-1734.66] 單一產品支出美國
[1734.66-1736.66] 這個受到的這個關稅影響
[1736.66-1738.66] 基本上比例是不夠大
[1738.66-1740.66] 是不夠高的
[1740.66-1745.66] 好
[1745.66-1747.66] 我大概把一些
[1747.66-1749.66] 就是說各位問的問題
[1749.66-1751.66] 我這邊大概把它做個回答
[1751.66-1755.66] 我看有沒有漏掉了
[1755.66-1757.66] 我還有一題
[1757.66-1760.66] 有人問到這個e-bike什麼
[1760.66-1762.66] 發展新趨勢
[1762.66-1764.66] 因為這個是一個不錯的問題
[1764.66-1766.66] 因為今年最近這幾年
[1766.66-1768.66] 大家都保守
[1768.66-1769.66] 都是出庫存
[1769.66-1771.66] 所以就即便有新的東西
[1771.66-1774.66] 用的這個比例其實也不高
[1774.66-1776.66] 因為清庫存就來不及
[1776.66-1779.66] 那目前看來
[1779.66-1782.66] 尤其在e-bike這個市場
[1782.66-1787.66] 雖然它過去的這個半年到一年
[1787.66-1788.66] 其實各地的這個
[1788.66-1790.66] 銷價競爭狀況其實還是在
[1790.66-1793.66] 如果各位去看一下那個通路的市場
[1793.66-1795.66] 還有在網路商業市場
[1795.66-1797.66] 那目前尤其在e-bike
[1797.66-1799.66] 這個折扣比例是很高的
[1799.66-1801.66] 但是我們接下來
[1801.66-1802.66] 我們看到接下來的e-bike
[1802.66-1805.66] 尤其在這個驅動系統上面來看的話
[1805.66-1808.66] 也不會是過去的像日系或者是
[1808.66-1813.66] 這個歐系的這個驅動的這個頂組件為主
[1813.66-1815.66] 越來越多的這個異業
[1815.66-1818.66] 或者是一些這些
[1818.66-1821.66] 這些同業也進來做這些驅動產品
[1821.66-1823.66] 所以目前看來的話
[1823.66-1825.66] 接下來這個e-bike的這個
[1825.66-1827.16] 尤其電子化的部分
[1827.66-1830.66] 其實在隨著這波庫存去化完之後
[1830.66-1832.66] 我認為進展會越來越快
[1832.66-1835.66] 然後在這些電子化的這個供應鏈來講的話
[1835.66-1838.66] 選擇也會越來越多
[1838.66-1841.66] 不變的方向是這個
[1841.66-1843.66] 腳踏車基本上還是走
[1843.66-1846.66] 朝向一個比較整合性的設計
[1846.66-1847.66] 輕量化
[1847.66-1850.66] 還有這個成本的話
[1850.66-1851.66] 也會受到蠻大的挑戰
[1851.66-1854.66] 因為這一波的這個discount下去
[1854.66-1856.66] 電動腳踏車的這個平均單價都有
[1856.66-1858.66] 都有一定比例的下降
[1858.66-1863.66] 所以除了這個功能性之外
[1863.66-1869.66] 將來的這個成本考量也是一個蠻大的一個因素
[1869.66-1870.66] 另外一個當然就是
[1870.66-1872.66] 講到這個還談到一個
[1872.66-1876.66] 是所謂的這個關稅政策
[1876.66-1880.66] 因應這個中美的這個關稅政策的這個
[1880.66-1882.66] 這個紛爭
[1882.66-1885.66] 所以目前看來整個在
[1885.66-1889.66] 出美國的這個component的這個被課稅的
[1889.66-1890.66] 比例相當高
[1890.66-1893.66] 所以將來從長期來看的話
[1893.66-1895.66] 這些從在中國大陸的產能很多
[1895.66-1898.66] 可能都會移到東南亞或其他地方去
[1898.66-1902.66] 那這個很多包含了這些e-bike
[1902.66-1904.66] 還有其他的bike的部分
[1904.66-1906.66] 那也會驅使著這些
[1906.66-1909.66] 從內地的這些一些的這些component的供應鏈
[1909.66-1911.66] 來到這個越南
[1911.66-1915.66] 那這個其實這個價格的競爭其實我認為
[1915.66-1917.66] 會加劇的
[1917.66-1919.66] 因為整個大陸的產能基本上
[1919.66-1921.66] 我認為還是蠻大的
[1921.66-1923.66] 好
[1923.66-1925.66] 那這個是
[1925.66-1928.66] 針對這個市場的一些新趨勢的
[1928.66-1931.66] 不過我建議各位還是可以觀察一下這個歐展
[1931.66-1933.66] 歐展在6月下旬
[1933.66-1937.66] 那因為算是歐洲最大的展
[1937.66-1939.66] 也算是他們本土很大的一個展
[1939.66-1941.66] 到時候整個客人來的狀況
[1941.66-1943.66] 跟下單狀況應該就會比較明朗
[1943.66-1945.66] 整個今年的下半年都一直到明年
[1945.66-1947.66] 26年的整個市場的趨勢
[1955.66-1958.66] 那不知道線上的各位投資先進
[1958.66-1959.66] 還有沒有哪些問題
[1959.66-1960.66] 我真的沒有回答到
[1960.66-1962.66] 需要在這邊做說明
[1962.66-1965.66] 有一個問題是這個
[1965.66-1968.66] 越南產能占全部產能比重會多少
[1968.66-1970.66] 這個其實看客人
[1970.66-1971.66] 有些客人當然
[1971.66-1974.66] 因為我們有些還是出
[1974.66-1978.66] 出中國這個內地的市場的量
[1978.66-1981.66] 那目前來看的話
[1981.66-1984.66] 我覺得
[1984.66-1986.66] 大概
[1986.66-1988.66] 兩位數
[1988.66-1991.66] 那有些客人當然他的比例比較高
[1991.66-1993.66] 有些客人比例沒有那麼多
[1993.66-1995.66] 所以目前這個產能的比例
[1995.66-1997.66] 目前上看兩位數以上
[1997.66-2000.66] 在今年至少在今年下半年度
[2000.66-2002.66] 加上泰國
[2002.66-2004.66] 應該不只越南了包含加上泰國
[2004.66-2006.66] 那就看客人
[2006.66-2008.66] 比如說像美系的客人
[2008.66-2010.66] 他在美國出貨比例
[2010.66-2012.66] 可能就佔他可能假設是叫三成的話
[2012.66-2013.66] 他可能就是三成的
[2013.66-2014.66] 就要移到東南亞
[2014.66-2016.66] 所以這個不一定是
[2016.66-2018.66] 不一定不一定是
[2018.66-2020.66] 我們佔我們全部的比例
[2020.66-2022.66] 但我相信應該在兩位數以上
[2022.66-2023.66] 可是佔個別的客人
[2023.66-2025.66] 還是要看他們出貨的規劃
[2025.66-2031.66] 好
[2031.66-2034.66] 那我想
[2034.66-2037.66] 時間上的關係
[2037.66-2041.66] 我這個能夠跟各位說明
[2041.66-2043.66] 我想在這邊大家都會做一個
[2043.66-2045.66] 能夠詳盡的說明
[2045.66-2048.66] 那如果各位投資先進
[2048.66-2049.66] 沒有其他問題的話
[2049.66-2051.66] 我想希望
[2051.66-2054.66] 將來各位還有一些不清楚的地方
[2054.66-2056.66] 也可以直接來跟我們聯繫
[2056.66-2058.66] 那我們當然從這個
[2058.66-2060.66] 從公司的營運角度來講
[2060.66-2062.66] 我們會這個會
[2062.66-2063.66] 這邊盡量去
[2063.66-2067.66] 解答各位的一些在公司營運上的疑慮
[2067.66-2068.66] OK好
[2068.66-2070.66] 那今天非常謝謝各位的時間
[2070.66-2071.66] 那我們讓我們這個
[2071.66-2073.66] 這個經營團隊能夠在這邊跟
[2073.66-2076.66] 做一個比較這個有效的溝通跟說明
[2076.66-2078.66] 謝謝各位謝謝
[2078.66-2080.66] 謝謝蔡總經理的主持
[2080.66-2083.66] 現在打方電子線上訪人說明會
[2083.66-2084.66] 正式結束
[2084.66-2087.66] 謝謝各位先進今日的參與
[2087.66-2089.66] 若您人有其他問題
[2089.66-2092.66] 最後可以電話與經營團隊交換意見
[2092.66-2095.66] 最後進駐各位投資先進身體健康
[2095.66-2097.66] 萬事如意謝謝大家
