[0.00-3.36] 好,各位投資朋友大家午安
[1567.46-1572.46] 那設備銷售部分呢除了儲能我們太陽能跟充電裝也有提供
[1572.46-1576.46] 那後續的話搭配的是系統整合維運跟資產管理的平台
[1576.46-1584.46] 一條龍的服務來跟我們的投資方建立起非常緊密的結合
[1584.46-1589.46] 那在命題設備的基礎上面我們提供這樣的一個雲端管理系統
[1589.46-1592.46] 那整合的是包含所有的AI的監控
[1592.46-1596.46] 從儲能到光電系統到充電裝
[1597.46-1601.46] 然後這邊的話是講到我們的光電系統的產品
[1601.46-1606.46] 從40kW一直到320kW這種大型魚電暗場使用的變流器呢
[1606.46-1609.46] 我們都已經過了BTC的認證
[1609.46-1617.46] 那在充電裝的部分呢我們從7kW的膠紙裝到120kW甚至到480kW的快充
[1617.46-1620.46] 我們都有提供給我們的CPU的業者
[1620.46-1624.46] 那這個部分有帶到說我們在宜蘭的加工廠
[1624.46-1626.46] 那它是一個接近
[1626.46-1627.46] 一小段時間的加工廠
[1627.46-1629.46] 就是3800台幣的一個工廠
[1629.46-1634.46] 然後有完整的一個雷射點焊跟試驗的一個產線的機具
[1634.46-1636.46] 然後可以去達到最高產能
[1636.46-1639.46] 一年是150MW的光電變流器
[1639.46-1643.46] 那6000個充電裝的7kW交流裝
[1643.46-1647.46] 那儲能的話其實我們可以看到剛才有提到的儲能
[1647.46-1649.46] 其實它非常講究客製
[1649.46-1652.46] 所以我們也會幫客戶去分析它的負載狀況
[1652.46-1656.46] 然後提供適合它用電習慣最佳化的設計
[1656.46-1660.46] 那儲能的話其實我們從這種單向的互用
[1660.46-1665.46] 像是Tesla的Powerwall一直到非常流行的充儲液體
[1665.46-1668.46] 把電池櫃跟PCS整合在一個貨櫃裡面
[1668.46-1672.46] 放在半導體廠或者是紡織廠甚至鋼鐵廠
[1672.46-1674.46] 幫它在離風時間充電
[1674.46-1677.46] 尖風時間放電去達到這個7塊錢的電價套利
[1677.46-1680.46] 那這是我們最新一代的產品
[1680.46-1683.46] 它是可以直接用太陽能板充進去我們的儲能櫃
[1683.46-1685.46] 不需要再透過電流器
[1685.46-1689.46] 那如果是更大型的像是一些商場
[1689.46-1693.46] 像我們最近剛接單一個2MW 7MW的商場
[1693.46-1696.46] 它的話呢是PCS外置
[1696.46-1699.46] 但是有加煤的儲能櫃去幫它做並聯
[1699.46-1701.46] 那如果是進一步走到光儲
[1701.46-1706.46] 像是我的暗場可能就是11MW或者是22MW
[1706.46-1709.46] 那我就是提供這樣的5MW的一人櫃
[1709.46-1710.46] 讓它去做安裝
[1710.46-1712.46] 那全部的產品都是MIT的
[1712.46-1714.46] 所以在這樣的一個
[1715.46-1721.46] 不管是關稅這樣的一個變動比較急劇的一個時間底下
[1721.46-1725.46] 我相信MIT的產品是會有它的競爭力的
[1725.46-1729.46] 那台灣的話呢其實我們看完國外的日本跟澳洲
[1729.46-1730.46] 再回來看台灣
[1730.46-1735.46] 其實它的商務模型非常的類似
[1735.46-1740.46] 我們都是在儲能的安裝地點的結合工廠
[1740.46-1742.46] 或者是stand alone的儲能系統
[1742.46-1744.46] 透過電價套利或者是
[1745.46-1747.46] 用它的調平系統或者是虛量的服務
[1747.46-1749.46] 那賣電給台電
[1749.46-1752.46] 然後呢去賺取這個節省用電的電價差
[1752.46-1757.46] 那這些儲能設備呢都會由項目公司來持有
[1757.46-1760.46] 項目公司呢再把工作下放給盛期率
[1760.46-1763.46] 幫它做15到20年的營運
[1763.46-1766.46] 那這個的話是剛才提到的成瑞的產線
[1766.46-1770.46] 那我們有全自動化的一個電芯組裝的一個流程呢
[1770.46-1773.46] 是符合國際大廠的認證
[1773.46-1774.46] 那每一年的產量呢是有
[1775.46-1778.46] 達到1.2個去高瓦歐爾
[1778.46-1780.46] 最後做一下總結
[1780.46-1784.46] 其實儲能在剛才這樣的一個能源結構變化底下呢
[1784.46-1788.46] 它可以提供電網的穩定
[1788.46-1789.46] 跟增加電網的韌性之外
[1789.46-1792.46] 我們結合這樣的自通訊的技術
[1792.46-1795.46] 來輔助再生能源在發展中間呢
[1795.46-1797.46] 可以穩定用電的基礎
[1797.46-1798.46] 那我的報告到這邊
[1798.46-1800.46] 如果有任何問題的話
[1800.46-1802.46] 也可以歡迎先進盡量詢問
[1802.46-1804.46] 謝謝
[1805.46-1812.46] 非常謝謝公司非常詳盡的報告
[1812.46-1815.46] 那接下來我們就Q&A時間
[1815.46-1818.46] 如果各位投資先進有任何問題的話
[1818.46-1820.46] 都可以舉手發問
[1826.46-1828.46] 那如果投資先進沒有問題的話
[1828.46-1831.46] 我們今天的法說會就到此結束
