[0.00-25.64] 各位贵宾午安
[1640.30-1642.34] 採權益法投資的部分
[1642.60-1645.42] 那這邊的話最主要就是在這個
[1645.98-1649.30] 剛剛也提到我們一些轉投資不管是在水資源大數據
[1649.56-1650.84] 在這個
[1651.10-1655.20] 儲能還有這個半導體的台灣金財的一個投資的部分
[1655.46-1659.80] 未來我想這個部分還會再持續再做一些投資增加的部分
[1663.64-1666.20] 那接下來是負債的部分
[1666.46-1668.50] 負債的一個變動的部分
[1668.76-1669.78] 金額大概
[1670.04-1670.82] 總金額
[1671.06-1674.66] 並不是變動的太大但是就是說流動負債跟非流動負債
[1674.90-1675.68] 事實上
[1675.98-1677.00] 大概有一些
[1677.26-1677.78] 這個
[1678.02-1681.36] 此消彼長的部分最主要流動負債他在增加
[1681.62-1683.92] 非流動負債在下降主要是
[1684.18-1684.94] 我們這個
[1685.20-1688.26] 這是我們的借款裡面有一些一年到期的長借
[1688.52-1690.82] 做一個長緩跟轉為短期借款
[1691.34-1694.42] 所以也因應我們可以看到就說我們的一些
[1694.66-1695.70] 這邊負債
[1695.94-1699.54] 所算的一些流動比率或者是長期資金的使用比率
[1699.78-1700.30] 也
[1700.56-1705.42] 看到了一些可能持續在做一些惡化的部分所以我們在今年
[1705.42-1706.18] 這個
[1706.44-1709.26] 這個第一季的部分我們已經進行了所謂的
[1709.52-1713.62] 跟銀行銀行這邊進行的所謂財務重組的部分
[1713.86-1720.02] 那這邊會進行一個把我們的一些短期借款轉成長期借款的一些
[1720.26-1723.86] 調整的部分會在今年的第一季底這邊完成
[1724.10-1726.66] 第一季底之後我想這邊相關的一些
[1726.92-1730.50] 包括流動比例或長期資金使用的部分
[1730.76-1734.34] 就不會有所謂的以短支場的一些狀況做一些改善
[1735.42-1739.52] 接下來是我們的現金流的部分了我想
[1739.78-1745.92] 這邊可以看到就說加農的一個營業活動現金流其實大部分的時間都是
[1746.18-1747.46] 所謂的正現金流
[1747.70-1748.48] 那
[1748.74-1753.60] 其實這也跟最近幾年我們在持續做所謂的庫存的持續去化
[1753.86-1755.14] 是有蠻大的一個
[1755.38-1756.42] 關係的當然
[1756.66-1758.72] 去年第四季營業活動是一個
[1758.98-1763.06] 這個現金流出的部分那最主要是跟年底我們在
[1763.32-1765.38] 這個投產黃金的部分
[1765.68-1767.72] 一些相關購料的一些支出
[1767.98-1769.00] 導致他一個
[1769.26-1771.82] 所謂的季節性的一些因素的部分
[1772.08-1776.18] 那如果以下方這個圖表可以看到我們過去的四年度呢
[1776.42-1777.70] 其實在營業活動呢
[1777.96-1779.50] 都是所謂的正現金流
[1779.76-1781.04] 年度的部分
[1781.30-1786.66] 像這個前面的一個年度8400萬那後面大概3900
[1786.92-1788.46] 去年大概4000到
[1788.72-1789.74] 應該說
[1790.00-1791.02] 2024年的大概
[1791.28-1794.86] 1.48億總共大概超過3億的一個營業活動的現金流
[1795.12-1795.88] 這也就是
[1796.14-1797.94] 大概支撐著佳龍
[1798.18-1799.98] 可以雖然還是在
[1800.24-1804.84] 帳上是持續的虧損但是現金流的部分是完全是沒有問題
[1808.18-1810.86] 接下來再跟大家報告一下
[1811.12-1813.54] 佳龍未來的一個發展方向
[1813.80-1814.58] 這兩
[1814.82-1819.94] 就是大概從2022年開始我們在進行的一些所謂的體質的調整
[1820.20-1822.76] 因為我們相信從質變才能帶來所謂的
[1823.02-1824.82] 財務報表上面的一個量
[1825.12-1825.62] 的部分
[1826.14-1827.42] 那從2024的
[1827.68-1832.54] 這一個2022的第4季我們啟動了所謂的深耕的一個專案我想
[1832.80-1838.94] 透過這個專案一開始我們在做所謂的流程梳理跟庫存去化剛剛看到整個的一個
[1839.20-1844.58] 庫存持續的下降也是因為這個專案啟動之後來帶來的一個效益
[1844.82-1849.94] 他至少在前期幫我們回收去化的白金超過300公斤
[1850.46-1852.50] 得到的現金流超過3億
[1852.76-1854.82] 還有貢獻我們大概超過3000萬的
[1855.12-1855.62] 一個毛利
[1855.88-1857.16] 這是第一階段
[1857.42-1858.96] 那現在階段呢其實是比
[1859.22-1859.72] 更重要的
[1859.98-1863.30] 因為他是佳龍未來永續發展的一個根基的部分
[1863.56-1865.86] 包括人才的培養團隊的建議
[1866.12-1867.40] 跟文化的形塑
[1867.66-1871.50] 這邊我們在建立的是所謂的當哲文化包括我們的人才
[1871.76-1874.06] 必須具備的誠信正直
[1874.32-1876.88] 創新熱情跟利他功勞的一個特質
[1877.38-1882.76] 那同時我們在技術的部分當這些人才團隊都有了開始我們要發展我們新的技術
[1883.02-1884.56] 我們要發展的新的技術就是
[1884.86-1885.88] 材料應用的部分
[1886.14-1887.68] 包括剛剛前面所講的
[1888.18-1889.72] 非粿金屬的CLGM
[1889.98-1893.82] 在金屬類貴金屬類的部分包括綠色的晶岩
[1894.34-1895.36] 綠色的金靶
[1895.62-1896.12] SLAG
[1896.38-1897.14] 跟一些
[1897.40-1900.22] 五紋五碳金還有高潔淨的半導體零件清洗
[1900.48-1901.76] 這個都是我們目前
[1902.02-1906.36] 已經建置好甚至在進製中相關的一些技術跟產品的部分
[1906.62-1909.70] 那同時我們也在完全健全我們
[1910.20-1913.54] 整個貴金屬跟非粿金屬的一個叫做全循環經濟
[1913.78-1914.56] 那如同剛才講的
[1914.86-1917.68] 我們希望他是從搖籃到搖籃
[1917.94-1920.24] 任何的一個材料都可以被
[1920.50-1921.78] 重新的這個
[1922.02-1923.30] 在
[1923.56-1927.40] 這個end of life之後重新再被回收再利用的部分
[1927.66-1929.70] 所以透過close loop跟value edit
[1929.96-1931.50] 跟合作分類的方式
[1931.76-1934.32] 我們在發展我們的全循環經濟模式
[1935.08-1939.44] 那這邊我們聚焦在五大產業的一個關鍵科普包括第三類半導體
[1939.70-1940.20] 航太
[1940.46-1944.30] 資源再生產業跟綠色材料產業跟高潔半導體的部分
[1944.86-1951.00] 那同時我們這個定調了我們這個未來的發展策略他叫一核四星40加一
[1951.26-1952.28] 下面這張就來
[1952.54-1956.38] 簡單的說明一下什麼叫一核四星44加一的部分
[1956.90-1963.54] 那這個一核四星44加一就是說我們在我們的這個核心就是所謂的ESG也是循環經濟
[1963.80-1966.36] 之下發展四個星包括
[1966.62-1971.48] 新環保新能源新合作跟新商模的部分
[1971.74-1974.30] 那44加一就是說一個是四大產線
[1974.86-1976.40] 四大平台跟一個中心
[1976.66-1977.94] 四大產線就是加隆
[1978.18-1979.46] 已經建置了
[1979.72-1983.06] 原來的一些產線我們希望把它再做一些升級
[1983.30-1984.08] 跟做一些
[1984.34-1986.90] 效率的提升包括零件清洗的部分
[1987.14-1989.46] 還有城市採礦的電子廢棄的部分
[1989.70-1992.26] 另外在高端金的部分也是我們現在正好
[1992.52-1994.82] 正在發展的一個重點的部分他在材料
[1995.08-2002.76] 會金所材料應用端的部分還有廢水處理我想這些都是原來加隆就已經建設建置好的一些新這個
[2003.02-2003.78] 既有的產線
[2004.04-2004.82] 那另外透過
[2005.06-2007.16] 四大平台的部分包括我們綠能事業
[2007.42-2009.22] 跟CL剛剛提到的
[2009.46-2011.26] 新環保材料還有GIDC
[2011.52-2012.80] 這個Internet Data Center
[2013.06-2013.82] 還有一個產業
[2014.08-2016.64] 嫁接優勢互補的部分是我們那個四大平台
[2016.90-2017.40] 為我們
[2017.66-2018.94] 未來的一些成長
[2019.20-2020.22] 再注入一些新的動能
[2020.48-2024.82] 同時我們更重視我們自己的一些研發中心跟我們的人才的部分
[2025.08-2026.62] 因為這個才能帶來我們的一個
[2026.88-2028.92] 技術自主跟關鍵人才
[2029.44-2032.00] 所以透過一核四星44加一這樣的一個
[2032.26-2032.76] 我們
[2033.02-2034.30] 未來的發展方向
[2034.56-2034.82] 跟一核四星
[2035.06-2035.62] 這個業務的聚焦
[2035.88-2038.96] 希望能夠帶來加隆的一個不同的轉型
[2041.00-2045.36] 那這邊補充一下我們在綠能的部分那太陽能的部分我們現在目前有五個
[2045.62-2046.12] 暗場
[2046.64-2050.22] 我想包括我們在這個就是我們的觀音一場觀音二場
[2050.74-2053.30] 我們的黃科廠還有我們倉庫的一個
[2053.54-2058.16] 這個土地上面都建置建置了這個太陽能發電的一些
[2058.42-2059.44] 這個這個
[2059.70-2060.20] 設備
[2060.72-2064.04] 那目前的就說我們等受給台電的是三個暗場
[2064.30-2064.82] 也就是
[2065.12-2066.14] 這個藍色
[2066.40-2067.42] 房起來的部分
[2067.68-2070.74] 那綠色暗場是我們現在採用所謂的自發自用的
[2071.00-2072.28] 採用BRPB的一個
[2072.54-2075.62] 這個太陽能發電設備的部分在我們的觀音二場
[2075.86-2076.38] 還有我們的
[2076.64-2078.18] 黃科廠的二期的部分
[2078.42-2079.20] 那總發電
[2079.46-2082.52] 裝置容量大概是1728
[2082.78-2084.32] 這個K瓦的部分
[2084.58-2085.60] 那事實上這個
[2085.86-2087.38] 全年的這個發電量呢
[2087.90-2094.30] 老實講如果說未來我們把它轉為自發自用它是大於我們現在的一個用電全年的用電使用量的部分
[2094.56-2096.10] 所以事實上如果可以
[2096.34-2099.16] 把它轉自發自用其實我們已經達到所謂的RE100
[2099.94-2101.98] 但是在太陽能發電這邊我們還有一個
[2102.24-2104.02] 所謂的5加N的一個策略
[2104.28-2105.56] 那5加N就是在這個
[2105.82-2108.12] 5個既有的暗場之外
[2108.38-2110.68] 我們還要持續的增加一些
[2110.94-2113.50] 暗場的一些持有或開發的部分
[2114.78-2116.58] 那這邊就是一個5加N的
[2116.82-2118.36] 這個新的暗場的部分
[2118.62-2119.38] 就是我們在
[2119.64-2124.26] 我們的大陸蘇州加隆的子公司這邊也建設一個新的一個暗場
[2124.56-2127.88] 我們這個暗場的部分就是看到左下角這邊的
[2128.14-2129.94] 大概是5棟廠房跟一個
[2130.18-2131.98] 這個行政棟的部分樓上
[2132.24-2135.82] 屋頂的部分我們會建置我們的新比拉希的暗場
[2136.08-2140.68] 那總容量大概是1445K瓦
[2140.94-2145.30] 那大概如果說以25年的發電總量來估計的話
[2145.54-2148.88] 他25年總共可以發大概3600
[2149.14-2150.16] 46萬
[2150.42-2153.22] 一個K瓦的一個發電量我想這個部分
[2153.48-2154.26] 也是
[2154.56-2158.14] 在未來可以挹注加隆的一些營運的一個部分
[2159.94-2164.54] 那既然提到了BRP我想這邊對PRPB再做一個簡單的一個
[2164.80-2166.08] 這個說明
[2166.34-2170.68] 那可能我們大概比較傳統知道叫BAPE或BIPB
[2170.94-2173.76] 那差別就是這個A就是attached
[2174.02-2177.08] 就附著在建物上面的或者是
[2177.34-2179.64] Ice Integrate把它整合在建物的一些
[2179.90-2181.18] 傳統的BIPB
[2181.44-2184.26] 但BRPB的部分呢它叫R就是Rainforce
[2184.56-2186.10] 我們把它做一些強化
[2186.34-2188.66] 事實上這個BRPB呢
[2188.90-2191.72] 它可以取代所謂的本來我要鋪設的屋頂
[2191.98-2193.26] 就是說它是一個
[2193.52-2196.84] 鋪設屋頂的一個建材以外它又可以發電
[2197.10-2197.86] 所以我們叫
[2198.12-2201.70] 叫它叫做一個混合式的光電複合的一個建材
[2201.96-2204.78] 它有五防就可以防水防風防火
[2205.04-2207.08] 防熱跟防
[2208.62-2209.90] 防塌的部分
[2210.16-2211.44] 那這邊的話就是說
[2211.70-2212.72] 大概
[2213.48-2215.28] 透過下一張就是說這個
[2215.54-2220.66] 這是傳統如果說我們在一個建物上面屋頂要再蓋一個太陽能的部分
[2220.92-2223.98] 它是在屋頂上面再加上去
[2224.24-2225.52] 但是BRPB的概念就是
[2225.78-2228.84] 我不需要不需要再另外蓋我就是可以
[2229.10-2230.64] 如果蓋一個新的廠房
[2230.90-2233.46] 我就直接屋頂就鋪設這個BRPB
[2233.72-2236.02] 那我就可以減去未來我這個
[2236.28-2242.16] 上面這個屋頂的採鋼板它可能隔10到12年要去換一次的一些相關成本跟一些
[2242.16-2243.96] 這個作業麻煩的部分
[2244.20-2246.00] 而且它的一個使用壽命呢
[2246.26-2247.54] 是超過30年
[2247.80-2248.82] 最長是到40年
[2249.08-2250.36] 所以這個部分我想
[2250.60-2256.76] 它有蠻大的效益它的發電的效益我想也不輸傳統的BAB或BIPB的部分
[2257.00-2261.10] 那這個部分也是加農目前來講跟我們的策略夥伴在結合
[2261.36-2264.18] 在發展甚至在推廣的部分
[2266.48-2271.34] 我想這個是加農我想還是持續在做一些轉型啦當然我們從
[2271.60-2272.12] 2022年
[2272.42-2275.48] 的第四季開始到現在我現在經過兩年多的時間
[2276.00-2280.86] 那未來大家可能會比較明確的看到加農的一個轉型的成果
[2281.12-2282.40] 過去可能我們叫
[2282.66-2285.72] 在這個不管是在一些廢棄物的
[2285.98-2287.00] 清除處理
[2287.26-2288.28] 零件清洗
[2288.54-2289.56] 一些晶岩或
[2289.82-2290.60] 會晶屬原料
[2291.10-2293.40] 的部分或者電子廢棄物的回收
[2293.66-2294.68] 精煉的部分
[2294.94-2295.46] 我們
[2295.72-2296.48] 比較
[2297.00-2301.60] 叫做提供一些客戶比較單一的一些產品跟服務但現在呢
[2301.86-2302.88] 我們希望把它
[2303.14-2304.92] 做一個升級
[2305.18-2307.24] 我們提供給客戶一些完整的
[2307.48-2308.26] 解決方案
[2308.52-2309.80] 透過所謂的close loop
[2310.04-2312.36] 跟所謂的全循環經濟的模式
[2312.60-2314.40] 在工業客戶呢我可以提供給
[2314.66-2315.42] 工業客戶
[2315.68-2318.50] 不管是清除處理回收以及再利用
[2318.76-2322.08] 那再利用後面呢我們得到一些貴金屬金屬類的原料
[2322.34-2325.40] 我們可以做一些材料比如說現在在發展的一些
[2325.66-2328.22] 這個文金或者是金靶
[2328.48-2330.52] SLAG金岩綠色金岩的部分
[2330.52-2332.82] 那另外在電子廢棄物的部分呢
[2333.08-2339.22] 一樣我們透過清除處理回收再利用得到一些非金屬類的原料呢一樣來做一些回收的
[2339.48-2340.24] 應用跟
[2340.50-2341.28] 應用材料
[2341.52-2345.12] 包括我們剛剛前面提的西耳區驗還有我們原來就已經在發展的
[2345.36-2346.40] 濾品坊
[2346.64-2349.98] 那同時我們也是一個這個過去大概
[2350.24-2352.80] 二十幾年在環保這邊的一個
[2353.04-2358.16] 這個實務經驗我們對於環保的一些專業顧問的部分我們也提供一些相關的服務
[2358.42-2359.44] 包括一些固態
[2359.96-2360.48] 液態廢棄物
[2360.78-2362.82] 一些低碳的解決方案
[2363.08-2365.64] 還有太陽能如果是要建太陽能暗場
[2365.90-2367.18] 或其他的材料的部分
[2367.44-2369.48] 我們也有一些相關的解決方案
[2369.74-2372.04] 另外在儲能我想這邊跟保金的合作
[2372.30-2375.88] 獲得一些在儲能相關的一些解決方案的一些
[2376.14-2376.90] 這個
[2377.16-2377.68] know how
[2377.92-2379.46] 那另外還有在水資源的部分
[2379.72-2380.24] 所以
[2380.48-2382.80] 這邊可以看到就是說加農也許
[2383.04-2384.08] 您知道的
[2384.32-2385.36] 認識的加農
[2385.60-2387.14] 大概我們會把它認為所謂是
[2387.40-2388.94] 資源回收的一個產業
[2389.20-2390.48] 但是現在呢
[2390.78-2391.80] 我們向後延伸
[2392.06-2394.10] 我們要往所謂的材料應用
[2394.36-2395.64] 部分來做一個
[2395.90-2396.66] 轉型
[2396.92-2402.80] 跟改變的部分我想這邊可以讓大家在未來可以拭目期待的部分
[2403.06-2406.14] 那以上的報告部分我想再把
[2406.64-2407.16] 這個
[2407.42-2410.48] 組織棒再交回我們原副的一個同仁的部分
[2410.74-2411.26] 謝謝
[2412.54-2414.58] 好的我們非常感謝財務長的
[2414.84-2416.12] 講這個簡報
[2416.38-2420.48] 那現在屬於各位投資先進的Q&A時間如果各位投資先進有任何
[2420.78-2421.80] 問題的話
[2422.06-2429.74] 歡迎您使用下方的聊天室做訊息的提問或是說舉手的部分的話再幫您開麥克風發言謝謝
[2445.10-2447.40] 如果有問題想要提問的
[2447.92-2448.68] 沒關係你就在
[2448.94-2449.44] 聊天室
[2449.70-2450.22] 好
[2450.78-2452.82] 但是要舉手來打一下這個你的問題
[2453.08-2453.84] 這邊
[2454.10-2456.16] 可以回覆的我會盡量
[2456.66-2457.94] 事務不言言無盡
[2481.28-2484.62] 我們那個迅捷投資這邊這個
[2486.92-2488.96] 財務長你好
[2489.22-2490.00] 你好
[2491.28-2496.40] 請問一下那個就是我們貴金屬不是在漲價
[2496.64-2499.20] 那我這個是不太了解說
[2499.46-2502.02] 漲價對我們
[2502.28-2504.84] 從財報上面好像看不出來那個
[2505.36-2506.64] 效益的
[2507.40-2509.44] 有什麼效益產生所以
[2509.70-2511.24] 這個是不是可以幫
[2511.74-2513.80] 幫我們解釋一下這個是為什麼
[2515.08-2516.60] 我想
[2517.12-2518.66] 這個貴金屬的
[2518.92-2523.00] 漲價尤其是黃金的漲價對我們來講的確是有一些影響
[2523.26-2524.80] 他影響有正面也有
[2525.06-2526.08] 負面的部分
[2526.34-2528.12] 我當然就說負面分你需要
[2528.38-2529.40] 準備更多的
[2529.66-2531.46] 一個現金或資金
[2531.72-2534.02] 我才能去做這些
[2534.28-2537.60] 我們把貴金屬當作材料的一個買進的部分
[2537.86-2539.40] 那當然就說以銷售面積的部分來講
[2539.70-2542.76] 其實我們現在很多的這個
[2543.02-2544.82] 這個貴金屬的銷售
[2545.32-2547.88] 事實上我們採用所謂自然避險
[2548.40-2549.16] 的方式
[2549.42-2554.04] 我就說我們在這個也許跟這個貴金屬銀行的部分
[2554.28-2558.64] 我們有一個介料的額度透過這個介料額度我們可以實現就是
[2558.90-2559.92] 我們賣貴金屬
[2560.44-2561.20] 不管是
[2561.46-2564.02] 在貴金屬原料或者是金顏的部分
[2564.28-2568.36] 我們可以當天一買一賣就是把一些這個
[2568.62-2569.40] 可能
[2569.64-2571.48] 價格波動的損失
[2571.74-2572.76] 控制住
[2573.02-2579.42] 所以也意味著說我可以控制我的一個貴金屬的風險所以他在利潤上的一個
[2579.94-2580.96] 這個反應
[2581.22-2586.34] 這個反應就不會那麼大但是還有一塊就是我們從
[2586.60-2587.62] 電子廢棄物
[2587.88-2591.46] 所回收得到的貴金屬因為他所取得的
[2591.72-2595.30] 成本因為他是從廢料的狀態變成貴金屬
[2595.80-2598.62] 所以那個部分還是會有一些
[2598.88-2599.40] 喔
[2599.40-2601.96] 這個這個利潤的部分那就說看我們
[2602.22-2602.98] 回收的
[2603.24-2605.28] 這個比如說黃金從
[2605.54-2606.82] 一些我們的廢棄物
[2607.08-2609.12] 裡面得到的一些數量
[2609.38-2610.40] 的高或低
[2610.92-2616.56] 所以事實上在貴金屬這邊基本上還是一定有他的一定的margin
[2616.80-2619.36] 當然講也許叫做1到5%
[2619.62-2620.14] 那
[2620.64-2626.54] 我們我們所賺的叫做管理財啦比較不會是賺所謂的機會財的部分
[2626.80-2629.10] 所以這邊部分跟您做一個報告
[2629.40-2635.54] 這邊線上有這個這個投資先進的發問就是
[2635.80-2638.36] 就是受電發電的部分我想
[2638.62-2643.74] 這邊的話以目前來講就是我們現在五座案場
[2644.00-2645.52] 大概一年
[2645.78-2647.32] 一年的
[2647.58-2648.86] 貢獻的
[2649.12-2651.16] 這個營收大概是在
[2651.42-2652.70] 1000萬左右
[2653.98-2655.76] 1000萬左右那
[2656.02-2657.56] 我們現在我們現在
[2657.82-2659.10] 我們現在我們現在
[2659.40-2661.70] 他的一個margin rate
[2661.96-2665.28] 我們大概算了因為他是建置在我們自己的一些
[2665.54-2668.36] 土地上面的所以沒有所謂的租金的這個
[2668.62-2669.38] 這個成本
[2669.64-2671.44] 他的margin rate是可以大概在
[2671.68-2672.46] 5成左右
[2672.96-2676.04] 那所以相關在這個蘇州加農
[2676.30-2677.58] 所建置的
[2677.84-2680.40] 其實他大概就是我們現在台灣五座案
[2680.64-2682.18] 案場的這個容量的
[2682.96-2683.46] 在
[2684.48-2687.56] 一樣就變未來我們現在大概是大概
[2687.82-2689.36] 大概將近1.7
[2689.66-2692.22] 1.7K
[2692.48-2693.50] 這個千瓦的
[2693.76-2694.78] 這個發電
[2695.04-2695.80] 一年的
[2696.06-2697.60] 發電的容量的部分
[2697.84-2700.92] 那剛剛看到大陸的部分大概1.4多嘛所以
[2701.18-2702.20] 其實是蠻
[2702.46-2704.50] 跟台灣這邊的這個這個
[2705.02-2705.52] 獲利的
[2706.04-2709.88] 狀況會蠻接近的不過他現在還在建置應該是從今年
[2710.14-2711.16] 下半年開始
[2711.42-2713.20] 他會正式的投入
[2713.46-2715.00] 營運來貢獻
[2715.26-2717.30] 一些營收跟獲利的部分
[2719.40-2723.50] 是不是
[2723.76-2726.32] 這邊的回答或者還有沒有其他的
[2726.56-2728.36] 這個問題要提問的部分
[2730.66-2733.74] 小長不好意思那個問題我剛還是沒有
[2734.00-2735.02] 搞得很清楚
[2735.28-2737.32] 那個是說我們的
[2737.58-2739.36] 貴金屬是從電子
[2739.62-2741.16] 廢棄物裡面去
[2741.42-2742.70] 提煉出來
[2742.96-2743.98] 這樣的理解對嗎
[2745.52-2749.36] 我們的貴金屬來自幾塊一個是工業客戶我們
[2749.66-2752.48] 去幫客戶去清洗他的一些
[2752.72-2755.04] 工件所得到的一些貴金屬
[2756.06-2756.82] 那因為
[2757.08-2761.68] 這邊有一些所謂的客戶可能賣斷或換料的部分我們就會得到一些
[2761.94-2768.08] 黃金可以去做出售只是在出售的過程中剛剛提到我們透過借料的一個交易
[2768.34-2770.40] 模式去規避我們的價格風險
[2770.64-2772.96] 所以這邊來講就是
[2773.20-2776.54] 我們把價格風險抑制住了那所賺的可能就是我們
[2777.04-2779.36] 在幫客戶去做這些
[2779.66-2781.20] 提供服務的一些
[2781.44-2783.24] 服務的一些相關費用或者是
[2783.50-2786.82] 比如說我做成經驗可以跟客戶多收一些
[2787.08-2790.40] 叫做Premium的部分所以那個部分的一個
[2790.66-2793.74] 貴金屬這邊所呈現出來的Margin Rate
[2794.00-2795.78] 就是在1-5%左右
[2796.04-2799.12] 那電子廢棄物的部分它的Margin Rate會比較高
[2799.36-2800.14] 所以
[2800.40-2800.90] 他
[2801.16-2802.44] 取決於就是說我從
[2802.70-2807.04] 電子廢棄物或者是我從標案會得到的一些貴金屬
[2807.30-2808.58] 的一些回收
[2808.84-2809.36] 的一些
[2809.66-2815.54] 數量它的成本相對會稍微比較低一些所以有一些利潤的部分它會高於我們
[2815.80-2816.56] 從剛剛講的
[2816.82-2819.38] 從工業廢棄物得到黃金這邊銷售模式的
[2819.64-2820.92] 這個Margin會
[2821.44-2824.50] 這個電子廢棄物這邊反而會比較高
[2826.56-2831.16] 那所以電子廢棄物我們現在回收的價格
[2831.68-2832.96] 也是有漲價嗎
[2834.24-2835.52] 可能
[2836.02-2836.80] 你
[2837.04-2839.10] 其實電子廢棄物的處理它分成兩個
[2839.40-2841.44] 一個模式是客戶
[2841.70-2843.76] 我們跟客戶收處理費
[2844.78-2847.08] 然後幫他去處理他的電子廢棄物
[2847.60-2851.44] 另外一個模式是我們去比如說去投標或者去買
[2852.20-2858.34] 這些電子廢棄物進來去做回收然後得到裡面的一些比如說廢五金或者是廢塑膠的部分
[2858.60-2860.64] 然後有些貴金屬的部分
[2860.90-2863.98] 那再去做後端的一個銷售或處理的部分
[2865.52-2866.02] 是
[2866.54-2869.36] 那所以就是說我們跟客戶
[2869.66-2871.44] 客戶收處理費
[2871.96-2872.72] 這個應該
[2872.98-2877.34] 台灣的趨勢應該價格收費應該價格也是往上漲的嗎
[2878.36-2882.72] 當然就是說對於一些當然他的一些
[2882.96-2885.28] 比較多我們在處理這種
[2885.78-2889.12] 電子廢棄物如果是客戶付給我們錢
[2889.88-2891.68] 比較多是那種品牌
[2892.18-2894.24] 就是3C的品牌的大廠
[2894.74-2896.54] 會採取這個模式
[2896.80-2897.82] 對那
[2899.40-2903.24] 可能要透過我們去購買或標案的部分
[2903.50-2905.04] 所以這邊會有一些
[2905.28-2906.32] 不太一樣的處理
[2907.08-2912.46] 不過不管是透過剛剛提到的是收處理費或者是去購買的部分
[2912.96-2913.74] 這些
[2914.00-2922.18] 得到就拆解完之後得到這些不管是廢五金或者是貴金屬的部分其實所有權都是加農的部分
[2922.44-2928.08] 我們就可以來做一些再把它做成比如說貴金屬的調定後續再做一個出售
[2928.32-2929.10] 那像
[2929.40-2931.20] 相對的這些這些成本
[2931.44-2932.22] 就會比較
[2932.48-2934.52] 比一般我們現在就是說
[2934.78-2938.62] 因為他取得了現在的黃金的價格是持續在
[2938.88-2939.64] 往上
[2939.90-2940.40] 所以
[2940.66-2944.24] 我在前面所得到的這些廢棄物
[2944.76-2950.14] 透過時間透過一定時間去把它做回收處理跟精煉得到了這些
[2950.40-2955.26] 這些貴金屬的部分他的成本就會相對是比較低的
[2957.04-2959.36] 對啊我的意思是說我們
[2959.66-2962.72] 取得成本如果說沒有增加的話
[2963.24-2965.54] 那黃金的價格上漲
[2965.80-2968.62] 理論上應該他就會反映在我們的
[2969.12-2973.22] 營收跟獲利上面可是我們從財報上面
[2973.74-2976.56] 去看不出來這一點這個這個是為什麼
[2976.80-2977.84] 關鍵是
[2978.08-2984.24] 應該是說電子廢棄物的得到的貴金屬的量並不是我們現在
[2984.48-2986.80] 我們在銷售貴金屬裡面
[2987.04-2988.08] 他像我們現在
[2988.32-2989.10] 一年也許
[2989.66-2990.94] 銷售大概
[2991.20-2992.72] 兩三百公斤
[2992.98-2993.76] 的黃金
[2994.52-2996.32] 但是從電子廢棄物來的
[2996.82-2998.62] 也許是不到5%
[2999.64-3000.40] OK
[3003.48-3005.78] 所以他這邊的貢獻他是有限的
[3008.34-3008.86] OK
[3012.44-3013.72] 這一年大概
[3014.48-3017.56] 差不多10公斤到15公斤是從
[3018.32-3019.36] 那個電子廢棄物
[3019.66-3020.42] 來的
[3020.94-3023.24] 可以推算
[3024.00-3026.56] 因為比重不高所以看不太出來
[3026.82-3027.34] 是
[3027.60-3028.10] OK
[3029.12-3029.90] 好謝謝
[3030.66-3031.94] 謝謝你的提問
[3037.84-3040.14] 還有其他投資先進有提問的嗎
[3049.40-3055.80] 那是從那個貴金屬來的那個營收
[3056.32-3059.38] 是佔最主要的部分嗎
[3059.64-3065.78] 不是應該是最主要是來自於我們剛剛提到的在電子廢棄物
[3066.04-3067.32] 的那個營收
[3067.58-3069.88] 是佔最主要的部分嗎
[3070.14-3070.64] 不是
[3070.90-3076.02] 應該是最主要是來自於我們剛剛提到的在電子廢棄物
[3076.28-3077.30] 的那個營收
[3077.56-3079.36] 是佔最主要的部分
[3079.60-3081.96] 電子廢棄物裡面得到的一些
[3082.22-3083.24] 不是
[3083.50-3084.00] 不是
[3084.78-3085.54] 貴金屬
[3085.80-3086.56] 其他的
[3090.40-3092.72] 比如說我剛剛講
[3093.22-3095.78] 有些基本金屬的廢物金的部分
[3096.30-3098.86] 然後還有一些是可能是
[3099.12-3100.64] 就是非金屬類
[3100.90-3102.70] 還有一些我們所提供的
[3102.96-3105.00] 不管是工業客戶這邊的一些
[3105.26-3106.54] 零件清洗
[3106.80-3109.36] 清洗完我們再做一些回收
[3109.66-3110.42] 精煉
[3110.68-3111.20] 提存
[3111.70-3116.82] 太陽能它有佔一部分但是大概比例也許不到10%
[3117.08-3123.22] 最主要還是我們在講的從電子廢棄物我們叫廢資債這邊它的一些
[3123.48-3124.24] 其實
[3125.52-3126.56] 取得的成本
[3126.80-3130.90] 跟處理後我們可以把它做銷售的一些價差的部分
[3131.16-3133.20] 它的margin可能會維持在
[3133.46-3134.74] 大概4到5成左右
[3139.66-3141.20] 所以我們那個
[3141.70-3142.98] 廢棄金屬
[3143.24-3145.54] 回收的金屬主要是
[3145.80-3147.34] 哪一些金屬比較多
[3148.36-3150.16] 剛才提到了比如說
[3150.40-3152.46] 比如說像鐵
[3152.72-3153.22] 銅
[3153.48-3157.06] 銅可能是一大塊蠻多的因為你主機板裡面
[3157.32-3158.34] 把它粉碎
