[0.00-3.00] 各位投資先進朋友們,大家午安
[1760.58-1762.88] 都是國家數位發展的競爭力
[1763.40-1766.46] 公司穩定光纖絲的來源
[1766.98-1768.78] 提供國內電信
[1769.28-1770.82] 網路5G的
[1771.08-1771.84] 發展需求
[1772.62-1775.68] 那其實所有的數位越來越多就是
[1775.94-1777.98] 網路的需求就越來越大
[1778.50-1780.04] 網路的需求主幹線前面
[1780.34-1781.36] 進步是光纖
[1782.64-1784.18] 那現在
[1784.44-1785.46] 有時候
[1786.22-1788.28] 因為這幾年來那個
[1788.54-1789.04] 業主
[1789.30-1790.58] 沒有真正投入
[1791.10-1791.60] 所以
[1791.86-1792.62] 你的手機
[1792.88-1794.42] 其實一直在轉纖纖
[1794.68-1795.18] 就是
[1796.72-1797.74] 不夠啦
[1798.52-1799.02] 那
[1799.28-1801.34] 由於郭潮體的供應商
[1801.58-1802.86] 一被停止
[1803.12-1803.64] 生產
[1804.14-1807.22] 所以我們也洽其他供應商來合作開發
[1807.48-1809.26] 並加速試做這個
[1809.26-1811.30] 高新網狀
[1811.56-1812.34] 以細菌光纖
[1813.10-1815.14] 再來就是最後一項
[1815.40-1817.20] 開發新型的珠網光纖
[1817.46-1818.98] 準備更新
[1819.24-1820.26] 通膠的
[1820.52-1822.06] 樹管壓出設備
[1822.58-1824.62] 那其實這三個新的
[1824.88-1826.42] 就是高新樹
[1826.66-1828.46] 細菌還有珠網
[1828.98-1830.50] 這個都是朝向
[1830.76-1831.54] 便宜
[1831.78-1832.56] 勾芯
[1834.34-1835.38] 堪用而已
[1835.62-1836.66] 大概是這樣的方向
[1837.16-1837.94] 但是
[1838.18-1839.22] 看起來
[1839.52-1840.80] 這個
[1841.06-1842.34] 這個就變成
[1844.38-1845.66] 應該是說新一代
[1845.92-1846.68] 新一代
[1847.20-1848.98] 就要跟著開發
[1849.76-1854.10] 那設備也是一樣設備三十幾年沒有更新
[1854.36-1855.90] 這一次也
[1856.16-1857.94] 跟著電力
[1858.20-1859.48] 電力電纜的更新
[1859.74-1861.78] 也準備把它更新
[1862.04-1865.62] 光纖的合業製造現在有1700萬
[1865.88-1868.70] 累積的還有1.32億
[1869.52-1872.58] 以前整體來講一年應該要做到1.3億
[1874.64-1874.90] 所以
[1875.14-1875.92] 其實他現在
[1876.68-1878.48] 其實只要把這個理業完
[1878.74-1879.24] 今年就
[1880.26-1880.78] 很好做
[1881.04-1881.54] 但是這個
[1881.80-1882.58] 1.3億
[1882.82-1883.86] 2億他可能
[1884.10-1884.62] 沒有辦法
[1885.38-1886.16] 把你理業完
[1886.92-1887.94] 他應該是有
[1888.72-1889.48] 但是他現在
[1891.28-1892.56] 其他的配合
[1892.82-1893.84] 好像很慢
[1894.60-1896.14] 那個
[1897.68-1899.22] 因為我們電力電纜
[1899.52-1900.54] 光纖
[1900.80-1902.58] 其實都有外部的線路
[1903.36-1906.68] 外部的線路就是會經過私人的土地
[1906.94-1907.70] 私人的
[1909.76-1910.26] 地方
[1910.52-1912.06] 時常會被抗議
[1912.58-1913.60] 所以這個是
[1914.10-1915.90] 建設上面有時候
[1918.20-1919.22] 不是那麼順利
[1920.26-1922.56] 希望他會變好因為AI
[1922.82-1923.84] AI要來
[1924.34-1925.38] AI一來
[1925.88-1926.40] 這個
[1926.66-1928.70] 前後會變成你不認識的形式
[1929.26-1930.54] 那這個就是這個狀況
[1933.10-1934.90] 好那我們希望是這樣子
[1935.14-1935.66] 接下來
[1936.94-1938.74] 各類產品的組合
[1938.98-1940.26] 跟上次
[1940.52-1942.58] 上個是大概大紅小綠
[1942.82-1944.36] 其實是四分天下
[1944.88-1946.66] 紅大概佔20%
[1947.18-1948.98] 中壓佔20%
[1949.48-1951.02] 高壓佔20%
[1951.28-1952.56] 低壓佔20%
[1953.06-1954.34] 這邊是
[1954.60-1955.88] 下次再把他齊分
[1956.66-1957.42] 這個是
[1957.68-1959.22] 高壓跟
[1959.52-1960.02] 中壓
[1961.06-1961.82] 大概是這樣子
[1963.86-1964.38] 好
[1964.64-1965.40] 那
[1968.22-1969.24] 以上大概
[1969.76-1970.78] 報告到這邊
[1971.04-1972.82] 看看各位
[1973.34-1974.36] 來賓
[1974.62-1977.18] 有沒有什麼要提出來
[1977.94-1979.74] 澄清或是
[1980.00-1980.50] 看看
[1981.02-1981.54] 分享
[1981.78-1982.82] 分享意見
[1989.26-1989.78] 
[2019.26-2025.26] 只要空氣和海水順利 經過改善
[2025.26-2027.26] 以第一季這樣看
[2027.26-2031.26] 當然不會跟第一季一樣還是有情
[2031.26-2033.26] 但是我們現在看來
[2033.26-2035.26] 有保溫的服務
[2035.26-2037.26] 有保溫可以看
[2037.26-2038.26] 控制的服務
[2038.26-2044.26] 看起來今年是會比較好的
[2044.26-2046.26] 不是最好 最好
[2046.26-2048.26] 今年最好
[2048.26-2052.26] 今年就是希望
[2052.26-2056.26] 法案還有我們的支持
[2056.26-2058.26] 還有
[2058.26-2060.26] 謝謝
