[0.00-4.00] 我們在座我們有總經理我們紀先生在這邊
[1472.70-1475.70] 這個人數
[1475.70-1476.70] 就主要這個比例
[1476.70-1479.70] 我們大概應當是這樣的一個culture
[1479.70-1482.70] 因為我們公司其實就是比較注重在
[1482.70-1484.70] 在所謂的Demand Creation這邊
[1484.70-1485.70] 你看我們的營業額
[1485.70-1488.70] 當然最近AMD的生意上來
[1488.70-1491.70] 所以你可以看到我們這種就是
[1491.70-1493.70] 我們講就是non-fulfillment生意的比例
[1493.70-1496.70] 可能會從75%到80%
[1496.70-1497.70] 可能會掉到差不多
[1497.70-1501.70] 現在大概65到70
[1501.70-1502.70] 但是60到70
[1502.70-1505.70] 我整個一年3個billion的一個生意
[1505.70-1506.70] 假設
[1506.70-1508.70] 所以這是很大塊的一塊生意
[1508.70-1513.70] 這個基本上都是需要技術人員來配合業務
[1513.70-1514.70] 這樣才能夠
[1514.70-1518.70] 去couple到這個Demand
[1518.70-1521.70] 才能夠generate到這個生意
[1521.70-1523.70] 所以我們FAE的部分
[1523.70-1525.70] 我們該加的我們都基本上
[1525.70-1529.70] 其實我們都會很convene在這方面的投資
[1529.70-1531.70] 尤其某些產品線
[1531.70-1534.70] 像Zenith或是我們的Lattice
[1534.70-1536.70] 像這種CPOD這種
[1536.70-1538.70] 我們甚至也都是1比1的
[1538.70-1541.70] 甚至一個Sales我們是一個FAE的
[1541.70-1543.70] 所以我們這個比重其實是蠻高的
[1544.70-1546.70] 我們會看你們公司
[1546.70-1547.70] 就是像你們這類型公司
[1547.70-1549.70] 我去看你們FAE的配置
[1549.70-1552.70] 然後到年底你們怎麼去計畫
[1552.70-1555.70] 就像我們說我們在看世新這種IP公司
[1555.70-1557.70] 我們去注意它的RTE的人數
[1557.70-1558.70] 它的成長性
[1558.70-1562.70] 所以是由這個來去推斷你們的營運的方向
[1562.70-1565.70] 就說譬如說我們現在以Infineon來看
[1565.70-1566.70] 現在大家在談AI
[1566.70-1568.70] 其實AI Power這一塊
[1568.70-1570.70] 就是很大的一塊市場
[1570.70-1572.70] 那Infineon這個公司
[1572.70-1573.70] 其實在Power上面
[1573.70-1575.70] 其實我認為它是最厲害的公司
[1575.70-1578.70] 那而且這一次
[1578.70-1580.70] 你看它在Compliance上面
[1580.70-1583.70] 其實他們在AI上面所提供出來的Solution
[1583.70-1586.70] 就是幾百
[1586.70-1589.70] 800什麼的
[1589.70-1592.70] 然後那個整個KW到一兩百
[1592.70-1594.70] 或者是一兩百K的那一種
[1594.70-1597.70] 反正基本上大概大的Power
[1597.70-1598.70] 它的Solution都有
[1598.70-1600.70] 那在這一塊來講很明顯
[1600.70-1601.70] 我們就覺得基本上
[1601.70-1602.70] 這個基本上
[1602.70-1605.70] 我們這個Infineon絕對是在未來這幾年
[1605.70-1608.70] 你只要AI這個Trend再俯銹的話
[1608.70-1610.70] 那這一塊絕對是我們生意上面
[1610.70-1612.70] 很明顯我們可以看得出來
[1612.70-1613.70] 那這一方面我們FAC上面
[1613.70-1616.70] 我們就一定會做比較積極的規劃
[1616.70-1617.70] 那一樣
[1617.70-1619.70] 就是說我剛剛講的Ladies
[1619.70-1622.70] 或者是甚至於AMD在Ladies這一方面
[1622.70-1623.70] 你需要Engineer的
[1623.70-1626.70] 只要基本上市場上比較正面的
[1626.70-1628.70] 或者是我們有看到有機會的
[1628.70-1631.70] 那我們勢必在FAC人數上面的增加
[1631.70-1634.70] 我們是絕對會同比力加增加的
[1634.70-1637.70] 這個其實是我們公司最
[1637.70-1639.70] 我們從上市以來到現在
[1639.70-1643.70] 其實我們公司在這個通路商裡面
[1643.70-1644.70] 其實我們一直覺得
[1644.70-1646.70] 我們就是在這一點
[1646.70-1648.70] 有這個差異性跟其他差異
[1648.70-1650.70] 那個代理商的差異性
[1650.70-1653.70] 主要就是在這個技術上面
[1653.70-1656.70] 我們的投資算是比較特別的
[1661.70-1662.70] 感謝各位參與
[1662.70-1663.78] 謝謝
[1691.70-1692.70] 這個好問
[1692.70-1696.70] 未來怎麼看中國市場 經營的發展
[1696.70-1703.70] 大陸其實主要就是 葉剛提到CPU的部分
[1703.70-1707.70] CPU的部分其實 當AOD的CPU在美國跟歐洲市場
[1707.70-1710.70] 它的份額已經大概在45%的時候
[1710.70-1714.70] 其實在去年的時候 在大陸其實它的份額都是比較多的
[1714.70-1718.70] 今年就是整個大陸這一邊 因為產品這樣整個落上來
[1718.70-1720.70] 所以我們大陸第一位就是說
[1720.70-1725.70] 我們在AMD的CPU這一邊 我們是一個很大幅度的產業
[1725.70-1728.70] 然後第二位就是說車用
[1728.70-1734.70] 車用 今年車用大家看起來 如果以數量來講其實差不多
[1734.70-1738.70] 但是大陸其實大陸的車子其實還是不錯
[1738.70-1743.70] 大陸的車子其實它的數量 其實都還是有在增長
[1743.70-1747.70] 那我們這一塊也是因為 我們有做了INFRAIDING跟MSP
[1747.70-1748.70] 然後我們有做了INFRAIDING跟MSP
[1748.70-1752.70] 我們這兩條產品線其實在大陸EV的這一塊市場上
[1752.70-1756.70] 其實這個我們成長也是非常的顯著
[1756.70-1760.70] 這是第二塊 然後第三塊就是在新能源的部分
[1760.70-1763.70] 新能源的部分其實跟車子都有關係
[1763.70-1764.70] 新能源的部分意思就是說
[1764.70-1768.70] 你任何由這個油要轉電的東西
[1768.70-1770.70] 我們都把它叫做新能源
[1770.70-1773.70] 所以你看這個大陸這個充電樁
[1773.70-1776.70] 或者是我們叫做ESS叫做什麼
[1776.70-1777.70] 叫做Energy的東西
[1777.70-1779.70] Energy的Storage System
[1779.70-1781.70] 就是儲能的這種設備
[1781.70-1788.70] 儲能裝置 然後這種在車子裡面的這種電池的管理系統
[1788.70-1792.70] 像類似這種東西基本上我們在
[1792.70-1794.70] 我們也是因為有一個火車頭
[1794.70-1796.70] INFRAIDING這個火車頭直接帶著
[1796.70-1800.70] 所以我們在這一塊其實也是有一個不錯的成長
[1800.70-1803.70] 所以overall來看我們在大陸這一塊
[1803.70-1805.70] 為什麼我們在去年 其實我們去年
[1805.70-1808.70] 台灣跟大陸差不多差不多吧
[1808.70-1812.70] 那你從今年一月到四月很明顯大陸這邊的比例是上來
[1812.70-1814.70] 但是我們台灣事實上也是
[1814.70-1816.70] 不是台灣下去大陸上來
[1816.70-1817.70] 我們台灣也上來
[1817.70-1821.70] 大陸上來的幅度更快了
[1821.70-1823.70] 大概是這個原因
[1823.70-1833.70] 總編導請教AND現在在我們A公司上的比例是怎麼樣呢
[1835.70-1838.70] 比重大概是怎麼樣
[1838.70-1841.70] 一個區間
[1841.70-1842.70] 這可以講
[1842.70-1845.70] 就是三層plus
[1845.70-1849.70] 那金銀對這個客戶的看法
[1849.70-1851.70] 我覺得
[1851.70-1856.70] 我覺得就這個公司
[1856.70-1858.70] 這個供應商來講
[1858.70-1861.70] 我覺得他的公司我看法是非常非常正面
[1861.70-1864.70] 因為他所有技術各方面
[1864.70-1865.70] 而且現在客戶的顧問
[1865.70-1866.70] 客戶的接受度
[1866.70-1867.70] 我剛剛講了
[1867.70-1868.70] 你從PC到12樓
[1868.70-1870.70] 現在都是MI這一段這一塊
[1870.70-1873.70] 其他部分事實上現在客戶的接受度都非常非常大
[1873.70-1878.70] 然後當然我們也是運氣也不錯
[1878.70-1880.70] 因為另一家公司
[1880.70-1882.70] 他可能比較慢一點
[1882.70-1885.70] 所以讓我們有這樣的一個機會
[1885.70-1887.70] 那也是成功的
[1887.70-1890.70] 在過去的這一年多的時間
[1890.70-1894.70] 整個就是這個機會有打獲住
[1894.70-1899.70] 所以我是非常正面看
[1899.70-1901.70] 但我們主要的成長也是
[1901.70-1905.70] 你看我們公司主要的前五大前六大主要產品線
[1905.70-1907.70] 其實我們今年看起來
[1907.70-1911.70] 應當都會成長
[1911.70-1915.70] 以現在這個時間點來看
[1915.70-1916.70] 那下半年
[1916.70-1919.70] 下半年當然就是有一些變數
[1919.70-1921.70] 一些變數
[1924.70-1930.70] 你應該再請教
[1930.70-1932.70] 關於power這一塊
[1932.70-1935.70] 單純這一塊現在占什麼 forms作用是怎麼樣
[1935.70-1937.70] 那AI powers這個部分上來
[1937.70-1940.70] 你你覺得在這邊的成長性
[1940.70-1941.70] 這兩三年會怎麼樣變化
[1941.70-1943.70] 就你的這個公司
[1943.70-1946.70] 其實我的AI powers
[1946.70-1950.70] 當然有台灣AI power的部分
[1950.70-1951.70] 把那個LIVE
[1951.70-1953.70] 這個光寶跟這個
[1953.70-1954.70] 太大力HAM
[1954.70-1956.94] 他主要 其他也是有請求要再做
[1956.94-1958.46] 但是其實AI Power
[1958.46-1961.00] 其實大陸很多公司都可以做的
[1961.00-1963.44] 所以這一塊其實AI Power
[1963.44-1964.74] 我們在大陸這一塊
[1964.74-1967.94] 也是我們現在很focus的一個地方
[1967.94-1970.44] 那你說這個AI Power
[1970.44-1973.96] 到底我們會大概抓多少
[1973.96-1975.66] 這個對不起
[1975.66-1976.96] 現在沒有辦法給你這個數字
[1976.96-1979.70] 不過這個絕對是我們focus的一塊
[1979.70-1981.76] 所以我們這個很關
[1981.76-1983.16] 而且大陸的車
[1983.16-1985.76] 現在雖然AI的部分被禁了
[1985.76-1987.80] 事實上大陸現在很多公司
[1987.80-1989.60] 就是很多這種
[1989.60-1992.50] 就是在C4上面這種開發的公司
[1992.50-1994.30] 都越來越多
[1994.30-1995.36] 不是以前我們知道的
[1995.36-1997.46] 就是浪潮那幾家而已
[1997.46-1998.76] 現在這種C4的公司
[1998.76-2001.16] 其實很明顯的都有在走
[2001.16-2003.22] 那這一塊都是我們在
[2003.22-2005.06] 基於在想要有生意
[2005.06-2005.66] 要建立的話
[2005.66-2009.96] 已經有一個生意上面的一些節奏
[2013.16-2020.32] 是
[2020.32-2022.00] 我複習的一個問題
[2022.00-2023.92] 為什麼東南亞地區
[2023.92-2025.00] 公司基本的規劃
[2025.00-2027.32] 大概是怎麼樣的一個走向
[2027.32-2027.40] 對不起 activation
[2027.40-2029.02] 我們東南亞
[2029.02-2029.76] �
[2029.76-2030.56] 想要瞭解一下
[2030.56-2032.32] 地區基本的規劃的走向
[2032.32-2033.70] 大概會怎麼樣
[2033.70-2035.50] 會有它的成長的運氣
[2035.50-2037.06] 大麽是
[2037.06-2039.12] 會有一個什麽樣的事情看мотр
[2039.12-2041.06] 就糊塗這個
[2041.06-2042.42] 其實東南亞
[2042.42-2043.16] 我們這個公 legen
[2043.16-2050.02] 從2000年到現在其實我們已經成立滿久的
[2050.02-2055.04] 你會看到我們事實上是衰退的
[2055.04-2061.24] 從23年以後24年
[2061.24-2064.12] 24年其實是一個滿大的衰退
[2064.12-2066.12] 因為東南亞那邊那個市場
[2066.12-2071.48] 其實應該是百分之七十八十主要都是EMS為主
[2071.48-2074.48] 都是代工型 無營用的這種代工廠
[2074.48-2075.98] 那其實你自己要去補業
[2075.98-2079.92] 我們在講的就是Mass market這個部分其實是比較少的
[2079.92-2082.52] 所以你會看到我們東南亞這一邊
[2082.52-2085.52] 其實它的一個營業是在下降
[2085.52-2089.66] 所以這一塊其實是跟這個市場的景氣是有關係
[2089.66-2092.86] 那當然這一塊其實我們會慢慢會變
[2092.86-2094.92] 我們現在 因為我們也是20年
[2094.92-2095.96] 但這一塊對我們來講
[2095.96-2096.06] 其實是有一點關係的
[2096.06-2096.10] 所以這一塊其實是跟這個市場的景氣是有一點關係
[2096.10-2097.34] 其實是蠻重要的
[2097.34-2099.54] 因為現在整個因為關稅的問題
[2099.54-2100.84] 其實在過去幾年
[2100.84-2103.34] 其實工廠就早就移到那邊去了
[2103.34-2108.64] 只是說現在我們台商在那一邊生產的這一些
[2108.64-2112.14] 他們需要的東西大部分都是在台灣下訂單
[2112.14-2113.80] 我們都是直接出到這一邊
[2113.80-2121.20] 然後並不是說local那一邊直接在接訂單
[2121.20-2124.60] 所以看到那個營業事實上還是在台灣發生
[2124.60-2126.04] 但是未來事實上這個慢慢
[2126.04-2130.24] 慢慢的整個那一邊如果變成利潤中心或什麼樣
[2130.24-2131.54] 台商在那一邊以後
[2131.54-2135.20] 那這一塊我已經有一個一定的一個team在那裡
[2135.20-2138.50] 那這一塊我要去銜接就非常的容易
[2138.50-2142.10] 所以我們現在在越南 在泰國 在馬來西亞
[2142.10-2145.28] 這三個地方其實我們人數都一直在增加
[2145.28-2150.20] 我們一直都在做準備
[2150.20-2152.88] 那印度的部分我們相對是比較保守
[2152.88-2155.88] 印度的利潤
[2156.04-2159.34] 總之你聽說泰國跟馬來西亞
[2159.34-2164.04] 這三個國家目前在哪個區域的利潤可能比較高一點
[2164.04-2167.04] 這三個地區怎麼樣
[2167.04-2169.04] 公司的營收是在哪邊
[2169.04-2172.24] 營收 營收越南才剛開始
[2172.24-2174.04] 主要馬來西亞最多
[2174.04-2176.04] 然後馬來西亞新加坡最多
[2176.04-2179.04] 然後泰國再來是越南
[2179.04-2181.04] 你看我們營業其實也不是很大
[2181.04-2182.04] 不是很大
[2182.04-2185.84] 但是我們現在就我講的慢慢的我們那個地方
[2186.04-2189.04] 我們會隨著這個整個的一個趨勢
[2189.04-2190.04] 這個趨勢
[2190.04-2192.04] 那我們會慢慢那個地方
[2192.04-2196.04] 我認為這一兩年未來一兩年我們應該會比較下降
[2200.04-2201.04] 這邊我補充一下
[2201.04-2203.04] 我們總經理剛才的意思是說
[2203.04-2205.04] 台商BASE的客戶
[2205.04-2207.04] 因為它原本從中國生產
[2207.04-2209.04] 它現在變成是跑到東海亞
[2209.04-2211.04] 譬如到越南到泰國到馬來西亞去
[2211.04-2214.04] 但是因為台商它的採購水還放在台北這一邊
[2214.04-2215.04] 所以它的B林還在台北這邊
[2216.04-2218.04] 所以它還是會回到我台灣這一塊的營業
[2218.04-2221.04] 所以會屬於在台灣中間這一步
[2221.04-2223.04] 那你剛才總經理我們剛才的總經理提到
[2223.04-2226.04] 如果當地的市場是EMS那一種
[2226.04-2228.04] 那有機會就是我新加坡的同志
[2228.04-2230.04] 他們可以Get到它的Share是這樣嗎
[2230.04-2232.04] 那如果是台商BASE的客戶
[2232.04-2233.04] 大概就是還是回到台灣
[2233.04-2234.04] 它的B林還是抗的台灣
[2234.04-2237.04] 因為採購權還是在台灣這邊做決定
[2237.04-2240.04] 我這邊還是由我這邊做出貨的動作是這樣嗎
[2240.04-2242.04] 所以不管是以前是在中國
[2242.04-2246.04] 還是現在它跑到那個東海亞這一邊
[2246.04-2248.04] 甚至你又到墨西哥去
[2248.04-2249.04] 台商如果到墨西哥去
[2249.04-2251.04] 它採購權還是在台灣這邊做決定
[2251.04-2253.04] 我的B林還是在台灣要做回收
[2253.04-2255.04] 所以我就跟著它到哪裡
[2255.04-2257.04] 我的物流可以交得到
[2257.04-2260.04] 那這個B林都還是有到台灣這邊
[2260.04-2263.04] 我也可以在新加坡收貨
[2263.04-2264.04] 我也可以在新加坡
[2264.04-2266.04] 如果我的原廠同意說
[2266.04-2267.04] 這個是台商的貨
[2267.04-2269.04] 然後它因為出到了新加坡
[2269.04-2271.04] 我的Walehouse
[2271.04-2273.04] 我也可以從新加坡那邊收貨
[2273.04-2276.04] 然後我直接出到台商在
[2276.04-2278.04] 東海亞這邊的工廠
[2278.04-2280.04] 一樣的道理像現在在墨西哥
[2280.04-2281.04] 我們在El Paso
[2281.04-2282.04] 我們現在有建立一個物流中心
[2282.04-2283.04] 意思是一樣
[2283.04-2285.04] 因為台灣現在慢慢很多車火廠
[2285.04-2287.04] 很多這種車廠
[2287.04-2289.04] 做車用的東西
[2289.04-2292.04] 慢慢都在墨西哥看起來越來越多
[2292.04-2294.04] 所以我們在那邊也需要一個物流的
[2294.04-2295.04] 但這個東西基本上
[2295.04-2297.04] 我們會配合我們的供應商
[2297.04-2299.04] 那麼直接把貨出到那裡
[2299.04-2301.04] 我們從那一邊配合我們的物流
[2301.04-2304.04] 在那邊直接就發貨給我們的客人
[2304.04-2305.04] 那你是不是很想要
[2306.04-2307.04] 這個比例在台
[2307.04-2310.04] 那你比例大概是多大
[2310.04-2311.04] 台灣
[2311.04-2314.04] 就是這些台商的比例
[2314.04-2316.04] 你說台灣現在跟非台灣的生意
[2316.04-2317.04] 我們剛剛有提到
[2317.04-2321.04] 大概現在是40對60左右吧
[2321.04-2323.04] 就是台灣是40幾
[2323.04-2324.04] 對對對
[2324.04-2325.04] 當然在台灣這個
[2325.04-2327.04] 因為他們並在台北
[2327.04-2331.04] 所以那這樣這些台商
[2331.04-2334.04] 在台北下的比重高嗎
[2334.04-2335.04] 幾乎吧
[2335.04-2336.04] 幾乎
[2336.04-2338.04] 現在都在這邊下
[2338.04-2341.04] 95%以上
[2352.04-2354.04] 那總理也有個問題
[2354.04-2355.04] 我剛才有一個小問題
[2355.04-2357.04] 就是你們有一個業務說代理技嘉
[2357.04-2361.04] 代理技嘉的自由品牌式武器那一塊
[2361.04-2362.04] 不是
[2362.04-2363.04] 技嘉的主板
[2363.04-2364.04] 主板
[2364.04-2365.04] 主板
[2365.04-2367.04] 主要現在也是配合AMD的策略
[2367.04-2368.04] 就基本上它
[2368.04-2373.04] 因為我們現在是主要有三大總代
[2373.04-2374.04] 我們是其中一個
[2374.04-2376.04] 那我們現在是最大的
[2376.04-2377.04] 那基本上總代
[2377.04-2379.04] 基本上當然是希望能夠
[2379.04-2383.04] 總代能夠有主板可以來配合
[2383.04-2386.04] 所以基本上在這樣的一個策略底下
[2386.04-2389.04] 所以我們就去跟技嘉
[2389.04-2392.04] 就有這樣的一個合作
[2392.04-2393.04] 所以我們就談了
[2393.04-2394.04] 就這樣了
[2395.04-2397.04] 就變成一個A加A的一個bundle的
[2397.04-2399.04] 這樣的一個銷售策略
[2399.04-2401.04] 這塊的確是
[2401.04-2403.04] 這個絕對是互利就對了
[2403.04-2405.04] 這樣子等於
[2405.04-2407.04] 原來在大陸銷售的客戶
[2407.04-2409.04] 本來只有賣IC
[2409.04-2410.04] 現在變成個板子給他
[2410.04-2411.04] 方案都給他
[2411.04-2412.04] 我板子都可以
[2412.04-2413.04] 所以基本上
[2413.04-2415.04] 基本上對技嘉對我們來講
[2415.04-2417.04] 其實我們以前的所有的課員
[2417.04-2418.04] 我們可以
[2418.04-2420.04] 就是1加1嘛對不對
[2420.04-2422.04] 所以基本上我們的課員會變得比較大
[2422.04-2423.04] 所以對技嘉
[2423.04-2425.04] 他可以
[2425.04-2426.04] 板子可以賣到以前
[2426.04-2427.04] 我CPU在賣的客人
[2427.04-2429.04] 那我的CPU也可以賣到
[2429.04-2432.04] 技嘉他們在賣主板的客人上
[2432.04-2435.04] 所以這個策略其實是非常不錯
[2435.04-2436.04] 而且我們
[2436.04-2439.04] 我們這邊用這個聲音越來越好
[2439.04-2441.04] 所以也是PC市場
[2441.04-2442.04] 主要就是主板
[2442.04-2443.04] 中國的PC
[2443.04-2445.04] 對中國的主板
[2445.04-2447.04] 這個我們跟技嘉只是主板
[2447.04-2448.04] 只是主板
[2448.04-2449.04] 對
[2453.04-2456.04] 像General Server
[2456.04-2459.04] 可能也在我們電腦運算這一塊
[2459.04-2461.04] 差不多有三成
[2461.04-2463.04] 因為剛剛的七成是PC
[2463.04-2464.04] 三成
[2464.04-2466.04] 那我們一般聽到一些上半年
[2466.04-2467.04] 他們可能有就提前拉回
[2467.04-2471.04] 你們怎麼看General Server下半年的成長
[2471.04-2476.04] 下半年我覺得不只是General Server
[2476.04-2477.04] General Worker的Server
[2477.04-2478.04] 我覺得所有的東西
[2478.04-2481.04] 我感覺很像都差不多了
[2481.04-2482.04] 就是
[2482.04-2484.04] 因為現在
[2484.04-2486.04] 現在就是這個的確嘛
[2486.04-2488.04] 這個
[2488.04-2490.04] 這個關稅的問題
[2490.04-2492.04] 你說現在所有的客人
[2492.04-2494.04] 我想你們在座這邊
[2494.04-2496.04] 你們大概也都跟很多客人
[2496.04-2498.04] 你們的客戶或是供應
[2498.04-2499.04] 大家都談過
[2499.04-2501.04] 我想大家的感覺都是一樣
[2501.04-2502.04] 而且這個我覺得這個
[2502.04-2503.04] 你說九十天
[2503.04-2505.04] 然後這個九十天以後
[2505.04-2508.04] 是不是就馬上會有所決定
[2508.04-2509.04] 我覺得很大的問號
[2509.04-2511.04] 那現在一個國家一個國家在談
[2511.04-2512.04] 對不對
[2512.04-2514.04] 他會不會做出一個
[2514.04-2516.04] 就是一個
[2516.04-2518.04] 一個決定就每個人都這樣
[2518.04-2519.04] 我覺得這個滿的
[2519.04-2522.04] 所以你這時間拖越久是代表什麼意思
[2522.04-2523.04] 這時間拖越久
[2523.04-2526.04] 我是覺得代表這個不確定性是會拉長
[2526.04-2527.04] 是會拉長
[2527.04-2529.04] 所以你說現在
[2529.04-2533.04] 你說對這個未來的市場怎麼看
[2533.04-2534.04] 我覺得大概
[2534.04-2536.04] 我是覺得大家的看法應該會差不多
[2536.04-2539.04] 像我自己當然我也覺得是
[2539.04-2540.04] 審慎保守
[2540.04-2542.04] 那但是如果你要
[2542.04-2544.04] 我公司目前的狀況來講
[2544.04-2546.04] 我自己會覺得我們公司是
[2546.04-2548.04] 我會比較審慎的管
[2548.04-2552.04] 那因為後半年有些東西不是很坐在我們的手上
[2552.04-2556.04] 你這個你這個你這個關稅如果一上來
[2556.04-2560.04] 你整個你影響到影響到這個最後的市場的底面
[2560.04-2561.04] 你回過頭
[2561.04-2562.04] 你就是沒有底面
[2562.04-2564.04] 我們通路上就沒有音樂人
[2564.04-2565.04] 就一定是這樣
[2565.04-2567.04] 所以我們一定要市場
[2567.04-2569.04] 市場基本上這個市場要好
[2569.04-2571.04] 這是一個大前提
[2571.04-2572.04] 那市場不好
[2572.04-2573.04] 如果我有對的產品
[2573.04-2575.04] 那當然我還有機會
[2575.04-2576.04] 那你如果市場不好
[2576.04-2578.04] 又沒有對的產品
[2578.04-2581.04] 那當然就可能情況會比較
[2581.04-2583.04] 比較糟糕
[2583.04-2585.04] 所以我還是覺得
[2585.04-2588.04] 因為今年歐洲市場就是不好
[2588.04-2589.04] 歐洲很不好
[2589.04-2591.04] 然後美國也不好
[2591.04-2594.04] 所以今年看來看去就是大陸一定要好
[2594.04-2597.04] 那大陸大家現在看法都很不好
[2597.04-2600.04] 但事實上可能很像也沒那麼不好
[2600.04-2603.04] 我們這邊的感覺很像也沒那麼不好
[2603.04-2605.04] 那一直有很多新的東西
[2605.04-2606.04] 一直在列布裡面
[2606.04-2608.04] 一直有在漫
[2608.04-2611.04] 那所以這個都是我們覺得
[2611.04-2618.04] 很多東西也不是很清楚可以看得到說怎麼樣
[2618.04-2621.04] 我剛剛這個我想大家選一下
[2621.04-2625.04] 這是大概最起碼我自己的看法是這樣
[2630.04-2631.04] 你跟我們講的那個
[2631.04-2632.04] D加的AMD雙平台
[2632.04-2635.04] 所以就不會賣如intel的主板
[2635.04-2636.04] 那跟我們沒有關係
[2636.04-2639.04] 我們一定是A的AMD的主板
[2639.04-2641.04] 所以主板就是限定的AMD
[2641.04-2642.04] OK
[2642.04-2643.04] 那可以
[2643.04-2645.04] 不是
[2645.04-2646.04] D加有兩種
[2646.04-2647.04] 還有A版
[2647.04-2648.04] 對啊
[2648.04-2649.04] A版就是都是主軌
[2649.04-2650.04] 就是A版
[2650.04-2651.04] 對
[2651.04-2652.04] OK 要聽
[2652.04-2653.04] 總理主席
[2653.04-2656.04] 我們前4月營收外賣是41%
[2656.04-2658.04] 所以你剛剛說我們今年比較樂觀
[2658.04-2659.04] 所以今年
[2659.04-2660.04] 可能可能在
[2660.04-2663.04] 30%到40%這樣子歪歪的
[2663.04-2664.04] WDG應當有啦
[2664.04-2667.04] 其他我這個
[2667.04-2670.04] 現在講的可能還太
[2670.04-2671.04] 太難看
[2671.04-2673.04] 不能太過於樂觀
[2673.04-2675.04] 如果你上下賣臉成果
[2675.04-2676.04] 就是你copy過來
[2676.04-2678.04] 沒有什麼變數啊
[2678.04-2679.04] 對不對
[2679.04-2681.04] 沒什麼變數
[2681.04-2682.04] 所以我在
[2682.04-2684.04] 我們先確認一下你的樂觀的數字是
[2684.04-2686.04] 20以上還是30以上
[2686.04-2688.04] 叫做樂觀
[2688.04-2689.04] 幾度樂觀
[2689.04-2690.04] 然後
[2690.04-2693.04] 我就是就是省慎樂觀
[2693.04-2694.04] 是
[2694.04-2695.04] 省慎樂觀
[2695.04-2697.04] 那就是可能15到20度
[2697.04-2700.04] 你如果說用美金做表達
[2700.04-2702.04] 當然會相對樂觀
[2702.04-2703.04] 對
[2703.04-2706.04] 你現在有一個匯率的因素在那邊
[2706.04-2707.04] 你匯率會吃掉
[2707.04-2708.04] 吃掉營收的
[2708.04-2710.04] 整個讓我們就抓個8% 10%的
[2710.04-2711.04] 會變成這樣子
[2711.04-2714.04] 所以基本上這一塊來講
[2714.04-2716.04] 總理他說他就會只省慎樂觀
[2716.04-2718.04] 給你在這一邊
[2718.04-2719.04] 你如果看
[2719.04-2721.04] 我能夠提這家公司
[2721.04-2722.04] 他說看美金的
[2722.04-2723.04] 美金的
[2723.04-2724.04] 美金的金額的表達
[2724.04-2725.04] 絕對是成長
[2725.04-2726.04] 對
[2726.04-2727.04] 對啊
[2727.04-2728.04] 他現在我剛才講我們從3
[2728.04-2729.04] 從3月底的33塊
[2729.04-2730.04] 現在已經變成是
[2730.04-2733.04] 升高29塊多了
[2733.04-2734.04] 應該這個很不容易
[2734.04-2736.04] 所以我們4月5月
[2736.04-2738.04] 這個單月的狀況怎麼樣
[2738.04-2739.04] 還可以
[2739.04-2741.04] 所以這一季我覺得還可以
[2741.04-2743.04] 但是下一季真的
[2743.04-2744.04] 我們現在有看到很多
[2744.04-2745.04] 我不能講來個
[2745.04-2747.04] 事實上我們有看到
[2747.04-2748.04] 事實上有些訂單是
[2748.04-2750.04] 真的是減少
[2750.04-2752.04] 或是他不下還是怎麼樣
[2752.04-2754.04] 那這個
[2754.04-2755.04] 這個
[2755.04-2757.04] 就是這種短訂單還是
[2757.04-2759.04] 還是滿多的
[2759.04-2760.04] 還是滿多的
[2760.04-2762.04] 所以感覺上大家對長期這個
[2762.04-2765.04] 這個的一個關稅的辦法
[2765.04-2767.04] 看法可能還是
[2767.04-2769.04] 還是保守一點吧
[2769.04-2772.04] 還是相對都比較保守
[2772.04-2774.04] 因為這個關稅
[2774.04-2775.04] 以前都0%
[2775.04-2776.04] 然後
[2776.04-2777.04] 一下子到30幾%
[2777.04-2779.04] 然後下來10%
[2779.04-2780.04] 然後大家就覺得很開心
[2780.04-2782.04] 我也覺得很奇怪
[2782.04-2783.04] 那現在10%
[2783.04-2785.04] 那到20%是不是大概
[2785.04-2786.04] 預期是30%
[2786.04-2787.04] 變成20%
[2787.04-2788.04] 大家還是很開心
[2788.04-2790.04] 但是10% 20%
[2790.04-2791.04] 這其實
[2791.04-2792.04] 哪一家公司
[2792.04-2794.04] 你有這種獲利能力
[2794.04-2795.04] 對不對
[2795.04-2797.04] 這個
[2797.04-2799.04] 這個已經
[2799.04-2800.04] 這個跑了
[2800.04-2801.04] 這一季跑完了以後
[2801.04-2802.04] 你看在美國
[2802.04-2803.04] 剛剛我們有一個數字
[2803.04-2805.04] 你像美國notebook來講
[2805.04-2806.04] 全世界notebook
[2806.04-2807.04] 美國世界notebook
[2807.04-2808.04] 市場都佔了3%
[2808.04-2810.04] 然後它大概要
[2810.04-2812.04] 關稅就是10%
[2812.04-2814.04] 那是個粉碎一台電腦
[2814.04-2815.04] 不是很可疑的
[2815.04-2819.04] 所以這個到底它的一個
[2819.04-2821.04] 整個市場的反應怎麼樣
[2821.04-2822.04] 這可能
[2822.04-2825.04] 在一些時間大概就可以
[2825.04-2826.04] 觀察得出來
[2826.04-2828.04] 請問一下總理
[2828.04-2830.04] 這90天的一個戰爬期間
[2830.04-2832.04] 是有你現在比較感受到說
[2832.04-2834.04] 這個重要客戶比較強勢的
[2834.04-2836.04] 麻煩的地方嗎
