[0.00-6.00] 大家好,智盛的功力,由我這邊開始
[1550.52-1553.60] 因为Offset上他会开始思考说
[1553.60-1555.90] 我如何用我Offset的
[1555.90-1556.92] 技术能力
[1556.92-1559.48] 跟对于设备的管理能力
[1559.48-1561.28] 让我的能力提升
[1561.32-1564.90] 让他从提供时外包下来的订单
[1564.90-1565.92] 取得更高的获利
[1565.92-1566.96] 这是必然的
[1566.96-1571.04] 所以设备商一定会花时间去跟Offset上讨论
[1571.04-1572.58] 操作上的技术规格
[1572.58-1574.64] 如何提升良率
[1574.64-1576.94] 这也是
[1576.94-1579.50] 新的站点设备上的机会
[1579.50-1583.34] 当然就Offset上来说的话
[1583.34-1588.72] 既有的Triple Unwavered的CEO先选择
[1588.72-1591.02] 他如果可以对应到他
[1591.02-1593.06] 比较高的性价比或是
[1593.06-1594.86] 可以提升良率的技术的
[1594.86-1596.66] 提出的时候
[1596.66-1598.18] 我们在Offset上
[1598.18-1599.98] 再提更努力做
[1599.98-1601.00] 做尝试
[1601.00-1602.54] 更容易做尝试
[1602.54-1603.82] 所以我们在
[1603.82-1605.36] 2025年
[1605.36-1606.64] 开始有
[1606.64-1608.18] 新增一两个
[1608.18-1609.96] Sub-Zero站点
[1609.96-1611.76] 开始在
[1611.76-1612.52] 在琢磨
[1612.52-1613.80] 那他有期待
[1613.80-1615.86] 量度更大之后跟各位分享
[1615.86-1616.62] 这个量度状态
[1616.62-1617.90] 量度的状态
[1617.90-1618.92] 这是在
[1618.92-1620.20] 第一件事情就是
[1620.20-1620.98] 货装
[1621.02-1622.30] 在现场的变态
[1622.30-1623.06] 变化
[1623.06-1623.84] 那
[1623.84-1626.40] 我们看到Offset在做另外一件事情
[1626.40-1627.16] 他开始
[1627.16-1628.96] 琢磨Test
[1628.96-1630.74] Burlinger
[1630.74-1631.52] 目前
[1631.52-1632.28] 我看到
[1632.28-1633.82] 我们有个客户是
[1633.82-1635.36] 在扭力最高的Burlinger
[1635.36-1636.90] Burlinger的一个
[1636.90-1637.66] 客户
[1637.66-1639.70] 在新竹
[1639.70-1642.02] 但是现在有另外一家公司在
[1642.02-1643.80] 中南部
[1643.80-1645.86] 开始投这一块的技术
[1645.86-1648.42] 我们也是在超过两年前吧
[1648.42-1649.70] 也和他合作
[1649.70-1650.72] 在今年也开始
[1650.72-1651.74] 认证通货
[1651.74-1653.80] 我们也期待在Burlinger上的
[1653.80-1655.08] 可以跟着我们客户走
[1655.08-1657.88] 因为主要是我们客户能不能拿到这波订单
[1657.88-1659.16] 如果他能拿到
[1659.16-1663.78] 我们这个新的技术就可以应用到这一波新的Burlinger技术上面来
[1663.78-1665.06] 所以这点是我们
[1665.06-1666.60] 在期待主要是因为
[1666.60-1668.38] 我们去看了Burlinger的
[1668.38-1672.22] 整个一个Burlinger测试的技术他的
[1672.22-1673.50] 复合生成率
[1673.50-1674.28] 多到
[1674.28-1675.56] 将近9%
[1675.56-1678.62] 所以对我们来说是另外一个新增的一个成长动力
[1680.72-1685.08] 最后来有几个可以跟各位分享就是
[1685.08-1687.38] 布音奶积电在
[1687.38-1689.94] 2024年12月31号
[1689.94-1690.96] 一道计时
[1690.96-1693.26] 他们一道要求他的Supply Chain
[1693.26-1695.06] 必须面对他的
[1695.06-1696.60] 居永运力的问题
[1696.60-1698.12] 这一点很明确
[1698.12-1700.68] 他也提到2050年他要进行蛋白
[1700.68-1705.30] 包括我们另外一个几个大的客户他们都提到2050年进行蛋白
[1705.30-1706.84] 2030年要减50%
[1706.84-1707.86] 他的问题
[1707.86-1710.68] 所以至胜在从2024年跟着
[1710.72-1712.76] 我们的台积电的
[1712.76-1714.30] 永续供应链的脚步
[1714.30-1715.84] 我们现在在做一些
[1715.84-1717.38] 比较长远的过去
[1717.38-1720.20] 那我们在2024年已经完成了
[1720.20-1721.48] 基本的所有事情
[1721.48-1722.76] 包含
[1722.76-1723.78] 我们的碳排链
[1723.78-1725.32] 碳排杂内就做完了
[1725.32-1726.84] 我们现在要面对的是
[1726.84-1728.12] 在2025年
[1728.12-1728.90] 在
[1728.90-1731.72] 先进缝装设备的碳纸机要把这个认证
[1731.72-1734.28] 这点是我们跟我们的客户
[1734.28-1735.80] 告诉我们做这件事情
[1735.80-1737.86] 这件事有好处就是
[1737.86-1739.90] 他会提升我的附加价值
[1739.90-1740.68] 他也会提升
[1740.72-1742.26] 客户的附加价值
[1742.26-1744.30] 因为他的碳排链
[1744.30-1745.58] 那我给他的
[1745.58-1747.12] 我给他的一个
[1747.12-1748.66] 设备状态也知道
[1748.66-1750.96] 我就能比较明确知道我要减多少台
[1750.96-1752.76] 这点是我们在2025年
[1752.76-1753.78] 我们会做的事情
[1753.78-1755.06] 而且我们也跟
[1755.06-1757.36] 跟我们其中重要的客户也做了这个
[1757.36-1759.92] 这个宣示这样
[1759.92-1760.94] 我们从
[1760.94-1763.76] 我们的ESG跟永续发展商业看到一件事情
[1763.76-1766.32] 我们去年开始
[1766.32-1769.40] 有进入再生力量的领域
[1769.40-1770.68] 就是优息市场
[1770.72-1774.56] 因为现在很多的Field
[1774.56-1775.58] 很多的
[1775.58-1778.14] 空气滤网或是化学滤网
[1778.14-1779.16] 等等的
[1779.16-1779.94] 过滤
[1779.94-1782.24] 都是一次性用完就要丢
[1782.24-1784.54] 那我们也看到我们
[1784.54-1786.08] 我们最重要的客户
[1786.08-1788.12] 他去开发找
[1788.12-1789.92] 找合作partner去开发的
[1789.92-1790.94] 能
[1790.94-1792.74] 喜欢使用的一个Field
[1792.74-1794.78] 我们也进到了这个优息市场
[1794.78-1796.58] 所以我们现在也开始
[1796.58-1798.88] 跟目前市占率最高的一个
[1798.88-1800.42] FieldSasa合作
[1800.72-1803.02] 做我们开发主
[1803.02-1804.30] 在去年开始交
[1804.30-1805.32] 新的
[1805.32-1808.14] 协助他做利用再生的设备
[1808.14-1811.22] 保证用你的热的核心去做这个事情
[1811.22-1813.78] 那从今年开始交
[1813.78-1815.32] 开始大量交
[1815.32-1818.12] 所以我们也期待这件事情可以变成另外一个
[1818.12-1819.92] 成长力道
[1819.92-1820.68] 因为
[1820.68-1824.02] ESG跟永续发展的商机是一个
[1824.02-1825.04] 蛮
[1825.04-1826.58] 蛮明确要做的事情
[1826.58-1828.12] 只是很多的挂车
[1828.12-1830.68] 我们现在很幸运的是有
[1830.72-1832.00] 我们的客户跟
[1832.00-1834.04] 合作伙伴提拔手
[1834.04-1835.08] 那
[1835.08-1838.40] 那就是我刚才谈的办公室设备看重版成功目标
[1838.40-1840.96] 我们也开始对外做一个政治成功
[1840.96-1843.78] 我们也期待在今年可以
[1843.78-1845.06] 开始
[1845.06-1846.08] 开始进
[1846.08-1848.12] 实行SBTI的科学详细
[1848.12-1850.68] 然后在今年开始填地设CTP证
[1850.68-1853.76] 这是我们开始对自己的期待
[1853.76-1855.04] 然后有几个
[1855.04-1857.08] 展会的预告就是
[1857.08-1858.62] 我们在
[1858.62-1860.68] 24到26
[1860.72-1863.02] 有CPCA在上海
[1863.02-1864.04] 我现在讲这个
[1864.04-1866.36] 我们在CPCA会有展
[1866.36-1867.88] 那我们在
[1867.88-1869.68] 右上方
[1869.68-1872.50] 我们会在SENTAFENA也会有展
[1872.50-1873.78] 所以我们在
[1873.78-1875.82] 我们实在在第一季
[1875.82-1878.12] 有几个大的展览是
[1878.12-1879.40] 中国英特尼办展
[1879.40-1880.94] 中国的半导一展
[1880.94-1883.24] 还有一个5月份
[1883.24-1884.28] 我们会在
[1884.28-1886.84] 新加坡的是东南亚
[1886.84-1888.12] 我们都会出来
[1888.12-1890.16] 这点是要让我们的客户知道的
[1890.16-1893.48] 我们在进入半导体或AS转圈的一个
[1893.48-1894.76] 一个觉醒
[1894.76-1896.04] 以上分享
[1896.04-1897.08] 谢谢各位
