[0.00-29.98] 请不吝点赞 订阅 转发 打赏支持明镜与点点栏目
[30.00-32.62] 问题结束后也将开放现场提问
[1468.20-1473.44] 下一张是我现代卡APP的付款画面
[1473.44-1475.10] 和好康地图的画面
[1475.10-1477.34] 它跟新昂卡是一样的
[1477.34-1480.54] 不用下载APP就可以进行支付
[1480.54-1482.72] 看这个好康地图
[1482.72-1486.12] 其实它是为了方便
[1486.12-1489.72] 我们韩国现代卡和新昂卡的用户
[1489.72-1492.36] 查询台湾的商店资讯
[1492.36-1494.88] 进而为台湾的店家
[1494.88-1497.70] 带来额外的营收成长机会
[1497.70-1501.08] 第二是扩大支付据点
[1501.08-1505.24] 现在我们透过Outbound实现我们的策略
[1505.24-1511.58] 我们的目的不是要开通所有当地商店
[1511.58-1512.88] 都有Line Pay
[1512.88-1516.76] 而是以台湾旅客经常造访的
[1516.76-1518.84] 重点地区和商店为主
[1518.84-1521.10] 采取亲自开发
[1521.10-1523.76] 直接与商店签约的模式
[1523.76-1526.50] 现在我们的Outbound
[1526.50-1527.68] 是在韩国的商店
[1527.70-1528.74] 和韩国进行
[1528.74-1530.78] 那透过这种模式呢
[1530.78-1534.08] 我们不仅能为Line Pay的海外合作店家
[1534.08-1537.20] 提供一个能够直接面对台湾
[1537.20-1541.20] 甚至是其他海外用户的行销机会
[1541.20-1544.54] 还能自然地结合台湾的发卡行
[1544.54-1546.34] 针对海外消费
[1546.34-1549.12] 推出各种的行销活动
[1549.12-1551.80] 为用户提供多重的优惠
[1551.80-1556.38] 第三是扩展内容行销服务策略
[1556.38-1557.68] 我们的行销服务策略
[1557.70-1559.10] 我们用服务画面
[1559.10-1561.12] 我这边会用服务画面
[1561.12-1563.94] 再跟大家一个一个做说明
[1563.94-1566.50] 但我们的最终目的是
[1566.50-1569.26] 希望透过我们的邮函专区呢
[1569.26-1571.26] 提供丰富的旅游资讯
[1571.26-1573.16] 让我们台湾的用户
[1573.16-1577.18] 一站式就可以掌握到相关的资讯
[1577.18-1579.38] 那我们看一下第一个
[1579.38-1580.88] 限时邮会
[1580.88-1587.36] 这个功能是透过各种行销的活动呢
[1587.36-1587.68] 提供各种行销的活动
[1587.70-1588.04] 提供
[1588.04-1588.92] 等一下
[1588.92-1590.58] 对第一个
[1590.58-1596.16] 是透过各种行销活动提供多样的专属的优惠给用户
[1596.16-1599.00] 那第二个是行程灵感
[1599.00-1601.40] 就是为造访韩国的游客呢
[1601.40-1603.62] 提供一些行程的规划建议
[1603.62-1605.60] 再来是热门店家
[1605.60-1607.88] 我们将韩国合作的店家呢
[1607.88-1609.42] 推荐给台湾的用户
[1609.42-1611.50] 带动一些跨境的交易
[1611.50-1614.62] 最后一页是规划小帮手
[1614.62-1617.68] 我们会为用户提供多元的内容
[1617.70-1619.48] 包括汇率啊
[1619.48-1620.40] 天气啊
[1620.40-1621.32] 旅游保险
[1621.32-1625.14] 热门旅行商店和商品的预定等
[1625.14-1628.58] 同时我们也会推荐适合的保险
[1628.58-1632.52] 还有海外消费信用卡的一些资讯
[1632.52-1636.90] 方便用户呢参考聪明消费
[1636.90-1639.50] 综合这些能力呢
[1639.50-1644.46] LinePay让用户享受更丰富的旅游支付体验
[1644.46-1647.60] 也帮助商店吸引更多的客源
[1647.70-1651.48] 那对LinePay的金融合作伙伴而言呢
[1651.48-1656.72] 也可以透过这样的服务提升交易的频率和交易量
[1656.72-1658.40] 进一步扩大收益
[1658.40-1662.30] 所以透过串联全球支付
[1662.30-1665.52] 搭配多元行销应用场景呢
[1665.52-1668.04] LinePay扩展海外市场的策略
[1668.04-1672.24] 就是成功地创造了一个正向的循环
[1672.24-1674.94] 导造出用户商户
[1674.94-1676.74] 还有金融合作伙伴
[1676.74-1677.68] 三赢的成果
[1677.70-1679.60] 全球行销生态圈
[1679.60-1682.92] 最后在简报的尾声呢
[1682.92-1685.82] 也想跟大家分享一下LinePay的ESG计划
[1685.82-1689.22] 我们将逐步减少碳排放量
[1689.22-1694.38] 至6月2025年前实现碳排放近0的碳中和目标
[1694.38-1699.30] 同时我们也在积极推动多项企业社会责任活动
[1699.30-1701.04] 包括环保永续
[1701.04-1702.28] 慈善捐款
[1702.28-1704.06] 性别友善职场
[1704.06-1706.62] 那目前我们公司的女性员工
[1706.62-1708.58] 与女性高阶主管的比例
[1708.58-1710.24] 已经超过了50%
[1710.24-1712.82] 而且根据我们GRI
[1712.82-1717.18] 还有SASB等全球标准撰写永续报告书
[1717.18-1719.92] 持续推动企业营运的透明化
[1719.92-1721.96] 实现企业的社会责任
[1721.96-1724.58] 那今天的简报呢到此结束
[1724.58-1725.82] 谢谢大家的聆听
[1725.82-1726.54] 谢谢
[1726.54-1733.92] 感谢我们经营团队的分析与说明
[1733.92-1736.36] 接着是我们Q&A的时间
[1736.62-1739.32] 各位贵宾若对本公司有任何疑问
[1739.32-1740.32] 欢迎提出
[1740.32-1743.76] 我们的经营团队将会为您详细说明
[1743.76-1745.54] 若因时间限制
[1745.54-1748.14] 法说会中无法及时回复的问题
[1748.14-1751.48] 经营团队将于会后与各位另行交流
[1751.48-1756.30] 您可将填写完成的提问单交给现场工作人员
[1756.30-1759.56] Q&A将依序先回复提问单问题
[1759.56-1761.90] 提问单问题结束后
[1761.90-1763.60] 再开放现场提问
[1763.60-1765.70] 开放现场提问时
[1765.70-1766.58] 请回手时
[1766.62-1767.62] 请回手时
[1767.62-1769.34] 工作人员将递交麦克风
[1769.34-1770.64] 以利您发言
[1770.64-1772.72] 请各位贵宾提问前
[1772.72-1774.84] 先说明公司宝号及姓名
[1774.84-1777.92] 接下来我们将时间交由给Gloria
[1796.62-1800.84] 好 那我们现在开始进行Q&A
[1800.84-1804.04] 首先第一题
[1804.04-1809.64] 从新闻上看到贵公司已经提交了电子申请
[1809.64-1812.76] 请问如果通过之后
[1812.76-1817.02] 公司预计持哪一些领域的发力
[1817.02-1819.70] 策略上又会有什么样的改变
[1819.70-1821.72] 第一个问题
[1851.72-1855.82] 请贵宾提问
[1855.82-1859.40] 好 这一题是跟我们电子支付相关吗
[1859.40-1861.32] 希望负责人
[1861.32-1862.86] 我们的支付
[1862.86-1864.86] 再帮我们做一个回答
[1864.86-1866.32] 好 谢谢大家的询问
[1866.32-1870.52] 有关电子支付这个部分
[1870.52-1874.06] 大家可能从之前的报章 杂志也看到
[1874.06-1876.36] 我们已经有递交申请
[1876.36-1880.72] 当然目前主管机关正依照它的行政程序在审查中
[1880.72-1881.70] 好 这一题是跟我们电子支付相关吗 希望负责人我们的支付再帮我们做一个回答
[1881.72-1884.02] 我想刚刚的QA也有提到
[1884.02-1886.32] 说我们电子支付
[1886.32-1888.64] 假如主管机关能够许可的话
[1888.64-1891.44] 大概对我们未来的整个服务
[1891.44-1894.52] 还有经营面向会带来什么样的帮助
[1894.52-1897.34] 我想台湾电子支付的发展
[1897.34-1899.38] 我想应该也超过六七年了
[1899.38-1903.22] 我想各位贵宾应该也了解
[1903.22-1906.80] 台湾电子支付法令许可的项目有哪些功能
[1906.80-1908.34] 主要就是转账
[1908.34-1910.64] 还有成立钱包的话
[1910.64-1911.68] 有钱包可以出账的话
[1911.68-1913.22] 有图纸跟做交易
[1913.22-1918.34] 那当然还有一些境外的交易或境外的会对可以做
[1918.34-1924.48] 那程独刚刚我们几位副总刚刚的简报其实也讲得很清楚
[1924.48-1927.56] 那LightPay主要是在做平台的一个服务
[1927.56-1929.86] 生态圈的建构
[1929.86-1932.42] 那假如金管会能够许可
[1932.42-1935.24] 我们这张电子支付执照的话
[1935.24-1937.28] 我相信由我们自己
[1937.28-1941.64] 来把这个生态圈里面把这个钱包的功能
[1941.68-1944.76] 电子执照许可这些业务在做进来
[1944.76-1948.34] 我相信不管是在我们手续费的收入也好
[1948.34-1955.50] 或者是在如同刚刚简报所讲的行销产品的推广还有金融合作等等的这些收入
[1955.50-1958.06] 我想整个生态圈会更完整
[1958.06-1961.40] 相关的这些收入也都会有所帮助
[1961.40-1966.76] 那不过也跟各位报告这个主要还是要看主管最后审查的意见为主
[1966.76-1970.10] 那以上先这样跟各位做说明
[1971.68-1975.26] 好先翻译一下
[1975.26-1975.78] 好
[1975.78-1976.28] 一般说
[1976.28-1977.32] 一般说
[1977.32-1981.92] 一般说
[1981.92-1987.80] 一般说
[1987.80-1991.90] 一般说
[1991.90-1996.00] 一般说
[1996.00-1999.08] 一般说
[1999.08-2001.38] 一般说
[2061.38-2067.78] 促他是那种
[2071.62-2072.38] 的20
[2072.38-2077.76] 21
[2077.76-2088.22] FOR
[2088.22-2089.28] 主
[2089.28-2090.82] 通 nimmt
[2090.82-2091.34] Vladimir
[2091.34-2104.34] 在这个市场的变化中,公司会如何为投资者建立好价值?
[2104.34-2106.34] 请回答
[2106.34-2108.34] 我会回答这些问题
[2108.34-2113.34] 好,这个问题由我们的董事长丁正如先生来协助回答
[2113.34-2121.34] 我们对现时的市场不安定的部分,也很担心
[2121.34-2132.34] 但我们认为,我们可以在短期内给投资者提供平衡的收益和价值
[2132.34-2137.34] 最好的方法是通过增加价值,向投资者赔偿
[2137.34-2141.34] 但最近美国的政策变化,市场情况非常不确定
[2141.34-2143.34] 我们在这种情况下
[2143.34-2146.34] 我们希望能够通过进行内部的成长和专业的风险管理
[2146.34-2150.34] 来建立一个不碍事的企业价值
[2150.34-2154.34] 我们将尽力去提供投资者的信任
[2154.34-2158.34] 并继续检查各种方案,并继续执行
[2158.34-2162.34] 好,对于最近国际的政事不稳定的情况
[2162.34-2166.34] 我们公司也感到非常的担忧
[2166.34-2169.34] 但是呢,LiPay是一间拥有稳固的事业基础
[2169.34-2171.34] 并且在持续成长的公司
[2171.34-2173.34] 那董事长相信
[2173.34-2178.34] 我们可以在中长期内为投资人带来稳定的收益与价值
[2178.34-2181.34] 那当然对于投资人来说
[2181.34-2185.34] 最理想的回报方式当然是透过股价的上升
[2185.34-2187.34] 然后来回馈股东
[2187.34-2190.34] 但的确最近因为美国政策的变化影响呢
[2190.34-2194.34] 市场上有出现了一定程度的不确定性
[2194.34-2196.34] 但是越是在这样的时期呢
[2196.34-2201.34] 董事长认为我们公司更应该要透过稳定的成长
[2201.34-2203.34] 来牵引股价的表现
[2203.34-2207.34] 我们会专注于就是内部体制的强化跟风险控管
[2207.34-2213.34] 然后来提升我们的企业价值降低外部环境变动的影响
[2213.34-2218.34] 那我们也会持续的就是检视各种提升股东价值的方案
[2218.34-2221.34] 然后不辜负投资人的信赖与支持
[2221.34-2223.34] 谢谢大家
[2223.34-2226.34] 好,那第三个问题我们就来到这里了
[2226.34-2229.34] 第三题,公司对股利的想法是什么?
[2229.34-2232.34] 今年为何只发1.5块?
[2232.34-2237.34] 第三个问题,公司对股价的想法是什么?
[2237.34-2242.34] 今年为何只发1.5块?
[2242.34-2245.34] 那我们就来到这里了
[2245.34-2249.34] 这些问题是Raffi会回答的
[2249.34-2252.34] 好,那这个问题呢我们请我们的财务主管
[2252.34-2254.34] 洪雨萱Raffi来待会回答
[2254.34-2257.34] 谢谢投资人的提问
[2257.34-2261.34] 那今年我们决定每股发放1.5元的现金股利
[2261.34-2264.34] 因于分派比率大概是17%
[2264.34-2270.34] 这个决策其实反映我们公司在目前在持续成长的阶段中的资本配置策略
[2270.34-2273.34] 也是基于我们对未来资本需求的预估
[2273.34-2277.34] 以今年度来说就包括新的子公司的成立
[2277.34-2281.34] 台湾资料中心的建设以及各项新服务的研发
[2281.34-2286.34] 那未来我们也会根据市场机会和业务需求灵活调整我们的策略
[2287.34-2291.34] 我们希望通过这种策略来保持对未来业务的发展
[2291.34-2297.34] 同时也向台湾市场及股东展现我们回报股东的以及分享成功的意愿
[2297.34-2303.34] 我们相信这样子的策略会让公司在未来能够持续增长跟持续盈利
[2303.34-2305.34] 为股东带来持续的利益
[2305.34-2309.34] 答案是这样的,首先感谢您的提问
[2309.34-2315.34] 我们今年配付了1.5元,这将是整体的17%
[2315.34-2316.34] 整体来说,我们的资本是1.5元,这将是整体的17%
[2316.34-2324.34] 整体来说,我们现在正在增长中,因为未来有资金需求,所以我们决定了这些数字
[2324.34-2332.34] 今年有自动设计,还有IDC,还有新的R&D
[2332.34-2344.34] 因此,我们继续在市场找机会,发掘资金,以更好的策略来让公司增长
[2344.34-2360.34] 我们也希望能够在未来持续增长,为了让投资者们有更好的成果
[2360.34-2368.34] 我们也希望能够持续增长,以更好的策略来让投资者们有更好的成果
[2368.34-2372.34] 您有其他想要说的吗?
[2374.34-2378.34] 哪些想要您有一句答复的呢?
[2378.34-2384.34] 第四题
[2384.34-2388.34] 川普总统关税政策的不确定性造成股市均线波动
[2388.34-2392.34] 想请问这样的情况是否会对贵公司造成影响?
[2392.34-2394.34] 第四题
[2394.34-2399.34] 特朗普关系政策现在的不确定性在挖掘
[2399.34-2402.34] 主项市场在增长
[2402.34-2403.34] 所以如果这种情况出现的话,在这些情况下,大家有什么意见?
[2403.34-2405.34] 您是否有什么印象
[2405.34-2407.94] 您的公司的外部因素
[2407.94-2409.94] 有什么影响
[2409.94-2411.94] 您的公司的外部因素有什么影响
[2411.94-2414.94] 这是我来回答的
[2418.94-2420.94] 当时我们的公司是在国内市场中
[2420.94-2422.94] 进行业绩的公司
[2422.94-2424.94] 虽然我们现在在外国
[2424.94-2426.94] 在业绩的增长期间
[2426.94-2428.94] 但仍然有相当部分
[2428.94-2430.94] 在国内市场的成长基础
[2430.94-2432.94] 而且我们并不是以製造或製造的物品
[2432.94-2434.94] 作为输出基础的公司
[2434.94-2436.94] 所以我们认为
[2436.94-2438.94] 美国的关税政策改变
[2438.94-2440.94] 对当事人的直接影响
[2440.94-2442.94] 可能性是很低的
[2442.94-2444.94] 另外,现时的变化
[2444.94-2446.94] 是由于国际投资心理的
[2446.94-2448.94] 定义和定期性现象
[2448.94-2450.94] 并不影响当事人的基础
[2450.94-2452.94] 或实际目标
[2452.94-2454.94] 我们将继续
[2454.94-2456.94] 盯紧市场情况
[2456.94-2458.94] 并与市场扩大和安定性的
[2458.94-2460.94] 影响的目标
[2460.94-2462.94] 谢谢
[2490.94-2492.94] 我们其他人也会有关注
[2492.94-2494.94] 市场的变化
[2494.94-2496.94] 以及专注于我们的
[2496.94-2498.94] 事业扩张业余拓展
[2498.94-2500.94] 以及稳健的经营
[2500.94-2502.94] 确保公司能够持续稳定的发展
[2502.94-2504.94] 谢谢大家
[2504.94-2506.94] 好,那我们在到第五题
[2506.94-2508.94] 第五条问题
[2508.94-2510.94] 是关于业务扩张
[2510.94-2512.94] 及业务扩展
[2512.94-2514.94] 我们要提到的
[2514.94-2516.94] 是一开始的
[2516.94-2518.94] 社会质量的性能
[2518.94-2520.94] 我们是在强化了
[2520.94-2539.02] 五个问题
[2550.94-2556.02] 我现在想问你,你会如何改变这些人的习惯?
[2556.02-2559.66] 或者,就像刚才所说的,
[2559.66-2565.82] 台湾人或日本人会否只集中在国外旅行,
[2565.82-2569.62] 并且增加了旅游费用?
[2569.62-2572.62] 我希望你能回答这些问题
[2577.90-2580.22] 我现在想问你,你会如何改变这些人的习惯?
[2580.22-2583.22] 其实刚刚简报中有跟大家讲过,
[2583.22-2587.22] 我们没有用LINE APP的这些国家的话,
[2587.22-2590.30] 我们会找其他的一些金融合作伙伴,
[2590.30-2596.10] 或者是其他投资战略的投资…
[2596.10-2597.46] 不好意思
[2597.46-2600.10] 我们会找一些当地的金融合作伙伴,
[2600.10-2603.62] 或者是我们可以合作的一些合作伙伴,
[2603.62-2607.46] 一起去解决这样的问题。
[2607.46-2610.18] 像韩国的话,我们是找了信函卡,
[2610.18-2612.18] 或者现代卡,
[2612.18-2616.18] 然后让这些习惯不用LINE APP的一些用户,
[2616.18-2619.18] 可以透过自己手上已经下载的APP,
[2619.18-2624.18] 实现在台湾使用他们自己的APP做消费。
[2624.18-2626.18] 那如果其他国家的话,
[2626.18-2629.18] 当然我们也应该会有其他的战略。
[2629.18-2631.18] 不管是日本还是泰国,
[2631.18-2633.18] 这些国家是有LINE的国家,
[2633.18-2635.18] 这个大家可以想象得出来。
[2635.18-2638.18] 但是如果是跨到第三、第四其他国家的话,
[2638.18-2639.18] 我们会按照当地,消费的方式,
[2639.18-2640.18] 我们会按照当地,消费的方式,
[2640.18-2641.18] 我们会按照当地,消费的方式,
[2641.18-2644.18] 或者是用户的习惯来做搭配,
[2644.18-2648.18] 以后去引领我们整体的交易量上升。
[2648.18-2649.18] 谢谢。
[2649.18-2650.18] 谢谢。
[2650.18-2657.18] 好。
[2657.18-2660.18] 第六题。
[2660.18-2664.18] 第六题一共有五个小题,
[2664.18-2666.18] 所以我们慢慢看一下。
[2666.18-2667.18] 第六题一共有五个小题,
[2667.18-2668.18] 所以我们慢慢看一下。
[2668.18-2669.18] 第六题一共有五个小题,
[2669.18-2671.18] 所以我们慢慢看一下。
[2671.18-2672.18] 第一,台湾市场规模相较其他地区较小,
[2672.18-2673.18] 第二,台湾市场规模相较其他地区较小,
[2673.18-2678.18] 未来如果取向饱和,
[2678.18-2679.18] 是否未来营收增长增速放缓?
[2679.18-2681.18] 是否未来营收增长增速放缓?
[2681.18-2683.18] 第一题。
[2683.18-2685.18] 台湾市场的大量相比起其他国家是较小的,
[2685.18-2686.18] 台湾市场的大量相较小的,
[2686.18-2688.18] 台湾市场的大量相比起其他国家是较小的,
[2688.18-2689.18] 所以将来如果这个量化状态变成这样,
[2689.18-2690.18] 所以将来如果这个量化状态变成这样,
[2690.18-2697.18] 如果我们的市场在中和状态下,我们的利润和成长会否会稍微加慢?
[2697.18-2701.18] 我们现在正在做回答的问题。
[2701.18-2705.18] 我们先从这些问题开始回答。
[2712.18-2719.18] 当然,台湾市场的大小可能比哪个国家的市场大小。
[2719.18-2725.18] 但是,我们现在看待的台湾市场并不是很小的。
[2725.18-2733.18] 我们也有提出过,台湾市场内的利润和成长的可能性仍然很大。
[2733.18-2738.18] 基本上,我们已经提出过,我们可以增长10倍以上。
[2741.18-2748.18] 首先,从台湾整体市场规模来看,当然跟其他的国家比较的话,
[2748.18-2749.18] 那个绝对数值可能是很低的。
[2749.18-2756.18] 但是,从公司的角度来看,我们并不认为台湾的市场规模是很小的。
[2756.18-2762.18] 我们在之前的其他的夜市说明会也有跟大家分享过,
[2762.18-2767.18] 公司认为,在台湾的市场还有很大的成长空间,
[2767.18-2774.18] 还有足足10倍可以成长的潜力,在整体的消费市场中。
[2774.18-2778.18] 但,那麽,未来的时代,
[2778.18-2784.18] 我们可能会看到有些人会在想市场的状况,
[2784.18-2787.18] 或者是在想市场的状况,
[2787.18-2789.18] 我们可以在这种情况下,
[2789.18-2791.18] 解释一下我们可以取得的行动,
[2791.18-2793.18] 有两种方式。
[2793.18-2798.18] 第一,我们可以更加研究现时市场的情况。
[2798.18-2802.18] 第二,我们可以增长我们的市场的领域。
[2802.18-2805.18] 为了更加研究市场的领域,
[2805.18-2807.18] 我们的行业必须更加深化,
[2807.18-2812.18] 因此,我们在今年推出了两种重要的成长策略。
[2812.18-2815.18] 还有,我们可以增长市场的部分,
[2815.18-2818.18] 因为我们在台湾的经历了很长时间,
[2818.18-2821.18] 我们需要在另一个领域实现这种过程。
[2821.18-2823.18] 因此,我们需要更加长时间。
[2823.18-2827.18] 因此,我们开始了这个行业的传输基础,
[2827.18-2831.18] 首先,我们正在进行外界传输。
[2831.18-2833.18] 如果我们可以这样进行,
[2833.18-2835.18] 我们可以说,我们可以说,
[2835.18-2837.18] 我们可以将这个市场和外界的市场
[2837.18-2839.18] 一起在一起并结合,
[2839.18-2842.18] 并且,这个结合的形式将成为新的市场,
[2842.18-2844.18] 新的市场的传输系统,
[2844.18-2848.18] 并且,我们将可以继续扩展市场的成长。
[2848.18-2850.18] 好,那即便如此,
[2850.18-2852.18] 当然在未来的某个时间点,
[2852.18-2856.18] 可能会达到,就是刚刚就是我们提问的人所提到的,
[2856.18-2858.18] 就是市场的饱和状态。
[2858.18-2860.18] 那在这样的情况下呢,
[2860.18-2863.18] 在公司立场,我们可以采取的策略分为两大部分。
[2863.18-2864.18] 那在这样的情况下呢,在公司立场,我们可以采取的策略分为两大部分。
[2864.18-2866.18] 第一块呢,就是继续地在我们既有的事业业务中,
[2866.18-2870.18] 第一块呢,就是继续地在我们既有的事业业务中,
[2870.18-2872.18] 持续发掘,持续去发掘成长的可能性。
[2872.18-2874.18] 持续去发掘成长的可能性。
[2874.18-2876.18] 然后第二个呢,就是扩张我们的业务领域。
[2876.18-2878.18] 然后第二个呢,就是扩张我们的业务领域。
[2878.18-2880.18] 那第二个部分,就像我们今天在简报中也有提到的,
[2880.18-2882.18] 那第二个部分,就像我们今天在简报中也有提到的,
[2882.18-2884.18] 那为了第一个就是持续地发掘既有事业的成长潜力的话呢,
[2884.18-2886.18] 为了第一个就是发掘既有事业的成长潜力的话呢,
[2886.18-2888.18] 为了第一个就是发掘既有事业的成长潜力的话呢,
[2888.18-2890.18] 我们会需要去深化我们既有的业务。
[2890.18-2892.18] 就像刚刚我们执行副总Gloria在简报中提到的,
[2892.18-2894.18] 就像刚刚我们执行副总Gloria在简报中提到的,
[2894.18-2896.18] 我们持续地会去优化我们的服务,
[2896.18-2898.18] 我们持续地会去优化我们的服务,
[2898.18-2900.18] 然后去深化在台湾这个市场的业务。
[2900.18-2902.18] 然后去深化在台湾这个市场的业务。
[2902.18-2904.18] 然后第二个部分呢,
[2904.18-2906.18] 是扩张新的业务领域的部分。
[2906.18-2908.18] 是扩张新的业务领域的部分。
[2908.18-2910.18] 那当然这个部分是我们新开始的业务,
[2910.18-2912.18] 那当然这个部分是我们新开始的业务,
[2912.18-2914.18] 比如说像跨境等等的。
[2914.18-2916.18] 那这个部分当然在业务的推广上呢,
[2916.18-2918.18] 会需要花比较多的时间,
[2918.18-2920.18] 但是呢,它会也是作为我们未来的一个成长的动能。
[2920.18-2922.18] 但是呢,它会也是作为我们未来的一个成长的动能。
[2922.18-2924.18] 那在我们发展海外事业的同时呢,
[2924.18-2926.18] 那在我们发展海外事业的同时呢,
[2926.18-2928.18] 同时我们持续深化国内的业务。
[2928.18-2930.18] 那这两个呢,
[2930.18-2932.18] 其实是会有相互造成一个加成效果的,
[2932.18-2934.18] 那这两个呢,
[2934.18-2936.18] 其实是连接在一起的部分。
[2936.18-2938.18] 其实是连接在一起的部分。
[2938.18-2940.18] 好,那我们再看一下第三题。
[2940.18-2942.18] 好,那我们再看一下第三题。
[2942.18-2944.18] 第三个问题。
[2944.18-2946.18] 贵公司有位期的...
[2946.18-2948.18] 不好意思,是第二题。
[2948.18-2950.18] 第二, 第二个问题。
[2950.18-2952.18] 海外扩展是否指目标来台旅客、游客
[2952.18-2954.18] 海外扩展是否指目标来台旅客、游客
[2954.18-2956.18] 和海外设置LinePay支付方式,
[2956.18-2958.18] 而不是扩展商业模式到其他的地区?
[2958.18-2960.18] 而不是扩展商业模式到其他的地区?
[2960.18-2962.18] 而不是扩展商业模式到其他的地区?
[2962.18-2964.18] 第二个问题是,
[2964.18-2966.18] 对于我们来说,
[2966.18-2968.18] 对于我们来说,
[2968.18-2970.18] 你们只扩展商业模式
[2970.18-2972.18] 在台湾的旅客、
[2972.18-2974.18] 或在海外的LinePay支付方式
[2974.18-2976.18] 或在海外的LinePay支付方式
[2976.18-2978.18] 我认为,
[2978.18-2980.18] 这不是在扩展新的版本
[2980.18-2982.18] 这不是在扩展新的版本
[2982.18-2984.18] 在其他的地区。
[2984.18-2986.18] 在其他的地区。
[2986.18-2988.18] 对,
[2988.18-2990.18] 我觉得,
[2990.18-2992.18] 我觉得,
[2992.18-2994.18] 其实我们在这个问题上,
[2994.18-2997.18] 非常好的问题,JT也是有话来亲自回答
[3004.18-3009.18] 外形上来说,我们现在的国际传播是
[3009.18-3015.18] 让国内的用户来台湾使用LINE Pay的商店
[3015.18-3020.18] 使用LINE Pay来台湾,使用LINE Pay来台湾的用户
[3020.18-3025.18] 可以使用LINE Pay来采取货币的生活
[3025.18-3028.18] 当然,我们也在这样的发展中
[3028.18-3033.18] 但是,我们有更大的目标和更大的计划
[3045.18-3049.18] 让国外来台的旅客使用LINE Pay交易
[3049.18-3053.18] 以及台湾的旅客到国外消费旅游的时候
[3053.18-3055.18] 可以使用LINE Pay交易
[3055.18-3057.18] 当然,我们是用这样的模式去出发的
[3057.18-3059.18] 但是,我们之所以采取这样的策略
[3059.18-3063.18] 背后是有更远大的目标和计划的
[3075.18-3081.18] 我们的目标是将国际的交易环境
[3081.18-3084.18] 使用LINE Pay来采取货币交易
[3084.18-3087.18] 使两个国家更加密切地联系
[3087.18-3089.18] 成为业务合作国家
[3089.18-3091.18] 再次说明
[3091.18-3093.18] 台湾的企业
[3093.18-3095.18] 可以通过外国的用户
[3095.18-3099.18] 创造更多的成长基础
[3099.18-3101.18] 而外国的企业
[3101.18-3103.18] 可以通过台湾的用户
[3103.18-3105.18] 或是台湾的服务
[3105.18-3107.18] 进行更多的发展
[3107.18-3109.18] 这就是我们的目标
[3109.18-3111.18] 我们的目标是
[3111.18-3113.18] 建立国际的交易协调平台
[3113.18-3115.18] 因此,我们想实现的交易费用
[3115.18-3117.18] 当然是在外国实现的
[3117.18-3119.18] 但我们的目标是
[3119.18-3121.18] 并不是在交易费用上
[3121.18-3123.18] 而是在实现的交易费用
[3123.18-3125.18] 我们想说
[3125.18-3127.18] 我们正在集中在
[3127.18-3129.18] 更加的设计和
[3129.18-3131.18] 更加的高度化
[3131.18-3133.18] 我们的交易费用
[3133.18-3134.18] 谢谢
[3134.18-3135.18] 好的
[3135.18-3137.18] 那基本上呢
[3137.18-3139.18] 我们今天不确定
[3139.18-3141.18] 用口头的方式
[3141.18-3143.18] 用言语来好好的传达
[3143.18-3145.18] 我们的这个元大的目标
[3145.18-3147.18] 跟计划给投资人
[3147.18-3148.18] 但是呢
[3148.18-3149.18] 先来解释的话呢
[3149.18-3150.18] 就是我们现在呢
[3150.18-3152.18] 是想要利用既有国际
[3152.18-3154.18] 各个国家之间的
[3154.18-3156.18] 就是交易支付的环境
[3156.18-3158.18] 以这个为基础
[3158.18-3160.18] 去拓展我们的跨境事业
[3160.18-3162.18] 然后让各国之间的交易
[3162.18-3163.18] 是可以进行的
[3163.18-3164.18] 但是呢
[3164.18-3165.18] 我们也不仅于如此
[3165.18-3167.18] 我们希望达成的目的是
[3167.18-3169.18] 让各国各国家之间的企业
[3169.18-3170.18] 甚至是用户
[3170.18-3172.18] 能够紧密的串联在一起
[3172.18-3173.18] 举例来说
[3173.18-3175.18] 就是台湾的公司和商店呢
[3175.18-3178.18] 它可以透过海外的用户呢
[3178.18-3180.18] 去创造营收的成长
[3180.18-3182.18] 进而获得新的商机
[3182.18-3183.18] 反过来呢
[3183.18-3185.18] 就是海外的企业呢
[3185.18-3187.18] 也可以透过台湾的用户
[3187.18-3189.18] 以及台湾的服务去
[3189.18-3192.18] 让他们的事业更进一步的发展
[3192.18-3193.18] 我们最终想要实现的是
[3193.18-3198.18] 一个全球的行销支付的平台
[3198.18-3201.18] 那就是如果从文字来看的话
[3201.18-3203.18] 我们在实现跨境交易的话
[3203.18-3205.18] 它的定义可能大家都会认为说
[3205.18-3208.18] 是让别的国家的人来台湾
[3208.18-3209.18] 又或者是到国外
[3209.18-3211.18] 可以去进行支付
[3211.18-3213.18] 但是并不仅限于如此
[3213.18-3214.18] 我们想要达到的是
[3214.18-3216.18] 就是让这样子的交易呢
[3216.18-3218.18] 可以就是更加的数位化
[3218.18-3219.18] 更加的优化
[3219.18-3220.18] 然后呢
[3220.18-3222.18] 同时就是达到创造出
[3222.18-3223.18] 上市的目的
[3223.18-3225.18] 然后成为所有
[3225.18-3227.18] 不管是台湾的内
[3227.18-3228.18] 台湾内
[3228.18-3231.18] 或者是国外的企业的一个行销伙伴
[3253.18-3255.18] 那么我们就这样做了
[3255.18-3260.18] 我们现在看到
