[0.00-7.76] 大家午安,我是艾普科技财务长明玉馨,欢迎各位投资先进参与艾普科技法人说明会。
[1753.00-1756.90] 这部分在台币升值的环境下
[1756.90-1758.44] 公司有拿来做营运上市的货物吗?
[1758.44-1761.44] 是在美国的货物上使用或是汇率上的避险
[1761.44-1767.76] 若没有公司内部有衡量大约有多少汇兑损失吗?
[1767.76-1770.44] 那这个问题由我这边来回答
[1770.44-1776.44] 公司在外汇管理的策略上考虑了美元相对台币的存款利率差
[1776.44-1780.44] 那这个两到三个percent的利率差是一种自然避险
[1780.44-1786.44] 我们目前是没有在进行比较主动的汇率避险
[1786.44-1787.44] 所以当汇率有一些急剧变化之后
[1787.44-1788.24] 我们就会有一个货物的变化
[1788.24-1793.24] 无法避免我们账面上会有一定程度的损失
[1793.24-1797.24] 那同时我们公司已经有在做一些资金的调度
[1797.24-1799.24] 包含投资子公司
[1799.24-1804.24] 尽量来减少汇率带来账面上的损益波动
[1804.24-1806.24] 这里我补充一点
[1806.24-1810.24] 这个问题可能是这几天大家比较关心的问题
[1810.24-1813.24] 在目前不确定的环境下
[1813.24-1816.24] 我们认为我们现在的比较大的外汇
[1816.24-1817.24] 外汇的这个问题
[1817.24-1820.24] 是一个维定性的因素
[1820.24-1822.24] 虽然短期会有一些汇率的损失
[1822.24-1828.24] 但是中期或者长期是可以让我们能够承受更大的风险
[1828.24-1832.24] 下一个问题
[1832.24-1837.24] 请问IoT RAN这几季的营收看起来都是持平
[1837.24-1839.24] 没有什么变动
[1839.24-1842.24] 是否意味这块的成长已经到底了
[1842.24-1846.24] 或者有看到什么增长的机会或是应用
[1846.24-1853.24] 这些问题我是请产品中心的刘副总来回答
[1853.24-1855.24] 好的我是刘宗宁
[1855.24-1857.24] IoT无所不在
[1857.24-1860.24] 再加上云端上网的功能之后
[1860.24-1864.24] 需要更多的记忆体容量和频宽
[1864.24-1868.24] 整体来说一定有持续性的成长
[1868.24-1871.24] 其中我们特别看好的就是创代装置
[1871.24-1875.24] 包含智慧手表和智慧眼镜的市场发展
[1876.24-1880.24] 下一个问题
[1880.24-1884.24] 请问IoT主要销货是在中国吗
[1884.24-1889.24] 请问目前市场竞争情形有降价压力吗
[1889.24-1892.24] 这一题我来回答
[1892.24-1898.24] 那IoT的部分确实有50%以上的销货是在中国
[1898.24-1902.24] 那竞争跟降价的压力其实是一直都有的
[1902.24-1905.24] 但我们的产品因为是客制化的原因
[1905.24-1906.24] 所以我们的产品因为是客制化的原因
[1906.24-1910.24] 价格的波动其实并不会很剧烈
[1910.24-1913.24] 下一个问题
[1913.24-1918.24] 请问总经理有提到第一季VHM产品出货较少
[1918.24-1921.24] 请问怎么看2025年出货
[1921.24-1925.24] 跟2024年相比会增加或减少
[1925.24-1929.24] 预计何时可以有矿机应用以外的量产出货
[1929.24-1932.24] 这题我来回答
[1932.24-1935.24] VHM Wafer Sale今年
[1935.24-1938.24] 今年会比去年要来的少
[1938.24-1944.24] 那这个看法主要是基于我们对于加密货币市场需求的判断
[1944.24-1950.24] 那矿机以外的主流应用的量产在今年还不会发生
[1950.24-1954.24] 下一个问题
[1954.24-1961.24] 请问VHM Wafer的罗集D-RAM各式跟哪一家Foundry合作
[1961.24-1964.24] 堆叠是在罗集还是D-RAM Foundry
[1964.24-1967.24] 使用的制程是
[1967.24-1972.24] 好那我们目前利基电是我们的D-RAM的Foundry
[1972.24-1976.24] 那罗集Foundry和制程是由客户来决定的
[1976.24-1980.24] 那也当然也包括了台积电等第一线的大厂
[1980.24-1985.24] 而VHM Wafer堆叠在利基电和罗集Foundry都可以完成
[1985.24-1990.24] 我们也看到有更多的一线的经约厂投入这方面的业务
[1990.24-1993.24] 下一个问题
[1994.24-2000.24] 请问艾普在C-CAP主要竞争者是谁
[2000.24-2002.24] 我是刘宗宁
[2002.24-2003.24] 我来回答
[2003.24-2009.24] 艾普的S-C-CAP主要是使用D-RAM制程的堆叠式电容
[2009.24-2014.24] 其他的方案主要是采取罗集制程的深沟式电容
[2014.24-2018.24] 目前在市场上看到的竞争者还不多
[2018.24-2021.24] 主要是因为市场才刚刚开始
[2021.24-2023.24] 艾普的堆叠式电容的优势就是
[2023.24-2026.24] 电容密度比深沟式电容更高
[2026.24-2029.24] 而且厚度可以更薄
[2029.24-2032.24] 下一个问题
[2032.24-2038.24] 请问就IPC IPD 2.5D Roadmap来看
[2038.24-2042.24] 哪一块会带来比较大的营收贡献
[2042.24-2044.24] 预计量产时电
[2044.24-2046.24] 我是薛德远
[2046.24-2048.24] 这一题我来回答
[2048.24-2052.24] IPC去年底已经有客户的产品开始进行购入了
[2052.24-2055.24] 所以今年的营收贡献会比较显著
[2055.24-2061.24] 那IPD的客户产品有机会在年底或明年初进入量产
[2061.24-2063.24] 长期来看
[2063.24-2066.24] 我们认为IPD的应用更广
[2066.24-2069.24] 所以它的市场规模会更大
[2069.24-2071.24] 下一个问题
[2071.24-2075.24] 请问Interposer主要合作的晶圆厂
[2075.24-2079.24] 使用的制程以及主要合作的电容
[2079.24-2081.24] 会有什么变化呢?
[2082.24-2084.24] 技术门槛在
[2084.24-2090.24] 我们的IPC也就是Interposer with Silicon Capacitor
[2090.24-2095.24] 是采用利基电的低韧产线上的客制化制程
[2095.24-2097.24] 在制程技术方面
[2097.24-2102.24] 如何提供高的电容值和良率是主要关键
[2102.24-2105.24] 但是门槛不完全是制程技术而已
[2105.24-2111.24] 技术应用和客户服务的全面完美结合才是真正的门槛
[2112.24-2114.24] 下一个问题
[2114.24-2120.24] 请问C-CAP的IPD第一季营收减少
[2120.24-2123.24] 请问何时会再有营收?
[2123.24-2126.24] 是NRE或是WAVE出货?
[2126.24-2128.24] 这题我来回答
[2128.24-2131.24] 那IPD目前的出货主要是
[2131.24-2136.24] 嵌入基板应用制程开发所需要的样片
[2136.24-2139.24] 所以出货会比较不稳定
[2139.24-2140.24] 那刚刚有提到
[2140.24-2141.24] 制程验证会在几个月内进行?
[2141.24-2143.24] 制程验证会在今年底完成
[2143.24-2149.24] 但是量产拉货的速度要看客户专案的需求而定
[2149.24-2154.24] 那这类的应用主要还是在于客制化的IPD
[2154.24-2159.24] 所以未来的营收中NRE与产品的销售都会有
[2159.24-2162.24] 那产品的出货也不一定是WAVE出货
[2162.24-2168.24] 这个行业的客户对于出货的方式有比较特别的要求
[2168.24-2171.24] 那IPD目前的
[2171.24-2173.24] 产品出货都还是样品
[2173.24-2174.24] 那虽然量也不少
[2174.24-2177.24] 但是还不是像量产一样
[2177.24-2179.24] 目前我们比较难预估
[2179.24-2183.24] 下一个问题
[2183.24-2188.24] 多层堆叠的BHM stack现在可以叠到几层?
[2188.24-2192.24] 现有DRAM制程能够符合客户需求吗?
[2192.24-2197.24] 我目前正在开发堆叠八层的DRAM
[2197.24-2200.24] 现有的DRAM制程可以满足目前的客户需求吗?
[2201.24-2205.24] 但是未来客户主流产品需要的量
[2205.24-2209.24] 只有Tier1 DRAM厂商才有机会满足
[2209.24-2212.24] 下一个问题
[2212.24-2218.24] 请问第一季营收衰退是否有受到美国禁令的影响?
[2218.24-2220.24] 这地方我来回答
[2220.24-2222.24] 刚刚报告中都有提到
[2222.24-2227.24] 我们第一季营收衰退主要是季节性的因素
[2227.24-2230.24] 禁令的影响不是个重要因素
[2231.24-2233.24] 下一个问题
[2233.24-2240.24] 请问目前BHM除了POC以外的产品专案的数量以及进度?
[2240.24-2242.24] 这一题我来回答
[2242.24-2244.24] 客户很多
[2244.24-2247.24] 最前沿的客户已经基本上完成技术方案的讨论
[2247.24-2251.24] 后面是一些商务讨论的供应链的确认
[2251.24-2254.24] 下一个问题
[2254.24-2259.24] 请问BHM IPC IPD都是跟AI HPC相关吗?
[2259.24-2266.24] 可以分别说明一下主要的应用领域?
[2266.24-2275.24] BHM主要是提供AI加速器和网路晶片所需要的高频宽和低功耗的Memory
[2275.24-2283.24] IPC和IPD则是提供高密度的电容给所有的高速运算和AI晶片
[2283.24-2288.24] 提供SIPI的信号的品质跟电源品质
[2288.24-2295.24] 下一个问题
[2295.24-2302.24] PSMC多次提到与AI普合作的3D Staking为其发展重点
[2302.24-2306.24] 可以说明一下主要合作项目及合作方式?
[2306.24-2310.24] PSMC是提供DRAM吗?
[2310.24-2315.24] 内基店是我们DRAM多层堆叠的主要供应商
[2315.24-2317.24] 也是业内DRAM多层堆叠最主要的供应商
[2317.24-2325.24] 在内基店堆叠好的多层DRAM会送到逻辑竞争场做进一步的堆叠
[2325.24-2329.24] 目前POC用的是内基店的DRAM
[2329.24-2332.24] 也有一些量产客户会继续用内基店的DRAM
[2332.24-2337.24] 但是未来主流应用的主流产品也就是量非常大的那部分产品
[2337.24-2341.24] 因为产能的原因会采用TL1的DRAM
[2341.24-2343.24] 但是也会在内基店堆叠
[2343.24-2346.24] 这个是我们DRAM多层堆叠生态的最基本的设计
[2347.24-2351.24] 下一个问题
[2351.24-2355.24] 请问公司会执行库藏股吗?
[2355.24-2359.24] 公司总是会就这个议题做过讨论
[2359.24-2362.24] 结论是暂时不做
[2362.24-2364.24] 下一个问题
[2364.24-2368.24] 公司有提到要增加在美国研发中心的投资
[2368.24-2370.24] 可否再详细说明一下
[2370.24-2374.24] 会动用到GDR的资金吗?
[2374.24-2376.24] 美国是HPC最高的投资公司
[2376.24-2379.24] HPC最大最重要的市场
[2379.24-2382.24] 我们的HPC客户也大多数在美国
[2382.24-2388.24] 我们在美国扩大研发和业务团队的规模
[2388.24-2391.24] 就是更好的就地服务美国的客户
[2391.24-2394.24] 这部分确实会使用GDR
[2394.24-2397.24] 下一个问题
[2397.24-2402.24] 请问公司目前与其他记忆体代工厂合作的进度?
[2402.24-2404.24] 好 这一题由我来回答
[2404.24-2406.24] 我目前有一些记忆体代工厂的合作进度是很大的
[2406.24-2408.24] 我们的经济进展
[2408.24-2412.24] 具体的细节现在还不方便向各位先进透露
[2412.24-2414.24] 谢谢
[2414.24-2416.24] 下一个问题
[2416.24-2421.24] 与新创公司合作的UHF RFID标签IC
[2421.24-2424.24] 预计会在今年开始量产
[2424.24-2426.24] 请问进度不变吗?
[2426.24-2429.24] 是否大陆市场吗?
[2429.24-2431.24] 这我来说明一下
[2431.24-2434.24] 我们现在UHF RFID的开发进度不变
[2434.24-2437.24] 我们还是预计今年会量产
[2437.24-2440.24] 市场是全球的 不只是大陆
[2440.24-2442.24] 下一个问题
[2442.24-2449.24] 前次法说会提到公司正集中精力做AI HPC量产产品的design in
[2449.24-2450.24] 如果顺利
[2450.24-2454.24] 有机会在今年完成第一个AI HPC的产品设计
[2454.24-2456.24] 请问进度为何?
[2456.24-2457.24] 顺利进行中吗?
[2457.24-2460.24] 好 这一题还是由我来回答好了
[2460.24-2462.24] 我刚才在报告里面有提到
[2462.24-2468.24] UHF在AI HPC量产产品现在正在有一些design的讨论
[2468.24-2473.24] 那我们是预计会有案子在今年会设计定案
[2473.24-2474.24] 然后开始执行
[2474.24-2477.24] 那现在进度看起来是很顺利的
[2477.24-2478.24] 谢谢
[2478.24-2480.24] 下一个问题
[2480.24-2483.24] 今年股东会上陈董提到
[2483.24-2487.24] 应用于2.5G先进封装制程的Interposure产品
[2487.24-2489.24] 目前供不应求
[2489.24-2491.24] 所以这一块对公司今年的营收贡献费用是什么?
[2492.24-2495.24] 这一题我来回答
[2495.24-2498.24] 前面都有报告过
[2498.24-2503.24] Interposer的营收较去年会有显著的成长
[2503.24-2507.24] 下一个问题
[2507.24-2512.24] 将BHM技术与来捷产品结合的进度为何?
[2512.24-2518.24] 若顺利开发成功将会是在哪一个领域发挥?
[2518.24-2521.24] 这个合作的
[2521.24-2522.82] 还合作的这个讨论
[2522.82-2524.48] 还在规划跟讨论当中
[2524.48-2525.98] 应用的领域
[2525.98-2529.86] 是和VHM应用相关的PMIC
[2529.86-2533.78] 下一个问题
[2533.78-2538.86] 目前公司的三大产品的各项表现越来越好
[2538.86-2542.62] 目前能见度在未来三季都能逐季成长
[2542.62-2545.58] 可以请问AI事业部目前的阶段
[2545.58-2548.68] 可以用正在赛道的起跑点
[2548.68-2550.58] 准备冲刺来形容吗
[2550.58-2553.42] 这个我来说明一下
[2553.42-2555.70] 我们学理工的不太会形容
[2555.70-2559.44] 我们今年三个产品现在大致状况
[2559.44-2560.38] 概括下是这样
[2560.38-2562.34] IoT会稳步成长
[2562.34-2564.38] SC卡会快速成长
[2564.38-2567.40] VHM在客户的让应这边有很大的进展
[2567.40-2570.78] 但是今年对营收的贡献还不会有切磋的成长
[2570.78-2573.82] 下一个问题
[2573.82-2575.64] 请问
[2576.70-2578.60] 目前VHM矿机
[2578.60-2579.82] 主要是用在
[2579.82-2580.56] 以太金典
[2580.56-2581.56] 幣
[2581.56-2585.06] 使小众币种对营收贡献有限
[2585.06-2592.38] 请问公司是否有开发比特币等主流币种矿机的规划
[2592.38-2595.26] 对我来说明一下
[2595.26-2597.78] 这个主要是一个算法上的差别
[2597.78-2599.82] 比特币没有用memory
[2599.82-2605.76] 所以我们没有办法
[2605.76-2608.60] 这个问题
[2608.60-2609.56] 请问VHM记忆体的容量是多少?
[2609.56-2610.56] 请问VHM记忆体的容量是多少?
[2610.56-2611.56] 可否将各目标市场所需的容量说明一下
[2611.56-2612.56] VHM的容量可以大到几十个Gigabyte
[2612.56-2614.68] 可否将各目标市场所需的容量说明一下
[2614.68-2617.72] 可否将各目标市场所需的容量说明一下
[2617.72-2618.80] 对我来说明一下
[2618.80-2621.56] VHM的容量范围可以很大
[2621.56-2623.56] 大到几十个Gigabyte
[2623.56-2626.68] 那我们目前客户提出来的要求大概也就在这个范围
[2626.68-2627.56] 那我们目前客户提出来的要求大概也就在这个范围
[2627.56-2628.56] 大于这个的几百Gigabyte的目前没有用到VHM
[2628.56-2631.56] 大于这个的几百Gigabyte的目前没有用到VHM
[2631.56-2632.76] 所以这块我们客户提的要求都会想办法做到
[2632.76-2634.88] 所以这块我们客户级的要求
[2634.88-2635.94] 我们都会想要做到
[2635.94-2640.80] 谢谢各位先进的提问
[2640.80-2643.20] 问答阶段在此告一个段落
[2643.20-2645.10] 会后若有其他问题
[2645.10-2647.68] 各位可联系本公司IR团队
[2647.68-2649.48] 谢谢各位的参与
[2649.48-2651.52] 今天的会议到此结束
[2651.52-2652.04] 谢谢
