[0.00-8.00] 各位长官
[1880.88-1885.48] 可是现在IPM已经变成一个非常成熟的用户
[1885.48-1889.32] 那当卖IPM实际上没有做出什么样的太大差异
[1889.32-1890.60] 我们还是有卖
[1890.60-1893.16] 但是你的IPM本身必须要有
[1893.16-1895.20] 一些刚刚讲的这些
[1895.20-1899.56] 云端AI智能就云端AI智能整合的这些功能
[1899.56-1903.66] 那你相对来讲你的产品就有一个竞争性
[1903.66-1904.94] 就竞争性
[1905.24-1907.54] 我们其我的产品是有一定的
[1907.54-1909.60] 在技术能量上是有的
[1909.60-1912.40] 但是就是现在目前卡在一个问题
[1912.40-1913.44] 在困扰
[1913.44-1914.46] 不是
[1914.46-1918.30] 都在我们的定理产品为了求这个所谓的
[1918.30-1922.14] 相对的价格比较优惠比较有竞争性
[1922.14-1925.20] 所以我们很多的供应是来自中国大陆
[1925.20-1928.28] 那中国大陆这确实会造成有一些冲击
[1928.28-1930.32] 有些市场他有台中
[1930.32-1934.16] 他觉得你的产品不错可是你的定理确实比较
[1934.16-1935.20] 中文
[1935.20-1940.32] 如果说今天是找MIT的产品
[1940.32-1942.12] 相对来讲他的
[1942.12-1944.42] 性价比就不是那么高
[1944.42-1948.26] 我们我们在推了很多的产品也失掉很多机会
[1948.26-1950.82] 比如说很多以前有做的一些
[1950.82-1954.92] 公部门的案子也因为这样子得上市调解机会
[1954.92-1956.20] 这也是确实的
[1956.20-1957.22] 那
[1957.22-1959.78] 不过我们对私部门的这些
[1959.78-1961.06] 领域啊
[1961.06-1963.10] 还是蛮不错的就是说
[1963.10-1964.64] 有一些私部门他
[1964.64-1966.94] 他不会推的说你是MIT或者是MIT
[1966.94-1968.22] 或者是MIT哪里的
[1968.22-1969.00] 他没差
[1969.00-1971.30] 他要的是性价比功能各方面
[1971.30-1972.84] 打发一个水准
[1972.84-1976.68] 那其他的产品本身是虽然你的硬体是MIT
[1976.68-1978.72] 但你的软体是全部都是MIT
[1978.72-1982.56] 硬体是MIT但软体全部都是MIT
[1982.56-1986.66] 所以有一些在美洲市场上还是可以接受
[1986.66-1989.72] 还是非常乐意非常接受但是
[1989.72-1994.60] 但是因为硬体的门槛确实在这几年来受到一些同步的影响
[1994.64-1997.20] 有受到一些锐减的一个状态
[1997.20-1998.48] 就是确实
[1998.48-1999.76] 所以我们现在
[1999.76-2001.04] 就是想要再去
[2001.04-2004.36] 补破另外一种新的一个模式
[2004.36-2008.46] 不能只是单靠在卖这样的刚刚的一个
[2008.46-2010.00] 所以我们刚刚把
[2010.00-2010.76] 刚刚有讲
[2010.76-2012.30] 把这个什么
[2012.30-2015.64] CP Pro是一个关键性的产品
[2015.64-2019.48] 把我们现有的不能上瘾的全部都给上瘾
[2019.48-2022.28] 我们CP Pro的名称叫做Probridge
[2022.28-2024.08] Pro就是专业版
[2024.08-2025.36] 所以也就是说
[2025.36-2027.40] 不管你前端的Sensor
[2027.40-2028.44] IPCAM
[2028.44-2029.72] 或者是感测器
[2029.72-2031.00] 或等等之类的
[2031.00-2034.32] 反正透过AI之后再透过这个
[2034.32-2035.34] CP Pro
[2035.34-2037.14] 最后都可以云端化
[2037.14-2042.52] 云端化这是我们要做这个后续整整的一个很重要的一个
[2042.52-2044.04] 工程之一
[2044.04-2045.84] 那另外呢就是说
[2045.84-2047.38] 你把这边整出来
[2047.38-2051.48] 我们原本的就有这个所谓的
[2051.48-2053.26] AI大或者是VMS
[2053.26-2054.04] 我们原本就有这个
[2054.04-2056.34] 原本就有
[2056.34-2058.64] 可是我们现在又把这个再加上一层
[2058.64-2060.70] 再加上一层这一层
[2060.70-2061.98] 就是把
[2061.98-2063.26] 再更完整的
[2063.26-2064.54] 整个在一起
[2064.54-2066.84] 而且更清楚
[2066.84-2070.16] 广度还有延伸性会更大
[2070.16-2070.94] 因为
[2070.94-2073.50] 每一个其他的都能把各自
[2073.50-2075.04] 各自的一种应用
[2075.04-2078.10] 所以当你要去开发也要调整不容易
[2078.10-2080.66] 所以我们就把它全都加到上面
[2080.66-2081.94] 所以如果说
[2081.94-2084.00] 第一天不管你要的是
[2084.04-2090.18] 底层的或者是这一层的这些应用或者是要更高层的一些整的
[2090.18-2092.24] 我们都可以去
[2092.24-2095.56] 去可以去运营客户的各种不同的情况
[2095.56-2097.10] 那现在是说这些产品
[2097.10-2097.86] 突然的
[2097.86-2100.42] 其实这些产品都应该算是去年
[2100.42-2102.22] 都算是调完整
[2102.22-2104.52] 我们在前几年是有跟
[2104.52-2106.32] 美国的一些公司
[2106.32-2108.36] 有一些比较小型的那种
[2108.36-2109.38] 那种
[2109.38-2112.46] 做影像服务的形态的公司来合作
[2112.46-2114.00] 那美国的服务的形态是什么样的呢?
[2114.00-2117.58] 台湾用做的形态完全不一样
[2117.58-2119.64] 因为美国地道
[2119.64-2120.92] 所以它的管控这个
[2120.92-2121.94] 它的需求
[2121.94-2125.00] 跟台湾是属于都会型的这种
[2125.00-2127.32] 保全的安全的那种管理是
[2127.32-2128.34] 国际不太一样
[2128.34-2130.12] 需求也不太相符
[2130.12-2132.94] 所以我们今年是很基本的在找
[2132.94-2135.76] 编导国内的一些合作的一些运行
[2135.76-2138.32] 那目前也有在恰好做
[2138.32-2139.34] 那
[2139.34-2142.68] 美国那边虽然现在有在做
[2142.68-2143.96] 可是问题是
[2143.96-2146.26] 它也会受现在
[2146.26-2150.10] 比较属于偏向私部门的这部分的推挂
[2150.10-2152.40] 公部门可能会比较困难
[2152.40-2156.76] 所以主要是因为我们的这个
[2156.76-2159.84] MIC的产品有受到一些限制
[2159.84-2163.42] 但是本来这样我们这些其他产品来讲是算是
[2163.42-2165.20] 蛮有劲的
[2165.20-2167.76] 因为现在目前要做到这样的成果的
[2167.76-2169.56] 确实是少数的
[2169.56-2170.84] 非常少
[2170.84-2172.88] 大部分都是各自的一个部块
[2172.88-2173.92] 有的听说
[2173.96-2178.06] 车牌或者我有做一个什么人领辨识
[2178.06-2179.34] 我有做一个
[2179.34-2181.38] 但是问题是当要整合在一起
[2181.38-2183.94] 变成一套有价值的系统
[2183.94-2184.96] 之后
[2184.96-2188.04] 可能在这个整合上确实有点难度
[2188.04-2189.58] 需要时间
[2189.58-2190.34] 好
[2201.86-2202.64] 今天再请
[2202.64-2203.92] 请教
[2203.96-2204.98] 那是说
[2204.98-2209.34] 对
[2209.34-2211.12] 那比如说我来
[2211.12-2213.94] 每升1%对吗
[2213.94-2214.96] 了解
[2214.96-2217.02] 另外一部分
[2217.02-2218.56] 因为另外一部分
[2218.56-2219.58] 每升
[2219.58-2221.88] 每升一块钱
[2221.88-2223.42] 会减少
[2223.42-2224.70] OK
[2224.70-2226.48] 那个我们每升
[2226.48-2231.36] 一块钱对营收当然就像上次升两块钱就突然间就
[2231.36-2232.64] 影响很大
[2232.64-2233.92] 那
[2233.96-2235.24] 我们有稍微算过
[2235.24-2237.04] 有稍微算过
[2237.04-2239.84] 有一点就是说我们虽然是美元收入
[2239.84-2243.44] 美元收入大概占我们大概是
[2243.44-2245.22] 80%
[2245.22-2247.02] 因为我们还有欧元
[2247.02-2248.04] 还有日币
[2248.04-2250.60] 所以美金大概是占我们的八成
[2250.60-2252.64] 但是我们的海外的采购
[2252.64-2254.18] 大部分都是美金
[2254.18-2257.76] 所以他这边有一部分会自然避险掉
[2257.76-2263.92] 那所以说到最后的冲击就是每升一块钱的情况之下大概会影响
[2263.96-2266.52] 到我们的0.01
[2266.52-2267.54] 0.01啦
[2267.54-2268.56] 大概0.
[2268.56-2269.84] 不到0.1啦
[2269.84-2271.64] 0.0几这样子
[2271.64-2276.00] 所以不到0.1的一个影响就是那个因为他会看不懂的比例
[2276.00-2278.56] 还有一个主要是因为我们的那个
[2278.56-2279.84] 进货的那个部分
[2279.84-2282.90] 占比也都是有互相冲销掉
[2282.90-2284.96] 那营收确实会掉
[2284.96-2288.02] 营收会掉因为营收他是跟着美金在
[2288.02-2289.04] 在走的
[2289.04-2293.92] 那美金又占我们的八成我们有美国还有越南还有少数的一些企业
[2293.96-2296.26] 其他地方全部都是美金数
[2296.26-2298.32] 所以如果说他升值
[2298.32-2301.12] 呃因为你看我们我们一个月
[2301.12-2302.40] 我们假设说是
[2302.40-2308.80] 台币假设是300万一个月啦300万那一块钱可能就影响到我们至少就300万台币
[2308.80-2311.36] 那那因为
[2311.36-2314.70] 如果是两块钱像上一次一次升两块钱
[2314.70-2317.26] 那那一个月的汇兑的
[2317.26-2319.30] 营收就减少很多
[2319.30-2322.64] 也就减少比如说我们300块可能就减少600块
[2322.64-2323.92] 600万啦
[2323.96-2325.50] 600万
[2325.50-2329.08] 那毛利呢也会有一些影响但是毛利的影响
[2329.08-2330.10] 就刚刚讲的
[2330.10-2331.90] 他的影响性不会说
[2331.90-2333.68] 这么样的这个
[2333.68-2335.22] 这么样的大啦
[2335.22-2337.28] 他影响大概就在0点
[2337.28-2338.80] 呃就说每
[2338.80-2343.92] 一趴如果呃我刚讲应该是一趴啦一趴的情况之下大概是0点
[2343.92-2344.96] 0点
[2344.96-2348.54] 0点0.1左右大概1%啦
[2353.96-2359.60] 来来请
[2359.60-2364.20] 我现在请问一下目前产品
[2364.20-2367.28] 透过经销的方式销售大部分
[2367.28-2372.40] 我们现在的销售大部分是透过经销代理
[2372.40-2376.48] 还有做过还有透过那个installer就是建制商
[2376.48-2380.08] 因为他本身有在做一些政府的一些
[2380.08-2382.88] 公司部门的标案的这些厂商
[2382.88-2383.92] 那因为他
[2383.92-2390.58] 本身有标案的基础所以他知道产品的需求跟工他需要产品的功能跟需求他比较明确的
[2390.58-2393.64] 那另外一种就是透过一些distributor
[2393.64-2397.48] 就是说他只是一个带货做一个通路的一个布局
[2397.48-2399.54] 那这个部分的布局
[2399.54-2403.88] 说实在占我们的比重还是相对比较高啦也像我们美国
[2403.88-2410.28] 呃美国也有一些蛮大的客户大部分他都是通路形态的他并不是installer
[2410.28-2412.60] 所以他会严格讲起来
[2412.60-2413.88] 我们大概之前有说过
[2413.88-2416.70] 算过不是很精确但是大概
[2416.70-2421.82] installer的就是distributor的比重大概就占了大概六成左右啦
[2421.82-2423.36] 应该会占六成
[2423.36-2427.44] 那六成多那剩下的可能就
[2427.44-2431.04] 有一些是installer有些是其他的那个
[2431.04-2433.60] 工程商这样子
[2433.60-2436.40] 我们有办法去
[2436.40-2438.20] 去分总算的
[2438.20-2438.72] 计算
[2438.72-2443.32] 我们的我们之前有做过其实
[2443.32-2445.36] 是有这样的一个
[2445.36-2448.70] 应用但是没办法知道说他的比重的
[2448.70-2451.26] 到底是多少就以我们公司来看
[2451.26-2456.12] 之前也有研究报告就是说比如说安控产品应用在什么机场是多少
[2456.12-2460.98] 百货公司或政府部门或什么什么学校等等之类是有这样的一种
[2460.98-2462.26] 产业资讯
[2462.26-2468.16] 其实他那个产业资讯跟我们的相对来讲也是蛮接近的因为我们的客户群里面喔
[2468.16-2469.68] 也是有一些
[2469.68-2474.28] 一些早期也是有政府机关甚至像一些赌场Casino
[2474.28-2477.36] 甚至饭店医院学校
[2477.36-2481.20] 这些领域其实都有但是他都不是透过
[2481.20-2485.04] 透过我们直接能够去因为都是透过那个distributor
[2485.04-2488.62] 透过他的讯息他知道他的客户
[2488.62-2492.46] 有去标这个案子我们才知道说他有那个
[2492.46-2498.36] 而且他的案子里面他可能我们的产品其实他的整个标案的其中一部分
[2498.36-2499.64] 所以我们也很难说
[2499.64-2504.24] 猜得很清楚很详尽啦这点是确实比较困难
[2504.24-2510.40] 但是我们知道有很多案例我们大概都清楚有些指标性的案例我们
[2510.40-2513.20] 也很清楚像之前
[2513.20-2518.32] 像台湾这边也有一些案例像是跟警察的合作像在那个
[2518.32-2521.66] 那个叫什么跟新竹市警察的一些
[2521.66-2523.96] 当车查气系统也有合作过
[2523.96-2528.06] 那像我们之前也有跟一些大型的台湾公司像那个
[2528.06-2529.60] 台硕集团的
[2529.60-2532.42] 他们在卖疗厂那边有一些
[2532.42-2539.08] 特制化的车牌的这种应用因为他的那个管制的情况透过我们车牌编制系统
[2539.08-2541.12] 因为他们需要高度客制化
[2541.12-2543.94] 所以其他的产品大概很难符合他们
[2543.94-2545.48] 所以他们找上我们
[2545.48-2546.24] 但是
[2546.24-2547.52] 也因为找上我们
[2547.52-2549.06] 我们的产品是因为
[2549.06-2553.40] 技术自主所以相对来讲比较能够做出符合他们的需求
[2553.40-2557.00] 那目前现在也是一案接一案往其他的
[2557.00-2559.56] 其他的场域来去做一些推广
[2559.60-2560.62] 所以这种
[2560.62-2564.72] 这种虽然是很直接可以拿到一些不错的成果但是
[2564.72-2566.76] 时间确实要挖比较长
[2566.76-2568.82] 对
[2568.82-2572.14] 有办法去区分
[2572.14-2573.16] 适用在
[2573.16-2574.44] 多少
[2574.44-2578.04] 面积规模的
[2578.04-2581.88] 你说多少规模是指说
[2581.88-2584.44] 你说channel数还是
[2584.44-2587.00] 是那个低面积以后适用的
[2587.00-2588.52] 小店家的
[2588.52-2589.04] 喔
[2589.60-2592.16] 这个比较没办法没有
[2592.16-2593.96] 我们客群有大
[2593.96-2596.52] 大的像卖场百货这些他也
[2596.52-2598.56] 用像我们像之前那个什么
[2598.56-2600.10] 远雄Utown
[2600.10-2602.14] 远雄的戏子那一栋嘛
[2602.14-2603.94] 那那个就是用我们的产品
[2603.94-2607.52] 他整栋都是用其有的那个因为当时在盖的时候有跟我们洽谈
[2607.52-2613.66] 所以他那个整栋就是用GOV全的那个当然你说有些公司他们可能有争取到政府的标案
[2613.66-2617.76] 他只能植入到这个所谓的那种捷运系统
[2617.76-2619.56] 我们同业他们就有进入到这个系统
[2619.60-2620.88] 系统里面去
[2620.88-2623.96] 那这个有时候就是其实是要靠关系
[2623.96-2627.80] 只要有一些合适的关系跟relation其实你就
[2627.80-2632.14] 我们的产品是可以进到任何的大中小的领域
[2632.14-2636.24] 都可以是有机会啦那所以说你刚刚说
[2636.24-2642.12] 我们是不是可不可以用在什么地方其实我们都有大中小的案例都可以用得到
[2642.12-2644.68] 我们也曾经有用到那个叫什么
[2644.68-2646.22] 我们是不是有那个那个
[2646.22-2647.50] 放地缸的那个
[2647.50-2649.56] 放地缸的那个时候有一个叫做
[2649.60-2650.62] 智慧城市
[2650.62-2653.70] 有一个跟长车查息跟监控的一些应用
[2653.70-2656.26] 所以刚好也是有这样的
[2656.26-2659.08] 经销代理商他有这样的关系
[2659.08-2663.94] 刚好把我们产品推到他的一个应用的场域里面去
[2663.94-2665.98] 所以这个产品其实
[2665.98-2669.32] 不会受到一些太多的限制反而是
[2669.32-2672.12] 我们的客户群他的关系
[2672.12-2675.46] 他的属性因为有些人他是适合做这种
[2675.46-2676.48] 公部门的
[2676.48-2677.76] 那有一些人他是
[2677.76-2679.56] 适合做银行或金融体系的
[2679.60-2685.74] 那有一些他的关系可能会在属于住宅建筑或者是一些学校的
[2685.74-2687.28] 所以
[2687.28-2689.84] 还是在于说
[2689.84-2696.50] 经销代理商他的通路的能力他就可以把这个产品应用在不同的领域上
[2696.50-2700.60] 大概是这样
[2700.60-2705.20] 我们现在总公司的人力大概是150
[2705.20-2706.74] 160人
[2706.74-2708.28] 在台湾的啦
[2708.28-2709.56] 那海外的部分
[2709.60-2711.90] 大概合计起来大概有100人
[2711.90-2716.76] 因为有含美国美国大概是30几位到还不到45位左右
[2716.76-2718.82] 那像日本那边大概有
[2718.82-2720.60] 15位左右
[2720.60-2723.68] 那还有像欧洲那边也有大概
[2723.68-2725.98] 15位到20位左右
[2725.98-2728.54] 还有越南越南大概5位
[2728.54-2730.08] 对还有加拿大
[2730.08-2733.16] 加拿大很少大概一两位
[2733.16-2734.68] 刚刚有提到说
[2734.68-2735.96] 你觉得
[2735.96-2739.04] 第四季的动产会比较强
[2739.60-2742.92] 第四季通常是第一个是我们的产业
[2742.92-2745.24] 产业的一个比较旺的时候
[2745.24-2747.02] 那第二个是
[2747.02-2753.16] 我们的产品在经过这段时间的这个推广之后我们
[2753.16-2756.50] 有些机会应该会在下半年的时候会
[2756.50-2757.78] 互成合作
[2757.78-2761.10] 所以这个部分我觉得机会会比较高一些
[2761.10-2763.66] 对
[2769.60-2779.58] 好
[2779.58-2783.16] 各位还有没有其他的
[2783.16-2784.96] 那个要提
[2784.96-2787.00] 来请
[2792.64-2794.44] 在大陆生产的问题
[2794.44-2796.48] 大陆相对他们
[2796.48-2799.04] 是有这样的限制这些厂商
[2799.60-2803.44] 都没有暴力之下
[2803.44-2804.46] 另外
[2804.46-2805.74] 之前还有提到
[2805.74-2809.08] Poche
[2809.08-2810.10] 你说谁
[2810.10-2811.64] Poche
[2811.64-2813.16] 他有卖掉
[2813.16-2814.44] 他有卖掉部门
[2814.44-2817.00] 之前我们都有在做这方面的
[2817.00-2825.20] 其实每家公司
[2825.20-2826.74] 他卖掉不代表说
[2826.74-2829.56] 他可能是做一些内部策略上的调整啊
[2829.60-2832.68] 就好像那个谁那个
[2832.68-2833.44] 那个我们
[2833.44-2835.74] 第一大的那个叫SS
[2835.74-2837.02] 后来他也卖掉
[2837.02-2839.08] 他卖给Sony
[2839.08-2840.86] 卖给日本的Sony
[2840.86-2844.70] 那另外一个我们还有一个以前的软体厂商叫Milestone
[2844.70-2849.06] 对那个叫Milestone
[2849.06-2850.34] 他是软体
[2850.34-2852.64] 界的就是安控软体界的这个
[2852.64-2854.44] 早期是第一品牌啦
[2854.44-2856.22] 那他也是卖给
[2856.22-2858.52] 同样也是卖给那个Sony
[2858.52-2859.56] 所以也就是说
[2859.56-2861.86] 现在目前
[2861.86-2864.42] 发现一个问题就是说
[2864.42-2868.26] 其实安控产品以前在早期的时候他是各自
[2868.26-2870.82] 就是百家争鸣每个人都要做
[2870.82-2872.10] 都想要进来做
[2872.10-2874.16] 而且都可以做得很好
[2874.16-2877.22] 可是现在会变成大者很大
[2877.22-2879.02] 他不是市场消失
[2879.02-2880.04] 他是要往
[2880.04-2882.60] 某些市场去做一些整合
[2882.60-2886.18] 因为很多小市场他会面临到一些资源不足
[2886.18-2887.72] 还有一些
[2887.72-2889.52] 技术方面还有能力上面的
[2889.52-2894.90] 一些不足的地方他可能会如果他不去做这样的一个调整的时候
[2894.90-2896.18] 他可能会被
[2896.18-2898.22] 做一些那个什么边缘化
[2898.22-2901.56] 也不是边缘化啦就是说会比较辛苦一些啦
[2901.56-2907.18] 那比如说像国内的同业啦也是确实有一些他也不是卖他是
[2907.18-2908.98] 他是策略调整
[2908.98-2910.52] 各位可能也清楚我们的
[2910.52-2912.82] 国内不错的那个像金锐嘛
[2912.82-2916.66] 金锐他也是并到这个所谓的太大那个领域里面去
[2916.66-2918.96] 那为什么他其实安控
[2918.96-2921.78] 这也就是跟公司的策略有关啊就是说
[2921.78-2924.34] 台达会希望能够并这样的一个
[2924.34-2925.36] 形态的公司
[2925.36-2929.72] 其实若以早期的营业规模跟台达来比其实差太多了
[2929.72-2933.56] 但是问题是他必须要有这一块的原因是因为
[2933.56-2935.34] 他如果要做智慧层次
[2935.34-2938.68] 或做一些智慧的一些楼宇管理或什么等等
[2938.68-2940.20] 少这一块他就是不行
[2940.20-2941.74] 那唯一的方法
[2941.74-2943.54] 就快速一点可能就是
[2943.54-2947.38] 双方意业结合是一个现在的一种趋势
[2947.38-2948.92] 所以我们现在
[2948.96-2950.76] 其实其实在企业也是比较
[2950.76-2951.78] 比较怎么讲
[2951.78-2954.60] 开放的心态来去看待这个问题
[2954.60-2956.38] 但是我们会觉得说
[2956.38-2959.20] 其实企业还有很多的地方是可以跟
[2959.20-2961.50] 意业,意业有两种,一种是
[2961.50-2967.14] 别人并我们,那另外一种是跟别人合作我们不谈并不并的问题
[2967.14-2969.70] 我们跟他去共同的去
[2969.70-2971.24] 充斥某一些市场
[2971.24-2973.54] 这也是一种合作的一种方式
[2973.54-2975.84] 那企业我比较倾向是希望能够
[2975.84-2978.14] 互惠双赢的一种模式
[2978.14-2978.92] 那
[2978.96-2982.28] 所以每家公司策略会不一样
[2982.28-2985.88] 所以这个市场不代表像Borge他后来
[2985.88-2987.92] 知道他好像不知道是卖给谁
[2987.92-2989.20] 那不过他
[2989.20-2991.24] 他卖掉的那个市场的缺
[2991.24-2994.84] 确实有一些,因为他的市场还是以欧洲为主
[2994.84-2997.64] 那欧洲目前我们
[2997.64-3004.04] 我们在去年或者在过去上我们欧洲一直不是那么好做,因为各国语言还有
[3004.04-3007.88] 德英法这三大市场本来就是
[3007.88-3011.72] 都有一定的难度,而且都有一些当地知名的品牌
[3011.72-3016.58] 所以他们的在推管上面上会比较
[3016.58-3019.14] 会比较受到一些一些印象
[3019.14-3023.50] 所以也因为这样子我们在蛮早之前就到欧洲去设厂
[3023.50-3027.84] 我们设厂是设在那个捷克,是设在布拉格
[3027.84-3032.20] 好像是在2008年的时候就去设了,设了蛮久的
[3032.20-3033.22] 也就是
[3033.22-3037.84] 因为你要服务当地就是要要从那个基层的服务不只是
[3037.88-3044.02] 整个运筹,另外一个就是你的售后服务还有技术等等之类的
[3044.02-3048.38] 那这样子才能够维持跟当地的一个长久关系
[3048.38-3050.94] 所以我们这一块确实是花很多心思
[3050.94-3054.78] 可是可惜啊,可惜就是说这几年来确实
[3054.78-3059.64] 也是会受到一些不景气的影响,像我们在那个地方
[3059.64-3065.78] 确实有很多多国语言人才,因为那边的语言有懂法语的,有懂德语的,有懂那个
[3065.78-3067.84] 斯拉夫语系的非常多
[3067.88-3072.24] 人才很多,那另外可是因为前一阵子我们
[3072.24-3074.28] 前几年俄国
[3074.28-3078.12] 占比很高,我们占比,以前在俄国
[3078.12-3080.94] 占比大概有两三趴左右
[3080.94-3085.04] 可是这几年几乎都挂零,主要也是因为俄乌战争
[3085.04-3089.12] 因为战争的影响还有加上大家对美元的制裁
[3089.12-3091.44] 那一阵子从制裁完之后
[3091.44-3093.74] 我们到目前为止俄国的
[3093.74-3097.32] 营业额现在还是没办法,还是没办法推出
[3097.32-3100.40] 还没有找到一个合适的方法可以把这种产品
[3100.40-3103.72] 卖进去,那很多的供应商几乎都
[3103.72-3105.00] 不见得断掉
[3105.00-3108.08] 这个是因为那个时代
[3108.08-3110.88] 一个单一事件所造成的一种情况
[3110.88-3114.72] 那其他的目前来看的
[3114.72-3116.52] 欧洲区其实
[3116.52-3123.18] 还算是怎么讲,稳定但是没有说很大的一个征服啦,这是我们现在目前
[3123.18-3127.28] 还在努力的,也就是说我们希望,因为现在目前只是单卖
[3127.32-3129.36] 这些硬体产品,实在是
[3129.36-3131.42] 你要比,比不过中国大陆
[3131.42-3134.48] 你要比低价,比不过,而且
[3134.48-3140.64] 虽然你的价格性能各方面还可以,可是相对来讲你要在这一块市场要出租很难
[3140.64-3145.76] 所以我们必须要有一些特色,也就是刚刚讲的那些整个一个solution的方式
[3145.76-3148.56] 比较能够做出跟中国大陆的差异
[3148.56-3150.88] 但是这个部分需要,真的需要有一些
[3150.88-3153.44] 时间慢慢的,因为这个核心的价值
[3153.44-3155.74] 尤其在欧美,他们都掌握在他们
[3155.74-3156.50] 自己身上
[3157.32-3159.12] 跟亚洲通常是
[3159.12-3160.90] 下单是要什么,下硬体
[3160.90-3165.26] 但是他要硬体去跟他的整个后面的平台软体去做整合
[3165.26-3167.56] 但是企友做的是比较难
[3167.56-3169.86] 难度比较高的,我们是要一个
[3169.86-3172.16] solution的方式能够推到他
[3172.16-3173.20] 那边去
[3173.20-3175.50] 所以我们必须要找到对的客人
[3175.50-3176.52] 这很重要
[3176.52-3182.40] 如果说找了一个,通常那种欧美很大品牌的,通常他都有他自己的主系统
[3182.40-3183.94] 他不太可能会用你的
[3183.94-3185.48] 你企友的系统
[3185.48-3187.02] 所以自然而然我们跟他的
[3187.32-3189.12] 也就是属于那种竞争状态
[3189.12-3192.44] 那有一些比较当地的
[3192.44-3193.46] 属于的
[3193.46-3195.26] 次要的一些
[3195.26-3200.12] 他的系统本身没有那么强的,那可能如果说,或者他没有系统的
[3200.12-3203.44] 他可能想要借用这样的方式能够去
[3203.44-3207.80] 改变一些营运模式,他想要自创一个品牌,我们可以协助他
[3207.80-3210.10] 来去产生一个新的一个系统
[3210.10-3216.24] 让他营运,所以这也是我们现在想要去找那种类似这样的一种合作对象
[3216.24-3221.10] 要不然说在我们企友现在硬体上面比不过中国大陆
[3221.10-3224.18] 软体方面,系统或平台
[3224.18-3227.76] 一定在某种程度上会对当地的品牌
[3227.76-3229.56] 他们还是有一些忠诚度
[3229.56-3233.14] 像你刚讲BOTCH,他们还是有一些
[3233.14-3237.24] 有一些主系统在,甚至像西门子他们还是有一些主系统
[3237.24-3241.08] 而且他们系统所涵盖的是整个比较全面性的
[3241.08-3243.12] 更高阶的
[3243.12-3246.20] 那像美国或日本他们都有一些
[3246.24-3251.10] 比较属于像日本的话就是Panasonic或Mitsubishi他们都有些
[3251.10-3252.38] 高端的一些
[3252.38-3254.68] 整合性的一些产品出来
[3254.68-3259.04] 所以我们现在目前整个来看的话还是有一些
[3259.04-3261.34] 怎么讲就是
[3261.34-3265.18] 必须还是我刚讲的就是说有一些产品必须要有一些
[3265.18-3268.76] 刚刚讲云端整合这一块,他们也在处理
[3268.76-3275.16] 我们但是我们速度应该会比欧美要来得快,所以我们希望能够把这个产品推给他们,而不是只是单
[3275.16-3276.20] 单独的卖
[3276.24-3277.52] 卖Ibcam
[3277.52-3281.62] 因为Ibcam现在在卖的话大概很难卖得过中国大陆
[3281.62-3286.74] 好
[3286.74-3290.84] 好现在54分,各位还没有什么其他问题
[3290.84-3293.90] 我们最后一个
[3293.90-3298.00] 来
[3298.00-3305.68] 是
[3306.24-3310.84] ,这个Ibcam发云
[3310.84-3313.16] 所以我们现在就说一个CB Pro
[3313.16-3317.24] CB Pro其实他现在所有的东西都是analog,甚至有些还是
[3317.24-3319.04] 传统,像那个
[3319.04-3324.92] 什么发报器啦或者是井铃的或者是什么等等的他现在都不是上云的
[3324.92-3328.00] 因为没有上云他都要另外来牵线
[3328.00-3330.04] 他有办法牵到中空中云去
[3330.04-3331.58] 但是如果有一个云
[3331.58-3334.66] 他做节点之后能够上云然后再透过云
[3334.66-3336.96] 可以发报到中空中云去
[3336.96-3339.52] 这边会中间会省掉很多成本
[3339.52-3343.10] 会节省非常多的效,而会产生很多效益出来
[3343.10-3345.66] 那这个目前也就是说
[3345.66-3351.30] 我们在洽谈了一些合作的规则里面有保全认同这样的概念
[3351.30-3356.42] 当然还也是我们开发的保全层次非常高低差很多
[3356.42-3360.00] 第一大第二大第三大可能有一定的还不错啦
[3360.00-3363.08] 突然间到其他的部分就会
[3363.08-3364.62] 他说都以人力为主
[3364.66-3368.76] 他就不会去认同这种技术科技保全这一块
[3368.76-3372.08] 所以现在目前来讲我们是其实应该是怎么讲
[3372.08-3376.70] 我们是希望能够找到合适的合作伙伴能够把
[3376.70-3379.50] 传统的保全把它变成科技保全
[3379.50-3382.32] 那这个科技保全里面当然就要包含所谓的
[3382.32-3384.12] 除了监控是必然的
[3384.12-3387.44] 还要整合他现有的这些sensor
[3387.44-3391.28] 因为这些sensor里面他原本的线你不能去破坏掉
[3391.28-3394.36] 但是如何把他的讯息透过
[3394.66-3400.30] 透过一个盒子也好或做一个转换的一个方式能够上到云里面
[3400.30-3402.86] 然后才有办法去做统合管理
[3402.86-3406.70] 其实这个里面是很复杂我们去了解后做确实很复杂
[3406.70-3408.22] 因为有些东西
[3408.22-3411.04] 比我们在实验室里面想的
[3411.04-3415.40] 那个不太一样如果说今天是新的案子
[3415.40-3418.72] 新的建案从头开始building的情况那很简单
[3418.72-3421.54] 因为重新规划制定那还好
[3421.54-3423.84] 但是在实务上很多的
[3423.84-3424.62] 建筑物
[3424.66-3428.24] 包括保险他是现有的这些既有存在的这些系统
[3428.24-3430.80] 你要去整合就是一个非常难度高的
[3430.80-3433.36] 可是这个是一个趋势必然一定要的
