[0.00-2.32] 各位法人及媒体朋友午安
[1913.88-1917.20] 我們銀行的總收益來講大概是占15%左右
[1917.46-1920.80] 所以整體來講存放利差對我們的影響程度是比較小的
[1921.56-1924.12] 所以可以看到我們銀行利息定收益的部分
[1924.38-1927.20] 加上一些投資的利息定收益來看我們在
[1927.50-1931.34] 記得一個表現上我們的一個任務的部分都呈現一個平穩的情形
[1931.60-1932.88] 大家都一點閃略
[1933.12-1938.24] 那簡單講如果在今年央行不預期升息或降息的一個情況之下
[1938.50-1941.84] 大概一個台幣的一個存放利差台幣的另外維持在這樣
[1942.08-1943.12] 那目前來講
[1943.62-1945.16] 費的的降息的情況
[1945.42-1950.80] 唯一比較會受影響是在費的一個降息的情況可是目前來講費的降息的一個
[1951.30-1954.38] 預期來講目前呈現一個比較不確定的情況
[1954.64-1956.94] 不過剛才提到就是說我們整體外幣的進收益值
[1957.24-1960.32] 我們整體的收益的比例大概比重不高
[1960.56-1966.72] 所以整體來講我們對NIN的一個未來今年一個展望的話大概可以維持在第3季第4季這樣的一個表現
[1968.24-1970.30] 那有先進問到說
[1971.06-1971.84] 我們對於
[1972.34-1974.14] 今年的一個展望的部分的話
[1974.64-1978.24] 首先先提到先進有問我們說對於川普
[1978.48-1981.82] 2.0引發的一個市場的一個動盪的一個部分的話
[1982.08-1985.40] 對於今年的一個大概一個挑戰跟展望的部分
[1985.66-1987.20] 那這邊我們還是會
[1987.50-1989.28] 參考一個央行的一個對於
[1990.06-1992.62] 今年展望的部分他主要是提到就是說
[1992.88-1997.48] 川普的一個政策一個不確定性的話會不利於全球一個經濟的成長跟推
[1998.00-1999.52] 推升通膨的一個部分
[1999.78-2001.58] 那根據S&P Global
[2001.84-2005.16] 一個預測的話其實全年的經濟成長率的話
[2005.42-2010.02] 今年大概是預測在全球部分在2.6已經比大概9月份預測來的
[2010.80-2011.82] 來的降低
[2012.32-2013.86] 那在通膨的部分的話
[2014.12-2017.20] 一樣2月份的預測大概3.45%大概比去年
[2017.50-2018.78] 9月份預測來的低
[2019.54-2021.60] 那另外的部分的話另外
[2021.84-2028.00] 不確定性的部分也會影響一個投資的信心進而引起金融市場一個比較行情的
[2028.24-2028.76] 一個
[2029.02-2033.62] 一個變動一個比較大的一個部分這大概是國際的一個情形
[2033.88-2037.46] 那針對國內的一個經濟的一個情勢的話大概
[2038.24-2044.12] 預期到今年的一個經濟成長率大概可以延續去年的一個動能的一個持續
[2044.38-2047.20] 因為今年的一個出口的部分大概也會叫去年
[2047.50-2048.78] 來講也會延續
[2049.04-2051.60] 那在像國內的一個新知的一個持續成長
[2052.10-2053.90] 會挹注一個民間的消費的動能
[2054.40-2059.52] 那大概這樣的情況國內的景氣大概可以維持大概是去年一個成長率的一個部分
[2060.04-2062.08] 那在通膨的部分的話大概
[2062.34-2063.62] 也會維持可是大概
[2064.14-2065.68] 大家比較知道就是因為
[2066.44-2067.72] 有可能因為
[2067.98-2069.26] 台鐵水電這些
[2070.02-2074.12] 公用事業的一個費率的上漲有可能會讓今年的CPR會上修到2以上
[2074.38-2076.42] 那大概是今年預測到
[2076.68-2077.20] 大概有現金外貨
[2077.50-2080.06] 問到說川普2.0的部分大概會對於
[2080.56-2082.88] 那個整個金融市場的一個展望的一個部分
[2083.64-2084.40] 那有關於
[2085.18-2085.68] 那個
[2085.94-2090.80] 今年的一個獲利的展望的部分本來還是一樣會維持一個
[2091.58-2094.40] 在受性品質還有獲利各項走手這邊
[2094.64-2096.44] 多一球的一個均衡之下來
[2096.70-2098.74] 做一個穩定的一個成長以上
[2108.00-2127.72] 那資本是在投資銷售 approach
[2127.72-2129.76] 幾公佈股份資本污漲
[2131.04-2132.84] كان裏面更重點我加了25 alltid
[2133.10-2134.12] 這樣之主
[2135.66-2136.40] 以前說了
[2136.40-2139.50] 我跟各位投資先進做一下一個整體的一個說明
[2139.50-2142.54] 有關我們新總行大樓的一個主體工程
[2142.54-2146.18] 目前的預定進度是89.65%
[2146.18-2148.80] 實際進度是85.28%
[2148.80-2153.04] 大概進度落後有一個差異是4.37%
[2153.04-2156.26] 那最主要我們主體工程會進度落後
[2156.26-2158.74] 是因為我們在去年已經完成了
[2158.74-2161.42] 室內裝修的一個規劃設計
[2161.42-2165.76] 並且也如期的在去年11月11號完成發包
[2165.76-2170.84] 那廠商在去年的11月30申報開工
[2170.84-2175.38] 那12月1號開始就進行所有的一個室內裝修工程
[2175.38-2179.80] 也就是我們現在目前在新總行大樓的這塊工地裡面
[2179.80-2183.26] 同時有主體裝修包跟室內裝修包
[2183.26-2185.18] 兩個平行包在進行
[2185.18-2189.90] 那所以初期還在進行工程界面的一個協調
[2190.70-2195.26] 那所以導致我們的工程進度有些微的一個落後
[2195.26-2195.74] 那就是我們現在的工程進度有些微的一個落後
[2195.74-2199.98] 那這個部分我們已經持續透過每個禮拜的工程
[2199.98-2203.92] 公務會議下去進行工程的管控跟調解
[2203.92-2208.04] 希望在不久的將來就能將這個進度把它專感上來
[2208.04-2210.42] 那另外有關室內裝修的部分
[2210.42-2213.24] 我們目前的預定進度是2.67%
[2213.24-2215.60] 實際進度是2.36%
[2215.60-2218.72] 也稍微的落後了0.30%
[2218.72-2222.12] 那這個部分主要還是就如同我剛才所說的
[2222.12-2225.48] 目前整個工地有兩個平行包
[2225.74-2228.56] 進行工程界面的整合
[2228.56-2234.14] 那有關兩個設計單位跟兩個施工單位的一個整個工程的協調整合
[2234.14-2238.96] 跟動線的一個規劃都有待進一步的融合跟完善
[2238.96-2244.68] 那我們也會持續透過每週的工程管理會議來進行工程的控管
[2244.68-2251.62] 那我們預計在今年年底要完成這個新總行大樓的預定進度並沒有改變
[2251.62-2254.02] 以上跟各位投資先進做說明
[2254.02-2254.88] 謝謝
[2255.74-2273.22] 目前沒有其他的問題
[2273.22-2275.38] 問答階段告一段落
[2275.38-2278.14] 感謝各位的參與
[2278.14-2279.70] 今天會議到此結束
[2279.70-2280.80] 謝謝您的參與
