[0.00-11.30] 各位同志先敬我
[1573.26-1576.26] 我们希望透过种树来富裕我们的环境
[1576.26-1578.26] 那香山这个地方是属于海边
[1578.26-1581.26] 所以那天我们种树的树种比较特别
[1581.26-1584.26] 包括白仙橙 水王皮跟林桃
[1584.26-1585.26] 林桃各位应该知道
[1585.26-1587.26] 台湾的那种原生种
[1587.26-1590.26] 它的特性就是防风 护杀
[1590.26-1594.26] 而且是忍耐一些高原犯的海边之物
[1594.26-1597.26] 所以对这个环境的富裕是很有大的帮助
[1598.26-1601.26] 那当然员工也透过一些app的活动
[1601.26-1603.26] 做一些线上的运动
[1603.26-1608.26] 我们同志下也大概有十几万公斤的减碳量
[1608.26-1611.26] 大概换算成圣诞树也种了一千多棵了
[1611.26-1614.26] 那另外针对我们的员工
[1614.26-1616.26] 我们也办了一些潜力发展平台的共识
[1616.26-1619.26] 也希望能够结合一些理念的讲座
[1619.26-1622.26] 把公司永续经营的一些理念
[1622.26-1625.26] 能够融入到日常的工作跟做习惯
[1625.26-1627.26] 那还是持续的通过这些活动
[1628.26-1630.26] 也希望能够通过不同的形式
[1630.26-1632.26] 为了要请我们的同仁参与一些社会方法
[1632.26-1634.26] 落实产体的一些活动
[1634.26-1638.26] 那最后就是整个我们针对整个未来
[1638.26-1640.26] 统计产体气质的动态
[1640.26-1644.26] 跟我们公司个别的看法
[1644.26-1648.26] 那市场去年从919的低细胞打房以后
[1648.26-1653.26] 再加上最近整个美国关税的影响
[1653.26-1656.26] 那公司在目前个案并没有
[1656.26-1658.26] 最近新闻场景的什么段落
[1658.26-1660.26] 还有什么一些减约出现
[1660.26-1664.26] 在公司在目前来实际上是没有这个状况
[1664.26-1669.26] 但是整个房地产事实上是真的量有明显的一个缩小
[1669.26-1671.26] 目前是没有问题
[1671.26-1673.26] 那当然很多人就问我说
[1673.26-1676.26] 那这个它的关税会影响到你们户料吗
[1676.26-1679.26] 其实我们房地产其实中期会比较长
[1679.26-1682.26] 像股市这样波动的关系很快
[1682.26-1683.26] 很多专家也都评估了
[1683.26-1686.26] 我们大概影响到房地产可能一年半以后
[1686.26-1687.26] 是没有这么快
[1688.26-1690.26] 影响到我们的房地产
[1690.26-1694.26] 那我们对未来毕竟是没有那么的悲观
[1694.26-1695.26] 我们不敢讲乐观
[1695.26-1697.26] 就是说我们自己在经营这一块
[1697.26-1699.26] 没有那么悲观
[1699.26-1701.26] 有几个原因理由跟各位做发告
[1701.26-1702.26] 就是说
[1702.26-1707.26] 2095上市会公司整个配股配息
[1707.26-1708.26] 尤其是现金
[1708.26-1709.26] 这个是针对现金
[1709.26-1712.26] 大概新台币有拿到两兆
[1712.26-1717.26] 我们认为这个两兆也是对整个市场的投资环境的活水
[1717.26-1720.26] 也就是说这些资金会在回流到
[1720.26-1722.26] 不管是股市也好房市也好
[1722.26-1723.26] 我们知道的是这样
[1723.26-1726.26] 那另外中美的关税的贸易战
[1726.26-1729.26] 是不是有另外一波的台商会在回流
[1729.26-1731.26] 我们也在观察着
[1731.26-1733.26] 那也就是说其实政府
[1733.26-1736.26] 不管在前一阵子的大南方计划还是阳道的
[1736.26-1739.26] 还是持续在推动VOD的计划
[1739.26-1741.26] 跟产业园区的一些专区
[1741.26-1744.26] 这些会塑造很多一些高科技的人才
[1744.26-1747.26] 跟一些人才的
[1747.26-1748.26] 流动
[1748.26-1751.26] 那我们公司的布局也都是沿着这些方向在布局
[1751.26-1754.26] 所以我们对我们的产品也相当的有信心
[1754.26-1757.26] 那最后就是因为也是因应人口的老化
[1757.26-1758.26] 住宅的老化
[1758.26-1760.26] 很多没有电梯的公寓
[1760.26-1762.26] 一定会慢慢的被淘汰
[1762.26-1765.26] 所以我们觉得刚性需求的方式
[1765.26-1768.26] 在未来也是持续会有的
[1768.26-1770.26] 所以我们公司目前大概
[1770.26-1773.26] 平伏下来这几个
[1773.26-1776.26] 力多中方向我们公司对未来
[1776.26-1778.26] 到我没有那么悲观
[1778.26-1781.26] 以上是大概今天为各位做的报告
[1781.26-1782.26] 好谢谢
[1806.26-1811.26] 谢谢大家
