[0.00-12.08] 各位线上参与的投资先进大家午安
[1851.30-1852.84] 可能後續的發展
[1853.40-1855.18] 我們也一直在期待看看
[1855.44-1856.46] 這個市場的變化
[1856.72-1858.26] 這是膠水
[1858.78-1859.80] 包括膠帶是
[1860.06-1861.58] 算是變成美金了嗎
[1861.84-1864.92] 對膠帶就更大了所以這個
[1865.42-1866.96] 就不同的
[1867.48-1868.50] 方向
[1870.54-1872.60] 跟邊界如果你是在膠水
[1872.86-1876.44] 一個範圍大概是這樣如果是變成膠帶那個有更多
[1877.20-1878.22] 所以這個
[1878.74-1879.76] 不同的
[1881.04-1882.06] 這個範圍
[1882.32-1883.10] 可能數據上
[1883.40-1884.94] 會有所不太一樣
[1890.30-1891.08] 好
[1894.14-1897.48] 謝謝Morrison的回答跟說明
[1898.24-1899.78] 下一個投資者提問是
[1900.30-1903.10] 國際油價最近持續下跌
[1903.36-1905.66] 我們在第一季的毛利率
[1906.44-1908.74] 大概還有成長的空間嗎
[1911.04-1912.84] 這就請Hank回答
[1913.14-1913.66] 好
[1913.90-1916.22] 那這個題目因為
[1916.72-1923.38] 目前油價持續下跌因為我在觀察油價大概就是
[1924.14-1926.46] 就是區間震盪
[1926.96-1927.98] 我是覺得
[1928.24-1932.86] 南寶原物料跟油價只是一個參考
[1933.36-1939.50] 所以就是我們的原物料其實有時候是跟大部分是跟油脫鉤的
[1939.76-1942.84] 大概油性產品占20%而已
[1943.14-1944.94] 所以
[1945.18-1947.74] 第一季的毛利率的
[1948.52-1950.30] 表現跟油
[1950.56-1952.62] 我覺得那個相關度沒有很高
[1953.12-1956.20] 那目前看起來第一季的狀況
[1956.96-1959.02] 事實上看起來是
[1959.26-1960.30] 是
[1961.06-1962.34] 狀況是不錯的
[1962.60-1963.62] 第一季目前
[1963.88-1966.70] 到二月份的他們大概有公告嘛
[1967.46-1969.26] 大概成長雙位數
[1970.02-1970.54] 那
[1970.78-1972.84] 獲利的表現也
[1973.14-1976.22] 看起來是相當健康的YY是
[1976.46-1979.28] 還是都有成長所以目前的
[1979.80-1980.82] 整個
[1981.08-1982.86] buttonline的狀況是
[1983.38-1984.40] 是
[1985.18-1986.20] 蠻健康的
[1986.46-1986.96] 這樣說明
[1990.30-1991.82] 好謝謝Hank的說明
[1992.60-1994.64] 下一個投資人提問是請問
[1994.90-1999.00] 原物料價格在未來半年到一年有沒有什麼看法呢
[2002.06-2003.10] Hank可以講一下嗎
[2003.40-2011.08] 因為剛剛有說明說就是原物料的波動其實我們是很難完全掌控
[2011.84-2017.98] 那如果要問個人的看法其實目前原物料價格是平穩的
[2018.76-2024.38] 那未來我的看法是平穩因為來自很多因素嘛比如說現在目前
[2024.64-2026.94] 原物料供給還是很多等等
[2027.98-2028.74] 但是
[2029.00-2030.02] 這樣的
[2032.06-2033.10] 我覺得這個是因為
[2033.40-2033.90] 一個
[2034.16-2037.24] 很難去完全掌控的一個題目但是
[2038.26-2040.30] 就個人看法是應該是
[2040.56-2042.10] 基本上是平穩的
[2042.36-2043.12] 謝謝
[2045.94-2047.22] 好謝謝Hank的
[2047.48-2047.98] 回答
[2048.24-2052.60] 下一個投資人提問是半導體用膠進口替代
[2052.86-2055.16] 主要是取代哪些對手
[2056.18-2059.26] 客戶端願意採用的主要原因為何
[2059.76-2062.84] 那主要是用在成熟
[2063.14-2064.94] 或是先進的製程呢
[2066.22-2067.74] 我以為你了解說明一下
[2068.00-2069.28] 好謝謝
[2070.06-2075.18] 主要進口取代當然是日系的一些
[2075.42-2076.20] 大的
[2076.46-2080.04] 供應商像是東啦Lintech這些都是
[2080.54-2082.60] 在業界很知名
[2083.62-2091.82] 那為什麼可以為什麼客戶願意取代或願意使用主要因為我們還是
[2092.06-2093.10] 在
[2093.14-2095.70] 在地化的一個是進口取代
[2096.22-2099.54] 那也可以比較容易聽懂
[2099.80-2100.82] 當地
[2101.84-2103.12] 客戶的一些要求
[2103.38-2106.20] 那我們可以客製化去調整
[2106.96-2110.30] 一些參數或者是他要求的一些
[2110.80-2112.60] 應用的方向
[2113.10-2114.64] 包括拉力
[2115.16-2117.72] 或者是延著力或者是
[2119.00-2121.56] 那個不同的操作條件
[2122.06-2122.84] 那我們的
[2123.14-2125.70] 可以被
[2125.96-2128.78] 調整的參數我們控制的會比較
[2129.54-2132.86] 比較直接啦就是我們方向會比較
[2133.12-2134.66] 跟客戶站在一起
[2135.18-2137.48] 調整的速度我也比較快
[2138.76-2142.34] 簡單講服務性應該是比較好
[2143.88-2148.74] 物性的部分就是看跟客戶的對接的一些
[2149.26-2149.76] 方向
[2150.02-2151.04] 做一個
[2151.56-2153.10] 客戶的
[2153.40-2155.70] 服務符合客戶需求的要求
[2157.24-2158.00] 以上說明
[2160.82-2162.36] 好謝謝Morris的說明
[2163.12-2168.76] 下一個投資人提問是請問公司的原物料庫存政策為何呢
[2170.54-2172.08] Pengen你可以回答一下
[2172.86-2177.46] 那目前公司的原物料庫存政策大概就是會
[2177.72-2181.30] 依據訂單去做備料這是一個原則
[2181.82-2182.32] 那
[2183.66-2185.70] 當然我們策略採購
[2188.00-2191.84] 的單位會去判斷有些原物料相對可能
[2192.36-2192.86] 已經
[2193.12-2194.92] 已經從國底要往上
[2195.18-2195.68] 走
[2195.94-2199.02] 我可能在這個時候會多備一點點的料
[2199.26-2205.42] 那這個幅度也不會太大可能會控制在多備個半個月到一個月之間
[2205.92-2211.30] 因為原物料還是會有一些安全性的考量而且空間的考量
[2211.82-2213.10] 所以不會備太多
[2213.40-2215.96] 這目前是集團的政策
[2216.22-2216.98] 謝謝
[2220.30-2222.10] 好謝謝Hank的說明
[2222.86-2224.40] 下一個投資人提問是
[2224.92-2227.48] 公司單季營業費用
[2227.74-2229.78] 目前來到差不多10.6億元
[2230.54-2233.10] 費用率來到17.23%
[2233.36-2236.70] 要控制在長期15%的目標
[2236.94-2238.48] 看來今年不可能
[2239.26-2240.54] 那請問今年
[2240.78-2243.10] 單季費用率是否能夠控制在
[2243.40-2244.68] 10億元左右呢
[2247.50-2249.80] 那這個問題我來回答
[2250.06-2250.82] 就是說
[2251.08-2255.68] 去年整年度的營業費用率是17.1
[2257.48-2262.34] 我們每年會努力在營業費用率的部分做一些管控
[2263.10-2263.88] 當然
[2264.14-2265.92] 也是要追求
[2266.70-2268.22] 年的營收成長
[2269.00-2270.28] 讓分母變大
[2270.78-2273.10] 就是營收成長率
[2273.40-2274.16] 要高於
[2274.68-2275.96] 費用增加率
[2276.22-2278.52] 這是一個管理的一個
[2279.80-2281.58] 目前的一個做法
[2283.38-2285.94] 每一季要控制在10億元
[2286.46-2288.24] 左右
[2288.76-2289.52] 今年
[2290.04-2292.08] 看起來應該是相當
[2292.60-2294.90] 我們會來努力啦就是說
[2296.18-2297.72] 今年的費用率
[2298.22-2301.30] 我們會希望比去年降低
[2302.06-2302.84] 除了
[2303.40-2304.94] 中節費用以外就是讓
[2305.18-2308.52] 營收比去年增加用這樣的方式
[2308.78-2310.56] 因為營收增加會
[2311.08-2311.58] 讓
[2312.36-2317.48] 相關的一些費用是會增加的絕對金額會增加
[2317.74-2319.02] 比如說運費
[2319.52-2320.04] 等等
[2321.32-2322.34] 這樣說明謝謝
[2324.64-2326.44] 好謝謝Hank的說明
[2327.20-2328.74] 下一個投資人提問是
[2329.00-2330.78] 請問EQ25
[2331.56-2333.10] 大連化工現金
[2333.40-2334.68] 鼓勵配發
[2334.94-2337.50] 總金額大概會是多少呢
[2339.02-2343.38] 好這個問題我來回答喔
[2343.90-2346.20] 目前還沒有收到
[2346.46-2347.74] 大連的鼓勵
[2347.98-2350.80] 大連是一個公開發行的公司
[2351.06-2351.58] 其實
[2351.82-2353.36] 同事同友其實
[2353.62-2355.66] 可以去做一個
[2355.92-2357.46] 公開資訊的一些參考
[2357.72-2359.26] 還有一些相關的公告
[2359.76-2361.56] 那南寶持有大連的
[2361.82-2362.84] 股權大約是
[2363.14-2364.16] 100億
[2364.42-2366.98] 那過去在一般的狀況下
[2367.24-2370.06] 前幾年有一些比較不一般
[2370.30-2371.84] 那在一般的狀況下
[2372.10-2374.66] 大連的現金鼓勵大約會
[2374.92-2375.68] 對我們
[2376.46-2380.30] 另外收入的貢獻一般是4000到7000萬
[2380.80-2384.90] 但是過去像去年他就分配了1億嘛
[2385.42-2385.92] 那
[2386.18-2388.22] 兩年前三年前
[2388.48-2390.02] 分到3到
[2390.28-2391.30] 4億都有
[2391.82-2393.10] 當然
[2393.40-2393.90] 目前
[2394.42-2396.46] 大連的表現狀況
[2397.74-2400.06] 去年上半年是
[2400.30-2401.58] EPS是4塊多
[2401.84-2403.64] 那前年是4塊多
[2404.14-2406.46] 所以可能等3月底
[2406.70-2409.52] 他實際分配的時候會顯現在
[2409.78-2411.58] 南寶第一季的財報上
[2412.60-2413.88] 以上說明謝謝
[2416.70-2417.98] 好謝謝Hank說明
[2419.00-2423.10] 下一個投資人提問是請教一下今年資本支出的
[2423.40-2424.42] 規劃大概是怎麼樣
[2425.70-2426.72] Egan你可以打好
[2427.74-2428.78] 好那
[2429.28-2432.62] 今年的資本支出因為去年
[2432.86-2435.94] 本來就有一些計劃遞延到今年
[2436.70-2442.34] 那今年的預計是大約是11到13億台幣左右
[2442.86-2445.16] 然後目前在大陸
[2445.42-2446.18] 越南
[2446.70-2447.72] 和印度
[2447.98-2452.58] 都有新的資本支出的計劃但是計劃會橫跨多年
[2453.40-2454.94] 所以還要看
[2455.70-2457.74] 進度狀況和定
[2458.26-2459.54] 以上說明謝謝
[2463.12-2464.66] 好謝謝Hank的說明
[2465.42-2466.96] 下一個投資人提問是
[2467.48-2469.78] 半導體用膠主要是用在
[2470.04-2472.60] 成熟或先進製程
[2473.88-2474.90] 或者是封裝呢
[2477.72-2478.74] 好那
[2479.00-2481.56] 這個可能說明清楚一點
[2481.82-2483.10] 主要我們目前的
[2483.36-2486.68] 半導體用膠還是用在成熟製程比較多
[2487.20-2492.32] 那先進製程跟封裝製程都還有一些在測試中這個有些是
[2492.82-2495.38] 還不便公開
[2495.90-2498.98] 那另外這些的應用
[2499.48-2503.84] 事實上持續在發展一些
[2504.86-2508.96] 新的製程上的改善所以這個客戶
[2509.46-2511.78] 陸續都有一些提的要求
[2512.02-2513.06] 比如說有
[2513.36-2514.64] 一些要耐高溫
[2515.14-2515.92] 或者是
[2516.42-2517.46] 拉力要
[2517.70-2520.52] 變更低的這個很多的要求
[2521.04-2522.06] 以上說明
[2524.62-2526.42] 好謝謝Morris的說明
[2527.70-2529.74] 下一個投資人提問是
[2530.76-2534.86] Next Gen創新策略已經進行了一段時間了
[2535.12-2538.18] 請問目前有最更新的進展嗎
[2539.98-2542.28] 我想再分別請那個
[2542.54-2543.06] Jeffrey
[2543.36-2545.14] Morris來重點講一下
[2547.46-2548.22] 我想先講
[2548.74-2551.54] 好那我延續剛剛那個題目了就是
[2551.80-2556.42] 因為我們也跟這些大的客戶在進行一些溝通
[2557.44-2561.54] 那所謂的Next Generation的意思是說他未來
[2562.30-2563.58] 下一個階段要做什麼
[2564.34-2566.40] 那我們跟他去配合做
[2566.90-2568.70] 下一階段的一些產品
[2569.46-2573.06] 比如說我剛提的就是比如說那個
[2573.36-2574.64] 連著力的
[2574.90-2577.20] 以前可能從兩公斤
[2577.70-2579.76] 那照UV完之後可能變成
[2580.26-2581.30] 15克
[2582.06-2585.38] 那我們未來可能會做的更低
[2585.64-2586.66] 比如說做到
[2587.18-2590.26] 4克或者是個為數
[2590.50-2593.06] 持續去優化這個製程
[2593.84-2595.38] 跟客戶的一些要求
[2596.14-2600.50] 那這個有很多的新的應用在持續發酵
[2602.28-2603.06] 這是在
[2603.36-2604.38] Next Generation
[2605.14-2606.68] 半導體的一些應用
[2606.94-2612.32] 那在木工的部分也有相對的一些應用比如說我們現在在做
[2612.82-2614.10] 也可以做到
[2614.36-2616.92] 液性Liquid PUR就是
[2617.18-2618.98] 100%的固成分
[2619.22-2621.02] 但是他是液狀的
[2621.28-2623.06] 好操作
[2623.58-2627.68] 對一些濕氣比較高的木頭研著力也很好
[2628.44-2631.00] 這個是我們在一些海外的市場
[2631.26-2632.02] 目前這種
[2632.02-2632.54] 這種
[2632.54-2634.08] 礁水推廣的
[2634.58-2635.86] 成效也非常好
[2636.64-2637.92] 這個也符合
[2638.42-2640.48] 當地的一些應用
[2640.98-2643.80] 所以這個是我們在木工的Next Generation
[2644.32-2645.86] 一些相關應用
[2648.66-2652.76] 鞋子的部分其實跟Morrison這裡也是蠻
[2654.04-2657.88] 相同就是在於Next Gen是比較屬於
[2658.14-2662.50] 品牌他們對鞋子的一些性能這部分會有什麼需求啊當然
[2662.74-2663.82] 我們就是提供
[2664.08-2669.20] 礁水方案的這些配合所以在Next Gen就是跟
[2669.46-2673.80] 品牌一起合作持續這個策略跟品牌怎麼合作然後
[2674.06-2678.92] 對他們的高性能產品我們也要提供一樣的這樣的
[2680.98-2681.74] 謝謝
[2685.84-2687.62] 好謝謝兩位的說明
[2688.14-2689.42] 下一個投資人提問是
[2689.68-2691.98] 可以麻煩請管理層幫我們
[2692.54-2696.90] 了解一下我們南寶的併購策略大概是進行如何
[2697.92-2698.68] OK
[2699.70-2701.24] 我想我們核心策略就是
[2701.76-2704.82] 核心本業的延伸包括產業
[2705.60-2706.88] 應用延伸或是
[2707.14-2707.64] 原料
[2708.16-2713.28] 多樣化的延伸或是我們水平的展開延伸或是區域的延伸
[2713.78-2715.06] 還是核心系的延伸
[2715.58-2718.14] 那因為我們所在的產業相當分散
[2719.16-2722.50] 然後相對我們的國外同業是用後面這樣
[2722.80-2723.56] 後面來成長
[2724.34-2725.10] 然後這
[2725.86-2727.66] 這兩年因為我們公司的
[2727.92-2730.74] 獲利Cash Flow比較強所以這方面也有更有
[2730.98-2732.26] 子彈可以去做
[2732.52-2734.32] 那有更有後端的
[2734.58-2735.86] 系統去支持來進行
[2736.36-2737.64] 所以還是以核心市為產
[2737.90-2739.18] 最近我們買了
[2739.44-2742.00] 去年前幾年買了長索做Apple C
[2742.26-2745.32] 去年買了雲德做Apple C硬化機
[2745.58-2746.60] 也是我們數值
[2746.86-2750.44] 應用面的延伸這是一個方向Apple C的相關的產業應用
[2750.70-2751.22] 會延伸
[2751.46-2752.50] 那Apple C向後端的
[2752.80-2754.34] 後面就是產線的應用
[2754.58-2755.36] 就是
[2755.62-2757.66] 商下有產來應用這是類似這種概念
[2757.92-2758.68] 來做擴展這樣
[2760.22-2762.52] 那當然在我會考慮說
[2763.04-2764.82] 地區的文化語言或是
[2765.08-2766.36] 成長空間等等
[2766.62-2770.46] 或創新或是我們缺的技術等等的因素來考慮
[2770.72-2771.48] 這是每年
[2771.74-2777.12] 盡量再找一些新的案子來看來做那時候我們今天都有成立一個新單位叫Corporate Development
[2777.62-2779.16] 有一兩個團隊
[2779.42-2781.46] 去專心做這個Corporate Development的工作這樣
[2781.72-2782.24] 謝謝
[2782.54-2787.14] 好謝謝一粒粒的說明
[2787.66-2789.96] 那我們再次提醒線上的投資人
[2790.48-2795.86] 如果你有任何問題要請教公司的話請您點選視窗下方的問與答功能
[2796.10-2797.64] 我會隨時盡快回答
[2798.16-2800.20] 那下一個投資人提問是
[2800.46-2804.82] 請問碳纖維2024年佔營收比重為何
[2805.84-2807.38] 另外今年碳纖
[2807.88-2810.70] 碳纖維車子的應用
[2811.22-2811.72] 在
[2811.98-2812.50] 成長
[2812.80-2814.08] 大概有哪些成長
[2814.34-2816.38] 客戶群主要是在中國嗎
[2817.14-2817.66] 另外
[2817.92-2819.20] 車用上的應用
[2819.46-2820.74] 是以哪一些為主
[2820.98-2824.58] 另外今年與其碳纖維的成長幅度為何
[2826.10-2827.14] OK這個
[2827.38-2832.00] 重點講一下因為我們去年碳纖整體做的
[2833.78-2835.58] 大概都接近
[2837.12-2840.44] 一億多台幣啦不多都是在開發生物
[2841.46-2842.24] 這個有些
[2842.54-2843.56] 測試要時間
[2843.82-2844.34] 有些
[2844.58-2845.62] 過節的問題
[2846.38-2847.14] 然後
[2847.40-2848.68] 去年的開發
[2848.94-2851.24] 開發進度會慢慢的量產
[2852.26-2853.54] 所以今年度
[2854.06-2855.86] 應該有幾倍的成長
[2856.10-2856.88] 幾倍成長
[2857.90-2858.66] 然後
[2859.44-2864.56] 在車用方面我們有幾個一個是所謂改裝車就是客戶進底
[2865.32-2867.88] 然後用全碳形成方式建構他的車體
[2868.66-2870.18] 作為那個高級的
[2870.70-2871.98] 休旅車或是越野車路營車
[2871.98-2873.00] 那些
[2873.78-2875.30] 都是在大陸啦
[2875.56-2876.58] 上海市場比較大
[2876.84-2880.18] 大陸車他也是全球去這是比較高
[2880.42-2881.70] 一台就是
[2882.74-2886.06] 一兩百萬的人民幣
[2887.86-2891.18] 另外一個是做他們很流行的
[2892.20-2892.98] 他們叫
[2893.48-2899.62] 小房車或是綜合車就是裡面可以去睡覺的或是開上班的一個小型的車
[2900.66-2901.94] 類似路營車
[2902.24-2904.02] 然後他們
[2904.80-2908.90] 這個客戶是大陸的大型機車廠他們有一個部門在開發
[2909.14-2913.76] 已經design in好了預計5月要公告7月要上市
[2915.04-2917.60] 然後他們一起看一年有一萬台的
[2918.36-2922.72] 預算嘛所以這算預算能夠做到好不算如果說做到一萬台的話
[2922.98-2926.30] 那價對我們來出貨價就上億人民幣以上了
[2927.06-2928.10] 所以這是
[2929.12-2931.94] 我們盡量幫忙客戶來做好這個品質還有那個
[2932.24-2935.06] 技術成本的改善他們可以去
[2935.30-2937.10] 在市場可以取到一定的地位所以
[2938.38-2941.96] 一項一項做了那我再舉個例子像我們華鼠全台灣華鼠
[2942.22-2943.24] 現在在上站嘛大家
[2943.50-2945.30] 網上看就全球只有我們是做全台灣華鼠
[2945.54-2946.32] 就是那個品牌
[2946.82-2947.86] 那一個月銷了
[2948.10-2950.42] 幾千支吧
[2950.66-2951.94] 高價位的
[2952.20-2952.98] 那現在
[2953.22-2954.50] 那一家還不最大
[2954.76-2956.82] 填一二名知道這個
[2957.06-2960.40] 我們做他就找我們談所以這也在開發當中那都起來這個是
[2960.66-2961.68] 就好幾倍的成長
[2961.98-2964.80] 那是這個東西哪有筆電的外殼現在
[2965.30-2966.58] 已經測試了在
[2966.84-2968.64] 在幾百件在送量了
[2969.14-2970.42] 在送一些車
[2970.68-2972.74] 然後這個起來也是
[2972.98-2975.04] 也是剩1的啦
[2975.54-2979.90] 那這個品牌起來第二家店在跟著我們來合作的所以一步一步做啦
[2980.66-2986.82] 這是目前比較具體的東西那有一些需要在時間開發的那個有機會不要牽手到現在報告這樣好謝謝
[2990.14-2991.42] 好謝謝說明
[2991.98-2996.08] 我們這邊的可能最後一個提問如果沒有其他問題的話是
[2996.84-2999.92] 鞋用膠的產能分布大概是為何
[3000.68-3001.96] 產能利用率
[3002.48-3003.50] 是什麼樣的情況
[3004.02-3004.78] 是否有
[3005.30-3006.82] 因為接到更多的
[3007.60-3008.36] 新品
[3008.88-3012.46] 與品牌的訂單而有擴充的計劃呢
[3012.98-3013.48] 謝謝
[3014.76-3015.54] 這
[3015.78-3017.06] 你幫我教一下說明
[3018.86-3021.94] 產能的分布這部分其實
[3022.24-3025.30] 南寶這也是蠻齊全的其實都一直以來所以這個
[3025.56-3027.62] 不會是太大的一個
[3027.86-3030.42] 擔心點那利用率我這裡
[3033.24-3040.92] 七八整個這不是說要到底所以這個是到
[3041.18-3041.70] 四周
[3041.94-3044.76] 不是太擔心的引誘那
[3045.02-3047.32] 後面的問到說會不會接
[3047.58-3049.38] 因為接到更多的
[3049.88-3051.68] 品牌反而是有擴充
[3051.98-3053.78] 我們這個都是跟
[3054.02-3060.18] 走得蠻近的所以其實是品牌想要往哪裡走我們就會跟著走所以是
[3060.68-3062.48] 一起成長的比較這個
[3062.74-3067.60] 比較不是說我們不是在catch up的階段是跟著品牌一起
[3068.10-3070.16] 繼續擴散所以這一部分
[3071.44-3076.56] 兄弟們不要擔心就是說這個我們是比較走在前面所以都是一起合作的
[3076.82-3078.10] 我想是他們
[3078.34-3080.90] 那個大家是關係說產能夠不夠用啊
[3081.98-3084.02] 這個應該是沒問題的
[3084.28-3086.34] 我們這種小擴充就可以cover一些
[3086.58-3087.36] 比較大的成長
[3087.62-3090.18] 如果說國家表現的印度在上場
[3090.68-3092.22] 那也可以去準備好
[3092.48-3094.26] 大單進來這樣
[3097.86-3099.38] 好謝謝
[3099.90-3102.72] 謝謝Jeffrey跟Elite的詳細說明
[3103.22-3104.76] 那我們今天呢
[3105.02-3108.86] 由於時間的緣故今天的法術會可能就先到此
[3109.12-3110.14] 暫時結束
[3110.90-3111.94] 謝謝各位謝謝
[3112.24-3113.00] 謝謝大家的參與
[3113.26-3114.02] 謝謝
[3114.28-3115.06] 謝謝
[3115.56-3116.58] 謝謝
[3117.10-3118.12] 謝謝
[3118.38-3119.14] 謝謝
[3119.40-3120.42] 謝謝
[3120.68-3121.46] 謝謝
[3121.70-3123.24] 謝謝
[3123.50-3124.52] 謝謝
[3124.78-3125.54] 謝謝
