[0.00-1.36] 各位同志很晚
[1600.02-1601.82] 所以對我們來講的話
[1601.82-1606.94] 以策略上來講的話對我們來講我們還是堅持我們就是跟前世大競爭
[1606.94-1610.02] 去想辦法
[1610.06-1611.34] 同樣的產品
[1611.34-1614.66] 一樣好的產品去跟前世大的市場競爭
[1614.66-1618.50] 那至於競爭對手對我們來講的話我們也希望就我們一直在講
[1618.50-1624.90] 我們希望因為這個市場夠大系列價也夠大同業有系列價也是好事
[1624.90-1626.96] 那其實
[1626.96-1630.02] 大概也都知道現在台灣同業大概應該
[1630.02-1633.10] 在台面上應該每一家都有系列價了
[1633.10-1635.40] 而且在市面上也都在鬆樣了
[1635.40-1637.70] 甚至已經都已經出貨了
[1637.70-1640.02] 那所以這個我們還是
[1640.06-1643.64] 很謹慎的評估在應對
[1643.64-1645.44] 所以在這個情形底下因為
[1645.44-1650.30] 市場相對來講我們產品的品質口碑到今天為止在市場回饋回來
[1650.30-1652.10] 還是最好最穩定的
[1652.10-1652.86] 這是我們
[1652.86-1654.40] 目前最大的優勢
[1654.40-1656.18] 那所以也是看我們
[1656.18-1658.50] 為什麼還是在
[1658.50-1661.30] 比較積極的擴現因為這市場的
[1661.30-1664.38] 把握度還蠻高的市場反而不錯
[1664.38-1667.46] 那同時間市場的產品算
[1667.46-1670.02] 氣味膠裡面也算比較高規格的
[1670.06-1671.34] 產品
[1671.34-1675.44] 那如果說客人夠大他有必要他導不同規格的產品
[1675.44-1677.22] 他的產品組的那一塊
[1677.22-1680.04] 那對我們來講也是樂觀其成
[1680.04-1682.10] 那所以市場的策略還是
[1682.10-1686.70] 還是回到一句市場我們做的時候我們還是希望把我們的產品做到
[1686.70-1687.98] 世界等級的產品
[1687.98-1689.78] 我們的目標是跟
[1689.78-1691.56] 全市大一起競爭
[1691.56-1693.36] 全市大現在市場任何
[1693.36-1696.42] 還是應該七八成市場任何那個還是
[1696.42-1698.22] 我們要去努力的方向
[1700.06-1701.86] 那我看這個
[1701.86-1703.06] 就是
[1703.06-1703.90] 好
[1703.90-1704.92] 好的
[1704.92-1710.04] 那我想請教一下這個老花多礁閃光是今年
[1710.04-1711.32] 就是這個
[1711.32-1713.88] 比較立即型的這個產品是今年的一個
[1713.88-1716.18] 掌控的一個動能
[1716.18-1720.28] 那可以講一下就是24年25年就是公司希望
[1720.28-1724.38] 這個這三個產品的占比大概提升到一個什麼樣的程度
[1724.38-1725.62] 那個
[1725.62-1727.46] 這個產品的占比大概提升到一個什麼樣的程度
[1727.46-1730.02] 這個
[1730.02-1734.62] 占比的部分我們比較不方便去用數字來推估
[1734.62-1735.66] 那我們只能
[1735.66-1739.50] 說我們從去年第四季開始日本先
[1739.50-1742.30] 第一家客戶開始出貨之後今年
[1742.30-1744.10] 至少還會有
[1744.10-1746.40] 兩到五家客人會開始
[1746.40-1749.98] 拿這個閃光這樣子的產品因為就像
[1749.98-1752.04] 剛剛提了他們窮麵片
[1752.04-1756.38] 已經賣到一個程度他就會希望增加擴充他的
[1756.38-1759.98] 新產品的品項去拉近更多的消費者
[1760.02-1764.62] 好以上
[1764.62-1774.86] 我想稍微請教一下我們關於營業費用的部分我們今年有預計說會增加多少
[1774.86-1775.64] 然後
[1775.64-1781.78] 去年第四季營業費用也有比較高銷售費用部分相對高一點
[1781.78-1785.88] 因為剛講的沒有韓團的代言還是有其他原因嗎
[1785.88-1787.92] 那先問這個
[1787.92-1789.98] 但是
[1790.02-1793.86] 行銷費用主要是剛好提的就是韓團的代言
[1793.86-1797.70] 那以前就是中國有推到線上的銷售
[1797.70-1801.02] 那這個部分預計他
[1801.02-1803.58] 今年的情況應該
[1803.58-1807.42] 不會再更多因為大概就是只是維持這樣一個比例
[1807.42-1809.48] 那整個營業費用率之前
[1809.48-1812.04] 以今年來講大概是降到了17%
[1812.04-1815.88] 那預計今年的情況應該有機會大概在維持
[1815.88-1817.66] 20%以下的
[1817.66-1819.46] 可以維持這樣的水準
[1820.02-1822.58] 看起來絕對金額應該差不多
[1822.58-1823.86] 沒有再提升
[1823.86-1828.98] 那想再追問一個我看我們稅率的波動是不是也比較大一點
[1828.98-1830.78] 想問一下稅率通常
[1830.78-1832.56] 影響的是什麼
[1832.56-1836.40] 剛剛有提到就是我們馬來西亞當地有投資低減
[1836.40-1839.22] 他們當地是如果你每投資100塊
[1839.22-1842.30] 可以有60%可以去做投資低減
[1842.30-1845.10] 在城上他們馬來西亞的稅率是24%
[1845.10-1849.20] 所以只要我投資100塊我大概就會有14塊的一個
[1849.20-1849.98] 所得稅的利益
[1850.02-1851.04] 產生
[1851.04-1855.90] 但是這個部分要隨著擴限的資本支出的投入才可以有相關的
[1855.90-1857.18] 的貢獻
[1857.18-1861.02] 那他會看設備驗收那個時間點所以他不太會
[1861.02-1861.80] 有
[1861.80-1865.12] 一定會在哪一季產生
[1865.12-1868.20] 那相關的低減今年會看到嗎
[1868.20-1872.30] 只要有擴限像今年有擴限就會有產生新的投資低減機會
[1872.30-1875.36] 好了解謝謝
[1875.36-1877.42] 不好意思請教一下就是因為我們
[1877.42-1879.98] 去年那個堂級獲得的成績是多少
[1880.02-1882.58] 我們今年長多了大概是50%的YY
[1882.58-1887.44] 那跟今年比我們今年在堂級獲得的部分有沒有看到比較
[1887.44-1888.72] 爆發性的成長
[1888.72-1892.56] 另外一個是說因為我們在閃光片的日本的部分
[1892.56-1894.62] 一開始好像只有推50間嘛
[1894.62-1897.18] 那我們現在推到2000間
[1897.18-1899.74] 那像這樣子的一個成長
[1899.74-1901.78] 可以看到什麼樣子的一個貢獻
[1901.78-1908.18] 那再來就是說我們美國的部分因為過往其實在世大一直在世光中心有一些
[1908.18-1909.20] 話語權
[1909.20-1913.04] 那像未來這一塊我們有沒有什麼辦法就是說
[1913.04-1917.40] 能夠看到更明顯去強占或是瓜分他們在美國
[1917.40-1920.46] 世光中心跟醫生這樣配合啊或者是
[1920.46-1922.00] 這樣的一個狀況
[1922.00-1925.58] 是吧
[1925.58-1927.12] 稍微稍微
[1927.12-1933.26] 稍微調整修正一下沒有不是堂級科的不是單一堂級科的只是一個實體的
[1933.26-1934.28] 單一通路
[1934.28-1936.84] 所以你剛才問的是日本整個市場
[1936.84-1938.12] 還是
[1939.20-1941.24] 日本的
[1941.24-1942.02] 電視
[1942.02-1942.78] 成長
[1942.78-1943.30] 不是
[1943.30-1944.06] 不是
[1944.06-1946.36] 上一次訪說的
[1946.36-1952.52] 對我們來講其實我們不會沒有看到那麼細啦對我們來講因為我們總部這邊我們看
[1952.52-1955.08] 堂級科的只是剛才講的他有醫師
[1955.08-1957.38] 如果我們看整個堂級科的
[1957.38-1959.94] 還有醫師通路還有那個那個
[1959.94-1960.96] 線上通路
[1960.96-1964.54] 那你堂級科的可能是講的是我們自由品牌
[1964.54-1967.62] 所以AI在堂級科的賣得量的增加
[1967.62-1968.64] 那是yes
[1968.64-1969.16] 但是整個
[1969.16-1971.72] 那個Total scope的話那個應該
[1971.72-1972.48] 應該
[1972.48-1975.30] 不是堂級科的佔比可能還沒有那麼大
[1975.30-1978.88] 所以我不想你想要了解是哪一塊我們等一下再補充
[1978.88-1983.24] 那如果說回到說散光這一塊的話
[1983.24-1989.38] 其實散光剛才講不管50到2000其實那個是某一個客人某個通路這要看客人的整個
[1989.38-1990.16] 整個
[1990.16-1995.52] 貨的速度那當然老實講也是跟我們供貨有關我們現在有一些
[1995.52-1996.30] 貨
[1996.30-1998.86] 其實我們產線現在還是在在
[1998.86-1999.88] 貨因為
[1999.88-2002.44] 散光突然間市場需求量比較大
[2002.70-2006.28] 那從我們來看的話其實散光片
[2006.28-2011.14] 要比較有顯著貢獻老實講會到今年下半年才會出來
[2011.40-2012.68] 因為我們
[2012.68-2015.50] 貨線還有市場需求還有市場反應這一塊
[2015.50-2022.92] 那所以整個散光片的對營收的貢獻度的話可能會在今年下半年才會顯著的出來
[2023.18-2028.04] 那可能最快可能到Q2的部分
[2028.04-2028.82] 那
[2028.86-2033.46] 所以上半年這一塊的話可能還是採訪是我們最主要的主力
[2033.46-2035.78] 那美國那一塊的話呢
[2035.78-2037.06] 的確美國
[2037.06-2040.64] 美國的確是一個比較比較辛苦的市場
[2040.64-2043.96] 那老實講我們現在美國的客人還是都是線上客人
[2043.96-2045.50] 那一塊突破的話
[2045.50-2046.78] 我們還
[2046.78-2048.82] 老實講現在還沒有什麼想法
[2048.82-2053.94] 對啊我們還是希望在美國能夠找到有願意走線下私底通路的
[2053.94-2056.76] 客人可以跟他一起搭配因為我們畢竟我們
[2056.76-2058.82] 全面盡老花散光都好了這就是我們現在的目的
[2058.86-2061.68] 這三個產品都要有你才能夠去線下
[2061.68-2063.98] 那這個的話我們希望在
[2063.98-2066.80] 產品好了以後再往下再去進攻
[2066.80-2067.82] 抱歉
[2067.82-2068.84] 後面有問題
[2080.10-2084.72] 謝謝想請教管理層第一個我們那個優化10%
[2084.72-2086.26] 是怎麼做到的
[2086.26-2088.56] 還有就是說接下來還有沒有可能在優化的部分呢?
[2088.86-2090.40] 優化
[2090.40-2096.54] 就是說你那個46 million的那個新的產能那個資本支出要多少?
[2096.54-2099.86] 就是400萬片的那個資本支出
[2099.86-2104.74] 那另外一個問題是有關於未來研發的方向
[2104.74-2108.06] 還有就是說這個研發的能力是現在是怎麼樣?
[2108.06-2108.82] 謝謝
[2108.82-2110.62] 每百萬片多少?
[2110.62-2116.00] 每百萬片7000到9000
[2116.00-2118.56] 好
[2118.56-2121.38] 感謝這個投資者的提問
[2121.38-2124.44] 第二個問題我們那個10%的提升當然就是
[2124.44-2128.80] 主要有兩塊一個就是當我們一直有工程人員提升我們的那個
[2128.80-2130.34] 生產的良率
[2130.34-2134.44] 那這個部分就是去年三四季算有蠻明顯的
[2134.44-2136.48] 進步那今年還是會在
[2136.48-2138.28] 持續在提升
[2138.28-2140.06] 那另外一塊就是那個
[2140.06-2144.16] 設備的那個cycle time就是他原本比如說
[2144.16-2146.20] 做一片只要
[2146.20-2148.52] 兩秒然後可能把它提升到1.9或1.5秒
[2148.56-2151.88] 類似是這樣子的方向
[2151.88-2155.48] 然後第二個就是那個資本支出的部分我們大概
[2155.48-2158.04] 增加個100萬的
[2158.04-2162.12] 良品產出大概是7000萬到9000萬台幣之間
[2162.12-2164.44] 那我也看我們那個
[2164.44-2169.80] 就是對那個現體設計的需求可能有包含閃光啊或包含彩拋或是
[2169.80-2171.34] 其他的全部都包進去
[2171.34-2172.88] 大概是在這個
[2172.88-2174.68] 這個區間
[2174.68-2178.52] 那我們今年研發的重點其實就是
[2178.56-2179.84] 就是
[2179.84-2185.22] 在閃光片這邊就今年生意的市場很好所以會投入比較多
[2185.22-2188.28] 去做一些他開始生產之後的這些
[2188.28-2192.38] 良率的改善然後讓這個生產的效益更好
[2192.38-2194.18] 那另外一塊就是
[2194.18-2196.48] 在彩拋的部分
[2196.48-2200.32] 因為彩拋我們雖然今年已經去年已經成長到占
[2200.32-2201.34] 30%
[2201.34-2204.16] 但是你看國內的進場大概都
[2204.16-2206.72] 彩拋占比都大概超過50%
[2206.72-2208.00] 那我們
[2208.00-2208.52] 之前
[2208.56-2209.84] 是比較
[2209.84-2212.92] 以做舒適性為主所以就把透片那邊
[2212.92-2215.72] 舒適性已經做得很好那接下來這
[2215.72-2220.84] 這兩三年從去年前年開始其實我們就比較有把研發的重心放在
[2220.84-2223.16] 彩拋這邊去把這個
[2223.16-2224.44] 圖紋的
[2224.44-2225.96] 飽和度跟
[2225.96-2229.56] 跟他的技術做到比較符合市場客人需求的
[2229.56-2234.16] 所以今年這一塊應該是我們會投入比較多心力的部分
[2234.16-2234.68] 以上
[2238.56-2249.56] 謝謝
[2249.56-2250.84] 謝謝
[2250.84-2254.68] 因為我們還有投資人要繼續提問嗎
[2254.68-2255.72] 已經有每月提問
[2255.72-2257.76] 因為機會還蠻好的
[2257.76-2259.56] 對
[2259.56-2263.40] 謝謝
[2263.40-2268.00] 不好意思可能問一個比較基本的問題就是30%的彩拋啊你投的還行嗎?
[2268.56-2269.84] 細水膠的
[2269.84-2271.12] 是彩片的
[2271.12-2272.92] 注入多少
[2272.92-2274.96] 彩拋現在占我們的
[2274.96-2275.72] value
[2275.72-2278.28] 10的部分是30%嘛
[2278.28-2279.06] 我想要
[2279.06-2283.66] 可以請教一下就是細水膠是彩片的部分是有多少
[2283.66-2292.36] 水彩膠占2%
[2292.36-2294.68] 水膠彩拋大概是占2%
[2294.68-2297.24] 所以細彩其他都是細彩
[2297.24-2298.52] OK
[2298.56-2300.60] 因為我們水彩
[2300.60-2304.96] 水膠彩片的話是占total的revenue2%
[2304.96-2305.72] 是的
[2305.72-2311.88] 所以再請教一下
[2311.88-2314.68] 可以再把它拆分一下就是我們現在的
[2314.68-2317.76] 42個million的數字啊
[2317.76-2320.32] 大概現在水膠還有多少
[2320.32-2322.36] 然後細水膠有多少
[2322.36-2327.24] 然後如果我們到46個million的話大概有什麼樣子的一個改變
[2327.24-2328.52] 這個
[2328.52-2329.28] 這個
[2329.28-2330.06] 這個
[2330.06-2334.66] 這個絕對數字比較難說明是因為我們每個月的需求就是擺
[2334.66-2336.46] 訂單的需求就會去
[2336.46-2339.02] 調整基本上我們的產線就是
[2339.02-2340.80] 所有的產品都可以
[2340.80-2344.14] 水膠細水膠都可以做
[2344.14-2344.90] 對
[2344.90-2346.96] 其實有些的部分的生產的
[2346.96-2348.48] 限時可以是共用的嘛
[2348.48-2350.02] 對我們的是
[2350.02-2352.08] 常常大家都是這樣講
[2352.08-2355.14] 我的意思是說後面有些部分是不行的
[2355.14-2357.44] 所以我們還是想知道說其實
[2357.44-2358.48] 在共用算不算是
[2358.52-2361.08] 您剛所提到就是我們家就是
[2361.08-2362.62] Elon說有這個
[2362.62-2365.94] 馬幣的一個currency的干擾但是我們還是
[2365.94-2369.02] delivered了一個一直improve的Growth Margin
[2369.02-2370.80] 所以第一個我想Perdamics嘛
[2370.80-2373.62] 我自己不曉得是不是這樣現在就是
[2373.62-2375.92] 您剛所提到的生產的效率
[2375.92-2379.52] 在這個部分因為我們記得以前就是水膠那邊可以一直轉
[2379.52-2381.56] 就是可以生產共用的部分
[2381.56-2383.60] 所以我只想要知道說
[2383.60-2384.88] 那我們現在
[2384.88-2385.92] 在整個的
[2385.92-2387.20] 規劃上面來講
[2387.20-2388.48] 細水膠現在水膠的效率是很低的
[2388.52-2392.10] 水膠本身我們大概會只留多少%的營收
[2392.10-2394.16] 就是基本營收呢還是
[2394.16-2395.94] 用基本成量做的一段跨
[2395.94-2400.80] 我們現在如果產能來說的話我們這4200裡面就是有
[2400.80-2404.64] 1000萬片可以做採泡
[2404.64-2405.68] 這好像意思都是
[2405.68-2406.96] 3600的時候是不是也說
[2406.96-2411.04] 3800的時候也是也是1000萬片可以做採泡
[2411.04-2412.84] 對所以我們這是
[2412.84-2414.64] 增加的這10%
[2414.64-2416.42] 大部分都是
[2416.42-2418.48] 透明片的
[2418.52-2419.54] 產能這樣
[2419.54-2422.88] 是這樣因為比較有perceptibility是不是
[2422.88-2423.64] 沒有現在
[2423.64-2427.22] 這樣講好了因為如果你想透明片
[2427.22-2430.30] 透明片其實裡面含老花跟閃光
[2430.30-2433.62] 那如果說其實我們的線體如果講到
[2433.62-2438.48] 透明片那一塊其實不管水膠水膠還是什麼東西都是共用的
[2438.48-2441.04] 那到老花也是共用的
[2441.04-2444.64] 你今天唯一不一樣是閃光片要多一個模組
[2444.64-2448.48] 然後採泡要多一個模組在後面要多一個模組的
[2448.52-2453.90] 那所以對我們來講市場反應其實比較難不要花時間是前面這一塊
[2453.90-2457.74] 那後面那一塊其實我們要變動是比較快一點的
[2457.74-2461.58] 所以剛才講現在採泡是1000萬片
[2461.58-2466.44] 但是如果市場的需求真的我們focus看到後面我們只要後面再加一個模組
[2466.44-2469.52] 採泡線的產能就可以把那一般透明片
[2469.52-2472.32] 再把採泡片的產能給增加
[2472.32-2476.94] 那同時你把採泡那個module把它關掉你就剩產透明片
[2478.52-2483.12] 所以這個反過來講這也是台灣廠商的
[2483.12-2487.22] 用途模組化的自動化所以你變動就很快
[2487.22-2491.58] 那你如果像前世當然全自動化你大概就很像這樣
[2491.58-2493.88] 靈活性的調整
[2493.88-2498.48] 我們剛剛講到7000到9000萬
[2498.48-2502.08] 就是per 1 million pieces這個數字
[2502.08-2508.48] 這個數字的話是已經把他的庭戶就是有可能會是模組的部分就是閃光加老花
[2508.52-2510.56] 加彩片在這個裡頭的話
[2510.56-2514.66] 所以在這個你看的話一個範圍
[2514.66-2523.12] 那再問一個就是日本市場現在四大的一個市佔大概多少
[2523.12-2527.72] 日本四大的市佔
[2527.72-2534.64] 詳細的數字我們可能要查一下那個調查報告
[2534.64-2537.96] 不過他那邊的就是private level因為日本他其實
[2537.96-2538.48] 通路很高
[2538.48-2539.50] 他通路很多元
[2539.50-2542.58] 所以線上還有實體的還有
[2542.58-2544.88] 眼科通路其實
[2544.88-2547.44] 我覺得現在
[2547.44-2551.54] 應該還有個大概六七成
[2551.54-2556.66] 四大的如果revenue的佔比
[2556.66-2558.20] 但他相較
[2558.20-2563.82] 比如說相較美國他就佔比就相對低很多美國幾乎就全部都是
[2563.82-2565.88] 四大會到90幾%
[2565.88-2567.66] 因為他完全都是走
[2567.66-2568.44] 眼科通路
[2568.44-2570.48] 就是意思要開除房間的通路
[2570.48-2575.10] 這樣
[2575.10-2578.68] 再問一個問題就是我們去年其實
[2578.94-2582.78] 聽到台灣同業蠻多在中國都有做這個降價的動作
[2583.04-2584.56] 那可是當地的競爭這種
[2584.82-2587.90] 那不知道我們去年在中國我們有沒有做過降價
[2588.16-2589.44] 那以及未來如果
[2589.68-2594.56] 中國這邊的成長性一直不太不太好我們會不會考慮去做降價的部分
[2595.06-2595.58] 以上
[2595.58-2601.98] 就我們的狀況是去年的確我們有幾個
[2602.24-2606.34] 策略性的客人所以策略性就是他在當地的品牌或是他
[2606.58-2607.62] 水膠已經
[2607.86-2610.94] 算是量體蠻大的那我們希望他去推
[2611.20-2613.24] 汽水膠我們會給他一些
[2613.76-2615.54] 比較特殊的
[2615.80-2617.34] 行銷上的支持
[2617.60-2621.94] 他的確整個去年走下來只有一兩個客戶算是量
[2622.20-2622.98] 有
[2623.22-2625.02] 有出一些量但是
[2625.58-2630.18] 實際上比我們預期的還是還是沒有達到我們的目標
[2630.44-2633.52] 所以像我們今年這些行銷上的支持我們就
[2633.78-2635.06] 有陸續把它
[2635.30-2636.08] 取消掉這樣
[2636.34-2638.12] 那我們現在中國那邊的動能
[2638.38-2638.90] 就是
[2639.14-2641.46] 就是像剛剛講的就是我們已經做了
[2641.70-2644.52] 很多年的舊客人看起來這個品項的
[2644.78-2648.36] 汽水膠的舒適性還是很好他們的舊客戶的數量
[2648.62-2650.66] 還是一直有在增加所以我們那邊
[2650.92-2652.46] 現在主要成長會來自於
[2653.48-2655.54] 舊客人這邊那舊客人這邊當然
[2655.84-2657.88] 價格上就不會有太大的
[2658.14-2660.18] 的波動所以我們是
[2660.44-2663.26] 剛您提的那個是就我的理解是比較像是
[2663.52-2664.80] 水膠那邊的
[2665.06-2667.36] 競爭是相對是激烈很多
[2672.98-2677.08] 我還想再追問一下我們去年降這個幅度大概降到大概多少
[2677.34-2677.86] 跟
[2678.36-2679.90] 比如說水膠這個產品的
[2680.16-2680.66] 這種
[2680.92-2682.20] 差距大概會到多大
[2682.46-2682.98] 謝謝
[2684.26-2685.54] 不好意思你是指說
[2685.84-2688.40] 我們的售價跟水膠的售價是說我們
[2688.66-2690.70] 行銷支持的那個占比
[2691.22-2691.98] 我們
[2692.24-2693.00] 我們的報價
[2694.02-2695.56] 我們的報價部分
[2696.34-2699.92] 跟比如說同業水膠的那個其實我們
[2700.18-2701.70] 我們的價格還是比水膠高啦
[2701.96-2703.50] 這是第一個確定的
[2703.76-2707.08] 那第二個的話其實我們沒有說什麼降價
[2707.34-2710.92] 其實我們對一直以來老客人那一塊其實我們沒有什麼
[2711.44-2713.48] 任何的調價
[2713.74-2714.50] 而對我們來講
[2714.76-2715.54] 生產就是價格
[2715.84-2718.66] 價格的量關係喔那你的量如果卡密多我們就會
[2718.90-2719.42] 但是
[2719.68-2721.22] 已就客人這一塊的話
[2721.46-2722.50] 我們是沒有
[2722.74-2723.78] 那
[2724.02-2727.86] 再來的話就是新客人譬如說新客人他要
[2728.12-2729.40] 新產品上市就跟他
[2729.66-2730.42] 談大撈
[2730.68-2732.74] 閃光要新上市要交易
[2732.98-2734.52] 市場這一塊我們會給
[2734.78-2735.30] 支持
[2735.54-2739.14] 所以我們有的只是新客人要上的時候我們會給行銷的
[2739.64-2741.94] 我們並不是上價我們是給行銷支持
[2742.72-2744.76] 那行銷支持他如果有做到的話
[2745.02-2747.32] 就會繼續支持大家談定一個目標
[2747.58-2750.14] 那沒有談到的沒有做的話其實我們就把
[2750.40-2752.18] 把那行銷支持給取消掉
[2752.44-2755.00] 所以我們並沒有說降價降回來就
[2755.26-2757.56] 我們行銷支持做到就繼續支持
[2757.82-2758.58] 做不到就
[2758.84-2760.12] 所以對我們來講那個是
[2760.64-2763.44] 不動心了所以整體上來講其實
[2763.70-2764.98] 我們的價格並沒有
[2765.24-2766.26] 很大的過度
[2767.04-2767.80] 謝謝
[2772.16-2773.94] 因為我們時間的關係我們
[2774.20-2774.72] 最後一個提問
[2775.02-2775.78] 是
[2782.18-2788.32] 總理長從4200萬到4600萬給我們一個想法這樣大概
[2788.58-2789.36] 今年的
[2790.12-2793.44] 這樣的差異來講營收以一年來講大概
[2793.70-2798.06] 不管你們所有產品混在裡面有沒有一個rubbery可以增加多少
[2801.38-2804.46] 這樣講好了去年去年的產能3800萬
[2804.76-2808.60] 今年4200萬到第四季的4600萬
[2808.86-2812.96] 如果沒有太多的今年走的
[2813.20-2813.98] Expand
[2814.24-2816.28] 川普那邊不要出太大問題
[2816.54-2818.32] 把經濟全球經濟搞爛了
[2818.84-2824.72] 那如果說沒有太大的意外那我們公司的產能利用率還是維持在現在9成以上
[2824.98-2828.32] 我想這個大概能量看起來就大概是一個指標在那邊
[2829.60-2833.18] 而且那也是我們公司的希望我們不希望我們的產能利用率
[2833.44-2833.94] 我們希望
[2834.20-2834.72] 公司產能利用率
[2834.96-2836.30] 還是維持在9成以上
[2839.36-2845.26] 好的非常感謝各位同志的熱烈參與非常感謝公司方的一個熱烈的回應
[2845.52-2851.66] 因為時間的關係那我們接著一個會議就到此為止如果私底下還有一些問題想要再請教公司方的話
[2851.92-2852.42] 我們
[2852.68-2853.70] 大概
[2854.22-2859.34] 在這邊大概8個10分鐘之後因為我們下一場的關係可能我們就要請各位移駕到外面去
[2859.60-2860.62] 謝謝各位謝謝
