[0.24-5.12] 长荣钢铁股费有限公司法人说明会会议开始
[1605.76-1608.08] 伺服的交互量
[1608.08-1611.92] 那事实上他们自己也一直在努力在接一些外面的一些
[1611.92-1614.48] 另外的一些所谓的
[1614.48-1617.04] 失业废弃物的量那个价格是比较高的
[1617.08-1619.38] 那这部分来讲
[1619.38-1623.22] 当然可以确保他的本身的不管是
[1623.22-1624.00] 运转
[1624.00-1624.76] 或是
[1624.76-1626.56] 或是营收或是获利
[1626.56-1628.08] 应该还是都可以
[1628.08-1629.36] 非常的稳定
[1629.36-1631.42] 那可以所以可以说
[1631.42-1632.70] 三家子公司
[1632.70-1633.98] 还有包括说
[1633.98-1635.26] 我们的本业
[1635.26-1638.32] 在这个所谓的贡献上应该
[1638.32-1639.86] 今年应该还是会有一个
[1639.86-1641.40] 不错的成绩
[1641.40-1642.94] 以上说明谢谢
[1647.08-1650.40] 对的这个问题是
[1650.40-1652.46] 说113年度
[1652.46-1654.50] 虽然刚过了收入
[1654.50-1656.04] 选择
[1656.04-1658.34] 选择了一个成长
[1658.34-1661.16] 让获利仅小提升
[1661.16-1663.98] 毛利率下滑是为
[1663.98-1666.54] 是我为短期的现象
[1666.54-1670.88] 公司毛利率未来是我有望回到
[1670.88-1672.94] 112年的
[1672.94-1674.98] 年度的一个水准
[1674.98-1676.78] 有关这个题目的话
[1676.78-1679.34] 我当然请我们总经理来做个说明
[1683.44-1687.54] 我想112年本身来讲
[1687.54-1689.84] 因为他当初他
[1689.84-1690.60] 这个
[1690.60-1692.40] 吊装跟营收的案件
[1692.40-1693.42] 事实上是
[1693.42-1694.44] 都是
[1694.44-1697.52] 毛利最高的收接的单子
[1697.52-1701.36] 然后当然他业主追加在事实上在
[1701.36-1704.42] 112年也是一个高峰
[1704.42-1706.22] 所以他本身来讲
[1706.22-1706.74] 他有
[1706.74-1708.02] 比较高的毛利率
[1708.02-1710.06] 他的获利表现也会比较好
[1710.06-1711.60] 那是可以说他是
[1711.60-1714.16] 历来的一个高基期
[1714.16-1716.98] 然后但是后来我想
[1716.98-1721.34] 因为整个政府的一个房市管制措施
[1721.34-1723.90] 还有市场一个竞争之下
[1723.90-1726.20] 我当中在
[1726.20-1730.04] 111年我两次法税会那个时候
[1730.04-1732.60] 我提到在手订单的量
[1732.60-1736.44] 我印象中在上半年应该是差不多16万多左右
[1736.74-1739.04] 在手订单量
[1739.04-1741.60] 刚才我有报告我现在在手订单
[1741.60-1743.14] 是23万多
[1743.14-1748.78] 然后在111年的上半年那个时候是16万
[1748.78-1751.34] 下半年是18万
[1751.34-1755.68] 在那个时候其实就是我们会感觉到
[1755.68-1757.98] 案量没有那么多出来
[1757.98-1760.80] 所以那个时候我们事实上也不瞒各位说想
[1760.80-1763.10] 在所谓的接单策略上
[1763.10-1764.38] 我们会做调整
[1764.38-1766.18] 那个时候我们就适度的调低我们的毛利率
[1766.18-1766.70] 那个时候我们就适度的调低我们的毛利率
[1766.70-1768.74] 去做结单
[1768.74-1769.78] 那些单子
[1769.78-1772.34] 他事实上在
[1772.34-1774.12] 去年
[1774.12-1776.68] 就产生就是产出了
[1776.68-1777.46] 产出
[1777.46-1780.26] 那当然我的毛利率就会稍微降一点
[1780.26-1781.54] 这个是
[1781.54-1783.60] 面对市场的变化我们
[1783.60-1786.42] 随时会激动的去做一个调整
[1786.42-1788.98] 我们也不能说一成不变
[1788.98-1792.56] 我不能说坚守的为一定要多少毛利才接
[1792.56-1794.34] 那到后来我接不到案子
[1794.34-1796.66] 我想我相信公司经营也不利
[1796.70-1802.08] 那到目前来看虽然我们
[1802.08-1804.12] 113年
[1804.12-1808.98] 虽然说他的本身毛利率是比114年低的
[1808.98-1811.30] 但是我们因为我们的量
[1811.30-1813.60] 比那一年还高比113年高
[1813.60-1815.14] 所以我们整体获利
[1815.14-1816.66] 事实上还是
[1816.66-1818.72] 还是算不错的
[1818.72-1824.34] 那一般而言我们我想我们每个案子在接单的时候他的困难度他的
[1824.34-1826.14] 接单时机都不一样
[1826.14-1827.94] 他的毛利
[1827.94-1828.70] 也会不一样
[1828.70-1832.28] 当然包括我刚才讲的我的接单策略也会影响他的毛利
[1832.28-1837.14] 然后事实上来讲我在上一次法税会我有报告过
[1837.14-1838.94] 事实上以往一般
[1838.94-1842.52] 刚购的毛利率大概都是7到10几
[1842.52-1845.60] 11%吧顶多
[1845.60-1846.88] 那事实上
[1846.88-1849.44] 这几年因为中美贸易
[1849.44-1851.48] 还有我们一直讲的
[1851.48-1852.76] 疫情轰厉
[1852.76-1855.58] 其实产生一个很意外的结果就是
[1855.58-1856.10] 这几年
[1856.10-1857.12] 刚购这么好
[1857.12-1859.18] 这几年我们毛利率那么高
[1859.18-1862.24] 那我三次也抵了你要说这能维持多久
[1862.24-1864.54] 我相信这个还是要看后面整个
[1864.54-1867.36] 经济的一个状况
[1867.36-1868.38] 我想
[1868.38-1871.46] 市场经济
[1871.46-1873.00] 景气好不好
[1873.00-1875.56] 或是现在政府所谓的房市政策
[1875.56-1877.60] 会不会引引到整个房市推案
[1877.60-1880.42] 这个当然我们会持续来做一个观察
[1880.42-1881.70] 那当然希望
[1881.70-1885.54] 我们会希望说能够一直维持的高毛利时代
[1885.54-1886.56] 然后
[1886.56-1888.36] 就算没有那我们会
[1888.36-1889.64] 慎选
[1889.64-1890.40] 订单
[1890.40-1892.70] 维持我们一定的一个获利
[1892.70-1895.02] 那至于你问我说是不是
[1895.02-1897.06] 可以一直维这么高我刚才提到
[1897.06-1897.82] 我觉得
[1897.82-1898.86] 我个人是
[1898.86-1900.90] 一直希望但是我觉得应该很难
[1900.90-1902.18] 但是我们会
[1902.18-1903.98] 透过我们各种管理去
[1903.98-1904.48] 把
[1904.48-1905.50] 公司的获利
[1905.50-1907.82] 维持一定的一个稳定
[1907.82-1908.58] 以上
[1915.54-1919.64] 114年度认列的现金股利收入
[1920.40-1922.96] 会较去年增加多少
[1923.22-1926.04] 那有关于这个题目我请我们庄学立
[1926.30-1927.32] 来做个说明
[1930.38-1935.50] 目前各转投资公司已经公布预计分配的现金股利来估算
[1936.02-1939.34] 114年度我们可以收到的股利收入呢
[1939.34-1941.14] 于新台币10亿元
[1941.14-1944.46] 比去年同期增加新台币5亿元左右谢谢
[1945.54-1947.84] 114年度我们可以收到的现金股利来估算
[1948.10-1949.12] 114年度我们可以收到的现金股利来估算
[1949.90-1950.92] 问题是
[1951.42-1952.20] 请说明
[1952.96-1956.54] 美国近期的这个关税政策
[1957.06-1959.10] 对公司及产业的
[1959.36-1961.42] 影响及因应对策
[1961.92-1965.26] 有关于这个题目我请我们从进来做个说明
[1965.76-1966.28] 谢谢
[1968.58-1970.12] 我想现在大家
[1970.38-1971.40] 最担心的
[1971.66-1972.42] 就是
[1972.94-1974.72] 对等关税的一个不确定性
[1975.54-1977.34] 事实上长期来看如果说
[1977.58-1978.62] 对等关税
[1979.12-1982.70] 决定的时候may be我想很多东西会回复常态
[1983.22-1985.26] 因为我想人生活毕竟经济活动
[1985.52-1987.06] 事实上是会一直走下去的
[1987.82-1991.66] 那我想我先说明不管是我们的刚购本业
[1991.92-1993.98] 或是我们转投资的环保事业
[1994.22-1994.74] 这个
[1995.00-1996.54] 都是属于内需型的产业
[1997.82-1999.86] 那我想关税
[2000.12-2001.40] 不会直接打到我们
[2001.90-2003.70] 跟我们也没有直接的一个关系
[2004.22-2005.50] 那当然
[2005.80-2006.56] 这个
[2007.08-2008.86] 这个整体对我们的影响
[2009.12-2009.90] 长期会怎么讲
[2010.92-2012.20] 其实真的现在还看不出来
[2013.74-2016.30] 然后事实上我刚才提到的一个
[2016.80-2017.58] 疫情红利
[2018.08-2020.38] 事实上在疫情刚开始发生的时候
[2020.90-2023.46] 大家都还蛮担心我们会不会受疫情影响
[2023.72-2025.50] 让我们本身获利降低
[2025.76-2026.78] 结果后来不是啊
[2027.04-2028.06] 反而是提高了
[2028.58-2032.68] 所以未来会不会搞不好弄出一个关税的红利这个我们是不知道
[2032.94-2034.22] 但是我想这个
[2034.72-2035.50] 长期他对
[2035.80-2037.58] 经济的一个影响我们能做的
[2038.10-2039.12] 就是持续观察
[2040.14-2041.94] 然后随时去应变
[2043.48-2044.24] 那当然
[2044.76-2047.32] 事实上来讲当然我们也考虑过
[2047.82-2051.16] 这个事实上这个关税等关税一出来没比
[2051.42-2054.74] 影响到整个所谓的景气会产生大变化
[2055.26-2056.02] 那我想
[2056.78-2058.58] 景气如果往下走
[2059.34-2060.12] 那事实上
[2060.38-2062.16] 大家命令的都是一样的问题
[2062.94-2065.50] 我认为说如果百业萧条
[2065.80-2067.34] 我们也没办法独善其身
[2067.84-2068.86] 但是我相信
[2069.12-2071.68] 这个应该不会发生应该大家
[2071.94-2074.76] 都会有智慧的去面对这些问题
[2075.02-2076.30] 事实上大家也知道
[2076.54-2079.36] 现在我想美国他的对等关税的政策
[2079.62-2080.38] 也是在那边
[2080.64-2081.66] 因应大家
[2082.18-2084.48] 的这个状况可能会去做一些调整
[2085.00-2087.56] 事实上这个对他美国也不一定有利的
[2087.82-2089.60] 那这是我们的一个看法
[2090.12-2090.88] 以上报告
[2095.80-2096.30] 是
[2097.34-2100.92] 水美在市场上的主要竞争对手
[2101.68-2103.74] 对水美的影响有多少
[2104.76-2106.30] 那如何因应
[2106.80-2109.10] 那有关这个题目我请我们庄雪莉
[2109.36-2110.38] 来做个说明
[2113.72-2118.06] 现在事业废弃物的去化为了符合那个循环经济的政策
[2118.32-2120.12] 所以都优先以提升
[2120.38-2122.16] 那个再利用率为目标
[2122.42-2125.50] 然后所以导致废弃物分化的量体有降低
[2125.80-2127.34] 而且呢在同业处理场
[2127.58-2128.62] 竞争之下呢
[2128.86-2130.92] 价格也有一些下跌的情况
[2131.18-2131.68] 那
[2131.94-2135.02] 水美呢对于废弃物的处理能力还有经验
[2135.26-2139.88] 那另外还有那个收受的种类范围在市场上仍有一定的
[2140.38-2140.90] 竞争力
[2141.16-2143.98] 所以而且我们那个增建的新产线
[2144.22-2147.82] 也会在今年上半年取得证照正式上转
[2148.06-2149.60] 然后可以提升水美的
[2149.86-2151.14] 处理废弃物的量能
[2151.66-2155.24] 然后另外水美会依据环境跟他的政策
[2155.54-2156.30] 继续的发展
[2156.56-2157.84] 维系既有的客户
[2158.10-2159.64] 那也会努力的
[2160.14-2163.48] 积极开发新客户然后调整那个
[2164.50-2167.32] 适度的调整价格然后运用专业的能力
[2167.58-2168.86] 来提升获利
[2169.10-2170.14] 以上说明谢谢
[2175.26-2176.78] 提示目前台湾
[2177.30-2180.38] 各地的文化乳肌新闻经济的
[2180.62-2181.14] 案件
[2181.66-2182.94] 陆续招标
[2183.44-2185.50] 请一下公司会参与吗
[2185.80-2189.90] 那关于这一点的话我简单来做个说明
[2190.92-2193.48] 当然我们在生活废弃物
[2194.24-2195.78] 跟有害废弃物方面
[2196.30-2197.82] 那我们已经大概
[2198.08-2199.88] 累计一二十年的
[2200.38-2201.16] 一个经验
[2201.66-2204.48] 所以对这方面的话我们
[2204.74-2207.30] 已经有非常多的一个经验
[2207.82-2209.86] 那现在因为国内的话
[2210.38-2212.42] 我现在不管是北中南
[2212.68-2214.46] 这个文化乳都大概
[2214.98-2216.50] 戒满20年
[2217.02-2218.82] 所以现在从陆续
[2219.06-2220.86] 可能从台中
[2222.40-2224.44] 从台南开始
[2224.70-2226.74] 台南高雄台中
[2227.00-2228.80] 可能南投台北
[2229.06-2230.58] 这边都陆续
[2231.10-2232.90] 政府不管会推出
[2233.14-2235.96] 这些BOT的案子做ROT的案子
[2236.48-2238.78] 那当然我们公司的话就是说
[2239.30-2241.08] 不管是我们单独
[2241.60-2243.90] 跟这些顾问公司来合作
[2243.90-2244.92] 去投标
[2245.18-2246.46] 或是跟
[2246.98-2248.50] 其他的这个
[2248.76-2250.04] 大家同业
[2250.30-2251.84] 共同来投标
[2252.34-2254.14] 那最主要我们是
[2254.66-2255.94] 看这整个
[2256.18-2257.72] 我们对于必须对
[2257.98-2260.28] 所有的股东要一个交代就是说
[2260.54-2262.84] 他的整个投报率的状况
[2263.10-2263.86] 是什么样
[2264.38-2266.68] 所以假如有这个机会的话
[2266.94-2269.50] 我想我们都会去参与
[2270.02-2271.80] 当然有这个结论的话
[2272.32-2273.86] 也会跟各位
[2274.16-2276.46] 来做个报告
[2277.22-2278.76] 那再来是
[2279.02-2280.56] 循环经济的部分
[2281.06-2283.88] 那循环经济的部分当然
[2284.14-2285.68] 像我们龙顶
[2286.18-2288.74] 其实他有一个生死能的
[2289.00-2289.78] 中心
[2290.02-2292.58] 最主要是在处理
[2293.10-2294.64] 那循环经济方面当然
[2294.90-2296.68] 涵盖的范围非常的广
[2297.46-2299.24] 可能就是说像
[2300.52-2302.58] 这些所有的这些
[2304.16-2305.44] 动物的排泄物
[2305.70-2306.72] 好像猪啦
[2307.22-2308.50] 或鸡啦
[2309.02-2310.56] 或是牛各方面
[2311.06-2312.34] 他的排泄物
[2312.86-2314.66] 那再来就是当然
[2314.90-2316.70] 主要就是一些厨余
[2317.22-2319.26] 那最主要这个部分的话
[2319.78-2321.82] 当然目前
[2322.08-2323.10] 大致上
[2323.62-2325.66] 都是利用这个
[2326.18-2327.20] 电氧发电
[2327.46-2328.98] 来做一个处理
[2329.76-2331.54] 那这方面因为是
[2332.06-2333.86] 比较险恶的措施
[2334.16-2336.46] 所以这方面可能就是
[2336.98-2338.50] 必须要由政府
[2339.02-2340.82] 来做一个公开的
[2341.58-2342.60] 一个说明会
[2343.12-2344.14] 让所有的
[2344.66-2345.94] 这个
[2346.96-2348.50] 民众能够了解
[2349.00-2350.02] 政府的用心
[2350.28-2351.56] 就是说希望他们
[2352.08-2353.10] 这些废弃物
[2353.86-2354.90] 不要去
[2355.14-2355.92] 污染到
[2356.42-2357.70] 整个不管是
[2357.96-2359.50] 河川啊或是
[2359.76-2361.30] 农地这方面
[2361.80-2363.86] 那这方面当然我们已经
[2364.16-2365.70] 有经过一段
[2366.46-2368.26] 时间的这个研究
[2368.76-2371.32] 所以我们本身有一个团队
[2371.58-2373.12] 那现在当然最主要
[2373.38-2374.66] 就成我刚才讲的
[2375.16-2376.70] 最主要就是说这个
[2377.22-2378.74] 整个一个投报率
[2379.26-2380.80] 当然现在初期
[2381.06-2382.84] 可能会有个标案出来但是
[2383.36-2385.92] 我们认为投报率比较低
[2386.42-2388.74] 可能我们那个案子就不会去投
[2389.24-2392.32] 那另外的话当然就是关于这些
[2393.08-2393.86] 果树
[2394.16-2396.20] 或是这些稻干
[2396.72-2398.26] 甚至我们在国外
[2398.50-2400.04] 我们也跟日本
[2400.56-2401.84] 在讨论这些
[2402.34-2404.40] 就是说棕榈树老旧的
[2404.90-2406.18] 他来做木颗粒
[2406.70-2408.50] 这就飞销到
[2409.00-2410.28] 日本方面
[2410.80-2413.62] 所以关于这些整个一个循环经济方面
[2414.12-2415.92] 我们都有在研究
[2416.42-2417.96] 所以等到就是说
[2418.22-2421.30] 确实已经成熟这个投报率也不错
[2421.54-2422.82] 那我们也得标了
[2423.08-2423.86] 可能
[2424.16-2426.46] 就会跟各位来做一个报告
[2427.22-2429.28] 这是针对以上这个题目
[2429.78-2430.82] 我做一个
[2431.06-2432.10] 简单的说明
[2432.60-2434.90] 那所有就是各位
[2436.96-2438.74] 提出来问题我们都已经
[2439.00-2440.28] 做个说明
[2440.80-2442.58] 那我们今天的说明会
[2443.10-2444.64] 可能就到这边
[2444.90-2446.18] 谢谢大家
[2447.96-2450.78] 长荣钢铁本人说明会到此结束
[2451.04-2452.58] 非常感谢各位规宾
[2452.82-2453.60] 丽玲指导
[2454.16-2456.20] 敬祝各位贵宾身体健康
[2456.46-2457.48] 万事如意
[2457.74-2458.50] 谢谢各位
