[0.00-7.00] 我们非常感谢大家的支持
[1493.70-1495.00] 我想大家
[1495.00-1496.74] 而且他們都是跟這個產業有關的
[1496.74-1498.70] 我想大家其實會想要投資
[1498.70-1499.70] 當然應該是說
[1499.70-1501.30] 也記得說未來
[1501.30-1502.50] 低軌衛星這一塊
[1502.50-1503.70] 航運波這一塊的話
[1503.70-1505.34] 未來也是一個新的明日之星
[1505.34-1507.20] 我想這個部分也是我們
[1507.20-1509.10] 而且他一些產品
[1509.10-1511.14] 也是我們可以搭起大的部分
[1511.14-1513.66] 所以說我們除了財務投資之外
[1513.66-1516.00] 其實我們在產品的合作上面
[1516.00-1517.44] 也是有往來的部分
[1517.44-1519.66] 我想這個部分對於我們營收的貢獻
[1519.66-1521.16] 也是有幫助的
[1521.16-1522.66] 那合勝部分的話是做
[1522.70-1523.70] 西光子
[1523.70-1525.70] 合勝部分的話其實他目前
[1525.70-1527.70] 一直在積極的準備
[1527.70-1529.70] 那個公發IPO的部分
[1529.70-1532.70] 那其實我想西光子這一塊
[1532.70-1535.70] 在去年到現在其實也一直被討論
[1535.70-1538.70] 包括是以台積電為領投揚的部分
[1538.70-1542.70] 之前也是整個西光子聯盟
[1542.70-1544.70] 其實那時候國外
[1544.70-1546.70] 現在的時候也大概提到這一塊
[1546.70-1547.70] 那也是很有幸的
[1547.70-1550.70] 我們有看到這個領域的部分
[1550.70-1551.70] 雖然說是算都是個領域
[1552.70-1554.70] 但是我們也有看到一些公司
[1554.70-1555.70] 可是一樣
[1555.70-1557.70] 我們在一些產品的合作上面的話
[1557.70-1560.70] 一樣就是我們也會參與到
[1560.70-1561.70] 那個合勝科技
[1561.70-1562.70] 他一些產品
[1562.70-1565.70] 一些開發跟合作的部分
[1565.70-1568.70] 那第二部分是有關於公司
[1568.70-1571.70] 對於今年2025年的AI市場的需求
[1571.70-1573.70] 以及營運市場怎麼樣的看法
[1573.70-1575.70] 這剛剛也有因為其實
[1575.70-1576.70] 就我們目前來看
[1576.70-1579.70] 我們覺得AI的話AI市場
[1579.70-1580.70] 今年明年
[1580.70-1582.70] 他還是整個市場還是很熱絡的
[1582.70-1585.70] 那尤其是在數據中心
[1585.70-1587.70] 因為其實數據中心的話
[1587.70-1588.70] 你線線不正
[1588.70-1591.70] 你AI的話整個後面要要讓的話
[1591.70-1592.70] 就是必須這些數據中心
[1592.70-1594.70] 他先串聯起來
[1594.70-1597.70] 不管是美西這三個大廠部分的話
[1597.70-1599.70] 大家都在趕時間
[1599.70-1602.70] 希望可以把整個的AI的那個
[1602.70-1604.70] 那個環境給建立起來
[1604.70-1606.70] 那2025年的話
[1606.70-1608.70] 其實我覺得還是蠻樂觀的
[1608.70-1610.70] 因為基本上來看的話
[1610.70-1612.70] 我覺得這個產業
[1612.70-1615.70] 應該未來幾年還是他主流的部分
[1615.70-1618.70] 如果把跟如果把
[1618.70-1621.70] 跟股價搭配上我想是有點
[1621.70-1622.70] 是有點透過的
[1622.70-1625.70] 因為最近的整個光動性的整個行情市場
[1625.70-1626.70] 比較要露一些
[1626.70-1628.70] 我想可能是跟川普有關
[1628.70-1629.70] 就個人因素
[1629.70-1631.70] 川普個人的一些政策部分
[1631.70-1633.70] 導致於可能有些市場
[1633.70-1635.70] 一些可能信心上比較不足的部分
[1635.70-1637.70] 不過其實
[1637.70-1640.70] 我相信這個產業應該還是未來還是不錯
[1640.70-1642.70] 好那第三部分
[1642.70-1644.70] 請問目前美國總統
[1644.70-1646.70] 就是川普有一些關稅政策之後
[1646.70-1648.70] 對公司有怎麼樣的影響
[1648.70-1651.70] 以及在公司的部分有些相關的對策嗎
[1651.70-1655.70] 謝謝其實川普那時候在上
[1655.70-1657.70] 在當選前就提到說
[1657.70-1659.70] 他當選之後要提高關稅
[1659.70-1660.70] 不管是對誰
[1660.70-1661.70] 那個其實那時候大家想說
[1661.70-1662.70] 應該是對中國
[1662.70-1664.70] 因為美東跟關係比較強
[1664.70-1667.70] 可是後來他是先開到先開到
[1667.70-1668.70] 加拿大跟墨西哥
[1668.70-1671.70] 那當然其實我們
[1671.70-1673.70] 我們其實公司關稅
[1673.70-1674.70] 其實大概在那時候
[1674.70-1675.70] 美國總統大選
[1675.70-1676.70] 去年大概大選前
[1676.70-1677.70] 大概就已經
[1677.70-1678.70] 我們就大概就要
[1678.70-1679.70] 針對這個議題有討論
[1679.70-1681.70] 所以我們才後來有
[1681.70-1682.70] 有在
[1682.70-1684.70] 菲律賓有這個設立公司的這個
[1684.70-1685.70] 這個構想
[1685.70-1686.70] 也在那個時候
[1686.70-1689.70] 我們就啟動了在菲律賓設廠的計畫
[1689.70-1691.70] 那其實菲律賓設廠計畫的話
[1691.70-1692.70] 我們為什麼選菲律賓
[1692.70-1693.70] 第一就是說
[1693.70-1694.70] 菲律賓的話
[1694.70-1695.70] 如果以敵人政治來說的話
[1695.70-1698.70] 他算是東南亞裡面比較親美的
[1698.70-1700.70] 所以可能也許
[1700.70-1703.70] 所以說川普有時候可能有一些一些
[1703.70-1704.70] 一些那個
[1704.70-1706.70] 政策是很很很
[1706.70-1707.70] 滿滿富裕的
[1707.70-1710.70] 可是至少菲律賓這邊是相對安全的部分
[1710.70-1712.70] 然後再來就是說
[1712.70-1713.70] 菲律賓的話
[1713.70-1714.70] 他其實我們去分析過
[1714.70-1716.70] 菲律賓他的人力
[1716.70-1718.70] 人工一些成本的話
[1718.70-1720.70] 知道這邊相對是比較低的
[1720.70-1721.70] 也比中國大陸低
[1721.70-1723.70] 所以未來如果有機會
[1723.70-1726.70] 就是說今年我們整個廠設好之後
[1726.70-1728.70] 未來整個產能如果移到那邊的話
[1728.70-1730.06] 為什麼對於我們整個
[1730.70-1732.70] 公司的獲利毛利的話
[1732.70-1734.70] 也是一個很大的改善
[1734.70-1735.70] 關稅部分
[1735.70-1737.70] 關稅政策其實對我們什麼想
[1737.70-1738.70] 就目前來看是
[1738.70-1739.70] 好像目前的話
[1739.70-1741.70] 他針對都是一些其他
[1741.70-1744.70] 其他產品的部分
[1744.70-1745.70] 當然如果後面的話
[1745.70-1746.70] 如果存不來一些吸氣股
[1746.70-1747.70] 不來一些政策的話
[1747.70-1749.70] 我想我們也是會隨時調整
[1749.70-1751.70] 就是說可能也許的話
[1751.70-1752.70] 隨時的話他有什麼政策的話
[1752.70-1755.70] 我想我們都會及時的來因應的部分
[1755.70-1758.70] 因為中國大陸有些如果說
[1758.70-1760.70] 未來銷售到歐美有些關稅部分
[1760.70-1762.70] 我們是可以移回到菲律賓
[1762.70-1764.70] 或者中國跟台灣來深藏
[1764.70-1766.70] 我想這個部分關稅部分
[1766.70-1767.70] 我們也是隨時有在調整
[1767.70-1768.70] 也是隨時會注意
[1768.70-1769.70] 目前來看也是OK
[1769.70-1771.70] 沒有什麼太大的問題
[1771.70-1772.70] 好謝謝
[1772.70-1774.70] 謝謝關傑森的三個回答問起
