[0.00-29.98] 请不吝点赞 订阅 转发 打赏支持明镜与点点栏目
[30.00-33.02] 好 线上的各位投资先进午安
[33.02-38.10] 谢谢大家今天上线参加中国货柜的线上法人说明会
[1352.98-1354.98] 我们这边可以看到全球前三
[1354.98-1356.98] 甚至全球前五
[1356.98-1358.98] 这20大航商里面大概90%
[1358.98-1360.98] 都是我们中国货柜的客户
[1360.98-1362.98] 它在台湾只要有这些
[1362.98-1364.98] 量来讲的话
[1364.98-1366.98] 都有使用我们中国货柜的一些
[1366.98-1368.98] 码头的一些服务
[1368.98-1370.98] 那我刚刚提到的话就是
[1370.98-1372.98] 全球前三名的航商来讲的话
[1372.98-1374.98] 就是MSC 马斯基跟CMA来讲的话
[1374.98-1376.98] 它的运能的占比
[1376.98-1378.98] 它就大概占了
[1378.98-1380.98] 全球的46.6%
[1380.98-1382.98] 全球的46.6%
[1382.98-1384.98] 好那看完这个
[1384.98-1386.98] 前三大之后呢
[1386.98-1388.98] 我们来看看我们台湾的航商
[1388.98-1390.98] 长龙
[1390.98-1392.98] 长龙大概整个它的那个
[1392.98-1394.98] 市场工业占了5.6%
[1394.98-1396.98] 那我们第二名的杨宁
[1396.98-1398.98] 它占了2.2%
[1398.98-1400.98] 那第三名的万海占了1.6%
[1400.98-1402.98] 那再加上第二十名的德翔
[1402.98-1404.98] 德翔在往年还是排名
[1404.98-1406.98] 大概21 22
[1406.98-1408.98] 那这两年好像它的表现还不错
[1408.98-1410.98] 它的量还蛮多的
[1410.98-1412.98] 所以它进到全球20
[1412.98-1414.98] 那我们台湾整个四大货运的话
[1414.98-1416.98] 加起来的占比的话
[1416.98-1420.98] 大概占整个全球前20大的9.7%
[1420.98-1422.98] 相较来讲可以看到一下
[1422.98-1424.98] 就是说主要的这几个航商
[1424.98-1426.98] 我们讲前五大航商来讲的话
[1426.98-1428.98] 它整个占比的话就占到全球市场
[1428.98-1430.98] 超过60%
[1430.98-1432.98] 大概到了65%左右的市占率
[1432.98-1434.98] 这是前20大航商的一个
[1434.98-1436.98] 这是前20大航商的一个
[1436.98-1438.98] 一个排名
[1438.98-1440.98] 它的市占率
[1440.98-1442.98] 再过来我们看一下这个供需的部分
[1442.98-1444.98] 事实上来讲的话我们可以看到
[1444.98-1446.98] 以市场的预测来讲的话
[1446.98-1448.98] 它的供需跟它的市场的供需
[1448.98-1450.98] 它的需求跟
[1450.98-1452.98] 它的传播的供应
[1452.98-1454.98] 跟它市场的需求来讲
[1454.98-1456.98] 是去比较平衡的状况
[1456.98-1458.98] 去比较缓和
[1458.98-1460.98] 它不像2020年或2023年
[1460.98-1462.98] 有那么大的改善
[1462.98-1464.98] 那我们可以探讨一下2023年
[1464.98-1466.98] 或2024年
[1466.98-1468.98] 为什么会有这么大的差距
[1468.98-1470.98] 最主要是因为
[1470.98-1472.98] 在疫情发生的那几年
[1472.98-1474.98] 大概在疫情发生的那两三年
[1474.98-1476.98] 当中间那个航商
[1476.98-1478.98] 他赚了
[1478.98-1480.98] 累计很多大量的资金
[1480.98-1482.98] 因为这个海运
[1482.98-1484.98] 市场运费高涨的问题
[1484.98-1486.98] 他们赚了很多钱
[1486.98-1488.98] 那这些资金的话他们部分就会去
[1488.98-1490.98] 填购一些新的资产去购买一些新的
[1490.98-1492.98] 新的船只
[1492.98-1494.98] 所以这些船只在疫情完之后
[1494.98-1496.98] 可能陆陆续续的就交到
[1496.98-1498.98] 交到这个航商的手上
[1498.98-1500.98] 交到这个航商的手上
[1500.98-1502.98] 所以基本上来讲的话在2024年的时候
[1502.98-1504.98] 他交的船只的数量是
[1504.98-1506.98] 是蛮多的
[1506.98-1508.98] 所以到2025年之后呢整个
[1508.98-1510.98] 这个
[1510.98-1512.98] 交船的数量减少了
[1512.98-1514.98] 所以在供需方面来讲的话就可能会比较
[1514.98-1516.98] 平衡一些
[1516.98-1518.98] 那待会我们可以看到
[1518.98-1520.98] 像2015年
[1520.98-1522.98] 还有2009年
[1522.98-1524.98] 整个供需也不平衡的时候
[1524.98-1526.98] 2009年089年那时候
[1526.98-1528.98] 整个是整个
[1528.98-1530.98] 金融危机的时候
[1530.98-1532.98] 然后2015年的话因为
[1532.98-1534.98] 供给跟需求的
[1534.98-1536.98] 部分有很大差距导致
[1536.98-1538.98] 整个市场失调
[1538.98-1540.98] 那个时候有一个家很大的航商叫做
[1540.98-1542.98] 韩进韩运当时也是
[1542.98-1544.98] 也是世界排名前十的航商
[1544.98-1546.98] 他就突然辞职了
[1546.98-1548.98] 那这是有关整个市场供需的部分
[1548.98-1550.98] 跟各位做我们的报告
[1550.98-1552.98] 那再过来的话我们
[1552.98-1554.98] 看看这个刚刚讲到供给的
[1554.98-1556.98] 部分
[1556.98-1558.98] 在2024年的时候呢有很多新船
[1558.98-1560.98] 就陆续交不到航商手中
[1560.98-1562.98] 我们可以看到就是说有关于
[1562.98-1564.98] 这个
[1564.98-1568.98] 大于18000tube的船
[1568.98-1570.98] 在去年
[1570.98-1572.98] 去年的时候
[1572.98-1574.98] 就交付了大概129艘
[1574.98-1576.98] 大于18000tube以上的船
[1576.98-1578.98] 然后
[1578.98-1580.98] 15000到18000tube的船
[1580.98-1582.98] 也交付了大概59艘左右
[1582.98-1584.98] 那总共陆续去的话
[1584.98-1586.98] 交付了很多大量新的船只
[1586.98-1588.98] 那我们看到
[1588.98-1590.98] 2025年来讲的话
[1590.98-1592.98] 大概整个来讲的话
[1592.98-1594.98] 大概250几艘的船要再交付
[1594.98-1596.98] 那2026跟
[1596.98-1598.98] 2027来讲的话
[1598.98-1600.98] 那还有160艘跟270艘
[1600.98-1602.98] 217艘的船要交付
[1602.98-1604.98] 那这整个
[1604.98-1606.98] 这个大概是海运市场供需的部分
[1606.98-1608.98] 给各位做个参考
[1608.98-1610.98] 参考看看而已
[1610.98-1612.98] 好
[1612.98-1614.98] 再过来我们看一下这个
[1614.98-1616.98] 市场上重大讯息的部分
[1616.98-1618.98] 那我们终于归纳出几个
[1618.98-1620.98] 重大讯息
[1620.98-1622.98] 给各位先进做个报告
[1622.98-1624.98] 第一个是
[1624.98-1626.98] 可能中美贸易的摩擦
[1626.98-1628.98] 这个当然是对海运市场上来讲
[1628.98-1630.98] 有比较重大讯息
[1630.98-1632.98] 然后再过来是整个贸易可能有一些重组
[1632.98-1634.98] 还有一些政治
[1634.98-1636.98] 一些不确定性
[1636.98-1638.98] 另外就是航商
[1638.98-1640.98] 波克航商联营的部分
[1640.98-1642.98] 那当然还有一些
[1642.98-1644.98] 碳排放的部分
[1644.98-1646.98] 都跟各位在做个报告
[1646.98-1648.98] 那我们看一下中美贸易的摩擦的部分
[1648.98-1650.98] 那当然在美中关系的部分
[1650.98-1652.98] 因为川普第二任任期
[1652.98-1654.98] 他已经是关税对等的状态
[1654.98-1656.98] 那基本上这个
[1656.98-1658.98] 贸易政策关税对等的
[1658.98-1660.98] 政策来讲的话
[1660.98-1662.98] 进一步会加深这个
[1662.98-1664.98] 本来就已经是蛮紧张的一个局势
[1664.98-1666.98] 那因为增加这关税
[1666.98-1668.98] 关税对的政策还有保护主义
[1668.98-1670.98] 就已经会扰乱
[1670.98-1672.98] 扰乱那整个目前陷入的贸易的一些途径
[1672.98-1674.98] 那也当然同时
[1674.98-1676.98] 也会引发一些全球供应链的震荡
[1676.98-1678.98] 我们光统计从三月底
[1678.98-1680.98] 从三月底以后
[1680.98-1682.98] 这个美国宣布的
[1682.98-1684.98] 对等关税政策以后
[1684.98-1688.98] 整个亚洲到中国大陆的订单
[1688.98-1690.98] 突然的暴跌
[1690.98-1692.98] 那在航运的部分
[1692.98-1694.98] 几乎可以用所谓的断来式的下滑
[1694.98-1696.98] 大概来呈现
[1696.98-1698.98] 整个航运就是
[1698.98-1700.98] 亚洲到美国的航运量
[1700.98-1702.98] 几乎趋近于腰斩
[1702.98-1704.98] 这个基本上就是有关
[1704.98-1706.98] 中美贸易共产的部分
[1706.98-1708.98] 那贸易重整的部分
[1708.98-1710.98] 当然这个
[1710.98-1712.98] 刚刚之前有提过
[1712.98-1714.98] 全球各大企业越来越重视
[1714.98-1716.98] 通过自己本地的采购
[1716.98-1718.98] 然后还有一些多样化的贸易网络
[1718.98-1720.98] 来增加自己本身的韧性
[1720.98-1722.98] 来减少贸易的风险
[1722.98-1724.98] 所以说整个贸易重组的部分
[1724.98-1726.98] 有变成那种区域化的现象
[1726.98-1728.98] 就不再像全球化的
[1728.98-1730.98] 那个部分
[1730.98-1732.98] 以前像全球化的样子
[1732.98-1734.98] 这个是有关贸易重整的部分
[1734.98-1736.98] 区域冲突的部分
[1736.98-1738.98] 我还是要跟各位讲
[1738.98-1740.98] 因为这个区域冲突跟海运界还是有蛮大的影响
[1740.98-1742.98] 整个红海苏伊斯运河的部分
[1742.98-1744.98] 乌克兰的危机
[1744.98-1746.98] 这个都对海运有一些
[1746.98-1748.98] 部分有一些影响
[1748.98-1750.98] 你想 当然这个
[1750.98-1752.98] 欧洲战争增加石油的需求
[1752.98-1754.98] 红海苏伊斯运河的部分
[1754.98-1756.98] 这航商要通过到欧洲去的话
[1756.98-1758.98] 通过苏伊斯运河的话
[1758.98-1760.98] 基本上来讲他们对这个安全风险
[1760.98-1762.98] 都会有一些评估
[1762.98-1764.98] 目前来讲有些航商的话
[1764.98-1766.98] 他可能会保持比较谨慎的态度
[1766.98-1768.98] 就是会绕道而行
[1768.98-1770.98] 绕到好望角而行
[1770.98-1772.98] 可能也会采取一些其他的替代的路线
[1772.98-1774.98] 短期来讲的话
[1774.98-1776.98] 短期来看的话这个安全问题的考量
[1776.98-1778.98] 可能还是
[1778.98-1780.98] 会持续航商的部分
[1780.98-1782.98] 还是会持续绕行海
[1782.98-1784.98] 好望角
[1784.98-1786.98] 来因应这个所谓的红海的
[1786.98-1788.98] 这个趋势的冲突
[1790.98-1792.98] 那再过来的话
[1792.98-1794.98] 也算是一个比较重大的讯息
[1794.98-1796.98] 就是整个海运市场航商的联盟
[1796.98-1798.98] 重新组合的部分
[1798.98-1800.98] 那今年的话主要有两个新的联盟成员
[1800.98-1802.98] 那这个新的联盟成员的话
[1802.98-1804.98] 就是今年2月份我们刚提到的
[1804.98-1806.98] 有所谓的双子星联盟的成员
[1806.98-1808.98] 双子星联盟的成员是哪两家
[1808.98-1810.98] 就是之前我刚刚跟各位提到的
[1810.98-1812.98] 整个海运排名第二的
[1812.98-1814.98] 马斯基集团
[1814.98-1816.98] 跟排名大概第五的
[1816.98-1818.98] 哈帕洛尔
[1818.98-1820.98] 哈帕洛尔就是赫伯罗德德国的
[1820.98-1822.98] 这两家重新组合成一个联盟
[1822.98-1824.98] 叫做双子星联盟
[1824.98-1826.98] 那另外
[1826.98-1828.98] 原本的Aliens这个联盟
[1828.98-1830.98] 就是
[1830.98-1832.98] 因为哈帕脱离了
[1832.98-1834.98] 直接跑去跟马斯基组成一个新的联盟
[1834.98-1836.98] 双子星联盟
[1836.98-1838.98] 他们自己的联盟用新成立的名字
[1838.98-1840.98] 叫做
[1840.98-1842.98] Premier Alliance
[1842.98-1844.98] 中文翻译叫卓越联盟
[1844.98-1846.98] 那基本上这些都是
[1846.98-1848.98] 目前海运的整个市场状态
[1848.98-1850.98] 就是几个联盟
[1850.98-1852.98] 第一个就是我们刚讲的新的双子星联盟
[1852.98-1854.98] 第二个是PM我们刚讲的卓越联盟
[1854.98-1856.98] 那带还有Ocean
[1856.98-1858.98] Ocean就是长荣
[1858.98-1860.98] OOCL CMA
[1860.98-1862.98] 还有Costco
[1862.98-1864.98] 这些航商组成的联盟
[1864.98-1866.98] 都是由这几个联盟在
[1866.98-1868.98] 就是所谓的这个
[1868.98-1870.98] 策略联营
[1870.98-1872.98] 那这个新的联盟的趋势呢
[1872.98-1874.98] 也会
[1874.98-1876.98] 对海运市场有一些冲击
[1876.98-1878.98] 因为毕竟它是
[1878.98-1880.98] 新的联盟
[1880.98-1882.98] 可能对整个市场上
[1882.98-1884.98] 竞争力和价格的部分
[1884.98-1886.98] 会有一些
[1886.98-1888.98] 我刚讲还是会有一些冲击
[1888.98-1890.98] 但是对一些比较大的航商
[1890.98-1892.98] 大的客户
[1892.98-1894.98] 做一些比较好的一些策略的
[1894.98-1896.98] 合约的费率
[1896.98-1898.98] 那这个冲击来讲会影响到一些比较
[1898.98-1900.98] 中小型的一些贸易的航商
[1900.98-1902.98] 这个还是值得关注
[1902.98-1904.98] 还是要关注一下这个市场的情况
[1904.98-1906.98] 那最后一个就是去碳化
[1906.98-1908.98] 碳排放
[1908.98-1910.98] 那因为这个国际已经谈了蛮久
[1910.98-1912.98] 因为这个国际还是主持
[1912.98-1914.98] AMO它已经定定了一个标准
[1914.98-1916.98] 我们碳排放的一个减排计划
[1916.98-1918.98] 那这个碳排放也有一个减排计划
[1918.98-1920.98] 已经主导了整个2025年的
[1920.98-1922.98] 整个议程
[1922.98-1924.98] 尽管这个实施的具体措施
[1924.98-1926.98] 还不是那么明确
[1926.98-1928.98] 但是在这个未来的
[1928.98-1930.98] 我想未来的数十年
[1930.98-1932.98] 一直到2050年来讲
[1932.98-1934.98] 它会针对这航商
[1934.98-1936.98] 所谓的减碳去碳化
[1936.98-1938.98] 会有一个
[1938.98-1940.98] 一定的一个定的一个标准
[1940.98-1942.98] 那这个去碳化基本上来讲
[1942.98-1944.98] 对这个航商来讲
[1944.98-1946.98] 它在营运方面的话
[1946.98-1948.98] 成本也会增加
[1948.98-1950.98] 至于说它在领域上
[1950.98-1952.98] 可能是会用一些
[1952.98-1954.98] 或使用一些更高级的一些
[1954.98-1956.98] 油吧
[1956.98-1958.98] 大概是这个样子
[1958.98-1960.98] 这是市场的送纳讯息
[1960.98-1962.98] 好
[1962.98-1964.98] 最后跟各位做个结论
[1964.98-1966.98] 也是说一个展望
[1966.98-1968.98] 我们刚提到
[1968.98-1970.98] 就是很多
[1970.98-1972.98] 很多因素会影响到整个
[1972.98-1974.98] 海运市场
[1974.98-1976.98] 比如说关税政策
[1976.98-1978.98] 货币政策
[1978.98-1980.50] 库存经济复苏等等
[1980.50-1982.94] 这些都可能对整个海运市场
[1982.94-1983.80] 都造成一些冲击
[1983.80-1984.60] 但目前来讲
[1984.60-1986.66] 目前来讲冲击最大的
[1986.66-1988.50] 还是我们看来是所谓的
[1988.50-1990.10] 美国的所谓的关税政策
[1990.10-1991.98] 但是这个关税政策
[1991.98-1994.36] 在像不是那么明朗的情况下
[1994.36-1995.68] 它的具体影响程度
[1995.68-1997.66] 还有它影响到的范围会有多大
[1997.66-1998.66] 会多久
[1998.66-2001.28] 那目前来讲都还不是很确定
[2001.28-2003.54] 这还要等到各个国家
[2003.54-2004.78] 美国国家跟美国
[2004.78-2007.26] 陆续的关税协商的结果来看
[2007.26-2009.68] 那当然这个协商期间
[2009.68-2011.14] 这个航商他也会有一些
[2011.14-2013.18] 相应的一些政策跟措施
[2013.18-2016.40] 去应变这个所谓的这个变化
[2016.40-2018.32] 整个关税协定之后的结果
[2018.32-2020.96] 目前来讲
[2020.96-2023.30] 以我们来观察来讲
[2023.30-2024.64] 整个海运市场来讲的话
[2024.64-2026.06] 影响比较大的
[2026.06-2027.30] 还是刚刚我提到的
[2027.30-2028.92] 亚洲到美国这个航线
[2028.92-2030.42] 它影响最大的
[2030.42-2032.36] 它的量掉最多的
[2032.36-2035.78] 但是就亚洲到欧洲的航线
[2035.78-2036.32] 我们
[2036.32-2038.22] 亚洲的进洋线
[2038.22-2040.10] 至于本身我们的进洋线来讲
[2040.10-2042.58] 它的量事实上来讲并没有太大变化
[2042.58-2045.62] 但是维持在一个蛮稳定的一个状态
[2045.62-2047.06] 所以目前
[2047.06-2049.06] 但前一阵子前两天
[2049.06-2053.00] 美中不是有新的宣誓说
[2053.00-2056.88] 关税各把关税挡到10%跟30%
[2056.88-2059.74] 我想这个对未来这个海运市场来讲的话
[2059.74-2062.32] 多少都是一些比较良性的一些
[2062.32-2065.96] 怎么讲比较好的一个征兆
[2065.96-2066.26] 这个
[2066.32-2070.10] 陆陆续续应该会往好的方向去发展
[2070.10-2071.98] 除了关税政策之外
[2071.98-2073.78] 我们刚讲的地缘政治的部分
[2073.78-2078.14] 但这个还是多多少少还是会影响到一些海运公司
[2078.14-2079.50] 我刚也提到过了
[2079.50-2081.52] 在安全的问题的一些考量下面
[2081.52-2083.38] 航商还是大部分的航商
[2083.38-2088.26] 还是采用绕行的态度来避开这个危险
[2088.26-2090.60] 但这里会增加一些航运的成本
[2090.60-2092.10] 但除了这些因素之外
[2092.10-2095.20] 欧洲有几个港口一些天候的变化
[2095.20-2096.16] 会造成一个涌射
[2096.16-2099.48] 港口游泳舍其实但是都没有关系
[2099.48-2100.62] 这些短期来看
[2100.62-2104.44] 这些东西虽然都会造成一些市场上会有一些影响
[2104.44-2107.94] 但是我们航商的部分
[2107.94-2112.36] 他们也会做一些应变的一些措施
[2112.36-2119.16] 我们刚讲航商他本身本来就比较有一些灵活的一些策略去调整一些营运的一些范畴
[2119.16-2121.32] 然后他们也会有些策略联盟
[2121.32-2123.72] 增加国际联盟的一些合作
[2123.72-2127.30] 来因应这个短期的这个这个这个这个市场的变化
[2127.30-2131.60] 所以说以整个长期或中长期的角度来看
[2131.60-2136.92] 我们业者来看的话还是一个审慎乐观的的态度
[2136.92-2142.62] 审慎乐观的去是来看这个中长期未来的一些海运市场的一些变化
[2142.62-2145.08] 以上就是我医务部这边跟各位先进做的报告
[2145.08-2151.88] 那接下来时间我把他交给这个我们的这个副总这个陈副总来做这个关于
[2153.72-2156.88] 好谢谢
[2156.88-2158.16] 那接下来呢
[2158.16-2161.96] 我给我来各位各位说明额外财务的部分
[2161.96-2164.96] 那我是财快部陈振宏
[2164.96-2168.18] 那先跟各位先进说个午安
[2168.18-2171.24] 那很感谢各位多空来参加
[2171.24-2172.80] 啊
[2172.80-2181.44] 我们很首先就是先快速的看一下公司在2025年第一季的主要的财务的表现
[2181.44-2183.22] 那各位可以看到
[2183.22-2184.30] 这张
[2185.32-2186.40] 表
[2186.40-2189.10] 营业毛利大概是1.15亿
[2189.10-2193.90] 营业利大概是6200万
[2193.90-2197.44] 那税前大概是4000万左右
[2197.44-2201.98] 那如果与跟去年的第一季相比来看
[2201.98-2204.58] YY是三绿三生
[2204.58-2209.46] 但如果是QOQ的话是营业毛利跟营业率是双降
[2209.46-2212.98] 那税前今年的话就有大幅的成长
[2213.22-2215.68] 那变动原因的话
[2215.68-2220.52] 我等一下再看随意表之后再跟大家做详细的说
[2220.52-2223.66] 那先这张表先让大家有个基本的概念
[2223.66-2226.84] 就是整个公司第一季的表现状况
[2226.84-2229.74] 好
[2229.74-2230.10] 那
[2230.10-2233.32] 接下来这张表呢
[2233.32-2239.72] 是公司的今年的第一季跟去年的同季就是2024年第一季相比
[2239.72-2243.12] 那各位可以看到最下方啊
[2243.12-2243.22] 啊
[2243.22-2245.02] 基本每股盈余的话
[2245.02-2246.68] 我们去年第一季是0.23
[2246.68-2248.90] 那去年的话是0.15
[2248.90-2250.66] 增加了0.08元
[2250.66-2254.26] 那税前净利的话是
[2254.26-2257.36] 今年税前净利是4057万
[2257.36-2261.12] 较去年的第一季增加大约39.8%
[2261.12-2264.60] 那影响这个税前净利的变动的原因
[2264.60-2266.38] 主要有三项
[2266.38-2268.16] 第一项是
[2268.16-2270.80] 我们的核心的业务
[2270.80-2272.50] 就是码头前线的作业量
[2272.50-2272.80] 那我们的核心的业务
[2273.22-2278.08] 跟去年同季相比大约衰退5.6%
[2278.08-2280.42] 但有另外两项比较立即性的业务
[2280.42-2284.32] 就是CFS的仓储作业量
[2284.32-2286.42] 稳固成长2.9
[2286.42-2288.84] 那冷冻柜的差跌天数
[2288.84-2293.70] 则到乎成长16%
[2293.70-2297.28] 那影响这个经济变动还有第二个原因是
[2297.28-2300.52] 在去年的10月
[2300.52-2303.12] 我们基隆码头因为发生了
[2303.12-2308.94] 一个预周起航轮撞击我们基隆码头乔氏机的事故
[2308.94-2312.94] 以至于我们在岸上的乔氏起重机
[2312.94-2317.08] 全倒就是倒塌全损
[2317.08-2320.24] 那以至于说后续我们整个基隆山20号码头
[2320.24-2323.16] 便无法提供客户装卸服务
[2323.16-2325.84] 所以有些部分客户就把货柜轮
[2325.84-2330.24] 我们就必须把一些客户的货柜轮移到公用码头
[2330.24-2333.00] 就是基隆港务公司的公用码头来作业
[2333.00-2335.36] 那移过去作业的情况下呢
[2335.36-2339.46] 第一季增加的移货成本大概有2600万
[2339.46-2343.82] 但是客户的装卸作业服务基本上不会受影响
[2343.82-2345.66] 所以营收也没有影响
[2345.66-2348.16] 只是说会额外增加移货成本
[2348.16-2351.96] 但这个相关的移货成本后续我们也会跟
[2351.96-2360.40] 传统或是这个预周起航轮方面去做求偿
[2360.40-2362.86] 那影响这个基因的第三个原因就是
[2363.00-2367.76] 在去年的第四季到今年第一季
[2367.76-2372.40] 基隆港务公司在整修基隆20号码头的铺面
[2372.40-2375.84] 那这是基隆港务公司的原定计划
[2375.84-2381.00] 刚好跟预周起航轮撞起我们公司的这个事故并没有关联
[2381.00-2384.80] 那这港务公司整修码头的计划呢
[2384.80-2387.70] 在这期间经过公司去争取
[2387.70-2392.76] 港务公司有同意减免施工期间的码头出行
[2392.76-2392.98] 还有保留的码头出行的计划呢在这期间经过公司去争取
[2392.98-2393.68] 那这期间经过公司去争取
[2393.68-2398.64] 那今年第一季减免出行大约在1900万左右
[2398.64-2402.82] 所以上述的三项原因就是导致
[2402.82-2407.68] 这个今年的第一季跟去年的第一季的相比有比较重大的落差
[2407.68-2418.14] 那这张表呢是今年的第一季跟去年的第一季
[2418.14-2420.22] 就是上一季的比较选业表
[2420.22-2421.18] 那这张表呢是今年的第一季跟去年的第一次计
[2422.98-2428.98] 各位可以看到下面,基本美股盈餘有很明顯的成長
[2428.98-2432.98] 跟去年低利率相比有很重大的變動
[2432.98-2440.98] 稅前淨利,較去年低利率增加552%
[2440.98-2446.98] 毛利率大概減少20.3%
[2446.98-2448.98] 影響這個主要原因有四項
[2448.98-2455.98] 第一個就是碼頭前線租業量減少大約7.5%
[2455.98-2459.98] 另外有兩項利息體驗物CFS倉儲
[2459.98-2463.98] 還有冷凍貴的差電天數也同樣都衰退
[2463.98-2465.98] 因為這個是行業特性
[2465.98-2469.98] 就是我們通常第一季算是我們的傳統的淡季
[2469.98-2472.98] 加上有農曆春節的假期
[2472.98-2475.98] 所以租業天數相對會減少
[2475.98-2478.98] 碼頭前線租業量相比第四季
[2478.98-2481.98] 或第三季旺季來講都會呈現衰退期期
[2481.98-2485.98] 第二個原因是去年的第四季
[2485.98-2488.98] 就是有一個預周啟航人的事故
[2488.98-2495.98] 所以我們在去年第四季增加移貨成本大約3700萬
[2495.98-2499.98] 今年的第四季也有增加移貨成本大約2600萬
[2499.98-2503.98] 剛有提到,這個都是後續會跟造成事故方
[2503.98-2506.98] 要請他們請求不賠償責任的
[2506.98-2507.98] 第三個原因就是
[2508.98-2516.98] 剛有提到港澳公司他們要整修基隆20號碼頭的碼頭鋪面
[2516.98-2519.98] 他有減免我們公司的租金跟管理費
[2519.98-2521.98] 去年減免大約2000萬
[2521.98-2524.98] 今年減免大概是1900萬
[2524.98-2527.98] 第四個原因就是
[2527.98-2532.98] 去年第四季因為有發生一個預周啟航人撞擊我們喬斯基的事故
[2532.98-2534.98] 所以我們有報廢
[2534.98-2536.98] 我們喬斯基是全省報廢
[2536.98-2538.98] 報廢喬斯基的經濟
[2538.98-2540.98] 他的經濟損失大約是6400萬
[2540.98-2542.98] 這是發生在去年第四季
[2542.98-2546.98] 所以各位可以看到去年第四季的稅前經歷
[2546.98-2552.98] 還有美股盈餘都遠遠就是跟去年第四季相比是來的比較
[2552.98-2554.98] 表現比較不佳
[2554.98-2557.98] 主要原因就是來自於這個意外事故
[2557.98-2560.98] 而我們提前先認定的這個損失
[2560.98-2562.98] 都導致的
[2568.98-2575.98] 那這一張圖呢是2023年第一季到2025年第一季
[2575.98-2577.98] 各季度
[2577.98-2585.98] 各季度的流動比率還有負債比率的變動情況
[2585.98-2589.98] 那上方的綠色的折現圖呢是流動比率
[2589.98-2594.98] 各季度的流動比率呢大概都穩定維持在100上下
[2594.98-2598.98] 那今年第一季大概是約是在112%
[2598.98-2605.98] 那跟上一季132%相比的話是有明顯的下滑
[2605.98-2608.98] 但是還是比跟之前各季相比的話
[2608.98-2611.98] 還是維持在一個比較高的水準
[2611.98-2615.98] 那下滑的所謂原因是因為
[2615.98-2617.98] 今年第一季的流動資產
[2617.98-2622.98] 跟去年第四季相比有大幅的減少
[2622.98-2626.98] 那減少的主要原因是因為我們今年的第一季
[2626.98-2628.98] 有比較多的資本支出
[2628.98-2630.98] 預算的預付款支出
[2630.98-2633.98] 那導致我們預付設備款那個金額大幅增加
[2633.98-2635.98] 現金流出比較多
[2643.98-2645.98] 那另外呢我們在
[2649.98-2656.98] 那下方的藍色折現圖的話是負債比率
[2656.98-2663.98] 那各季度的負債比率大概都維持穩定在70%左右
[2663.98-2667.98] 那近期的各季的負債比率還可以看到
[2667.98-2671.98] 是有緩步下降的情形
[2671.98-2673.98] 那因為我們之前因為是用
[2673.98-2676.98] APP16租賃證號快遞風暴的影響
[2676.98-2680.98] 所以導致我們的負債比率大概都維持在70%左右
[2680.98-2686.98] 那如果說不考慮APP16租賃證號快遞風暴的影響數的話
[2686.98-2693.98] 我們公司真正的負債比率應該會在46%到54%左右
[2693.98-2696.98] 這個都是還在一個合理穩定的狀態
[2702.98-2706.98] 那這張圖呢是2023年第一季到2025年第一季
[2706.98-2708.98] 各季度的合併營收
[2708.98-2711.98] 還有毛利率和成益率的變動情形
[2711.98-2717.98] 那淺藍色的直條圖是合併營收
[2717.98-2720.98] 各季度的營收可能有一些變動
[2720.98-2723.98] 但是還是都維持在一個穩定的水準
[2723.98-2730.98] 2025年的第一季的合併營收是7.72億
[2730.98-2733.98] 跟之前相比大概略有效
[2733.98-2736.98] 那我剛有提到主要是因為行業特性
[2736.98-2739.98] 第一季是傳統的淡季
[2739.98-2741.98] 然後租業天數比較少
[2741.98-2746.98] 所以相較於第三季跟第四季來逛季來比的話
[2746.98-2748.98] 都會有比較衰退的情況
[2748.98-2750.98] 各位可以看到之前的狀況
[2750.98-2752.98] 大約都是這種方式呈現
[2754.98-2757.98] 那上方的紅色折線圖的話是毛利率
[2757.98-2761.98] 那2025年第一季的毛利率是14.9%
[2761.98-2766.98] 跟之前相比的是約有下降
[2766.98-2771.98] 那主要還是因為我們行業特性傳統淡季的因素
[2771.98-2777.98] 那下方的深藍色折線是成餘率
[2777.98-2780.98] 2025年第一季的成餘率是4.2%
[2780.98-2785.98] 跟第四季負利原因的成餘率相比有明顯的增加
[2785.98-2788.98] 那剛有提到就是
[2788.98-2792.98] 因為去年第四季有預週啟航輪撞擊事故
[2792.98-2794.98] 說門包覆一台喬士機
[2794.98-2796.98] 那它競選是大概6000多萬
[2796.98-2800.98] 那我們就有提前先把它認在去年第四季
[2801.98-2811.98] 那這張表呢是公司五年度的四大項的財務保險
[2811.98-2816.98] 有本期經濟EPS先進股率還有配息率
[2816.98-2822.98] 2024年的EPS是0.84元
[2822.98-2826.98] 那我們公司在2024年就是
[2826.98-2829.98] 在今年度的把去年度的配息是配到一元
[2829.98-2831.98] 等於是有超額的額外支出
[2831.98-2833.98] 那這個額外支出是在公司的財務部份配
[2833.98-2836.98] 那因為是公司在貧富負影響營運的情況下
[2836.98-2838.98] 有提過了部分的未分配營運
[2838.98-2841.98] 以現金股率的方式發掘股東
[2841.98-2845.98] 因為主要是我們去年有發生EY事故
[2845.98-2847.98] 那如果說明EY事故的情況下
[2847.98-2853.98] 公司的貨幣情形應該會比目前看到的0.84元還要高
[2853.98-2859.98] 所以我們為了兼顧這個股東的權益
[2859.98-2861.98] 所以在負負影響公司的情況下
