[0.00-1.08] 谢谢
[1509.02-1512.94] 董事就会讨论一下今年的股利的建议
[1512.94-1515.82] 台湾当然是要股东会来同意
[1515.82-1519.34] 今年的话就是提议发7块钱
[1519.34-1522.34] 所以是配发率是稍微超过50%
[1522.34-1523.06] 我们的张成林说
[1523.06-1525.30] 里面是至少50%
[1525.30-1528.70] 凑整数7块钱
[1528.70-1529.54] 好
[1529.54-1534.78] 我可能点报大概就是这样子
[1534.78-1539.10] 刚刚有稍微提一下我们一些期待
[1539.10-1540.74] 第一季来讲
[1540.74-1544.90] 我们是觉得应该会比正常的季节性要好一些些
[1544.90-1546.22] 主要也是两个原因
[1546.22-1551.54] 第一个是一冷系统生意的贡献多很多
[1551.54-1553.02] 因为第四季还非常的少
[1553.06-1555.38] 所以这是最主要的原因
[1555.38-1559.02] 我们正常来讲第一季大概季对季会衰退
[1559.02-1560.02] high single digit
[1560.02-1564.30] 5-10% 7-10%是比较常见
[1564.30-1566.18] 今年应该会少一些
[1566.18-1569.54] 因为光是这部分就抵消掉了几个%
[1569.54-1572.14] 然后顺利的话
[1572.14-1575.54] 这个伺服器的电源应该还会加速一些
[1575.54-1578.74] 所以如果那部分有季对季的增成涨
[1578.74-1582.38] 又可以再抵消掉一些其他的季节性的衰退
[1582.38-1582.90] 所以这部分是最主要的原因了
[1583.06-1586.46] 这个整个第一季我们觉得会比正常季节性要好一些
[1586.46-1590.10] 后面我们就是期待有一个正常季的增长
[1590.10-1591.26] 季节性增长
[1591.26-1594.02] 二季会比第一季多一些
[1594.02-1596.54] 然后三季再第二季多一些
[1596.54-1598.02] 然后第四季还早
[1598.02-1599.90] 现在讲有点太早了
[1599.90-1600.46] 好
[1600.46-1606.74] 那这个可能我就很快的summarize到这里
[1606.74-1609.54] 谢谢台达管理阶层金屁的解说
[1609.54-1612.42] 那QA的部分目前先由我来代替
[1612.42-1612.90] 各位想要做的事情
[1613.06-1616.14] 我们就来由我们的主持人来进行做一个询问
[1616.14-1616.90] 第一题
[1616.90-1619.66] 管理阶层在近期的法说会上有提到
[1619.66-1622.94] 在资料中心的power architecture方面
[1622.94-1624.50] 台达除了board level
[1624.50-1625.86] reg level之外
[1625.86-1627.22] 在facility level
[1627.22-1629.38] 也就是所谓的medium voltage
[1629.38-1630.90] 这边也有一些产品
[1630.90-1637.62] 是否可以多分享一些关于台达在medium voltage这边的布局跟产品呢
[1637.62-1642.14] 我们那边其实到目前为止做的不算多了
[1642.14-1643.06] 那个里面是有几个项目的
[1643.06-1644.34] 我们有几家大的公司
[1644.34-1647.94] 像Snyder、Eton、Vertiv这几家公司
[1647.94-1651.82] 他们长期是占据了市场大部分的分布
[1651.82-1655.74] 那作为一个电源解决方案的厂商
[1655.74-1659.58] 我们当然也很希望能够去往那边走
[1659.58-1661.30] 甚至往电网的方向走
[1661.30-1664.82] 所以其实开发了不少的技术跟产品
[1664.82-1668.82] 像这个重压变频器
[1668.82-1670.86] 这个什么固态变压器
[1670.86-1671.98] 这一类的东西
[1671.98-1672.70] 那就是
[1673.06-1677.70] 其实它当然就比较常见广泛 但这一类门没有hor Olia
[1677.70-1679.06] 进行电阻
[1679.06-1680.06] 但是 meille今天也正在说
[1680.06-1680.62] 光是用altair的事
[1680.62-1682.08] 我们也可以在这个 也完全不需要老是勤 zaj
[1682.08-1683.30] 我们现在也想着
[1683.30-1685.30] 就 fastest ポイント
[1685.30-1688.26] 变 notch
[1688.26-1690.62] 分布时bereich
[1690.62-1691.10] 就直接进入渠道
[1691.10-1691.62] 如果渠道的数量不一样
[1691.62-1694.06] 这个 cleaned up
[1694.06-1698.14] 完全可以无所 Moses
[1698.14-1699.84] 这是 sitten我们枷锁
[1699.84-1700.86] 我们说
[1700.86-1701.76] 就能控制这样的发电率
[1701.76-1702.26] 利润我们能察觉我们比如说现在这个电阻
[1702.26-1702.70] 同样会中間这一些太宵 stär,到底能不能通过它爆因 Into delta center
[1703.06-1704.30] 事实上只有800伏
[1704.30-1707.18] 那主要是因为你在
[1707.18-1710.06] 一般的这种应用环境里面
[1710.06-1711.74] 像REC level的东西
[1711.74-1713.42] 100伏200伏
[1713.42-1715.24] 一般工业来说
[1715.24-1717.72] 380伏480伏是正常的
[1717.72-1720.56] 到800伏已经是很高压了
[1720.56-1722.74] 所以这个有时候会有点confusing
[1722.74-1724.44] 这个请各位见谅
[1724.44-1726.58] 那实际上的东西
[1726.58-1728.38] 还是要请各位去看看
[1728.38-1729.84] 那我只能说
[1729.84-1732.50] 电源的产品
[1732.50-1733.92] 事实上是越来越复杂
[1733.92-1736.46] 尤其是在这个资料中心里面
[1736.46-1737.82] 像AI server
[1737.82-1741.20] 假如各位有兴趣的话
[1741.20-1743.90] 下个星期在这个美国的GTC
[1743.90-1745.56] 我们也会有这个
[1745.56-1747.38] 所谓的Virtual虚拟的展区
[1747.38-1749.24] 那各位可以上网去看一看
[1749.24-1751.14] 我们新发表的一些东西
[1751.14-1752.30] 那跟Blackwell
[1752.30-1755.34] 就是现在这个是在GB200
[1755.34-1759.82] 这个架构又有很多不一样的东西
[1759.82-1762.90] 那里面就会有更多这个
[1762.90-1765.12] 电源的产品
[1765.12-1766.50] 那是我们的ACDC
[1766.50-1768.26] 尤其是DCDC
[1768.26-1770.40] 那个增加的会比较明显一些
[1770.40-1771.72] 以后可能都是这样
[1771.72-1773.68] 那电源产业还有几个趋势
[1773.68-1775.72] 其实也对我们都是有利的
[1775.72-1778.26] 比如说所谓的集中化的趋势
[1778.26-1780.36] 以前我们做电源供应器
[1780.36-1781.90] 都是一颗一颗小小
[1781.90-1783.28] 有些甚至就是塑胶壳
[1783.28-1784.90] 像各位的笔电的这个
[1784.90-1786.80] 大颗一半都是塑胶壳
[1786.80-1789.44] 那有些就是金属壳
[1789.82-1791.72] 那就是所谓的Power Supply Unit
[1791.72-1793.34] 那到了AI Server
[1793.34-1795.20] 我们出很多所谓的PowerShelf
[1795.20-1796.62] PowerShelf里面
[1796.62-1797.98] 它基本上就像一个抽屉
[1797.98-1801.00] 它里面有好几颗这个Power Supply Unit
[1801.00-1803.18] 以现在来讲一般大概六颗
[1803.18-1805.88] 那每一个就是几千瓦
[1805.88-1807.26] 加在一起就是几万瓦
[1807.26-1808.58] 但是呢
[1808.58-1810.86] 很快各位就会看到
[1810.86-1812.78] 这个整个Rack
[1812.78-1814.04] 里面都是电源
[1814.04-1816.38] 可能有很多个PowerShelf
[1816.38-1818.08] 六个啦八个啦之类的
[1818.08-1819.34] 然后再搭一些其他的
[1819.34-1819.80] 这个电源
[1819.82-1821.00] 电源设备
[1821.00-1822.64] 这个是所谓的Rack Power
[1822.64-1824.56] 我们也把它叫做Sidecar
[1824.56-1827.82] 因为它其实是在这个Server Rack旁边
[1827.82-1829.36] 就是一个Sidecar
[1829.36-1833.28] 所以应该说今年以前
[1833.28-1834.32] 如果听到Sidecar
[1834.32-1836.20] 可能以为是一个这个
[1836.20-1837.34] 易冷的设备
[1837.34-1840.94] 但是但是以后就不一定了
[1840.94-1842.86] 那个电源也可以是一个Sidecar
[1842.86-1844.42] 因为就放在旁边嘛
[1844.42-1846.94] 那更夸张一点的话
[1846.94-1848.72] 就是说甚至整个Container
[1848.72-1849.76] 像那种Container
[1849.82-1853.14] 它那个里面可以放满了电源
[1853.14-1855.70] 这个我们叫做PowerTrain Solution
[1855.70-1856.98] 火车那个Train
[1856.98-1861.08] 然后它透过Busbar直接接到
[1861.08-1864.16] 类似这种不柜型的资料中心
[1864.16-1865.70] 所以就越来越集中
[1865.70-1867.22] 那越来越集中的话
[1867.22-1870.56] 对我们来讲其实是多很多这个营收的来源
[1870.56-1873.72] 因为你以前这个像这个塑胶壳
[1873.72-1874.46] 当然不值钱
[1874.46-1875.94] 金属壳还比较值钱
[1875.94-1878.74] 但是你把这些东西放到这个PowerShelf的时候
[1878.74-1880.54] 你又多了这个Enclosure
[1880.54-1882.58] 多了一些控制元件等等
[1882.58-1884.38] 这些钱就可以赚
[1884.38-1885.90] 然后你放到Rack里面
[1885.90-1888.22] Rack里面其实是一个一个PowerShelf的
[1888.22-1889.74] 所以你原本的PowerShelf的钱
[1889.74-1890.78] 当然是可以赚
[1890.78-1892.56] 那个Rack本身也是很贵的
[1892.56-1896.14] 那个也是我们变成我们的营收来源
[1896.14-1898.46] 那假如再帮到一些其他的设备
[1898.46-1899.98] 什么VVU啦
[1899.98-1901.02] Compositor啦
[1901.02-1901.78] 这些东西
[1901.78-1903.06] 我们又多很多营收
[1903.06-1905.36] 所以趋势上来讲
[1905.36-1907.92] 其实对整个电源产业是蛮有利的
[1907.92-1908.70] 就是说我们要有一个
[1908.74-1910.54] 要很有竞争力就是
[1910.54-1912.84] 我们要能够去争取到这些生意
[1914.88-1916.16] 那第二个问题是
[1916.16-1917.70] 除了GB200之外
[1917.70-1921.02] Tofo也谈一下台达在GB300
[1921.02-1923.34] 甚至是Rubin这边产品的布局
[1923.58-1926.92] 或者是比较新的基台NVL288这边的布局
[1927.18-1928.96] 比方说DC-DC Converter
[1928.96-1932.30] 有没有可能重新参与客户新一代产品设计
[1932.54-1936.90] 或是AC电源在瓦数上在Rubin会看到更进一步的提升
[1938.74-1942.32] 这个瓦数提升是趋势啦
[1942.32-1944.88] 我觉得这个就是说会一直增加
[1944.88-1949.50] 因为虽然说半导体的制作工艺一直在进步
[1949.50-1952.30] 那个电晶体数增加的太快
[1952.30-1960.24] 所以那个整个Processor处理器的耗电是快速增加的
[1960.24-1963.06] 每一代几乎都是增加三五十个percent
[1963.06-1966.14] 你看以前一个伺服器电源
[1966.14-1967.42] 也不是电源啦
[1967.42-1968.70] 就是这个处理器
[1968.74-1969.50] CPU
[1969.76-1971.04] 可能两三百瓦
[1971.30-1974.12] 那到GPU就是700瓦
[1974.12-1975.14] 现在1000瓦
[1975.40-1976.94] 很快就成了1500瓦
[1976.94-1977.70] 甚至更高
[1977.96-1982.06] 然后呢你伺服器里面装的这个处理器
[1982.06-1983.34] 越来越多
[1983.34-1983.84] 以前
[1984.36-1986.92] 2way装两颗CPU就搞定了
[1987.94-1988.96] 最多装到8颗吧
[1989.48-1991.26] 那你8颗事实上那个
[1991.52-1992.80] 用电也没多少啊
[1992.80-1993.58] 一两千瓦
[1993.58-1995.62] 我们一个3000瓦的电源可能搞定
[1995.88-1998.70] 但是现在就完全不是这么回事了
[1998.74-2000.78] 一个GP200它这个
[2001.30-2001.82] 整个
[2001.82-2003.10] 耗电然后功率
[2003.10-2004.12] 额定功率就有
[2004.38-2005.40] 超过12万瓦
[2005.40-2006.68] 电源基本上你要
[2007.18-2008.22] 14万瓦以上啦
[2008.22-2009.50] 然后再加上Redundance
[2010.00-2011.28] 你找去把
[2011.80-2013.58] 所有电源的output加总的话
[2013.58-2014.86] 其实是20几万瓦
[2015.38-2018.20] 所以那个是一直在提升
[2018.20-2018.96] 这个是
[2019.48-2021.02] 几乎很确定的趋势
[2021.02-2021.78] 除非
[2022.30-2025.36] 除非这个大家对运算能力的要求
[2025.62-2026.90] 突然之间下降
[2027.16-2027.66] 但
[2027.92-2028.70] 这个我们觉得
[2028.74-2030.78] 机会很低啦
[2030.78-2033.86] 即使是有所谓这些Deep-Seek
[2033.86-2035.90] 这些比较有创新的方式
[2036.16-2037.44] 做出来的模型
[2039.50-2041.54] 因为现在看这个AI
[2041.80-2043.58] 事实上它还在发展的初期
[2044.86-2048.46] 目前看到主要的还是所谓的语言模型
[2048.46-2050.24] 它对这个运算能力的要求
[2050.50-2051.52] 事实上还没有那么高
[2052.04-2056.38] 那你在进化到图形甚至这个影像
[2056.64-2057.42] 就是video
[2057.92-2058.70] 的时候
[2058.74-2060.54] 那个对于运算能力的要求
[2060.78-2061.30] 那是
[2061.56-2064.12] 上百上千倍的甚至几千倍的
[2064.12-2067.96] 所以这个其实还看不到一个
[2068.46-2069.50] 不要说终点啦
[2070.00-2072.82] 就是连减速的机会都不是那么大啦
[2072.82-2074.86] 但有一个前提就是说
[2076.66-2079.22] 这些AI不管是模型也好
[2079.48-2081.02] 或者是其中一些运营的
[2081.52-2084.34] 这个方式你要有Business Model
[2084.60-2086.64] 你要能够产生一些价值
[2086.90-2087.42] 不然这个
[2087.66-2088.44] 投资很难
[2088.74-2090.28] 它就一路增加下去了
[2090.54-2091.56] 哪来的钱投资呢
[2091.82-2095.14] 所以这个其实是一个比较大的
[2095.40-2095.90] Question Mark
[2096.16-2097.44] 那我们也很难确定
[2097.70-2099.24] 但是以技术来讲的话
[2099.50-2100.78] 就是一直往前走
[2101.02-2101.80] 就是
[2102.06-2103.58] 耗电会越来越多
[2104.86-2106.40] 都是蛮固定的趋势
[2106.66-2108.20] 细节我很难多讲
[2108.46-2111.78] 可能就是像我说的这个下个星期GTC
[2112.30-2113.32] 我们会有
[2113.58-2115.36] 如果有机会去当然是最好
[2115.88-2117.42] 那如果没办法的话
[2117.66-2118.44] 我们会有个Virtual的
[2118.74-2119.50] 一个展区
[2119.76-2120.54] 就像去年那样子
[2121.04-2123.34] 那各位可以上网看一下我们
[2123.60-2124.12] 这些
[2124.38-2125.40] 新的
[2127.70-2130.26] 新世代的一些产品跟技术
[2130.52-2131.28] 会跟
[2131.54-2133.08] 现在的世代有些差异
[2133.34-2134.62] 不过主要还是
[2134.86-2135.38] 就是
[2135.90-2137.18] 最近的这个改版
[2137.42-2139.74] 因为到Rubin那个其实还有点远
[2140.24-2141.78] 还有一些不确定性存在
[2144.08-2145.10] 谢谢
[2145.36-2146.90] 罗经理精辟的一个说明
[2148.74-2150.14] Fruit of his own drei
[2150.46-2155.02] 她 letters
[2155.40-2155.78] 而已
[2155.78-2156.52] 就 Давайте说 Ambassador
[2156.68-2176.38] ingeat
[2176.38-2176.90] 四
[2177.00-2178.44] 我们
