[30.00-33.60] 會參加永庸金證券舉辦的第一季投資論壇
[1946.98-1951.22] 看见我没长
[1951.22-1953.94] 好
[1954.30-1956.78] 以 passing 在户口
[1956.78-1959.22] 或者 Greno大22
[1959.22-1959.54] 这个 bajie
[1959.54-1960.88] 左右
[1960.88-1961.32] 好像
[1961.32-1964.72] 我还要把这 quantitative
[1964.72-1964.88] 非常的
[1964.88-1965.74] 这个
[1965.74-1966.70] 放在这个
[1966.70-1968.10] 我们才 Hindu
[1968.10-1977.26] 瓜
[1982.62-1983.62] bois
[1984.30-1998.92] 显卡是5060然后5090
[1998.92-2000.62] 我们都有
[2000.62-2004.62] 但实际上客人用多少
[2004.62-2007.14] 应该说PCB版厂客人用多少
[2007.14-2008.34] 我们不确定
[2008.34-2017.84] 我没有一个一个这样去问业务
[2017.84-2021.44] 所以我不太确定这个市占率是多少
[2021.44-2034.72] 我现在显卡不是M4就是M6
[2036.72-2037.92] 用的这个
[2037.92-2038.32] M4
[2038.34-2040.46] CCL等级不是M4就是M6
[2040.46-2041.40] 因为也没有M5
[2041.40-2044.02] 不是M4就是M6
[2044.02-2047.12] 除非是那种真的很低阶的
[2047.12-2049.70] 才会还继续用M2
[2049.70-2054.06] 那M4跟M6
[2054.06-2056.86] 这个材料的毛利率
[2056.86-2058.28] 对联盟来说是差不多的
[2068.34-2073.80] 对是跟 M4同步在一起
[2073.80-2076.02] 对
[2076.02-2077.16] 刚才你们说上 Guru
[2077.16-2078.26] 在 cereal链里说
[2078.26-2080.60] ungkin这个希望进场会中
[2080.60-2082.20] 就是Mp3
[2082.20-2084.06] 还在这个电话上
[2084.06-2085.68] 所以 asteroid
[2085.68-2087.28] 我没有没美金
[2087.28-2088.50] 我也没有美金
[2088.50-2090.40] 而且 yummy
[2090.40-2093.16] ключ市商人或者在敘事
[2093.16-2095.52] 要如果你不代表sub48
[2095.52-2096.48] 我可以把算出来
[2096.48-2097.50] DENNIS
[2097.50-2098.34] N emissions
[2098.34-2100.86] 的材料去走
[2100.86-2103.96] 每个产品应用都往更高级的材料去走
[2103.96-2107.24] 我觉得真的最受惠的
[2107.24-2110.50] 当然还是毛利率贡献最好的
[2110.50-2112.86] 当然还是我们的infrastructure基础建设
[2112.86-2113.38] 这一块
[2113.38-2117.76] 但是现在应该说从过去一两年
[2117.76-2120.80] 我们也有观察到车用电子
[2120.80-2122.22] 因为车用电子现在在联贸营收
[2122.22-2123.60] 也是大概20%左右
[2123.60-2126.86] 它对于材料的要求也持续在提升
[2126.86-2129.62] 所以也有看到车用电子
[2129.62-2131.64] 如果营收比占越高的话
[2131.64-2133.84] 其实对我们毛利率上面来说
[2133.84-2135.88] 都是有一个不错的贡献度
[2135.88-2141.02] 也就是说只要基础建设和车用电子
[2141.02-2147.00] 持续维持在这一个可能接近85%
[2147.00-2151.52] 甚至往90%这个方向的占比的话
[2151.52-2154.26] 我们的毛利率都会加速提升
[2154.26-2156.82] 谢谢
[2156.82-2156.84] 谢谢
[2156.84-2156.86] 谢谢
[2156.86-2163.26] tasting
[2172.88-2176.00] 中国的cs trip
[2176.04-2177.46] 哦这个我也猜不出来
[2177.48-2178.80] 唉
[2178.80-2181.24] 应应该还是美欧美的为主啦
[2181.24-2183.40] 中国的可能还是比较少一点
[2183.40-2184.26] 今年
[2185.54-2186.24] 日月
[2186.24-2186.84] 中
[2186.84-2193.40] 中國像他們有很大一部分他們也是用H20
[2195.28-2198.32] 所以我比較沒辦法去再細裁說
[2198.32-2202.52] 到底哪些是否H20的中國
[2202.52-2205.52] 或是中國自己的
[2205.52-2207.04] 就是我猜不出來
[2207.04-2212.92] 基本上H20現在也都是已經用到M7等級的材料了
[2212.92-2218.00] 所以剛剛有另外一位投資先進在問我的時候
[2218.00-2220.44] 我才會跟大家分享說M7
[2220.44-2224.16] 我們今年一定還是可以倍數以上的成長
[2242.92-2258.64] 那不曉得在場會不會還有其他問題要再提出來的嗎
[2269.92-2270.92] 如果沒有的話
[2270.92-2272.80] 我們今天聯貿的法人說明
[2272.92-2274.84] 會就到這邊結束
[2274.84-2276.16] 非常謝謝各位的參加
[2276.16-2277.92] 謝謝
