[0.00-1.68] 各位线上的投资先进
[1689.30-1691.98] 可以看到其实就是说近4年来的话
[1691.98-1694.66] 我们大概都是2.0几
[1694.66-1697.50] 2.0几这样子
[1697.50-1700.14] 那所以说整个我们看到整个OPI的话
[1700.14-1702.70] 其实我们就其实近5年来的话
[1702.70-1706.46] 我们也稳健的站在就是说2%以上
[1706.46-1710.10] 那以去年的话大概是也来到了2.35
[1710.10-1714.22] 2.35这样子
[1714.22-1717.98] 那整个我想整个lame income跟PAT ratio
[1717.98-1719.30] 那去年的话讲
[1719.30-1720.98] 赚了92亿
[1720.98-1725.46] 那整个PAT的一个ratio也来到就是说2.2个percent
[1725.46-1727.58] 2.2个percent这样子
[1727.58-1730.98] 那整个book value在这边的话46.2
[1730.98-1733.02] 那其实可以看到
[1733.02-1735.90] 其实我想除了获利的一个增长之外
[1735.90-1738.62] 其实我们在我们的净值这边的话
[1738.62-1740.02] 其实10年来的话
[1740.02-1741.94] 我们compound growth也是来到了
[1741.94-1746.30] 超过7个percent的一个增加这样子
[1746.30-1749.06] 那至于就是说整个dividend
[1749.30-1751.58] 就是说我们的payout ratio
[1751.58-1754.86] 那2024年的话我想在前天的董事会
[1754.86-1758.22] 已经决议就说整个今年是发
[1758.22-1761.66] 就是说每股4元的一个现金股益
[1761.66-1764.18] 那整个payout ratio的话是来到就是说
[1764.18-1767.26] 72个percent这样子
[1767.26-1768.54] 所以说这边也可以看到
[1768.54-1772.50] 其实就是说我们历年来的一个payout ratio
[1772.50-1775.18] 其实我们大概就是维持在超过
[1775.18-1779.14] 是60几70这样子70这样子那个
[1779.30-1782.98] 那当然有几个年度有特殊的原因
[1782.98-1785.74] 我们有低于就说50
[1785.74-1790.02] 但是我想我们有几个年度也是来到80
[1790.02-1791.54] 80 100这样子
[1791.54-1794.62] 我想其实整个我想这个大概就是
[1794.62-1800.78] 整个我们整个这个dividend的一些payout的一个
[1800.78-1805.42] 过去的一些数字供大家参考
[1805.42-1807.42] 那最后想报告一下
[1807.42-1808.62] 就是说我们的这个payout ratio
[1808.62-1809.26] 那最后想报告一下
[1809.26-1811.34] 就是说整个这个ESG
[1811.34-1812.46] 那ESG基本上的话
[1812.46-1815.14] 好像以我们做流通产业的话
[1815.14-1818.90] 其实算是一个low risk的一个产业
[1818.90-1820.90] 所以说其实我们那个risk factor的话
[1820.90-1824.54] 我们大概就10.7左右
[1824.54-1825.30] 那整个的话
[1825.30-1830.66] 我想整个我们也依照就是说整个政府的规范
[1830.66-1835.22] 我们在这个去年的话就完成了一个
[1835.22-1838.46] 就是说母公司的一个缩网事业盘查
[1838.62-1842.14] 那接下来我想我们还会再开始依照这个行程
[1842.14-1845.34] 来做子公司的一些盘查
[1845.34-1848.10] 但是从整个母公司这边的话
[1848.10-1849.02] 我们看到的话
[1849.02-1851.42] 其实我们连续两年
[1851.42-1855.18] 我们的碳排大概都是下降超过10%
[1855.18-1857.10] 10%这样
[1857.10-1858.02] 那这边的话
[1858.02-1860.50] 另外的话就是说我们也定价就是说
[1860.50-1862.58] 可以到2023年
[1862.58-1865.54] 我们整个的一个碳排的一个目标
[1865.54-1868.46] 就是相对于这个这个20
[1868.62-1873.10] 23年我们会下降25%
[1873.10-1876.14] 那这个这个是我目前定出来的目标
[1876.14-1880.02] 然后我以上就是我今天的一个报告
