[0.00-3.84] 我們非常歡迎惠陽來參加我們的台新論壇
[1427.60-1429.60] 中國船品質多好
[1429.60-1430.60] 這是他們的成本
[1430.60-1431.60] 尤其在勞工方面
[1431.60-1433.60] 一直比較缺乏
[1433.60-1435.60] 所以我們覺得這個其實也是
[1435.60-1437.60] 未來的全球造船業怎麼走
[1437.60-1439.60] 需要考慮的一個部分
[1439.60-1442.60] 那以我們惠陽海運公司來說的話
[1442.60-1444.60] 我們公司的船
[1444.60-1446.60] 幾乎都是日本造的
[1446.60-1448.60] 有少數中國造的就是
[1449.60-1450.60] 日資的船廠
[1450.60-1452.60] 比方說長池舟山
[1452.60-1456.60] 或者是這個NUX
[1456.60-1460.60] 是南通的川崎和中遠合資的
[1460.60-1465.60] 這一種船我們會中國製
[1465.60-1468.60] 其他的話我們比較少到中國製的船
[1468.60-1470.60] 所以我們認為對於中國船
[1470.60-1474.60] 如果有客徵特別費的政策會起事的話
[1474.60-1476.60] 對我們公司的短期沖擊
[1476.60-1478.60] 應該不是什麼負面的
[1478.60-1481.60] 對我們目前並不是
[1481.60-1484.60] 對這個意圖我們是屬於一個
[1484.60-1485.60] 也是在觀察中
[1485.60-1487.60] 我們認為這個對惠陽
[1487.60-1491.60] 並不是一個特別利通的消息
[1491.60-1492.60] 不但能力多
[1492.60-1494.60] 因為這個東西就是
[1494.60-1495.60] 也不能講不然
[1495.60-1498.60] 去客人別人的服務費
[1498.60-1501.60] 我們就一定可以趁機搭轉
[1501.60-1502.60] 這也不見得
[1502.60-1506.60] 不過我想如果這個政策成真的話
[1506.60-1507.60] 多少多少我也影響
[1508.60-1510.60] 我們的船舟船的價格
[1510.60-1511.60] 我們也會有一個
[1511.60-1513.60] 不同船級的船舶的市價
[1513.60-1514.60] 當然你說這個是不是
[1514.60-1515.60] 好像不是很合理
[1515.60-1517.60] 其實本來市場就是這樣子
[1517.60-1521.60] 現在其實中國造船跟日本造船
[1521.60-1523.60] 在租金上面來講是有差異的
[1523.60-1525.60] 二手價的差異是更明顯
[1525.60-1528.60] 所以我們覺得這也沒什麼
[1528.60-1530.60] 不能講說是很奇怪
[1530.60-1532.60] 我們講說會是一個
[1532.60-1534.60] 一個additional concern
[1534.60-1536.60] 就是多一個因素表達力
[1536.60-1538.60] 那麼它每個船舟舟舟的價格
[1538.60-1539.60] 就是我們信心 June
[1539.60-1540.60] 你去做批評
[1540.60-1541.76] showing traffic
[1541.76-1542.60] normalmente those
[1542.60-1544.60] 我們都不值 Tae
[1544.60-1547.60] 這 !
[1547.60-1549.60] 所以我們實際的
[1549.60-1550.60] Для中國的國民 All right
[1550.60-1551.60] 我們做國民事 other people
[1551.60-1552.56] General
[1552.56-1553.60] 我們有多少人
[1554.64-1555.94] 負擔你的心聲
[1556.60-1557.40] 或者說
[1557.60-1559.60] 我就是占了你的 position
[1560.60-1561.60] 我們自己都負責
[1561.60-1562.60] 好
[1563.60-1565.60] 昨天平台有一個
[1565.60-1566.60] 夕月嘛
[1566.60-1567.60] Chinatown
[1567.60-1574.60] 所以中國的經濟活力目前仍然是和散裝船運有比較密切的關係
[1574.60-1577.60] 因為不管是煉鋼或者是基礎建設
[1577.60-1579.60] 中國都是相當大的市場
[1579.60-1583.60] 所以我們並不能不夠排除這個部分
[1583.60-1585.60] 對於散裝航運所造成的一些不確定性
[1585.60-1588.60] 但是在貿易戰的背景之下
[1588.60-1592.60] 似乎目前對於中國的經濟前程
[1592.60-1598.60] 仍然是沒辦法有一個確定的樂觀看法
[1598.60-1604.60] 所以這個方面我想也會造成世界散裝的市場
[1604.60-1607.60] 未來一定程度的影響
[1607.60-1610.60] 這個對於中國仍然是不斷在發生的
[1610.60-1613.60] 再來的話大家也會比較關心的就是戰爭和一些區域衝突
[1613.60-1616.60] 比方說俄互戰爭是不是災禍要重建
[1616.60-1619.60] 或者是會影響航道
[1619.60-1622.60] 再來以巴戰爭是不是要洗溫
[1622.60-1625.60] 因為我們現在已經經過了這個實際的狀況
[1625.60-1626.60] 不過我們現在發現
[1626.60-1628.60] 因為大家可能實力都很雄厚
[1628.60-1631.60] 所以這下戰爭都沒有那麼快結束
[1631.60-1634.60] 針對於重建的商機
[1634.60-1638.60] 我們認為停戰之後一定是有重建的需求
[1638.60-1641.60] 但是重建是不是會一下子馬上發生
[1641.60-1643.60] 我想這也未必
[1643.60-1645.60] 所以應該是說重建也需要慢慢來
[1645.60-1646.60] 需要時間
[1646.60-1649.60] 不可能說一下把全球的船通通都
[1649.60-1651.60] 這個原物料 鋼筋 水泥
[1651.60-1652.60] 通通都載到
[1652.60-1656.60] 這個實務上也不太可能
[1656.60-1659.60] 所以我想重建是一個漫長的過程
[1659.60-1661.60] 那我們認為在這過程當中
[1661.60-1663.60] 商機是肯定會有的
[1663.60-1666.60] 但是要說俄互戰爭完之後就要開網盤
[1666.60-1669.60] 這個是比較熱門的一個看法
[1669.60-1670.60] 應該這麼說
[1670.60-1673.60] 再來就是新造船投資的減緩
[1673.60-1676.60] 那麼這幾年尤其在粉中投入的這個部分
[1676.60-1680.60] 我們有感覺到新造船的數量不是那麼多
[1680.60-1682.60] 這在疫情後有很明顯出現的
[1682.60-1684.60] 一個缺口
[1684.60-1688.60] 就是針對於散裝船的新船投資不足
[1688.60-1691.60] 但是呢在疫情過了幾年之後
[1691.60-1693.60] 我們發現可能有些船舶
[1693.60-1695.60] 也許它是本來訂的是container
[1695.60-1697.60] 後來又把它換成poker
[1697.60-1699.60] 有一些轉單的狀況
[1699.60-1703.60] 所以目前的這個新船的訂造訂單量
[1703.60-1705.60] 並不是很
[1705.60-1706.60] 不算是非常少
[1706.60-1708.60] 沒有那個一個明顯的缺口
[1708.60-1711.60] 但因為很多造船是也是一些這個handy size
[1711.60-1713.60] 所以呢
[1713.60-1717.60] 我們覺得也不至於到over supply
[1717.60-1720.60] 但是呢比較緩這也是事實
[1720.60-1723.60] 那麼尤其在現在第一個船價高
[1723.60-1727.60] 第二個是面對很多環保上面的一些不確定性
[1727.60-1730.60] 所以我想這個也是造成新造船的投資
[1730.60-1732.60] 相對兩千萬的一個原因
[1732.60-1735.60] 不過當然也有一些船廠的朋友有說
[1735.60-1739.60] 其實有很多其他船都
[1739.60-1741.60] 其實這兩年間開始了
[1741.60-1743.60] 船舶在進場
[1743.60-1745.60] 在造船
[1745.60-1747.60] 所以我想這個部分的話呢
[1747.60-1749.60] 這也是造成新造船的很多人
[1749.60-1751.60] 生產的一個重要的因素
[1751.60-1753.60] 因為其實船舶這個東西是這樣子喔
[1753.60-1755.60] 不管經濟怎麼動
[1755.60-1759.60] 其實大致上來講它整體的需求
[1759.60-1761.60] 都還是還蠻穩定
[1761.60-1765.60] 不是一個非常容易受到重大影響的
[1765.60-1767.60] 除非在一些全球性的經濟風暴
[1767.60-1769.60] 他們當然會影響比較多
[1769.60-1771.60] 不過我們認為船是一個
[1771.60-1773.60] sustainable的產業
[1773.60-1775.60] 它仍然會持續
[1775.60-1777.60] 它不是一個西洋產業
[1777.60-1780.60] 所以我想有一些船都想要往地進場
[1780.60-1782.60] 這個也是正常一件事情
[1782.60-1785.60] 不過現在考量是
[1785.60-1791.60] 就是不知道你訂的船對不對
[1791.60-1793.60] 那我們這邊也有放一個Cluster的表格
[1793.60-1795.60] 大家做一個參考
[1795.60-1798.60] 比如說這個Dry Bug的定盤裝上怎麼樣
[1798.60-1799.60] 所以各位也發現呢
[1799.60-1800.60] 之前是才好
[1800.60-1802.60] 2022年訂的其實就不多
[1802.60-1807.60] 然後但是這2023年就多起來
[1807.60-1809.60] 然後2024年稍微再降一些
[1809.60-1810.60] 那25年的話
[1810.60-1812.60] 目前我們當然還在觀察
[1814.60-1817.60] 那跟這個Containers在疫情後突然增加
[1817.60-1819.60] 然後2023年下降的狀況
[1819.60-1821.60] 可以說是有點反向
[1823.60-1826.60] 所以這兩者之間的排擠效應
[1826.60-1829.60] 我想是有的
[1830.60-1838.60] 那這個產業走勢主要就是依照我們這個不同的指數
[1838.60-1839.60] 然後跟大家分享一下
[1839.60-1842.60] 過去四年的傳播發生
[1842.60-1844.60] 這個傳播產動市場的狀況
[1844.60-1846.60] 那各位也看得到
[1846.60-1849.60] 第一個是BCI這種CAPSIZE
[1849.60-1850.60] 它的波動是最大
[1850.60-1852.60] 高的時候很高
[1852.60-1855.60] 低的時候它有時候還是最低的
[1855.60-1858.60] 那這個就是代表這個船型相對來講
[1858.60-1860.60] 它的波動度比較大
[1860.60-1864.60] 這也是因為CAPSIZE基本上只在鐵礦沙跟煤化
[1864.60-1866.60] 它貨物比較集中
[1866.60-1872.60] 所以這跟船公司的策略有關係
[1872.60-1874.60] 那相對來講的話
[1874.60-1876.60] 其他的船型也像BSI
[1876.60-1878.60] 大部分的行業是最平穩的
[1878.60-1881.60] 那在過去的幾年的市場的話
[1881.60-1884.60] 各位看到其實2021年的下半年是發生比較最高的
[1884.60-1887.60] 24年上半年也是不錯的
[1887.60-1890.60] 大概從23年底到24年上半年
[1890.60-1891.60] 現在都還不錯
[1891.60-1892.60] 那其他呢
[1892.60-1896.60] 這段時間的趨勢則是比較相對來講比較偏低
[1896.60-1897.60] 但是即使低呢
[1897.60-1901.60] 也沒有比22年23年這段時間還要糟
[1901.60-1903.60] 所以我們認為現在的市場狀況
[1903.60-1906.60] 可以說是不好
[1906.60-1909.60] 但也不是一個
[1909.60-1910.60] 呃 哀鴻遍野
[1910.60-1911.60] 應該這樣講
[1911.60-1914.60] 也沒有那麼慘
[1914.60-1917.60] 但是如果要說長期趨勢來講的話
[1917.60-1918.60] 我們認為現在的價格
[1918.60-1920.60] 往上的空間肯定是有的
[1920.60-1923.60] 那麼這張圖的話
[1923.60-1926.60] 我們是依照這個過去幾年的BDI
[1926.60-1928.60] 跟大家做一個分享
[1928.60-1930.60] 我們做一個分享的主要是
[1930.60-1932.60] 第一個是講船舶型是有季節性的
[1932.60-1934.60] 大部分的情況下
[1934.60-1936.60] 二月這段時間是會比較低的
[1936.60-1937.60] 然後呢
[1937.60-1939.60] 八月的時候
[1939.60-1941.60] 大部分的時候有在往下掉
[1941.60-1943.60] 有時候不會
[1943.60-1944.60] 那這個什麼意思呢
[1944.60-1947.60] 第一個是散裝航運有季節性
[1947.60-1948.60] 那他的季節性呢
[1948.60-1950.60] 其實跟各位資本上有關的
[1950.60-1952.60] 有點類似
[1952.60-1955.60] 就是放假的時候市場比較低
[1955.60-1959.60] 所以中國年跟放暑假都是不好的
[1959.60-1961.60] 那聖誕節為何不好呢
[1961.60-1962.60] 實在比較看不出來
[1962.60-1963.60] 因為過年的這段時間
[1963.60-1964.60] 聖誕節
[1964.60-1967.60] 真正聖誕節的時候是不發布的
[1967.60-1968.60] 所以呢但是這期
[1968.60-1970.60] 就是暑假的時候大家就放假
[1970.60-1971.60] 一般來講比較好
[1971.60-1973.60] 有時候也比較好
[1973.60-1975.60] 就是表示那一年
[1975.60-1976.60] 是一個不夠營養
[1976.60-1977.60] 淡季不淡
[1977.60-1978.60] 所以我們認為淡季不淡
[1978.60-1980.60] 往往是一個好現象
[1980.60-1981.60] 所以像2021年
[1981.60-1983.60] 就很明顯的這個狀況
[1983.60-1985.60] 那八月幾乎沒什麼掉下來
[1985.60-1988.60] 這是一個比較特殊的情形
[1990.60-1992.60] 所以這個是散裝航運
[1992.60-1994.60] 大致上的一個季節性
[1996.60-1998.60] 那接下來就是傳播視光
[1998.60-2000.60] 這個也是我們都固定的
[2000.60-2002.60] 我們收集一些市場上的資訊
[2002.60-2004.60] 給投資人做一個參考
[2004.60-2005.60] 那目前的話呢
[2005.60-2006.60] 在各個傳行
[2006.60-2007.60] 除了
[2007.60-2009.60] 在各個傳行呢
[2009.60-2011.60] 除了在CAPSIZE
[2011.60-2013.60] 我們的傳播是比較老一點以外
[2013.60-2014.60] 其他的傳行呢
[2014.60-2016.60] 我們基本上都比全球的
[2016.60-2020.60] 整體船隊的船名要年輕
[2020.60-2022.60] 那麼現在來看的話呢
[2022.60-2025.60] 全世界的傳播而言
[2025.60-2026.60] 在orderbook
[2026.60-2028.60] 和20年以上的傳播比起來
[2028.60-2030.60] 大致上而言
[2030.60-2032.60] 就是除了CAPSIZE是8.1
[2032.60-2034.60] 對5.6是比較高之外
[2034.60-2037.60] 然後PARAMAX兩個是平衡接近
[2037.60-2038.60] 然後SUPERMAX是平衡接近
[2039.60-2041.60] 然後CAPSIZE是老船比較多
[2041.60-2043.60] 然後HANDYSIDE這個老船就更多
[2043.60-2044.60] 所以我們覺得
[2044.60-2046.60] 這大致上來是有反應
[2046.60-2049.60] 未來這個各位可以看到
[2049.60-2050.60] 二十多年的船
[2050.60-2052.60] 就是將來準備要開換的
[2052.60-2055.60] 然後這個船是將來準備要投入的
[2055.60-2057.60] 那當然這個年份會有點差異
[2057.60-2060.60] 所以我們沒有辦法說很清楚的講
[2060.60-2061.60] 說這個就是不夠
[2061.60-2062.60] 那個就是夠
[2062.60-2063.60] 這個沒有辦法這樣講
[2063.60-2064.60] 因為20年以上
[2064.60-2065.60] 它是二十多年
[2065.60-2067.60] 21年還是28年
[2067.60-2068.60] 看不出來
[2068.60-2070.60] 然後會不會被淘汰
[2070.60-2071.60] 會不會被拿去尬掉
[2071.60-2073.60] 也沒有很
[2073.60-2074.60] 也沒有很
[2074.60-2077.60] 沒有任何科學的這個方法可以說一定是多少
[2077.60-2079.60] 但是基本上這個是過去未來幾年
[2079.60-2080.60] 面臨淘汰的
[2080.60-2081.60] 這個是未來幾年
[2081.60-2082.60] 就不要交傳了
[2082.60-2083.60] 這個大家也看得出來
[2083.60-2086.60] 所以我們可以利用這個表
[2086.60-2088.60] 大致的參考一下
[2088.60-2090.60] 說全球不同的船型
[2090.60-2092.60] 未來的工序行為是如何的
[2092.60-2094.60] 所以整體來看的話呢
[2094.60-2096.60] 我們還是比較樂觀一些的
[2096.60-2098.60] 因為我們覺得目前這個工序狀況
[2098.60-2100.60] 並不是很不健康的
[2100.60-2104.60] 好的
[2104.60-2107.60] 那接下來這個是少船量的變化
[2107.60-2110.60] 通常這個是從這個外面數字看出來的
[2110.60-2112.60] 各位看到其實在2025年
[2112.60-2113.60] 我們這個數字的時候
[2113.60-2114.60] 就會覺得capite
[2114.60-2116.60] 跟pionance增加比較多
[2116.60-2117.60] 然後superfine
[2117.60-2119.60] 跟handy增加就比較少
[2119.60-2121.60] 那這個可能就是因為有些人就開始
[2121.60-2123.60] 在佈局這兩個船型
[2123.60-2125.60] 可能就比較高了
[2125.60-2126.60] 所以呢其他的船型
[2126.60-2128.60] 我想算是海上的合併
[2128.60-2129.60] 這兩個船型的話呢
[2129.60-2132.60] 近期的投資的比較多
[2132.60-2135.60] 這跟我們公司剛各位看到的這個
[2135.60-2136.60] 我們這handy多
[2136.60-2137.60] 這也有一定的關係啦
[2137.60-2139.60] 因為我們覺得
[2139.60-2141.60] 立項操作不是一個壞事
[2143.60-2145.60] 那這個是我們把剛講的這個
[2145.60-2147.60] 20年以上的船
[2147.60-2150.60] 20年以上的船人穿過比例
[2150.60-2151.60] 跟新造船的比例
[2151.60-2153.60] 做一個畫一個圖啦
[2153.60-2155.60] 那各位看到有時候呢
[2155.60-2156.60] 紅線在上面
[2156.60-2157.60] 那就是表示比較
[2157.60-2159.60] 比較健康一些
[2159.60-2160.60] 那如果藍線在上面呢
[2160.60-2163.60] 就是可能會有攻擊過多
[2163.60-2165.60] 像2015年的時候就明顯很高
[2165.60-2167.60] 後來就市場就真的是不好
[2167.60-2169.60] 所以整個就掉下來
[2169.60-2170.60] 然後紅線基本上
[2170.60-2173.60] 這種老船相對來比較穩一些
[2173.60-2174.60] 就還好
[2174.60-2175.60] 那在剛才也講了
[2175.60-2177.60] 在這個2020年疫情的時候
[2177.60-2178.60] order就掉下來
[2178.60-2180.60] 但是呢這個東西看起來
[2180.60-2181.60] 現在有在慢慢追上
[2181.60-2183.60] 所以目前我們看到的
[2183.60-2185.60] 未來的供給需求
[2185.60-2187.60] 從數字上來看
[2187.60-2189.60] 算是比較平衡一些
[2189.60-2191.60] 沒有什麼重大的缺口
[2193.60-2195.60] 那這個也是給大家參考
[2195.60-2197.60] 就是每一年到底加了幾條船
[2197.60-2199.60] 然後這個scratch掉幾條船
[2199.60-2201.60] 然後其他的這些
[2201.60-2204.60] 基本上呢船隊大致上還是增加
[2204.60-2205.60] 但是各位看到
[2205.60-2207.60] 其實YY增加相當穩定
[2207.60-2208.60] 那我們覺得這個東西呢
[2208.60-2211.60] 全球的這個需求的上升
[2211.60-2212.60] 貿易需求的上升
[2212.60-2215.60] 基本上是可以支持這個
[2215.60-2217.60] 3%左右的這種溫度
[2217.60-2219.60] 的成長
[2223.60-2224.60] 那接下來這個財團釋放
[2224.60-2225.60] 這個也是給大家做參考
[2225.60-2227.60] 主要是做一些資訊
[2227.60-2228.60] 那各位
[2228.60-2229.60] 我是很朋友
[2229.60-2231.60] 如果要做一些比較詳細的計算
[2231.60-2232.60] 或是估計的話呢
[2232.60-2233.60] 也可以利用這些資訊
[2233.60-2235.60] 做一個參考
[2235.60-2237.60] 那麼因為2025年的時間還很短
[2237.60-2239.60] 所以目前這個percentage change
[2239.60-2241.60] 應該是跟去年比
[2241.60-2245.60] 可能數值還不是很穩定
[2245.60-2247.60] 當然他不是很值得參考
[2247.60-2248.60] 但是基本上來講的話
[2248.60-2251.60] 這幾年capacitize的下轉不算高
[2251.60-2254.60] 應該是大家覺得營運還不錯
[2254.60-2255.60] 所以還行
[2255.60-2256.60] 那巴馬馬極限型的話
[2256.60-2257.60] 變動就比較大
[2257.60-2260.60] 過去兩年算是猜的多了
[2260.60-2265.60] 那這個superlight也是類似這個情形
[2265.60-2268.60] 那handicap也比較穩定
[2268.60-2271.60] 那上面以上是大概講到
[2271.60-2272.60] 船舶整體供需的狀況
[2272.60-2273.60] 那接下來的話
[2273.60-2274.60] 我們會花一點點時間
[2274.60-2275.60] 跟大家介紹一下
[2275.60-2277.60] 整個航運行業的狀況
[2277.60-2279.60] 船舶航運業或是散裝航運
[2279.60-2281.60] 其實整個船運都有
[2281.60-2283.60] 如果我們是散裝公司
[2283.60-2285.60] 就當作講散裝吧
[2285.60-2287.60] 面對一些法規上的要求
[2287.60-2289.60] 那因為船舶是一個
[2289.60-2291.60] 被人家當作認為是一個很大的污染源
[2291.60-2293.60] 我們個人認為根本很公平
[2293.60-2295.60] 因為船舶載的貨物量很大
[2295.60-2297.60] 所以你就以載運貨物的
[2297.60-2300.60] 這個效率而言
[2300.60-2301.60] 我們認為絕對是比
[2301.60-2304.60] 什麼汽車火車飛機要高得多了
[2304.60-2306.60] 所以呢雖然有一些污染
[2306.60-2309.60] 但是我們如果平均照每噸位來看的話
[2309.60-2311.60] 其實我們覺得船舶
[2311.60-2313.60] 其實還算滿環保的
[2313.60-2315.60] 但是呢這個環保狀況之外
[2315.60-2316.60] 我們仍然是面對
[2316.60-2319.60] 一直在加強這個環保法規的要求
[2319.60-2320.60] 那我們覺得這也是合理啦
[2320.60-2322.60] 因為科技一直在進步
[2322.60-2323.60] 那我們也是應該要往
[2323.60-2325.60] 更環保的方向來走
[2325.60-2327.60] 那麼我們過去幾年
[2327.60-2329.60] 面對一些比較大的環保問題
[2329.60-2332.60] 如果是有在關心船舶航運業的朋友的話
[2332.60-2333.60] 可能大家也知道之前有講
[2333.60-2334.60] 帶氧化物
[2334.60-2336.60] 然後這個融化物
[2336.60-2337.60] 會影響到主機的設備
[2337.60-2339.60] 所以這種新船就要開始導
[2339.60-2341.60] 再來就是壓艙水
[2341.60-2343.60] 然後壓艙水就是在船上
[2343.60-2346.60] 要加裝壓艙水這種
[2346.60-2349.60] 這個水排放和這個
[2349.60-2353.60] 打進來跟排放壓艙水的這些處理設備
[2353.60-2355.60] 避免海洋微生物
[2355.60-2357.60] 從一個水文區域
[2357.60-2360.60] 被帶到另外一個水文區域
[2360.60-2363.60] 以致於破壞當地的海洋生態
[2363.60-2365.60] 然後再來就是
[2365.60-2366.60] 有化過排放
[2366.60-2367.60] 所以後來又要講
[2367.60-2369.60] 滴流油還是要裝拖流器
[2369.60-2370.60] 這些東西
[2370.60-2372.60] 再來最新的東西主要是碳排放
[2372.60-2374.60] 碳排放這東西是因為
[2374.60-2376.60] 當然講溫室氣體這個
[2376.60-2378.60] 溫室效應這個東西講很久
[2378.60-2379.60] 跟存油冷化的問題
[2379.60-2384.60] 但是碳基本上是只要是化學燃料就會有
[2384.60-2387.60] 所以大概進程相對來比較慢一些
[2387.60-2389.60] 但是我們在今年也已經看到
[2389.60-2391.60] 越來越多的相關規定
[2391.60-2393.60] 是講碳排放
[2393.60-2394.60] 所以我們也有這個機會
[2394.60-2396.60] 跟大家簡單做一些分享
[2396.60-2398.60] 碳排放的部分的話
[2398.60-2400.60] 最主要就是從設計的地方就有要求
[2400.60-2401.60] 一開始就是說
[2401.60-2403.60] 你這個船舶設計出來
[2403.60-2408.60] 你的設計的碳排放值就要是好的
[2408.60-2410.60] 那除了新船
[2410.60-2412.60] 這個是EDI就是Design的時候
[2412.60-2415.60] 再來就是EXI就是進入Existing
[2415.60-2416.60] 也就是說呢
[2416.60-2418.60] 這是一個溯級激網的規定
[2418.60-2419.60] 什麼叫溯級激網
[2419.60-2421.60] 就是新車出產的時候
[2421.60-2422.60] 你通常要符合這環保規定
[2422.60-2423.60] 那沒有化整的
[2423.60-2426.60] 你就賣而歸的就好
[2426.60-2428.60] 但是你如果舊船也要照規定的話
[2428.60-2429.60] 那怎麼辦
[2429.60-2431.60] 那你沒有合規定的可以跑嗎
[2431.60-2432.60] 怎麼辦
[2432.60-2434.60] 以船舶來講的話呢
[2434.60-2435.60] 這個就是可以做的
[2435.60-2436.60] 它的做法就是
[2436.60-2438.60] 你這個不符合規定
[2438.60-2441.60] 那你就要把它降到某個排放值
[2441.60-2442.60] 怎麼樣降呢
[2442.60-2446.60] 最簡單的方法就是Engine Power Regulation
[2446.60-2447.60] 就是降速啦
[2447.60-2448.60] 簡單講
[2448.60-2449.60] 開慢一點就好啦
[2449.60-2450.60] 所以呢
[2450.60-2451.60] 如果是以車來講的話
[2451.60-2453.60] 我們這台車速限可能就不能開到5公里
[2453.60-2454.60] 開到80公里
[2454.60-2455.60] 開到60公里
[2455.60-2456.60] 舉例啦
[2456.60-2458.60] 那當然汽車的話可能就不太一樣
[2458.60-2461.60] 因為會有這些限速跟安全性的問題
[2461.60-2462.60] 船舶來講的話呢
[2462.60-2465.60] 慢慢開其實大部分的行動下是無所謂的
[2465.60-2467.60] 所以Engine Output Regulation
[2467.60-2468.60] 這種減速
[2468.60-2471.60] 這是一個很常見的減碳方式
[2471.60-2473.60] 除了省油費也減碳
[2473.60-2476.60] 那另外就是加裝一些有的沒的東西
[2476.60-2479.60] 像不管是油漆啦風帆啦這類的
[2479.60-2481.60] 這也都可以達到減碳的效果
[2483.60-2486.60] 然後另外就是這個Carbon Intensity Indicator
[2486.60-2488.60] 這也是看船舶營運
[2488.60-2490.60] 看實際上營運的結果
[2490.60-2492.60] 以載的貨量來講
[2492.60-2494.60] 到底有沒有環保
[2494.60-2497.60] 到底有沒有足夠的載運效率
[2497.60-2498.60] 因為我剛剛講
[2498.60-2499.60] 哇 船舶是載幾萬噸
[2499.60-2500.60] 那如果一條船呢
[2500.60-2501.60] 它一樣排放這麼多碳
[2501.60-2503.60] 可是它每次載貨載的效果都很差
[2503.60-2504.60] 都沒有幾萬噸
[2504.60-2505.60] 都載幾百噸
[2505.60-2506.60] 那怎麼辦
[2506.60-2508.60] 那可能就會有CII的問題
[2508.60-2510.60] 不過CII是一個比較抽象的東西
[2510.60-2512.60] 所以目前它的強制性能呢
[2512.60-2513.60] 不是很好
[2513.60-2514.60] 因為我們認為呢
[2514.60-2515.60] 這個東西是一個開始
[2515.60-2519.60] 可能慢慢會再轉形成一個其他的東西
[2519.60-2524.60] 而且它因為它的經濟誘因上面的影響不明顯
[2524.60-2526.60] 沒有什麼罰款啊等等
[2526.60-2528.60] 那就是要你去改善計畫
[2528.60-2530.60] 改善計畫做不到會怎麼樣
[2530.60-2531.60] 目前也還不太清楚
[2531.60-2534.60] 所以我們認為CII是一個有規定
[2534.60-2538.60] 但是不是很有效的一個措施
[2538.60-2540.60] 其實船舶的規定基本上是這樣子喔
[2540.60-2542.60] 它有時候一開始不是很有信心
[2542.60-2545.60] 但是因為它在為下一個階段鋪路
[2545.60-2547.60] 所以這個是CII的狀況
[2547.60-2549.60] 那目前比較具體的就是歐盟
[2549.60-2551.60] 就是一向對環保是環保極限多
[2551.60-2552.60] 這具體的
[2552.60-2554.60] 它現在就有推對船舶推碳稅
[2554.60-2557.60] 碳稅呢其實在歐盟不是新的東西
[2557.60-2559.60] 但是以前不會對船來課
[2559.60-2560.60] 因為船到處跑
[2560.60-2562.60] 你又不能說我是歐洲船
[2562.60-2564.60] 但是他們現在的做法就是
[2564.60-2566.60] 但我不管你來歐洲就是要課稅
[2566.60-2567.60] 所以如果你是歐洲
[2567.60-2570.60] 從歐洲港口開到另外一個歐洲港口
[2570.60-2571.60] 那要課百分之百
[2571.60-2572.60] 你一開始
[2572.60-2575.60] 你從不是歐洲港口來到歐洲港口
[2575.60-2576.60] 或是從歐洲到別的地方
[2576.60-2578.60] 那要課百分之五十
[2578.60-2579.60] 這樣
[2579.60-2582.60] 所以這個是歐盟碳稅大約的一個時程
[2584.60-2586.60] 從2024年
[2586.60-2587.60] 從去年就開始
[2587.60-2590.60] 然後今年開始我們就應該要準備要收了
[2590.60-2592.60] 那麼我們認為歐盟碳稅
[2592.60-2593.60] 其實這個東西呢
[2593.60-2595.60] 比較簡單的理解方法
[2595.60-2598.60] 就是把它當作一個燃油的附加費
[2598.60-2600.60] 那它實際上影響是多少呢
[2600.60-2602.60] 其實以2025年的數據來講
[2602.60-2604.60] 大概就是油費
[2604.60-2605.60] 如果你要去歐洲的話
[2605.60-2607.60] 油費會多百分之二十八
[2607.60-2608.60] 那這是不是很貴呢
[2608.60-2610.60] 其實我們覺得是也還好
[2610.60-2612.60] 所以可能會有一些經濟衝擊
[2612.60-2614.60] 但是不到於說
[2614.60-2617.60] 不至於到說沒辦法承擔
[2617.60-2619.60] 那就是一個附加費
[2619.60-2621.60] 所以之後會不會對歐盟的
[2621.60-2623.60] 物價水準會有影響
[2623.60-2625.60] 這個我們當然還在觀察
[2625.60-2627.60] 不過對我們來說的話
[2627.60-2630.60] 其實就是一個很單純的東西
[2630.60-2631.60] 就是付錢
[2632.60-2635.60] 那這個比較不一樣
[2635.60-2638.60] 像Fuel EU就比較複雜一點點
[2638.60-2641.60] Fuel EU它的概念是要鼓勵傳統
[2641.60-2646.60] 採用其他替代性的燃料
[2646.60-2648.60] 那它取代替代性的燃料
[2648.60-2649.60] 它就要講說
[2649.60-2650.60] 它就直接看
[2650.60-2652.60] 說看你的這個排放的
[2652.60-2655.60] Greenhouse Gas的強度
[2655.60-2657.60] 是不是到什麼樣的狀況
[2657.60-2659.60] 那這個強度的計算就比較複雜一些
[2659.60-2660.60] 所以呢
[2660.60-2662.60] 它就會
[2662.60-2666.60] 它就會算說你這個燃料
[2666.60-2668.60] 從開採出來到最後
[2668.60-2671.60] 總共耗了多少我們的能源
[2671.60-2673.60] 然後來計算你的能源效率
[2673.60-2676.60] 然後不行的話你就要罰錢
[2676.60-2677.60] 現在的做法就是
[2677.60-2678.60] 你可以用Potential Fuel
[2678.60-2680.60] 或者是你跟人家做Poly
[2680.60-2682.60] 這就會比較複雜一點點
[2682.60-2684.60] 因為它沒有辦法很單純的算說
[2684.60-2686.60] 我現在油價加一噸就要怎樣
[2686.60-2688.60] 因為你有可能說
[2688.60-2690.60] 我一到三月我都是燒傳統的
[2690.60-2691.60] 是個化石燃料
[2691.60-2693.60] 那我四五六月我燒的是
