[0.00-4.50] 請教我們的張總跟林財務長
[1286.70-1288.70] 可能跟這個幾位總信義這邊的觀點
[1288.70-1289.70] 大家比較不一樣
[1289.70-1291.70] 新清安如果會造成最好的
[1291.70-1292.70] 很清安就
[1292.70-1294.70] 最滿身是血
[1294.70-1296.70] 一般的用新清安
[1296.70-1298.70] 會被擺脫的
[1298.70-1299.70] 百分之九十
[1299.70-1300.70] 都是二手房子
[1300.70-1301.70] 總裁房子
[1301.70-1303.70] 真的
[1303.70-1304.70] 預售服務的對的
[1304.70-1306.70] 其實都來不及
[1306.70-1307.70] 那台伯恩
[1307.70-1309.70] 那這一塊我們會不會衡量會
[1309.70-1310.70] 所以我
[1310.70-1311.70] 以我們來講
[1311.70-1313.70] 我們就不走流行市場那一段
[1313.70-1315.70] 就是我們用很低的自備款
[1315.70-1316.70] 然後希望消費者
[1316.70-1317.70] 他先來買
[1317.70-1319.70] 然後以後可以幹嘛幹嘛
[1319.70-1320.70] 沒有
[1320.70-1321.70] 甚至很多人說
[1321.70-1322.70] 你不要用工程你不管
[1322.70-1323.70] 我說不要
[1323.70-1324.70] 我不要
[1324.70-1325.70] 我們堅決不要
[1325.70-1327.70] 你就是沒錢付就好了
[1327.70-1329.70] 因為你沒錢付錢就付掉了
[1329.70-1331.70] 這跟我們拿貸款的一樣嘛
[1331.70-1333.70] 如果這樣銀行貸款改造說
[1333.70-1335.70] 我們這裡一戶的六十萬嘛
[1335.70-1337.70] 你要改一年六十萬好啊
[1337.70-1338.70] 你看不出來
[1338.70-1340.70] 郭靖很害人
[1340.70-1342.70] 沒有人可以動一動
[1342.70-1344.70] 說這條市場要留在台款
[1344.70-1346.70] 一戶的六十萬
[1346.70-1347.70] 沒有人
[1347.70-1349.70] 一年六十萬會發脾氣嗎
[1349.70-1350.70] 所以
[1351.70-1353.70] 我們還是習慣性把他的
[1353.70-1355.70] 就是自備款在簽約時間
[1355.70-1357.70] 你付十趴十五趴
[1357.70-1359.70] 工程習慣就付十趴十五趴
[1359.70-1361.70] 那銀貸的部分呢
[1361.70-1363.70] 原則上就是七十五到八十趴
[1363.70-1364.70] 然後第二個就是
[1364.70-1366.70] 你在購物之前
[1366.70-1368.70] 我們希望能跟你做一個
[1368.70-1370.70] 我今天有跟李總報告
[1370.70-1372.70] 我希望你們能夠去理解
[1372.70-1374.70] 買房子這件事情
[1374.70-1377.70] 雖然是具有一些投資獲利的角度
[1377.70-1379.70] 但是不是在這裡買房子
[1379.70-1380.70] 現在說
[1380.70-1382.70] 買三塊
[1382.70-1384.70] 你要經過審慎
[1384.70-1385.70] 所以我們希望在前期
[1385.70-1386.70] 我們要求
[1386.70-1388.70] 不管是不是我們供自售
[1388.70-1389.70] 還是我們給代銷銷售
[1389.70-1391.70] 我們要求客戶要填寫一份
[1391.70-1393.70] 貸款資訊調查表
[1393.70-1395.70] 你要看清楚你的財務狀況
[1395.70-1396.70] 你現在要買
[1396.70-1397.70] 你不要開玩笑
[1397.70-1398.70] 買房子
[1398.70-1399.70] 中期
[1399.70-1400.70] 這是一個景點
[1400.70-1401.70] 所以
[1401.70-1403.70] 我想我們會在這兩塊上面
[1403.70-1404.70] 第一個
[1404.70-1405.70] 因應市場
[1405.70-1406.70] 挑好產品訴求
[1406.70-1408.70] 除了規劃格局以外
[1408.70-1410.70] 當然我們也注意到什麼
[1410.70-1411.70] 第一
[1411.70-1413.70] 我們最近的建案
[1413.70-1414.70] 我們自己的
[1414.70-1415.70] 我們台灣都有
[1415.70-1417.70] 這個日本住有之鎮
[1417.70-1419.70] 還是我們台灣帶雲發的族中族
[1419.70-1421.70] 因為台東太可怕了
[1421.70-1423.70] 如果大樓
[1423.70-1424.70] 我們不止大樓
[1424.70-1425.70] 我們連16號碼都要裝在那裡
[1425.70-1426.70] 為什麼
[1426.70-1427.70] 要安全
[1427.70-1429.70] 中期有一個保障
[1429.70-1432.70] 因為你總是它的安全係數會更強
[1432.70-1435.70] 那要跟大家修正一下
[1435.70-1437.70] 這個不同的概念
[1437.70-1438.70] 大家都以為地震
[1438.70-1439.70] 大樓危險
[1439.70-1441.70] 實際上是透天更危險
[1441.70-1442.70] 久違大地震
[1442.70-1445.70] 大樓看它爆了好幾段跑大
[1445.70-1446.70] 大樓很厲害
[1446.70-1448.70] 透天都被它霸凍
[1448.70-1449.70] 透天都倒了
[1449.70-1450.70] 那不補了
[1450.70-1452.70] 它剛才倒不補了
[1452.70-1454.70] 但是大樓的畫面比較爽動
[1454.70-1455.70] 要有廠高
[1455.70-1456.70] 生命攤車
[1456.70-1458.70] 比較壯觀
[1458.70-1459.70] 所以都倒大樓
[1459.70-1460.70] 其實不是
[1460.70-1462.70] 倒大樓的就是因為它的很多
[1462.70-1464.70] 這個格局去做修改
[1464.70-1466.70] 所以我拉回來就說
[1466.70-1468.70] 所以回到在目前
[1468.70-1469.70] 我們現在看
[1469.70-1470.70] 我們會在這一塊
[1470.70-1471.70] 產品力上面
[1471.70-1473.70] 去做好一些修正
[1473.70-1474.70] 修訂
[1474.70-1475.70] 那我們也希望說
[1475.70-1477.70] 客戶在選購預售的階段
[1477.70-1479.70] 它在付款上面
[1479.70-1481.70] 我們也希望是很務實的態度
[1481.70-1482.70] 而不是取巧中
[1482.70-1483.70] 你這乾單行苦
[1483.70-1485.70] 我覺得我們不想這麼做
[1485.70-1486.70] 因為漲就好了
[1486.70-1489.70] 如果它緩平了
[1489.70-1491.70] 那它不就會
[1491.70-1493.70] 會緊張嗎
[1493.70-1494.70] 這個我覺得
[1494.70-1495.70] 我覺得有必要
[1495.70-1496.70] 要跟消費者說清楚
[1496.70-1497.70] 所以大概我們會在這一塊
[1497.70-1498.70] 會做這樣的
[1498.70-1499.70] 一個調整
[1499.70-1500.70] 謝謝
[1500.70-1501.70] 那我們謝謝張總
[1501.70-1503.70] 那我再簡註一下剛剛的問題
[1503.70-1505.70] 就是說就是面對今年
[1505.70-1507.70] 這波的房市的緊縮週期
[1507.70-1508.70] 好那我們接下來
[1508.70-1509.70] 下一個問題就是說
[1509.70-1510.70] 台灣經濟受惠
[1510.70-1512.70] 這個AI的蓬勃發展
[1512.70-1513.70] 表現強健
[1513.70-1514.70] 所以相對於這個
[1514.70-1516.70] 住宅市場的部分
[1516.70-1518.70] 那現在的商用不動產的
[1518.70-1520.70] 投資機會是否有比較高
[1520.70-1522.70] 好那我們也要先請張總
[1526.70-1528.70] 我來對這一題
[1528.70-1530.70] 我發言是最公道的
[1530.70-1532.70] 因為我目前沒有商業遺產
[1534.70-1537.70] 但是你問你問我說商業遺產
[1537.70-1540.70] 未來它會不會因為整體的這個
[1540.70-1541.70] 主客觀因素的影響
[1541.70-1542.70] 會不會蓬勃發展
[1542.70-1544.70] 我認為會
[1544.70-1545.70] 我很負責任
[1545.70-1546.70] 很真心的說
[1546.70-1550.70] 因為這個中北部我們就不談了
[1550.70-1552.70] 那如果你台中你南
[1552.70-1555.70] 不管是南台南還是郊野
[1555.70-1558.70] 你可以發現所謂的辦公
[1558.70-1561.70] 大樓商業空間
[1561.70-1563.70] 最小的一間是我剛才說的
[1563.70-1564.70] 這間
[1564.70-1566.70] 一九九五年
[1566.70-1568.70] 那你像我們自己辦公室
[1568.70-1569.70] 不太多中山樓
[1569.70-1570.70] 明環樓
[1570.70-1571.70] 那
[1571.70-1573.70] 那也是
[1573.70-1575.70] 兩千年之前就起了
[1575.70-1577.70] 你點的出來的辦公大樓
[1577.70-1579.70] 都是兩千年左右
[1579.70-1582.70] 所以你這樽都差不多二十多年以上
[1582.70-1583.70] 它會有一個真空
[1583.70-1585.70] 久大了
[1585.70-1586.70] 時間一久
[1586.70-1588.70] 我們田農工一定會有很多
[1588.70-1589.70] 不足之處
[1589.70-1592.70] 加上產業結構的調整
[1592.70-1593.70] 也不一樣
[1593.70-1595.70] 以前高雄
[1595.70-1597.70] 高雄港是封閉的
[1597.70-1598.70] 你看不出來
[1598.70-1599.70] 所以以前
[1599.70-1601.70] 西南巡
[1601.70-1604.70] 大人還是青城五十年
[1604.70-1605.70] 說我們高雄高雄
[1605.70-1606.70] 我港邊的
[1606.70-1608.70] 我一直都在高雄內陸
[1608.70-1610.70] 我們都在高雄
[1610.70-1611.70] 我們都在高雄附近
[1611.70-1613.70] 河又臭毛毛
[1613.70-1614.70] 一條叫愛河
[1614.70-1615.70] 它叫人愛河
[1615.70-1617.70] 它全名叫人愛河
[1617.70-1619.70] 另外就是颱風天來人不見了
[1619.70-1621.70] 它就變愛河了
[1621.70-1623.70] 所以愛河的前提是
[1623.70-1624.70] 首先要人不見
[1624.70-1626.70] 這是高雄的兩個笑話
[1626.70-1628.70] 所以沒有嘛
[1628.70-1630.70] 所以以前它的思維
[1630.70-1633.70] 大概停留在舊的規劃
[1633.70-1635.70] 那可是你有沒有發現
[1635.70-1637.70] 從後面那一天之後
[1637.70-1638.70] 近這幾年
[1638.70-1639.70] 這個陸資
[1639.70-1641.70] 包括外資的回流台灣
[1641.70-1643.70] 一條來生的
[1643.70-1644.70] 回來之後
[1644.70-1646.70] 除了不要說差頭地
[1646.70-1648.70] 除了起太陽
[1648.70-1650.70] 它需不需要有個門面辦公
[1650.70-1652.70] 我認為需要嘛
[1652.70-1653.70] 可是需要它目前的
[1653.70-1655.70] 這些都是舊的
[1655.70-1656.70] 所以轉變成
[1656.70-1658.70] 好啊我們再不要辦公室有買來
[1658.70-1659.70] 不要像他們那樣
[1659.70-1661.70] 自己也起一個總部
[1661.70-1662.70] 你沒辦法
[1662.70-1664.70] 像我們自己自己要找頭
[1664.70-1665.70] 就要去
[1665.70-1666.70] 很難找的
[1666.70-1667.70] 你沒辦法
[1667.70-1669.70] 就是你如果沒有在更早以前
[1669.70-1670.70] 思考到這個點
[1670.70-1672.70] 你就會來不及
[1672.70-1673.70] 所以我認為山東不動產
[1673.70-1675.70] 是未來的一個高雄
[1675.70-1676.70] 我們中南部
[1676.70-1678.70] 要去面臨到的一個投資選項
[1678.70-1679.70] 然後再加上
[1679.70-1680.70] 目前央行的政策是
[1680.70-1682.70] 管住不管商
[1682.70-1684.70] 就是說這邊台北誰啦
[1684.70-1685.70] 這邊地理貨六誰啦
[1685.70-1686.70] 我們都說
[1686.70-1688.70] 山東不動產都沒辦法
[1688.70-1690.70] 它都不受限
[1690.70-1691.70] 山東不動產好處就是
[1691.70-1692.70] 你要怎麼做
[1692.70-1693.70] 做人啊
[1693.70-1695.70] 做房東啊
[1695.70-1697.70] 它好處是
[1697.70-1699.70] 它沒像一般的騎車
[1699.70-1700.70] 24點鐘都不等到阿夫
[1700.70-1702.70] 它這個機械部10點鐘而已
[1702.70-1704.70] 它要下班了
[1704.70-1706.70] 所以其他時間以內
[1706.70-1707.70] 傷害性不大
[1707.70-1708.70] 裡面因為
[1708.70-1709.70] 沒變數
[1709.70-1710.70] 沒水
[1710.70-1712.70] 所以沒有滲透水的問題
[1712.70-1713.70] 它是公共的
[1713.70-1715.70] 但是相對的公設比就比較高
[1715.70-1717.70] 可能超過50%以上
[1717.70-1718.70] 買100萬可能
[1718.70-1719.70] 先來說要出
[1719.70-1720.70] 70倍左右
[1720.70-1722.70] 因為它還有一些公共空間
[1722.70-1723.70] 這個是
[1723.70-1724.70] 然後另外就是
[1724.70-1726.70] 因為它的產業的調整
[1726.70-1729.70] 所以一些新的行業出現了
[1729.70-1731.70] 什麼樣新行業出現
[1731.70-1732.70] 就是未來可能
[1732.70-1734.70] 它會增加更多
[1734.70-1737.70] 跟所謂視訊有關的連結
[1737.70-1738.70] 第二個
[1738.70-1739.70] 網紅新奇的
[1739.70-1740.70] 所以
[1740.70-1741.70] 以前的辦公室的概念
[1741.70-1742.70] 就說
[1742.70-1743.70] 我這幾年又幾年沒了
[1743.70-1744.70] 現在的辦公室
[1744.70-1745.70] 又怎麼一間辦公室都在做什麼
[1745.70-1746.70] 你看
[1746.70-1748.70] 它直播帶貨
[1748.70-1749.70] 所以我沒做過
[1749.70-1751.70] 但是我們也沒看過
[1751.70-1753.70] 我是說透過手機
[1753.70-1754.70] 空間就沒辦法
[1754.70-1755.70] 有的做比較大
[1755.70-1757.70] 它需要存貨的空間
[1757.70-1758.70] 所以
[1758.70-1760.70] 當你的消費行為改變
[1760.70-1762.70] 代表你的商業思維在做調整
[1762.70-1764.70] 然後就有很多
[1764.70-1766.70] 包含很多商場
[1766.70-1767.70] 它現在很多年輕人
[1767.70-1769.70] 他自己也會創立一些
[1769.70-1770.70] 自有品牌
[1770.70-1771.70] 那它自有品牌
[1771.70-1772.70] 它不需要大
[1772.70-1774.70] 但是它需要一些工作的空間
[1774.70-1776.70] 又不可能再住家
[1776.70-1777.70] 又怕吵到人家
[1777.70-1779.70] 因為可能它有往來的這些貨品
[1779.70-1781.70] 它又很龐大
[1781.70-1782.70] 這種一般住家的
[1782.70-1783.70] 這種物管力量
[1783.70-1784.70] 沒有辦法消耗
[1784.70-1786.70] 只有商業不動產有能力
[1786.70-1787.70] 所以
[1787.70-1788.70] 我是很看好
[1788.70-1790.70] 未來這個南部地區
[1790.70-1791.70] 因為我最公道
[1791.70-1792.70] 女人公司沒什麼
[1792.70-1793.70] 女人公司沒什麼
[1794.70-1796.70] 我們是不太想找不到合適的土地
[1796.70-1797.70] 如果未來有
[1797.70-1798.70] 我們也希望能夠
[1798.70-1800.70] 在這一塊當中去推展
[1800.70-1802.70] 但我認為近期來講的話
[1802.70-1803.70] 或許可以去
[1803.70-1805.70] 大家如果有這個機會
[1805.70-1806.70] 可以去留意一下
[1806.70-1809.70] 我認為它是一個很不錯的一個投資標的
[1809.70-1810.70] 謝謝
[1810.70-1811.70] 那因為我們今天時間的關係
[1811.70-1813.70] 進入到這個最後的Q&A階段
[1813.70-1816.70] 那那個張總跟林常務長
[1816.70-1817.70] 就先一樣把我就坐在這邊
[1817.70-1819.70] 我們請這個范總RICO
[1819.70-1820.70] 這邊幫我坐這裡
[1820.70-1823.70] 那現場我們針對這個
[1823.70-1825.70] 不管是房地產
[1825.70-1827.70] 或是說總經驗的相關問題
[1827.70-1829.70] 現場都可以舉手
[1829.70-1831.70] 由我們專家來幫我們解答
[1831.70-1834.70] 那有沒有貴賓想要提問的呢
[1842.70-1843.70] 想請問一下
[1843.70-1845.70] 因為台積電他們總共五個廠嘛
[1845.70-1847.70] 那目前蓋了一個廠
[1847.70-1849.70] 那它我不知道
[1849.70-1852.70] 我們這邊的幾位專家
[1852.70-1855.70] 就是你們的認知就是
[1855.70-1858.70] 它的需求真正帶動起來
[1858.70-1860.70] 跟這五個廠的
[1860.70-1862.70] 就是我的人進來
[1862.70-1863.70] 然後量產
[1863.70-1865.70] 然後到它真正需求釋放
[1865.70-1869.70] 它的時間會避延嗎
[1869.70-1870.70] 比如說它剛來的時候
[1870.70-1871.70] 大家在租房子
[1871.70-1873.70] 然後過個一兩年
[1873.70-1876.70] 五定以後開始大量的買房
[1876.70-1878.70] 會有這樣子的現象嗎
[1878.70-1880.70] 就在你們的評估
[1882.70-1884.70] 都可以
[1888.70-1890.70] 台積電設一個廠大概兩年了
[1890.70-1893.70] 那雖然說在講高雄要設五個廠
[1893.70-1896.70] 不過基本上還是要看它接單的進度
[1896.70-1899.70] 就像大家可能會在媒體上看到說
[1899.70-1901.70] 台積電是要確定有單子
[1901.70-1904.70] 它才會開始進行建廠
[1904.70-1906.70] 那這個確定有單要怎麼看呢
[1906.70-1909.70] 因為其實越高階的製程
[1909.70-1912.70] 它從前面跟客戶談
[1912.70-1915.70] 到開始進入這個設計階段
[1915.70-1917.70] 然後再到雙方談
[1917.70-1919.70] 這時間就要兩年的時間
[1919.70-1921.70] 所以當它確定說要進入蓋廠
[1921.70-1924.70] 基本上這個訂單都已經差不多都搞定了
[1924.70-1926.70] 所以它才會在台灣有這樣的
[1926.70-1928.70] 就是說這樣一個建廠的進程
[1928.70-1930.70] 當然美國不一樣啦
[1930.70-1932.70] 美國就是政治的問題
[1932.70-1934.70] 所以它不管有沒有單就要先蓋
[1934.70-1936.70] 那台灣的話就是會有這種狀況
[1936.70-1937.70] 所以現在一個廠
[1937.70-1939.70] 大概現在在run的話
[1939.70-1941.70] 它基本上如果說你要看
[1941.70-1942.70] 在
[1942.70-1945.70] 所以台灣各地有台積電帶動房地產裝
[1945.70-1947.70] 其實竹北是最明顯的一個情況
[1947.70-1949.70] 那因為竹北起來之後呢
[1949.70-1951.70] 它其實讓各個地方
[1951.70-1953.70] 比如說嘉義台南高雄
[1953.70-1956.70] 現在的所謂台積電模式跟竹北模式其實不太一樣
[1956.70-1958.70] 竹北模式其實在
[1958.70-1961.70] 就是說比較早期台積電在
[1961.70-1963.70] 竹科擴廠力不夠之後到處去擴
[1963.70-1965.70] 可是它其實真正產生的問題就是說呢
[1965.70-1966.70] 員工沒有地方住
[1966.70-1970.70] 所以才往信竹以外的腹地去擴展
[1970.70-1971.70] 然後呢
[1971.70-1975.70] 在這麼長期間裡面也沒有帶動房價急速的上漲
[1975.70-1977.70] 它真的急速上漲是從哪個階段呢
[1977.70-1981.70] 是從21年之後全球供應鏈的斷電
[1981.70-1983.70] 所以大家才注意到台灣這麼重要
[1983.70-1985.70] 所以科技業的獲利大暴漲
[1985.70-1988.70] 它真正大暴漲其實在這幾年的時間
[1988.70-1990.70] 那大家看到竹北這樣漲了
[1990.70-1994.70] 所以在其他所有台灣各地方有台積電的這些城市
[1994.70-1997.70] 才跟著想要說去推這個模式
[1997.70-1999.70] 所以我的意思是說
[1999.70-2002.70] 我們現在沒有辦法用這個建廠的進度
[2002.70-2006.70] 跟人員進駐的時間去評估說房地產會怎麼漲
[2006.70-2007.70] 我覺得已經不是了
[2007.70-2009.70] 因為大家看到竹北這樣漲
[2009.70-2010.70] 所以有樣學樣
[2010.70-2013.70] 所以已經是直接學習期限快速的拉近了
[2013.70-2015.70] 所以包括現在的高雄
[2015.70-2018.70] 雖然說我剛才講到的這個建廠時間
[2018.70-2021.70] 訂單的時間跟後面量產的時間要拖這麼長
[2021.70-2024.70] 可是我覺得從房地產的角度來講
[2024.70-2027.70] 它不會說要等到你建廠蓋完了人進來了
[2027.70-2028.70] 大家進來
[2028.70-2030.70] 就這麼多人進住之後
[2030.70-2032.70] 薪水上來了才開始要去買房
[2032.70-2033.70] 不會啦
[2033.70-2035.70] 這個台灣的錢都跑來南部來炒房了
[2035.70-2040.70] 所以其實不要用這種傳統的所謂蓋廠時間多久
[2040.70-2041.70] 人家進來多久
[2041.70-2043.70] 大家進來之後開始在那邊消費
[2043.70-2044.70] 其實不會
[2044.70-2046.70] 我覺得就像剛才講的五座廠
[2046.70-2047.70] 還有四座廠要蓋了
[2047.70-2050.70] 你那四座廠還看不到其實房價都已經在漲了
[2050.70-2053.70] 所以過去的模式是沒有辦法參考的
[2053.70-2055.70] 這是我的看法
[2055.70-2057.70] 因為我是新竹人
[2057.70-2060.70] 我的哥哥我的弟弟都在園區工作
[2060.70-2062.70] 所以在20年前
[2062.70-2065.70] 我的哥哥跟我弟弟就已經搬到竹北區了
[2065.70-2069.70] 其實在2000年之前
[2069.70-2070.70] 我們都在討論房地產
[2070.70-2074.70] 其實我們都在看為什麼房價漲得很慢
[2074.70-2075.70] 其實真正漲的時候
[2075.70-2077.70] 其實真的就是21年
[2077.70-2081.70] 台灣科技業業績半島裡大暴轉的這幾年
[2081.70-2082.70] 大家錢太多了
[2082.70-2083.70] 所以都去買房子
[2083.70-2086.70] 所以才把竹北的房價炒成這個狀況
[2086.70-2087.70] 這個狀況就是我剛才講的
[2087.70-2089.70] 學習曲線已經縮短了
[2089.70-2090.70] 大家有樣學樣
[2090.70-2093.70] 所以才會高雄的房價漲得這麼兇悍
[2093.70-2094.70] 台南漲得這麼兇悍
[2094.70-2096.70] 其實它主要是這個因素
[2096.70-2098.70] 所以已經變成是什麼呢
[2098.70-2101.70] 南部的房地產比較像股市一樣的方式在漲
[2101.70-2105.70] 所以就不要用傳統過去的這種模式來評估台積電
[2105.70-2106.70] 什麼時候才會有廠
[2106.70-2107.70] 什麼時候才有人
[2107.70-2108.70] 那個可能意義不大
[2108.70-2110.70] 這是我的看法
[2110.70-2112.70] 好我們謝謝RICO
[2112.70-2114.70] 因為今天時間有限的關係
[2114.70-2116.70] 應該再請現場的貴賓來講一下
[2116.70-2120.70] 我們現在給我們台上的三位專家一個最熱烈的掌聲
[2123.70-2127.70] 然後我們請三位貴賓幫我就是回去就座
