[0.88-3.50] 各位投资以及媒体先进大家好
[1809.92-1815.80] 这段期间累积了管理当地的员工供应链和物流的能力
[1815.80-1818.62] 这些都是很重要的竞争优势
[1818.62-1821.44] 也是我们近几年可以快速扩展的能力
[1821.44-1824.76] 扩充的非常重要的一个原因
[1824.76-1832.96] 鸿海在全球化的布局会紧贴着客户的需求
[1832.96-1837.32] 包括未来产能的规划以及组装
[1837.32-1842.18] 还有零组件的布局都会配合客户
[1842.18-1846.52] 只要客户有需求我们一定会全力以赴
[1846.52-1851.40] 我们看到越来越多供应商在印度投资设厂
[1851.44-1855.80] 我们也预期在供应链越区完整的情况下
[1855.80-1865.00] 印度制造的竞争力应该会逐渐的显现
[1865.00-1869.36] 那第二题我们是不是请财务长来回答
[1869.36-1871.16] 好谢谢董事长
[1871.16-1873.96] 在上次的法书会我们有提到
[1873.96-1878.84] 今年因为看到更多的商机以及更多的合作机会
[1878.84-1881.40] 所以预期资本支出会持续增加
[1881.44-1883.48] 百分之二十以上
[1883.48-1886.56] 这样的看法没有改变
[1886.56-1890.40] 其中我们预计会有六到七成用于扩充产能
[1890.40-1892.70] 其他是有自动化了
[1892.70-1896.80] 六到七成的扩充产能在包含印度越南
[1896.80-1898.08] 美国
[1898.08-1900.38] 墨西哥等地区
[1900.38-1905.76] 但刚您提到中东地区在今年内应该是还没有看到这个
[1905.76-1909.34] 那在新事业方面也将逐渐产生贡献
[1909.34-1911.14] 我们会在中国大陆扩展
[1911.14-1913.18] 新能源的相关业务
[1913.18-1914.72] 在美国
[1914.72-1918.30] 台湾印度也会有新的事业投资
[1918.30-1921.64] 我们这几年持续在全球多元的布局
[1921.64-1925.48] 也让我们能因应目前国际政经情势的变化
[1925.48-1929.06] 透过我们董事长刚刚提到的区域制造的能力
[1929.06-1933.16] 也可以快速且弹性的满足客户的需求
[1933.16-1934.94] 至于明年KPAC部分
[1934.94-1938.54] 因为目前外部环境的变数太多
[1938.54-1941.10] 所以我们还需要持续的观察
[1941.14-1944.72] 等比较明朗的时候才会有能见度
[1944.72-1945.74] 另外
[1945.74-1948.30] 因为我们财务管理的策略
[1948.30-1950.10] 都是超前部署
[1950.10-1953.68] 加上我们与客户的业务合作非常的紧密
[1953.68-1954.96] 所以我们对
[1954.96-1959.06] 长短期资金的需求均会提前进行规划
[1959.06-1962.38] 并是外部环境及实际业务需求
[1962.38-1966.22] 搭配适合的筹资工具灵活调整
[1966.22-1968.54] 以满足公司营运的需求
[1968.54-1971.10] 及确保财务结构的稳定性
[1971.14-1974.46] 事实上去年第四季到现在
[1974.46-1975.74] 我们已经完成的
[1975.74-1979.34] 浦东公司债新台币298.5亿元
[1979.34-1983.18] 以及海外可转换公司债美金7亿元的发行
[1983.18-1985.74] 这些都是我们既有规划的一部分
[1985.74-1986.50] 以上
[1988.54-1990.60] 刚刚有提到有关于
[1990.60-1993.16] 中东AI布局的问题
[1993.16-1995.72] 由我来回答好了
[1995.72-1999.04] 这一题我们可以从两个面向来看
[1999.04-2000.84] 首先我们在沙热西阿拉伯
[2001.14-2002.42] 布局了多年
[2002.42-2004.98] 大家都知道在EV方面
[2004.98-2007.54] 我们先前有跟PIF合资
[2007.54-2010.62] 成立了一个电动车的Joint Venture
[2010.62-2012.14] 叫做SEER
[2012.14-2014.46] 之后我们的FIT
[2014.46-2017.02] 也与当地知名的企业
[2017.02-2021.10] 合作开发了EV的充电装置
[2021.10-2024.18] 在ICT方面我们也已经
[2024.18-2027.76] 有合作案在当地进行
[2027.76-2031.10] 同时我们在AI伺服器的产业链中
[2031.14-2036.26] 已经有与这个上游的晶片业者
[2036.26-2039.34] 还有下游的重要客户建立了
[2039.34-2041.38] 稳固的合作关系
[2041.38-2046.50] 加上我们鸿海本身垂直整合的技术能力
[2046.50-2049.06] 以及全球四成的占有率
[2049.06-2051.62] 从上游到下游的参与者
[2051.62-2054.70] 都已经有密切的合作
[2054.70-2058.28] 我们相信在这些重大的专案上
[2058.28-2061.10] 鸿海都会参与其中
[2061.14-2067.28] 好 下一题我们请凯基证券的Angela提问
[2067.28-2071.90] Angela请
[2071.90-2073.18] 可以听得到我的声音吗
[2073.18-2074.96] 可以 请说
[2074.96-2078.30] 谢谢 刘董你好 James你好
[2078.30-2080.34] 我这边的问题大概就是
[2080.34-2084.70] 比较针对整个需求面跟供给面分别问一下
[2084.70-2087.00] 就是首先在需求面刚刚
[2087.00-2090.84] 应该也有提到就是说因为关税的原因
[2090.84-2091.10] 为什么所以说因为关税的原因
[2091.14-2095.24] 其实客户目前在提前拉货这边
[2095.24-2098.06] 或多或少都有一些做一些动作
[2098.06-2100.62] 那想请教董事长是说
[2100.62-2102.92] 在哪一些产品线上面
[2102.92-2104.70] 我们目前上半年会
[2104.70-2107.52] 已经有看到比较明显的这个
[2107.52-2109.32] 提前拉货的现象
[2109.32-2115.20] 那这些产品我们会担心下半年它的动能
[2115.20-2118.28] 会低于上半年这种状况吗
[2118.28-2120.58] 那是不是可以麻烦董事长
[2120.58-2121.10] 或者
[2121.10-2123.14] 也许会特别现在问题
[2123.14-2125.20] 可以保持持续 Spotify是无缘就绝
[2125.20-2126.94] Gi vienen之前也有提到一个流传
[2126.94-2128.28] 算是Google业的 incident
[2128.28-2130.06] zurück在这里
[2130.06-2131.08] Keystone
[2131.08-2143.12] 跟我们之前有件事情
[2143.12-2149.22] 满入Ed minutes с
[2149.22-2150.84] 我就消费
[2150.84-2151.06] 他们有哪些问题
[2151.06-2153.70] 强劲或是显著的成长
[2153.70-2156.68] 这个的确是在过去五年
[2156.68-2161.02] 除了疫情导致生产出货时程调整之外的
[2161.02-2164.02] 非常少见两个产品类别
[2164.02-2166.00] 可以同时成长的情况
[2166.00-2168.98] 那我认为这个现象应该就是受到了
[2168.98-2171.18] 关税提前拉货的影响
[2171.18-2172.84] 这两个类别
[2172.84-2177.18] 那从我们四月营收的表现来看
[2177.18-2180.26] 消费这个智能产品
[2180.26-2183.28] 拉货动能还在持续
[2183.28-2188.82] 但在第二季应该还是会逐渐的进入到传统的淡季
[2188.82-2192.86] 另外电脑终端产品在第二季表现
[2192.86-2195.58] 也会相对的持平
[2195.58-2199.90] 那由于关税政策还不是那么明朗
[2199.90-2205.08] 而且市场景气仍然有非常高的不确定性
[2205.08-2206.98] 我们会密切注意
[2206.98-2210.18] 关注这些终端需求的一些变化了
[2210.18-2213.58] 目前因为环境变化很大
[2213.58-2214.46] 而且很快
[2214.46-2216.04] 所以对于下半年
[2216.04-2219.26] 我们会抱持着比较审慎的看法
[2219.26-2220.94] 审慎的看法
[2220.94-2224.40] 那今年营运环境相对挑战很大
[2224.40-2228.68] 但是我们相信在集团全球布局的优势下
[2228.68-2231.66] 我们反而可以充分发挥
[2231.66-2234.88] 我们在供应链韧性上的优势
[2234.88-2236.58] 所以下半年呢
[2236.58-2239.36] 我认为我们仍然有很多的机会
[2239.36-2240.16] 可以争取
[2240.18-2242.08] 到更多的订单
[2242.08-2243.22] 以上
[2243.22-2245.22] 好 下一题
[2245.22-2246.82] 好 谢谢董事长
[2246.82-2249.90] 那另外就是针对在供给面
[2249.90-2252.12] 就是说其实我刚刚听起来的意思
[2252.12-2253.94] 在消费性相关的产品
[2253.94-2255.36] 可能比较有
[2255.36-2257.70] 可能提前拉货
[2257.70-2259.82] 或者是变数比较多的状况
[2259.82-2261.66] 那至于在AI这一块
[2261.66-2263.16] 就是我们的理解
[2263.16-2264.56] 像您刚刚也有提到
[2264.56-2267.40] 可能第二季就会开始进入更大的量产
[2267.40-2269.66] 那后续也会更为的promising
[2270.18-2272.48] 那就是想知道一下
[2272.48-2275.30] 这个AI就我们供应链的理解
[2275.30-2278.06] 有些零组件甚至上游的晶片端
[2278.06-2281.00] 事实上其实在过去两季都有看到
[2281.00-2283.28] 已经量放得比较大了
[2283.28-2284.48] 那请教一下就是说
[2284.48-2287.72] 现在在我们最终端的组装
[2287.72-2290.82] 到最后给客户这样子的一个过程当中
[2290.82-2293.82] 有什么是还有一些bottleneck
[2293.82-2295.86] 需要解决的
[2295.86-2299.42] 还是说其实现在往后看应该就是
[2299.42-2300.02] 会
[2300.02-2302.58] 差不多就已经到了一个非常顺畅的程度
[2302.58-2303.64] 可以期待
[2303.64-2305.40] 那就是想请教一下
[2305.40-2308.52] 现在还有没有什么东西会在这中间
[2308.52-2312.88] 有一些需要再去进步的解决
[2312.88-2315.40] 那这个会不会影响到我们全年
[2315.40-2318.40] 原本的想法数字
[2318.40-2320.20] 谢谢
[2320.20-2321.18] 那个Angela
[2321.18-2324.24] 我们的business model
[2324.24-2329.10] 让我们不能够针对单一客户的产品做评论了
[2329.10-2329.98] 那我可以
[2330.02-2332.58] 这个整体来回答
[2332.58-2336.42] 你的大致上的回应你的
[2336.42-2340.26] 你的这个关切了
[2340.26-2343.58] 那我们看那个目前呢
[2343.58-2346.66] 整个AI伺服器机柜的量产
[2346.66-2349.98] 机柜不是server是机柜
[2349.98-2352.04] 正在快速的爬坡
[2352.04-2355.36] 良率也持续的这个在提高
[2355.36-2358.44] 所以整体表现我认为会越来越好
[2360.02-2365.90] 那4月份可以从整个云端网络产品的营收来看
[2365.90-2371.02] 我们在月对月以及年对年都呈现强劲的成长
[2371.02-2372.56] 从这里我们可以看出来
[2372.56-2377.42] AI伺服器机柜的它的一个成长的一个贡献
[2377.42-2378.70] 那随着
[2378.70-2380.76] 我们量产逐步成熟
[2380.76-2384.86] 我相信未来几季我们在AI伺服器机柜的出货量
[2384.86-2386.64] 将会持续增长
[2386.64-2388.94] 一季会比一季好
[2388.94-2389.46] 好
[2390.02-2392.06] 那由于这是系统
[2392.06-2393.60] 系统级的AI
[2393.60-2397.18] 伺服器的机柜在生产的过程中
[2397.18-2403.58] 它这个有大量软硬体整合测试的需求
[2403.58-2408.20] 那我们的工程团队呢也持续不断的在跟客户
[2408.20-2412.04] 来优化整个生产流程
[2412.04-2417.16] 然后同时要导入各式各样的这个自动化技术来提升我们的生产
[2417.16-2418.18] 效率
[2418.18-2419.98] 到目前为止我们
[2420.02-2422.84] 看到这些工程的技术能力呢
[2422.84-2426.16] 都能够及时的来协助我们的客户
[2426.16-2431.02] 来处理软硬体端的这个问题和需求
[2431.02-2435.38] 那这也得到我们客户很大的一个肯定了
[2435.38-2437.42] 好以上
[2437.42-2441.26] 好那下一题我们请
[2441.26-2447.42] City的Carrie请
[2447.42-2449.46] 财务长以及James
[2449.46-2453.56] 首先第一个问题是想请教一下就是关于这个
[2453.56-2455.60] GB200的部分
[2455.60-2460.72] 刚刚有提到就现在目前多数的生产瓶颈已经解决
[2460.72-2466.86] 那我不知道就是说从董事长这边看到的客户的订单状况是否有因为
[2466.86-2472.50] 低季度的就前期的量产的量稍微低一点而影响到
[2472.50-2478.14] 全年的这个订单上面的预估
[2478.14-2478.38] 好就回来一下这个问题呢就是这个这个这个订单上面的预估是否有因为低季度的前期的量产的量稍微低一点而影响到全年的这个订单上面的预估
[2478.38-2480.68] 好就回来这个问题
[2480.68-2483.24] 我们看到是订单是满手了
[2483.24-2485.04] 满手的订单
[2485.04-2486.32] 现在就是在
[2486.32-2487.34] 生产上
[2487.34-2488.88] 是不是能够
[2488.88-2492.20] 让我们的这个在测试上面能够
[2492.20-2495.02] 赶得上我们客户的需求
[2495.02-2496.30] 所以
[2496.30-2499.38] 从客户的需求面来看
[2499.38-2500.90] 这个现在
[2500.90-2503.98] 不是问不是瓶颈
[2503.98-2504.74] 好
[2504.74-2507.30] 那这个这个就是在
[2507.30-2508.34] 大家可以想象一个情况是什么呢?
[2508.34-2510.14] 一个一个
[2510.14-2513.46] 一个这个机柜上面有多少个GPU啊
[2513.46-2515.26] 有多少个
[2515.26-2516.54] 这个
[2516.54-2519.10] 连接连接啊
[2519.10-2521.66] 那这些连接每一个都要测试
[2521.66-2523.18] 哇这些算
[2523.18-2526.78] 那个计算的这个单元每一个都要测试
[2526.78-2529.34] 这要测试很久喔
[2529.34-2530.86] 那这个是一个
[2530.86-2531.90] 我想
[2531.90-2535.48] 在这个AI Server
[2535.48-2538.30] 未来的发展上呢
[2538.30-2539.58] 都会是
[2539.58-2540.86] 一个挑战
[2540.86-2543.94] 但是我相信只要投入
[2543.94-2547.26] 大家足够的资源那这些挑战呢
[2547.26-2548.80] 也会变得
[2548.80-2551.36] 越来这个
[2551.36-2552.90] 越
[2552.90-2554.68] 这个能够被客服
[2554.68-2555.70] 客服了
[2555.70-2557.50] 好
[2557.50-2558.52] 了解
[2558.52-2559.04] 是啊
[2559.04-2560.32] 所以
[2560.32-2562.36] 需求需求是满手
[2562.36-2564.42] 满手的需求
[2564.42-2565.94] 了解
[2565.94-2568.00] 不过董事长还想再跟您follow up一下
[2568.30-2572.40] 就是关于这个就是生产瓶颈的问题喔
[2572.40-2573.16] 因为
[2573.16-2574.70] 就是GB200
[2574.70-2578.28] 显然对大家来说都是一个新的产品复杂度非常高
[2578.28-2579.82] 那不过因为它的下一个generation
[2579.82-2580.84] GB300
[2580.84-2582.90] 在设计上面
[2582.90-2586.74] 是希望能够改善在200遇到的
[2586.74-2588.52] 这个这些生产上面的问题
[2588.52-2589.04] 所以
[2589.04-2591.08] 在这样的情况之下
[2591.08-2596.20] supply chain的预期是生产要能够更顺畅的同时performance也会比
[2596.20-2597.48] GB200要来得好
[2597.48-2598.26] 因此
[2598.30-2604.44] 一直有一些声音是说我们的中端客户可能有这个把GB200转换到
[2604.70-2607.52] GB300的这个需求
[2607.52-2612.90] 产生以至于全年的出货量可能会比原本预期要来的低
[2613.14-2617.24] 那我不知道这个是不是董事长看到的观察还是说
[2617.24-2619.30] 其实没有这样子的情况
[2621.86-2623.90] 那个我想那个男人
[2624.16-2625.18] 很快就会来了
[2626.20-2628.26] 这个同样的我们也不平凡的
[2628.30-2631.38] 我们单一客户还有他的单一产品
[2631.38-2632.40] 我建议
[2632.66-2635.72] 趁他来的时候去问他这个问题
[2635.98-2637.00] 但是
[2637.26-2639.30] in general我可以回答的是
[2640.34-2644.42] GB200的所积累的经验
[2644.68-2649.80] 包括这个整机的设计啦散热系统啦自动化生产还有测试的
[2650.06-2650.82] 技术呢
[2651.08-2651.60] 可以
[2651.86-2653.38] 大大的缩短
[2653.90-2655.18] 我们在GB
[2655.44-2657.74] 这个未来不光是GB300
[2658.30-2660.10] 我们也要去考虑一下这个未来
[2660.34-2661.12] 这个
[2661.38-2662.40] 这个AI
[2662.66-2666.24] 这个机柜AI伺服器机柜的
[2666.50-2667.52] 这个生产
[2667.78-2671.36] 的这种学习的区限
[2672.12-2675.20] 所以在这方面我是觉得是会越来越好
[2675.96-2676.48] 好不好
[2679.54-2680.06] 好
[2680.58-2682.36] 那下一题我们请
[2682.62-2685.94] 三立财经的郁翔提问
[2688.30-2692.14] 就是年初我们不是才说有这个
[2692.40-2693.68] 鸿海第三只脚
[2693.94-2697.52] 然后马上就有好消息就是拿下三菱的电动车订单嘛
[2697.78-2702.38] 那能不能请董事长跟我们进一步分享集团跟日本车厂的合作规划
[2702.64-2706.74] 还有呢有没有更多在洽谈的这个传统车厂
[2706.98-2710.06] especially在传统车厂的部分
[2710.32-2710.82] 好
[2711.34-2715.94] 那就像我们跟这个三菱公司的MOU
[2716.46-2717.22] 我们已经
[2717.74-2718.26] work
[2718.56-2720.34] 可能将近有一年的时间了
[2720.60-2722.66] 所以我们一直在跟大家预告
[2722.90-2723.68] 这个好消息
[2724.70-2727.52] 但是也花了很长的一段时间
[2728.02-2729.06] 那
[2729.56-2730.58] 其他的车厂
[2731.10-2732.64] 我们当然有接触
[2732.90-2734.68] 那当然也有一些进展
[2734.94-2735.46] 但是
[2736.22-2736.74] 这个
[2736.98-2738.52] 不在最后
[2738.78-2739.30] 我们
[2739.54-2741.60] 确认的情况下我们
[2742.10-2743.90] 不会对外公布的
[2744.16-2744.66] 但是我要
[2744.92-2747.22] 回应你就是说当然有当然有跟
[2747.48-2748.00] 其他的车厂
[2748.00-2750.82] 在谈类似的合作
[2751.84-2752.86] 那
[2753.12-2755.16] 所以在这方面呢
[2755.42-2756.44] 请大家拭目以待
[2756.70-2758.24] 请大家拭目以待
[2758.50-2759.00] 好不好
[2759.26-2760.04] 好
[2761.06-2762.08] 下一题我们请
[2762.34-2765.40] 配音提问配音请
[2769.76-2771.04] 配音有听到吗
[2773.34-2774.62] 有请说
[2775.90-2777.70] 董事长跟James您好
[2778.00-2779.80] Computex即将在下周举行
[2780.04-2783.64] 那董事长的Keynote场次目前因为已经额满没有办法报名了
[2783.88-2786.20] 能否请董事长先剧透一下
[2786.44-2791.56] 您届时要对外分享的内容以及透露一下会不会有神秘嘉宾的现身呢
[2791.82-2792.34] 谢谢
[2792.60-2793.62] 谢谢配音
[2793.88-2796.18] 今年我们在Computex的Keynote呢
[2796.44-2797.20] 我们会以
[2797.46-2799.24] AI Factory作为主题
[2800.02-2803.34] 结合我们集团三大平台
[2803.60-2806.16] 还有机器人的相关的应用
[2806.68-2807.44] 分析
[2807.44-2807.96] 分析的
[2808.20-2809.36] 推进
[2809.60-2810.32] 并且
[2810.38-2812.52] 在开发系列愿境的
[2812.78-2813.02] 实际上
[2813.26-2813.76] 这个
[2814.02-2815.12] 纯纯的
[2815.34-2815.90] 这个
[2816.16-2817.44] 所谓体育的
[2817.70-2818.70] 精神感
[2818.74-2819.50] 和
[2819.76-2820.48] 体育 referrals
[2821.00-2821.26] 的
[2821.70-2821.86] 接受
[2822.12-2822.44] 联谱
[2822.72-2823.30] 的
[2823.58-2824.84] 所谓 demais一个
[2825.08-2825.88] 还是
[2826.10-2826.52] 的
[2826.76-2826.92] 联谱
[2827.22-2827.68] 这是
[2827.92-2829.72] 有� angel
[2829.98-2830.74] 是
[2831.00-2831.68] 一些
[2833.04-2833.92] 综合的
[2834.16-2834.58] 可能
[2835.08-2835.62] Difficulty
[2835.86-2836.26] ciert件事
[2836.52-2837.14] 不同
[2837.40-2837.76] 又руш
[2837.76-2839.76] 我接近Morgan的分析师Albert提问
[2839.76-2840.76] Albert
[2843.76-2844.76] 刘董 财务长你们好
[2844.76-2846.76] 是JP Morgan Albert
[2846.76-2847.76] 我两个问题
[2847.76-2848.76] 第一个问题是
[2848.76-2849.76] 我记得19年的时候
[2849.76-2851.76] 第一次跟刘董见面的时候
[2851.76-2852.76] 就有提到这个
[2852.76-2854.76] 刘董你就跟我提点过这个
[2854.76-2857.76] Regional制造中心的这个趋势
[2857.76-2861.76] 过去这几年这个趋势也不只是鸿海
[2861.76-2863.76] 而是整个产业的趋势
[2863.76-2865.76] 刚刚财务长有提到说
[2865.76-2867.76] 我们今年开拍率增加
[2867.76-2868.76] 上一场同业的这个
[2868.76-2869.76] 把说也有提到
[2869.76-2871.76] 这开拍率也会增加
[2871.76-2872.76] 我想知道说
[2872.76-2875.76] 在整个产业的开拍率
[2875.76-2877.76] 不断增加的情况下
[2877.76-2878.76] 投资人会担心说
[2878.76-2882.76] 这部分是不是会造成ROIC的下降
[2882.76-2886.76] 还是说现在的这个整个政经环境不同
[2886.76-2888.76] 现在的这个所谓Regional Hub
[2888.76-2889.76] 是由客户去驱动
[2889.76-2893.76] 所以他们也更愿意去付更多的钱
[2893.76-2895.76] 在不同的这个生产地
[2895.76-2897.76] 这个是我第一点
[2897.76-2899.76] 第一个问题
[2899.76-2901.76] 我先回答第一个问题
[2901.76-2903.76] 我们的Business Model
[2903.76-2908.76] 都是以这个EMS就是制造代工
[2908.76-2910.76] 电子制造代工为主
[2910.76-2912.76] 那我们对我们客户
[2912.76-2916.76] 大概都是反映我们在制造上的成本
[2916.76-2918.76] 加上一个Markup
[2918.76-2921.76] 所以这是客户
[2921.76-2925.76] 我们的客户他要能够去这个
[2925.76-2927.76] 去去
[2927.76-2930.76] 去试去Adjust
[2930.76-2932.76] 那客户会不会
[2932.76-2933.76] 能不能够
[2933.76-2937.76] 或是愿不愿意承担更多的MBA呢
[2937.76-2939.76] 那也跟大家说明一下
[2939.76-2940.76] 我们大致上
[2940.76-2945.76] 我们的这个整个成本
[2945.76-2947.76] 这个结构是
[2947.76-2952.76] 在这个原材料方面
[2952.76-2954.76] 大概占了9成
[2954.76-2956.76] 大概占了9成
[2957.76-2960.76] 工钱大概只占了里面的
[2960.76-2963.76] 这个
[2963.76-2968.76] 百分之五六吧
[2968.76-2971.76] 所以这个百分之五六的增加
[2971.76-2976.76] 对整个成本的影响是有限的
[2976.76-2979.76] 那个百分比是有限的
[2979.76-2981.76] 所以我觉得
[2981.76-2984.76] 那这个最主要是
[2984.76-2985.76] 那个
[2985.76-2986.76] 第一个我们客户
[2986.76-2988.76] 要做最后的决定
[2988.76-2991.76] 第二个我觉得这是一个趋势
[2991.76-2993.76] 那客户也可能
[2993.76-2995.76] 不得不
[2995.76-3000.76] 要这个来适应这个趋势
[3000.76-3002.76] 那最近你刚刚提到的
[3002.76-3006.76] 就是美国的这个因素呢
[3006.76-3008.76] 也加速了
[3008.76-3011.76] 这客户做这样子的
[3011.76-3014.76] 一个调整的一个改变
[3014.76-3016.76] 好这是第一个问题呢
[3016.76-3017.76] 我都回答了
[3017.76-3019.76] 感谢非常清楚谢谢
[3019.76-3021.76] 我这个问题还是
[3021.76-3022.76] 关于这个中东的部分
[3022.76-3025.76] 就早上这个NV它的
[3025.76-3026.76] 新闻稿上面
[3026.76-3027.76] 我稍微算了一下就说
[3027.76-3029.76] 这中东客户大概可以
[3029.76-3031.76] 一年大概
[3031.76-3033.76] 七八百台甚至一千台的
[3033.76-3034.76] NVL72的RAC
[3034.76-3037.76] 那我知道说我们可能不能对
[3037.76-3039.76] 单一客户产品对
[3039.76-3040.76] 做comment
[3040.76-3041.76] 那我想知道是说
[3041.76-3044.76] 在这样子的经济规模下
[3044.76-3046.76] 就一年差不多一千台
[3046.76-3048.76] 那这样的情况下
[3048.76-3049.76] 客户是有机会
[3049.76-3053.76] 从原本跟这个像Supermicro
[3053.76-3054.76] 对我买标准品
[3054.76-3057.76] 转移到跟像鸿海广大
[3057.76-3059.76] 做ODN的RAC的这种
[3059.76-3062.76] 标准这种客制品的制造吗
[3062.76-3064.76] 那鸿海在今年
[3064.76-3066.76] 整个AI Server的产能
[3066.76-3068.76] 比较受限的情况下
[3068.76-3071.76] 会积极的去争取这部分的
[3071.76-3074.76] 类似这种客户规模的这种订单吗
[3074.76-3076.76] 那另外一个follow up是说
[3076.76-3078.76] 刚刚董事长有提点我们说
[3078.76-3081.76] 这个GP的系统生产
[3081.76-3083.76] 接下来会足迹增加
[3083.76-3084.76] 我也想知道说
[3084.76-3086.76] 这部分的足迹增加
[3086.76-3089.76] 是主要是透过两率的提升呢
[3089.76-3092.76] 还是说我们也有办法去增加产能
[3092.76-3095.76] 增加这个可能测试的设备
[3095.76-3096.76] 增加能力
[3096.76-3098.76] 那以上谢谢
[3098.76-3102.76] 好那在产能的部分
[3102.76-3106.76] 我们的部件是相当
[3106.76-3108.76] 庞大的
[3108.76-3110.76] 相当庞大的
[3110.76-3112.76] 那这个我们也预期
[3112.76-3114.76] 有一个预期
[3114.76-3118.76] 因为我们跟我们的这个客户
[3118.76-3120.76] 合作的非常的紧密
[3120.76-3122.76] 所以这些预期呢
[3122.76-3127.76] 都是跟客户一起商量的一个结果
[3127.76-3129.76] 所以我们有这些产能
[3129.76-3133.76] 那现在就是随着这个客户的需求
[3133.76-3136.76] 还有我们这个不断提升的
[3136.76-3138.76] 制造的效率
[3138.76-3141.76] 它就会出货量就越来越大
[3141.76-3143.76] 那我们在这一方面呢
[3143.76-3145.76] 这个是我们在讲说
[3145.76-3148.76] 季对季会不断提升的
[3148.76-3150.76] 最主要的这个原因
[3150.76-3153.76] 那至于在中东这里呢
[3153.76-3158.76] 其实这个机会
[3158.76-3163.76] 大家都在之前都有听说
[3163.76-3165.76] 那但是这么大
[3165.76-3170.76] 庞大的这样子的一个需求
[3170.76-3175.76] 我觉得它会在这个品牌
[3175.76-3179.76] 跟这个直接购买之间呢
[3179.76-3181.76] 它会做一个平衡
[3181.76-3183.76] 它会做一个平衡
[3183.76-3184.76] 那这个平衡呢
[3184.76-3188.76] 这个就是接下来我们要
[3188.76-3192.76] 跟我们的客户来共同
[3192.76-3195.76] 这个讨论规划的
[3195.76-3198.76] 好 以上
[3198.76-3199.76] 好
[3199.76-3202.76] 那下一题我们请富邦的Arthur提问
[3202.76-3203.76] Arthur请
[3209.76-3210.76] Arthur有听到吗
[3214.76-3215.76] 听得到我声音吗
[3215.76-3216.76] 可以听得到吗
[3216.76-3217.76] 可以
[3217.76-3218.76] 不好意思
[3218.76-3220.76] 那我想就几个问题
[3220.76-3223.76] 可是回到还是这个生产的问题
[3223.76-3225.76] 那就是说
[3225.76-3227.76] 我大概就看了公司一下
[3227.76-3229.76] 大概大部分都是这个美国客人
[3229.76-3230.76] 比较多
[3230.76-3232.76] 那不管是大家知道谁
[3232.76-3233.76] 美国客人
[3233.76-3235.76] 就是你的比重
[3235.76-3237.76] 大部分是来自美国客人嘛
[3237.76-3240.76] 但是你的生产基地几乎是在
[3240.76-3242.76] 这个中国这边
[3242.76-3244.76] 那我想请问董事长就是说
[3244.76-3246.76] 我有看到我有做一个分析
[3246.76-3247.76] 我不知道董事长的看法
[3247.76-3249.76] 就是说
[3249.76-3250.76] 尤其是最大的客人
[3250.76-3252.76] 这个智慧型手机
[3252.76-3254.76] 那美国的这个营收比重
[3254.76-3258.76] 占这个产品线大概是30%
[3258.76-3260.76] 那第二大应该是中国
[3260.76-3261.76] 这边China之九
[3261.76-3264.76] 那接下来应该是欧洲这边
[3264.76-3266.76] 那非常有趣就是说
[3266.76-3267.76] 我大概算了一下
[3267.76-3268.76] 这个产品线
[3268.76-3272.76] 就是智慧型手机大概销售到东南亚
[3272.76-3274.76] 这个日本跟印度
[3274.76-3276.76] 大概加起来有21%
[3276.76-3277.76] 也就是说
[3277.76-3280.76] 如果说要避开关税的话
[3280.76-3281.76] 是不是董事长
[3281.76-3283.76] 或是公司这边
[3283.76-3286.76] 销售美国的都要往印度这边生产
[3286.76-3289.76] 那如果以印度这个市场来讲
[3289.76-3291.76] 这个产能应该目前为止
[3291.76-3294.76] 应该没有办法去所知
[3294.76-3297.76] 就是fulfill这些美国市场的需求
[3297.76-3298.76] 那我不知道说董事长
[3298.76-3299.76] 或者是客人这边
[3299.76-3301.76] 有没有什么的规划
[3301.76-3303.76] 因为这90天的豁免权
[3303.76-3306.76] 到了90天之后又开始又会再发生
[3306.76-3308.76] 那也就是如董事长讲
[3308.76-3309.76] 这个有很多的uncertainty
[3309.76-3312.76] 那我不知道公司对这个全球布局
[3312.76-3314.76] 或者客人这边有什么看法
[3314.76-3315.76] 我就同意
[3315.76-3317.76] 这个第一个问题
[3317.76-3318.76] 我不知道
[3318.76-3319.76] 这是我的想求
[3319.76-3321.76] 叫董事长
[3321.76-3324.76] 好我先回答你第一个问题好了
[3324.76-3329.76] 那这个还是针对单一客户的一个问题
[3329.76-3331.76] 我没有办法就是
[3331.76-3333.76] 就针对这个问题
[3333.76-3336.76] 单一客户的问题来回应
[3336.76-3340.76] 但是我可以回应整体的这个状况
[3340.76-3342.76] 整体的状况呢
[3342.76-3345.76] 有这个我们的客人们
[3345.76-3350.76] 他们都在想办法要降低关税的影响
[3350.76-3354.76] 那他们就会有很多不同的做法
[3354.76-3358.76] 做法一个是这个生产的地区
[3358.76-3360.76] 能够做适当的移转
[3360.76-3365.76] 转到这个低的这个关税的地区
[3365.76-3366.76] 这是一种做法
[3366.76-3368.76] 那另外一种做法呢
[3368.76-3371.76] 就是在这个产品的这个
[3371.76-3374.76] 这个内容上面
[3374.76-3377.76] 怎么样做一些新的
[3377.76-3379.76] 新的安排
[3379.76-3381.76] 那新的安排譬如说
[3381.76-3384.76] 哦它有这个local content
[3384.76-3386.76] 的这样子的一个
