[0.00-1.00] 今天的論壇
[1535.96-1538.96] 我們的YOY已經擴到196%
[1538.96-1540.96] 那3月份的這個YOY
[1540.96-1542.96] 你就會重新來
[1542.96-1544.96] 我們這邊把它移到這邊
[1544.96-1546.96] 然後我們再看一下3月份的一個結果
[1546.96-1548.96] 大概就是這樣
[1548.96-1550.96] 所以陸陸續續的
[1550.96-1553.96] 我相信整個的產品開出來以後
[1553.96-1554.96] 對我們的營收的貢獻
[1554.96-1557.96] 就會越來越顯著
[1557.96-1560.96] 所以我也很樂觀的預期
[1560.96-1561.96] 將來的一個發展
[1561.96-1565.96] 是應該是非常非常是可預期的
[1565.96-1567.96] 我想今天大概就是很快的
[1567.96-1569.96] 跟各位簡報一下
[1569.96-1571.96] 我們的產品的一個佈局
[1571.96-1573.96] 跟我們的生產的產能的一些準備
[1573.96-1576.96] 還有我們現在的一些財務的一些狀況
[1576.96-1578.96] 那有沒有各位心境
[1578.96-1579.96] 有沒有什麼問題
[1579.96-1581.96] 也歡迎各位現在可以提出的討論
