[0.00-29.98] 謝謝大家
[1545.38-1548.38] 各個廠商主要是以
[1548.38-1550.38] 他移轉他的生產線
[1550.38-1553.38] 移轉生產線主要的目的就是說
[1553.38-1554.38] 因為比如他到東南亞
[1554.38-1556.38] 他有比較低的稅
[1556.38-1558.38] 或者是比較優惠的一些戶會
[1558.38-1560.38] 所以可以看到說大量的廠商
[1560.38-1562.38] 也甚至移到墨西哥
[1562.38-1567.38] 因為是美加墨之間的一個彼此的一些協議
[1567.38-1569.38] 可是在2.0方面
[1569.38-1570.38] 又是另外一個
[1570.38-1572.38] 所以即使到目前
[1572.38-1573.38] 從公司的角度來看
[1573.38-1576.38] 他會影響的是全球性的
[1576.38-1579.38] 那隨時會在哪裡產生新的狀況
[1579.38-1580.38] 怎麼樣不知道
[1580.38-1582.38] 那公司能夠做好
[1582.38-1583.38] 就是盡量能夠平衡
[1583.38-1585.38] 所以為什麼在去年第四季
[1585.38-1587.38] 即使加入整個東南亞
[1587.38-1591.38] 東協十國跟印度澳洲的新加坡總部
[1591.38-1593.38] 因為他本來其實已經是團隊了
[1593.38-1597.38] 那他在泰國在馬來西亞在印尼
[1597.38-1599.38] 甚至菲律賓都本來就有一些合作的
[1599.38-1601.38] 那我們希望說透過新加坡
[1601.38-1603.38] 這個東南亞的總部
[1603.38-1606.38] 可以在未來的聲音上面
[1606.38-1610.38] 有所可以比較適合的面對
[1610.38-1611.38] 以上報告
[1613.38-1617.38] 好那線上有投資先進再提問說
[1617.38-1619.38] 以群科身為通路商來看
[1619.38-1621.38] 網通IC是否有感受
[1621.38-1625.38] 2025年會有明顯的復甦現象
[1625.38-1628.38] 我大概可以用來看
[1628.38-1630.38] 就從我自己還有公司相關
[1630.38-1634.38] 就是說公司在
[1634.38-1636.38] 我如果好比如以若以看
[1636.38-1638.38] 那個客戶訂單來看
[1638.38-1641.38] 幾乎到去年去年的1月
[1641.38-1643.38] 去年就是2024年的1月
[1643.38-1645.38] 幾乎已經是我所有的
[1645.38-1647.38] 客戶訂單的最高點
[1647.38-1650.38] 那也就之後其實一直在去化
[1650.38-1651.38] 這些客戶訂單
[1651.38-1653.38] 可是你同樣來看到就是說
[1653.38-1655.38] 新接訂單就是所謂Ninbooking
[1655.38-1657.38] 它一直其實都是低於
[1657.38-1659.38] 甚至有時候低的話低到0.5
[1659.38-1662.38] 這是這個過去的結構
[1662.38-1664.38] 那可以明顯的看到
[1664.38-1667.38] 最近4個月所謂新接訂單
[1667.38-1669.38] 一直在往上竄升
[1669.38-1671.38] 那當然同樣也呼應了
[1671.38-1673.38] 就我剛剛的做了一些預估
[1673.38-1675.38] 包含在Docs 4.0
[1675.38-1676.38] 在Wi-Fi 7
[1676.38-1677.38] 這的確是
[1677.38-1679.38] 它是一個比較長端的銷量
[1679.38-1680.38] 可以看到未來的結果
[1680.38-1682.38] 所以如果以純網通的角度
[1682.38-1684.38] 我來看的話
[1684.38-1686.38] 因為國外的庫存也相對去化了
[1686.38-1688.38] 然後需求也開始有回升了
[1688.38-1691.38] 那2025年會比2024年好
[1691.38-1694.38] 這個大概是我針對這個網通
[1694.38-1698.38] 這個整個從IC通訊上的角度的觀察
[1698.38-1700.38] 以上報告謝謝
[1700.38-1703.38] 好謝謝
[1703.38-1705.38] 那線上還有投資先進
[1705.38-1706.38] 再請教經營團隊
[1706.38-1711.38] 2025年會有新產品代理嗎
[1711.38-1713.38] 請經營團隊回覆
[1713.38-1714.38] OK謝謝
[1714.38-1716.38] 先他們大概分成幾塊
[1716.38-1717.38] 我們先看說
[1717.38-1721.38] 短期的這些產品現在發酵的結果
[1721.38-1723.38] 那因為
[1723.38-1725.38] 我們在思考說
[1725.38-1727.38] 怎麼樣再
[1727.38-1729.38] 怎麼樣重新調整公司的一個戰略結構
[1729.38-1731.38] 因為其實大家都搞大的
[1731.38-1732.38] 已經都搞到幾千億的
[1732.38-1733.38] 甚至上兆了
[1733.38-1734.38] 其實那已經不是一個
[1734.38-1735.38] 已經不是一個
[1735.38-1737.38] 一個量級要去玩
[1737.38-1739.38] 因為那個都要付出相當大的資金成本
[1739.38-1741.38] 甚至是很低的毛利要去做這樣子
[1741.38-1742.38] 這不是公司要的
[1742.38-1745.38] 公司希望能夠在長期的過程當中
[1745.38-1747.38] 所以取個例子來說好了
[1747.38-1749.38] 公司從很早期
[1749.38-1751.38] 大概應該10年10年前
[1751.38-1757.38] 有一直引進一些相關比較高品質的電感的產品線
[1757.38-1763.38] 那當然最後你知道這上游的原廠也經過各種整併
[1763.38-1765.38] 那個在三四年以後
[1765.38-1767.38] 這幾年以前呢
[1767.38-1769.38] 這一家公司也被整併到
[1769.38-1771.38] 那個全球最大的
[1771.38-1773.38] 這個主融感的這一種供應商
[1773.38-1776.38] 那全球最大主融感的供應商
[1776.38-1778.38] 它也不止於此啊
[1778.38-1781.38] 所以呢它又不斷的去併購包含的
[1781.38-1782.38] Sensor啦
[1782.38-1783.38] 保護啦
[1783.38-1785.38] 或者是各式各樣的供控的啦
[1785.38-1787.38] 所以它的產品性也在擴大
[1787.38-1790.38] 所以公司也會由這些擴大當中
[1790.38-1792.38] 在努力耕耘之下
[1792.38-1793.38] 它會獲得成長
[1793.38-1794.38] 這個是
[1794.38-1796.38] 新的產品現在增加的
[1796.38-1797.38] 因為它在擴鬆
[1797.38-1798.38] 我就跟著擴鬆
[1798.38-1800.38] 所以屬於這一類的公司
[1800.38-1802.38] 我看大概這三年來
[1802.38-1804.38] 屬於這一類的營收都是倍數成長
[1804.38-1806.38] 這個讓相對毛利會比較好
[1806.38-1810.38] 那另外呢公司也在做另外的
[1810.38-1813.38] 不然現在還是屬於NDA在在談的階段
[1813.38-1815.38] 也試跑一些客戶
[1815.38-1818.38] 那它是屬於比較良色高階良界一些
[1818.38-1820.38] 國外很知名品牌的
[1820.38-1823.38] 那這個主要在電子產業在推動
[1823.38-1826.38] 那看起來有一些不錯的機會
[1826.38-1828.38] 那也在看公司這方面
[1828.38-1831.38] 那最後一個其實就是在
[1831.38-1836.38] 因為經過中美貿易新英倫的戰爭之後
[1836.38-1839.38] 其實開始漸漸的壁壘分明
[1839.38-1842.38] 那整個在中國團隊方面
[1842.38-1846.38] 他們隨時都引進更多的這個所謂的
[1846.38-1848.38] 紅色供應鏈的品牌
[1848.38-1850.38] 那看起來有一些獲得很好的成效
[1850.38-1852.38] 不管是在汽車產業
[1852.38-1856.38] 或者是在其他的很多不同的應用
[1856.38-1858.38] 其實它獲得還蠻成長的
[1858.38-1861.38] 主要大概是跟投資研究做這樣的報告
[1861.38-1862.38] 謝謝
[1862.38-1866.38] 好那線上還有投資人請教公司
[1866.38-1868.38] 今年成長
[1868.38-1872.38] 請問IC Design Company跟System Company
[1872.38-1875.38] 是否有往代理商堆貨的情況
[1875.38-1878.38] 應該說IC 公司有很多類型
[1878.38-1880.38] 公司主軸現在這兩大塊
[1880.38-1882.38] 就是說還是在這個部分的
[1882.38-1883.38] 那四個大大戰略
[1883.38-1884.38] 一個就是網通
[1884.38-1886.38] 那網通因為我們去年
[1886.38-1890.38] 花費了很大的功效去化掉庫存
[1890.38-1891.38] 那剛剛也講了
[1891.38-1892.38] New Booking一直在產生
[1892.38-1894.38] 所以這個比較不會有對貨的狀況
[1894.38-1897.38] 對我來說其他我沒有辦法替他說了
[1897.38-1899.38] 就是對我來說其實是屬於
[1899.38-1901.38] New Booking的新街在未來的狀況
[1901.38-1902.38] 沒有發生
[1902.38-1905.38] 那屬於跟資料中心
[1905.38-1906.38] 跟這個AI相關的
[1906.38-1909.38] 這個還是屬於其實是必需物品
[1909.38-1911.38] 所以也比較沒有這樣的狀況發生
[1911.38-1912.38] 對我來說是有問題的
[1912.38-1913.38] 對我主要的聲音
[1913.38-1915.38] 那其他一些小的
[1915.38-1918.38] 現在從延長的角度堆貨的狀況
[1918.38-1921.38] 了不起可能有一兩顆料是特別的
[1921.38-1923.38] 不然其實現在在在全科的角度
[1923.38-1926.38] 其實並沒有太多這樣的狀況
[1926.38-1928.38] 謝謝
[1928.38-1930.38] 好那因為時間的關係
[1930.38-1933.38] 我們請經營團隊回覆最後一個問題
[1933.38-1935.38] 今年成長來自於哪幾個SIGMA
[1935.38-1938.38] 是能否break down說明呢
[1938.38-1942.38] 今年是2025年還是2024年
[1942.38-1944.38] 2025
[1944.38-1946.38] 2025喔OK
[1946.38-1950.38] 我剛剛在報告的過程當中
[1950.38-1953.38] 2024年因為網通生意不好
[1953.38-1954.38] 所以基本的最大化有下滑
[1954.38-1958.38] 可是其實因為其他的包含在資料中心端
[1958.38-1960.38] 補上來相當多的生意
[1960.38-1961.38] 所以是帶來成長
[1961.38-1963.38] 那今年剛剛已經提了
[1963.38-1965.38] Wi-Fi7大使4.0
[1965.38-1966.38] 這個都是會成長的
[1966.38-1968.38] 所以這個一定會帶來效益
[1968.38-1971.38] 第一個在資料中心端
[1971.38-1973.38] 還是舉個例子吧
[1973.38-1975.38] 我們看到比如說DISC
[1975.38-1976.38] 它的影響是什麼
[1976.38-1977.38] 當DISC一發生
[1977.38-1979.38] 它過去一直是在電話中心端
[1979.38-1982.38] 那以現在把以比如以中國為例好了
[1982.38-1984.38] 它的很多企業
[1984.38-1987.38] 它因為希望所謂的資訊安全的關係
[1987.38-1989.38] 所以很多企業開始構思這樣
[1989.38-1990.38] 那是不是就要產生伺服器
[1990.38-1994.38] 那伺服器其實就是所謂其他的通用型的
[1994.38-1996.38] 或者是這些做伺服器的廠商
[1996.38-1999.38] 這些量是本來沒有預估到會增加
[1999.38-2000.38] 那這一塊還增加
[2000.38-2004.38] 那從這幾個大塊會對生意有所增長
[2004.38-2006.38] 大概以上是我的見解
[2006.38-2007.38] 謝謝
[2009.38-2010.38] 好的
[2010.38-2013.38] 今天全科公司線上的法輪說明會
[2013.38-2015.38] 到此告一個段落
[2015.38-2017.38] 感謝各位投資先進的參與
[2017.38-2019.38] 後續有任何問題
[2019.38-2021.38] 歡迎投資先進和經營團隊聯繫
[2021.38-2024.38] 祝福大家身體健康投資順利
[2024.38-2025.38] 謝謝大家
[2025.38-2026.38] 謝謝
[2030.38-2031.38] 謝謝大家
[2060.38-2061.38] 謝謝大家
