[0.00-5.14] 各位长官各位与会先进
[2197.34-2198.34] 好
[2198.34-2199.34] 好謝謝
[2201.34-2203.34] 謝謝董事長的分享
[2203.34-2205.34] 那由於時間的關係
[2205.34-2208.34] 我們今天法人說明會就到此圓滿落幕
[2208.34-2211.34] 再次感謝余會長官的分享
[2211.34-2213.34] 也謝謝余會先進
[2213.34-2214.34] 謝謝
[2214.34-2215.34] 謝謝大家
[2215.34-2216.34] 謝謝
[2217.34-2218.34] 謝謝
