[0.00-8.00] 歡迎各位參加龍大銀屆事業股份有限公司
[1761.68-1764.00] 就是連續幣已經完成
[1764.00-1765.52] 安全基準做好
[1765.52-1767.06] 準備在第二季的部分
[1767.06-1769.12] 然後要準備來做一個
[1769.12-1772.18] 地下地下室的一個開挖的工作
[1772.18-1775.00] 然後這個預計也是117年完工
[1775.00-1778.08] 那這個案子它也是在一個
[1778.08-1779.60] 岡山的舊部落
[1779.60-1780.88] 比較熱鬧的地方
[1780.88-1782.68] 那離捷運站大概五行
[1782.68-1783.44] 兩分鐘
[1783.44-1786.52] 到三分鐘它就可以到
[1786.52-1789.08] 岡山火車站跟捷運站
[1789.08-1792.66] 所以這個地點是相當不錯
[1792.66-1795.48] 那再來就花蓮竹全段的部分
[1795.48-1798.04] 它這個案子是在花蓮市中正路
[1798.04-1800.34] 它基地面積有920坪
[1800.34-1803.16] 然後銷售面積有6253坪
[1803.16-1804.96] 那我們已經做地下山
[1805.00-1807.56] 地上15層樓的一個設計
[1807.56-1811.40] 那戶數一共186戶出家
[1811.40-1813.96] 然後這個案子目前的整個進度
[1813.96-1816.52] 是那個建造已經取得
[1816.52-1818.56] 然後我們開工研發完了
[1818.56-1821.38] 那這個部分
[1821.38-1824.96] 就是在做一些前置的
[1824.96-1828.04] 未來要興建前的一些前置的工作
[1828.04-1831.62] 這個目前的進度是這樣子
[1831.62-1833.42] 那再來就是
[1833.42-1834.96] 一季金茂段
[1835.00-1837.04] 前陣金茂段
[1837.04-1838.84] 然後這個也是在
[1838.84-1839.60] 違法中
[1839.60-1843.44] 那地點是剛好是前陣區一心一路
[1843.44-1847.28] 然後基地面積2124坪
[1847.28-1850.88] 然後銷售面積15586坪
[1850.88-1853.44] 那我們這個是預計做地下山
[1853.44-1855.74] 地上24層的一個建築物
[1855.74-1857.02] 然後分兩棟
[1857.02-1859.58] 然後這個預計的戶數有
[1859.58-1861.12] 店鋪7戶
[1861.12-1863.92] 然後住家322戶
[1863.92-1864.96] 然後這個
[1865.00-1867.82] 這個位置是在高雄的
[1867.82-1868.58] 前陣區
[1868.58-1869.60] 那也算
[1869.60-1871.66] 在那個
[1871.66-1873.96] 這個是特茂六的一個土地
[1873.96-1877.54] 它算在金茂段這裡面
[1877.54-1880.10] 那也是一個算
[1880.10-1881.38] 亞洲新灣區
[1881.38-1884.20] 第一亞洲新灣區的一個
[1884.20-1885.74] 一個裡面的案子
[1885.74-1887.52] 然後它在
[1887.52-1888.56] 山多路上
[1888.56-1891.12] 然後已經靠近一些那個
[1891.12-1892.40] 山多商圈
[1892.40-1893.92] 離山多商圈大概
[1893.92-1894.96] 步行也是大概10公里左右
[1895.00-1897.04] 大概15分鐘左右
[1897.04-1898.58] 就會到這個案子
[1898.58-1899.60] 其實未來的
[1899.60-1901.92] 興建後的一個交通
[1901.92-1903.20] 或是生活機能
[1903.20-1904.22] 相當不錯
[1904.22-1906.52] 那目前這個案子的進度是
[1906.52-1908.06] 目前在規劃當中
[1908.06-1909.34] 那目前
[1909.34-1912.16] 我們是準備在做都市審議
[1912.16-1914.96] 然後回來可能要再做一個
[1914.96-1916.24] 建造的申請
[1916.24-1917.78] 那這個案子
[1917.78-1922.14] 預計在第一季或第二季季初那邊
[1922.14-1924.44] 取得建築師賬
[1924.44-1924.96] 那可能會有一個建築師賬的時間
[1924.96-1926.50] 可能在7月份
[1926.50-1928.54] 7月到8月的
[1928.54-1929.06] 部分
[1929.06-1929.82] 第三季
[1929.82-1934.18] 開始做一個動工的一個興建
[1934.18-1936.22] 那針對故廠土地的部分
[1936.22-1938.02] 就是跟各位做一個報告
[1938.02-1939.30] 那剛剛講的是
[1939.30-1940.84] 一期的經貿段的土地
[1940.84-1942.88] 那二期的經貿段土地
[1942.88-1945.18] 剛好是在一期經貿段土地的
[1945.18-1945.96] 後方
[1945.96-1948.76] 它是有2269坪
[1948.76-1949.80] 那這個案子
[1949.80-1952.60] 本公司跟其他的一個
[1952.60-1954.92] 一個合作夥伴去做一個合資
[1954.96-1955.98] 建築師賬的建築師賬
[1955.98-1958.04] 那本公司是有大概
[1958.04-1959.06] 55%
[1959.06-1961.36] 就整個基地的55%
[1961.36-1963.40] 它的位置就是在一新路
[1963.40-1964.94] 一新路這裡
[1964.94-1966.74] 這裡這個
[1966.74-1967.50] 這個位置
[1967.50-1973.40] 那是經貿園區裡面的一個建案
[1973.40-1975.96] 那目前的進度我們在規劃當中
[1975.96-1978.76] 那這個案子可能也會在
[1978.76-1983.88] 115年的時候才會做一個
[1983.88-1987.98] 做一個新建工工
[1987.98-1990.28] 那再來是問土地的時候是
[1990.28-1992.32] 剛好是鳳山區坪甸段
[1992.32-1995.14] 它基地有1066坪
[1995.14-1996.42] 然後這個在鳳山區
[1996.42-1997.44] 這個
[1997.44-2001.04] 鳳山國中的一個
[2001.04-2002.32] 一個中山東路山
[2002.32-2003.84] 它是一個鳳山國中
[2003.84-2004.62] 然後這裡
[2004.62-2005.90] 這裡有一個捷運站
[2005.90-2006.92] 這裡有一個捷運站
[2006.92-2010.24] 這個是一個
[2010.24-2011.02] 一個基地
[2011.02-2013.84] 然後1066坪我們分為兩個基地
[2013.84-2016.40] 然後有一個南基地一個北基地
[2016.40-2019.22] 然後加起來是1066坪
[2019.22-2021.78] 那這個案子目前我們是在
[2021.78-2023.56] 申請建造當中
[2023.56-2026.90] 那我們也預計大概
[2026.90-2029.96] 那個今年的第三季季尾
[2029.96-2031.24] 或是第四季
[2031.24-2033.30] 我們會去做一個東風新建
[2033.30-2035.34] 這個也是會做
[2035.34-2037.90] 然後這個詳細的一些資料
[2037.90-2041.24] 等到我們實際上規劃完成建造申請出來
[2041.24-2043.28] 然後再跟各位
[2043.28-2044.82] 在下一次的話說
[2044.82-2049.42] 我們再來做一個報告的說明
[2049.42-2050.70] 那過來就是
[2050.70-2052.24] 新北市
[2052.24-2053.52] 淡水的人害段
[2053.52-2054.80] 這個基地
[2054.80-2056.08] 就是6.6坪
[2056.08-2057.88] 它本工是10分
[2057.88-2058.90] 有50%
[2058.90-2060.44] 然後這個部分也是
[2060.44-2061.72] 目前還在
[2061.72-2063.24] 針對
[2063.24-2064.78] 林地的部分來做
[2064.78-2067.34] 做一些那個
[2067.34-2069.14] 基地擴充的部分
[2069.14-2071.70] 所以目前還沒有在做一個開發的動作
[2071.70-2072.98] 然後等到
[2072.98-2074.78] 新建的土地收購完成以後
[2074.78-2076.82] 才會再有後續開發
[2076.82-2078.62] 然後這個案子是在
[2078.62-2081.42] 淡水區的一個
[2081.42-2083.74] 沙崙路上
[2083.74-2089.10] 沙崙路上這裡就通往那個
[2089.10-2090.38] 淡海西市鎮
[2090.38-2095.50] 然後沙崙路再過來就是這裡會有一條所謂的淡江大橋
[2095.50-2099.10] 淡江大橋直接淡水跟巴黎做一個聯通
[2099.10-2100.38] 那這一條
[2100.38-2102.94] 淡江大橋目前在新建中
[2102.98-2105.28] 那目前完成大概八成左右
[2105.28-2106.30] 與其
[2106.30-2107.34] 目前
[2107.34-2109.38] 知道的是預計大概今年
[2109.38-2111.94] 年底會完工
[2111.94-2113.22] 那這個你就看
[2113.22-2115.52] 整個淡江大橋新建的
[2115.52-2116.80] 過程
[2116.80-2119.10] 的實際通車之前
[2119.10-2121.16] 知道後再跟各位做報告
[2121.16-2124.48] 那這裡未來通車後整個交通動線
[2124.48-2127.04] 會對這些問題還是會有一些注意
[2127.04-2129.10] 所以我們還是針對一些
[2129.10-2131.40] 後方的土地做一些
[2131.40-2132.94] 做一些溝通的收購
[2132.98-2134.34] 國內的
[2134.34-2145.78] 先排列在這裡
[2145.78-2146.54] 普遍的
[2146.54-2148.08] 就是海外ب Arts
[2148.08-2150.38] 再來就是海外浮動產的部分
[2150.38-2152.44] 目前公司還是有投資
[2152.44-2154.04] 山崎鞋
[2154.04-2155.76] fulfilled
[2155.76-2159.10] 金厘ủ
[2159.10-2160.88] 作一個投資
[2160.88-2161.90] mani
[2161.90-2162.68] 生用
[2162.68-2166.58] 目前我們這個飯店是出租給人家做經營
[2168.58-2169.88] 那其他的部分
[2169.88-2175.36] 就是大概這一次的這個法輪說明會
[2175.36-2176.92] 就是到這裡
[2176.92-2179.60] 我想我們整個公司的營運狀況
[2179.60-2182.00] 我們會在每一季的法說會
[2182.00-2185.34] 然後再跟各位來做一些報告跟說明
[2185.34-2187.68] 那我們還是有個slogan
[2187.68-2189.18] 就是高雄龍妹好
[2189.18-2190.74] 龍大永遠放在心上
[2190.74-2192.94] 我們還是希望把龍大的品牌
[2192.94-2195.54] 還有施工品質跟形象都做好
[2195.54-2198.08] 那以上是今天的法輪說明會
[2198.08-2199.24] 謝謝大家
