[0.00-9.38] 欢迎各位同事签订参加
[1693.96-1697.04] 所以它在美國市場算是
[1697.04-1700.20] 已經有一些市場認同和認同
[1700.20-1701.74] 大家都知道
[1701.74-1705.46] 其實美國最大的連鎖的場域
[1705.46-1707.76] 其實就是數字連鎖
[1707.76-1712.56] 美國數字連鎖有相當比例次加農業
[1712.60-1715.00] 北京的米利是私營店
[1715.00-1720.00] 它各家的機模式不同而定
[1720.00-1725.00] 在簽約上加農店是付錢
[1725.00-1726.20] 不只買設備
[1726.20-1728.60] 也不是買不管是軟體
[1728.60-1731.30] 其他實際的電子或設備
[1731.30-1735.00] 他們可以決定保護時間
[1735.00-1738.70] 但是我們現在合作模式是雙關起價
[1738.70-1742.50] 因為公司有建議
[1742.50-1744.50] 我們現在有一個公司的資金券
[1744.50-1746.50] 資金券加零電有錢進去
[1746.50-1749.20] 所以我們現在也沒有資金券進去
[1749.20-1751.90] 你現在成交人講話
[1751.90-1754.10] 其實應該是在美國
[1754.10-1758.90] 在專屬或是前台這些公司
[1758.90-1763.40] 可以出去做一些資金控管商業
[1763.40-1765.40] 是在米利最好
[1765.40-1769.40] 我們前三期
[1769.40-1772.40] 前三十大
[1772.50-1774.50] 是連鎖裡面
[1774.50-1776.50] 是人機信賴手機
[1776.50-1779.50] 而且聲音上的關係
[1779.50-1782.50] 不管是歷經發生或不發生的錯誤
[1782.50-1787.50] 我們已經把原來判過的事情暫時暫停
[1787.50-1789.50] 先把扣除在外
[1789.50-1793.50] 所以去年的營收實際上的成果
[1793.50-1797.50] 也不是像早期做企業玩戲時代
[1797.50-1800.50] 營收上面包括市場客人
[1800.50-1801.50] 好
[1802.50-1805.50] 所以去年的數字的結果就是
[1805.50-1807.50] 像大家所說的
[1807.50-1810.50] 只要是前三十大有相反的
[1810.50-1814.50] 跟花卸已經有非常非常關係了
[1814.50-1823.50] 當然現在還沒有獲利
[1823.50-1826.50] 本身投資其實很高的
[1826.50-1829.50] 不管是在人員上面
[1829.50-1830.50] 還是地域上面
[1830.50-1831.50] 都很想投資
[1831.50-1834.50] 所以現在的電腦上面
[1834.50-1835.50] 目前還沒有獲利
[1835.50-1838.50] 但是它已經收到非常明顯的成果
[1838.50-1840.50] 如果我們有預估
[1840.50-1842.50] 這個算盡一點
[1842.50-1845.50] 怎麼樣的時間點
[1845.50-1847.50] 有這個
[1847.50-1849.50] 這種
[1849.50-1852.50] 應該是在三年左右
[1852.50-1854.50] 應該是還有機會
[1854.50-1855.50] 三年之內
[1855.50-1857.50] 三年之內有機會
[1857.50-1859.50] 機會
[1862.50-1864.50] 好
[1864.50-1865.50] 好
[1865.50-1866.50] 那請教一下
[1866.50-1867.50] 因為我們這幾年
[1867.50-1869.50] 這個保育設施造了
[1869.50-1871.50] 就是從三十多年
[1871.50-1872.50] 第三十萬三十年
[1872.50-1874.50] 然後主要原因
[1874.50-1875.50] 很多各種規格
[1875.50-1876.50] 而三十年
[1876.50-1878.50] 它來自於我們的軟體價值的部分
[1878.50-1881.50] 疏地保育的能力高不高
[1881.50-1882.50] 這是第一個問題
[1882.50-1883.50] 我說它軟體的保育
[1883.50-1885.50] 這本身的運氣是哪些
[1885.50-1888.50] 跟軟體的歪點其實高
[1888.50-1889.50] 這是第一個
[1889.50-1890.50] 第二個問題就是說
[1890.50-1895.50] 比如說我們現在股市方案數比過去多非常多
[1895.50-1897.50] 多了三倍
[1897.50-1899.50] 4月20、3月60
[1899.50-1900.50] 那這是個先行指標
[1900.50-1903.50] 但是如果你現在我們的產能代價
[1903.50-1906.50] 有辦法去負擔這麼大的產能
[1906.50-1908.50] 如果你的商戰美就是那樣的
[1908.50-1910.50] 你高度的
[1910.50-1912.50] 所以它的size和量的比例
[1912.50-1915.50] 或許比均量的股市的賺來得多
[1915.50-1918.50] 但目前的產能代價可能沒辦法支應
[1918.50-1920.50] 所以我所指的其實才有
[1920.50-1923.50] 還是不想打造成這樣的方式
[1923.50-1927.50] 我們先回到第一個毛利率部分
[1927.50-1930.50] 那毛利率部分其實不是以
[1930.50-1932.50] 實體代理的跟
[1932.50-1936.50] 大巷然後放到二位的理論
[1936.50-1939.50] 因為這個是有一個市場行情
[1939.50-1942.50] 當然我們想去做
[1942.50-1943.50] 付二位的利用
[1943.50-1947.50] 會做一些比較下行的結條
[1947.50-1948.50] 但是比較多的
[1948.50-1950.50] 是我們針對商品設計上
[1950.50-1952.50] 在價格上做一些調整
[1952.50-1955.50] 畢竟我們是自己生產
[1955.50-1958.50] 從主板的設計製造
[1958.50-1959.50] 打板
[1959.50-1961.50] 我們裝的工序
[1961.50-1965.50] 在設計上面會有比較多的空間
[1965.50-1966.50] 可以做調整
[1966.50-1968.50] 另外一點是
[1968.50-1970.50] 畢竟在一些產業
[1970.50-1972.50] 用VQC為主
[1972.50-1975.50] 但是QC一度其實在
[1975.50-1977.50] 人人公司跟生產效應上面
[1977.50-1980.50] 其實都是一個比較大的負擔
[1980.50-1984.50] 所以我們在必要的
[1984.50-1986.50] 製化的情況裡面
[1986.50-1990.50] 有含有內涵的很多標準化的部分
[1990.50-1992.50] 那這些標準化的共用性
[1992.50-1995.50] 會讓我們生產製造上面
[1995.50-1999.50] 放造很多額外的利用空間
[1999.50-2001.50] 同時也解決了
[2001.50-2004.50] 其他裂紋在生產產的部分
[2004.50-2006.50] 因為先求穩多的話
[2006.50-2009.50] 所以在相同的產能熱線之內
[2009.50-2011.50] 會影響到它的成立產
[2011.50-2013.50] 所以我們在
[2013.50-2015.50] 可以供應器的部分
[2015.50-2017.50] 我們會做很多
[2017.50-2020.50] 基礎量子提高的發展
[2020.50-2022.50] 那我們零可供的產業
[2022.50-2024.50] 因為是其實
[2024.50-2026.50] 通常運用大部分
[2026.50-2028.50] 其實還蠻有彈性的
[2028.50-2030.50] 所以以現在生產的狀況來講
[2030.50-2032.50] 的確有加本
[2032.50-2034.50] 因為需求有加本
[2034.50-2035.50] 但是因為樓層
[2035.50-2038.50] 面積都還使用低厚的
[2038.50-2040.50] 其實水平可以再擴大
[2040.50-2041.50] 所以今年
[2041.50-2043.50] 我們用這段的數字來看
[2043.50-2044.50] 今天需求
[2044.50-2046.50] 我們的產能還是可以完全
[2046.50-2048.50] 提高的
[2048.50-2049.50] 那
[2049.50-2050.50] 然後
[2050.50-2051.50] 前面這個問題
[2051.50-2052.50] 比如說第一件問題
[2052.50-2053.50] 產能的問題
[2053.50-2055.50] 現在空間跟能力
[2055.50-2056.50] 大部分
[2056.50-2058.50] 加本好
[2058.50-2059.50] 現在的產能
[2059.50-2061.50] 我們還可以提升多少
[2061.50-2062.50] 就是
[2062.50-2063.50] 因為我們現在能力
[2063.50-2064.50] 有所提高的
[2064.50-2066.50] 我們可以提升多少
[2066.50-2067.50] 那
[2067.50-2068.50] 因為現在也受到
[2068.50-2069.50] 在測規
[2069.50-2071.50] 如果產能全開發
[2071.50-2072.50] 開發自發有各種
[2072.50-2074.50] 目前可用的空間
[2074.50-2075.50] 都產進去
[2075.50-2076.50] 產能可以提升多少
[2076.50-2077.50] 是第一個問題
[2077.50-2078.50] 對
[2078.50-2079.50] 然後第二個問題是
[2079.50-2081.50] 我們剛剛有提到說
[2081.50-2083.50] 這個母機機會用模組化
[2083.50-2085.50] 能夠把它融化
[2085.50-2086.50] 那是
[2086.50-2089.50] 會不會跟利用長期的關係
[2089.50-2090.50] 像之前貨幣機的毛利
[2090.50-2091.50] 因為現在
[2091.50-2092.50] 也產生毛利
[2092.50-2093.50] 因為其他機器的毛利
[2093.50-2094.50] 其實還是不一樣的
[2094.50-2096.50] 它會不會為產品取代
[2096.50-2097.50] 不一樣
[2097.50-2098.50] 那
[2098.50-2099.50] 我們再討論一個
[2099.50-2102.50] 產能部分
[2102.50-2104.50] 我們想額外在市場上的
[2104.50-2107.50] 人們的貢獻應該是沒有問題
[2107.50-2109.50] 講產品的部分
[2109.50-2110.50] 其實對我們來講
[2110.50-2111.50] 主板
[2111.50-2113.50] 主板這個主板
[2113.50-2114.50] 最好我們放在
[2114.50-2115.50] 是POSE的產品
[2115.50-2116.50] 我想
[2116.50-2118.50] 我們使用STAND的叫POSE
[2118.50-2121.50] 或者是牛角的就是PANEL平行
[2121.50-2122.50] 或者是放在KeyR
[2122.50-2123.50] 或者是TEMPORAL
[2123.50-2124.50] 這樣只要POSE在這個上
[2124.50-2126.50] 其實主板就是主板
[2126.50-2127.50] 所以
[2127.50-2130.50] 因為市場機制的需要
[2130.50-2132.50] 可能這個產品在這個國家
[2132.50-2134.50] 或是在這次的東南機車上面
[2134.50-2137.50] 必須有一些貸款上的調整
[2137.50-2140.50] 我想這個價格會有市場的權利
[2140.50-2142.50] 唯一我們自己可以努力
[2142.50-2143.50] 是在
[2143.50-2145.50] 在公用器上面
[2145.50-2146.50] 讓VALID的結果
[2146.50-2148.50] 讓我們成本其實也比較好
[2148.50-2149.50] 所以的確
[2149.50-2150.50] 我們做的描述
[2150.50-2151.50] 在不同產品
[2151.50-2152.50] 跟不同的地方
[2152.50-2153.50] 我們都聽到
[2153.50-2155.50] 跟VALID的不一樣
[2155.50-2156.50] PORO
[2156.50-2158.50] 可能是假設是市場VALID
[2158.50-2159.50] 所以
[2159.50-2162.50] 有些產品的VALID的確比例市場
[2162.50-2164.50] 那也其實也是一個市場
[2164.50-2165.50] 所以它平均起來
[2165.50-2167.50] 市場多的VALID
[2167.50-2169.50] 跟CAMO可能這樣
[2169.50-2171.50] 謝謝
[2179.50-2180.50] 有一件
[2180.50-2182.50] 我們現在突破了這個
[2182.50-2183.50] 完結的部分
[2183.50-2184.50] 它有分多
[2184.50-2185.50] 比如說
[2185.50-2186.50] 如果結上機
[2186.50-2188.50] 一定都會有大碗的
[2188.50-2190.50] 這個 VALID
[2190.50-2192.50] 這東西
[2192.50-2193.50] 就是說結上機
[2193.50-2196.50] 肯定也會有大碗的
[2196.50-2198.50] 如果沒有的話
[2198.50-2200.50] 如果沒有太大的話
[2200.50-2201.50] 才是可以有大碗的
[2201.50-2202.50] 之後大概什麼樣
[2204.50-2206.50] 先回答這個問題
[2206.50-2207.50] 第一個是
[2207.50-2208.50] 客戶
[2208.50-2210.50] 國配每個播發
[2210.50-2211.50] 都需要軟體需求
[2211.50-2219.18] 举例来说,我记得去年把所有营销都做一些有用的控制器
[2219.18-2226.34] 这个厂力需求它实际不需要ARI,也不需要安卓,但是它需要营养板
[2226.34-2231.86] 举例来说,我们在欧洲最主要是以Quadrillion 为主
[2231.86-2236.66] Quadrillion 其实它在ARI的需求上就不太需要
[2236.66-2242.66] 但是它需要我们主,因为它是所谓的像田莲这种活饰
[2242.66-2249.66] 在城市里面它是中型的草食,所以它有其它负荷
[2249.66-2256.66] 所以会根据那个实际使用场域,所以有些有,有些没有
[2256.66-2263.66] 但是毕竟这个需求,我想ARI这个需求,它在市场上专业新的应用
[2263.66-2265.66] 以前
[2265.66-2266.66] 在美国
[2266.66-2271.66] 基本上说,我的高度比例是有数字连锁的,所以我摘出
[2271.66-2276.66] 那摘出以前的深圳时间控制跟人员管理上面
[2276.66-2281.66] 用某一些Sense在地板上来中间控制
[2281.66-2290.66] 那这一点,算是一个钢筋需求,基本上基本上所有的数字连锁都会做的
[2290.66-2295.66] 那我来划算数字连锁,它可以取代的需求
[2295.66-2299.66] 或者有些客户认罪冒起来,都是很成熟
[2299.66-2307.66] 那比较好的消息是,从去年开始,有些客户已经完全的切换了这个数据
[2307.66-2312.66] 那我想这一点是一个,本来是在2HATS这个AI程序
[2312.66-2318.66] 那现在它已经model成熟了,取代了一个原来刚需的Sensor需求
[2318.66-2324.66] 它真的是快一点的,全部这些操作完结跟产品产品的客户的效率的结果
[2324.66-2333.66] 当然,到现在这个视频还是有相当量的联系,它是在化业上
[2333.66-2336.66] 那这个是Gene的成绩
[2336.66-2344.66] 那比较新的也是,这一份是一个比较新的市场活动方式
[2344.66-2351.66] 所以它在提这个手续之后,它从去年从1年多前,它就开始用这个游戏
[2351.66-2354.66] 所以时间,是很短的
[2354.66-2357.66] 那么为什么 MoVie 特别是?
[2357.66-2360.04] 因为Movie 呢,年绩是,说
[2360.04-2363.66] 初计则在我们现在使用的资源, sebagai用品的
[2363.66-2365.66] Mexi,这样 式落 fail
[2365.66-2367.66] 它就是用客户的户口
[2367.66-2371.66] 再提一下,就是,손脚都是Gene的
[2371.66-2373.66] 因为 обязing, Robin 传统性能制作的
[2373.66-2376.66] 这个游戏,Gene的事情,只要,我们非常 Сегодня
[2376.66-2380.66] 尤其是,它使用 befineS logical,就是Gene的
[2380.66-2381.66] 就很商用啊
[2381.66-2382.66] 然后我们也顺便 кл marks这个东西
[2382.66-2383.66] 这个游戏机器的Quant beneath,是Vanee Goa-on-time
[2383.66-2385.66] 這個部分就是有利的
[2385.66-2388.66] 那我在這邊問一個問題
[2388.66-2389.66] 就是說
[2389.66-2390.66] 我聽到你
[2390.66-2392.66] 是像董先生講到的
[2392.66-2394.66] 因為剛才有提到就是說
[2394.66-2395.66] 華鐵在
[2395.66-2397.66] 素食典篡這一塊
[2397.66-2400.66] 已經有驗證過它可以提升
[2400.66-2402.66] 所在時間 提升效率了
[2402.66-2404.66] 那我意思就是說
[2404.66-2406.66] 如果比如說像
[2406.66-2409.66] 比如說某個鐵台的素食典篡道
[2409.66-2411.66] 它現在的典篡機
[2411.66-2413.66] 都是用我們家的
[2413.66-2415.66] 那它想要
[2415.66-2417.66] 保護這個
[2417.66-2419.66] 這個路循環可以嗎
[2419.66-2420.66] 可以
[2420.66-2422.66] 我們現在軟體的部分
[2422.66-2423.66] 其實它都沒有
[2423.66-2426.66] 一定鎖定的所有非捷人的
[2426.66-2427.66] 服務
[2427.66-2429.66] 非捷人客戶其實都可以
[2429.66-2431.66] 因為他們是額外的主力系統
[2431.66-2433.66] 所以
[2433.66-2435.66] 店家可以直接保護這些
[2435.66-2436.66] 那其實
[2436.66-2438.66] 現在做軟體的客戶
[2438.66-2441.66] 其實那些都是非捷人的客戶
[2441.66-2443.66] 所以我們在素食典篡裡面
[2443.66-2445.66] 在在海域還
[2445.66-2447.66] 它是
[2447.66-2449.66] 蠻受人的一個構思
[2449.66-2450.66] 但是
[2450.66-2452.66] 那再對待一個東西
[2452.66-2454.66] 如果它不是用
[2454.66-2456.66] 電體的設備
[2456.66-2458.66] 那然後
[2458.66-2460.66] 它直接電電導入
[2460.66-2462.66] 那是怎麼
[2462.66-2464.66] 跟它相對的
[2464.66-2466.66] 我們剛剛講電體的電力上
[2466.66-2468.66] 我再解釋一下
[2468.66-2470.66] 我現在想說是
[2470.66-2472.66] 飛行在QA上面的Post
[2472.66-2475.66] 或者是整個
[2475.66-2477.66] 食品連鎖營運相關的
[2477.66-2479.66] 需要的電信Bus
[2479.66-2480.66] 或Post或其他上面
[2480.66-2483.66] 可以有這四個非捷人的運行
[2483.66-2485.66] 那剛剛提到說
[2485.66-2487.66] 華捷現在導入的客戶
[2487.66-2488.66] 還有一些客戶
[2488.66-2490.66] 他的錢才很貴的
[2490.66-2491.66] 很簡單的
[2491.66-2493.66] 未必需要非捷的運行
[2493.66-2495.66] 但是
[2495.66-2497.66] 華捷包括Angiobot
[2497.66-2499.66] 這邊需要低於運算
[2499.66-2500.66] 需要的運行
[2500.66-2502.66] 就會有非捷時間提供
[2502.66-2504.66] 因為這套電力系統
[2504.66-2505.66] 它必須以
[2505.66-2508.66] 就是Local的算力
[2508.66-2510.66] 把它需要的AI工程
[2510.66-2511.66] 表現出來
[2511.66-2512.66] 所以這個
[2512.66-2514.66] 會必須要另外一個Post
[2514.66-2516.66] 來做這樣的算力運動
[2516.66-2518.66] 它不會
[2518.66-2520.66] 搭配原來的Post系統
[2520.66-2522.66] 所以這是分開的
[2522.66-2523.66] 對飛機來講
[2523.66-2525.66] 這是一個額外
[2525.66-2527.66] 電力上面的
[2527.66-2529.66] 所以這兩個電力系統
[2529.66-2531.66] 是不太要
[2531.66-2532.66] 那對於AI工程
[2532.66-2533.66] 有少於一些建議
[2533.66-2534.66] 對它的
[2534.66-2535.66] 像是
[2535.66-2536.66] 是
[2536.66-2537.66] 是
[2537.66-2538.66] 是
[2538.66-2539.66] 是
[2539.66-2540.66] 對
[2540.66-2541.66] 那
[2541.66-2542.66] 那
[2542.66-2543.66] 那
[2543.66-2544.66] 那
[2544.66-2545.66] 那
[2545.66-2546.66] 那
[2546.66-2547.66] 那
[2547.66-2548.66] 那
[2548.66-2549.66] 那
[2549.66-2550.66] 那
[2550.66-2551.66] 那
[2551.66-2552.66] 那
[2552.66-2553.66] 那
[2553.66-2554.66] 那
[2554.66-2555.66] 那
[2555.66-2556.66] 那
[2556.66-2557.66] 那
[2557.66-2558.66] 那
[2558.66-2559.66] 那
[2559.66-2560.66] 那
[2560.66-2561.66] 那
[2561.66-2563.66] 那那
[2563.66-2564.66] 那那
[2564.66-2565.66] 那那
[2565.66-2567.66] 那
[2567.66-2568.66] 不
[2568.66-2569.66] 不
[2569.66-2570.66] 那
[2570.66-2571.66] 那
[2571.66-2572.66] 那
[2572.66-2573.66] latt
[2573.66-2574.66] 滾
[2574.66-2575.66] 樂
[2575.66-2576.66] 樂
[2576.66-2577.66] 樂
[2577.66-2578.66] 樂
[2578.66-2579.66] 樂
[2579.66-2580.66] 樂
[2580.66-2581.66] 樂
[2581.66-2582.66] 樂
[2582.66-2583.66] 樂
[2583.66-2584.66] 夢
[2584.66-2585.66] 樂
[2585.66-2586.66] 樂
[2586.66-2587.66] 樂
[2587.66-2588.66] 樂
[2588.66-2589.66] 樂
[2589.66-2590.46] 樂
[2590.46-2590.58] 樂
[2590.58-2591.06] 樂
[2591.66-2593.66] 图纸
[2593.66-2595.66] 可以在
[2595.66-2597.66] 照的空间
[2597.66-2599.66] OK
[2599.66-2601.66] 按
[2601.66-2603.66] 我还可以做到
[2603.66-2605.66] 那个
[2605.66-2607.66] 那个
[2607.66-2609.66] 然后
[2609.66-2611.66] 然后
[2611.66-2613.66] 然后
[2613.66-2615.66] 然后
[2615.66-2617.66] 然后
[2617.66-2619.66] 然后
[2619.66-2621.72] 然后
[2621.72-2623.72] 然后
[2623.72-2625.72] 然后
[2625.72-2627.72] 然后
[2627.72-2629.62] 然后
[2629.62-2631.62] 然后
[2631.62-2633.66] 等等
[2633.66-2634.62] 等等
[2635.66-2636.70] 等
[2636.70-2637.66] 等
[2637.66-2638.66] 等
[2638.66-2639.66] 等
[2639.68-2640.66] 等
[2640.66-2641.66] 等
[2641.66-2642.66] 等
[2642.66-2644.66] 等
[2644.66-2645.66] 等
[2645.66-2647.66] 等
[2647.66-2648.66] 等
[2648.66-2649.66] 當
[2649.66-2653.58] 有去公演
[2653.60-2657.78] 我大概2023
[2657.80-2658.82] 2024大概一年多
[2658.84-2660.28] 大概可以才可以
[2660.48-2661.94] 如果没有失败的话
[2661.96-2664.42] 对那因为我从上面有看到
[2664.44-2666.30] 就是说去年
[2666.98-2669.42] 大概超过千万
[2669.42-2670.66] 对
[2670.66-2672.58] 那今年可能就要会
[2672.88-2673.34] 只有
[2675.72-2677.46] 我记得他大概一下
[2677.46-2679.32] 就是去年如果可以的话
[2679.66-2682.70] 我觉得全一年大概要
[2682.70-2683.22] 大概
[2683.22-2686.10] 三千
[2686.10-2687.42] 加速
[2687.42-2690.42] 希望你们每个月的订阅率
[2690.42-2691.02] 可以
[2691.02-2694.26] 每天一个
[2694.26-2695.90] 三天的营销贡献
[2695.90-2696.74] 加速可能
[2696.74-2698.22] maybe我觉得三四千
[2698.22-2700.34] 三四千
[2700.34-2702.62] 加电一个人就可以达到自己的
[2702.62-2703.22] 阶段
[2703.22-2704.98] 但是如果说照
[2704.98-2706.54] 我应该讲的就是说
[2706.54-2708.58] 未来的配奖还非常大
[2708.58-2709.64] 那今年
[2709.64-2711.20] 如果可以不破亿的话
[2711.20-2711.64] 因为
[2711.64-2713.24] 因为是
[2713.24-2715.64] 没有什么太过费用
[2715.64-2717.00] 过去一年会一年多
[2717.00-2719.60] 也就没比说到
[2719.60-2721.00] 也得了
[2721.00-2722.64] 如果整个费用还很大
[2722.64-2723.64] 未来如果
[2723.64-2725.24] 所以他就是说
[2725.24-2726.68] 有来过说
[2726.68-2729.84] 这个大大也是一万家的店
[2729.84-2731.00] 十万家的店
[2731.00-2732.28] 二十万个
[2732.28-2733.52] 这个关键
[2733.52-2735.08] 因为你如果说
[2735.08-2736.28] 这边有十万家
[2736.28-2737.40] 那基本上
[2737.40-2738.60] 都是被原来以后
[2738.60-2739.60] 而且是
[2739.64-2741.24] 每年就是一直收钱
[2741.24-2741.84] 一直收钱
[2741.84-2745.24] 因为说真的收的钱如果不是太多
[2745.24-2748.00] 它的效率可以提升
[2748.00-2751.20] 每一间店都会去付这个钱
[2751.20-2752.20] 所以我的意思就是说
[2752.20-2753.32] 我们可以的
[2753.32-2754.48] 我觉得说
[2754.48-2756.20] 我们到底
[2756.20-2758.20] 现在这个同时
[2758.20-2759.28] 可以有个比特
[2759.28-2761.28] 我们可以做到万家十万家
[2761.28-2764.64] 或者是二十万家的
[2764.64-2766.64] 你算也就蛮仔细的
[2766.64-2768.76] 那谢谢你花这么多时间研究
[2768.76-2769.48] 谢谢你
[2769.64-2777.44] 你可以多来点赞
[2777.60-2778.76] 谢谢你的
[2778.76-2779.56] 感谢
[2779.56-2780.56] 谢谢
[2780.56-2782.56] 谢谢
[2789.12-2790.12] 谢谢
[2790.12-2790.68] 谢谢
[2791.48-2793.84] 谢谢
[2793.84-2796.08] 谢谢
[2796.56-2797.40] 谢谢
[2797.60-2798.64] 谢谢
[2799.64-2804.64] 但是在官方的客戶用比較快的應用
[2804.64-2806.64] 或是用的快一點點
[2806.64-2811.64] 所以我們在提供這個Solution的比較大的觀點
[2811.64-2813.64] 都不是很單純的
[2813.64-2817.64] 說這樣子我可以提供哪些量化的數字
[2817.64-2821.64] 告訴你說你的車子排列能做多久
[2821.64-2823.64] 或者是你等三個多久
[2823.64-2827.64] 那就是比較要什麼一個數字
[2827.64-2830.64] 而是我們如何運用這些數字
[2830.64-2834.64] 提供一個管理上的機制跟方法
[2834.64-2836.64] 讓這些加農組
[2836.64-2839.64] 他擁有10家100家50生更多
[2839.64-2842.64] 他可以做一些管理上的提升
[2842.64-2844.64] 那比較重要的點是
[2844.64-2846.64] 不管是花姐或是英國
[2846.64-2851.64] 所有提供的這些都是有幾個數字做參考
[2851.64-2854.64] 而是提供一個感覺
[2854.64-2856.64] 這些東西是為什麼
[2856.64-2859.64] 現在客戶提問的時候
[2859.64-2862.64] 客戶對這個數字上面就會有比較多的感覺
[2862.64-2864.64] 因為它不是一個感覺
[2864.64-2866.64] 那對他的營收影響
[2866.64-2868.64] 因為可以做評價
[2868.64-2871.64] 所以這一點上面在客戶已經開始用了
[2871.64-2872.64] 去年就開始
[2872.64-2876.64] 終於在相對前年有來減成
[2876.64-2880.64] 今年我們在這裡是非常非常樂觀
[2880.64-2885.64] 所以我們在整個市場量力上
[2885.64-2887.64] 這個空間上
[2887.64-2889.64] 這也是為什麼
[2889.64-2891.64] 我們在選擇花姐也好
[2891.64-2893.64] 或者英國也好
[2893.64-2896.64] 我們也在產品跟市場的評估上面
[2896.64-2900.64] 做一個相當的一個檢視
[2900.64-2902.64] 一件軟體的產品
[2902.64-2905.64] 要是不能大量輔資的話
[2905.64-2909.64] 其實很難把當初前期的控制
[2909.64-2912.64] 做一些一些獲利的
[2912.64-2915.64] 實現形式
[2915.64-2918.64] 現在AI的供應值其實蠻貴的
[2918.64-2920.64] 所以我們在市場選擇上面
[2920.64-2923.64] 必須回到其他市場
[2923.64-2925.64] 我們也開始做一些空間
[2925.64-2927.64] 在美國的素質原作在上
[2927.64-2930.64] 這個素質非常非常高
[2930.64-2932.64] 它現在占了2億
[2932.64-2936.64] 我們希望很多客戶對這樣的方案的任務
[2936.64-2939.64] 從外貿到可以接受
[2939.64-2941.64] 所以我們需要相當的一些客戶
[2941.64-2944.64] 出來做一些前期的保育
[2944.64-2946.64] 讓去年是一個成績
[2946.64-2949.64] 然後才會是一個市場任務的結果
[2959.64-2960.64] 美國有好幾個
[2960.64-2963.64] 但是現在實際的成績
[2963.64-2965.64] 第一個是看電廠從長到長的成績
[2965.64-2967.64] 花姐應該算是最領先的
[2967.64-2969.64] 那第二是從基礎來講
[2969.64-2971.64] 花姐目前很紅
[2971.64-2973.64] 因為有幾個客戶
[2973.64-2975.64] 他們已經做過業
[2975.64-2978.64] 所以我們在移工方案的時候
[2978.64-2980.64] 客戶會說業績有些低
[2980.64-2983.64] 所以看起來這方面
[2983.64-2986.64] 花姐還是相對領先
[2986.64-2988.64] 在美國市場
[2988.64-2989.64] 我想問一下
[2989.64-2991.64] 台灣有打工嗎
[2991.64-2993.64] 現在的現狀
[2993.64-2996.64] 有什麼東西可以說嗎
[2996.64-2998.64] 花姐你們這個
[2998.64-3000.64] 花姐在初期的節奏上
[3000.64-3002.64] 因為運工是在內部的
[3002.64-3005.64] 所以一開始幾位聯邦
[3005.64-3010.64] 一切在台灣差了兩下
[3010.64-3014.64] 然後但是因為台灣的量體
[3014.64-3016.64] 不夠大
[3016.64-3019.64] 所以在接觸過程中
[3019.64-3022.64] 後來在美國開始有一些進展以後
[3022.64-3025.64] 我們就把東西全部都過去了
[3025.64-3026.64] 所以一樣的
[3026.64-3028.64] 在客戶檢討上面
[3028.64-3029.64] 有一些基本要求
[3029.64-3031.64] 的話還是一樣的
[3031.64-3032.64] 因為還是一樣
[3032.64-3034.64] 只要客製做的話
[3034.64-3037.64] 一些研發的費用是沒有辦法
[3037.64-3039.64] 研發好的話
[3039.64-3040.64] 他們算了
[3040.64-3043.64] 在我們在選擇上面
[3043.64-3045.64] 他們想第一個是長訓者
[3045.64-3046.64] 第二個是客戶訓練
[3046.64-3047.64] 像我們還是有一些
[3047.64-3049.64] 一些內部的研發機制
[3049.64-3051.64] 所以我們也說
[3051.64-3053.64] 在初期就
[3053.64-3055.64] 在一半我們就跳過了
[3055.64-3057.64] 因為是剛出期初期之後
[3057.64-3059.64] 美國市場的補助
[3061.64-3063.64] 林 webinars 至少使用了
[3063.64-3065.64] 一半就合乎很多需求
[3065.64-3066.64] 然後除了一個
[3066.64-3067.64] 經濟分配 asc아
[3067.64-3070.14] 然後甚至有 implications
[3070.14-3070.64] 對 ug當然就是
[3070.64-3071.64] 見到會有一個
[3071.64-3072.64] 基本的情況
[3073.64-3074.64] 所以因為對於
[3074.64-3075.64] 這個一直加的
[3075.64-3077.64] Odds-to-NO
[3077.64-3078.64] 然後 conforming
[3078.64-3079.08] 對於舒適的
[3079.64-3090.78] 比較重對於
[3090.78-3091.24] 301
[3091.24-3091.64] replacement
[3091.64-3093.64] 對比是很高的
[3093.64-3095.64] 因為2、3年基期這樣
[3095.64-3097.64] 但是去年基期到來高了
[3097.64-3102.64] 所以在總共7年還是會相當倍數的上漲
[3102.64-3105.64] 在基期是那個基期最高的情況下
[3105.64-3108.64] 我想在這幾年來那種指控是非常
[3108.64-3110.64] 就是說外投資的部分
[3110.64-3112.64] 就叫做到今年要到下降
[3112.64-3116.64] 就是算一個規則縮小去做
[3116.64-3122.64] 因為今年的導入數跟去年來講的話
[3122.64-3126.64] 其實這年的貨幣有些贏受了增加
[3126.64-3131.64] 但是低成本就是從華幣的程度來看
[3131.64-3134.64] 但是有另外一個是
[3134.64-3136.64] 本身在硬體上能夠
[3136.64-3140.64] 硬是在前期中能夠強力
[3140.64-3143.64] 所以這部分還有一個外的收入
[3143.64-3145.64] 是本身這一節值期
[3145.64-3146.64] 在硬體上能夠
[3146.64-3148.64] 硬體消耗上的收入
[3148.64-3150.64] 還有就是我們的
[3150.64-3152.64] 那個泰克造品
[3152.64-3155.64] 還有做一些那個M&R相關的
[3155.64-3157.64] 通常成立在對比的狀況
