[0.00-7.44] 高雄銀行2025年第一季法輪說明會正式開始
[1503.06-1507.42] 那這個是這個因為這個是第一季的一個數字大概是這個樣子
[1508.44-1510.22] 好那再來我們看下頁
[1510.48-1512.02] 這個是我們的一個
[1512.28-1514.58] 存放款利差的一個主要部分
[1514.84-1518.68] 那這個存放款的利差呢我們可以看到今年的
[1518.94-1519.96] 第一季我們這個
[1520.22-1520.98] 比例是來到1.2%
[1521.54-1522.06] 63
[1522.56-1525.38] 那去年的同期是1.52
[1525.64-1528.46] 那大概有增加了0.11個百分點
[1529.22-1532.80] 但是呢我們特別說明一下我們的淨利差的部分
[1533.06-1539.20] 淨利差的部分呢我們看到今年第一季是來到1.02那跟去年同期的0.82
[1539.46-1541.26] 看的話大概有增加了
[1541.50-1543.82] 0.20個百分點
[1544.32-1544.58] 那個
[1544.84-1546.62] 這個部分增加的
[1546.88-1548.16] 主要原因有兩個
[1548.42-1550.98] 第一個是反映我們台幣放款的利差
[1550.98-1552.00] 在拉大
[1552.52-1553.28] 這是第一個
[1553.54-1554.06] 主要原因
[1554.30-1555.34] 第二個部分是
[1555.58-1558.40] 我們的負利差的一個情況有好轉
[1559.42-1561.98] 這兩個因素使得我們這個整個
[1562.24-1563.78] 這個NIM也就是
[1564.04-1565.82] 利息淨收益去
[1566.08-1567.36] 除上我們的
[1567.62-1569.66] 知習資產的一個平均餘額
[1569.92-1571.46] 這個定義叫NIM
[1571.72-1572.48] 那這個
[1572.74-1575.82] 這個表示我們銀行整個資產的
[1576.06-1579.14] 知習資產的運用效率是有在拉升的
[1579.40-1580.94] 我們可以看到從0.821
[1581.24-1581.74] 往上
[1582.00-1583.54] 現在是來到1.02
[1583.80-1586.10] 我想只要這個負利差持續改善
[1586.36-1588.14] 以及我們台幣的這個
[1588.40-1591.74] 存放款的利差在有效拉大這個
[1591.98-1594.30] 這個NIM是還可以逐步往上走
[1594.80-1599.42] 這個對反映在我們的利息淨收益會非常的明顯
[1600.18-1600.70] 好
[1600.94-1602.22] 再來我們再看下一頁
[1604.54-1606.32] 這個是我們特別在把它
[1606.58-1607.86] 擺出來就是
[1608.12-1610.68] 我們外幣的一個存放款利差跟我們
[1610.98-1612.26] 台幣的一個存放款利差
[1612.52-1615.34] 那我們先看藍色這條線是我們這個
[1615.58-1617.12] 台幣的存放款的利差
[1617.38-1618.40] 那我們可以看到
[1618.66-1621.98] 在今年的第一季是來到1.74
[1622.76-1625.06] 這個利差1.74跟去年同期的
[1625.32-1629.16] 1.69大概有拉升了0.05個百分點
[1629.42-1631.20] 但是我們看到我們的外幣
[1631.46-1633.00] 的放款的一個
[1633.26-1633.76] 利差呢
[1634.02-1635.30] 我們可以看得出來
[1635.56-1636.84] 大概從去年
[1637.34-1639.14] 同期的大概2.21
[1639.40-1640.42] 大概有逐步下滑
[1640.98-1641.74] 那這是因為
[1642.00-1645.34] 這個外幣的計息方式跟我們台幣的是不太一致
[1645.84-1646.62] 不太一致
[1646.86-1648.14] 那才有這樣子的情況
[1648.40-1650.70] 另外這個外幣的這個利差
[1650.96-1651.74] 另外會
[1652.24-1655.82] 有一個因素影響他就是說這個為什麼會越來越低
[1656.08-1658.38] 主要是如果台幣是升值的因為
[1658.64-1659.92] 我們外幣的放款
[1660.44-1661.46] 收的是
[1661.72-1662.74] 外幣的這個利息
[1663.00-1666.58] 那因為如果你台幣升值的話因為我們要用
[1666.84-1669.14] 本位幣也就是要用台幣來計賬
[1669.40-1670.94] 那你收到的那個利息
[1671.24-1673.54] 你換算成台幣如果台幣是升值的
[1673.80-1675.84] 那相對的這個利息就會變少
[1676.10-1679.42] 那你用比較少的這個利息去除上這個
[1679.68-1681.48] 平均元相對的你這個
[1681.98-1683.78] 這個利率你就會變得比較低
[1684.04-1690.44] 所以這個才會也有顯示說這個為什麼這個部分會越來越低這個也是其中的一個原因
[1690.70-1692.22] 這也是其中的一個原因
[1692.48-1693.26] 不過我們看
[1693.50-1696.32] 因為相對來說的話我們外幣的這個
[1696.58-1697.86] 放款的本來
[1698.12-1698.88] 佔我們
[1699.14-1700.16] 總放款的比重
[1700.42-1700.94] 比重呢
[1701.24-1702.52] 大概就在10%上下
[1702.78-1703.80] 要嘛9要嘛
[1704.06-1704.82] 頂多就11
[1705.08-1709.42] 所以大概最主要影響我們利差的還是這個台幣的
[1709.68-1713.52] 這個存放款利差是來的影響數會比較大一些
[1714.04-1714.54] 好
[1714.80-1715.58] 接下來我們再看
[1716.08-1719.16] 那再來的話是我們的這個資產品質的部分
[1719.42-1721.20] 那這個也要特別報告一下
[1721.46-1721.98] 因為
[1722.22-1724.28] 股東看到這個曲線
[1725.30-1726.84] 可能也會嚇一跳那
[1727.10-1729.90] 為什麼這個覆蓋率會從去年
[1730.16-1730.68] 底的
[1730.98-1732.26] 514%
[1732.78-1734.82] 514.8%
[1735.08-1736.86] 會掉到292%
[1737.12-1740.20] 那這個餘放比率會從0.23
[1740.46-1742.24] 跳升到0.39
[1742.50-1746.34] 那跟各位報告這個主要是我們有參加一個連帶案
[1746.86-1749.42] 那因為這個連帶案是一個都更的連帶案
[1749.92-1750.44] 那
[1750.70-1751.20] 因為
[1751.72-1755.82] 一些原因房子已經蓋好了那這個location是很棒的
[1756.06-1756.84] 但是呢
[1757.10-1760.42] 因為有一些問題所以他就是沒有辦法正常繳息
[1760.98-1762.00] 但是呢這筆
[1762.52-1763.28] 我們的
[1763.54-1764.06] 金額
[1764.30-1766.36] 餘放的金額大概帳列是
[1766.62-1767.64] 4億左右
[1767.90-1768.92] 但是我們的
[1769.42-1769.94] 這個
[1770.20-1772.24] 覆蓋率也就是說我們的單保品
[1772.50-1774.04] 是來到5.96億
[1774.30-1775.58] 所以這筆放款
[1775.82-1777.10] 是不會有損失的
[1777.88-1779.92] 但是呢需要時間來處理
[1780.70-1781.46] 需要時間來處理
[1781.98-1786.84] 如果我們扣除剛剛我講的這筆因為我剛剛說我們的預放金額那筆
[1787.10-1788.12] 差不多是4億
[1788.38-1789.90] 但是我們的這個單保品有
[1790.16-1790.68] 7.96億
[1790.98-1792.78] 將近兩倍的一個
[1793.54-1794.06] 覆蓋
[1794.56-1795.34] 那不會有問題
[1795.58-1798.40] 如果扣除掉這筆的這個
[1799.42-1799.94] 預放的話
[1800.20-1800.70] 事實上
[1800.96-1801.98] 我們的這個
[1802.76-1805.58] 預放比率會來到0.22
[1806.60-1808.38] 那我們的這個覆蓋率
[1808.64-1811.72] 今年第一季就可以來到530
[1812.74-1813.76] 就可以來到530
[1814.02-1818.88] 那各位股東也不用太擔心因為事實上我們的這個背離代帳
[1819.14-1820.42] 的金額我們在
[1820.42-1822.46] 3月底的時候我們背在這樣一個金額
[1822.98-1823.50] 裡面
[1823.74-1826.06] 提列的有26.16億
[1826.30-1827.08] 是
[1827.34-1828.62] 可以足夠來cover的
[1828.86-1830.14] 這個應該是沒有什麼問題
[1830.92-1831.42] 好
[1831.68-1835.02] 接下來我們看下頁這個主要是我們本行的資本市主率
[1835.26-1836.30] 那我們可以看到
[1837.32-1841.66] 這個資本市主率呢會感覺是由去年第一季一直往下
[1841.92-1843.46] 那當然今年第一季
[1843.72-1847.30] 感覺也有從去年年底有稍微回升一些些
[1847.56-1849.34] 好這個最主要的原因是因為
[1849.34-1855.48] 去年的第一季這個我們剛剛好完成了50億元的現金增值而且
[1855.74-1856.76] 我們是溢價
[1857.28-1862.40] 10.7元所以我們收進來了大概53億5000萬的一個資金
[1862.66-1865.22] 所以這個部分的是相對是最高點
[1865.72-1868.02] 那隨著我們放款的
[1869.06-1870.84] 跟資產的一個大幅增長
[1871.10-1875.70] 因為這個放款跟我們的投資都是屬於我們的風險性資產
[1875.96-1878.02] 那只要我們的風險性資產
[1878.52-1879.04] 增加
[1879.34-1880.10] 基本上來講
[1880.36-1885.74] 這個資本三綠也就是資本市主率低類資本比率跟普通股權益呢
[1886.00-1888.30] 基本上都是會逐步下滑
[1889.06-1889.84] 好那
[1890.10-1893.16] 特別再說明那為什麼我們今年第一季
[1893.42-1897.00] 跟去年年底的時候我們這個線呢其實是往上
[1897.26-1898.28] 反而是增加
[1898.54-1900.08] 這個最主要的原因
[1900.34-1900.84] 有兩個
[1901.10-1901.86] 第一個是
[1902.12-1908.78] 我們在這個時間點也就是我們在這個第一季呢我們賺了稅後盈餘2.66億
[1909.34-1910.62] 這個一開始我們也有跟
[1910.88-1911.64] 各位報告過
[1911.90-1912.42] 另外
[1912.92-1913.70] 還有就是
[1913.94-1914.72] 第二個因素是
[1914.98-1916.50] 我們在這個時間點
[1918.56-1924.44] 我們的帳列OCI的評價利益是來到5.14億但是去年
[1924.96-1925.72] 這個年底
[1925.98-1927.52] 這一世紀的時候呢
[1927.78-1931.36] 這個帳列的OCI的評價利益只有1.57億
[1931.62-1932.90] 所以光是這個
[1933.14-1937.24] 評價利益的回升大概就有3.3億
[1937.76-1939.04] 所以就3.3億加上
[1939.34-1941.64] 剛剛講的今年第一季的稅後盈餘
[1941.90-1943.44] 這個大概就是增加了
[1943.70-1944.20] 6億多
[1944.72-1946.76] 才使得我們這個資本三綠
[1947.02-1947.78] 在這邊
[1948.04-1949.32] 就有看到比
[1949.84-1951.88] 去年第四季有明顯的一個回升
[1952.66-1953.16] 好
[1953.42-1953.94] 那
[1954.18-1958.02] 再來也跟股東報告說我們近期有哪些重要的一個事項
[1959.06-1962.64] 首先第一個是我們新莊分行在今年的4月7號
[1962.90-1968.26] 就是由這個台中的北屯呢我們簽紙到了這個新莊來營業
[1968.52-1969.04] 那
[1969.34-1972.92] 另外第二個是我們在今年3月25號呢也已經
[1973.18-1974.20] 取得這個
[1975.48-1976.50] 次到原則的
[1976.76-1977.78] 簽署人的資格
[1978.04-1983.42] 那我們會落實這樣子的一個金融的一個中介的一個功能
[1983.68-1985.22] 導引整個
[1985.46-1987.00] 所有企業呢都往
[1987.26-1990.08] ESG的方向來努力保護我們的地球
[1990.58-1991.36] 那其次
[1991.62-1997.50] 這個是我們一直持續來也是對於整個綠電交易的一個
[1997.76-1999.30] 延伸的一個業務
[1999.60-2000.36] 那這個是我們
[2000.62-2001.90] 作為這個
[2002.16-2003.94] 綠電交易平台的
[2004.20-2005.48] 一個信託的一個業務
[2005.74-2012.14] 那這個部分呢我們大概目前已經有跟15家的這樣子綠電平台的業者完成簽約
[2012.40-2014.70] 那有30家的這個發電業者
[2014.96-2018.54] 有加入這個平台也就是透過這個平台來受電
[2018.80-2020.34] 那我們看到最新的
[2020.58-2025.70] 我們每個月透過這個平台來受電的金額大概來到將近5000萬元左右
[2025.96-2028.02] 如果看到4月份的金額是這個樣子
[2028.52-2029.04] 好
[2029.60-2033.18] 那當然我們也榮獲了這個台灣智慧交易所這個
[2033.44-2037.28] 公司治理評鑑我們是落在這個名次6到20的這個
[2037.54-2038.04] 區間
[2038.56-2041.62] 那另外呢我們在今年的
[2041.88-2047.00] 應該是說這個禮拜五我們就會召開我們今年度的一個股東大會
[2047.26-2048.80] 那我們的
[2049.06-2055.20] 配股配息大概在今年的一個董事會裡面也出不決議了那當然最終還是要股東會來
[2055.46-2055.96] 審議通過
[2056.22-2058.78] 那我們原則上我們大概是配發現金鼓勵跟股票股票
[2059.34-2061.64] 幫助市場鼓勵各一半都是0.3元
[2061.90-2063.44] 那另外沒有寫在
[2063.70-2065.48] 這個近期重要事項裡面的
[2065.74-2066.26] 一個
[2066.50-2067.54] 我做為 LOL
[2067.78-2069.32] 做一個補充也就是說
[2069.58-2071.38] 因為亞洲資產管理中心
[2072.14-2073.16] 落腳高雄
[2073.42-2078.80] 那我們作為在地高雄市政府投資達40%以上的這樣子銀行
[2079.06-2080.58] 我們也是積極來
[2080.84-2081.36] 爭取
[2081.84-2083.40] 我們首先是爭取來
[2083.66-2085.54] 做這個財務管理2.0
[2085.78-2086.32] 那財務
[2086.58-2089.04] 管理2.0這項業務呢我們董事會
[2089.34-2092.06] 在今年的5月9號這個營業計畫書
[2092.06-2095.16] 也已經通過 那我們5月19呢
[2095.16-2098.10] 也已經送件到
[2098.10-2100.58] 金管會去 那我們希望說
[2100.58-2103.58] 如果一切順利的話 希望在明年的第一季
[2103.58-2105.26] 可以開辦這個
[2105.70-2108.68] 財富管理2.0的業務 之後呢 我們會
[2108.68-2111.02] 規劃來進駐這個
[2111.56-2114.56] 這個專區裡面來做這個高資產的
[2114.56-2117.26] 一個業務 做以上的一個補充
[2117.26-2120.34] 那最後呢 也敬祝各位
[2120.58-2123.20] 媒體記者 各位浦東
[2123.20-2125.60] 跟貴賓 大家身體健康
[2126.10-2129.10] 以上 那如果對於今天
[2129.10-2132.02] 我做的這個法人說明會 如果大家還要
[2132.02-2135.04] 垂詢的話 也請大家踴躍來發言
[2135.04-2136.28] 以上 謝謝
[2138.92-2141.80] 請問現場來賓有問題要提出的嗎
[2144.62-2147.24] 好 如果沒有的話 本次法人說明會
[2147.24-2150.40] 圓滿結束 本會備有餐盒
[2150.40-2153.24] 請貴賓們自門口領取 謝謝
