[0.00-29.98] 请不吝点赞 订阅 转发 打赏支持明镜与点点栏目
[30.00-59.98] 订阅 转发 打赏支持明镜与点点栏目
[60.00-89.98] 订阅 转发 打赏支持明镜与点点栏目
[90.00-119.98] 订阅 转发 打赏支持明镜与点点栏目
[120.00-149.98] 订阅 转发 打赏支持明镜与点点栏目
[150.00-179.98] 订阅 转发 打赏支持明镜与点点栏目
[180.00-209.98] 订阅 转发 打赏支持明镜与点点栏目
[210.00-212.00] 订阅 转发 打赏支持明镜与点点栏目
[212.00-216.00] 订阅 转发 打赏支持明镜与点点栏目
[216.00-220.00] 订阅 转发 打赏支持明椿izing 后期股段
[220.00-226.04] 订阅 转发 打赏支持明镜与点点栏目
[226.04-229.80] 订阅 转发 打赏支持明镜与点点栏目
[229.80-233.92] 订阅 转发 打赏支持明镜与点点栏目
[233.92-237.00] 订阅 转发 打赏支持明�Type 人和愛美社区
[237.00-237.90] 订阅 转发 打赏支持明镜与点点栏目
[237.90-242.04] 在前瞻法規創下了歷史新高的一個局面
[1672.26-1674.26] 虽然我们是始作俑者
[1674.26-1675.26] 不能这样讲
[1675.26-1676.26] 因为我们是始作俑者
[1676.26-1677.26] 所以我们比较早脱身嘛
[1677.26-1680.26] 所以我们在后面这两年有gamed到很大的一个市占率
[1680.26-1681.26] 从市场gamed到一个市占率
[1681.26-1682.26] 因为我们的同业还在
[1682.26-1683.26] 我们的同业还在
[1683.26-1686.26] 就是还在全国里面要增长一下
[1686.26-1688.26] 所以我们比较早退出
[1688.26-1692.26] 所以我们在这个业绩成长会比较明显一点点
[1692.26-1699.26] 直到今年我们比防疫险那一年的千丹宝贝还要高
[1699.26-1701.26] 所以我说千丹宝贝創价率是更高
[1701.26-1704.26] 就是千丹宝贝这边比防疫险那一年
[1704.26-1712.26] 防疫险那一年就是我们公司一下就多增加了21的保费收入
[1712.26-1714.26] 那这21亿我们花了4年就把他弥补过
[1714.26-1717.26] 就用业绩成长的方式把他弥补过
[1717.26-1718.26] 不是一次性的收入
[1718.26-1724.26] 我们用3年的时间就把这21的业绩收入给弥补过来
[1724.26-1727.26] 那自流满期保费就没办法
[1727.26-1728.26] 自流满期保费
[1728.26-1733.26] 因为当初增加了20亿防疫险几乎都是自流保费
[1733.26-1734.26] 都是自流保费
[1734.26-1737.26] 所以这个gap就要需要一点时间
[1737.26-1741.26] 所以你看喔
[1741.26-1745.26] 我们在2019年我们的千丹宝贝业绩是62亿
[1745.26-1747.26] 到去年已经是88亿
[1747.26-1751.26] 那自流满期保费在2019年是4.7亿
[1751.26-1753.26] 现在已经61.5亿
[1753.26-1756.26] 所以这业绩的增长其实是很明显
[1756.26-1761.26] 而且他的他的他的协议是从持平变成有一点加速往上走的
[1761.26-1762.26] 但当然有市场的因素
[1762.26-1764.26] 我不敢讲说这只有我们公司是这样子
[1764.26-1771.26] 我相信大部分的保险公司都有这样的一个业绩成长的一个态势跟轨迹
[1771.26-1776.26] 只是在前两年我们这个态势会比从前来的陡一点点
[1776.26-1778.26] 因为我有更到市占率
[1778.26-1780.26] 我有更到一点市占率
[1780.26-1785.26] 而整个产业的确是往上走的一个态势
[1785.26-1789.26] 来看一下我们盈余的一个表现
[1789.26-1791.26] 一样我们在去年的盈余
[1791.26-1798.26] 不管在税前税后盈余都创下历史新高
[1798.26-1799.26] 好
[1799.26-1801.26] 那2021年就是我们面临防疫历史新高
[1801.26-1806.26] 那一年我们的保险业务几乎没赚钱
[1806.26-1810.26] 每年4到5亿的保险业务就丢回去了
[1810.26-1812.26] 那一年我们全部靠投资收益
[1812.26-1814.26] 可是我们还是赚钱的
[1814.26-1819.26] 我们并没有像防疫历史新高的其他同业需要就是卖主产
[1819.26-1822.26] 或者是母公司伸出援手
[1822.26-1823.26] 我们没有
[1823.26-1824.26] 那一年还是赚钱的
[1824.26-1825.26] 只是我们那一年保险业务不赚钱
[1825.26-1829.26] 我们还是靠投资来赚钱
[1829.26-1830.26] 这是2005年
[1830.26-1832.26] 2022年也要大提这个评价
[1832.26-1836.26] 2022年很多授权公司在这边就撑不住了
[1836.26-1838.26] 因为股税双杀
[1838.26-1840.26] 那我们公司只是
[1840.26-1842.26] 我们公司在
[1842.26-1845.26] 就是一样在OCI中评价我们面临很大的一个
[1845.26-1847.26] 我们又面临一些亏损
[1847.26-1848.26] 在这边
[1848.26-1850.26] 可是我们还是赚钱的
[1850.26-1856.26] 就是我在属于表上的获利还可以cover我在表外的这个评价的亏损
[1856.26-1858.26] 所以我们还是赚钱的
[1858.26-1860.26] 所以我们的综合损益
[1860.26-1863.26] 还是有3000多万
[1863.26-1868.26] 可是我记得这一年我们的评价损失大概也是接近6亿
[1868.26-1872.26] 就是我的股票部位加我的债券部位大概评价
[1872.26-1874.26] 在这一年少了6亿
[1874.26-1878.26] 可是第二年我就把这6亿给赚回来
[1878.26-1880.26] 评价率又回来
[1880.26-1885.26] 去年我再次再往上增加了4亿
[1885.26-1887.26] 就评价率
[1887.26-1888.26] 我要讲的是
[1888.26-1890.26] 我要给大家看的是说
[1890.26-1894.26] 我们公司的现在一个获利的一个数字跟前面几年
[1894.26-1896.26] 就是到了另外一个台阶去
[1896.26-1901.26] 这当中有我们的保险业务也有我们的投资比
[1901.26-1903.26] 这是不可同日而语
[1903.26-1908.26] 然后去在2023年我们投资只赚4亿元
[1908.26-1911.26] 可是我税后盈余还是有接近10亿元
[1911.26-1914.26] 那那一年我们保险业务就很赚钱
[1914.26-1919.26] 因为没有天灾无病无害的保险业务就很赚钱
[1919.26-1921.26] 那一年投资不好也稍微balance
[1921.26-1923.26] 那去年保险业务受到一些影响
[1923.26-1925.26] 我们投资又好
[1925.26-1929.26] 就是感觉这个乔商品做的还不错
[1929.26-1931.26] 那就是他们常常讲的
[1931.26-1932.26] 我双赢的情
[1932.26-1934.26] 我们也是类似这样的一个概念
[1934.26-1938.26] 不过就这两年的一个税前税后的这个获利
[1938.26-1943.26] 跟过去几年感觉是有上了一个台阶
[1943.26-1945.26] 好
[1945.26-1949.26] 那综合评论就是把税后经济加上我刚才讲的OCI的变价利益
[1949.26-1950.26] 这个就叫综合评论
[1950.26-1954.26] 在那个评论表的最下面一列会有这个数字
[1954.26-1956.26] 好
[1956.26-1958.26] 那这是我们就是
[1958.26-1965.26] 我这边要表达的就是我们公司在承担或者对抗金融市场的波动上面的能力其实还是不错
[1965.26-1970.26] 这个是在面临产业大变动的时候
[1970.26-1972.26] 防疫的时候我们公司可以赚钱
[1972.26-1975.26] 在面临金融市场很大的波动的时候
[1975.26-1977.26] 我们公司还是可以赚钱
[1977.26-1978.26] 我们不见得是最多钱的一个方式
[1979.26-1981.26] 我们是最稳定的那家公司
[1981.26-1985.26] 可是我觉得我们可能是赚钱最稳定的那家公司
[1985.26-1988.26] 这是我想要表达的概念
[1988.26-1990.26] 这个是天灾的这个是
[1990.26-1992.26] 我可以想象一下
[1992.26-1994.26] 这个是金融市场的波动
[1994.26-1998.26] 那如果无病无痛我们公司的数字就会更漂亮
[1998.26-2002.26] 这是丁玉的一个表现的部分
[2002.26-2003.26] 好
[2003.26-2005.26] 来看我们业务显种
[2005.26-2007.26] 在2022年的时候
[2007.26-2008.26] 我们的撑险还高达54%
[2008.26-2010.26] 的市占率
[2010.26-2012.26] 大部分的产业公司车险都接近一半
[2012.26-2015.26] 甚至有些公司接近到六成或七成
[2015.26-2019.26] 应该是那种和泰
[2019.26-2023.26] 或者新的那种车商背景的产业公司
[2023.26-2025.26] 他们车险比重就会更高
[2025.26-2027.26] 我们公司因为没有具备
[2027.26-2032.26] 所以我们公司的车险比例大概就是在一半左右
[2032.26-2034.26] 可是有的发现就是说
[2034.26-2036.26] 这几年我们车险比例一路往下走
[2036.26-2039.26] 这不是我们车险业绩衰退
[2039.26-2043.26] 是业绩成长的显种里面主要是以商业显种为主
[2043.26-2044.26] 大家可以看到
[2044.26-2046.26] 第一个商业活险
[2046.26-2050.26] 从原本的11%到去年已经来到15%
[2050.26-2052.26] 这个当我刚刚讲的
[2052.26-2053.26] 费率的上升
[2053.26-2055.26] 市占率的增加
[2055.26-2060.26] 还有责任显种从11%到15.3%
[2060.26-2064.26] 这都是商业显种的增加的状况
[2064.26-2065.26] 应该是我们的商业显种增加的速度是
[2065.26-2068.26] 比重里面是以商业显种增加的
[2068.26-2073.26] 所以造成我们个人显种的占比下降
[2073.26-2076.26] 这并不代表我们个人显种是衰退
[2076.26-2079.26] 值得提的一下是
[2079.26-2081.26] 祝福险
[2081.26-2090.26] 与同业的12%到13%
[2090.26-2094.26] 因为我们在同业里面算是比较末端的
[2094.26-2095.26] 可是我们的商业显种增加的速度是
[2095.26-2099.26] 我们有个显种却是
[2099.26-2102.26] 我们的银行第一名
[2102.26-2103.26] 就是我们的祝福险
[2103.26-2104.26] 这个我讲跟产业秩序有点关系
[2104.26-2107.26] 因为我们公司属于stand alone的产业公司
[2107.26-2110.26] 我们不隶属于任何一家金控
[2110.26-2111.26] 再来就是
[2111.26-2115.26] 台银是我们公司的大股东
[2115.26-2117.26] 所以我们在争取官府银行的祝福业势上面
[2117.26-2119.26] 我们有一些先天的优势
[2119.26-2123.26] 因为一般金控不会把客户指向给其他金控的人
[2123.26-2124.26] 因为一般金控不会把客户指向给其他金控的人
[2124.26-2126.56] 比如他必须要调整就可能会
[2126.56-2127.08] 对
[2127.08-2130.26] 那这个险种其实
[2130.26-2131.98] 说实话是蛮赚钱
[2131.98-2133.46] 这个就是有
[2133.46-2136.76] 你家就是如果你保这个险
[2136.76-2138.32] 你因为受到台风的
[2138.32-2140.10] 或者什么地震风水
[2140.10-2141.24] 有损害的话
[2141.24-2142.36] 这个险就可以帮你
[2142.36-2144.66] 那这个险又是政策的
[2144.66-2146.78] 算是政策支持的险
[2146.78-2148.38] 就是你的房屋如果有贷款
[2148.38-2150.18] 银行一定会叫你去保住贷款
[2150.18-2151.82] 不然他不肯贷款
[2151.82-2153.62] 所以他有一些政策加持的
[2153.62-2155.20] 效果
[2155.20-2157.88] 有政策加持又有不错的水平
[2157.88-2159.02] 所以这个一向是
[2159.02-2160.44] 并加必争之地
[2160.44-2162.70] 那我们在这个业绩
[2162.70-2165.98] 我们在这个险种做的还蛮不错的
[2165.98-2167.58] 所以这个也是我们公司很大的
[2167.58-2169.04] 一个获利的一个支撑
[2169.04-2171.22] 车险当然也是
[2171.22-2172.44] 车险有这么大的一个
[2172.44-2175.46] 有这么大的一个营收的 share
[2175.46-2176.40] 他就必须
[2176.40-2178.12] 他在营收比例上也会
[2178.12-2180.98] 那商伙就是
[2180.98-2183.44] 商伙跟责任
[2183.44-2185.18] 这个就要有点看天
[2185.18-2188.68] 因为这个没有大树寡宅
[2188.68-2192.84] 这个种一条就很大
[2192.84-2195.06] 种一条就很大
[2195.06-2195.84] 就看你再
[2195.84-2198.20] 你当初留多少自己留着
[2198.20-2201.68] 所以这两个险种要比
[2201.68-2203.64] 跟那个美高在内
[2203.64-2205.40] 这两个险种就是
[2205.40-2207.44] 第一个你损房要做得好
[2207.44-2213.44] 就是对于一些潜在的高风险的
[2213.44-2215.20] 你会有什么样的按键
[2215.20-2218.20] 你有没有区别的能力
[2218.20-2219.60] 你是不是为了做业绩
[2219.60-2224.20] 而去承接了一些比较高风险
[2224.20-2226.20] 这个商王
[2226.20-2228.84] 那这几年这个显得最大的
[2228.84-2230.20] 就是台积电
[2230.20-2231.20] 每次台积电
[2231.20-2232.20] 只要一地震台积电就停机
[2232.20-2233.20] 台积电一停机
[2233.20-2235.20] 那所有的产险公司头就大了
[2235.20-2237.20] 他不见得有损失
[2237.20-2238.20] 可是他盈运中断
[2238.20-2240.20] 那盈运中断我们要赔
[2240.20-2241.20] 台积电那么大的公司
[2241.20-2242.20] 盈运中断
[2242.20-2243.28] 对每家公司都是伤心动力
[2243.28-2247.28] 好处我们家没有台积电
[2247.28-2252.28] 所以每次
[2252.28-2254.28] 大家听听
[2254.28-2256.28] 每次那个电视出新闻说出了什么案件
[2256.28-2257.28] 我就回去问我们旅朋友
[2257.28-2258.28] 这家有没有
[2258.28-2259.28] 没有我们
[2259.28-2263.28] 我说我应该说你们损房做得好
[2263.28-2264.28] 还是市占率太低
[2264.28-2266.28] 每一家都没有我们
[2266.28-2272.28] 不过的确我们损房是做得不错
[2272.28-2273.28] 我已经说了
[2273.28-2277.28] 从同业比较的综合率就看得出来
[2277.28-2279.28] 我们家不是第一就是第二
[2279.28-2280.28] 对不是第一
[2280.28-2282.28] 我们过去是靠综合率在赚钱
[2282.28-2283.28] 这个我也讲过
[2283.28-2285.28] 我们过去的盈益成长很低
[2285.28-2289.28] 所以我们表现比较保守一点
[2289.28-2290.28] 这两年不一样
[2290.28-2292.28] 我们损率还是控管得不错
[2292.28-2294.28] 我们业绩就起来了
[2294.28-2296.28] 就是为什么我们盈余会上到另外一个台阶
[2296.28-2298.28] 就是盈余起来了
[2298.28-2299.28] 损房还做得不错
[2299.28-2302.28] 我们并没有因为为追求业绩成长而来控制
[2302.28-2305.28] 而来放弃我们的损房
[2305.28-2309.28] 这等下我们还会用水平来跟他们报告一下
[2309.28-2315.28] 所以整个这两年就是商业险总成长比较大
[2315.28-2317.28] 那车险我们还
[2317.28-2318.28] 车险一直都是
[2318.28-2319.28] 个人险
[2319.28-2321.28] 这个人险就是住户险跟车险
[2321.28-2323.28] 一直都是我们公司获利的大本营
[2323.28-2326.28] 这两个险才有大数法
[2326.28-2329.28] 个人险才有大数法
[2329.28-2331.28] 商业险总要看你的负借率
[2331.28-2334.28] 要看你债保分摊的比率
[2334.28-2338.28] 跟你在损房控制的风险
[2338.28-2340.28] 那车险我刚刚有讲
[2340.28-2342.28] 车险这两年费率也有在上调
[2342.28-2346.28] 第一个就是很明显就是我们油电分离政策
[2346.28-2352.28] 过去我们都用油车来弥补电车的亏损
[2352.28-2354.28] 因为电车都很贵
[2354.28-2355.28] 尤其特斯拉
[2355.28-2359.28] 特斯拉就是你保鲜档撞坏整台车都要换
[2359.28-2361.28] 这个东西是不容易的
[2361.28-2363.28] 现在就是有分开了
[2363.28-2368.28] 我去问他们好像电车的保鲜档会比油车贵个十八左右
[2368.28-2370.28] 我问过他这样可以cover吗
[2370.28-2371.28] 其实是不够的
[2371.28-2374.28] 可是你又不能拉得太开
[2374.28-2379.28] 所以这个车险的准率的确是有在上调
[2379.28-2383.28] 这也是陈显公司获利能够稳健增加的一个动作
[2383.28-2387.28] 商业险总应该是说
[2387.28-2388.28] 大家可以回想一下
[2388.28-2390.28] 除了去年有台风跟地震
[2390.28-2391.28] 在我们以前过五六年
[2391.28-2393.28] 尤其是车运的那一类完全没有台风
[2393.28-2396.28] 所以陈显业其实靠天吃饭
[2396.28-2399.28] 那几年是真的还蛮不错的
[2399.28-2401.28] 前面几年因为汇率没有涨
[2401.28-2404.28] 没有台风就大概就是转铁水了
[2404.28-2410.28] 这两年尤其是二三年
[2410.28-2412.28] 汇率在涨
[2412.28-2414.28] 然后又无痛无病
[2414.28-2415.28] 也没有风灾
[2415.28-2419.28] 所以那一年大家的保险表现都还好
[2419.28-2420.28] 去年虽然有一个
[2420.28-2421.28] 很大的影响
[2421.28-2423.28] 可是还没有伤心动静
[2423.28-2426.28] 我们的玻璃保险优惠值衰减
[2426.28-2429.28] 减了大概10%左右
[2429.28-2432.28] 没有到什么玻璃飙涨
[2432.28-2436.28] 天灾是可以承受的
[2436.28-2439.28] 去年有三个台风算是频率比较高
[2439.28-2440.28] 还有个地震
[2440.28-2442.28] 地震其实影响蛮大的
[2442.28-2444.28] 地震其实影响不大
[2444.28-2447.28] 影响大不是住户
[2447.28-2449.28] 住户影响不大
[2449.28-2452.28] 住户保额最多150万
[2452.28-2455.28] 你全倒我只赔你150万
[2455.28-2456.28] 住户影响比较大
[2456.28-2458.28] 就我刚讲的商业险争
[2458.28-2461.28] 厂房包括BI
[2461.28-2465.28] 或者一个地震会让你说
[2465.28-2470.28] 金银厂停摆
[2470.28-2474.28] 这是我们公司业务线中的一个分配
[2474.28-2478.28] 那我们公司今年
[2478.28-2480.28] 我们会把重心放在
[2480.28-2484.28] 我们个人型业务的一个增长
[2484.28-2486.28] 包括车险
[2486.28-2487.28] 住户比较难
[2487.28-2489.28] 住户已经就是已经饱和了
[2489.28-2492.28] 而且我们面临同业很大的竞争
[2492.28-2494.28] 那我们可能会把稍微放在车险上
[2494.28-2497.28] 我会推很多的一个政策来
[2497.28-2501.28] 或是促销方式来让车险再增长一下
[2501.28-2504.28] 因为商业险种这个东西
[2504.28-2506.28] 其实比较靠市场示范
[2506.28-2507.28] 我们最近很容易会
[2507.28-2509.28] 我们的货币的增长
[2509.28-2512.28] 我也希望在车险跟个人险种在
[2512.28-2513.28] 因为这两年
[2513.28-2515.28] 我们的商业险种的比重增加了
[2515.28-2517.28] 以前我们公司的商业险种个人险种
[2517.28-2518.28] 大概28
[2518.28-2522.28] 到去年已经变成6535
[2522.28-2523.28] 对
[2523.28-2524.28] 这比率没有什么不好
[2524.28-2526.28] 这个看每家公司的险种
[2526.28-2529.28] 那我们觉得商业险种在这两个成长比较高
[2529.28-2532.28] 我们希望个人险种也有同样的增长
[2532.28-2535.28] 来让我们公司的两只脚能够站得更稳
[2535.28-2536.28] 好
[2536.28-2538.28] 这是业务险种
[2538.28-2539.28] 这个重流率
[2539.28-2541.28] 这个是流重合率
[2541.28-2543.28] 这个我想很多
[2543.28-2544.28] 你来听过的
[2544.28-2546.28] 我跟各位介绍一下
[2546.28-2551.28] 这个就是我们的保险业务获利率
[2551.28-2552.28] 举例来讲
[2552.28-2556.28] 如果我一张保单有一百块的保费
[2556.28-2561.28] 那有53块是用来赔的
[2561.28-2565.28] 那有35块是我的维持营运的HairCount的这些费用
[2565.28-2568.28] 这两个加起来有89块
[2568.28-2571.28] 所以这张保单我就可以赚11块
[2571.28-2572.28] 简单概念
[2572.28-2575.28] 滞留综合率就是我保险业务的获利率
[2575.28-2578.28] 我要么就拿来赔款
[2578.28-2580.28] 要么就来养我公司的HairCount
[2580.28-2582.28] 还有所有营运的这个费用
[2582.28-2589.28] 然后我跟同业比较不方便
[2589.28-2593.28] 我们公司在过去几年的滞留综合率
[2593.28-2594.28] 在同业里面不是属于
[2594.28-2598.28] 就是我们公司的保险业务的获利率
[2598.28-2599.28] 一向是在名列前面
[2599.28-2601.28] 所以我刚刚为什么跟各位讲
[2601.28-2605.28] 说我们在风险控管上有我们组织到的想法
[2605.28-2610.28] 那这个超过100就不赚钱
[2610.28-2611.28] 为什么会超过100
[2611.28-2613.28] 就防疫险
[2613.28-2615.28] 防疫险那一年就超过100
[2615.28-2618.28] 防疫险之后我们马上降回来
[2618.28-2621.28] 不仅降回来还比之前还要更低
[2621.28-2624.28] 86 80到这边
[2624.28-2627.28] 这每一趴的降低都不容易
[2627.28-2630.28] 你损失要控管
[2630.28-2632.28] 你费用也要管控
[2632.28-2634.28] 不然就这个氛围
[2634.28-2635.28] 所以到这边
[2635.28-2636.28] 其实我们你看一下
[2636.28-2637.28] 如果我们比方这个
[2637.28-2638.28] 它是一条下降的趋势
[2638.28-2640.28] 就是我们公司的获利率其实一直在提升
[2640.28-2642.28] 因为我们综合率一直在往上走
[2642.28-2644.28] 这中间业绩还在成长
[2644.28-2645.28] 业绩没有不成长
[2645.28-2647.28] 业绩还在成长
[2647.28-2649.28] 所以我们的获利从哪里出来
[2649.28-2651.28] 业绩成长
[2651.28-2654.28] 那个费用跟损失能够控管出来
[2654.28-2656.28] 保险业务利益就会出来
[2656.28-2658.28] 去年就没办法
[2658.28-2660.28] 去年就是真的有业绩
[2660.28-2662.28] 可是也来到
[2662.28-2664.28] 也只不过是回到
[2664.28-2666.28] 大前年的水准
[2666.28-2668.28] 我并没有跳到90
[2668.28-2670.28] 没有
[2670.28-2672.28] 我们这边还是有把持住
[2672.28-2674.28] 所以损率你看
[2674.28-2676.28] 这边损率也从50%跳到53%
[2676.28-2678.28] 我损率增加了3%
[2678.28-2680.28] 可是我费用率还在往下走
[2680.28-2682.28] 有公司在管控费用能力
[2682.28-2683.28] 还是在增强
[2683.28-2685.28] 所以我的损率虽然是上扬
[2685.28-2687.28] 可是它并没有大幅度的
[2687.28-2689.28] 崩毁或是失控
[2689.28-2691.28] 所以这个
[2691.28-2693.28] 那今年
[2693.28-2694.28] 这我不敢讲
[2694.28-2696.28] 因为还是要看到很多的
[2696.28-2697.28] 因素影响
[2697.28-2699.28] 可是这个趋势如果持续下去
[2699.28-2700.28] 的话
[2700.28-2702.28] 财产的保险业务的获利能力
[2702.28-2704.28] 应该还能够维持住
[2704.28-2705.28] 这是一个
[2705.28-2707.28] 我这边放了大概六年的一个趋势
[2707.28-2709.28] 让大家做一个参考
[2709.28-2711.28] 它基本上是一个当权
[2711.28-2713.28] 可能某一些年度会受到一些
[2713.28-2715.28] 个别因素的影响
[2715.28-2719.28] 可是它的均线大概会是一个
[2719.28-2721.28] 这个是黄奕翔刚刚报告过的
[2721.28-2724.28] 本来损率也是可以控制到50%
[2724.28-2725.28] 到今年又跳上来
[2725.28-2727.28] 费用率倒是我们一直在共管
[2727.28-2729.28] 其实大家可以回到我们随便看
[2729.28-2730.28] 我们业绩虽然增长
[2730.28-2731.28] 但我们费用就控制在那个地方
[2731.28-2733.28] 包括我们的佣金支出
[2733.28-2735.28] 包括我们的营销管理的营运费用
[2735.28-2737.28] 都还能够控制
[2737.28-2739.28] 这个就是我们公司本业的
[2739.28-2742.28] 获利率的一个情况的展现
[2743.28-2745.28] 好
[2745.28-2746.28] 好
[2746.28-2747.28] 那我们来看一下
[2747.28-2749.28] 我的投资资产配置
[2749.28-2750.28] 你看看这个
[2750.28-2752.28] 这两年有蛮大的一个变化
[2752.28-2754.28] 大家可以看到
[2756.28-2759.28] 我的现金幣部位一向比较高
[2759.28-2761.28] 这是蚕钱公司的特色
[2762.28-2765.28] 因为我来自于强制减
[2765.28-2768.28] 汽车强制减的收益
[2768.28-2770.28] 我被规定只能放在银行中门
[2770.28-2772.28] 因为那个是专用
[2772.28-2773.28] 我不能动用
[2773.28-2776.28] 我只能放在银行中门赚利息
[2776.28-2779.28] 那这个每一家公司的现金比重都有
[2779.28-2780.28] 这个每一家公司的现金比重都有
[2780.28-2781.28] 这样
[2781.28-2783.28] 这种派图你在受益公司看不到
[2783.28-2786.28] 受益公司的现金就是罪恶
[2786.28-2788.28] 因为它有4%的保贷益利率要背
[2788.28-2790.28] 所以它不能不能放在现金放太重的比重
[2790.28-2792.28] 可是这个因为法规的象征
[2792.28-2794.28] 所以我们在现金比重会比较高一点点
[2794.28-2795.28] 好
[2795.28-2796.28] 你看这两年最大的差别是什么
[2796.28-2798.28] 我在公司在部位不断的扩大
[2798.28-2800.28] 从4.5%到9.7%
[2800.28-2802.28] 到去年的13.97%
[2802.28-2803.28] 7%
[2803.28-2804.28] 好
[2804.28-2806.28] 那这些在买什么
[2806.28-2807.28] 我很简单跟大家讲
[2807.28-2810.28] 因为这两年受险发了一大堆
[2810.28-2812.28] 可累积的次数美公司债
[2812.28-2815.28] 那个利率有3.8到3.75
[2815.28-2817.28] 我们认为以台币的环境来讲
[2817.28-2820.28] 要找到这样的利率非常非常的难得
[2820.28-2823.28] 所以我们公司花了不少不小的部位
[2823.28-2824.28] 在建置这些
[2824.28-2826.28] 这些受险公司的
[2826.28-2828.28] 这个
[2828.28-2830.28] 次数美债
[2830.28-2831.28] 你可以考虑
[2831.28-2832.28] 如果你去买一个
[2832.28-2834.28] 你去买一个美元
[2834.28-2836.28] 美元债你可以买5%多6%多
[2836.28-2837.28] 这没问题
[2837.28-2838.28] 可以扣到避险成本
[2838.28-2840.28] 它就不如这个债
[2840.28-2841.28] 这是台币债
[2841.28-2843.28] 它没有避险的问题
[2843.28-2846.28] 它没有避险的问题
[2846.28-2850.28] 那现在银行存款大额利率在1.6 1.7
[2850.28-2851.28] 所以我把
[2851.28-2853.28] 如果我可以把存的现
[2853.28-2857.28] 把这些现金往下搬到这个地方
[2857.28-2860.28] 我可以产生接近2%的
[2860.28-2861.28] Square
[2861.28-2867.28] 那这个部位应该买
[2867.28-2868.28] 相信我也不知道
[2868.28-2869.28] 反正我们买了不少
[2869.28-2872.28] 大概超过10亿
[2872.28-2873.28] 那比起现金
[2873.28-2875.28] 大概每年可以产生近利息收入
[2875.28-2877.28] 大概增加两千多万
[2877.28-2878.28] 看我买的部位
[2878.28-2879.28] 这个我在这边
[2879.28-2881.28] 所以你看到
[2881.28-2882.28] 我来自于
[2882.28-2885.28] 蓝色的部分就是固定收益的部分
[2885.28-2886.28] 你会发现
[2886.28-2888.28] 我固定收益的比重越来越大
[2888.28-2890.28] 还是要回到我之前讲的
[2890.28-2892.28] 我希望我们公司的投资收益
[2892.28-2893.28] 来自于经常性的收益比重
[2893.28-2894.28] 能够越来越大
[2894.28-2898.28] 那这从资产配置上就可以看出我的想法
[2898.28-2901.28] 那过去几年我没有很大认识
[2901.28-2903.28] 因为在台币找不到比较适合的商品
[2903.28-2907.28] 所以前面几年我反而是以投资海外为
[2907.28-2910.28] 可是到这两年我就不要潜着留在台湾
[2910.28-2914.28] 那我们公司买这些债也不会有什么压力
[2914.28-2915.28] 为什么
[2915.28-2916.28] 因为我们公司就
[2916.28-2918.28] 我刚刚讲我们是Standalone的
[2918.28-2920.28] 我们跟各大金控没有
[2920.28-2923.28] 所以我买他们债买了新安理得
[2923.28-2925.28] 没有什么杂币系户籍
[2925.28-2926.28] 我什么那些都没有
[2926.28-2928.28] 他们对我们有没有控制能力
[2928.28-2929.28] 我们对他们有没有
[2929.28-2933.28] 所以买这个债倒是蛮适合我们去投资的
[2933.28-2937.28] 所以这个最大比例就是公司债的部分
[2937.28-2938.28] 那金融债券
[2938.28-2940.28] 这个这些收益就比较低了
[2940.28-2942.28] 政府公债大概也是1%多吧
[2942.28-2947.28] 10年是5年期的政府公债也是1%多而已
[2947.28-2949.28] 金融债券比较好一点2%多
[2949.28-2950.28] 那这个就是我现在的想法
[2950.28-2952.28] 这个就可以接近4%
[2952.28-2955.28] 主要是放在考虑这个东西
[2955.28-2960.28] 那这个这些这些
[2960.28-2963.28] 受检在一般大概10到15年
[2963.28-2965.28] 我到10到15年之间
[2965.28-2968.28] 这样的一个利息收入被我拉扯
[2968.28-2971.28] 大概是这样的概念
[2971.28-2972.28] 那我不是全部投资回购
[2972.28-2973.28] 大家放心我还是有分散
[2973.28-2975.28] 因为每一家受检公司都出来募集
[2975.28-2978.28] 所以我还是有分散
[2978.28-2980.28] 好像每一家受检都出来了
[2980.28-2986.28] 国泰 富邦 中售 台售 南山 新售都出来了
[2986.28-2988.28] 每一家都出来了
[2988.28-2990.28] 所以我们还是有一些分散的
[2990.28-2992.28] 因为我们对我们公司在内规上
[2992.28-2995.28] 对集团的受限总有控制
[2995.28-2997.28] 比如说我买国泰集团
[2997.28-3000.28] 股票交债券不能超过我
[3000.28-3001.28] 可运用直接几%
[3001.28-3002.28] 这个我们有规定
[3002.28-3003.28] 这个我们有规定
[3003.28-3006.28] 我们还是希望那个风险能够比较
[3006.28-3007.28] 较强一点
[3007.28-3008.28] 这是我们在口资运用的一个计算
[3008.28-3011.28] 这是我们在口资运用的一个配置
[3011.28-3012.28] 好
[3012.28-3014.28] 那我们来看看我们的自由资本比率
[3014.28-3016.28] 大家可以看到我们的净值
[3016.28-3019.28] 从19年的89亿
[3019.28-3022.28] 一路算升到去年的120而已
[3022.28-3024.28] 就过去这五年六年
[3024.28-3026.28] 我们净值就增加20几
[3026.28-3028.28] 有一半是我们自己获利
[3028.28-3029.28] 我们自己增进有赚钱增加
[3029.28-3031.28] 另外一半是靠市场
[3031.28-3032.28] 另外一半是我们的
[3032.28-3035.28] 我们的金融资产受惠
[3035.28-3037.28] 整体来讲的评价利益也有增加
