[0.00-2.60] 各位法人及媒體朋友大家午安
[1899.94-1902.94] 再來是對於台幣升值
[1902.94-1906.94] 我們銀行在財務的上面有什麼樣影響
[1906.94-1909.94] 在風險管理上面的策略為何呢
[1910.94-1915.94] 這個問題再次請銀行成交部長
[1915.94-1917.94] 盡力來回答
[1917.94-1920.94] 在財務影響方面
[1920.94-1926.94] 銀行子公司OBU以及海外方行的獲利暫時約佔近地三成
[1926.94-1929.94] 但是因為資產負債配置得宜
[1929.94-1933.94] 台幣升值對於整體的水域影響是有限的
[1933.94-1936.94] 根據匯率敏感性分析
[1936.94-1938.94] 台幣如果升值10%
[1938.94-1941.94] 預估對全年獲利的影響數僅約3%
[1941.94-1943.94] 上述可控
[1943.94-1947.94] 台幣雖然從今年4月起大幅分值
[1947.94-1954.94] 但今年第一第二季的兌換利益分別為新台幣7.4億及7.3億
[1954.94-1958.94] 顯示匯率波動對短期貨率並沒有明顯影響
[1958.94-1964.94] 今年上半年外幣部位月平均的稅後淨利約每斤2500萬元
[1964.94-1969.94] 其中美元部位月平均稅後淨利約1500萬美元
[1969.94-1971.94] 佔比是六成
[1971.94-1978.94] 評估新台幣對美元升值1元對單月獲利影響數約新台幣2500萬元
[1978.94-1982.94] 整年度影響數約僅新台幣3億元
[1982.94-1987.94] 因此新台幣升值對銀行子公司的財務衝擊不大
[1987.94-1990.94] 在風險管理策略方面
[1990.94-1994.94] 因為資產負債配置隱大均可自然避險
[1994.94-1997.94] 外幣資產主要由外幣負債支應
[1997.94-1999.94] 並透過FXDOT操作
[1999.94-2002.94] 確保資產負債無錯配風險
[2002.94-2005.94] 外幣資產延伸近利息收入
[2005.94-2007.94] 均才每週拋股方式處理
[2007.94-2010.94] 有效降低匯率大幅波動的風險
[2010.94-2013.94] 最後在資產品質方面
[2013.94-2019.94] 銀行子公司第二季底預期放財的金額大約是新台幣59億元
[2019.94-2021.94] 預放比0.26%
[2021.94-2025.94] 相較第一季底減少新台幣4.47億元
[2025.94-2028.94] 預放比下降0.01%
[2028.94-2031.94] 資產品質持續在改善
[2031.94-2035.94] 銀行子公司將持續關注新台幣對美元匯率增值
[2035.94-2038.94] 以及國際經濟局勢的變化
[2038.94-2041.94] 並且採取審慎而且具有財性的因應策略
[2041.94-2044.94] 以維持資產品質的穩健
[2044.94-2045.94] 謝謝
[2045.94-2049.94] 那再來就是也反問到說我們在
[2049.94-2052.94] 在券部位的一些規模跟這個Duration
[2052.94-2054.94] 還有一些投資策略
[2054.94-2056.94] 可不可以進一步分享
[2056.94-2060.94] 好的這個提問我就請了銀行管理處
[2060.94-2062.94] 趙美麗處長來回答
[2062.94-2064.94] 好的
[2064.94-2066.94] 在在券投資的一個規模部分
[2066.94-2068.94] 截至今年的第二季指
[2068.94-2072.94] 本行的在券部位占總資產比重
[2072.94-2074.94] 也為11%
[2074.94-2078.94] 是維持在一個市中的一個配置水準
[2078.94-2082.94] 那在外幣的一個存續期間的一個配置方面
[2082.94-2084.94] 本行投資外幣有在增建的一個部位
[2084.94-2088.94] 占整個在券部位的比重大約為75%
[2088.94-2092.94] 那整體的一個存續期間的一個配置比重上
[2092.94-2097.94] 在五年以內的轉中期部位占77%
[2097.94-2099.94] 另外在投資策略上
[2099.94-2104.94] 則是在考量當前的一個貨幣偵測環境變化多端
[2104.94-2110.94] 所以本行採取是一個緊正靈活的一個在券操作方式
[2110.94-2113.94] 如在美債方面
[2113.94-2118.94] 預期被的今年五年的暫停不度維持在兩碼
[2118.94-2123.94] 但大而美的一個稅改法案將增加美國財政次日的一個壓力
[2123.94-2126.94] 那長期間的一個美債殖利率
[2126.94-2129.94] 預期是在一個高檔盛大的一個情況之下
[2129.94-2135.94] 所以我們採的操作策略則是縮小一個存續期間
[2135.94-2140.94] 更緊正的進程以波段性的一個操作來賺取資本利得
[2140.94-2143.94] 並適度的一個搭配不動利率在券
[2143.94-2146.94] 來經過收益與通通的一個風險
[2146.94-2148.94] 那在財債方面呢
[2148.94-2152.94] 則考量台幣資金目前上是充裕
[2152.94-2157.94] 及第三季的一個台灣公債發行量是有限的一個情形之下
[2157.94-2163.94] 導致十年期的一個財債的殖利率以下跌至1.4%以下
[2163.94-2169.94] 那又建議台灣的債券均以固定利率的方式來發行
[2169.94-2173.94] 為了有效控管存續期間的一個利率風險
[2173.94-2178.94] 原則上我們在投資的一個期限已不超過五年
[2178.94-2182.94] 那避免過度的一個暴露於長期利率波動的風險
[2182.94-2187.94] 那本行將持續來優化投債券投資組合的一個配置
[2187.94-2189.94] 那追求一個穩定的收入
[2189.94-2194.94] 以並嚴格控管利率及信用風險來確保投資的效益
[2194.94-2196.94] 與符合股東的一個期待
[2196.94-2197.94] 以上
[2198.94-2199.94] 好
[2199.94-2204.94] 那再來是因為很多投資法人跟媒體朋友都問到
[2204.94-2209.94] 像比如說工商也問到有關我們對於房貸土建的一些看法
[2209.94-2214.94] 那我想這邊綜合有很多人在問到消經泡粉成長率的展望
[2214.94-2217.94] 跟房貸業務的一些展望
[2217.94-2220.94] 展望特別是在風險控管的策略是什麼
[2221.94-2227.94] 好的關於這個提問我請銀行成建中副總來回答
[2228.94-2235.94] 為了因應今年主管機關持續實施不動產放款的管控措施
[2235.94-2240.94] 本行持續降低不動產貸款的集中度
[2240.94-2247.94] 在消經策略中心是轉向個人的理財型貸款跟小型的信貸
[2248.94-2252.94] 在業務推展與風險控管並重的原則下
[2252.94-2255.94] 強化借款人的環環能力審查
[2255.94-2258.94] 來因應全球經濟的不確定性
[2259.94-2262.94] 在房貸業務的績效部分
[2262.94-2267.94] 第二季房貸的餘額是4235億元
[2267.94-2272.94] 比較去年同期是成長了218億元
[2272.94-2278.94] 小額信貸的餘額是114億元成長了30億元
[2280.94-2284.94] 預期今年的房貸動盤是偏豪爽
[2284.94-2290.94] 小額信貸則因為市場的資金需求有望成長
[2291.94-2295.94] 針對銀行法72條之二的規定
[2295.94-2300.94] 本行採全行業務統籌規劃來控管
[2300.94-2305.94] 房貸設備優先授予不自用住宅購物貸款
[2305.94-2311.94] 確保手購客戶的需求並與控管線額內乘勝續作
[2311.94-2315.94] 參與同業的行情制定我們的核貸政策
[2315.94-2320.94] 六都最高的核貸成數是八成與同業相當
[2320.94-2325.94] 由於本行的房貸是以手購客戶為主
[2325.94-2329.94] 受到信用管制措施影響的程度較低
[2329.94-2334.94] 近期的房貸預防比率是維持在穩定的低位水準
[2334.94-2340.94] 面對美國的關稅政策可能會影響到台灣的就業市場
[2340.94-2343.94] 進而充其借款人償付能力的風險
[2343.94-2348.94] 所以本行建立了完善的風險管控防護機制
[2348.94-2354.94] 所有的房貸案件都依照受信的五P原則來配合
[2354.94-2357.94] 觀察近三個月的數據
[2357.94-2362.94] 本行的購屋房貸預催金額並沒有明顯增加
[2362.94-2367.94] 顯示本行的封控措施發揮良好的效果
[2367.94-2371.94] 現代產品則會嚴格控管振興的流向
[2371.94-2377.94] 避免用於擴充不到貸來防範借款人的信用過度存檔
[2378.94-2382.94] 好 再來是有反問到說我們今年在存款的
[2382.94-2386.94] 就比如說像這個存款的成長策略
[2386.94-2393.94] 跟未來如何吸收一些低利的一些資金有什麼樣的想法
[2393.94-2398.94] 這個提問仍然請銀行建中副總來回答
[2398.94-2402.94] 是 那在這個存款資產率表現部分
[2402.94-2408.94] 截至今年的4月底此 本行整理了存款餘額約為
[2408.94-2414.94] 新台幣3.03兆元 較去年同期成長了1%
[2414.94-2416.94] 維持穩定的水準
[2416.94-2422.94] 外匯存款則和新台幣1.21兆元成長1.7%
[2422.94-2426.94] 為了維持存放力差
[2426.94-2430.94] 本行會依照資金的去化管道收益情形
[2430.94-2433.94] 機動調整我們的存款策略
[2433.94-2437.94] 存款的水位將維持穩定的成長
[2437.94-2441.94] 存款業務的策略重點將側重在三個面向
[2441.94-2444.94] 第一個就是自然能存款
[2444.94-2447.94] 提升新轉大戶的產品競爭力
[2447.94-2450.94] 拓展貨客通路
[2450.94-2452.94] 第二個是中小企業存款
[2452.94-2458.94] 透過本行的供應鏈融資平台及收藏業務來推廣
[2458.94-2461.94] 增滿開戶及經營網台
[2461.94-2467.94] 全數的自然人及中小企業存款皆屬於低利存款
[2467.94-2470.94] 它的資金成本相對是可控的
[2470.94-2477.94] 第三是我們會視流動性的需求來增滿不同級別的存款
[2477.94-2480.94] 來深化本行TMU的業務經營
[2480.94-2483.94] 再來是法人有問到
[2483.94-2487.94] 法人有問到像比如說統一、凱基跟UBS證券
[2487.94-2491.94] 都有問到就是有關我們對於NIM的現況的表現
[2491.94-2494.94] 跟未來的策略、跟優化策略
[2494.94-2499.94] 還有這個在如果降息對我們NIM的一些影響
[2499.94-2506.94] 好的這個提問我請銀行會計處趙美麗處長來回答
[2506.94-2512.94] 好的銀行今年上半年的平均NIM為0.95億
[2512.94-2517.94] 以去年同期來比較是下滑了0.03億的百分點
[2517.94-2522.94] 主要人際數字為美元的淨存比重較高
[2522.94-2524.94] 但是在美元的一個方塊利率
[2524.94-2528.94] 已經隨著市場的一個指標利率的變動而下滑
[2528.94-2533.94] 所以在美元的圖況利差帶來真是不容易的
[2533.94-2535.94] 導致於NIM的一個下滑
[2535.94-2538.94] 進而影響本行NIM的一個成績表現
[2539.94-2543.94] 那我們將從三大面向著手去改善NIM的一個表現
[2543.94-2547.94] 首先持續優化換款結構
[2547.94-2554.94] 擴大具有較佳利潤的中小企業和個人信賴業務
[2554.94-2556.94] 來提升存放利差
[2556.94-2561.94] 其次隨著都應驗的一個轉移趨勢
[2561.94-2564.94] 積極掌握東京海外市場上機
[2564.94-2567.94] 拓展高利率業務
[2567.94-2570.94] 第三在債券投資業務方面
[2570.94-2572.94] 將自己加碼固定債券
[2572.94-2575.94] 同時搭配浮動利率的債券
[2575.94-2578.94] 逐步提高海外幣投資組合的收益率
[2578.94-2581.94] 並來收取穩定的利息收入
[2581.94-2586.94] 關於NIM與央行降息對NIM的量化影響
[2586.94-2589.94] 將是實際降息的一個幅度
[2589.94-2591.94] 實際及市場的一個環境而進
[2591.94-2595.94] 我們將密切的注意利率變化的一個趨勢
[2595.94-2599.94] 事實的調整資產負債配置的一個策略
[2599.94-2601.94] 地球在低利波動的環境中
[2601.94-2604.94] 維持穩定獲利的一個能力
[2604.94-2605.94] 以上
[2606.94-2608.94] 好 那再來是有關手續費收入
[2608.94-2610.94] 現在法人有問到
[2610.94-2615.94] 就是我們上半年所收的一些差異分析
[2615.94-2617.94] 跟未來的展望
[2617.94-2619.94] 關於這個提問
[2619.94-2623.94] 繼續請美麗處長來回答
[2623.94-2624.94] 好的
[2624.94-2625.94] 那今年呢
[2625.94-2627.94] 截至第二季的首收
[2627.94-2630.94] 進收益為42.1億元
[2630.94-2633.94] 那在去年同期是減少10.04億元
[2633.94-2636.94] 那主要是受到積極因素的影響
[2636.94-2639.94] 也就是去年一月份有收到一次性的一個
[2639.94-2643.94] 高鐵利息的補償金是10.4億元
[2643.94-2645.94] 但是今年就不再重現了
[2645.94-2648.94] 那如果是扣掉這個一次性的一個
[2648.94-2650.94] 首收的一個因素來看的話
[2650.94-2653.94] 那在各項的一個手續會業務中呢
[2653.94-2655.94] 在財務管理的一個表現上
[2655.94-2659.94] 手續費的進收益達22.31億元
[2659.94-2663.94] 那較去年同期是成長了3.43%
[2663.94-2668.94] 那雖然今年缺乏了一次性的一個大額的收入
[2668.94-2672.94] 但是我們當持續深化財務管理的一個服務
[2672.94-2675.94] 那又再加上我們在財務管理的一個
[2676.94-2681.94] 那因為這個今年的財管業務的成長相當不錯
[2681.94-2685.94] 那今天就反問到說我們對於財管業務的一些表現
[2685.94-2687.94] 能不能進一步分辨一下
[2687.94-2690.94] 那在這個財務管理的一個表現上
[2690.94-2693.94] 我們在財務管理的一個表現上
[2693.94-2696.94] 我們在財務管理的一個表現上
[2696.94-2699.94] 我們在財務管理的一個表現上
[2699.94-2702.94] 我們在財務管理的一個表現上
[2702.94-2706.94] 那今天就反問到說我們對於財管業務的一些表現
[2706.94-2708.94] 能不能進一步分析
[2708.94-2710.94] 特別是產品面的一些分析
[2710.94-2712.94] 還有就是高資產客戶群
[2712.94-2716.94] 跟亞資中心的這個目前的情況是如何
[2716.94-2721.94] 好的 高亞資中心就是當選大家非常關心的問題
[2721.94-2727.94] 那這個問題我就請銀行這個建中副總來回答
[2727.94-2729.94] 以我們的財報數據來看
[2729.94-2734.94] 那前幾月6月底財管業務的整體錨所聚會收入
[2734.94-2737.94] 是新台幣24.3億元
[2737.94-2740.94] 比去年同期成長4.6%
[2740.94-2742.94] 那產品結構方面
[2742.94-2747.94] 投資商品、保險商品及保管收入的占比
[2747.94-2753.94] 分別是47%、35%及18%
[2753.94-2758.94] 那面對地緣政治的風險及市場的確定性
[2758.94-2761.94] 本行是採取穩線保守的策略
[2761.94-2766.94] 現階客戶是要採取多重資產動態配置
[2766.94-2770.94] 其中是以保險商品的表現最為亮眼
[2770.94-2773.94] 收入是年增27%
[2773.94-2779.94] 貸罪業務受到美在利益攀升的影響是衰退約20%
[2779.94-2785.94] 但是隨著降息的預期升溫及台幣的強勢提供有力的進場點
[2785.94-2788.94] 評估將逐步回恩
[2788.94-2791.94] 那在高資產業務部分
[2791.94-2796.94] 截至6月底高資產的客戶數有1868戶
[2796.94-2802.94] 那管理的資產規模也高達新台幣2112億元
[2802.94-2807.94] 較去年同期分別成長20%及11%
[2807.94-2811.94] 在18家獲准辦理高資產業務營行中
[2811.94-2814.94] 排名第三名及第四名
[2814.94-2819.94] 那高資產客戶的理財商品滲透率接近五成
[2819.94-2822.94] 高資產客戶的發展策略
[2822.94-2826.94] 包括提供專體的客製化服務
[2826.94-2828.94] 啟動敏捷團隊服務
[2828.94-2833.94] 與財經媒體合作論壇來探討傳承的議題
[2833.94-2839.94] 並且我們規劃在下半年會開辦外地金融資產的扶建服務
[2839.94-2842.94] 那在資源營業部分
[2842.94-2849.94] 2025年全年的金管資產規模目標是新台幣67億元
[2849.94-2852.94] 那在6月底達到28.7億元
[2852.94-2854.94] 達成率是45%
[2854.94-2859.94] 那競收益目標是6463億元
[2859.94-2863.94] 那已經達成的是6172萬元
[2863.94-2865.94] 達成率是96%
[2865.94-2869.94] 那本行也會持續優化營運平台
[2869.94-2871.94] 那北中南區的據點
[2871.94-2876.94] 跟分行緊密合作來開發權力的特許
[2876.94-2879.94] 至於在亞資中心的參與部分
[2879.94-2883.94] 那本行是積極響應高屬亞資中心的政策
[2883.94-2888.94] 那4月28號向金管會申請五項專區示範業務
[2888.94-2890.94] 6月19號過渡
[2890.94-2892.94] 那7月1號呢
[2892.94-2895.94] 私營團隊已經進駐了港督分行
[2895.94-2898.94] 業務涵蓋特金信託
[2898.94-2901.94] 納實金保單融資等項目
[2901.94-2906.94] 並且已經評估篩選了30檔的基金商品
[2906.94-2908.94] 包括私募五權
[2908.94-2909.94] 私募債權
[2909.94-2910.94] 貨幣基金
[2910.94-2914.94] 外匯策略等多元化的商品
[2914.94-2918.94] 透過專區示範結合私營的模式
[2918.94-2923.94] 提供高淨值客戶更完整的資產解決方案
[2937.94-2941.94] 好的 這個提問我請美麗主張來回答
[2942.94-2943.94] 好的
[2943.94-2949.94] 銀行今年上半年的交易收益為96.72億元
[2949.94-2954.94] 那較去年同期來比較是減幅了14.32%
[2954.94-2956.94] 主要的原因有二
[2956.94-2961.94] 第一就是今年6月的一個台股加權處指數
[2961.94-2964.94] 較年初是下跌的779點
[2964.94-2967.94] 下跌的一個幅度為3.38%
[2967.94-2971.94] 那以去年同期的一個上漲5101點
[2971.94-2975.94] 上漲的一個幅度為28.45%
[2975.94-2979.94] 來做一個比較形成一個強烈的對比
[2979.94-2984.94] 導致於股票及基金在今年的操作方面是有比較縮減
[2984.94-2987.94] 那今年的操作地位9億元
[2987.94-2991.94] 那跟去年同期來比較是減少了13.08億元
[2991.94-2993.94] 那第二個因素
[2993.94-2997.94] 這個因素主要是帶來美台的一個利率縮減的影響
[2997.94-3000.94] 影響了Swap的一個操作收益
[3000.94-3003.94] 那上半年的Swap的一個操作收益呢
[3003.94-3006.94] 為61.09億元
[3006.94-3010.94] 那與去年同期來比較是減少了4.19億元
[3010.94-3014.94] 另外在面對美國新增的一個不確定性呢
[3014.94-3017.94] 本行有幾個方面來做一個因應
[3017.94-3019.94] 那在財務操作方面呢
[3019.94-3022.94] 我們在投資上市貴股票的部分呢
[3022.94-3026.94] 可以收取股息為投資的一個目的
[3026.94-3027.94] 也是一個主軸
[3027.94-3030.94] 那另外的交易為目的的一個部位呢
[3030.94-3033.94] 就會維持在一個較低的一個水準
[3033.94-3035.94] 來進行一個區間的操作
[3035.94-3037.94] 來賺取資本利得
[3037.94-3040.94] 避免市場的一個震盪來衝擊盈盈
[3040.94-3043.94] 那在再變的一個投資策略上
[3043.94-3046.94] 則考量未來每代將呈現一個
[3046.94-3049.94] 高檔震盪的一個趨勢
[3049.94-3051.94] 會採取更謹慎進行
[3051.94-3054.94] 固定利率再變的一個波段操作
[3054.94-3056.94] 來縮小持續期間
[3056.94-3059.94] 並搭配活動利率的再變
[3059.94-3062.94] 兼顧收益與通風的風險
[3062.94-3063.94] 另外呢
[3063.94-3066.94] 在長期的一個股權的投資策略上呢
[3066.94-3069.94] 因應川普的政策
[3069.94-3072.94] 政府對等關稅的一個政策
[3072.94-3074.94] 加劇市場波動
[3074.94-3077.94] 本行採取的策略是審慎的一個篩選
[3077.94-3080.94] 可以儲分標的的投資事業
[3080.94-3082.94] 那是產業的前景
[3082.94-3084.94] 市況及流動性
[3084.94-3087.94] 積極分批減少CLO的部位
[3087.94-3090.94] 將近市場波動對盈盈的影響
[3090.94-3093.94] 同時呢積極的會再評估新的投資案的
[3093.94-3096.94] 一個機會維持一個盈盈的動能
[3096.94-3098.94] 以上
[3098.94-3102.94] 那再來就是這邊有很多法人問到
[3102.94-3104.94] 像統一投顧人等
[3104.94-3105.94] 就問到有關
[3105.94-3108.94] 待帳費用跟提存的一些展望
[3108.94-3111.94] 特別是今年上半年的待帳費用
[3111.94-3114.94] 跟今年向新增
[3114.94-3116.94] 這樣債權的金額
[3116.94-3118.94] 跟後續有可能需要提存
[3118.94-3122.94] 或是預期回收的一些金額或是看法等等
[3123.94-3125.94] 好的 關於這個提問
[3125.94-3130.94] 我請銀行貸款處賴德仁處長來回答
[3185.94-3188.94] 那對於協商無效的案件
[3188.94-3191.94] 我們會依法進行數據程序保障債權
[3191.94-3194.94] 或者是啟動單高額的出售程序
[3194.94-3196.94] 那透過這個多重管道
[3196.94-3199.94] 來達到這個最大的這個回收債權
[3199.94-3202.94] 那預估今年下半年沒有其他可能需要
[3202.94-3204.94] 大額增加提存的放款案件
[3204.94-3207.94] 那本郎受信挺直趨於穩定
[3207.94-3210.94] 那今年下半年不良債權可能大額回收的
[3210.94-3212.94] 還有薪海幣2.16億元
[3212.94-3215.94] 那這將對本郎的過濾產生生命的貢獻
[3215.94-3218.94] 本郎藉由嚴謹的受信審核
[3218.94-3220.94] 那完善的單保險管理
[3220.94-3222.94] 跟積極的催收政策
[3222.94-3227.94] 那有效控制這個資產的緊急風險
[3227.94-3229.94] 那金身集成需求相對有限
[3229.94-3231.94] 那配合預期回收金額
[3231.94-3235.94] 將使這個信用成本維持在合理水準以上
[3238.94-3240.94] 好 今天我們的Q&A時間
[3240.94-3242.94] 就先進行到這邊
[3242.94-3243.94] 由於時間的關係
[3243.94-3245.94] 我們沒辦法一一回覆各位的問題
[3245.94-3247.94] 那各位如果還有疑問的話
[3247.94-3249.94] 可以聯繫我們的Ir團隊
[3249.94-3251.94] 我們有三人來協助各位
[3251.94-3253.94] 那非常感謝各位的參與
[3253.94-3255.94] 今天的法收會就到此結束
[3255.94-3257.94] 那網路的重播呢
[3257.94-3259.94] 會在會議結束後兩小時放到
[3259.94-3262.94] 本公司的網站的投資人服務的頁面
[3262.94-3263.94] 謝謝您的參加
[3263.94-3264.94] 我們下次再見
