[0.00-0.58] 嗯
[1619.76-1625.14] 这个网路的交换器啊或者是WiFi基地台啊
[1625.14-1631.54] 所有这些日常生活当中会看到的各式各样的3C产品
[1631.54-1634.34] 里面都会有一定都会有这些
[1634.34-1637.94] 高阶工程塑胶的构建在里面
[1637.94-1641.52] 就像我们来看这个右下角这个图好了
[1641.82-1645.66] 这个虽然我这边是注记叫做车用连接器
[1645.66-1650.78] 有各式各样各种颜色的各型各样的这个连接器
[1650.78-1652.82] 这个虽然说是车用连接器
[1652.82-1654.36] 可是大家去想象
[1654.36-1659.48] 大家的每天的3C产品里面也都有各式各样的连接器
[1659.48-1665.38] 有这个你要随时插拔的这个USB的这个
[1665.38-1666.90] 这个Connector
[1666.90-1671.78] 那也有这个电源供应器的连接器
[1671.82-1674.38] 你要充电的电源连接器
[1674.38-1680.52] 那这些为什么要用到高阶工程塑胶去做他们的这个机构件呢
[1680.52-1684.62] 都是因为这些高阶工程塑胶有抗冲击
[1684.62-1687.70] 比如说你的USB要Plug and play
[1687.70-1690.26] 随时要插拔那它就要抗冲击
[1690.26-1695.12] 那电源供应器它充电的过程它会产生高温
[1695.12-1700.50] 那一般的塑胶你用一般的塑胶去做这个机构件的话
[1700.50-1701.78] 高温情况之下
[1701.82-1703.62] 它可能就会脆化
[1703.62-1705.66] 会变形
[1705.66-1707.70] 这个都是不被隐形的
[1707.70-1712.58] 所以你就得必须一定要采用我们的从日本进口的这些
[1712.58-1714.36] 高阶工程塑胶
[1714.36-1718.46] 那这个是简单介绍我们高阶工程塑胶应用的范围
[1718.46-1720.76] 那
[1720.76-1725.38] 最近这几年有一些趋势让我们的高阶工程塑胶
[1725.38-1727.16] 销售越来越畅旺
[1727.16-1728.70] 就包括了
[1728.70-1731.78] 这个右上角这个图这上面的各式各样的
[1731.78-1733.58] 这个镜头模组
[1733.58-1736.38] 因为镜头模组里面会有非常多的
[1736.38-1737.16] 镜片
[1737.16-1738.70] 大家知道现在的
[1738.70-1740.22] 相机的像素
[1740.22-1742.28] 像素越来越高
[1742.28-1744.32] 那里面需要的那个lens
[1744.32-1746.88] 镜片数量也越来越多
[1746.88-1747.66] 那
[1747.66-1749.96] 所有的这些镜头模组场
[1749.96-1753.80] 都会跟我们华丽这边拿这个所谓的
[1753.80-1755.58] 光学级的塑料
[1755.58-1759.68] 去设出成型作为那个镜片
[1759.68-1760.70] 所以这个
[1760.70-1761.74] 大家知道现在这个镜头模组里面有很多的镜片
[1761.74-1763.78] 现在镜片的需求是越来越多
[1763.78-1765.32] 不管是手机
[1765.32-1767.62] 或者是各式各样的监视器
[1767.62-1768.66] 甚至
[1768.66-1771.22] 车子上面的各种
[1771.22-1772.24] 摄像头
[1772.24-1774.80] 车子上面各式各样的这个镜头
[1774.80-1776.58] 应用范围越来越多
[1776.58-1777.36] 所以这个
[1777.36-1779.14] 光学级的塑料
[1779.14-1780.94] 的需求也越来越大
[1780.94-1782.22] 那
[1782.22-1788.88] 再来就是所谓车子上面使用的零部件也会用到越来越多的
[1788.88-1791.18] 这个工程塑胶
[1791.18-1794.00] 因为它的轻量化跟高强度
[1794.00-1797.32] 可以取代以前的金属
[1797.32-1798.34] 作为
[1798.34-1801.42] 汽车零部件的这个取代品
[1801.42-1804.24] 所以有越来越多的汽车上面的零部件
[1804.24-1805.78] 尤其是电动车
[1805.78-1809.10] 你电动车上面会有非常非常多的
[1809.10-1810.12] 连接器
[1810.12-1811.92] 继电器
[1811.92-1813.70] 或者是配电盘
[1813.70-1819.08] 或者是马达活塞等等这些东西都要会用到我们高阶工程塑胶
[1819.08-1821.14] 那这边是一个
[1821.18-1822.72] 应用上的一些介绍
[1822.72-1823.74] 那我
[1823.74-1826.30] 顺便也再提到一些我们在这方面
[1826.30-1828.60] 高阶工程塑胶的一些供应商
[1828.60-1831.42] 就包括了我刚有大概提到的
[1831.42-1834.50] 日本的这个Mitsubishi chemical
[1834.50-1836.02] 山林化学
[1836.02-1839.10] 或者是Sumitomo chemical
[1839.10-1840.38] 驻有化学
[1840.38-1843.20] Asahi Kasei 蓄化层
[1843.20-1846.52] 然后也有公司叫做Turare
[1846.52-1847.80] Turare
[1847.80-1849.34] 或者是Torre
[1849.34-1850.62] Teijin
[1851.18-1854.00] 这些日本非常知名的大型
[1854.00-1856.04] 商社跟
[1856.04-1859.38] 工程塑胶的制造厂商
[1859.38-1861.16] 那这个
[1861.16-1863.72] 高阶工程塑胶我介绍到这里
[1863.72-1868.34] 然后呢紧接着就是我刚刚也有提到我会做介绍的PCB材料
[1868.34-1873.70] 这个占我们ICT产业里面25%营收比重的PCB产业
[1873.70-1878.32] 那PCB产业里面我们提供的材料其实也非常多
[1878.32-1880.36] 因为PCB制造过程中
[1880.36-1881.14] 会用到
[1881.14-1882.68] 很多的这个
[1882.68-1883.70] 胶膜
[1883.70-1885.50] 膜类的东西
[1885.50-1888.06] 跟一些
[1888.06-1890.10] 这个
[1890.10-1891.64] 防止它这个
[1891.64-1896.76] 多层板会互相连接在一起的一些比如说离形膜
[1896.76-1898.30] 等等这些东西
[1898.30-1901.36] 那这些很多东西我就不多做介绍
[1901.36-1902.38] 我就
[1902.38-1904.44] 重点提示两个产品
[1904.44-1906.74] 是我们两个主要的
[1906.74-1908.28] 主力产品
[1908.28-1909.82] 做介绍就好
[1909.82-1911.10] 第一个就是
[1911.14-1914.72] 所谓这个这边
[1914.72-1916.52] Pointer这边指到的
[1916.52-1918.56] 高解析度的干膜
[1918.56-1920.36] DI高解析度的干膜
[1920.36-1923.18] DI是Direct Imaging
[1923.18-1925.98] 这个是就是现在一般
[1925.98-1929.32] 大家如果有了解PCB产业的话就会知道
[1929.32-1933.16] 高阶的PCB制程都已经导入到
[1933.16-1938.02] 镭射直接成像的高解析度的曝光线制程
[1938.02-1940.58] 去做这个印刷变速板
[1940.58-1942.88] 电刷电路板上面的线路
[1942.88-1944.68] 那印刷电路板
[1944.68-1947.74] 上面的线路你要做到非常精细
[1947.74-1951.08] 又细线宽然后又精密的这个电路
[1951.08-1953.38] 你就非得一定要用到我们
[1953.38-1955.18] 华力这边提供
[1955.18-1957.48] 原厂来自于Asae Cassette
[1957.48-1959.26] 畜化层的这个
[1959.26-1961.82] 高解析度的干膜
[1961.82-1962.86] 那这个
[1962.86-1963.88] 这个
[1963.88-1966.94] 能提供到这个高解析度的干膜的
[1966.94-1969.76] 全世界的厂商其实非常的少
[1969.76-1972.58] 可以说是一个寡占市场
[1972.58-1976.42] 基本上就是我们华力这边独家带领的
[1976.42-1977.70] Asae Cassette
[1977.70-1980.76] 或者是日本有另外一家厂商
[1980.76-1982.56] 大概基本上就是
[1982.56-1985.64] 由这两家
[1985.64-1988.70] 干膜的高阶的制造厂商在工艺
[1988.70-1990.50] 那我们华力是
[1990.50-1994.34] 独家带领其中的一家Asae Cassette
[1994.34-1998.44] 那第二个重要的产品跟各位介绍的是所谓的高阶基板
[1998.44-1999.72] 高频基板
[1999.76-2002.58] 这个其实就是所谓的CCL
[2002.58-2003.86] 同伯基板
[2003.86-2005.90] 那我想同伯基板大家应该
[2005.90-2007.70] 再熟悉也不过了
[2007.70-2008.72] 台湾有
[2008.72-2013.32] 也有我们自己非常骄傲的这个
[2013.32-2015.12] CCL三雄
[2015.12-2016.92] 我想我就不多做介绍
[2016.92-2019.48] 那不过我们华力这边带领的是
[2019.48-2021.00] 更高阶的
[2021.00-2021.78] 这个
[2021.78-2023.82] 同伯基板
[2023.82-2025.36] 那是应用在
[2025.36-2028.94] 各式各样的AI伺服器的板材
[2028.94-2029.72] 或者是
[2029.76-2033.86] 5G通讯方面的这个
[2033.86-2035.90] 这个板材
[2035.90-2037.44] 为什么呢因为
[2037.44-2038.20] 这个
[2038.20-2039.74] 这些高
[2039.74-2042.56] 高阶的不管是AI Server或者是
[2042.56-2044.86] 5G的通讯设备
[2044.86-2049.98] 他们需要一个非常重要的特性叫做RO-DK RO-DF
[2049.98-2051.26] 的这个
[2051.26-2052.28] 同伯基板
[2052.28-2056.64] 就是所谓RO-DK就是所谓的
[2056.64-2058.44] 接电系数RO-DF就是DF的这个通伯基板
[2059.76-2061.56] 这个是一个非常高阶的
[2061.56-2062.58] 低阻抗系数
[2062.58-2065.90] 他们需要这个非常高阶的同伯基板去做
[2065.90-2067.96] 在他们的这个板子上面
[2067.96-2071.80] 因为这样才能做到最快速的资料传输
[2071.80-2074.60] 然后降低最少的资料损失
[2074.60-2076.40] 然后耗损最少的
[2076.40-2077.94] 这个电力
[2077.94-2079.98] 电力损耗达到最少
[2079.98-2080.76] 所以
[2080.76-2084.34] 在这个非常高阶的这个
[2084.34-2086.12] 通讯器材里面
[2086.12-2089.72] 或者是伺服器AI Server就像我刚刚讲的
[2089.76-2093.34] 这些都会用到我们这边代理的
[2093.34-2096.42] 我刚刚还没讲代理哪一家
[2096.42-2098.98] 就是我们代理的是Panasonic
[2098.98-2100.52] 日本松下
[2100.52-2104.36] Panasonic的高阶同伯基板
[2104.36-2107.16] 那这两个产品大概就占我们
[2107.16-2112.04] PCB材料营收比重大概一半以上的比重
[2112.04-2115.62] 那我就这边我就
[2115.62-2119.72] 不再多做其他这个产品介绍
[2119.76-2120.78] 不过我们
[2120.78-2122.58] 值得一提的是
[2122.58-2125.40] 在PCB部门里面我们
[2125.40-2130.26] 这几年也开始在做一些所谓
[2130.26-2133.58] 工厂自动化4.0
[2133.58-2135.64] Factory Automation的一些
[2135.64-2138.96] 工厂自动化的方面的一些
[2138.96-2141.78] Total Solution的这个解决方案
[2141.78-2144.60] 我们从厂商那边我们
[2144.60-2146.12] 去
[2146.12-2149.20] 这个拿了这些
[2149.76-2152.58] 工厂自动化的一些设备
[2152.58-2155.64] 包括一些AGV或者是AMR
[2155.64-2158.72] 等等的一些自动化的仓储的
[2158.72-2161.28] 这些机器人或者是
[2161.28-2163.84] 我们帮客户组装这个
[2163.84-2167.68] 自动化的生产
[2167.68-2169.98] 产线的线边仓
[2169.98-2171.52] 等等这些东西
[2171.52-2174.34] 其中客户也不罚了这个
[2174.34-2178.68] 不罚这个所谓的电子5G的这个客户
[2178.68-2179.72] 所以我们在这方面
[2179.72-2181.52] 也已经开始
[2181.52-2184.58] 起步然后已经开始有一点小有成就
[2184.58-2185.86] 那
[2185.86-2190.48] 那这个
[2190.48-2193.28] 对在设备方面的这个
[2193.28-2194.32] 引进
[2194.32-2199.18] 那这个等一下我们Q&A再做进一步的讨论
[2199.18-2200.20] 谢谢
[2200.20-2202.00] 那
[2202.00-2206.34] 这个部分也让我们在PCB这一块的
[2206.34-2209.68] 营收今年可以再有更好
[2209.72-2210.74] 的成长
[2210.74-2212.80] 会比我们其他
[2212.80-2216.38] 这个就是其他的产品
[2216.38-2218.94] 因为今年这个关税的关系所以我们
[2218.94-2221.24] 等一下会讨论到一些Outlook的部分
[2221.24-2222.26] 我们
[2222.26-2224.32] 因为这方面的
[2224.32-2229.18] 进展所以让我们这个部门的成长性也变得更好
[2229.18-2233.52] 那我再介绍下一个部门的这个介绍就是半导体
[2233.52-2235.84] 那半导体这边
[2235.84-2237.36] 主要
[2237.36-2241.46] 供应的产品在这个第3个Bullet Point这边都可以看到
[2241.46-2242.48] 包括
[2242.48-2244.52] Photo Resist 光阻液
[2244.52-2246.32] 电子级的化学品
[2246.32-2249.64] 然后还有特殊气体去光阻液
[2249.64-2251.44] 还有研磨液
[2251.44-2252.46] 然后
[2252.46-2258.36] 其实还有包括另外一个很重要的产品叫做先进化妆材料
[2258.36-2263.48] 那我先讲我们从JSR刚有提到JSR
[2263.48-2266.54] 日本的JSR是一家非常大型的
[2266.54-2267.32] 呃
[2267.36-2268.64] 企业集团
[2268.64-2271.72] 它其实不只提供化学品
[2271.72-2274.02] 电子级的化学品
[2274.02-2277.34] 半导体级的电子级化学品材料
[2277.34-2278.88] 它其实还有其他
[2278.88-2281.96] 不一样的事业群事业体
[2281.96-2282.72] 那
[2282.72-2286.82] 我们华丽是独家代理JSR的这个
[2286.82-2290.66] 半导体级跟电子级的一些化学品
[2290.66-2291.94] 那
[2291.94-2296.04] 代理JSR的产品就包括了光阻液
[2296.04-2297.32] 然后还有研磨液
[2297.32-2300.64] 然后还有我刚刚讲的先进风霜材料
[2300.64-2304.74] 以上这三项材料都是代理来自于JSR的材料
[2304.74-2307.82] 那尤其大家可能会特别关注这个光阻液
[2307.82-2310.88] 那光阻液为什么要特别提呢
[2310.88-2311.40] 因为
[2311.40-2313.44] 基本上光阻液这个产品
[2313.44-2316.52] 是客户在
[2316.52-2321.90] 往先进制程推进上面的一个非常关键的材料
[2321.90-2323.68] 唯有
[2323.68-2326.50] 你有做出能够相配合的
[2326.50-2327.28] 一个非常关键的材料
[2327.32-2328.86] 所以这个是我们的光阻液
[2328.86-2330.64] 客户才有办法
[2330.64-2335.00] 推展到进步到下一个制程去
[2335.00-2337.56] 大家要了解这个的重要性
[2337.56-2341.66] 因为你在半导体曝光线以制程去做
[2341.66-2345.76] 这个晶片的线路一样是它的线路图的时候
[2345.76-2348.56] 如果你没有够精密的光阻液
[2348.56-2350.62] 你达不到那个线环
[2350.62-2352.92] 大家现在讲到几奈米
[2352.92-2353.68] 两奈米
[2353.68-2356.00] 未来到一点几奈米
[2356.00-2357.28] 这个世代的
[2357.32-2360.14] 这样子精细的世代的
[2360.14-2361.16] 这个线宽
[2361.16-2362.70] 你非得要用到
[2362.70-2365.76] 非常高级的光阻液才能做到
[2365.76-2367.56] 那我们的JSR就是
[2367.56-2368.84] 全世界
[2368.84-2370.88] 为二或为三
[2370.88-2373.44] 就是寡占市场里面
[2373.44-2378.32] 其中一家可以有能力提供到这么高级的光阻液的厂商
[2378.32-2379.84] 那在
[2379.84-2383.18] 先进制程的这个市占率
[2383.18-2384.46] 基本上是
[2384.46-2385.74] 大概是
[2385.74-2387.28] 跟另外一家
[2387.32-2389.12] 日本的竞争厂商是
[2389.12-2390.40] 那个
[2390.40-2392.44] 大概是平分天下
[2392.44-2396.54] 几乎大概市场占有率大概各占一半
[2396.54-2399.36] 那这个是我们光阻液的产品
[2399.36-2402.42] 那其他我就概略的提过了
[2402.42-2406.52] 包括这个三菱化学的电子级化学品
[2406.52-2407.80] 很多的
[2407.80-2411.64] 这里面有很多的酸类碱类的东西
[2411.64-2413.18] 电子级的双氧水等等
[2413.18-2417.28] 这是前段制程都需要的一些大宗化学品
[2417.32-2420.40] 然后还有这个研磨液
[2420.40-2421.16] 这个
[2421.16-2422.44] 也是他们
[2422.44-2425.26] 制程里面这个所谓的CMP
[2425.26-2428.08] 这个化学机械
[2428.08-2429.60] 机械研磨化学
[2429.60-2432.16] 机械研磨的一个制程里面的一个
[2432.16-2433.44] 重要材料
[2433.44-2436.52] 然后最后带到这个先进封装材料
[2436.52-2440.62] 那个我们JSA的原厂也供应给
[2440.62-2442.16] 这个客户
[2442.16-2446.50] 最新的COWAS制程里面的一个重要的一个封装材料
[2446.50-2447.28] 然后最后带到这个先进封装材料
[2447.32-2449.62] 这个材料在去年的
[2449.62-2454.24] 成长率是高达了这个双位数的成长
[2454.24-2456.54] 甚至快到三位数的成长
[2456.54-2460.88] 可见客户在这部分的需求是非常强烈
[2460.88-2462.94] 半导体我先介绍到这里
[2462.94-2464.98] 已经花了蛮多的时间了
[2464.98-2467.04] 我尽量再快一点
[2467.04-2469.08] 那
[2469.08-2473.18] 再来第四个产业是我们所谓的光电产业
[2473.18-2475.22] 也就是平面显示器产业
[2475.22-2477.28] 这边呢我们也一样有提供
[2477.32-2481.92] 上游的一些化学品材料给LCD面板厂
[2481.92-2483.98] 然后呢这几年我们
[2483.98-2487.56] 逐步跨入大概从2016 2017年开始
[2487.56-2489.60] 我们逐步跨入这个
[2489.60-2490.64] 准系统
[2490.64-2491.92] 或者是
[2491.92-2496.26] 说半成品包括一些背光模组里面用到的
[2496.26-2497.54] 一些光学
[2497.54-2500.36] 类的板材或者是膜类的东西
[2500.36-2502.16] 然后呢我们进一步
[2502.16-2504.46] 有客户
[2504.46-2507.28] 制造厂商找我们帮他们销售他们的电子车
[2507.32-2508.34] 电子白板
[2508.34-2511.16] 我刚刚讲到了次世代产品
[2511.16-2514.24] 所以前面提到那个次世代电子产品
[2514.24-2516.02] 其实就是所谓的这个
[2516.02-2517.82] 电子白板
[2517.82-2520.64] 那电子白板基本上就是一个
[2520.64-2521.66] 大家现在
[2521.66-2524.72] 如果去各个学校去
[2524.72-2525.76] 观摩的话
[2525.76-2527.04] 可以看到
[2527.04-2528.56] 其实现在学校
[2528.56-2532.66] 逐步的用这个所谓的电子白板来取代以前的黑板
[2532.66-2534.46] 以前黑板你要
[2534.46-2537.28] 用粉笔去写字啊会有粉尘啊什么的
[2537.32-2539.62] 然后跟学生也没办法互动啊
[2539.62-2541.16] 现在时代进步了
[2541.16-2544.74] 大家都是各级学校都逐步采用这个所谓的
[2544.74-2545.76] 电子白板
[2545.76-2547.56] 基本上它就是一个
[2547.56-2548.32] 很大
[2548.32-2549.10] 可能
[2549.10-2552.16] 八九十寸以上的LCD显示屏
[2552.16-2554.98] 然后上面会甚至会有触控模组
[2554.98-2556.26] 老师
[2556.26-2560.36] 上课教学的投影片就直接投影到这个电子白板上面
[2560.36-2562.40] 然后同学
[2562.40-2564.96] 在台下也可以用他们的平板
[2564.96-2566.24] 跟老师在
[2566.24-2567.28] 这个
[2567.32-2570.40] 电子白板上面所注记的一些note
[2570.40-2571.68] 一些笔记
[2571.68-2573.46] 做一些直接的联动
[2573.46-2574.48] 做互动
[2574.48-2577.30] 这样可以使教学品质更加提升
[2577.30-2581.40] 所以在欧美各国其实都已经非常
[2581.40-2584.48] 快速的在推进这个电子白板的一个
[2584.48-2585.24] 胜利
[2585.24-2586.26] 一个需求
[2586.26-2590.88] 那甚至包括企业界这不只是学术界
[2590.88-2595.22] 企业界的这个各个公司的会议室里面
[2595.22-2597.28] 也都逐步用这个所谓的电子白板
[2597.32-2600.40] 来取代以前的白板
[2600.40-2602.70] 就是用奇异品然后写起来会有
[2602.70-2605.76] 多那个味道的那个奇异品在那边写
[2605.76-2608.08] 现在也不用现在都是用电子白板
[2608.08-2609.36] 大家只要
[2609.36-2612.68] 一个HDMI的连接器连接上你的
[2612.68-2613.44] 影片
[2613.44-2615.76] 就马上可以做投影片的介绍
[2615.76-2616.78] 这个在
[2616.78-2620.88] 所以这个在企业界或者是学术界都
[2620.88-2623.18] 广泛的被采用所以我们的
[2623.18-2626.00] 这个电子白板的销售
[2626.00-2627.28] 我们是帮客户
[2627.28-2630.36] 推展到全世界各地的
[2630.36-2632.14] 这个销售渠道去
[2632.14-2634.20] 那基本上他是一个
[2634.20-2638.28] 大陆那边的一个ODM的一个厂商
[2638.28-2640.34] 他们就专心的
[2640.34-2642.64] 投入在研发跟制造
[2642.64-2645.20] 那行销跟通路
[2645.20-2649.30] 跟销售就全部交由我们华立来独家代理
[2649.30-2652.12] 帮他们销售到全世界各个通路去
[2652.12-2656.46] 以上是我对产品的一个介绍
[2656.46-2657.24] 那最后
[2657.24-2660.82] 一个需要做一个比较
[2660.82-2664.40] 直化方面的还不是量化的介绍是这个所谓的
[2664.40-2666.20] 南部物流中心
[2666.20-2668.24] 这个跟各位介绍这是我们
[2668.24-2670.56] 过去三四年来
[2670.56-2672.60] 主要资本支出的来源
[2672.60-2676.18] 这个就是我们为了配合大家可以看到
[2676.18-2678.24] 南部物流中心配合
[2678.24-2682.32] 半导体高科技产业往南部发展的趋势
[2682.32-2684.64] 那这我就不再多做说明
[2684.64-2687.20] 这个是一个很明显的趋势
[2687.24-2691.84] 那为什么要这样做这个目的显而易见就是配合客户到
[2691.84-2694.92] 南部那边去做设计
[2694.92-2700.04] 南部那边我们在基本上这个是在台南的一个
[2700.04-2703.62] 一个基地占地大概一万多平
[2703.62-2705.92] 那我们会有七座的仓储
[2705.92-2709.26] 里面甚至会有包括这个冷藏仓
[2709.26-2711.04] 跟一般常温仓
[2711.04-2714.12] 那冷藏仓是因为我们有一些化学品
[2714.12-2716.68] 是需要放在这个有温控的
[2717.24-2719.28] 非常宽敞的环境里面
[2719.28-2721.84] 所以我们在南部的这个物流
[2721.84-2726.72] 仓储系统会就近的供应未来客户在南部的
[2726.72-2728.24] 这个
[2728.24-2730.04] 这个非常大
[2730.04-2734.90] 大型的发展跟一个大部的一个发展
[2734.90-2741.04] 那其实我们也有在做产业原调的时候也有发现
[2741.04-2743.10] 南部其实也有在
[2743.10-2745.66] 这个物流方面的一个需求
[2745.66-2746.68] 其实
[2747.24-2752.62] 南部的这个完整的这么完整然后先进的仓储系统
[2752.62-2754.66] 在南部其实是匮乏的
[2754.66-2758.00] 所以南部有很多制造业的厂商尤其是
[2758.00-2761.32] 化学品的制造业的厂商或其他的制造业层上
[2761.32-2764.64] 他们并没有一个完善的仓储的空间
[2764.64-2767.20] 跟物流的系统可以帮他们做配送
[2767.20-2771.30] 那我们未来这个南部的物流中心不止可以
[2771.30-2773.86] 就近提供服务给我们的客户
[2773.86-2776.68] 我们也可以提供第三方的服务给
[2777.24-2780.32] 其他的这个制造厂商
[2780.32-2784.92] 帮他们做仓储跟物流上的服务
[2784.92-2789.02] 这是我们这几年一个主要资本支出的一个项目
[2789.02-2792.86] 那预计应该在这个南部物流中心应该在
[2792.86-2796.70] 今年比以前应该可以落成其用
[2796.70-2801.04] 那也是配合客户的实诚
[2801.04-2801.82] 好
[2801.82-2806.68] 那产品介绍跟一些质化方面的介绍我大概就介绍到这里
[2806.68-2810.78] 那紧接着我就很快的带过我们的一些财务上的一些数据
[2810.78-2812.32] 因为这个都是
[2812.32-2813.84] 第一季的财报
[2813.84-2816.92] 目前已经只是公布到第一季财报
[2816.92-2819.48] 我想这个都已经是公开资讯
[2819.48-2823.06] 都在公开资讯观测帐上面都可以下载到
[2823.06-2824.60] 我就很快的跳过
[2824.60-2826.90] 那个主要就是讲我们
[2826.90-2828.44] 损益表的部分
[2828.44-2833.82] 我们第一季的营收成长大概是个位数
[2833.82-2836.38] 那这个可能多多少少跟
[2836.68-2840.26] 现在关税上面的一个不确定性
[2840.26-2842.56] 多少有点关系
[2842.56-2843.60] 因为
[2843.60-2845.12] 从去年
[2845.12-2847.18] 美国新任总统
[2847.18-2851.52] 当选去年年底当选之后他就在说
[2851.52-2853.58] 这个关税的事情之后
[2853.58-2855.36] 很多客户就开始
[2855.36-2859.20] 有点观望在下单上面也开始有点保守
[2859.20-2863.30] 所以我相信大家在各个产业都会看到
[2863.30-2864.58] 很多的
[2864.58-2866.64] 厂商我们的客户们
[2866.68-2871.80] 对这个下单方面的这个态度也
[2871.80-2874.10] 显得比较相对的一个保守
[2874.10-2875.12] 所以
[2875.12-2877.94] 第一季的营收表现大概只有
[2877.94-2880.00] 在个位数的营收成长
[2880.00-2884.08] 那不过我们的EPS的成长也是同步
[2884.08-2888.18] 跟营收的成长一样大概是同步的成长
[2888.18-2889.98] 大概也有7.8%的成长
[2889.98-2891.52] 那可是其实
[2891.52-2895.36] 大家仔细去看这个税后金益的绝对金额
[2895.36-2896.64] 我们的成长率是个
[2896.68-2898.48] 是高于这个个位数的
[2898.48-2902.06] 我们的税后金益成长金额是有到16%
[2902.06-2905.12] 那不过就是我刚刚讲的
[2905.12-2910.00] 我们在几年前发行的EB转换成普通股之后
[2910.00-2912.56] 我们的股本有点小膨胀
[2912.56-2913.84] 所以
[2913.84-2916.14] 导致这个EPS
[2916.14-2917.92] 算每股盈余的时候
[2917.92-2921.00] 就显得没有成长那么多
[2921.00-2924.84] 这个是损益表方面的介绍
[2924.84-2926.64] 那大家再回到上一段话之后
[2926.68-2932.06] 大家可以注意到我们在业外收支方面
[2932.06-2936.40] 我们每一年持续稳定的有一个所谓的长投收益
[2936.40-2941.28] 那长投收益占我们的业外损益的部分也非常重要的一个部分
[2941.28-2944.86] 那这个长投损益是来自于这一页
[2944.86-2947.68] 上面所显示的这四家公司
[2947.68-2949.72] 那里面有两家
[2949.72-2952.28] 上市柜公司包括了昌华电材
[2952.28-2953.82] 跟华虹新技
[2953.82-2956.38] 那尤其像昌华电材我想
[2956.68-2960.52] 也在资本市场上面应该也是小有名气
[2960.52-2962.82] 他们的业绩也都非常好
[2962.82-2965.90] 那持续的稳定的
[2965.90-2968.46] 供应给我们业外收益
[2968.46-2969.74] 我们是以
[2969.74-2973.32] 持股比例来认列他们的税后净利
[2973.32-2975.62] 大家可以看到这边的持股比例
[2975.62-2976.90] 我们
[2976.90-2979.72] 还是昌华电材目前是
[2979.72-2984.08] 它最大的一个单一的最大的一个股东
[2984.08-2986.64] 那我们占比占大概将近
[2986.68-2988.22] 5块27%
[2988.22-2989.76] 那其他像
[2989.76-2991.54] 昌华塑胶这个是
[2991.54-2993.08] 我们跟
[2993.08-2996.16] 原厂就是Nagase
[2996.16-3001.52] Nagase是美国的基工程塑胶全球的总代理
[3001.52-3005.12] 那他在把亚洲这边的代理交给我们华丽
[3005.12-3009.20] 那我们跟他合资成立了一个这一家叫做昌华塑胶
[3009.20-3011.52] 无价代理基工程塑胶
[3011.52-3013.30] 上面写Savik
[3013.30-3014.58] Savik
[3014.58-3015.60] 这个是
[3015.60-3016.64] 因为基工程塑胶的代理是Savik
[3016.68-3017.96] 这个工程塑胶
[3017.96-3023.60] 这个他的工程塑胶事业卖给沙利阿拉伯的一家公司叫Savik
[3023.60-3024.36] 所以
[3024.36-3027.94] 这个基本上就是一个基工程塑胶的独家代理销售
[3027.94-3029.74] 那也非常的
[3029.74-3032.80] 获利能力非常的雄厚
[3032.80-3041.00] 那华虹是提供一些光学膜类板材的一些制造跟材切方面的服务
[3041.00-3043.30] 这是我们持股比例
[3043.30-3044.84] 那这些都会
[3044.84-3046.64] 每一季度都会
[3046.68-3051.28] 稳定贡献长周收益给我们
[3051.28-3055.12] 那最后这个合并资产负债表
[3055.12-3058.20] 就我们的
[3058.20-3061.02] 资产负债表应该算单纯吧
[3061.02-3064.08] 没有太多太复杂的一些
[3064.08-3065.62] 有的没有的科目
[3065.62-3069.98] 我们基本上就是一个通路商有的应收账款跟存货
[3069.98-3072.80] 然后跟应付账款
[3072.80-3074.32] 大家都可以看得很清楚
[3074.32-3076.38] 然后占的比重也都是最重要的
[3076.68-3079.24] 应收账款存货
[3079.24-3082.06] 存货大家可以看到大概就是差不多60亿
[3082.06-3085.12] 将近我们目前一个月的营收的一个比重
[3085.12-3087.44] 一个金额
[3087.44-3089.74] 然后我们的负债比例大概在
[3089.74-3092.04] 总资产的我们4%
[3092.04-3096.40] 那我想大家可以去跟同业做一个比较
[3096.40-3099.46] 负债比例应该是相对比较保守
[3099.46-3102.54] 我们是比较保守的一个财务上的一个操作
[3102.54-3106.64] 那这一页讲的是
[3106.68-3110.00] 我们的对股东的回报
[3110.00-3112.06] 大家可以看到我们这几年
[3112.06-3113.84] EPS逐年成长
[3113.84-3117.44] 我们的现金股息也是跟着逐年成长
[3117.44-3122.30] 基本上我们的现金发放比例就是EPS的
[3122.30-3125.62] 大概55%到60%这样的比例
[3125.62-3130.74] 那今年特别又从原本的
[3130.74-3134.58] 去年的5.2再提高到今年的5.3
[3134.58-3136.64] 现金股息每股5.3%
[3136.68-3141.54] 虽然去年我们的EPS没有成长
[3141.54-3143.60] 可是我们还是把今年的
[3143.60-3146.16] 现金股息再拉高到5.3
[3146.16-3148.72] 基本上就是我们希望我们可以
[3148.72-3152.80] 提供给股东更好的投资报酬率
[3152.80-3156.64] 也希望可以再提升我们的股价的部分
[3156.64-3159.72] 会有一些帮忙
[3159.72-3164.84] 那接下来两战页基本上就是一些财务比例的介绍
[3164.84-3166.64] 我们的
[3166.64-3169.72] 现金周转天数大概在七八十天
[3169.72-3173.04] 那AR存货跟
[3173.04-3174.84] APDates大家都看得到
[3174.84-3177.64] 就是这样的数字都是一些
[3177.64-3181.24] 通路商正常的一些数字
