[0.00-2.60] 好OK 各位投資見面大家午安
[2.60-5.50] 我想先請到現行委員大臣這邊
[1768.90-1771.90] 那預估今年的話是70塊錢
[1771.90-1773.90] 甚至有人估到65
[1773.90-1776.90] 那這個後續的變數還很多
[1776.90-1779.90] 那這個是先用這樣的一個估算
[1779.90-1782.90] 以方便後面幾張投影片的一個說明
[1782.90-1783.90] 好
[1784.90-1786.90] 那以剛剛的基礎來看呢
[1786.90-1791.90] NASA油價是70塊
[1791.90-1792.90] NASA是630
[1792.90-1796.90] 那整個以西估計是在850塊錢的水準
[1796.90-1798.90] 那用這樣的價格來看
[1798.90-1800.90] 各位看這個這個BAR
[1800.90-1806.90] 整個清列的一個成本還是低於它的成本限250塊錢
[1806.90-1811.90] 所以在24年25年看起來是相當辛苦
[1811.90-1812.90] 下一頁
[1814.90-1818.90] 那這張是說明整個以西的供需跟開供率的狀況
[1818.90-1822.90] 那今年的以西新增產能集中在亞洲地區
[1822.90-1825.90] 那估計會有650萬噸
[1825.90-1831.90] 那雖然整個以西的一個
[1831.90-1834.90] 總供應量呢是2億多噸
[1834.90-1838.90] 所以新增產能只到650萬噸並不是很多
[1838.90-1843.90] 所以事實上並沒有說供應過剩的狀況
[1843.90-1847.90] 但是它大部分的新增產能都集中在亞洲地區
[1847.90-1848.90] 尤其是中國
[1848.90-1851.90] 所以在很短的時間瞬間開出來
[1851.90-1854.90] 會對整個區域造成比較大的影響
[1854.90-1860.90] 那下一次的擴建呢估計是在2027到2028年
[1860.90-1861.90] 在那個時候
[1861.90-1870.90] 在那個時候呢整個以西的原料供應會更加寬鬆
[1870.90-1872.90] 所以這邊有看到整個運轉率
[1872.90-1875.90] 整個運轉率77%
[1875.90-1881.90] 比今年跟明年的狀況還要差一些
[1881.90-1885.90] 好下一頁
[1885.90-1889.90] 那這個是以西下游的產品獲利狀況
[1889.90-1892.90] 目前只有LDP是有獲利的
[1892.90-1897.90] 其他所有的下游都是沒有辦法獲利的
[1897.90-1902.90] 那這一頁是以上面的基礎來估算整個一二存的價格
[1902.90-1913.90] 一二存估計是520到530的水準
[1913.90-1915.90] 那一二存的供需方面呢
[1915.90-1920.90] 2024到2025年主要是還是價格
[1920.90-1922.90] 主要還是屬於低檔啦
[1922.90-1926.90] 但是跟2023年來比有明顯的改善
[1926.90-1931.90] 那主要是23年的新增產能是有大量的開出啦
[1931.90-1933.90] 那24 25年相對的比較趨緩
[1933.90-1935.90] 那整個狀況會
[1935.90-1938.90] 各位看這個運轉率來看會逐漸的好轉
[1938.90-1942.90] 但是在這兩年的情況下呢還是處於過剩
[1942.90-1949.90] 那剛好有提到整個一二存因為整個新增產能是趨緩
[1949.90-1953.90] 那但是以西的部分呢下跌的幅度會比一二存快
[1953.90-1959.90] 所以25年在一二存的產業來看應該是比去年會有一些改善
[1959.90-1960.90] 那這一頁呢就是以西的產品獲利狀況
[1960.90-1965.90] 那這一張是整個聚值產業鏈
[1965.90-1968.90] 包括平片跟長線短線的狀況
[1968.90-1970.90] POI是長線 PSF是短線
[1970.90-1974.90] 那現在看到綠色部分是虧損的主要是平片
[1974.90-1978.90] 那平片在這兩年因為整個供應過剩
[1978.90-1981.90] 所以整個產業是沒辦法賺錢
[1981.90-1986.90] 反而是在POI長線跟PSF短線的部分是有獲利
[1986.90-1988.90] 以上為參考
[1990.90-1995.90] 好的我們繼續Q&A
[1995.90-1998.90] 好
[1998.90-2001.90] 那我們就繼續Q&A嗎還是還有想要的報告
[2001.90-2003.90] 繼續Q&A謝謝
[2003.90-2006.90] 繼續Q&A謝謝
[2006.90-2010.90] 剛剛那位核庫投庫的朋友有繼續在問
[2010.90-2017.90] 他是問說你要如何看待未來中國每一至一二存產能持續投產
[2017.90-2020.90] 對於一二存產業的同時
[2020.90-2027.90] 每一至一二存因為過去整個中國是沒很多但是缺油
[2027.90-2037.90] 所以在整個發展策略上面有大量希望整個每一至一二存能夠取代傳統的一二存
[2037.90-2040.90] 那達到整個中國能夠自給化
[2040.90-2045.90] 然後不要受到一些進口或是國外的影響
[2045.90-2048.90] 但是最近發展起來發現
[2048.90-2050.90] 每一至一二存有很嚴重的一個
[2050.90-2051.90] 環保問題
[2051.90-2052.90] 還有一些
[2052.90-2059.90] 一些水的問題或其他的運輸方面的問題
[2059.90-2061.90] 所以整個產業呢
[2061.90-2066.90] 政府改成並不鼓勵他繼續發展下去
[2066.90-2069.90] 所以整個每一至一二存的新增產能
[2069.90-2074.90] 這邊看到的是大概在2024年之後呢相當的少
[2074.90-2079.90] 那目前的已經開出或是正在投產的就是大概會在
[2079.90-2084.90] 這個時間點呢大概就擴建差不多了
[2084.90-2087.90] 所以之後呢應該會越來越少
[2087.90-2090.90] 而且現在處於整個產能過剩
[2090.90-2100.90] 所以新的產能會投產的比例還有產能都會比過去要消很多
[2100.90-2101.90] 上
[2103.90-2107.90] 那金秉在他那個核負擦是有第二個問題就是說
[2107.90-2115.90] 每一至一二存與吸氫至二存兩者的成本差異
[2115.90-2117.90] 每一至跟什麼跟哪一
[2117.90-2120.90] 跟吸氫至
[2120.90-2122.90] 哦
[2122.90-2125.90] 因為每一至一二存它主要來源是煤嘛
[2125.90-2127.90] 那煤
[2127.90-2129.90] 它主要是從中國內地
[2129.90-2131.90] 它的煤的產出
[2131.90-2135.90] 但是這個煤的成本並不是我們看到的
[2135.90-2136.90] 那種
[2136.90-2140.90] 秦皇島或是那樣的煤價的基礎
[2140.90-2148.40] 因為它煤從原產地撈出來可能成本只有200美金或300美金不一定
[2148.40-2154.90] 運到秦皇島用秦皇島那時候的煤價可能是600或700美金
[2154.90-2160.40] 所以煤質以二成的成本一直以來是比較難去估算的
[2160.40-2174.40] 我們通常會估計大概是450到500塊錢左右的成本
[2174.40-2178.40] 是目前整個煤質以二存大概的生產成本
[2181.40-2186.40] 至於它的運轉率如何呢?完全取決於它對煤的利用
[2186.40-2188.90] 或許它可以把這個煤拿去發電
[2188.90-2190.40] 或去煤去做其他東西
[2190.40-2193.40] 但是這個不是煤質以二成的衍生物
[2193.40-2196.40] 或是它的應用它會去做這樣的取捨
[2196.40-2201.40] 另外就是因為政策的原因或許它的運轉率沒有辦法開得很高
[2201.40-2206.40] 另外就是因為整個製程的需求
[2206.40-2210.40] 所以它必須經常性的檢修
[2210.40-2213.40] 這些原因造成整個煤質以二成目前
[2213.40-2217.40] 雖然或許可能可以打平或是有一點點獲利
[2217.40-2219.40] 但是也沒有辦法開得很高
[2219.40-2220.40] 目前運轉率大概是200美金
[2220.40-2222.40] 所以它的價格也在70%左右
[2227.40-2229.40] 然後林包頭緒有個問題
[2229.40-2234.40] 他問說2025預期氣體營收貢獻增長
[2234.40-2238.40] 除產量恢復以外還有新客戶增加嗎?
[2238.40-2243.40] 那全年氣體營收有望超過18億或是突破21億嗎?
[2250.40-2253.40] 我們預計氣體的營收
[2253.40-2257.40] 因為其實我們的氣體銷售就是全產全銷
[2257.40-2261.40] 那就是說我們目前來看的話
[2261.40-2264.40] 應該是比較有機會持平
[2264.40-2267.40] 你說要成長的話其實是比較不容易
[2267.40-2270.40] 原因包括整個台灣的市場飽和
[2270.40-2274.40] 還有我們工廠生產產量產能的限制
[2274.40-2279.40] 所以氣體我們看比較是一個持平的狀況
[2280.40-2287.40] 好然後接著接著這個問題
[2287.40-2289.40] 他還繼續問到說
[2289.40-2293.40] 呃成長氣體供應民原廠及大發工業客戶
[2293.40-2298.40] 是部分客戶高佔比還是比重大之分佔?
[2298.40-2302.40] 當然這些工業區的客戶
[2302.40-2303.40] 他有分大小
[2303.40-2307.40] 那一些主要比較用戶大的客戶
[2307.40-2309.40] 他佔比是會比較高的
[2309.40-2312.40] 我們有很多客戶拿的量是比較少
[2312.40-2316.40] 所以並不是每一個客戶拿的是我們的平均的數量
[2316.40-2326.40] 然後還是他繼續問
[2326.40-2328.40] 也是聯邦投資公司
[2328.40-2331.40] 他問2025個產線折舊提列完畢
[2331.40-2336.40] 今年2025的費用率的區間
[2336.40-2338.40] 那三大事業的費用率
[2338.40-2339.40] 他也有提到說
[2339.40-2341.40] 還是會有明顯落差
[2341.40-2349.40] 費用率基本上應該跟過往會差不多水準
[2349.40-2352.40] 因為就算你有舊的設備折舊提完
[2352.40-2355.40] 你還會有新的設備放進去開始提折舊
[2355.40-2357.40] 所以基本上應該看起來
[2357.40-2360.40] 這幾年大概都是維持固定的一個水準
[2369.40-2373.40] 我補充說明一下
[2373.40-2376.40] 就是剛剛問到三大事業體了
[2376.40-2379.40] 就是以二存這個部分
[2379.40-2382.40] 還有氣體的部分
[2382.40-2385.40] 如果都沒有新的設備
[2385.40-2388.40] 或者新增產能的投入的話
[2388.40-2392.40] 相關的折舊應該不會提高
[2392.40-2394.40] 但是特化的部分呢
[2394.40-2397.40] 如果有新的設備等等的投入
[2397.40-2400.40] 相繼產生新的折舊的話
[2400.40-2403.40] 那它會略為提高
[2403.40-2405.40] 這樣的一個提高呢
[2405.40-2407.40] 其實是一個逐步的
[2407.40-2409.40] 有新產能新的設備出來
[2409.40-2411.40] 我們有折舊年限嘛
[2411.40-2416.40] 比如說15年20年等等這種折舊年限
[2416.40-2418.40] 會對每個月的這個報表呢
[2418.40-2420.40] 會有一些影響
[2420.40-2422.40] 但是影響不是很大
[2422.40-2426.40] 好 謝謝給力
[2426.40-2427.40] 然後他也問到說
[2427.40-2430.40] 今年預算目標或以運動的
[2430.40-2433.40] 有望回到2021的水準嗎
[2438.40-2440.40] 202幾
[2442.40-2444.40] 給力 2021
[2444.40-2447.40] 有望回到2021年的水準嗎
[2452.40-2455.40] 今年度的這個預算
[2455.40-2458.40] 我想跟2024年來
[2458.40-2463.40] 我們是有一個比較大膽的
[2463.40-2468.40] 這個aggressive的這種預測
[2468.40-2472.40] 那營收的成長呢會有
[2472.40-2478.40] 但是呢要跟2021年來比較的話
[2478.40-2480.40] 我們要看一下2021年來比較的話
[2480.40-2481.40] 我們要看一下2021年來比較的話
[2481.40-2482.40] 我們要看一下2021年來比較的話
[2482.40-2484.40] 2021年的水平是多少
[2491.40-2492.40] 沒數字
[2501.40-2503.40] 271
[2505.40-2507.40] 那應該是我們查了一下
[2507.40-2511.40] 2021年的總營收是
[2511.40-2512.40] 275
[2512.40-2513.40] 275億
[2513.40-2514.40] 275億
[2514.40-2519.40] 那以今年度的這個預算來看的話
[2519.40-2520.40] 初步透露一下
[2520.40-2522.40] 是比這個還要多一點
[2522.40-2525.40] 所以呢應該是一個比較
[2525.40-2528.40] 進取型的一個預算
[2528.40-2530.40] 因為預算沒有公告
[2530.40-2532.40] 所以不方便跟大家透露太多
[2539.40-2541.40] 好的 謝謝給力
[2541.40-2543.40] 那不知道各位投資先進
[2543.40-2546.40] 還有沒有相關問題要跟
[2546.40-2548.40] 中聯化學的經營團隊
[2548.40-2550.40] 這邊做交流跟
[2550.40-2558.40] 我問一個問題好不好
[2558.40-2559.40] 好啊
[2559.40-2563.40] 好像昨天證明有說
[2563.40-2566.40] 電價預計投資越少的
[2566.40-2567.40] 那當然
[2567.40-2569.40] 那在你身體講
[2569.40-2570.40] 我想問一下特效成本喔
[2570.40-2572.40] 就是可能包含電價
[2572.40-2573.40] 工業電 用電也好
[2573.40-2576.40] 或者是說甚至環境部也在
[2576.40-2579.40] 未來預期這些所謂的空污稅這些
[2579.40-2582.40] 還有碳費這些
[2582.40-2586.40] 那我知道公司對這方面的成本
[2586.40-2588.40] 什麼的引進的方式
[2588.40-2590.40] 可以跟大家說明一下嗎
[2590.40-2593.40] 好的那個多聯化學每年
[2593.40-2595.40] 是用電大戶
[2595.40-2597.40] 那每年的用電大概4億度
[2597.40-2599.40] 這個部分呢
[2599.40-2604.40] 我們除了有新產能可能產生
[2604.40-2606.40] 就是說增加用電之外
[2606.40-2610.40] 但是呢我們整體的努力方向是節電
[2610.40-2614.40] 盡量降低這個度數的成長
[2614.40-2616.40] 或甚至還要減少
[2616.40-2618.40] 這個是我們的方向
[2618.40-2623.40] 當然政府調電價對我們的影響非常的大
[2623.40-2626.40] 之前調過幾次的之後呢
[2626.40-2627.40] 我們統計了一下
[2627.40-2628.40] 較原始的電價呢
[2628.40-2632.40] 我們已經增加了大概70%
[2632.40-2635.40] 70%以上的這樣的一個費用
[2635.40-2637.40] 電費的費用
[2637.40-2639.40] 那後面如果還要再調
[2639.40-2642.40] 我們預計可能還是會再調
[2642.40-2646.40] 這個成本的增加是往上走的
[2646.40-2648.40] 那怎麼因應呢
[2648.40-2649.40] 除了剛剛我講
[2649.40-2652.40] 第一個自己在內部的一些設備
[2652.40-2654.40] 能做改善能夠節電
[2654.40-2657.40] 降低度數的這個使用
[2657.40-2661.40] 那另外呢還有可能就是自己發電
[2661.40-2663.40] 那這個目前在討論中
[2663.40-2670.40] 當然有比較這個比較熱門的話題
[2670.40-2673.40] 比如說氣電共生這樣的一個案子
[2673.40-2675.40] 我們內部正在研究當中
[2675.40-2677.40] 因為之前好幾年前
[2677.40-2679.40] 這個董事會就通過了
[2679.40-2682.40] 但是一個一些主客觀的因素呢
[2682.40-2683.40] 我們並沒有新建
[2683.40-2686.40] 那現在因為電費的這個調漲啊
[2687.40-2688.40] 這樣的一個議題呢
[2688.40-2691.40] 又重啟在討論了
[2691.40-2696.40] 目前積極的討論的這個後續呢
[2696.40-2699.40] 還是維持剛剛的這個目標
[2699.40-2701.40] 是要節電
[2701.40-2702.40] 那要能夠
[2702.40-2703.40] 譬如說自己發電
[2703.40-2707.40] 能夠降低每一度電的這個費用
[2707.40-2710.40] 這個是我們的目標
[2710.40-2713.40] 以上
[2713.40-2715.40] 好 謝謝協力
[2717.40-2721.40] 協力我想要請教一下喔
[2721.40-2723.40] 是
[2723.40-2725.40] 剛剛一開始有提到說
[2725.40-2728.40] 我們已經有建好這個引擎除草
[2728.40-2731.40] 那它的進口成本可以跟
[2731.40-2733.40] 中油的管道引擎
[2733.40-2735.40] 大概可以低60塊美元
[2735.40-2737.40] 是這樣的數字嗎
[2737.40-2739.40] 剛剛我初步是這樣講啦
[2739.40-2741.40] 那麻煩陳之聲
[2741.40-2744.40] 再比較明細的說明一下
[2744.40-2746.40] 是當然我們建這個除罐
[2746.40-2750.40] 就是要降低我們的一個進口成本
[2750.40-2753.40] 那當然剛剛是有提到60塊這個數字
[2753.40-2756.40] 那當然我們會
[2756.40-2760.40] 盡量降低我們的一個成本
[2760.40-2762.40] 朝這方面來努力
[2766.40-2768.40] 因為我不是很理解的是
[2768.40-2770.40] 我們假如
[2770.40-2773.40] 採購那個遠洋貨的引擎
[2773.40-2774.40] 可以比較便宜的話
[2774.40-2775.40] 那
[2776.40-2778.40] 這跟我的理解有點落差啦
[2778.40-2780.40] 所以我不是很理解說
[2780.40-2782.40] 中油現在的
[2782.40-2784.40] 是現貨引擎還是合約的引擎
[2784.40-2786.40] 是比較高的嗎
[2786.40-2788.40] 不然為什麼我們的
[2788.40-2790.40] 遠洋的進口成本還可以相對比較低
[2790.40-2793.40] 我不知道這中間的落差是怎麼樣
[2793.40-2796.40] 現在中油的合約引擎是比市場要高的
[2796.40-2800.40] 所以如果說能夠在市場上買到便宜的引擎是
[2800.40-2803.40] 對整個我們的成本控制是有
[2803.40-2805.40] 是有比較大的幫助
[2806.40-2807.40] 那當然
[2807.40-2810.40] 因為整個市場狀況每年都在改變
[2810.40-2813.40] 所以中油過去也曾經是比
[2813.40-2815.40] 市場的引擎價格要低過
[2815.40-2819.40] 所以這個是每年的
[2819.40-2823.40] 價格會根據市場狀況的變化
[2823.40-2825.40] 來做決定
[2828.40-2830.40] 那想再請教一下
[2830.40-2833.40] 現在大概從比如說我們從中東
[2833.40-2836.40] 或亞洲其他國家進口引擎
[2836.40-2838.40] 一噸的運費大概是多少
[2838.40-2842.40] 那假如從美國進口引擎的運費
[2842.40-2843.40] 大概一噸會是多少呢
[2843.40-2844.40] 謝謝
[2844.40-2848.40] 通常不管你從哪邊進來
[2848.40-2851.40] 除非你自己有船去運
[2851.40-2854.40] 基本上都是用亞洲的價格來計算
[2854.40-2858.40] 除非你的條件是FOP
[2858.40-2862.40] 或是跟對方簽長約是以當地的價格來計算
[2862.40-2866.40] 才會有您剛提的那樣的一個價格模式
[2866.40-2868.40] 要不然基本上都是用亞洲的價格
[2868.40-2870.40] 來當作我們的一個Benchmark
[2875.40-2877.40] 這是指說我們現在看得到的引擎
[2877.40-2879.40] 先貨價在800多
[2879.40-2882.40] 就是我們採購的一個成本價嗎
[2882.40-2884.40] 採購的價格
[2884.40-2887.40] 然後可能要加上一些進口成本
[2888.40-2891.40] 那當然我們跟整個供應商
[2891.40-2893.40] 或是貿易商之間會有一些
[2896.40-2899.40] 加減了一個折扣或是優惠
[2899.40-2902.40] 大概市場的價格就是一個Benchmark
[2902.40-2904.40] 可能會高一點或低一點這樣
[2917.40-2919.40] 想再請教一下我們揚州廠
[2919.40-2923.40] 目前的開工率狀況大概怎麼樣的水準
[2923.40-2926.40] 那剛剛有提到說我們零元廠
[2926.40-2930.40] 可能未來在1G的一個占比會往下降到
[2930.40-2932.40] 希望能夠到10%以下
[2932.40-2937.40] 那揚州廠它的這種降低1G的一個占比的規劃
[2937.40-2939.40] 我們目前的一個想法是怎麼樣
[2939.40-2940.40] 謝謝
[2941.40-2942.40] 揚州廠這個部分
[2942.40-2948.40] 其實我們把它變成一個非常大的彈性的生產
[2948.40-2951.40] 之前大部分都只能做1G
[2951.40-2954.40] 那特化的這個比較少
[2954.40-2956.40] 現在我們經過一個
[2956.40-2961.40] 這個季改基本上大致都完成了
[2961.40-2963.40] 正準備要運作了
[2963.40-2967.40] 也就是說它可以百分之百生產1歐
[2967.40-2969.40] 就還養1萬的部分
[2969.40-2972.40] 那至於說還養1萬再往1G走
[2972.40-2975.40] 還是往特用化還養1萬衍生物去走
[2975.40-2978.40] 那我們就可以比較彈性的調整
[2978.40-2981.40] 當然大方向我們是希望
[2981.40-2984.40] 盡量往特用化學品的方向去走
[2984.40-2988.40] 那因為揚州廠的產能比較大
[2988.40-2996.40] 會先從特化的大宗品開始接單去做一些生產
[2996.40-3001.40] 盡量的能夠去化我們的1歐
[3001.40-3006.40] 那1G的生產部分不會說一下就停產了
[3006.40-3009.40] 那還是會逐步逐步的下降
[3009.40-3010.40] 方向是這樣
[3010.40-3012.40] 那具體的百分比呢
[3012.40-3014.40] 我們目前倒沒有想到
[3014.40-3017.40] 像這個剛剛提到的高雄林園廠
[3017.40-3020.40] 最終呢1G佔比會是10%
[3020.40-3022.40] 這樣的一個明確的目標
[3022.40-3023.40] 倒是沒有
[3023.40-3028.40] 方向是降低乙二醇的產量
[3028.40-3031.40] 然後增加特用化學品的產量
[3031.40-3032.40] 以上
[3038.40-3040.40] 那請問一下我們在揚州廠
[3040.40-3041.40] 假如要做特化的話
[3041.40-3043.40] 我們目前的客戶或銷售區的
[3043.40-3046.40] 都已經找好了嗎
[3046.40-3051.40] 那相關的這種客戶他們
[3051.40-3055.40] 應該說目前在中國市場上
[3055.40-3058.40] 是否有也是已經有其他同業
[3058.40-3061.40] 在發展類似的一些策略
[3061.40-3062.40] 有的
[3062.40-3064.40] 這個大陸的1歐很多
[3064.40-3066.40] 所以呢
[3066.40-3070.40] 你看乙二醇的產能上面就是要1歐嘛
[3070.40-3072.40] 所以相對的大陸的1歐也是很多
[3073.40-3075.40] 那至於說
[3075.40-3078.40] 所謂的大宗的這種特化品
[3078.40-3080.40] 基本上的工藝呢
[3080.40-3081.40] 也大家都會
[3081.40-3084.40] 那至於說再往下深入的話
[3084.40-3087.40] 那就看各自研發的能力了
[3087.40-3090.40] 那以我們揚州廠來看的話
[3092.40-3094.40] 我們先朝大宗的
[3094.40-3096.40] 特用化學品發展
[3096.40-3098.40] 那這個部分呢
[3098.40-3099.40] 各位知道
[3099.40-3101.40] 特化品可以用在日用化學品
[3101.40-3102.40] 建材
[3102.40-3103.40] 還有這個
[3103.40-3105.40] 這個容積啊
[3105.40-3107.40] 等等這樣的一個領域
[3107.40-3109.40] 那在建材的方面呢
[3109.40-3111.40] 我們比較有突破
[3111.40-3113.40] 因為集團呢
[3113.40-3116.40] 遠東集團在那邊有水泥
[3116.40-3117.40] 所以呢
[3117.40-3119.40] 我們對於這個特用化學品
[3119.40-3121.40] 加到水泥的添加劑呢
[3121.40-3122.40] 這個方面呢
[3122.40-3124.40] 自己的這個水泥
[3124.40-3126.40] 水泥相關的產業呢
[3126.40-3127.40] 就在運用了
[3127.40-3128.40] 希望呢
[3128.40-3131.40] 藉此呢也打開整個水泥產業的使用
[3131.40-3132.40] 這個部分建材
[3132.40-3135.40] 這個是可以舉的一個實例
[3135.40-3137.40] 那日用化學品呢
[3137.40-3139.40] 我們採用譬如說代工啊
[3139.40-3142.40] 等等大量代工的這種方式來去化我們的E.O.
[3142.40-3146.40] 也是有幾個固定的大客戶
[3146.40-3148.40] 因為大陸的人口就這麼多嘛
[3148.40-3151.40] 每天都要用日用化學品啊
[3151.40-3154.40] 所以這是一個消耗品消費品
[3154.40-3155.40] 所以
[3155.40-3156.40] 雖然呢
[3156.40-3159.40] 這個價格是相當的競爭
[3159.40-3160.40] 但是
[3160.40-3162.40] 我們還要
[3162.40-3165.40] 還是可以接到一些不錯的訂單
[3165.40-3166.40] 以上
[3186.40-3187.40] 不好意思我打斷一下
[3187.40-3188.40] 龍徽這邊
[3188.40-3191.40] 我想大家的問題也都差不多
[3191.40-3193.40] 那如果是後續呢
[3193.40-3195.40] 如果各位這個分析師
[3195.40-3200.40] 有想到任何相關的問題的話
[3200.40-3202.40] 歡迎給我來電
[3202.40-3203.40] 或者是E-mail
[3203.40-3205.40] 我都在
[3205.40-3207.40] 好OK
[3207.40-3209.40] 那如果各位投資最近沒有其他問題
[3209.40-3212.40] 我想因為會議時間也超過一個小時
[3212.40-3215.40] 那協力他們還有另外一個會議要開
[3215.40-3218.40] 我們這次今天的會議進行到這邊
[3218.40-3220.40] 好的謝謝大家參加
[3220.40-3221.40] 謝謝
[3221.40-3222.40] 日夜裡
[3222.40-3223.40] 還有講解裡這邊
[3223.40-3226.40] 還有經理這邊
[3226.40-3227.40] 那也謝謝投資先進
[3227.40-3229.40] 我們會到這邊告一段落
[3229.40-3230.40] 謝謝大家參加
