[0.00-2.60] 法人及媒體朋友午安
[1879.16-1881.16] 謝謝你的報告
[1881.16-1883.16] 線上媒體朋友提問
[1883.16-1885.16] 1、匯率上半年波動劇烈
[1885.16-1887.16] 近期表現回穩
[1887.16-1890.16] 對於未來總經營匯率的走勢看法
[1890.16-1893.16] 2、請問合庫銀行目前房貸餘額多少
[1893.16-1898.16] 銀行法72之2比率及不動產放款及中度為多少
[1898.16-1902.16] 對於下半年房貸儲件容的業務展望為何
[1902.16-1905.16] 3、請問合庫銀行下半年的投資策略
[1905.16-1908.16] 股票及債券部位可能縮減嗎
[1908.16-1911.16] 對財股以及美債的展望
[1913.16-1915.16] 好,謝謝提問
[1915.16-1918.16] 這個問題我想順便來請我們的
[1918.16-1923.16] 合庫金控所習經濟學家及合庫投庫的董事長
[1923.16-1926.16] 習前提,董事長來答覆
[1926.16-1930.16] 還有第二個問題就是請個金法金的主管
[1930.16-1932.16] 法金金是真部裡
[1932.16-1935.16] 個金是我們的蔡協理人
[1935.16-1937.16] 蔡仁德協理
[1937.16-1940.16] 最後一個問題就是請財務部的陳協理來報告
[1940.16-1942.16] 以上
[1942.16-1944.16] 那是美女朋友的提問
[1944.16-1948.16] 有關於未來總經跟匯率走勢的看法
[1948.16-1951.16] 先就總體經濟的部分來說
[1951.16-1955.16] 主要大家都知道受到美國貿易政策的干擾
[1955.16-1959.16] 所以目前全球經濟最大的威脅就是
[1959.16-1962.16] 不確定性一直持續的存在
[1962.16-1967.16] 這個就是影響廠商的投資、下訂單等等這些決策
[1967.16-1969.16] 不過所幸就是說
[1969.16-1973.16] 這個不確定性目前看起來是有慢慢在動化的情況
[1973.16-1976.16] 那另外就是說稅率的部分
[1976.16-1980.16] 因為稅整關稅從4月2號解放日宣布開始
[1980.16-1984.16] 這個時勢的時程一直在往後的推遲
[1984.16-1989.16] 所以影響的話就是全球經濟短期內我們看到
[1989.16-1993.16] 反而是有一個提前備貨跟提前消費這樣的效應
[1993.16-1995.16] 所以目前這個負面
[1995.16-1999.16] 美國的相關的政策對全球經濟的負面影響
[1999.16-2003.16] 其實還沒有很明顯的顯現
[2003.16-2009.16] 那譬如說IMF它7月底發布的世界經濟感望的報告
[2009.16-2014.16] 就預估今年全球的經濟成長率會從4月的2.8%
[2014.16-2016.16] 還上修到3%
[2016.16-2021.16] 那明年的部分也是3.0%上修到3.1%
[2021.16-2026.16] 所以這個其實目前對全球經濟的展望
[2026.16-2032.16] 其實還是蠻就是不會是太悲觀的
[2032.16-2035.16] 那如果各國來看的話
[2035.16-2039.16] 那也是因為美國的廠商它在因應這個關稅的衝擊
[2039.16-2043.16] 所以有一個提前下單備貨的這樣子的動作
[2043.16-2045.16] 所以其實今年上半年
[2045.16-2049.16] 包括歐洲日本還有台灣的經濟成長率都受到這個影響
[2049.16-2051.16] 所以都比預期要好
[2051.16-2052.16] 所以整體來說的話
[2052.16-2057.16] 目前就各機構預估關稅對經濟的衝擊
[2057.16-2061.16] 比原先一開始的時候預期是來得比較低的
[2061.16-2070.16] 那這個就這個就國際的經濟情勢的這個一個展望
[2070.16-2071.16] 那國內的部分
[2071.16-2074.16] 那相信大家也有注意到就是在8月15號
[2074.16-2081.16] 主席總署已經把今年台灣的經濟成長率大幅上修到4.45%
[2081.16-2085.16] 那這個比就相較於其實各預測機構
[2085.16-2089.16] 之前大概都是認為大概在3%左右
[2089.16-2090.16] 所以上調非常的大
[2090.16-2093.16] 大概上調了1.3個百分點左右
[2093.16-2099.16] 所以修正幅度也是歷年大概是屬於最高的情況之一
[2099.16-2102.16] 那這個主要的原因是因為還是一樣
[2102.16-2107.16] 就是AI這個新興科技的應用需求非常的強勁
[2107.16-2110.16] 所以帶動台灣的電子零組件
[2110.16-2112.16] 還有資通訊產品
[2112.16-2116.16] 就是我們的主力出口的大幅的擴增的關係
[2116.16-2119.16] 那所以像這個主力總署
[2119.16-2123.16] 他預估這個今年全年的商品出口的年增率高達24%
[2123.16-2126.16] 也是歷史的新高的紀錄
[2126.16-2130.16] 所以這個這個部分就是台灣的情況
[2130.16-2133.16] 不過相對來說傳統產業
[2133.16-2138.16] 他對於關稅還有匯率的承受度就比這個相較於電子業等等
[2138.16-2140.16] 因為他的毛利率比較低
[2140.16-2143.16] 所以他的承受能力也是比較弱的
[2143.16-2146.16] 所以這部分可能要比較注意
[2146.16-2149.16] 也需要這個政府更多的支持
[2149.16-2151.16] 那至於匯率的部分
[2151.16-2156.16] 就是我從這個美元指數的角度來看好了
[2156.16-2159.16] 就是說因為現在市場普遍
[2159.16-2164.16] 都一面倒認為年準會會在9月下旬
[2164.16-2168.16] 所以這個美元當然就是會有一些壓力
[2168.16-2170.16] 可能會偏弱
[2170.16-2172.16] 那另外就是最近有一些這個
[2172.16-2173.16] 像Fed的獨立性
[2173.16-2175.16] 受到政治干預的一些質疑
[2175.16-2177.16] 引發這個市場擔憂
[2177.16-2180.16] 那另外就是美國財政的問題
[2180.16-2183.16] 也會這個讓這個對美元資產的信心
[2183.16-2185.16] 會有一個比較不好的影響
[2185.16-2189.16] 所以這個美元這個趨弱的趨勢
[2189.16-2193.16] 還是大致上是一個比較大的共識
[2193.16-2197.16] 那反過來說就是說各國的匯率
[2197.16-2200.16] 其實除了受到美元的走勢之外
[2200.16-2203.16] 還是受到各國的個別的進出口
[2203.16-2207.16] 還有他的外資匯出入等等
[2207.16-2209.16] 還有央行政策的影響
[2209.16-2212.16] 所以這幾點是未來可以判斷
[2212.16-2216.16] 這個新台幣未來走勢的一個觀察的方向
[2216.16-2218.16] 以上 謝謝
[2228.16-2231.16] 各位媒體朋友大家好
[2231.16-2233.16] 有關我們合庫的房貸餘額
[2233.16-2237.16] 目前大概在8500億左右
[2237.16-2239.16] 在72條之二的這個比例
[2239.16-2243.16] 大概是介於28到28.5左右
[2243.16-2246.16] 這個不斷的這個在更新和浮動
[2246.16-2249.16] 那其中度的部分我們是在
[2249.16-2253.16] 各銀行平均值大概在36.9以下
[2253.16-2258.16] 那也是在這個36點多這樣的一個幅度
[2258.16-2261.16] 那預計我們這個下半年的這個房貸
[2261.16-2264.16] 目前的申請量還是非常的大
[2265.16-2268.16] 那合庫還是以自住型的房貸
[2268.16-2271.16] 手購、清安為主
[2271.16-2275.16] 那還有這個政府重視的換屋主
[2275.16-2279.16] 也是我們這個主要的一個承做的對象
[2279.16-2283.16] 那以下的部分就是請我們法經部
[2283.16-2287.16] 來報告這個土建龍的這個談話
[2294.16-2298.16] 那合庫銀行對於下半年的土建龍貸款動能
[2298.16-2300.16] 將會審慎看待
[2300.16-2302.16] 謝謝
[2304.16-2307.16] 好 那回答媒體朋友的提問
[2307.16-2310.16] 就是有關於我們合庫銀行
[2310.16-2312.16] 下半年的一個投資策略
[2312.16-2316.16] 那我想就是分為股市跟債市來看
[2316.16-2319.16] 那在這個房貸的這個部分
[2319.16-2322.16] 我們也會有一個投資策略
[2322.16-2326.16] 那在股市方面其實就是說
[2326.16-2329.16] 國際上的那個政治經濟不確定的因素
[2329.16-2331.16] 其實還是蠻多的
[2331.16-2333.16] 那所以我們在股市的一個投資
[2333.16-2335.16] 我們都是比較穩健的
[2335.16-2339.16] 所以會選擇營運穩健去培習能力的機油股
[2339.16-2340.16] 來做投資
[2340.16-2344.16] 那由於就是說出圈期旺季也已經過了
[2344.16-2347.16] 但是我們會看產業的一個前景
[2347.16-2351.16] 來做一些太弱流強的一個調整
[2351.16-2355.16] 那在市方面主要就是說那個
[2355.16-2357.16] 市場的利率也是劇烈的波動
[2357.16-2361.16] 特別是一個美國債券的一個波動
[2361.16-2365.16] 那剛剛我們首席經濟學家也有講到就是說
[2365.16-2367.16] 大家普遍的預期就是那個
[2367.16-2371.16] 費的即將在九月份的FOMC會議當中
[2371.16-2375.16] 可能這次會調降利率的機率是相當的高的
[2375.16-2377.16] 不過市場都已經反應了
[2377.16-2380.16] 但是也有一個看法就是說
[2380.16-2382.16] 它只是預防性的降息
[2382.16-2384.16] 那後續未必會持續降息
[2384.16-2389.16] 所以因此長端的利率反而是有所波動彈升的
[2389.16-2392.16] 所以這個部分在美債的部分
[2392.16-2397.16] 我們還是會慎審慎的評估分批建置部位
[2397.16-2400.16] 並且控管我們整體部位的程序期間
[2400.16-2402.16] 那投資部位的部分的話
[2402.16-2406.16] 我們都是會看我們資金的狀況來彈性調整
[2406.16-2409.16] 那最後一個問題是
[2409.16-2411.16] 有關於台股跟美債的轉彎
[2411.16-2415.16] 剛剛就是我們首席經濟學家也有講到就是說
[2415.16-2420.16] 我們台灣的話那個產業在半導體AI相關的產業引領之下
[2420.16-2425.16] 其實就是資金的關注多半都在這些產業
[2425.16-2429.16] 那另外就是說新台幣的資金算是通配的
[2429.16-2434.16] 那所以並且也有很多自然人的投資人
[2434.16-2437.16] 非常有紀律的投資定期進流的一個扣款
[2437.16-2440.16] 所以對於我們這個股市來說
[2440.16-2443.16] 其實是一個蠻下的注意
[2443.16-2447.16] 所以如果說要跌的話好像也不太容易
[2447.16-2453.16] 所以這個部分再加上主計總處預估的經濟成長率
[2453.16-2455.16] 整個是上修的
[2455.16-2459.16] 所以對未來的展望我們是審慎樂觀的看待
[2459.16-2462.16] 那美債的部分剛才已經有提到就是說
[2462.16-2469.16] 由於聯準會的一個降息的一個預期性的話
[2469.16-2473.16] 那其實利率的波動也是蠻大的
[2473.16-2477.16] 但是比較之前就是對等關稅實施的時候
[2477.16-2481.16] 大家對於美債有點失去信心
[2481.16-2484.16] 那目前其實已經逐漸恢復了
[2484.16-2489.16] 畢竟美國的債券還是就是高品質的一個流動性資產
[2489.16-2495.16] 所以變成說再加上川普政府感覺上對於美債的利率
[2495.16-2497.16] 如果談得過高的話
[2497.16-2500.16] 他也會出手來維持一個穩定
[2500.16-2503.16] 所以目前看起來對美債的展望的話
[2503.16-2507.16] 應該還算是比較審慎樂觀
[2507.16-2511.16] 但是布局的話就是要隨著利率的一個波動的話
[2511.16-2514.16] 來審慎選擇進出的一個時間點
[2514.16-2515.16] 好 以上
[2516.16-2518.16] 現場媒體朋友提問
[2518.16-2522.16] 請問荷規銀行上半年還有房貸新陳作樣
[2522.16-2525.16] 餘額有較去年底成長嗎
[2527.16-2529.16] 謝謝提問
[2529.16-2532.16] 那這個問題我請各進步的蔡協力來答
[2532.16-2535.16] 好 那各位媒體朋友
[2535.16-2538.16] 我們上半年的這個房貸
[2538.16-2540.16] 大概較去年底
[2540.16-2543.16] 大概成長到五到七趴
[2543.16-2544.66] 5到7%
[2544.66-2545.66] 這個時間
[2545.66-2549.16] 那這個整個目前的承作的狀態
[2549.16-2551.16] 因為量非常的大
[2551.16-2553.66] 那管控的方式其實我們
[2553.66-2555.66] 就是還是以主要
[2555.66-2558.16] 我們本行逐漸為主
[2558.16-2560.16] 這樣的一個貸款
[2560.16-2562.66] 基本上以核准的案件
[2562.66-2565.16] 我們大概會盡快的
[2565.16-2566.66] 給他這個
[2566.66-2568.66] 讓他在今年度
[2568.66-2570.16] 一定會讓他來播放
[2570.16-2571.16] 大概以上是這樣
[2571.16-2572.16] 謝謝
[2574.16-2576.16] 線上媒體朋友提問
[2576.16-2579.16] 目前土建龍餘額為何
[2579.16-2581.16] 以及今年的承作情形為何
[2581.16-2584.16] 請問合庫銀行分批防貸承作情形
[2584.16-2586.16] 及管控措施為何
[2587.16-2588.16] 謝謝請問
[2588.16-2589.16] 因為有兩個問題
[2589.16-2591.16] 第一個問題我想請我們的
[2591.16-2593.16] 法經部的曾副理來答覆
[2593.16-2595.16] 那第二個問題還是請我們
[2595.16-2597.16] 各經部的蔡協理來回答
[2599.16-2600.16] 謝謝提問
[2600.16-2601.16] 有關於已經
[2601.16-2603.16] 目前土建龍的餘額
[2603.16-2605.16] 是跟去年底相當
[2605.16-2607.16] 其他有關於防貸的部分
[2607.16-2609.16] 就請各經部協理補充
[2614.16-2616.16] 我們今年這個防貸
[2616.16-2619.16] 大概上半年剛有講過了
[2619.16-2623.16] 大概我們的餘額大概在8500億
[2623.16-2625.16] 那我們去年底的這個金額
[2625.16-2628.16] 大概也在8000億左右
[2629.16-2631.16] 那未來在這個部分
[2631.16-2639.16] 我們預計大概還有6600億的這個金額
[2639.16-2643.16] 在目前在申請當中
[2643.16-2646.16] 所以說這個金額真的是非常的大
[2646.16-2648.16] 那我們的管控的方式
[2648.16-2649.16] 其實剛有講過就是
[2649.16-2652.16] 主要我們已經核准的
[2652.16-2654.16] 案件核定核准的
[2654.16-2657.16] 我們一定讓它在今年能夠活待
[2658.16-2660.16] 那其他的部分
[2660.16-2664.16] 這個地方也會依我們的防環的狀態
[2664.16-2667.16] 看是否這個有何度
[2667.16-2670.16] 再控出來給這些客戶來承受
[2670.16-2672.16] 大概以上是這樣
[2672.16-2673.16] 謝謝
[2678.16-2680.16] 線上同志連提問
[2680.16-2683.16] 請問核庫立差下降的原因為何
[2683.16-2685.16] 好 謝謝
[2685.16-2686.16] 這個問題
[2686.16-2690.16] 我們請銀行的會計部會議員說明
[2694.16-2696.16] 好 謝謝這個
[2696.16-2698.16] 各位客戶的提問
[2698.16-2701.16] 現在就是有關我們存放款的立差
[2701.16-2702.16] 台幣的部分
[2702.16-2705.16] 主要是受到去年3月台幣升息
[2705.16-2708.16] 放款的利率是落後反應影響
[2708.16-2711.16] 所以使得全年我們整體的台幣立差
[2711.16-2714.16] 較去年同期是微幣下降了3個BP
[2714.16-2716.16] 至於在外幣的立差部分
[2716.16-2719.16] 主要是外幣的放款量的增幅
[2719.16-2722.16] 遠大於外幣存款量的增幅
[2722.16-2725.16] 再加上美國聯準會從去年9月起
[2725.16-2727.16] 啟動了降息循環
[2727.16-2730.16] 截至目前已經累計降息了14碼
[2730.16-2732.16] 使得114年截至6月底
[2732.16-2734.16] 外幣的存放款利率
[2734.16-2736.16] 低到113年同期下降
[2736.16-2739.16] 另外是外幣存放款立差
[2739.16-2740.16] 相較於台幣
[2740.16-2741.16] 下降的幅度比較多
[2741.16-2745.16] 要多約下降了4.8個BP以上說明
[2747.16-2749.16] 線上媒體朋友提問
[2749.16-2752.16] 請問核庫怎麼看國內穩定幣的發展
[2753.16-2755.16] 好 這不是很夯的問題
[2755.16-2759.16] 這個問題我們請我們的核庫金庫首席經濟學家
[2759.16-2761.16] 徐謙提博士來回答
[2763.16-2765.16] 好 現在媒體的提問
[2765.16-2767.16] 這問題有一定的複雜度
[2767.16-2770.16] 可能今天時間這個有些沒辦法
[2770.16-2772.16] 把它說得很清楚
[2772.16-2773.16] 大致上就是說
[2773.16-2776.16] 最近近期穩定幣的議題會這麼熱門
[2776.16-2779.16] 當然主要是因為美國的政府
[2779.16-2780.16] 就是美國總統川普
[2780.16-2783.16] 他一上任就發布了兩個行政命令
[2783.16-2785.16] 有關於穩定幣的發展
[2785.16-2788.16] 那美國他有他的戰略的考量
[2788.16-2792.16] 就是希望能夠透過穩定幣的合規合法
[2792.16-2794.16] 然後給予一些規範
[2794.16-2797.16] 特別是針對穩定幣的發行商
[2797.16-2800.16] 穩定幣的發行商規定他這個儲備裡面
[2800.16-2802.16] 有很大一部分要去買美債
[2803.16-2805.16] 所以他是有他的這個
[2805.16-2808.16] 支撐美債的這樣子的戰略的動機跟考量
[2809.16-2813.16] 那所以當然這個這樣子的這個大政策的趨勢之下
[2813.16-2816.16] 各國對於穩定幣當然就是開始
[2816.16-2820.16] 也會有這樣子的發展的這樣子的突破性
[2820.16-2823.16] 包括香港等等這些國家
[2823.16-2825.16] 就是各自有推出一些政策
[2825.16-2828.16] 那穩定幣就是說他顧名思義
[2828.16-2831.16] 就是他其實就是一個支付的
[2831.16-2833.16] 最主要的用途就是在於支付
[2833.16-2836.16] 因為他是對法幣是1比1的這個對應
[2837.16-2840.16] 那所以目前就是說他最主要的功能
[2840.16-2842.16] 還是在怎麼樣跟這個加密
[2842.16-2845.16] 其他加密貨幣中間做一個對接
[2845.16-2847.16] 這個是他最重要的功能
[2847.16-2849.16] 那至於台灣的話
[2849.16-2851.16] 台灣一直就是說
[2851.16-2857.16] 就是說台灣的我們的押航很早就開始在演繹
[2857.16-2861.16] 也正在這個演繹就是在發展這個CBDC
[2861.16-2864.16] 就是中央銀行數位貨幣
[2864.16-2867.16] 那所以這個穩定幣國內的穩定幣
[2867.16-2871.16] 如果就是媒體提的是有關於新台幣穩定幣的話
[2871.16-2875.16] 那這個要看他跟CBDC的這個
[2875.16-2878.16] 彼此之間怎麼樣去這個協調
[2878.16-2881.16] 發展的這樣的角度來看
[2881.16-2885.16] 那就是說如果你把這個國內的穩定幣
[2885.16-2887.16] 看成是一種支付的工具
[2887.16-2892.16] 那因為台灣的這個電子支付的這個環境
[2892.16-2894.16] 已經非常的成熟了
[2894.16-2896.16] 所以有沒有必要去發行
[2896.16-2898.16] 國內新台幣的穩定幣
[2898.16-2901.16] 真的是可以再看看市場的需求
[2901.16-2904.16] 但是如果你要看的是如何未來
[2904.16-2907.16] 就是國際上的美元穩定幣
[2907.16-2910.16] 他如果作為一個國際支付的架構跟工具
[2910.16-2913.16] 特別是他如果有可能取代未來這個
[2913.16-2917.16] SWIFT類似這樣的美元支付體系的時候
[2917.16-2919.16] 那如果國內沒有這個很及時的
[2919.16-2921.16] 或者說跟上國際的潮流
[2921.16-2927.16] 或者說能夠因應這個客戶的需求的話
[2927.16-2931.16] 那這個或許在中長期的話
[2931.16-2933.16] 我們可能要就是說避免
[2933.16-2936.16] 就是台灣在這個新的支付體系裡面
[2936.16-2940.16] 被這個邊緣化的這樣子的威脅或者貢獻
[2940.16-2942.16] 以上簡單的說明
[2946.16-2949.16] 好 目前問題已回覆完畢
[2949.16-2952.16] 我想今天的提問就到此告一段落
[2952.16-2954.16] 感謝各位熱情的參與
