[0.00-12.98] 各位凱基的客户大家午安
[1631.52-1635.62] 好像只有在搬运但是其实在汽车业上手臂也是有在做组装的
[1635.62-1636.38] 没错
[1636.38-1639.98] 而且其实手臂的来源或者是一刚开始的
[1639.98-1643.82] 会有手臂的来源其实是因为汽车业的关系
[1643.82-1644.58] 但是
[1644.58-1648.16] 除了在汽车业以外我们还有很多不一样的产品
[1648.16-1649.44] 我们身边现在
[1649.44-1652.78] 现在大家也都有的我相信现在法人身上也都有的
[1652.78-1653.80] 这个可能电脑
[1653.80-1655.34] 3C的产品
[1655.34-1656.62] 因为现在大家都很需要
[1656.62-1658.16] 或者是手机等等的
[1658.16-1660.72] 但是在这么小产品线上
[1660.72-1665.32] 其实大家会发现自动化的程度是非常低的
[1665.32-1669.68] 大家也会发现我们在讲的这个自动化工厂自动化智慧化
[1669.68-1674.28] 其实是没有大家想象中的那么简单
[1674.28-1675.56] 那
[1675.56-1682.74] 所以我觉得在这一块要再进一步的话就会很需要我们的微型机械手臂
[1682.74-1686.32] 这也是刚刚提到的像其实这些PCB的电路板
[1686.32-1687.08] 在
[1687.08-1688.88] 组装上面的自动化
[1688.88-1690.42] 的
[1690.42-1692.98] 整体其实也是还是非常低
[1692.98-1694.76] 还是非常的仰赖人工
[1696.04-1699.12] 那我们刚刚我一直提到就是希望我们的手臂
[1699.12-1701.42] 他因为很小嘛所以我们把它的定位
[1701.42-1702.96] 就在于他的精度
[1702.96-1705.00] 我们他可以达到非常高的精度
[1705.00-1710.64] 在协作型的部分的话他的重复精度可以达到正负5个麦孔
[1710.64-1711.40] 那
[1711.40-1713.72] 工业型的话可以达
[1713.72-1714.48] 可以达到正负5个麦孔协作型的话可以达到正负5个麦孔
[1714.48-1715.00] 协作型的话可以达到正负5个麦孔
[1715.00-1715.50] 协作型的话可以达到正负5个麦孔
[1715.50-1716.02] 协作型的话可以达到正负5个麦孔
[1716.32-1718.62] 协作型的话可以达到正负5个麦孔
[1718.62-1722.20] 那所以这些东西的我们就是希望我们的手臂可以
[1722.20-1725.28] 这么小然后来做一些比较精细的动作
[1725.28-1730.14] 来实现对于其他除了汽车业刚刚我们讲到那些比较微型的东西
[1730.14-1730.92] 的
[1730.92-1731.42] 工厂
[1731.42-1732.70] 工业自动化
[1732.70-1739.62] 然后还有工厂在组装上面的自动化
[1739.62-1742.68] 那其实刚刚一直有提到说现在的产线
[1742.68-1743.72] 其实
[1743.72-1746.28] 还是以这个可能人工的方式啊
[1746.28-1749.60] 来来做人工的流水线的方式
[1749.60-1751.66] 那人工当然有一个很
[1751.66-1754.48] 很大的好处就是他弹性很高嘛
[1754.48-1757.04] 所以他当然换线也会比较容易
[1757.04-1760.62] 那组装的弹性你可能现在就可以就可以比较高
[1760.62-1762.66] 这也是为什么我们说人
[1762.66-1765.22] 很难去取代就是真的做到最后因为他
[1765.22-1772.90] 除了手部的部分他还有眼睛所以最后要整个取代人为什么这么一直这么困难的原因
[1772.90-1775.72] 但是以人为主的这个工作当然还是会
[1775.72-1776.24] 很大的
[1776.24-1777.00] 这个
[1777.00-1778.80] 衍生出来的一个问题就是
[1778.80-1780.84] 品质可能会比较不稳定的部分
[1780.84-1782.38] 还有一个就是我们将
[1782.38-1787.76] 终将面临的一个很大问题就是缺工的问题
[1787.76-1789.80] 那第二个现在也很常见的
[1789.80-1792.36] 组装产线就是
[1792.36-1793.64] 专用机的方式
[1793.64-1795.44] 专用机然后或者是
[1795.44-1797.74] 只有专用机或专用机搭配这个
[1797.74-1799.28] 人力啊等等的
[1799.28-1800.04] 那这个的
[1800.04-1803.38] 部分的话因为他是专用机嘛他只有单一的一个
[1803.38-1805.16] 任务所以他
[1805.16-1806.20] 的优势就会是
[1806.20-1807.48] 但是他可以很高
[1807.48-1810.56] 他可以很高的提高他的产量喔
[1810.56-1811.58] 因为他可以很快
[1811.58-1815.68] 因为他只有一个任务可是他的好处也就是他的坏处
[1815.68-1817.98] 他会让产线变得非常的不弹性
[1817.98-1819.00] 因为他就是给
[1819.00-1820.02] 这个组装
[1820.02-1821.82] 所产生的
[1821.82-1825.14] 那所以根本最后其实不大会有人想说要再去
[1825.14-1828.98] 换这个产线了所以这两个产线其实都会有一个问题就是
[1828.98-1830.00] 他在
[1830.00-1831.28] 空间上面的
[1831.28-1834.10] 配置成本其实是蛮高的他不大
[1834.10-1835.90] 都需要一定的空间配置
[1836.20-1837.48] 那所以
[1837.48-1840.30] 我们结合了这两种
[1840.30-1843.36] 人的弹性然后跟着你但也还是要有你的
[1843.36-1845.16] 产量的提高吗
[1845.16-1846.70] 那还有就是
[1846.70-1848.48] 品质的稳定度
[1848.48-1853.86] 这两个我们结合这两个优势然后值得开发了一个全新的组装方式
[1853.86-1858.48] 也就是我们称他为单站式的自动化组装方式
[1858.48-1861.28] 那从名称就可以知道
[1861.28-1864.10] 他是一个一站式的组装也就是一个
[1864.10-1865.38] 产品他可以
[1865.38-1866.16] 在我们的组装上
[1866.16-1867.18] 组装台上
[1867.18-1869.24] 从头到尾的被组装
[1869.24-1872.56] 刚刚这边是一些图示就是我刚刚说的他
[1872.56-1875.12] 我们会看中的比较重要的一些
[1875.12-1879.98] 可以在这里被组装的产品
[1879.98-1883.06] 那这个机台就像我刚刚讲我们尽量去结合
[1883.06-1885.62] 两种不同产品线产品
[1885.62-1887.66] 组装的流程的
[1887.66-1888.44] 优势
[1888.44-1890.22] 所以他不只是保留人
[1890.22-1893.80] 组装的弹性度啊他也有这个自动化所拥有的
[1893.80-1895.34] 高稳定品质
[1895.34-1900.20] 然后再加上我们其实等一下会有一个影片就可以看到他
[1900.20-1905.32] 更真实一点的大小他的整个配置是非常的紧凑的
[1905.32-1908.40] 所以我想在空间利用率上这也是
[1908.40-1911.22] 让我一直提到值得觉得很重要的一个议题
[1911.22-1914.54] 就可以带来一个全新的解决方案
[1914.54-1918.38] 那这个也是我们公司现在最新的专利项目
[1918.38-1924.52] 给大家看一个影片喔
[1924.52-1926.56] 这样可能大家可以更好的想象
[1926.56-1929.64] 那在影片中我们其实是以工业电脑的
[1929.64-1931.44] 组装为例
[1931.44-1932.46] 工业电脑大家
[1932.46-1935.02] 在这里就可以看到他有非常不同的
[1935.02-1938.60] 非常非常多的零件而且是不同形式的零件
[1954.52-1966.30] 那我们在组装区的部分其实没有过多的
[1966.30-1968.08] 过多的字句喔然后
[1968.08-1970.64] 进料的方式也是采
[1970.64-1972.70] 可以拆的进料区
[1972.70-1975.00] 这样你就可以依照使用者
[1975.00-1982.16] 他的需求来更换他想要输入的物料啊以及产品的需求来进行更换
[1982.16-1984.48] 刚刚有提到因为我们的手臂他有一个
[1984.48-1987.04] 比较小所以当然他有一个可能
[1987.04-1990.62] 会让大家比较考虑的地方就是他的臂长比较短
[1990.62-1993.70] 可是我们把他搭载上在我们的这个
[1993.70-1998.56] 线性马达模组上面让他可以扩大他的工作范围
[1998.56-2001.64] 来弥补他这个臂长比较短的部分
[2001.64-2007.78] 然后呢刚刚有提到说我们希望我们的机械手臂他是可以做比较多精细的动作
[2007.78-2010.34] 所以在精细的动作上面呢而且我有提到说
[2010.34-2013.66] 在工业电脑其实有非常不同的零件
[2013.66-2017.24] 那我们怎么做呢我们在针对不同的零件
[2017.24-2018.78] 不同的工序
[2018.78-2025.94] 我们都会去换刀头所以我们称他为自动换刀系统
[2025.94-2030.04] 那我们也搭配AI的视觉这就是我们为什么可以大幅的
[2030.04-2032.86] 减少对线位制剧的依赖
[2032.86-2036.70] 来避免这个太过度专用的事情这件事情
[2036.70-2041.06] 那我们利用AI来做物件的辨识啊定位啊然后
[2041.06-2042.84] 这样就可以让我们实现
[2042.84-2043.62] 看哪里做哪里
[2043.62-2046.94] 因为大家可以看到我们在每一个
[2046.94-2050.54] 机械手臂上面都有一个
[2050.54-2051.56] camera
[2051.56-2055.66] 所以他其实会先看完以后他再去实行他的任务
[2055.66-2073.58] 大家也可以多次看到这个机械手臂的
[2073.62-2074.38] 加图
[2074.38-2080.54] 会依这个目前正在执行的工序的零件所需来用不同的加图
[2080.54-2085.40] 有的时候是吸的啊或者是有时候是用夹取的方式
[2085.40-2093.58] 锁螺丝这个动作这个工序
[2093.84-2095.12] 其实是在
[2095.38-2097.94] 组装上面常常会遇到的一个工序
[2098.70-2101.02] 那所以我们也把锁螺丝这件事情
[2101.26-2102.80] 开发了一个锁螺丝系统
[2103.62-2107.46] 然后把它直接的架在了我们这个
[2107.72-2108.74] 组装机台上面
[2109.00-2113.60] 那根据你可能需要的不同的螺丝的大小啊甚至是形状啊
[2113.86-2114.88] 我们都可以
[2115.40-2118.98] 就是放在这个所自动锁螺丝系统里面然后来去做更换
[2120.26-2125.64] 光是一个工业电脑小小的他需求的螺丝的型号其实也就非常的多
[2133.62-2145.66] 那这边展示的是插件的工作
[2145.90-2152.06] 其实在插件的这边大家也可以
[2152.30-2158.46] 那这边展示的是插件的
[2158.70-2159.74] 工作
[2159.98-2162.04] 其实在插件的这边大家也可以
[2162.30-2163.06] 那这边展示的是插件的
[2163.62-2164.14] 工作
[2192.30-2193.58] 插件的部分
[2193.88-2195.92] 大家也可以看到会有很多不同的
[2196.18-2199.76] 零件大小甚至是深度啊等等这些我们都必须得配合
[2200.28-2204.12] 然后回去自行的开发或是跟我们一些partner去做这个
[2204.38-2205.66] 夹爪上面的开发
[2205.90-2210.26] 那这里也会特别显示到说这是软件的插件其实软件的插件是非常
[2210.78-2213.34] 困难的一件事情因为那个table是
[2213.84-2215.64] 没有办法直接做抓取的
[2217.18-2218.70] 那我们在这里的话是
[2218.96-2221.78] 还是用一个小小的器具刚刚大家看到的
[2222.04-2223.58] 然后用两只手跟一起去玩
[2223.88-2224.38] 完成它
[2224.64-2228.48] 最后这边就是显示我们用多只手臂一起去
[2228.74-2232.58] 来完成这些工作那当然就是提高整体的工作效率
[2234.38-2237.18] 整体的话就会也是会比较安全也比较可靠
[2242.06-2248.20] 那接下来公司也会继续的加强在AI就是机器视觉啊这一块的产品的
[2248.46-2248.96] 开发
[2249.74-2251.02] 然后让机械手臂可以
[2251.26-2253.32] 突破以往可能比较无法实现的过程
[2253.88-2256.70] 工作加强深度的学习让我们在
[2256.94-2258.74] 让我们自己的手臂在应用的
[2259.00-2260.78] 市场的应用面可以更广
[2261.30-2262.06] 更深
[2262.32-2264.62] 然后我相信其实我们在这块已经
[2264.88-2265.90] 准备好
[2266.16-2270.00] 迎接接下来AI机器人在市场即将被大量运用
[2270.26-2271.28] 广泛应用的浪潮
[2272.82-2273.58] 那另外呢
[2274.36-2275.90] 上次其实也有提到说
[2276.14-2281.26] 公司在运动控制上也受到国家单位的青睐与信任在前年开始
[2281.52-2283.58] 我们就陆续与国家太空中心
[2283.88-2284.90] 有不同的合作案
[2285.42-2289.76] 然后像是地面试射啊的中控中心中控系统
[2290.02-2292.58] 或者是低轨卫星用的光学
[2293.34-2297.18] 光学的万象节开发还有以及未来火箭
[2297.44-2298.46] 推动器的合作
[2298.98-2303.58] 那这些呢我相信都可以一起来加强台湾在新建计划中
[2303.84-2306.66] 就是技术的自主掌握度
[2307.18-2310.76] 其实这几个开发案都不大一样有一些是
[2311.02-2312.80] 不说在火箭的推动
[2312.80-2316.64] 合作案里面啊我们可是直接的供给
[2317.40-2321.00] 把我们现在有的零组件直接的做这个
[2321.76-2326.88] 供应那有一些呢像是系统中控系统的部分但就是系统的开发
[2327.14-2329.70] 那或者是这个万象节的部分的话就是一起
[2329.96-2330.72] 来做开发
[2330.98-2334.82] 就我觉得几个合作案会把他特别拿出来讲也是因为我觉得他
[2335.08-2336.10] 特别的凸显
[2336.36-2341.98] 我们目前有的优势可能我们自己有的产品的供应然后还有我们其他一起研发的量能
[2342.80-2345.10] 那大家其实知道说在
[2345.36-2351.50] 要进入太空这个产业啦其实最重要要去突破的还是这个环境上面的
[2352.02-2352.52] 困难
[2352.78-2356.62] 在太空环境啊等等的这都是很严苛的一些条件
[2357.90-2358.68] 但是我想
[2358.92-2362.76] 而且你一般要去有这样测试的环境其实是很困难的
[2363.02-2365.32] 那我们透过跟太空中心的合作
[2365.84-2369.42] 我们也可以在这个研发上面更加的突破啊然后对于这个
[2369.68-2372.50] 相对应提供这个自动化的产品技术
[2372.80-2373.56] 让我们可以在
[2373.82-2377.66] 这个以往对于我们来说比较狭隘的应用项目里面有比较大的突破
[2378.94-2379.96] 那去年
[2380.22-2382.28] 的时候呢我们也有受邀太空中心
[2382.78-2384.06] 的展览
[2384.32-2386.88] 然后我们去那边展出的时候其实当然不止
[2387.14-2393.28] 跟我们自己的太空中心啊我们还有跟其他可能太空航太的一些公司有做了很多的接触
[2393.80-2395.32] 然后来思考我们可以
[2395.58-2397.38] 怎么样去做结盟的可能性
[2397.88-2402.76] 希望然后当然我们自动控制的这个实力因为当时也会有一些其他的
[2403.06-2404.84] 国家的太空中心
[2405.10-2407.66] 不是太空的一些单位也会参加
[2407.92-2410.48] 那个时候也有受到蛮大的关注
[2411.50-2412.78] 接着
[2413.56-2417.64] 就是今年其实我们也都有在陆续签新的合作案
[2417.90-2419.70] 那主题其实还是以这个
[2419.96-2424.82] 低轨卫星所需要发射低轨卫星所需要的软体硬体去做开发
[2429.68-2432.76] 接着我们小小的讲一下财务报告的部分
[2433.06-2436.12] 小小是因为就刚有提到其实我们
[2436.38-2439.96] 所有的数字啊都已经在我想2月底的时候
[2440.22-2444.84] 有跟着财报就是有一起公开了吗所以我想大家其实大概都看得到
[2445.34-2447.64] 那我们在2024年
[2447.90-2450.98] 大家其实可以看到说占比但还是以线性滑轨
[2451.48-2453.02] 尤其是微型
[2453.28-2457.12] 最大的占比但是大型的也有成长
[2457.64-2458.66] 那限码也是
[2459.16-2459.94] 所以还是有在
[2460.20-2462.24] 虽然说整个经济整体
[2462.50-2463.52] 会受到影响
[2463.78-2465.06] 但是我想我们还是
[2465.56-2467.36] 尽量非常稳健的
[2467.62-2468.38] 方式在成长
[2472.22-2478.12] 那接下来是我们在各地区的营收的占比其实一直都差不多就是我们还是以外销为主
[2481.96-2487.58] 这里就有做一下总结说外销跟2024年跟2023年都
[2487.84-2488.36] 差不多
[2492.24-2496.34] 那这里再让大家看一下这个毛利率和美股盈余的趋势
[2498.38-2499.40] 那毛利率
[2499.66-2503.76] 当然有稍稍的下降可是还是在40%
[2504.02-2506.06] 我想这也是一个蛮好的数字跟
[2506.32-2508.36] 不论在产业或者是同业别里面
[2514.52-2517.08] 那鼓励政策的部分去年的
[2517.32-2519.88] 鼓励我们会发现金鼓励0.7
[2520.40-2521.94] 我们其实也还是一直都并持着
[2522.24-2523.78] 不论怎么样就是
[2524.28-2527.88] 赚钱了要以最大的程度去回馈给我们的股东们
[2534.28-2536.84] 那前面讲了这么多还是想要
[2537.34-2538.12] 再
[2538.88-2541.96] 总结一下我们的这个竞争的利基
[2542.46-2543.74] 那大家一刚开始
[2544.00-2545.02] 提到的说我们
[2545.28-2548.36] 有很大在产品线上的设计我们对于工业的支持
[2548.86-2549.88] 还有坚持
[2550.40-2551.16] 都是
[2551.68-2552.20] 可能当然很少
[2552.50-2553.52] 受到很大的这个
[2553.78-2555.32] 德国的品质要求
[2555.56-2559.16] 然后可是我们在台湾生产所以我们带有很高的弹性
[2559.40-2561.20] 所以在同样的品质下我相信
[2561.46-2562.48] 绝对找不到
[2562.74-2564.02] 像我们这样子的
[2564.28-2564.78] 这个
[2566.84-2568.36] 有这么有竞争价
[2568.62-2570.16] 竞争的这个价格
[2570.68-2576.04] 然后跟我们刚有讲到说我们在世界各地自己的子公司然后跟我们在
[2576.30-2579.12] 很多的经销商代理商世界各地的
[2579.38-2582.20] 让我们可以提供所有在地的客户
[2582.50-2583.78] 很及时的
[2584.80-2586.08] 供货交货
[2586.34-2587.88] 然后非常稳定的交期
[2588.38-2590.18] 还有当然也是有一些
[2590.68-2591.96] 在地的技术服务
[2598.62-2602.46] 我想这个JAPPT就是主要跟之前
[2602.98-2604.76] 法说比较不一样的地方
[2605.02-2607.84] 那我想人行机器人机器人这个主题
[2608.10-2608.86] 应该是现在
[2609.88-2611.16] 最夯最夯的话题
[2611.42-2615.26] 无论是什么样产业其实都围绕的这个产业在说或者是
[2615.52-2617.56] 希望跟这个产业有一些相关
[2626.52-2631.38] 那当然人行机器人其实像人行跟非人行其实都非常的夯
[2631.90-2633.68] 那大家之前知道的就是
[2633.94-2634.46] 这一块
[2636.00-2637.28] 就是我们本来就有
[2637.52-2639.84] 值得本来就因为有我们自己的
[2640.08-2640.60] 这个
[2641.16-2644.24] 滴滴马达然后我们自己的驱动器啊
[2644.74-2647.30] 然后编码器啊光学盘等等的
[2647.56-2650.88] 所以我们本来就有在零组件上可以供应给
[2651.14-2653.44] 人行机器人这些零组件的
[2653.70-2654.22] 能力
[2655.50-2659.60] 但市场趋势其实就是AI这个非常快速的发展
[2659.84-2663.44] 那刚讲到人行非人行其实现在应用的场域
[2663.68-2664.20] 也不是
[2664.46-2670.60] 只是我们可以看到很多影片吗也不是只有在工业上面了其实那个应用的场景啊是越来越多的产业
[2671.16-2672.44] 有时候甚至是
[2672.70-2674.24] 就是我们说家庭上面的啊
[2674.48-2675.76] 然后工业上面就是
[2676.02-2676.80] anyway都是
[2677.30-2680.12] 然后还有一些甚至在医疗场上面的
[2680.38-2680.88] 应用
[2681.40-2682.94] 应用层面越来越广
[2683.96-2686.52] 那其实大家很多的都注重在
[2687.28-2688.82] 现在非常夯的这个
[2689.08-2694.46] AI的部分那其实一个机器人他要去执行他的任务
[2694.72-2696.00] 从他收到他的任务
[2696.24-2698.30] 到他去执行他其实第一他要
[2698.56-2699.84] 很快速的去了解
[2700.34-2701.12] 他的任务的意义
[2701.42-2701.92] 是什么
[2702.44-2703.46] 然后他要去
[2703.72-2705.26] 可以自主的观察
[2705.52-2707.04] 现在他的环境是怎么样
[2707.56-2711.66] 然后他要去可以推理他任务的流程啊去生成他任务的流程
[2711.92-2714.98] 然后后面他要自主的可以去控制他的肢体
[2715.50-2717.28] 然后以让他来去玩
[2717.54-2719.60] 就是准确的完成他的任务
[2720.10-2725.48] 那在大家在会知道说我前面提到的几个重要的部分就是在大脑思考这一块
[2725.74-2727.28] 这块也是其实
[2728.30-2730.60] 机器人里面现在最夯的这一块
[2731.42-2733.46] 就是大家其实都非常的聚焦在大脑的
[2733.72-2736.54] 训练啊因为大脑就是要去接收他任务
[2736.80-2738.08] 还有他的
[2738.32-2740.64] 现在思考的模式的部分
[2741.14-2742.42] 但是其实
[2742.68-2747.04] 在机器人的开发中小脑技术其实也是非常重要的
[2747.28-2749.08] 小脑是实现平衡
[2749.34-2751.38] 跟协调运动的核心
[2751.64-2754.20] 这也就是为什么我们常常有时候会看到一些影片
[2755.22-2757.52] 那个机器人不是说像人形机器人他可能好像
[2757.78-2759.84] 跳舞跳跳跳跳到一半就突然
[2760.08-2760.60] 有点荡击喔
[2760.60-2761.12] 或是走路一半就突然有点荡击喔
[2761.32-2762.40] 走到一半他的
[2762.66-2763.94] 就突然摔倒等等的
[2764.20-2766.24] 其实小脑的开发也是非常的重要
[2766.50-2767.52] 那小脑就是在
[2768.28-2772.38] 专门在接受这样子的平衡啊去做一些运动平衡的指令等等
[2778.78-2780.32] 那我想
[2780.58-2786.72] 这边特别想要透过这一张PPT要说的就是我们在产品开发接下来的策略
[2787.74-2790.04] 我们其实希望聚焦于在
[2790.30-2790.82] 小脑
[2791.12-2791.88] 机器人小脑的
[2792.14-2793.94] 还有实际躯体
[2794.44-2796.50] 实际不论是哪一种形态
[2796.76-2798.80] 像人形或者是非人形的部分
[2799.06-2800.34] 的躯干的开发
[2800.84-2802.90] 这是我们接下来在机器人的部分
[2803.16-2804.18] 想要
[2804.44-2805.72] 朝向的方向
[2806.22-2807.50] 然后这两个
[2807.76-2811.60] 其实核心的策略在里面就会包含这个关节的控制
[2812.12-2813.90] 还有我们运动的控制
[2814.68-2817.48] 那关节的控制就像刚刚讲的其实我们本来就有
[2817.74-2818.26] 能力
[2818.52-2820.04] 来提供这些关键性的零组件
[2820.04-2821.32] 因为我们本来就自制
[2821.58-2824.90] 但是当然还有你在一整个关节里面不是只有这几个
[2825.16-2825.92] 几些东西吗
[2826.18-2827.98] 还有其他的关键性零组件
[2828.24-2829.76] 那我们当然也希望和
[2830.02-2832.58] 其他的一些合作伙伴来一起
[2832.84-2837.20] 做这件事情就是可能我们可以跟其他有在生产其他的
[2837.44-2838.98] 关键性零组件的
[2839.50-2841.28] 厂商一起做合作
[2841.54-2845.64] 然后我们想要来模组化就是刚刚说的关节模组化的部分
[2845.90-2848.72] 然后我们会提供他
[2848.96-2849.74] 不论客人现在是想要来模组化的部分
[2850.04-2851.06] 我们都可以提供他
[2851.32-2851.84] 什么样的关节
[2852.08-2855.42] 人形关节非人形关节我们都可以依他的需求
[2855.68-2857.72] 来去做设计
[2857.98-2859.00] 然后来去
[2859.26-2860.02] 因应他的
[2860.54-2865.66] 不同的需求来去降低他自己本身对于硬体需要开发的成本
[2866.94-2870.26] 那我们也希望也可以提供代工的服务啊就像我们刚讲的
[2870.52-2873.08] 我们跟我们的合作伙伴一起合作零组件啊
[2873.34-2878.72] 然后这样我相信这样子也是可以非常更进一步的提升台湾在全球机器人
[2878.96-2880.00] 的产业中的进步
[2880.30-2883.36] 那这是关节控制就是关节的部分
[2883.62-2886.70] 刚刚提到的这个运动的控制跟规划
[2886.96-2890.28] 我想其实因为值得科技长期都深耕在自动化
[2890.54-2895.92] 控制的这个领域其实我们已经累积了非常丰富的技术经验
[2896.16-2898.22] 还有在这块专利的布局
[2898.72-2900.26] 那这些都是
[2900.52-2901.54] 刚刚提到的说
[2901.80-2903.84] 在小脑开发去
[2904.10-2905.64] 运动控制要怎么样
[2905.90-2906.66] 做这个
[2906.92-2908.96] 自主肢体的控制
[2909.22-2910.00] 然后以达到
[2910.30-2912.08] 准确完成任务的这一块
[2912.34-2913.88] 这都是小脑的部分
[2914.14-2916.44] 那我相信我们本来的这些经验
[2916.70-2918.24] 也让我们可以
[2918.48-2919.26] 透过在
[2919.52-2922.08] 可能在透过先进的演算法啊
[2922.32-2924.88] 等等的就可以再更加的实现机器人
[2925.14-2926.42] 动作的精准控制
[2926.94-2927.70] 那我们也会
[2927.96-2930.78] 在这一块也会在使用AI的学习呀
[2931.04-2934.10] 然后利用AI的技术让机器人可以在这些
[2934.36-2939.74] 动态的环境中做自主的学习还有在慢慢的再去优化他的动作提升他
[2940.30-2942.86] 适应的能力不论在任何环境之下
[2943.12-2945.68] 然后这些呢都是我们接下来其实
[2946.18-2949.76] 蛮大的未来的展望在这块机器人的部分
[2952.32-2956.42] 然后也希望说我们在这块的布局其实
[2956.68-2957.20] 就是
[2957.70-2958.98] 大家可能现在
[2959.50-2960.52] 跟别人
[2960.78-2966.92] 都在专注于在大脑的这个开发上面我们专注在小脑的开发跟区干上面
[2967.18-2968.20] 然后可以
[2968.46-2970.00] 大家一起去合作
[2970.30-2972.08] 就是各施其职的意思
[2972.34-2973.36] 我这样就不用
[2973.62-2977.72] 说我开发大脑我明明就是只是专注于在开发大脑上面
[2977.98-2979.76] 我确实还需要去
[2980.02-2983.60] 打造这个刚讲的这个实体呀区干的部分
[2983.86-2985.40] 那这一块部分他就可以交给我们
[2985.92-2986.94] 一起来做合作
[2987.96-2988.98] 大概就是这个样子
[2990.26-2993.34] 好今天是以上的简报谢谢大家
