[0.00-11.26] 大家好
[1723.98-1728.32] 刚刚有提到它的应用是MW的技术能力
[1728.32-1731.66] 所以它的主抗的控制非常非常的好
[1731.66-1733.18] 如果假设
[1733.18-1734.46] 产能上面
[1734.46-1736.26] 可以再往上升的话
[1736.26-1738.30] 我相信应该会更好
[1738.30-1739.84] 那这个第一个先回答你
[1739.84-1741.38] 那大家所谈的
[1741.38-1742.40] 某一个客人
[1742.40-1744.20] 他的自己的出货量
[1744.20-1745.48] 我可能没有办法
[1745.48-1747.52] 这样子来跟你回答
[1747.52-1749.06] 针对单一客户
[1749.06-1750.86] 以及出货量的部分
[1750.86-1752.14] 我
[1752.18-1753.46] 我没有办法告诉你
[1753.46-1754.74] 具体的
[1754.74-1756.02] 的数字
[1756.02-1757.30] 但是
[1757.30-1758.06] 我只能够讲说
[1758.06-1758.84] 目前
[1758.84-1761.14] 我所接收到的讯息是
[1761.14-1762.42] 需求还蛮
[1762.42-1763.70] 强烈的
[1763.70-1765.50] 大概是这样子
[1765.50-1772.66] 请说
[1772.66-1773.68] 恭喜关于
[1773.68-1775.74] 对取得这个很大的成功
[1775.74-1776.50] 谢谢
[1776.50-1777.52] 关于这件东西
[1777.52-1778.80] 我想问的问题很简单
[1778.80-1779.58] 就是说
[1779.58-1781.36] 就是Listech在
[1781.36-1782.14] 刚刚在简报里面
[1782.18-1783.72] 有修出它的那个
[1783.72-1785.00] 各季度的
[1785.00-1786.54] 营收的手势
[1786.54-1789.60] 那不想说Listech在今年度
[1789.60-1791.14] 甚至今年一年度
[1791.14-1792.42] 在这个
[1792.42-1794.98] 它的Focus的那个营收展望
[1794.98-1796.00] 是什么样的样子
[1796.00-1797.54] 可以为之招惹够多的影响
[1797.54-1799.08] 那另外就是说
[1799.08-1801.38] 如果做过进程科的一个
[1801.38-1802.66] 记报来看的话
[1802.66-1803.42] 就是
[1803.42-1806.50] 可以发现就是说在PCB这个部门别的
[1806.50-1807.52] margin
[1807.52-1808.80] 它其实
[1808.80-1811.10] 比起这个
[1811.10-1812.14] 基本来合并的
[1812.18-1813.72] margin它量稍微
[1813.72-1815.50] 稍微比较多一点点
[1815.50-1818.06] 那E&S在这个今年DG的
[1818.06-1820.12] 毛利率反而是比去年
[1820.12-1821.14] 稍微好一些
[1821.14-1823.70] 那我不晓得说造成这样的一个结果
[1823.70-1825.24] 不晓得做管理层
[1825.24-1826.26] 这部分是
[1826.26-1827.28] 怎么去想
[1827.28-1830.36] 然后再来就是说我们有公告
[1830.36-1833.42] 单月进程科的一个合并的获利
[1833.42-1834.20] 那
[1834.20-1835.74] 有个问题就是说营收提升了
[1835.74-1837.52] 但是我们的获利
[1837.52-1838.80] 在这个
[1838.80-1840.08] 表现上
[1840.08-1842.14] 没有像这个营收表现上那么亮眼
[1842.18-1845.00] 那我想问一下是不是有一些费用的因素在里面
[1845.00-1847.30] 想要跟这个管理团队
[1847.30-1849.34] 做一些请教以上
[1849.34-1850.12] 好
[1850.12-1854.22] 我第一个先回答你这个Listec的走势
[1854.22-1855.50] 那
[1855.50-1857.28] 那过去的
[1857.28-1859.08] 我们事实上我们合并它的
[1859.08-1860.36] 报表事实上
[1860.36-1861.90] 是从4月份才开始的
[1861.90-1865.48] 所以在4月以前的我们请侯明做一个参考
[1865.48-1866.76] 那刚才也听到
[1866.76-1868.54] 我们在
[1868.54-1870.60] 就是他们加入我们了以后
[1870.60-1871.88] 我们在这一段时间
[1871.88-1874.70] 我们一直在协助他们去平静化
[1874.70-1878.02] 协助他们做一些的产业的扩充
[1878.02-1879.30] 所以从
[1879.30-1881.10] 发展的角度来讲
[1881.10-1882.38] 我认为
[1882.38-1883.40] 我认为
[1883.40-1885.20] 应该是朝向正面
[1885.20-1886.48] 会继续成长的
[1886.48-1887.24] 这一个
[1887.24-1888.26] 部分好
[1888.26-1889.04] 那
[1889.04-1891.34] 第二个回答你的问题就是说
[1891.34-1894.66] 合并完了以后或者是现在所看到
[1894.66-1896.46] 第一期的这个
[1896.46-1897.74] 麻菌的部分
[1897.74-1898.50] 刚才
[1898.50-1900.04] 我们财务长有提到
[1900.04-1901.84] 我们在
[1901.84-1904.40] 冰城的那个工厂是去年的
[1904.40-1905.42] 第四季
[1905.42-1907.22] 开始正式
[1907.22-1909.26] 进入到市场
[1909.26-1912.60] 在今年我们一直以来都是属于
[1912.60-1913.36] 市生产
[1913.36-1915.40] 或者客户集合
[1915.40-1916.44] 认证
[1916.44-1918.22] 等等这样子的一个状态
[1918.22-1919.76] 所以以
[1919.76-1922.58] 在冰城这样大的投资
[1922.58-1924.36] 那投资
[1924.36-1926.42] 我们在今年已经开始任业
[1926.42-1928.46] 任业这个择救
[1928.46-1931.80] 但是客户的订单认证是需要时间的
[1931.84-1933.64] 所以
[1933.64-1936.44] 他的效益还没有马上立刻
[1936.44-1937.48] 提现出来
[1937.48-1939.78] 那我认为在
[1939.78-1943.10] 后面陆续这个麻菌的部分
[1943.10-1945.16] 效益会逐渐出来
[1945.16-1950.78] 那后面有哪些
[1950.78-1954.12] 何继财务长回答一下
[1954.12-1956.42] 四月的营收成长的六成
[1956.42-1957.18] 但是呢
[1957.18-1959.24] 那个EBS在台0.5
[1959.24-1961.54] 跟第一季小股要上漏差很多
[1961.54-1963.08] 其实我在前面
[1963.08-1964.86] 报告都有提到第一季
[1964.86-1966.92] 他报告是在业外的部分
[1966.92-1971.02] 我们有3.4亿台币的股仓发售物品
[1971.02-1974.86] 所以让第一季的EBS增加了0.7
[1974.86-1978.70] 所以如果你把第一季的EBS1057扣掉0.7
[1978.70-1980.48] 其实这种第一季的表现呢
[1980.48-1985.10] 大概就是EBS在0.8
[1985.10-1989.70] 这样就回到大众的问题上
[1989.70-1991.24] 这第二季有了
[1991.24-1993.04] 其实表现是用了
[1993.04-1995.34] 小股一些
[1995.34-1997.38] 他如果跟去年同期
[1997.38-2000.46] 因为我记得都是跟去年同期
[2000.46-2002.24] 那你的营收问题是多了
[2002.24-2003.02] 将近是
[2003.02-2005.32] 对我们第一季的来的BCP
[2005.32-2006.60] 就是刚刚讲到的
[2006.60-2008.40] 你也看到那个花钱掉很多
[2008.40-2010.70] 马来西亚行还是职业者
[2010.70-2012.24] 而且他因为新旧厂
[2012.24-2013.52] 同时运作的
[2013.52-2014.28] 情况下
[2014.28-2017.10] 其实有些水电啊
[2017.10-2018.88] 这些都是
[2018.88-2019.92] 比较没有效率的
[2019.92-2021.20] 因为他新旧厂在同时运作的
[2021.24-2022.26] 他其实是运作的
[2022.26-2023.54] 其实是运作的
[2023.54-2025.60] 是
[2025.60-2027.38] 那我在发问一个问题
[2027.38-2028.16] 因为
[2028.16-2029.44] 因为我们单看4月
[2029.44-2031.48] 我们在公开资讯观测
[2031.48-2032.76] 但是揭露4月
[2032.76-2034.56] 那现在4月就是跟去年
[2034.56-2036.60] 都有4个4月来的
[2036.60-2038.64] 那我指的是说
[2038.64-2040.44] 我们有4月就有在
[2040.44-2041.46] 刚有揭露
[2041.46-2042.24] 我们在4月就有
[2042.24-2043.76] 并购的效率
[2043.76-2045.30] 那我们已经说多了
[2045.30-2046.84] 但是因为我们在
[2046.84-2048.38] 最后公告的是
[2048.38-2050.94] 4月单月是并购的
[2050.94-2053.24] 那你这样子比去年公启
[2053.24-2055.30] 还有衰退大概是
[2055.30-2057.08] 结果是13%
[2057.08-2059.64] 那我想说这个衰退主要是
[2059.64-2060.42] 差异在哪里
[2060.42-2062.20] 是因为有一些费用要减吗
[2062.20-2063.22] 还是说
[2063.22-2065.54] 夫妻的一些问题
[2065.54-2069.62] 想要跟你一起交集
[2069.62-2071.16] 我觉得在BCP表现上
[2071.16-2072.96] 主要还是因为马来西亚新厂
[2072.96-2074.24] 他夫妻的
[2074.24-2075.00] 投入的成本
[2075.00-2077.30] 比较好的关系
[2077.30-2079.10] 好 谢谢
[2079.10-2080.90] 我不从回答一个问题
[2080.94-2085.54] 因为我们4月份才开始合并DSTEC
[2085.54-2088.36] 所以DSTEC对于我们的
[2088.36-2093.22] margin的影响其实我们并没有做那个数字
[2093.22-2097.06] 应该没有吧
[2097.06-2101.16] 刚刚所提的就是
[2101.16-2102.96] 老师讲的
[2102.96-2105.52] 在今年来找票的地方
[2105.52-2108.58] BCP以自身的
[2108.58-2110.90] 营运的我们来看的它的margin
[2110.94-2112.98] 本身其实受到
[2112.98-2114.02] 成本的影响
[2114.02-2116.58] 或是发育成本的影响其实
[2116.58-2118.10] 有 但是没有这么大
[2118.10-2119.90] 本身的营运的并没有
[2119.90-2121.18] 太大的改变
[2121.18-2123.22] 唯独的只有一个
[2123.22-2124.76] BIN成本场开出来以后
[2124.76-2127.06] 它的经济规模还会大
[2127.06-2129.62] 那我们的折旧已经先提出来了
[2129.62-2132.96] 所以这个是使得我们合并报表完以后
[2132.96-2136.28] 比较大的影响因子
[2136.28-2139.86] 大概是这样
[2139.86-2140.64] 对不起
[2140.64-2145.76] 好 另一位
[2145.76-2149.60] 投手你好 我想跟你请教一下就是ProCard业务
[2149.60-2152.16] 那目前ProCard业务是目前只有
[2152.16-2154.46] 主要供应给一间强商吗
[2154.46-2156.00] 那这间客户的
[2156.00-2158.04] 您收费大约有五个
[2159.84-2161.64] 不止一个客户
[2161.64-2164.44] 但是因为ProCard的客户群
[2164.44-2167.52] 就不像消费性成本这么的多
[2167.52-2169.56] 它是多个客户
[2169.56-2170.60] 但是第一个客户
[2170.60-2173.68] 我印象中大概占了它
[2173.68-2176.24] 应该有
[2176.24-2178.28] 超过三四成以上的营收
[2178.28-2181.36] 大概是这样子
[2181.36-2184.16] 了解 我想再包扎一下就是刚刚那位先进主席
[2184.16-2185.44] 讲说Ninstaq的部分
[2185.44-2185.96] 那
[2185.96-2187.76] 像他有说Ninstaq的
[2187.76-2190.82] 想请教一下说Ninstaq的毛利率
[2190.82-2192.36] 相当于大约
[2192.36-2194.16] 那跟公司的
[2194.16-2196.20] 原先既有的
[2196.20-2199.52] 公司的毛利率或是PCB业务相比的话是
[2199.52-2200.56] 对习惯的话还是不太好看的
[2200.60-2201.88] 其实是有一些
[2201.88-2203.92] 在个病处理有些拖累的情况
[2218.00-2221.60] 因为刚刚我们有介绍到Ninstaq有五个工厂
[2221.60-2224.40] 它其实每个工厂的情况
[2224.40-2225.44] 其实差异蛮大
[2225.44-2227.22] 所以它的毛利率会随着
[2227.22-2229.28] 某种程度的会有很大的变化
[2229.28-2230.04] 如果说
[2230.60-2233.68] 反过来如果是像YGA
[2233.68-2235.20] 这代版这些多额的毛利率
[2235.20-2236.48] 就会差一点点
[2236.48-2237.00] 但
[2237.00-2237.76] 我们
[2237.76-2240.32] 以目前来看就是金城铁现在整个
[2240.32-2242.64] 第一季合并的毛利率是20%
[2242.64-2244.16] 那加入Ninstaq以后
[2244.16-2247.24] 我不预期会有什么更坏的情况
[2247.24-2249.80] 我不是我们
[2249.80-2251.08] 我们厂会长所说的
[2251.08-2252.62] 它五个工厂
[2252.62-2254.40] 分别有
[2254.40-2256.20] 四个不同的成品类别
[2256.20-2257.48] 一种是
[2257.48-2258.76] 一种是
[2258.76-2259.52] 一种是
[2259.52-2260.56] 一种是
[2260.60-2262.40] 或五个
[2262.40-2264.18] 不同的成品类别
[2264.18-2268.54] 那这些的成品类别它的毛利的表现个人是不高
[2268.54-2270.32] 有的高有的低
[2270.32-2273.40] 那整个OO的原因来讲就是说
[2273.40-2274.94] 因为我们合并它了以后
[2274.94-2275.96] 我们现在
[2275.96-2276.98] 现阶段
[2276.98-2278.78] 包含了组织
[2278.78-2280.82] 人员然后以及
[2280.82-2284.16] 我们协助他们做这个集中
[2284.16-2285.94] 跟财务账的集中
[2285.94-2286.72] 统一
[2286.72-2288.00] 来购买
[2288.00-2290.56] 那以我们的这个经济规模来讲
[2290.60-2292.14] 应该有办法可以协助他们
[2292.14-2293.42] 这样一些的
[2293.42-2294.18] 成本
[2294.18-2294.96] 那
[2294.96-2296.48] 快速地回答你的问题
[2296.48-2298.54] 就是说它加进来以后
[2298.54-2299.82] 对于我们
[2299.82-2302.12] 现阶段的
[2302.12-2304.42] 毛利率的表现
[2304.42-2308.26] Module的表现来讲
[2308.26-2310.06] 如同我们刚才厂会长所说的
[2310.06-2312.62] 不见得会
[2312.62-2314.16] 大幅度的改变
[2314.16-2317.22] 但是我相信在随着我们的整合
[2317.22-2318.24] 越来越
[2318.24-2320.30] 越来越多
[2320.30-2322.10] 越来越完整了以后
[2322.10-2322.86] 效应
[2322.86-2325.16] 再加上我们协助他们的扩敞
[2325.16-2326.96] 一些高
[2326.96-2328.74] 高阶的产品
[2328.74-2330.54] 陆续增长了以后
[2330.54-2332.58] 那我觉得
[2332.58-2334.12] 应该会
[2334.12-2335.66] 会
[2335.66-2338.98] 实现比较正面的
[2338.98-2339.76] 了解谢谢
[2339.76-2341.04] 那想再发话一下说
[2341.04-2342.32] 那想说
[2342.32-2343.34] 就是
[2343.34-2344.36] 随着他们的技术
[2344.36-2345.90] 已经在量产规模的话
[2345.90-2346.92] 那这样两个
[2346.92-2347.94] 运营体的合并
[2347.94-2348.98] 大约在
[2348.98-2349.74] 可能要到
[2349.74-2350.26] 一到两个
[2350.26-2352.06] 会有更明显的
[2352.06-2353.58] 对于毛利优文整体公司
[2353.58-2354.86] 应该会有更多的贡献
[2354.86-2356.14] 这个时间点可以大概
[2356.14-2361.02] 给我们的方向
[2361.02-2363.58] 这是一个很难回答的问题
[2363.58-2365.88] 刚才有提到
[2365.88-2367.66] 因为它毕竟在
[2367.66-2369.72] 日本跟新加坡
[2369.72-2372.02] 所以它是分别跨两个不同的
[2372.02-2373.56] 国家
[2373.56-2375.86] 以外语言论的是文化上面
[2375.86-2377.40] 都有一些的差异
[2377.40-2379.70] 那所以我认为也许这个
[2379.70-2381.24] 整合
[2381.24-2383.02] 要整到什么程度
[2383.02-2384.56] 到什么时候会
[2384.56-2386.10] 你们所
[2386.10-2388.66] 问的这个效应什么时候会出来
[2388.66-2391.48] 我觉得一两个季度来讲
[2391.48-2393.02] 或者是更长的时间
[2393.02-2394.54] 我现在没有办法回答你
[2394.54-2396.08] 但是我们绝对会
[2396.08-2398.64] 尽可能的越快越好
[2398.64-2399.92] 好不好
[2399.92-2400.94] 了解谢谢
[2409.70-2439.70] 
[2439.70-2469.70] 
[2469.70-2470.08] 
[2499.70-2501.02] 更多的这个时间点
[2501.02-2502.90] 或者说他长得有理的这个时间点
[2502.90-2503.30] 谢谢
[2503.30-2507.18] 第一个问题就问到
[2507.18-2508.88] 费用的部分
[2508.88-2511.72] 以精神科来看
[2511.72-2512.72] 我们的营业费用
[2512.72-2513.56] 大概要到
[2513.56-2515.06] 大概到我的营收
[2515.06-2516.82] 可能是百分之八到百
[2516.82-2518.70] 那Minspec
[2518.70-2521.70] 它的费用确实有比我们高一点
[2521.70-2523.24] 那这个也是我们将来
[2523.24-2525.52] 在电动控管商品老师的方式
[2525.52-2529.54] 在并程厂的这个部分
[2529.54-2531.52] 我们分两个阶段
[2531.52-2532.84] 第一个阶段
[2532.84-2535.48] 可能是既有的这些
[2535.48-2538.06] 原来精神科
[2538.06-2540.16] 或者是安理博的
[2540.16-2541.28] 很多需要海外
[2541.28-2543.28] 地缘政治这样的社会的部分
[2543.28-2544.52] 这部分呢
[2544.52-2547.28] 我们进行的速度会比较快
[2547.28-2549.02] 那你说
[2549.02-2551.48] 但是因为我们的这个工厂
[2551.48-2554.24] 盖的产能
[2554.24-2557.00] 大概是一百万匹左右的
[2557.00-2558.84] 这个flow space
[2558.84-2559.52] 但是我们
[2559.52-2563.52] 现在装的大概前面的第一阶段
[2563.52-2566.54] 所以大概只有三十万匹左右
[2566.54-2568.06] 那我们第二阶段以后
[2568.06-2569.66] 可能会去考虑到
[2569.66-2571.56] 刚刚有提到的server
[2571.56-2572.42] AI
[2572.42-2574.10] HDI这些的投资
[2574.10-2575.92] 所以回答你的问题
[2575.92-2579.62] 这个工厂现在目前的投资的金额
[2579.62-2582.06] 跟未来还要继续投资的金额
[2582.06-2584.34] 都在往上升
[2584.34-2587.26] 那所以这个水利
[2587.26-2588.90] 我认为它的
[2588.90-2593.44] 这个投资的营收的增长会比较快起来
[2593.44-2597.26] 那它的对于这个过滤的
[2597.26-2599.20] 的挹注
[2599.20-2601.66] 阶段阶段逐渐逐渐才会出来
[2601.66-2603.44] 那我们持续到来再投资
[2603.44-2604.60] 所以可能也许
[2604.60-2607.60] 你要我故意的完全停止
[2607.60-2610.90] 然后从亏转你的时机那边
[2610.90-2614.00] 我比较能鼓起给你
[2614.00-2615.00] 谢谢
[2618.90-2621.90] 那刚刚有提到说
[2621.90-2624.90] Linstack它那个能做到超过
[2624.90-2626.90] 六个五十成以上的那个版本
[2626.90-2628.90] 那像于AI server这边
[2628.90-2631.90] 其实像Linstack它可能就有一些原有的客户
[2631.90-2633.90] 那我们之后并多Linstack之后
[2633.90-2635.90] 可能会有新增的
[2635.90-2637.90] 就假如我们原本Linstack有一点点的客户
[2637.90-2639.90] 但是之后我们会看到我们
[2639.90-2641.90] 在AI server里面的客户
[2641.90-2642.90] 会有点多这样
[2642.90-2644.90] 我现在回答你的问题
[2644.90-2646.90] 第一个新加坡的Linstack
[2646.90-2648.90] 它不只一个AI的客户
[2648.90-2651.90] 那它的数据也不止一个客户
[2651.90-2654.90] 那只不过是我们对于他们的客户群
[2654.90-2656.90] 具体的我们也不方便
[2656.90-2659.90] 在这边做做说明
[2659.90-2663.90] 那在我们原来博得的AI
[2663.90-2665.90] 或者是server这些的客户群
[2665.90-2669.90] 确实也有知道我们在并多的Linstack
[2669.90-2671.90] 表达了高度的兴趣
[2671.90-2674.90] 那这也就是我们现在正在努力
[2674.90-2677.90] 去leverage双方不同的场区
[2677.90-2681.90] 然后技术能力以及协助他们过场的目的
[2681.90-2682.90] 好谢谢
[2690.90-2692.90] 你好 想请问一下
[2692.90-2695.90] 就是因为托利波动有点大
[2695.90-2696.90] 想请问一下
[2696.90-2698.90] 托利对你们的影响数
[2698.90-2702.90] 还有就是关税单继续罚单的可能
[2702.90-2704.90] 应对方是在影响情况
[2704.90-2706.90] 那我请两位财务长
[2707.90-2709.90] 做一下说明的话
[2722.90-2724.90] 我们货运的部分呢
[2724.90-2725.90] 我们目前正在平衡中
[2725.90-2729.90] 因为其实对现在台币生产生产有所补
[2729.90-2733.90] 那其实对台湾日币的货运有非常大的影响
[2733.90-2734.90] 那因为中国的货运呢
[2734.90-2736.90] 我们目前
[2736.90-2738.90] 在我们是未来看
[2738.90-2741.90] 我们中国是用的汇率
[2741.90-2743.90] 其实是用人行的汇率
[2743.90-2745.90] 所以现在人行的波动
[2745.90-2747.90] 没有像市场汇率的波动来得这么大
[2747.90-2750.90] 所以相对目前的问题还在防御当中
[2750.90-2753.90] 那目前我们所有的执行的部分
[2753.90-2757.90] 都会有一个调节的状况
[2766.90-2769.90] 那我们的这个货运的部分呢
[2769.90-2772.90] 因为收入大部分是人行
[2772.90-2774.90] 所以我们的汇率对我们的毛利率
[2774.90-2776.90] 可能会有百分之不到的影响
[2776.90-2777.90] 所以我们这个
[2777.90-2779.90] 那在业外的部分呢
[2779.90-2781.90] 因为我们的经负位现在比较高
[2781.90-2783.90] 所以可能会有汇整的
[2783.90-2785.90] 可能会有汇整产生
[2785.90-2787.90] 对于那个关税的问题
[2787.90-2789.90] 因为PCB我们直接交给
[2789.90-2790.90] 我们的公司
[2790.90-2791.90] 我们的公司
[2791.90-2792.90] 我们的公司
[2792.90-2793.90] 我们的公司
[2793.90-2794.90] 我们的公司
[2794.90-2795.90] 我们的公司
[2795.90-2797.90] PCB我们直接交到美国去
[2797.90-2800.90] 那收到关税要增加的部分呢
[2800.90-2802.90] 是相对的比较少
[2802.90-2806.90] 除了未来有一些的服务员
[2806.90-2808.90] 都去说他们要预告美国去出装
[2808.90-2810.90] 或者是我们刚刚所提的
[2810.90-2813.90] 有些医疗的产品会进去
[2813.90-2814.90] 但是这个部分呢
[2814.90-2815.90] 因为增加的税
[2815.90-2817.90] 我们也是在跟客人来谈
[2817.90-2819.90] 所以对于PCB
[2819.90-2821.90] 直接收到关税上面的影响
[2821.90-2823.90] 客税等等之间的问题
[2823.90-2825.90] 其实并不这么大
[2825.90-2827.90] 我们直接更明显
[2827.90-2828.90] 但是呢
[2828.90-2832.90] PCB确实会受到这种关税
[2832.90-2834.90] 以及产地的影响
[2834.90-2836.90] 举个例子来讲
[2836.90-2839.90] 在今年的3月4月以后
[2839.90-2843.90] 其实以NV这一类
[2843.90-2845.90] 或是一些消费性的产品
[2845.90-2847.90] 确实有考量到
[2847.90-2849.90] 未来会被课税
[2849.90-2851.90] 所以客人当然又如同
[2851.90-2853.90] 我们就不懂所说的
[2853.90-2855.90] 提前拉货
[2855.90-2857.90] 其实也有一个问题
[2857.90-2859.90] 就是我们的PCB
[2859.90-2860.90] 其实在今年
[2860.90-2862.90] 有看到比较明显的
[2862.90-2864.90] 但是对我们PCB
[2864.90-2866.90] 本身收到关税上面
[2866.90-2867.90] 直接影响了
[2867.90-2870.90] 目前还并不这么重
[2870.90-2880.90] 想请教一下
[2880.90-2883.90] 就是精神科在第一季的季报里面
[2883.90-2885.90] 当时有列金融资产的
[2885.90-2887.90] 部分美金大概是2.3亿
[2887.90-2889.90] 人民币大概是5.4亿
[2889.90-2892.90] 日元大概是1745亿
[2892.90-2894.90] 金融负债部分
[2894.90-2896.90] 美金大概是2.6亿
[2896.90-2900.90] 人民币大概是10亿
[2900.90-2904.90] 日元的负债大概是381亿
[2904.90-2906.90] 刚刚公司提到说
[2906.90-2909.90] 有将这个并落的钱
[2909.90-2911.90] 应该是资产跟负债的部分
[2911.90-2913.90] 可能有一些变化
[2913.90-2914.90] 有交付给
[2914.90-2917.90] 这个并落的对象上面
[2917.90-2920.90] 所以在4月份具体
[2920.90-2921.90] 就是说这些金融资产
[2921.90-2924.90] 跟负债的一个变化数
[2924.90-2928.90] 是不是有办法做个说明
[2932.90-2934.90] 我们要交付的钱
[2934.90-2936.90] 确实是在3月底做得对
[2936.90-2938.90] 而且因为要用日历交流
[2938.90-2940.90] 所以其实在3月底前
[2940.90-2942.90] 我们就有陆续各方使用
[2942.90-2944.90] 所以你才会看到负债的部分
[2944.90-2946.90] 在日历的资产面很高
[2946.90-2948.90] 那这个钱是在4月8号
[2948.90-2950.90] 能够支付给卖方的
[2950.90-2952.90] 可是因为我们没有公布
[2952.90-2954.90] 4月负债的等数字
[2954.90-2956.90] 所以我不方便透露
[2956.90-2958.90] 那个资产费
[2958.90-2960.90] 不方便透露你的支付
[2960.90-2962.90] 或者支付在
[2962.90-2964.90] 信用资产费的各个部署
[2964.90-2966.90] 不过你可以推转一下
[2966.90-2967.90] 对啊
[2967.90-2969.90] 所以那个变换是
[2969.90-2972.90] 变换是美金转成日元
[2972.90-2974.90] 然后再支付我们的负债费
[2974.90-2975.90] 都有
[2975.90-2976.90] 都有
[2976.90-2977.90] 人民币那些都有
[2977.90-2979.90] 主要是美金跟台币
[2979.90-2980.90] 因为我们的部分是
[2980.90-2982.90] 自有资金是美金
[2982.90-2984.90] 那借款部分是用IP
[2984.90-2986.90] 然后再更换日元
[2986.90-2988.90] 然后是在4月8号完成这个交流
[2988.90-2990.90] 对在4月8号进行交流
[2998.90-2999.90] 刚才说明了
[2999.90-3001.90] 想再发达一下刚刚先进一步提到
[3001.90-3003.90] 所以刚刚所提到
[3003.90-3005.90] 日本的MintStack服务的
[3005.90-3006.90] 不只有一间ASIC商场
[3006.90-3007.90] 那所以是说
[3007.90-3009.90] 前几大ASIC客户都有服务
[3009.90-3010.90] 然后并且
[3010.90-3012.90] 陆续送样下一时代产品
[3012.90-3014.90] 可以上去解读
[3014.90-3016.90] 日本吗
[3016.90-3018.90] 就是MintStack的部分
[3018.90-3020.90] 就是服务的不只有一间ASIC商场
[3020.90-3021.90] 对不对
[3021.90-3022.90] 我再清楚
[3022.90-3023.90] 你指的ASIC
[3023.90-3025.90] 指的是SERVER上面的ASIC
[3025.90-3026.90] 对
[3026.90-3029.90] 然后不是ProCard上面的
[3029.90-3030.90] 不是
[3030.90-3031.90] 对
[3031.90-3032.90] 那所以就是
[3032.90-3034.90] 就是这样的话
[3034.90-3036.90] 这一代可能有些有服务
[3036.90-3037.90] 那也陆续送样
[3037.90-3040.90] 这个下一时代的产品
[3040.90-3042.90] 是的
[3042.90-3043.90] 谢谢
[3045.90-3048.90] 然后我们可以请教一下
[3048.90-3049.90] 因为还是问一个
[3049.90-3050.90] 顾客也是问我一下
[3050.90-3052.90] 你们现在怎么看待
[3052.90-3053.90] 两家公司
[3053.90-3055.90] 总的来在下半年里面的状态
[3058.90-3059.90] 好
[3059.90-3061.90] 那下半年来讲
[3061.90-3063.90] 从PCB的角度来看
[3063.90-3069.90] 那确实我们认为有一部分消费性的产品
[3069.90-3070.90] 大家有听到
[3070.90-3072.90] 因为贸易战关税战
[3072.90-3074.90] 然后关税要增加
[3074.90-3076.90] 对的关税要增加的关系
[3076.90-3078.90] 所以有提前到
[3078.90-3082.90] 这个第一季第二季来拿起来
[3082.90-3085.90] 那今年的下半年是否忘记
[3085.90-3090.90] 还会跟往常上下半年这样的这个
[3090.90-3092.90] 这个比例值
[3092.90-3094.90] 我们现在不敢讲
[3094.90-3096.90] 但是也有利的东西
[3096.90-3099.90] 就是AI的这个需求
[3099.90-3101.90] 包含AI的PC
[3101.90-3105.90] 这些需求也是陆续陆续都在增加
[3105.90-3108.90] 然后包含Windows的这个换机槽
[3108.90-3111.90] 所以是否可以带动
[3111.90-3116.90] 这个一些换机需求出来
[3116.90-3119.90] 这个我们也持非常
[3119.90-3122.90] 希望正面的发展
[3122.90-3125.90] 那当然这个要看全世界
[3125.90-3128.90] 这个内外在还有这个国际的局势
[3128.90-3130.90] 我也没有办法说得准
[3130.90-3132.90] 所以我只能说
[3132.90-3134.90] 因为我们现在看下半年
[3134.90-3136.90] 我们确定比较忘的东西
[3136.90-3138.90] 就是跟AI有关的东西
[3138.90-3140.90] 从PCB的角度来看
[3140.90-3143.90] 那你也没事
[3143.90-3145.90] 谢谢
[3149.90-3152.90] 那严实面试说一下
[3152.90-3153.90] 因为刚刚有提到说
[3153.90-3155.90] 其实我们在关对
[3155.90-3158.90] 其实对中国区的事情影响没有很大
[3158.90-3161.90] 那但现在我们马来西亚
[3161.90-3165.90] 还是持续在拓展我们的产能中
[3165.90-3170.90] 那客人应该目前也没有看到有下修的一个状态
[3170.90-3171.90] 所以在目前来讲
[3171.90-3175.90] 我们对下半年还是保持着有关的态度
[3179.90-3187.90] 那时间的关系是不是还有想要提问的人
[3187.90-3188.90] 抱个手
[3195.90-3196.90] 欢迎光临
[3196.90-3197.90] 我是Taiwa
[3197.90-3199.90] 那想先请教一下
[3199.90-3201.90] 我们目前AI是不是
[3201.90-3203.90] 大概占我们所得多少
[3203.90-3205.90] 这个大家之前有没有说过
[3205.90-3210.90] AI的server
[3210.90-3211.90] 我先回答你
[3211.90-3212.90] AI的server
[3212.90-3214.90] 我们跟Nation没有具体的说
[3214.90-3215.90] 这是一般的server
[3215.90-3217.90] 这是AI的server
[3217.90-3220.90] 那刚刚有我们中国总统提到
[3220.90-3221.90] 以汉语国的server
[3221.90-3222.90] 大概在我们营收比重
[3222.90-3225.90] 现在大概18%
[3225.90-3227.90] 大概18%
[3227.90-3230.90] 然后在Nistake夹进GPA了以后
[3230.90-3233.90] 然后被新加坡的工厂
[3233.90-3235.90] 绝大部分的营收
[3235.90-3238.90] 都是跟server相关的东西
[3238.90-3242.90] 所以核并回来了以后
[3242.90-3244.90] 整个我们的PCB
[3244.90-3247.90] 我可以说的就是AI相关的东西
[3247.90-3252.90] 在我们PCB的营收是超过20%
[3252.90-3254.90] 那要再谅清楚
[3254.90-3256.90] 那因为今年的跟KFx
