[0.00-6.66] 大家早安
[1528.56-1530.56] 然後Nike
[1530.56-1532.56] 會先進入廠商
[1532.56-1534.56] 清洗出貨量
[1534.56-1536.56] 在用料上有沒有比較積極
[1536.56-1538.56] 第一個
[1538.56-1540.56] 問題我剛剛有回覆了
[1540.56-1542.56] 就是那個鞋型
[1542.56-1544.56] 那第二個問題Syndy你可以再
[1544.56-1546.56] 講清楚一點嗎
[1546.56-1548.56] 我沒有聽得很清楚
[1548.56-1550.56] 他說Nike被新進入廠商
[1550.56-1552.56] 清洗出貨量
[1552.56-1554.56] 在用料上有比較積極嗎
[1556.56-1558.56] 用料上嗎
[1558.56-1560.56] 對沒錯
[1562.56-1564.56] 用料上有比較積極嗎
[1566.56-1568.56] 這個我比較
[1568.56-1570.56] 不確定
[1570.56-1572.56] 這個用料的
[1572.56-1574.56] 是什麼意思
[1574.56-1576.56] 就是說是說
[1576.56-1578.56] 在材料的創新還是材料的成分
[1578.56-1580.56] 還是複雜度
[1580.56-1582.56] 那
[1582.56-1584.56] 所以我假設啦
[1584.56-1586.56] 在談的是說在
[1586.56-1588.56] 有沒有回到創新的力道
[1588.56-1590.56] 那我想這個一定是有的啦
[1590.56-1592.56] 就是說
[1592.56-1594.56] 因為要展現給
[1594.56-1596.56] 給消費者看不同的產品
[1596.56-1598.56] 必須要在
[1598.56-1600.56] 在外觀跟材料上都要有
[1600.56-1602.56] 不一樣的展現這樣
[1602.56-1604.56] 也只是說
[1604.56-1606.56] 因為這點是就是說
[1606.56-1608.56] 像現在其他的產品
[1608.56-1610.56] 主要啦
[1610.56-1612.56] 主要侵蝕客戶的
[1612.56-1614.56] 是像大家講的
[1614.56-1616.56] 就像Rowney
[1616.56-1618.56] 那這個高階的Rowney
[1618.56-1620.56] 本來確實不是公泰的主力
[1620.56-1622.56] 公泰有做Rowney
[1622.56-1624.56] 只是說我們不是做高階的Rowney
[1624.56-1626.56] 所以我也很難針對
[1626.56-1628.56] 比如說Rowney
[1628.56-1630.56] 市場怎麼做
[1630.56-1632.56] 這個也不太
[1632.56-1634.56] 有能辦法去說明
[1634.56-1636.56] 好 謝謝主任
[1636.56-1638.56] 另外投資法人提問
[1638.56-1640.56] 整年目標
[1640.56-1642.56] 剛剛稍早有提到
[1642.56-1644.56] 整年目標還是朝YY
[1644.56-1646.56] YY持平
[1646.56-1648.56] 虛擬率
[1648.56-1650.56] 這邊指的是出貨量
[1650.56-1652.56] 還是營收
[1652.56-1654.56] 我覺得營收是蠻挑戰
[1654.56-1656.56] 因為外
[1656.56-1658.56] 因為台幣
[1658.56-1660.56] 台幣
[1660.56-1662.56] 就算我們跟客戶有調整機制
[1662.56-1664.56] 但是它還是有一些
[1664.56-1666.56] 紫線上的lag
[1666.56-1668.56] 所以我就營收是比較
[1668.56-1670.56] 比較困難
[1670.56-1672.56] 然後
[1672.56-1674.56] 那
[1674.56-1676.56] 出貨量我們就是希望能夠是
[1676.56-1678.56] 持平但是我必須說這是很強的
[1678.56-1680.56] 持平是我們的目標
[1680.56-1682.56] 但是我們還是比較保守
[1682.56-1684.56] 這個是蠻挑戰的
[1684.56-1686.56] 許主任不好意思喔
[1686.56-1688.56] 想要插個話
[1688.56-1690.56] 就是說您說跟Nike的話
[1690.56-1692.56] 有一些調整機制
[1692.56-1694.56] 我想多一點是
[1694.56-1696.56] 這個調整機制是說
[1696.56-1698.56] 什麼樣的range左右會調
[1698.56-1700.56] 那多久後它應該要生效
[1700.56-1702.56] 因為現在我們
[1702.56-1704.56] 非常明顯的在
[1704.56-1706.56] 兩三天就跌了10%
[1706.56-1708.56] 對
[1708.56-1710.56] 那我們就舉我們現在的case
[1710.56-1712.56] 假設要調那什麼時候
[1712.56-1714.56] 應該生效
[1714.56-1716.56] 謝謝
[1716.56-1718.56] 嗯
[1718.56-1720.56] 我想一想喔
[1720.56-1722.56] 這個因為剛剛有
[1722.56-1724.56] 一位投資人有大概
[1724.56-1726.56] 講的一個機制
[1726.56-1728.56] 基本上
[1728.56-1730.56] 基本上
[1730.56-1732.56] 大家也知道報價一定要有個匯率
[1732.56-1734.56] 可以報價一個匯率
[1734.56-1736.56] 那可能在報價的匯率
[1736.56-1738.56] 那到最後生產到出貨
[1738.56-1740.56] 基本上會在
[1740.56-1742.56] 接近出貨
[1742.56-1744.56] 接近出貨
[1744.56-1746.56] 我就沒辦法講太具體
[1746.56-1748.56] 就等於是比較接近出貨前
[1748.56-1750.56] 就可以
[1750.56-1752.56] 可以再去做會再做一次啦
[1752.56-1754.56] 那它就是會
[1754.56-1756.56] 會再有一次集資這樣子
[1756.56-1758.56] 會再有一次重轉的過程
[1758.56-1760.56] 所以它其實對我們來說是
[1760.56-1762.56] 我們認為已經
[1762.56-1764.56] 可以蠻及時了
[1764.56-1766.56] 那這一次五月份
[1766.56-1768.56] 我們的大幅的
[1768.56-1770.56] 兌換損失其實是
[1770.56-1772.56] 因為這次時間就是很短嘛
[1772.56-1774.56] 這個
[1774.56-1776.56] 這麼短的時間
[1776.56-1778.56] 在這麼短的時間的跌和升值
[1778.56-1780.56] 我剛剛講那個機制
[1780.56-1782.56] 它是沒辦法cover的
[1782.56-1784.56] 五月份會比較是一個
[1784.56-1786.56] 還沒辦法cover的期間
[1786.56-1788.56] 所以會比較大
[1788.56-1790.56] 那請問一下我們公司的話
[1790.56-1792.56] 從生產到出貨啊
[1792.56-1794.56] 我們我知道每個血款
[1794.56-1796.56] 不一樣
[1796.56-1798.56] 那average來說的話
[1798.56-1800.56] 我們的一個
[1800.56-1802.56] 就是剛剛講的這個lead time大概多久
[1802.56-1804.56] 處理的時間
[1804.56-1806.56] 嗯
[1806.56-1808.56] 因為lead time有包括
[1808.56-1810.56] 從開始買牌到開始
[1810.56-1812.56] 還是才到買錢才開始
[1812.56-1814.56] 那這個材料我們要
[1814.56-1816.56] 我要問的是
[1816.56-1818.56] 那我們多久前要準備材料
[1818.56-1820.56] 準備好之後我生產到出貨
[1820.56-1822.56] 我們把它拆兩段來談
[1822.56-1824.56] 嗯好
[1824.56-1826.56] 這個又跟血型差異很多
[1826.56-1828.56] 但是average
[1828.56-1830.56] 如果以一般狀況可能是
[1830.56-1832.56] 接近兩個月
[1832.56-1834.56] 接近兩個月
[1834.56-1836.56] 兩個月是買材料嗎
[1836.56-1838.56] 對
[1838.56-1840.56] 對
[1840.56-1842.56] 那
[1842.56-1872.56] 
[1872.56-1874.56] 那這個
[1874.56-1876.56] 我們應該是一個月的
[1876.56-1878.56] okok謝謝
[1882.56-1884.56] 主任有投資先進提問
[1884.56-1886.56] 請問我們的報價會根據
[1886.56-1888.56] 匯率自行調整嗎
[1888.56-1890.56] 嗯
[1890.56-1892.56] 因為這個我剛剛有回答過了
[1892.56-1894.56] 所以應該是夠進取的
[1894.56-1896.56] 好
[1896.56-1898.56] 然後
[1898.56-1900.56] 目前休閒期的狀況
[1900.56-1902.56] 我們要比運動前看經驗
[1902.56-1904.56] 休閒期的狀況
[1904.56-1906.56] 如果問的是
[1906.56-1908.56] 因為休閒期在我們的定義是
[1908.56-1910.56] 是像那個
[1910.56-1912.56] 像什麼
[1912.56-1914.56] 像
[1914.56-1916.56] 就不是風太久要生產的鞋子
[1916.56-1918.56] 所以
[1918.56-1920.56] 我不確定
[1920.56-1922.56] 講的休閒期
[1922.56-1924.56] 講的是
[1924.56-1926.56] 是指的是什麼樣的
[1926.56-1928.56] 鞋子
[1928.56-1930.56] 鞋子是什麼樣的
[1930.56-1932.56] 因為我們數量還是每日都有鞋
[1932.56-1934.56] 鞋子是什麼樣的
[1934.56-1936.56] 鞋子是什麼樣的
[1936.56-1938.56] 鞋子是什麼樣的
[1938.56-1940.56] 好
[1940.56-1942.56] 如果這個法有
[1942.56-1944.56] 再補充可以再補充上來的一個問題
[1944.56-1946.56] 再補充可以再補充上來的一個問題
[1946.56-1948.56] 謝謝主任
[1948.56-1950.56] 另外有投資法人來問
[1950.56-1952.56] 他說
[1952.56-1954.56] 五月字節的opmatch教包
[1954.56-1956.56] 是否能延伸
[1956.56-1958.56] 因為他看下半年利潤
[1958.56-1960.56] 好
[1960.56-1962.56] 五月的opmatch比較高
[1962.56-1964.56] 確實我們
[1964.56-1966.56] 因為法人有問
[1966.56-1968.56] 就是
[1968.56-1970.56] 看起來五月的op是
[1970.56-1972.56] 跟那個余秀康老師想法
[1972.56-1974.56] 是下來然後op是往上
[1974.56-1976.56] 那我會說有兩個
[1976.56-1978.56] 主要原因
[1978.56-1980.56] 第一個我覺得
[1980.56-1982.56] 我確實有看到我們在
[1982.56-1984.56] 生產這一段
[1984.56-1986.56] 生產這一段我們過去的
[1986.56-1988.56] 一直在控制成本
[1988.56-1990.56] 跟
[1990.56-1992.56] 跟改善效率這裡是有成果的
[1992.56-1994.56] 所以我們在生產這一段的
[1994.56-1996.56] 的
[1996.56-1998.56] 利潤是有增加的
[1998.56-2000.56] 這些應該是主要的原因
[2000.56-2002.56] 然後再來當然還有就是
[2002.56-2004.56] 新廠
[2004.56-2006.56] 我們新廠是2020年
[2006.56-2008.56] 有兩個新廠嘛然後他
[2008.56-2010.56] 上半年的
[2010.56-2012.56] 虧損有縮小
[2012.56-2014.56] 其實還是虧損
[2014.56-2016.56] 虧損也有比較明顯的縮小
[2016.56-2018.56] 那所以這兩個
[2018.56-2020.56] 這兩個都是主要生產的因素所以
[2020.56-2022.56] 這兩個就是影響毛利率的
[2022.56-2024.56] 還蠻大的因素
[2024.56-2026.56] 那第二個
[2026.56-2028.56] 那第二個部分會是
[2028.56-2030.56] 確實在管理費用
[2030.56-2032.56] 因為我們有些費用的議題
[2032.56-2034.56] 有些費用的議題包括獎金啊
[2034.56-2036.56] 他是跟著
[2036.56-2038.56] 我們的政策是跟著利潤在走的
[2038.56-2040.56] 那只要在
[2040.56-2042.56] 因為五月份有很大的兌換損失
[2042.56-2044.56] 所以
[2044.56-2046.56] 等於是整個
[2046.56-2048.56] 利潤
[2048.56-2050.56] 老下了所以我們
[2050.56-2052.56] 在費一些獎金的
[2052.56-2054.56] 提列也
[2054.56-2056.56] 就減少了非常多
[2056.56-2058.56] 所以剛就是這兩個因素
[2058.56-2060.56] 讓OKMARK
[2060.56-2062.56] 是把一次更加
[2066.56-2068.56] 好 主任有投資款
[2068.56-2070.56] 請問下期學期
[2070.56-2072.56] 學款的毛利率
[2072.56-2074.56] 是落在平均值上還是
[2074.56-2076.56] 值下以公司如何
[2076.56-2078.56] 看待今年
[2078.56-2080.56] 毛利率的持續
[2080.56-2082.56] 嗯
[2082.56-2084.56] 跨時的話
[2084.56-2086.56] 因為我們其實才第一年
[2086.56-2088.56] 第二年然後
[2088.56-2090.56] 他也對我們來講是個新生意
[2090.56-2092.56] 新生意新產品
[2092.56-2094.56] 所以
[2094.56-2096.56] 目前來說我們會
[2096.56-2098.56] 其他毛利率我們會說跟
[2098.56-2100.56] 應該要
[2100.56-2102.56] 應該會要跟
[2102.56-2104.56] 運動鞋是差不多
[2104.56-2106.56] 我們希望啦
[2106.56-2108.56] 那目前看起來是還沒談
[2108.56-2110.56] 所以我剛剛講說我們心臟也還在虧損但是
[2110.56-2112.56] 其實我們認為
[2112.56-2114.56] 應該要
[2114.56-2116.56] 要有能力在
[2116.56-2118.56] 毛利率去達到跟運動鞋差不多的
[2118.56-2120.56] 水準
[2120.56-2122.56] 那當然他
[2122.56-2124.56] 跨時定價
[2124.56-2126.56] 他的單價比較低
[2126.56-2128.56] 絕對金額比較少
[2128.56-2130.56] 所以定額的供應也絕對可以比較少
[2130.56-2132.56] 這是跨時的
[2132.56-2134.56] 然後
[2134.56-2136.56] 再來是
[2140.56-2142.56] 第二個問題是說對於下半年的
[2142.56-2144.56] 的
[2144.56-2146.56] 的
[2146.56-2148.56] 淨利率的預期
[2148.56-2150.56] 我們
[2150.56-2152.56] 我會說因為昨天有法人問我說
[2152.56-2154.56] 那是不是可以拿五月份這個淨利率來當作未來標準
[2154.56-2156.56] 其實
[2156.56-2158.56] 我們還是很保守
[2158.56-2160.56] 因為事實上
[2160.56-2162.56] 生產是需要consistent的
[2162.56-2164.56] 就是一直持續不斷的
[2164.56-2166.56] 維持那個穩定性
[2166.56-2168.56] 那再可是在
[2168.56-2170.56] 協業挑戰就是說
[2170.56-2172.56] 他有太多的人
[2172.56-2174.56] 尤其是生產像Nike這樣的人
[2174.56-2176.56] 生產很多他的產品線的
[2176.56-2178.56] 他有太多不同的
[2178.56-2180.56] 新鞋行進來的時候
[2180.56-2182.56] 我們又要維持這樣的效率跟品質
[2182.56-2184.56] 這個都是需要持續的努力的
[2184.56-2186.56] 所以我不敢說
[2186.56-2188.56] 就可以用這個做一下半年的
[2188.56-2190.56] 淨利率的標準
[2190.56-2192.56] 只是說
[2192.56-2194.56] 我們今年
[2194.56-2196.56] 我們確實從2024的訂單
[2196.56-2198.56] 已經是
[2198.56-2200.56] 我們已經知道2024之後的訂單
[2200.56-2202.56] 其實是比較沒有
[2202.56-2204.56] 樂觀的預期往上了
[2204.56-2206.56] 所以我們一直努力在
[2206.56-2208.56] 生產這樣的改善
[2208.56-2210.56] 那5月份就比較明顯看到改善
[2210.56-2212.56] 因為前幾個月還有一些
[2212.56-2214.56] 放假天數比較少
[2214.56-2216.56] 中國 越南 印尼都有放假
[2216.56-2218.56] 前幾個月有些放假天數的影響
[2218.56-2220.56] 比較看不出改善效益
[2220.56-2222.56] 那5月份基本上
[2222.56-2224.56] 也看到改善的效益的成果
[2224.56-2226.56] 出現
[2230.56-2232.56] 好 謝謝主任
[2232.56-2234.56] 另外有否有其他人提問
[2234.56-2236.56] 目前跟大客戶接觸起來
[2236.56-2238.56] 客戶那邊是否認為
[2238.56-2240.56] 調整報價會影響
[2240.56-2242.56] 終端需求
[2242.56-2244.56] 終端消費需求
[2244.56-2246.56] 或是大客戶這邊認為
[2246.56-2248.56] 後續消費率到底何謂
[2248.56-2250.56] 這個
[2250.56-2252.56] 這個我們就沒有辦法幫客戶回答
[2252.56-2254.56] 這個問題
[2254.56-2256.56] 有沒有影響終端消費需求
[2256.56-2258.56] 就很難回答 這個就不好意思
[2258.56-2260.56] 很難幫客戶回答
[2260.56-2262.56] 我們裡面有什麼地方客戶回答
[2262.56-2264.56] 就不快了
[2264.56-2266.56] OK
[2266.56-2268.56] 我想加問一個問題
[2268.56-2270.56] 是徐主任
[2270.56-2272.56] 就是
[2272.56-2274.56] 我們都知道
[2274.56-2276.56] 烘太太其實對
[2276.56-2278.56] 籃球鞋是專業
[2278.56-2280.56] 也做了非常多
[2280.56-2282.56] 當時就是那個JODEN
[2282.56-2284.56] 可是我們
[2284.56-2286.56] 根據一些年輕的
[2286.56-2288.56] 小伙子來看的話
[2288.56-2290.56] JODEN離他們的年紀
[2290.56-2292.56] 還有世代有點遠
[2292.56-2294.56] 那我不曉得說
[2294.56-2296.56] JODEN也沒有跟公司
[2296.56-2298.56] 開始在開發一些
[2298.56-2300.56] 新的下一世代的
[2300.56-2302.56] 明星或者是一些
[2302.56-2304.56] 比較創新的籃球鞋
[2304.56-2306.56] 的一些鞋款
[2306.56-2308.56] 或者是一些計畫
[2308.56-2310.56] 謝謝
[2310.56-2312.56] 這個還蠻
[2312.56-2314.56] 這個東西我不容易回答
[2314.56-2316.56] 因為
[2316.56-2318.56] 來產品裡面
[2318.56-2320.56] 我從
[2320.56-2322.56] 這個很久以前
[2322.56-2324.56] 我從
[2324.56-2326.56] 這個很難去
[2326.56-2328.56] 一個很產品面
[2328.56-2330.56] 第二個是它又
[2330.56-2332.56] 又牽涉到客戶的方向
[2332.56-2334.56] 那我看的都距離很大
[2334.56-2336.56] 那只是說
[2336.56-2338.56] 我看到當然現況
[2338.56-2340.56] 其實籃球鞋除了JODEN
[2340.56-2342.56] 因為JODEN已經是單獨的品牌了
[2342.56-2344.56] 那我們也有看到Nike
[2344.56-2346.56] 一直要
[2346.56-2348.56] 當然Nike還是以運動
[2348.56-2350.56] 運動員為主
[2350.56-2352.56] 它的核心價值還是在運動員
[2352.56-2354.56] 所以確實它還是以運動員
[2354.56-2356.56] 去想要去做新的
[2356.56-2358.56] 新的系列
[2358.56-2360.56] 只是說
[2360.56-2362.56] 這系列可能沒有做的這麼有名
[2362.56-2364.56] 就是如果說一般大眾
[2364.56-2366.56] 沒有做的這麼有名
[2366.56-2368.56] 可是其實Nike也一直有
[2368.56-2370.56] 我們有很多系列都做了蠻久
[2370.56-2372.56] 那
[2372.56-2374.56] 那現在看到會有些新
[2374.56-2376.56] 有些新的球鞋其實
[2376.56-2378.56] 都有在做
[2378.56-2380.56] 那HONPAI大概也都會佔比較大的
[2380.56-2382.56] 這些簽名球鞋的部分
[2382.56-2384.56] 這是我唯一能夠回到
[2384.56-2386.56] 這個部分
[2386.56-2388.56] 所以我們還是主要focus
[2388.56-2390.56] 在籃球鞋嗎
[2390.56-2392.56] 那我們有沒有涉獵到足球啊
[2392.56-2394.56] 或者是棒球啊之類的
[2394.56-2396.56] 因為RUNNING不是我們
[2396.56-2398.56] 主要關頭的嗎
[2398.56-2400.56] 球鞋鞋也是
[2400.56-2402.56] 那麼除了籃球鞋以外
[2402.56-2404.56] 有沒有其他鞋
[2404.56-2406.56] 就是種類的
[2406.56-2408.56] 有 其實我們HONPAI做
[2408.56-2410.56] 美式足球鞋
[2410.56-2412.56] 是美式足的鞋
[2412.56-2414.56] 美式足球鞋跟棒球鞋我們做
[2414.56-2416.56] 應該是主要的
[2416.56-2418.56] 主要的生產生產者
[2418.56-2420.56] 只是說
[2420.56-2422.56] 因為我平常不會講是因為它相對於
[2422.56-2424.56] 籃球它鞋其實是
[2424.56-2426.56] 相對啦它其實是比較小的
[2426.56-2428.56] 訂單所以我們不會特別去講
[2428.56-2430.56] 可是剛剛講的棒球鞋
[2430.56-2432.56] 跟美式足球鞋主要都是
[2432.56-2434.56] 在我們會是主要的生產
[2434.56-2436.56] 跟開發
[2444.56-2446.56] 好 謝謝主任
[2446.56-2448.56] 另外有投資法人提問
[2448.56-2450.56] 請問考量台幣升值
[2450.56-2452.56] 關稅生產效率提升
[2452.56-2454.56] 等諸多因素
[2454.56-2456.56] 下半年報價會以台幣計價
[2456.56-2458.56] 是升還是下滑
[2458.56-2462.56] 您說下半年
[2462.56-2464.56] 再講一次最後那個
[2464.56-2466.56] 那句
[2466.56-2468.56] 下半年報價會以台幣
[2468.56-2470.56] 計價
[2470.56-2472.56] 是上升或下滑
[2472.56-2474.56] 嗯
[2474.56-2476.56] 基本上
[2476.56-2478.56] 如果以我剛剛講的那個
[2478.56-2480.56] 匯率調整機制
[2480.56-2482.56] 就是
[2482.56-2484.56] 不管是下滑台幣如果不管是
[2484.56-2486.56] 升值跟就是如果台幣是
[2486.56-2488.56] 升值那個單價就會往上跳
[2488.56-2490.56] 如果台幣是貶值單價就會往下跳
[2490.56-2492.56] 就是因為它是一個浮動的機制
[2492.56-2494.56] 所以
[2494.56-2496.56] 所以它
[2496.56-2498.56] 它的方向就是跟著台幣的方向
[2498.56-2500.56] 是這樣
[2502.56-2504.56] 好謝謝主任
[2504.56-2506.56] 另外有
[2506.56-2508.56] 提問
[2508.56-2510.56] 非情主任更新
[2510.56-2512.56] 客戶年第一季
[2512.56-2514.56] 主要客戶佔比
[2514.56-2516.56] 主要客戶佔比
[2516.56-2518.56] 其實也是差不多
[2518.56-2520.56] 第一季
[2520.56-2522.56] 第一季我可能
[2522.56-2524.56] 第一季
[2524.56-2526.56] 我覺得
[2526.56-2528.56] 我們過去會說
[2528.56-2530.56] Nike的Full Wear是85%
[2530.56-2532.56] 大概是85%
[2532.56-2534.56] 上下這樣子但是我不好意思
[2534.56-2536.56] 因為我其實沒有明確的數據
[2536.56-2538.56] 只是說可能
[2538.56-2540.56] 因為我們在
[2540.56-2542.56] 我們的另外一個客戶Solomon
[2542.56-2544.56] Solomon在
[2544.56-2546.56] 2024的佔比大約是6%
[2546.56-2548.56] 2024的佔比
[2548.56-2550.56] 那其實
[2550.56-2552.56] 我們預期是2025的佔比會
[2552.56-2554.56] 稍微往上提升
[2554.56-2556.56] 因為Solomon這個品牌
[2556.56-2558.56] 它的成長是比較快的
[2558.56-2560.56] 我們預期它今年其實
[2560.56-2562.56] 可能相對於2024它可以有
[2562.56-2564.56] 兩位數的成長
[2564.56-2566.56] 所以我想第一季的佔比
[2566.56-2568.56] 會做一些小小的變化
[2568.56-2570.56] 可是不會太大
[2570.56-2572.56] 但只是我沒有具體數據跟大家說
[2572.56-2574.56] 這樣子
[2578.56-2580.56] 好 謝謝主任
[2580.56-2582.56] 另外有法人提問
[2582.56-2584.56] 請問五月的OP Margin提升
[2584.56-2586.56] 乃至新廠
[2586.56-2588.56] 虧損縮小
[2588.56-2590.56] 跟獎金費用
[2590.56-2592.56] 降低貢獻約當多少
[2592.56-2594.56] 獎金費用降低貢獻約當多少
[2594.56-2596.56] 以百分比來看
[2596.56-2598.56] 以百分比來看
[2598.56-2600.56] 應該
[2600.56-2602.56] 可能我很難講具體
[2602.56-2604.56] 因為這個只是
[2604.56-2606.56] 以百分比來看
[2606.56-2608.56] 應該有一半以上是來自於生產
[2608.56-2610.56] 就是生產效率的
[2610.56-2612.56] 跟新廠課程經商的
[2612.56-2614.56] 的增加
[2614.56-2616.56] 一半以上這樣子
[2620.56-2622.56] 好 謝謝主任
[2622.56-2624.56] 上述留言板上留言的提問
[2624.56-2626.56] 都已經提問完畢
[2626.56-2628.56] 如果有投資法人
[2628.56-2630.56] 後續有提問的話再請留言
[2630.56-2632.56] 謝謝
[2642.56-2644.56] 主任您好
[2644.56-2646.56] 請教一下您
[2646.56-2648.56] 調整那個生產基地
[2648.56-2650.56] 是中國的佔比會再降低嗎
[2650.56-2652.56] 是中國的佔比會再降低嗎
[2652.56-2654.56] 會降到沒有
[2654.56-2656.56] 現在是10%
[2656.56-2658.56] 我這裡
[2658.56-2660.56] 其實我剛剛也應該補充
[2660.56-2662.56] 我們對中國的工廠的
[2662.56-2664.56] 策略其實我們是
[2664.56-2666.56] 我們是
[2666.56-2668.56] 不會去
[2668.56-2670.56] 不會去讓他的產能沒有
[2670.56-2672.56] 因為第一我們在中國
[2672.56-2674.56] 已經超過30年了
[2674.56-2676.56] 我們對這個團隊是
[2676.56-2678.56] 很有信心中國的團隊
[2678.56-2680.56] 所以他不會到沒有
[2680.56-2682.56] 因為他其實我們還是會利用
[2682.56-2684.56] 在中國生產的優勢
[2684.56-2686.56] 其實中國團隊在接
[2686.56-2688.56] 高技術高單價
[2688.56-2690.56] 的品質跟效率
[2690.56-2692.56] 都是非常的好的
[2692.56-2694.56] 那所以第一個
[2694.56-2696.56] 他第一個可以運用當然還有內銷
[2696.56-2698.56] 我們會盡量未來就是以內銷為主
[2698.56-2700.56] 然後還有
[2700.56-2702.56] 想辦法從
[2702.56-2704.56] 這一些更高技術更高單價的
[2704.56-2706.56] 去爭取
[2706.56-2708.56] 所以這裡未來也有很多
[2708.56-2710.56] 不同的機會
[2710.56-2712.56] 但是不會讓他中國的產能沒有
[2712.56-2720.56] 所以一開始是提到高技術的一些產品要移轉出來
[2720.56-2722.56] 那我記得中國以前就是做這種高技術高單價的東西
[2722.56-2724.56] 那你是想要把他移到
[2724.56-2726.56] 越南嗎
[2726.56-2728.56] 就是越南的負擔會再增加
[2728.56-2730.56] 我想問一下如果你在配合
[2730.56-2732.56] Nike的生產機率調整
[2732.56-2734.56] 你是要增加印度
[2734.56-2736.56] 還是印尼還是
[2736.56-2738.56] 越南這樣子的配比
[2738.56-2740.56] 謝謝
[2740.56-2742.56] 基本上
[2742.56-2744.56] 我們大概
[2744.56-2746.56] 我們在我們自己每一年
[2746.56-2748.56] 會講一個順序
[2748.56-2750.56] 就是說中國是最高技術最高難度的
[2750.56-2752.56] 越南已經
[2752.56-2754.56] 逐漸可以承接高技術高難度的
[2754.56-2756.56] 所以基本上會第一承接中國的
[2756.56-2758.56] 絕對會是越南的團隊
[2758.56-2760.56] 那在這個之下
[2760.56-2762.56] 當然我們就會有一些
[2762.56-2764.56] 一定會去再調配
[2764.56-2766.56] 有些到印尼有些到印度
[2766.56-2768.56] 可能越南的或是一些這個協型
[2768.56-2770.56] 可以再善用印尼的
[2770.56-2772.56] 那這個之後我們會再調配
[2772.56-2774.56] 印度的產能
[2774.56-2776.56] 所以這些都會去
[2776.56-2778.56] 都會動到
[2778.56-2780.56] 大家都會去在這個整個調配生產機率的
[2780.56-2782.56] 這樣子的
[2782.56-2784.56] 這樣的作業中去動到
[2784.56-2786.56] 只是說方向一定是
[2786.56-2788.56] 當然我們會以越南文字
[2788.56-2790.56] 去承接這些困難度比較高的
[2790.56-2792.56] 因為確實這個
[2792.56-2794.56] 這個字寫它對於
[2794.56-2796.56] 尤其像Nike比較複雜
[2796.56-2798.56] 它對於skill worker的需求是
[2798.56-2800.56] 很高的
[2800.56-2802.56] 那還有越南我們其實在越南
[2802.56-2804.56] 我們已經在台北
[2804.56-2806.56] 非常久
[2806.56-2808.56] 雖然在2023到2024
[2808.56-2810.56] 我們的訂單其實是有減少的
[2810.56-2812.56] 可是我們其實
[2812.56-2814.56] 風態是沒有Layoff的遠鋒
[2814.56-2816.56] 我們大概我們是靠著自然流失率
[2816.56-2818.56] 在達成那個
[2818.56-2820.56] 人力跟訂單的平衡
[2820.56-2822.56] 那所以這個
[2822.56-2824.56] 達成人力跟訂單的平衡
[2824.56-2826.56] 其實會花比較長的時間
[2826.56-2828.56] 因為我們就有一次性的Layoff
[2828.56-2830.56] 但我自己看到這個對於
[2830.56-2832.56] 對於越南現在要承接
[2832.56-2833.72] 應該是有幫助的
[2833.72-2837.20] 因為基本上我們現有的人力是不夠的
[2837.20-2840.64] 那所以
[2840.64-2842.64] 貴大人的問題就是
[2842.64-2844.64] 我們會以越南為主
[2844.64-2846.64] 只是說這個所有動造的生產機率
[2846.64-2848.64] 印尼的運輸都會在等著
[2848.64-2850.64] 然後會計劃一個比較好的
[2850.64-2852.64] 菊主任
[2852.64-2854.64] 我想請教您一個問題
[2854.64-2856.64] 就關稅來說
[2856.64-2858.64] 越南46%
[2858.64-2860.64] 那它跟印尼或者是印度來比的話
[2860.64-2862.64] 它相對是非常不利
[2862.64-2864.64] 那品牌商
[2864.64-2866.64] 對品牌商來說
[2866.64-2868.64] 它自己消網肥妹的部分
[2868.64-2870.64] 一樣是最多的
[2870.64-2872.64] 他們沒有要求說哪一些
[2872.64-2874.64] 應該要轉往印度
[2874.64-2876.64] 或者是印度
[2876.64-2878.64] 不是根據血管的檢查
[2878.64-2880.64] 或什麼的
[2880.64-2882.64] 純粹就是以關稅的角度來看
[2882.64-2884.64] 嗯
[2884.64-2886.64] 我這
[2886.64-2888.64] 這一個有沒有在客戶的
[2888.64-2890.64] 這客戶怎麼考量
[2890.64-2892.64] 其實
[2892.64-2894.64] 我很
[2894.64-2896.64] 他們已經提出來了嗎
[2896.64-2898.64] 其實
[2898.64-2900.64] 其實我們
[2900.64-2902.64] 我自己認為
[2902.64-2904.64] 因為
[2904.64-2906.64] 因為
[2906.64-2908.64] 現在我看到的狀況
[2908.64-2910.64] 大家還是在越南去生產
[2910.64-2912.64] 因為
[2912.64-2914.64] 絕大部分的鞋子
[2914.64-2916.64] 還是在越南
[2916.64-2918.64] 而且越南是比較有努力做
[2918.64-2920.64] 比較困難的鞋子
[2920.64-2922.64] 一個困難的鞋子如果放到印度跟印尼去做
[2922.64-2924.64] 到
[2924.64-2926.64] 品質跟效率都做不出來
[2926.64-2928.64] 其實它對於
[2928.64-2930.64] 對於品牌
[2930.64-2932.64] 它的供貨需求也是很難
[2932.64-2934.64] 所以我覺得這裡的
[2934.64-2936.64] 討論會比較雙向的
[2936.64-2938.64] 就是說會依照
[2938.64-2940.64] 真的供應商
[2940.64-2942.64] 他各生產機器的能力來
