[0.00-5.00] 各位投資先進,各位媒體朋友,各位女士,各位先生
[1535.28-1538.28] 台灣跟客場的一個實力關係
[1538.28-1539.28] 那你台灣還去
[1539.28-1541.28] 非運牌的非常豐富
[1541.28-1542.28] 非常非常豐富
[1542.28-1545.28] 整個貿易跟美國之間的
[1545.28-1546.28] 所謂的順差
[1546.28-1547.28] 台銀大概40年都談得到
[1547.28-1549.28] 38 40年
[1549.28-1551.28] 所以他本身絕對不是被卡給
[1551.28-1553.28] 本身因為我們在台銀
[1553.28-1555.28] 他也沒有一個
[1555.28-1557.28] 美國看得想要的東西
[1557.28-1558.28] 你要嘛
[1558.28-1560.28] 你手上摸了一個台銀店
[1560.28-1561.28] 要嘛你摸了稀土
[1561.28-1563.28] 你懷疑我醉
[1563.28-1564.28] 他會打你
[1564.28-1565.28] 那這
[1565.28-1566.28] 假如你沒有這些事情的話
[1566.28-1567.28] 他也沒有理由去打你
[1567.28-1569.28] 所以我的理論很簡單
[1569.28-1571.28] 我們今天是站在一個
[1571.28-1572.28] 商業局的安全的一個點
[1572.28-1573.28] 那這個點上
[1573.28-1575.28] 我們只能等它發生的時候
[1575.28-1576.28] 才來處理
[1576.28-1578.28] 那台灣假如真的能拍得到
[1578.28-1580.28] 那當然想很快就去說
[1580.28-1581.28] 非運牌
[1581.28-1583.28] 我們要去做
[1583.28-1588.28] 我們目前的人力的配置
[1588.28-1591.28] 都是希望能夠得到最大彈性
[1591.28-1592.28] 就是人跟人的流通
[1592.28-1594.28] 怎麼樣有效的在一路過程中
[1594.28-1595.28] 可以開始
[1595.28-1596.28] 那是我們很多做的
[1596.28-1597.28] 大概是做這些準備
[1597.28-1599.28] 當然我提到
[1599.28-1601.28] 我們去年把非運產能打破了
[1601.28-1603.28] 所以我覺得非運產能
[1603.28-1605.28] 是實質站在
[1605.28-1606.28] 站在這個點上
[1606.28-1608.28] 我絕對有機會把台灣
[1608.28-1610.28] 萬一有狀況的話
[1610.28-1613.28] 我們可以吃掉台灣全部的財產
[1613.28-1615.28] 這個是把握度是夠高的
[1615.28-1617.28] 那當然一個過程是有個時間
[1617.28-1619.28] 是也必不時的
[1619.28-1621.28] 可以立即的能夠移得出去
[1621.28-1623.28] 那不然對打它也不一定長期打的
[1623.28-1624.28] 它有時候打完之後
[1624.28-1625.28] 當你得到牌的話
[1625.28-1626.28] 你才能拿掉
[1626.28-1629.28] 這在墨西哥在卡加拿大都看不到
[1629.28-1630.28] 看他想要什麼東西
[1630.28-1632.28] 這些東西我們都沒有辦法
[1632.28-1634.28] 很清楚的能夠抑制到
[1634.28-1635.28] 他可能的狀況
[1635.28-1636.28] 我們只能講
[1636.28-1638.28] 這件事我們都先不許
[1638.28-1639.28] 相對而言
[1639.28-1640.28] 對CIO而言
[1640.28-1641.28] 對我個人而言
[1641.28-1643.28] 我們相對是站在一個比較深的位置
[1643.28-1646.28] 所以當時選的地方可能
[1646.28-1648.28] 沒有跟著大家一起走
[1648.28-1650.28] 可能是對的
[1650.28-1651.28] 我跟著大家一起走
[1651.28-1652.28] 我也在北約
[1652.28-1654.28] 我們沒有跟著大家一起走
[1654.28-1655.28] 我們選了一個
[1655.28-1658.28] 一個善意的相對人性的感覺起來
[1658.28-1660.28] 他的勞力工藝充分
[1660.28-1662.28] 然後他在整個
[1662.28-1663.28] 做派對的風險
[1663.28-1664.28] 就是對美國的風險
[1664.28-1665.28] 他是第一的
[1665.28-1667.28] 當然我們沒辦法不一樣
[1667.28-1668.28] 我們沒辦法不一樣
[1668.28-1669.28] 我要講
[1669.28-1670.28] 打到我的話
[1670.28-1672.28] 那就是大家不一樣
[1673.28-1675.28] 所以某些狀況
[1675.28-1677.28] 這是目前整體的一個
[1677.28-1678.28] 對於大黃金的
[1678.28-1680.28] 我們看到的一個理論主題
[1680.28-1682.28] 我們沒有任何角色的心理
[1682.28-1684.28] 我們心裡面
[1684.28-1686.28] 在內部做盤戰的時候
[1686.28-1688.28] 我們是強勢的會發生
[1688.28-1692.28] 那本土模式目前沒有進去
[1692.28-1694.28] 本土模式沒有進去
[1694.28-1696.28] 本土模式有什麼東西
[1696.28-1698.28] 我去年的財富流動
[1698.28-1699.28] 我的資本流動的
[1699.28-1701.28] 延長和財富流動的
[1701.28-1703.28] 本土模式進去了
[1703.28-1704.28] 所以我們當時的保險
[1704.28-1705.28] 我們的航道是
[1705.28-1706.28] 要去牛逼買的
[1706.28-1707.28] 錢已經付完了
[1707.28-1709.28] 那真發生有疑吧
[1709.28-1710.28] 一定有成本
[1710.28-1711.28] 一定有成本
[1711.28-1713.28] 短期一定還是有震盪
[1715.28-1718.28] 你或從中國出道案的時候
[1718.28-1720.28] 他是不曉得
[1720.28-1722.28] 那個手機關稅到底要打
[1722.28-1723.28] 我不知道
[1723.28-1724.28] 到案你才知道關稅要打去
[1724.28-1726.28] 打下去的關稅誰過
[1726.28-1728.28] 這些都是不確定的因素
[1728.28-1730.28] 有多少人會發生
[1730.28-1732.28] 我覺得發生的機會是大
[1732.28-1734.28] 所以我們心裡是要有準備
[1734.28-1735.28] 可是現在這一段
[1735.28-1737.28] 我們沒辦法factor這個概念
[1737.28-1739.28] 沒辦法factor一部份的概念
[1739.28-1741.28] 因為財產太過廉恥
[1741.28-1742.28] 所以我剛才提到
[1742.28-1744.28] 整體的負責調整
[1744.28-1746.28] 我們整理的負責調整
[1746.28-1747.28] 我們看來是調整方向
[1747.28-1749.28] 整個需求我們也看不太來
[1749.28-1752.28] 以實話現在訂單看到Q
[1752.28-1754.28] 訂單看到Q次
[1754.28-1756.28] 訂單Q基本上現在全都看到Q
[1756.28-1758.28] 今年那個訂單已經到位了
[1758.28-1761.28] 那訂單會不會做調整
[1761.28-1764.28] 就depend上它整個未來
[1764.28-1766.28] 這一兩個月兩三個月
[1766.28-1768.28] 它所產生的這些
[1768.28-1772.28] 實質上下達命運之後的report
[1772.28-1775.28] 打下去之後一定會有一對拉拔的過程
[1775.28-1780.28] 全面打那demand一定被壓抑
[1780.28-1783.28] 我們當然整個風向右邊
[1783.28-1786.28] 我相信做決策的人不會這麼
[1786.28-1789.28] 不會做到這個地步
[1789.28-1790.28] 不會的
[1791.28-1792.28] 照光股建
[1792.28-1794.28] 建五一股到底是
[1794.28-1795.28] 心裡想是什麼
[1795.28-1797.28] 拿到的時候IQ的動作
[1797.28-1798.28] 跟現在持持腳趴的角度
[1798.28-1800.28] 不一定會一樣
[1800.28-1803.28] 所以目前我大概只能講到這個點
[1803.28-1804.28] 只能講到這個點
[1804.28-1806.28] 就是我們今天跟大家
[1806.28-1809.28] 針對今年的說明的
[1809.28-1811.28] 所以
[1811.28-1815.28] 二零六年其實我們
[1815.28-1817.28] 看的是延續了二零二五年
[1817.28-1819.28] Q3 Q10的成長幅度
[1819.28-1821.28] 二零六年我們看到的是
[1821.28-1823.28] 更多的
[1823.28-1827.28] 早先我們提到整個在傳輸網的
[1827.28-1830.28] 離開家裡的這些運用的
[1830.28-1832.28] 不管是在街頭的運用
[1832.28-1834.28] 不管是在電力的運用
[1834.28-1837.28] 不管是在有限或無限的
[1837.28-1840.28] 寬頻的街鋪的這邊
[1840.28-1842.28] 接點上的一些運用
[1842.28-1845.28] 我們看到這個是中聯合學院
[1845.28-1848.28] 研發部件比較重點的一個部
[1848.28-1850.28] 我們消息同業
[1850.28-1853.28] 我們研發支出還是比別人多的
[1853.28-1856.28] 這個研發支出要是沒有辦法在未來
[1856.28-1859.28] 沒有辦法在未來
[1859.28-1861.28] delive這些value
[1861.28-1864.28] 那management等於是做人間不對的事情
[1864.28-1867.28] 相對而言
[1867.28-1870.28] 這樣的投入在relation上面
[1870.28-1871.28] 沒有人認可
[1871.28-1873.28] 因為我們還沒delive
[1873.28-1875.28] 所以你們基本上沒有跟我們relation
[1875.28-1878.28] 我A跟B跟C不同公式比
[1878.28-1879.28] 為什麼這兩公式
[1879.28-1880.28] 都是做比較大的研發
[1880.28-1882.28] 是因為它的研發效率不好
[1882.28-1884.28] 還是它多作用
[1884.28-1886.28] 所以這一點呢
[1886.28-1888.28] 是一直沒有辦法被deadline的
[1888.28-1891.28] 這個對我而言也是我印象最大的壓力
[1891.28-1894.28] 我認為2020年我們會有比較亮眼的
[1894.28-1895.28] 新的可能的
[1895.28-1898.28] 不是只有在臺灣成長
[1898.28-1899.28] 我們會有非常新的
[1899.28-1902.28] 看到比較juicy的產品會進入
[1902.28-1906.28] 這個overall的整體展望
[1906.28-1908.28] 我今天跟大家報告的部分
[1909.28-1911.28] 會令到我們更加精彩
[1911.28-1913.28] 現在新典裝修度也 Mercy
[1913.28-1915.48] 對
[1915.48-1916.88] 這 circumstances
[1916.88-1919.28] 補口
[1919.28-1920.56] 有頭要用三 выд
[1920.56-1921.28] 這時期
[1921.28-1922.96] 你們我腳會這邊
[1922.96-1925.08] 這次的 boys
[1925.08-1926.48] 這時期
[1926.48-1928.18] 今天我們會為大家把因為
[1928.18-1931.28] 你們的身體運作
[1931.28-1933.28] .-1997年
[1933.28-1934.46] 정 樂
[1934.46-1935.28] 年初
[1935.28-1936.12] 今年
[1936.12-1936.68] 一年
[1936.68-1937.28] 今天
[1937.28-1938.28] 現在就是主彩
[1938.28-1939.28] 就是女生
[1939.28-1941.04] 想請教兩個問題
[1941.04-1943.84] 第一個就是我們在印度這邊
[1943.84-1945.12] 這個Copule A
[1945.12-1946.88] 會不會大概再給我們一點
[1946.88-1948.48] 就是今年成長性的想法
[1948.48-1949.68] 還有就是因為
[1949.68-1951.04] 其實有看到很多的同業
[1951.04-1952.40] 有陸陸續續的進來
[1952.40-1955.20] 那我們有沒有遇到怎麼樣子的一些
[1955.20-1958.48] 在這個價格或就是產品上的競爭
[1958.48-1960.00] 那要怎麼面對
[1960.00-1961.92] 這是第一個問題 謝謝
[1961.92-1963.28] 你去問吧
[1963.28-1964.88] 好 那第二個問題就是
[1964.88-1966.08] 因為我們其實剛才提到
[1966.08-1968.16] 2026年有一些新的產品
[1968.16-1970.16] 那其實我們過去有提到像是
[1970.16-1972.24] AI相關或者是半局段
[1972.24-1973.84] 跟一些車用相關的
[1973.84-1975.36] 那可不可以給我們一些
[1975.36-1978.00] 更多的一些要素跟展望
[1978.00-1978.80] 謝謝
[1988.00-1993.12] MWA在南亞的成長
[1993.12-1997.12] 主要是單一產的
[1997.12-1998.08] 單一科普在去
[1998.08-2001.52] 其實MWA包含非非
[2001.52-2003.04] 印度碰到過程的問題
[2003.04-2007.04] 就是我們這個6G以內的領土
[2007.04-2009.28] 到底還可以裝多少才能進去
[2009.28-2010.64] 其實我們其實說
[2010.64-2012.32] 開開晶 同業晶圓的競爭
[2012.32-2013.44] 反正派很大的
[2013.44-2014.56] 大概一萬分
[2014.56-2016.56] 大概也就台灣一場的這幾家很難分
[2016.56-2019.68] 這幾家都是不錯的同業
[2019.68-2020.96] 我想我們一定都有
[2020.96-2022.64] 我們自己能夠拿到
[2022.64-2023.84] 可以拿到的份額
[2023.84-2025.92] 在非美的市場跟印度市場
[2025.92-2027.92] 看不決一度台灣一場的分
[2028.08-2030.64] 大部分的幾家人也都知道
[2030.64-2035.12] 其實整個MWA最大的constraint是
[2035.12-2039.60] 我們目前這個3.5 2.6 2.5這個領土
[2039.60-2042.16] 目前能夠有多少
[2042.16-2044.08] 才能夠給周圍的網友
[2044.08-2046.88] 網的視頻寬是
[2046.88-2048.48] 我們手機視頻寬
[2048.48-2050.48] 資費可能是4P
[2050.48-2052.40] 有時你同樣的資費
[2052.40-2054.48] 你可能吃到的平
[2054.48-2056.48] 你吃到的平的是手機的
[2056.48-2057.92] 吃的他們要怎樣
[2058.08-2059.04] 他的效果
[2059.04-2061.04] 就是他的CP值比起來
[2061.04-2063.04] 他要差到10倍
[2063.04-2065.76] 所以當手機開始上來的時候
[2065.76-2067.52] 平均寬資優勢給郭文貴用事
[2067.52-2069.60] 因為他的資費更優勢
[2069.60-2071.20] 所以當這種狀況
[2071.20-2073.44] 當手機越來越多人進來的時候
[2073.44-2074.72] 平均會不足
[2074.72-2077.28] 這是目前最大的一個constraint
[2077.28-2080.48] 那我們就兩點就還是個技術的演化
[2080.48-2081.68] 你是最可怕的
[2081.68-2083.20] 你繼續去打這個
[2083.20-2084.96] 還是說你想辦法
[2084.96-2086.24] 把你最終拿到
[2086.24-2087.04] 也就是說
[2087.04-2088.00] 我們把平均能用的
[2088.08-2089.04] 平均能拿到
[2089.04-2091.04] 跟牽涉更好的modulation
[2091.04-2092.72] 更好的貼線的設計
[2092.72-2094.48] 這支東西很厲害
[2094.48-2095.60] 當然還有
[2095.60-2098.48] 你往高屏走
[2098.48-2100.88] 高屏上面還有一整片的平均
[2100.88-2101.52] 對不對
[2101.52-2103.28] 這個低落衛星用到了
[2103.28-2104.40] 13時之機
[2104.40-2105.60] 那你說27號
[2105.60-2106.56] 16號是8
[2106.56-2107.28] 一堆
[2107.28-2109.28] 大家都不小心用了
[2109.28-2110.24] 那邊
[2110.24-2112.16] 往那邊往上推
[2112.16-2114.56] 那一定是未來的一個抗撞大招
[2114.56-2117.20] 那這邊的導入的時間點
[2117.20-2119.20] 可能它會有一些事後
[2119.20-2121.52] 因為它會有一些驗證的過程
[2121.52-2122.80] 還有驗證的過程
[2122.80-2124.88] 那可以看得到
[2124.88-2127.12] 北美跟印度在FWA
[2127.12-2128.72] 今年一定成長多次
[2128.72-2129.68] 進入高流區
[2129.68-2130.96] 它不可能像去年這樣子
[2130.96-2131.76] 前年這樣子
[2131.76-2133.04] 這種指向上漲
[2133.04-2134.64] 它已經走到高流區了
[2134.64-2136.40] 大家會有辦法來
[2136.40-2138.40] 所以我們今年的成長
[2138.40-2141.52] 沒有靠FWA在學我們的成長
[2141.52-2142.80] 我只是這次機器
[2142.80-2144.32] 這次機器它會有個基調
[2144.32-2146.64] 對我們的base line來講好
[2147.20-2149.76] 未來要能夠再往上走
[2149.76-2151.36] 要有新的
[2151.36-2152.96] 完全力學技術技能
[2152.96-2154.32] 要有新的領土
[2154.32-2155.84] 能夠被具體的使用
[2155.84-2156.80] 這是關鍵
[2156.80-2158.72] AI方面我請你做配套
[2158.72-2159.84] 太太可以
[2162.56-2164.64] 在AI的投入方面
[2164.64-2166.24] 在去年之前
[2166.24-2169.28] 因為深層次AI產生的市場機會
[2169.28-2171.52] 幾乎都是在457
[2171.52-2174.08] 你們是與Illinois在那邊
[2174.08-2176.64] 所這個佔據
[2177.20-2179.76] 所以我們在這個年代
[2179.76-2186.16] 我們也陸陸續續看到一些晶片廠商
[2186.16-2191.28] 他們推出所謂的雙MPU的架構
[2191.28-2193.28] 雙MPU架構就是
[2193.28-2197.68] 第一個N就是網路的處理單元
[2197.68-2199.76] 第二個N就是神經
[2199.76-2204.08] AI所談的就是神經網路的一個處理單元
[2204.08-2206.32] 兩個剛好都是A開頭的
[2207.20-2208.48] 然後就是雙MPU架構
[2208.48-2210.48] 雙MPU架構開始之後
[2210.48-2212.32] 就是有一些AI
[2212.32-2214.48] 深層次AI
[2214.48-2217.44] 原來在雲端的就可以開始往
[2217.44-2220.96] 這個中端
[2220.96-2226.40] 或者是這個半雲端的這個應用台走
[2226.40-2228.40] 一千這套是
[2228.40-2231.52] 這個中端就是我們公司的強項
[2231.52-2234.08] 我們公司在AI投入從
[2234.08-2236.64] 大概應該有十年
[2237.20-2242.32] 因為這個新的雙MPU架構的一些晶片
[2242.32-2243.60] 我們已經開始
[2243.60-2247.44] 把雲端的一些深層次AI的運用
[2247.44-2250.00] 開始往中端這邊導演
[2250.00-2256.40] 這個就可以在這個
[2256.40-2260.24] 至少在明年你應該就可以看到了
[2260.24-2262.80] 快速外觀在今年也就可以看到
[2262.80-2265.36] 一些相關的產品出來
[2267.20-2271.04] 這裡面有幾個
[2271.04-2273.60] 有幾個應用的節點
[2273.60-2278.72] 在整個影像處理的安撫方面運用
[2278.72-2281.28] 這絕對是對我們來說比較難學的
[2281.28-2286.40] 以前我們影像偵測到的東西
[2286.40-2288.96] 當然就會丟一段視頻給你
[2288.96-2292.16] 林董現在做的這些東西
[2292.16-2294.08] 以後你手機收的不是視頻
[2294.08-2296.64] 你是收的一個穿
[2297.20-2301.04] 咖啡色毛衣的女士
[2301.04-2303.60] 或者你會收到有個戴眼鏡
[2303.60-2306.16] 戴圍巾的女士在你家裡活動
[2306.16-2308.72] 你會收到這個開始
[2308.72-2311.92] 就是你們所謂的LVM的發生
[2311.92-2316.40] 在未來我們叫做LVM
[2316.40-2317.68] LVM
[2317.68-2320.24] 也是它是多麼不把我一起
[2320.24-2322.80] 它英語跟Taxi 都不把我一起
[2322.80-2325.36] 我們其實在做印象電視的時候
[2325.36-2326.64] 東西在動
[2326.64-2327.92] 我們以前最文古的誤判
[2327.92-2329.20] 誤判什麼
[2329.20-2330.48] 樹搖影子在動
[2330.48-2331.76] 它以為是人在動
[2331.76-2333.04] 因為不好拍
[2333.04-2334.32] 不好拍
[2334.32-2336.88] 這些判別以前都是靠我們所謂Deep Learning
[2336.88-2339.44] 反覆在訓練
[2339.44-2340.72] 反覆在訓練
[2340.72-2343.28] 那以後整個雲跟端之間的整合之後
[2343.28-2344.56] 我知道有東西動
[2344.56-2347.12] 我大概知道什麼東西動
[2347.12-2349.68] 我丟到上去它告訴我是exactly什麼東西在動
[2349.68-2350.96] 是什麼樣的東西在動
[2350.96-2353.52] 這個非常的準
[2353.52-2356.08] 準到你不能相信的準
[2356.08-2358.08] 你們自己玩過這些Lipsync
[2358.08-2361.92] 玩過這些OpenChange.it
[2361.92-2363.76] 知道它現在回來給你拿案
[2363.76-2365.04] 越來越準
[2365.04-2366.32] 因為它是一樣的
[2366.32-2370.16] 所以這個應用在未來絕對會是一個比較突破的一些應用
[2370.16-2374.00] 也就是在安保安控以前實時24小時監控
[2374.00-2376.56] 以後全部是輪法的監控
[2376.56-2379.12] 全部輪法的監控而且非常的準
[2379.12-2381.68] 這個一定是Low Meaningful
[2381.68-2385.52] 那這個一定需要整個在前端的Edge
[2386.08-2387.36] 在這個搭配上
[2387.36-2388.64] 就剛才林總講的
[2388.64-2389.92] 我一定要用上
[2389.92-2392.48] 因為我不能我VD有可能全部往上丟嘛
[2392.48-2393.76] 我一定選擇是一個丟盲的
[2393.76-2395.68] 我丟上去我才去保護
[2395.68-2396.96] 不然不會用到
[2396.96-2400.16] 這兩個搭配又要有雲又有端
[2400.16-2401.44] 我們在這個點上面
[2401.44-2404.00] 從今年四月份五月份你看
[2404.00-2406.56] 大量放量的都是那種產品
[2406.56-2409.12] 這種產品出來以後
[2409.12-2412.96] 當然它絕對是一個革命性的未來一個新的時代的東西了
[2412.96-2414.24] 這個
[2414.24-2415.52] 醫療上的一些器材
[2416.08-2417.36] AI跑出來的
[2417.36-2419.92] 很大程度通通語音的AI
[2419.92-2422.48] 這些醫生這些護士在動的時候
[2422.48-2426.32] 他基本上給人的Cash是要對人家講話
[2426.32-2427.60] 他手裡拿一本
[2427.60-2428.88] 他另外拿一本
[2428.88-2430.16] 他要用心的時候
[2430.16-2431.44] 基本上類似的AI裝置
[2431.44-2432.72] 放在身上
[2432.72-2435.28] 那實際是語音的AI
[2435.28-2437.84] 所以就像影像的AI
[2437.84-2439.12] 語音的AI
[2439.12-2442.96] 基本上在後面跟到LM做結合之後
[2442.96-2445.52] 把這些東西全部變成一個異例東西
[2446.08-2447.36] 所以我們看到了一種
[2447.36-2448.64] 它所產生的這些未來的優勢
[2448.64-2451.20] 是完全不同的一個領域
[2451.20-2453.76] 這是我們看到一款
[2453.76-2455.04] 這很簡單的
[2455.04-2456.32] 裡面很容易懂的
[2456.32-2457.60] 我們另外看到一款
[2457.60-2460.16] 過往這些
[2460.16-2462.72] 網路生成的時候
[2462.72-2464.00] 你要去投資建構網路
[2464.00-2465.28] 我們所謂的Catnet
[2465.28-2466.56] 要投資
[2466.56-2467.84] 投完之後以後
[2467.84-2471.68] 未來要運運
[2471.68-2472.96] 中華電信也好
[2472.96-2474.24] 演唱也好
[2474.24-2475.52] 台客也好
[2475.52-2477.32] 大批人就違譽
[2477.32-2478.60] 違譽什麼呢
[2478.60-2480.64] 到人心站
[2480.64-2483.20] 網域的設計
[2483.20-2485.76] 領域的配置有沒有最佳化
[2485.76-2488.32] 我們這條線斷了之後斷在哪裡
[2488.32-2490.12] 你家裡的Wi-Fi不通
[2490.12-2491.64] 打彎罵他
[2491.64-2494.72] 搞得是不是Wi-Fi不通還是線連花斷
[2494.72-2496.26] 這些語音上的問題
[2496.26-2499.32] 基本上全部都是人工在做
[2499.32-2503.68] 下一世代的總共網域上面
[2503.68-2505.48] 它所有的
[2505.52-2507.06] 這種感人的東西
[2507.06-2508.34] 所有的這種
[2508.34-2511.66] 判別文語基本上全部是人工
[2511.66-2512.68] 全部是人工
[2512.68-2515.00] 所以這也是一個operate的機會
[2515.00-2517.80] 這一塊一般人你們大概看不見
[2517.80-2518.58] 你們看不見
[2518.58-2519.60] 對我們而言
[2519.60-2520.36] 這是很大的
[2520.36-2522.16] 這些人都要是保護
[2522.16-2523.18] 因為他需要
[2523.18-2525.48] 他又需要斷根根直接的解隔
[2525.48-2527.02] 只要你需要斷根根
[2527.02-2528.04] 我們就當然可以完了
[2528.04-2529.58] 因為我們在Evidence House
[2529.58-2530.86] 我們的成像
[2530.86-2533.94] 我們投了他那樣的人在做這麼多
[2533.94-2534.96] 老實講
[2535.52-2536.54] 他投了十幾年了
[2536.54-2537.32] 他不想十年
[2537.32-2538.60] 他投了十二年
[2538.60-2540.90] 他二一三年就開始國保以來
[2540.90-2542.18] 搞太少了
[2542.18-2543.20] 搞太少了
[2543.20-2545.00] 投了這麼多年
[2545.00-2547.30] 也燒了這麼多資源在裡面
[2547.30-2548.84] 當這個起來的時候
[2548.84-2549.86] 我們一定
[2549.86-2551.64] 因為我們裡面有技術嘛
[2551.64-2552.68] 我們知道怎麼做
[2552.68-2554.46] 我們不是在給人告訴我們怎麼做
[2554.46-2556.26] 我們早就在做這個東西了
[2556.26-2557.54] before你在做這個
[2557.54-2559.84] 我們拼命用最早的這種
[2559.84-2561.64] 神經網路在Chain我們的Video
[2561.64-2563.68] 當時CPU不夠力
[2563.68-2564.96] 長期辦法在考鑫
[2564.96-2565.48] CPU越來越難
[2565.52-2568.84] 當然對我們對水耗於塵
[2568.84-2570.64] 這邊的應用會出來
[2570.64-2572.18] 還有我剛才提到
[2572.18-2573.46] 核心網路
[2573.46-2575.76] 整個網路上的AI建制之後
[2575.76-2578.58] 這就是牽涉到一個arbitrary
[2578.58-2580.88] 我是現在投錢
[2580.88-2583.70] 投了以後我是不是唯一的人就交錢了
[2583.70-2587.02] 這是一個K-Pax by O-Pax的一個動作
[2587.02-2589.58] 這裡面的拿捏
[2589.58-2591.64] 就去問
[2591.64-2592.92] 幾個運營商
[2592.92-2593.94] 他們
[2593.94-2595.48] 比較有閒單的
[2595.52-2597.82] 口袋深的運營商看到這個
[2597.82-2600.12] 他可以想像未來五年十年
[2600.12-2602.18] 我根本不要那麼多運營的人
[2602.18-2604.22] 所以我求你回來導演
[2604.22-2606.28] 那這些人如果他跟我講的
[2606.28-2609.34] 他想說為啥我根本不要人每天盯著螢幕看
[2609.34-2612.42] 我承諾你24小時時的監控
[2612.42-2613.70] EO請幫我去看
[2613.70-2615.74] 以後不用了全部都讓他看了
[2615.74-2617.28] 那他願意現在投
[2617.28-2618.82] 明天就是O-Pax
[2618.82-2621.64] 所以這是O-Pax跟i-Pax的兩者之間的
[2621.64-2622.40] 一個拿捏
[2622.40-2624.44] 當大量的
[2624.44-2625.48] MV兩件物品的監控器
[2625.52-2628.08] 在雲端那你要找運用
[2628.08-2629.36] 要找運用
[2629.36-2631.66] 一個地址出來的時候整個本局
[2631.66-2633.72] 整個效率升得變低了
[2633.72-2635.00] 運用跟著就上來了
[2635.00-2637.56] 運用跟著上來你就還是要關
[2637.56-2641.14] 所以我們在端端的準備就是要迎接這個來的可能
[2641.14-2643.44] 這一點就是林總講的
[2643.44-2645.48] 你會看到Unity這個書裡
[2645.48-2647.28] 我們今年的
[2647.28-2648.04] 第二季度
[2648.04-2649.58] 往下列的一方面
[2649.58-2651.64] 這完全是這個人運用
[2651.64-2655.48] 真正讓我們針對網路的這些可能運用來講
[2655.52-2656.80] 我們今天帶來的AI運用
[2656.80-2658.08] 那是2009年來的
[2658.08-2660.90] 我們其實目前原發
[2660.90-2662.68] 有三少四的單子在這邊
[2662.68-2666.78] 我要拉拳砍掉我可以多給你三少四的BS
[2666.78-2669.34] 那你們看到那個AI裡面沒有給我拍臉
[2669.34-2671.14] 那我就等到明天我們自己來
[2671.14-2672.68] 不要再來這個AI
[2672.68-2674.20] 來下面一位
[2674.20-2677.54] 你好我是原發頭部James
[2677.54-2680.60] 那我第一個問題想要請問一下
[2680.60-2683.16] 在2025年除了既有客戶之外
[2683.16-2685.48] 是否有其他客戶新客戶
[2685.52-2687.82] 或者加入已經生產動能了
[2687.82-2690.64] 那延續這個議題的話
[2690.64-2691.92] 是想請問一下
[2691.92-2694.22] 2025年一週
[2694.22-2696.78] 就是成長的話會來自於
[2696.78-2698.84] 就是舊產品的recover
[2698.84-2702.16] 還是主要來自於新產品的貢獻
[2702.16-2704.98] 那相對這個毛利率的話
[2704.98-2708.82] 這個今年毛利率的trend的話會怎麼一變
[2708.82-2714.70] 那另外第二個問題是想要再請教2025年新產品
[2714.70-2715.22] 包括
[2715.22-2719.06] 五卷Wi-Fi7-4.0的天氣控
[2719.06-2720.60] 以及智慧物聯網
[2720.60-2723.92] 這個出貨的時程還有貢獻度如何
[2723.92-2725.20] 想問一下
[2735.70-2736.98] 那個
[2737.74-2738.78] 一般來講
[2739.54-2742.36] 主要的客戶我們大概都不會再把東西提到
[2742.36-2744.14] 可能人之後都沒辦法提到
[2745.22-2749.06] 我們針對幾個市場的投入
[2749.06-2751.36] 可以還是繼續給大家說明
[2751.36-2754.18] 北美市場對我們是重中之重
[2754.18-2757.26] 那在北美我們
